time,Denver,pts.away,score,pts.home,Golden State
1:08.0,,,19-33,2,F. Ezeli makes 2-pt shot at rim
0:49.0,Turnover by T. Lawson (bad pass; steal by S. Curry),,19-33,,
0:43.0,,,19-35,2,L. Barbosa makes 2-pt shot from 1 ft (assist by S. Curry)
0:38.0,,,19-35,,Personal foul by S. Curry (drawn by T. Lawson)
0:38.0,J. Lauvergne enters the game for D. Gallinari,,19-35,,
0:38.0,T. Lawson makes free throw 1 of 2,1,20-35,,
0:38.0,T. Lawson makes free throw 2 of 2,1,21-35,,
0:34.0,,,21-35,,Turnover by S. Curry (lost ball; steal by W. Barton)
0:29.0,W. Chandler makes 2-pt shot from 1 ft (assist by T. Lawson),2,23-35,,
0:09.0,,,23-35,,F. Ezeli misses 2-pt shot from 6 ft
0:08.0,Defensive rebound by W. Chandler,,23-35,,
0:02.0,Offensive foul by W. Chandler,,23-35,,
0:02.0,Turnover by W. Chandler (offensive foul),,23-35,,
0:02.0,E. Green enters the game for T. Lawson,,23-35,,
0:02.0,,,23-35,,M. Speights enters the game for F. Ezeli
0:01.0,,,23-35,,M. Speights misses 3-pt shot from 32 ft
0:00.0,,,23-35,,Offensive rebound by Team
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:46.0,W. Chandler makes 2-pt shot at rim (assist by E. Green),2,25-35,,
11:28.0,,,25-37,2,M. Speights makes 2-pt shot from 18 ft (assist by S. Livingston)
11:06.0,W. Chandler misses 3-pt shot from 28 ft,,25-37,,
11:05.0,,,25-37,,Defensive rebound by M. Speights
10:52.0,,,25-37,,H. Barnes misses 2-pt shot from 7 ft
10:51.0,Defensive rebound by W. Chandler,,25-37,,
10:45.0,Shooting foul by M. Speights (drawn by W. Barton),,25-37,,
10:45.0,W. Barton makes free throw 1 of 2,1,26-37,,
10:45.0,I. Clark enters the game for W. Chandler,,26-37,,
10:45.0,W. Barton makes free throw 2 of 2,1,27-37,,
10:37.0,,,27-39,2,L. Barbosa makes 2-pt shot from 1 ft (assist by S. Livingston)
10:26.0,W. Barton misses 2-pt shot from 17 ft,,27-39,,
10:25.0,Offensive rebound by J. Lauvergne,,27-39,,
10:18.0,J. Lauvergne makes 2-pt shot from 1 ft,2,29-39,,
10:02.0,,,29-39,,M. Speights misses 2-pt shot from 17 ft
10:01.0,Defensive rebound by E. Green,,29-39,,
9:45.0,E. Green makes 2-pt shot from 16 ft (assist by J. Lauvergne),2,31-39,,
9:28.0,,,31-39,,A. Iguodala misses 3-pt shot from 23 ft
9:27.0,,,31-39,,Offensive rebound by H. Barnes
9:22.0,,,31-39,,Shooting foul by J. Lauvergne (drawn by L. Barbosa)
9:22.0,,,31-39,,L. Barbosa misses free throw 1 of 2
9:22.0,,,31-39,,Offensive rebound by Team
9:22.0,,,31-39,,L. Barbosa misses free throw 2 of 2
9:21.0,Defensive rebound by J. Lauvergne,,31-39,,
8:58.0,W. Barton makes 2-pt shot from 21 ft (assist by E. Green),2,33-39,,
8:49.0,,,33-39,,Turnover by L. Barbosa (bad pass; steal by I. Clark)
8:46.0,Shooting foul by M. Speights (drawn by I. Clark),,33-39,,
8:46.0,Official timeout,,33-39,,
8:46.0,,,33-39,,K. Thompson enters the game for L. Barbosa
8:46.0,,,33-39,,F. Ezeli enters the game for M. Speights
8:46.0,D. Gallinari enters the game for J. Hickson,,33-39,,
8:46.0,I. Clark makes free throw 1 of 2,1,34-39,,
8:46.0,I. Clark makes free throw 2 of 2,1,35-39,,
8:34.0,Personal foul by E. Green (drawn by S. Livingston),,35-39,,
8:28.0,,,35-39,,Turnover by K. Thompson (bad pass; steal by I. Clark)
8:17.0,Shooting foul by A. Iguodala (drawn by D. Gallinari),,35-39,,
8:17.0,D. Gallinari makes free throw 1 of 2,1,36-39,,
8:17.0,,,36-39,,D. Green enters the game for H. Barnes
8:17.0,D. Gallinari makes free throw 2 of 2,1,37-39,,
8:02.0,,,37-39,,Shooting foul by J. Lauvergne (drawn by F. Ezeli)
8:02.0,,,37-40,1,F. Ezeli makes free throw 1 of 2
8:02.0,,,37-41,1,F. Ezeli makes free throw 2 of 2
7:49.0,I. Clark makes 3-pt shot from 26 ft (assist by W. Barton),3,40-41,,
7:28.0,,,40-41,,Shooting foul by W. Barton (drawn by F. Ezeli)
7:28.0,,,40-42,1,F. Ezeli makes free throw 1 of 2
7:28.0,,,40-42,,F. Ezeli misses free throw 2 of 2
7:27.0,Defensive rebound by J. Lauvergne,,40-42,,
7:20.0,Denver full timeout,,40-42,,
7:20.0,,,40-42,,S. Curry enters the game for S. Livingston
7:12.0,D. Gallinari misses 2-pt shot from 18 ft,,40-42,,
7:11.0,,,40-42,,Defensive rebound by K. Thompson
6:58.0,Personal foul by J. Lauvergne (drawn by F. Ezeli),,40-42,,
6:58.0,,,40-42,,F. Ezeli misses free throw 1 of 2
6:58.0,,,40-42,,Offensive rebound by Team
6:58.0,J. Nurkic enters the game for J. Lauvergne,,40-42,,
6:58.0,,,40-42,,F. Ezeli misses free throw 2 of 2
6:57.0,Defensive rebound by W. Barton,,40-42,,
6:42.0,W. Barton misses 2-pt shot from 22 ft,,40-42,,
6:41.0,Offensive rebound by E. Green,,40-42,,
6:39.0,E. Green misses 2-pt shot from 20 ft,,40-42,,
6:37.0,,,40-42,,Defensive rebound by K. Thompson
6:24.0,Personal foul by I. Clark (drawn by K. Thompson),,40-42,,
6:24.0,,,40-43,1,K. Thompson makes free throw 1 of 2
6:24.0,,,40-43,,A. Bogut enters the game for F. Ezeli
6:24.0,,,40-44,1,K. Thompson makes free throw 2 of 2
6:12.0,D. Gallinari makes 2-pt shot from 11 ft (assist by E. Green),2,42-44,,
6:12.0,Shooting foul by D. Green (drawn by D. Gallinari),,42-44,,
6:12.0,W. Chandler enters the game for W. Barton,,42-44,,
6:12.0,D. Gallinari misses free throw 1 of 1,,42-44,,
6:11.0,,,42-44,,Defensive rebound by D. Green
6:06.0,,,42-47,3,K. Thompson makes 3-pt shot from 25 ft (assist by D. Green)
5:48.0,D. Gallinari makes 2-pt shot from 19 ft (assist by E. Green),2,44-47,,
5:38.0,Personal foul by D. Gallinari (drawn by D. Green),,44-47,,
5:38.0,,,44-48,1,D. Green makes free throw 1 of 2
5:38.0,G. Harris enters the game for E. Green,,44-48,,
5:38.0,T. Lawson enters the game for I. Clark,,44-48,,
5:38.0,,,44-49,1,D. Green makes free throw 2 of 2
5:22.0,,,44-49,,Personal foul by D. Green (drawn by D. Gallinari)
5:22.0,D. Gallinari makes free throw 1 of 2,1,45-49,,
5:22.0,D. Gallinari makes free throw 2 of 2,1,46-49,,
5:10.0,,,46-49,,Turnover by K. Thompson (bad pass; steal by D. Gallinari)
5:07.0,G. Harris makes 2-pt shot from 2 ft (assist by D. Gallinari),2,48-49,,
5:07.0,Shooting foul by A. Iguodala (drawn by G. Harris),,48-49,,
5:07.0,G. Harris misses free throw 1 of 1,,48-49,,
5:06.0,,,48-49,,Defensive rebound by A. Bogut
4:55.0,,,48-49,,K. Thompson misses 2-pt shot from 5 ft (block by J. Nurkic)
4:54.0,,,48-49,,Offensive rebound by S. Curry
4:50.0,,,48-52,3,K. Thompson makes 3-pt shot from 26 ft (assist by S. Curry)
4:35.0,J. Nurkic makes 2-pt shot from 9 ft (assist by T. Lawson),2,50-52,,
4:21.0,,,50-54,2,K. Thompson makes 2-pt shot from 2 ft (assist by D. Green)
4:06.0,W. Chandler makes 2-pt shot from 2 ft (assist by J. Nurkic),2,52-54,,
4:06.0,Shooting foul by A. Iguodala (drawn by W. Chandler),,52-54,,
4:06.0,,,52-54,,Violation by S. Curry (lane)
4:06.0,W. Chandler misses free throw 1 of 1,,52-54,,
4:05.0,,,52-54,,Defensive rebound by A. Bogut
3:51.0,,,52-57,3,K. Thompson makes 3-pt shot from 24 ft (assist by S. Curry)
3:38.0,Turnover by T. Lawson (lost ball; steal by S. Curry),,52-57,,
3:33.0,,,52-57,,S. Curry misses 3-pt shot from 29 ft
3:32.0,,,52-57,,Offensive rebound by D. Green
3:30.0,,,52-59,2,D. Green makes 2-pt shot from 1 ft
3:10.0,J. Nurkic misses 2-pt shot from 4 ft (block by A. Bogut),,52-59,,
3:08.0,,,52-59,,Defensive rebound by S. Curry
3:02.0,Personal foul by J. Nurkic (drawn by K. Thompson),,52-59,,
3:02.0,,,52-60,1,K. Thompson makes free throw 1 of 2
3:02.0,,,52-61,1,K. Thompson makes free throw 2 of 2
2:44.0,W. Chandler makes 2-pt shot from 14 ft,2,54-61,,
2:35.0,,,54-61,,Offensive foul by A. Bogut
2:35.0,,,54-61,,Turnover by A. Bogut (offensive foul)
2:35.0,,,54-61,,Golden State full timeout
2:20.0,D. Gallinari makes 2-pt shot from 21 ft,2,56-61,,
2:03.0,,,56-63,2,A. Bogut makes 2-pt shot from 7 ft (assist by S. Curry)
1:46.0,J. Nurkic makes 2-pt shot from 9 ft (assist by T. Lawson),2,58-63,,
1:34.0,,,58-63,,S. Curry misses 2-pt shot from 21 ft
1:33.0,Defensive rebound by J. Nurkic,,58-63,,
1:21.0,W. Chandler makes 3-pt shot from 28 ft (assist by T. Lawson),3,61-63,,
1:06.0,,,61-66,3,S. Curry makes 3-pt shot from 25 ft (assist by A. Iguodala)
0:56.0,J. Franklin enters the game for G. Harris,,61-66,,
0:51.0,,,61-66,,Personal foul by D. Green (drawn by D. Gallinari)
0:51.0,D. Gallinari makes free throw 1 of 2,1,62-66,,
0:51.0,D. Gallinari makes free throw 2 of 2,1,63-66,,
0:39.0,Personal foul by J. Franklin (drawn by D. Green),,63-66,,
0:39.0,,,63-67,1,D. Green makes free throw 1 of 2
0:39.0,,,63-68,1,D. Green makes free throw 2 of 2
0:25.0,J. Nurkic makes 2-pt shot from 1 ft (assist by T. Lawson),2,65-68,,
0:06.0,,,65-71,3,A. Iguodala makes 3-pt shot from 24 ft (assist by D. Green)
0:02.0,T. Lawson misses 2-pt shot from 2 ft (block by K. Thompson),,65-71,,
0:01.0,Offensive rebound by Team,,65-71,,
0:01.0,Denver full timeout,,65-71,,
0:01.0,J. Hickson enters the game for J. Nurkic,,65-71,,
0:01.0,W. Chandler makes 2-pt shot from 5 ft (assist by D. Gallinari),2,67-71,,
0:00.0,End of 2nd quarter,,,,End of 2nd quarter
12:00.0,Start of 3rd quarter,,,,Start of 3rd quarter
11:41.0,Turnover by E. Green (traveling),,67-71,,
11:29.0,,,67-73,2,M. Speights makes 2-pt shot from 18 ft (assist by S. Livingston)
11:13.0,W. Chandler misses 3-pt shot from 27 ft,,67-73,,
11:12.0,,,67-73,,Defensive rebound by M. Speights
11:03.0,,,67-73,,M. Speights misses 2-pt shot from 22 ft
11:01.0,Defensive rebound by W. Chandler,,67-73,,
10:49.0,Turnover by W. Chandler (bad pass; steal by M. Speights),,67-73,,
10:48.0,Violation by J. Nurkic (kicked ball),,67-73,,
10:27.0,,,67-75,2,J. McAdoo makes 2-pt shot at rim
10:04.0,W. Chandler makes 2-pt shot from 2 ft,2,69-75,,
9:51.0,,,69-77,2,S. Livingston makes 2-pt shot from 13 ft
9:32.0,E. Green misses 2-pt shot from 3 ft,,69-77,,
9:32.0,Offensive rebound by Team,,69-77,,
9:26.0,J. Nurkic misses 2-pt shot from 17 ft,,69-77,,
9:25.0,,,69-77,,Defensive rebound by H. Barnes
9:19.0,,,69-79,2,H. Barnes makes 2-pt shot from 2 ft
9:03.0,,,69-79,,Personal foul by J. McAdoo (drawn by J. Nurkic)
8:52.0,Shooting foul by J. McAdoo (drawn by J. Nurkic),,69-79,,
8:52.0,J. Nurkic makes free throw 1 of 2,1,70-79,,
8:52.0,W. Barton enters the game for W. Chandler,,70-79,,
8:52.0,J. Hickson enters the game for D. Gallinari,,70-79,,
8:52.0,J. Nurkic misses free throw 2 of 2,,70-79,,
8:51.0,,,70-79,,Defensive rebound by M. Speights
8:39.0,,,70-79,,H. Barnes misses 2-pt shot from 9 ft
8:38.0,,,70-79,,Offensive rebound by M. Speights
8:38.0,,,70-81,2,M. Speights makes 2-pt shot from 2 ft
8:38.0,,,70-81,,Shooting foul by J. Hickson (drawn by M. Speights)
8:38.0,,,70-81,,M. Speights misses free throw 1 of 1
8:36.0,Defensive rebound by J. Nurkic,,70-81,,
8:25.0,J. Nurkic makes 2-pt shot from 2 ft (assist by E. Green),2,72-81,,
8:12.0,,,72-81,,J. Holiday misses 3-pt shot from 23 ft
8:11.0,Defensive rebound by W. Barton,,72-81,,
7:48.0,W. Barton makes 2-pt shot from 19 ft,2,74-81,,
7:30.0,,,74-81,,S. Livingston misses 2-pt shot from 10 ft
7:30.0,Defensive rebound by J. Nurkic,,74-81,,
7:19.0,Turnover by J. Nurkic (bad pass; steal by S. Livingston),,74-81,,
7:14.0,,,74-83,2,H. Barnes makes 2-pt shot at rim (assist by S. Livingston)
6:55.0,Offensive foul by J. Nurkic,,74-83,,
6:55.0,Turnover by J. Nurkic (offensive foul),,74-83,,
6:55.0,J. Lauvergne enters the game for J. Nurkic,,74-83,,
6:42.0,,,74-83,,Shooting foul by J. Hickson (drawn by M. Speights)
6:42.0,,,74-84,1,M. Speights makes free throw 1 of 2
6:42.0,,,74-85,1,M. Speights makes free throw 2 of 2
6:23.0,Shooting foul by J. McAdoo (drawn by J. Lauvergne),,74-85,,
6:23.0,J. Lauvergne makes free throw 1 of 2,1,75-85,,
6:23.0,J. Lauvergne makes free throw 2 of 2,1,76-85,,
6:06.0,,,76-85,,M. Speights misses 2-pt shot from 17 ft
6:05.0,Defensive rebound by W. Barton,,76-85,,
5:53.0,Turnover by W. Barton (bad pass; steal by J. Holiday),,76-85,,
5:48.0,,,76-87,2,J. Holiday makes 2-pt shot at rim (assist by H. Barnes)
5:37.0,Denver full timeout,,76-87,,
5:37.0,,,76-87,,L. Barbosa enters the game for H. Barnes
5:37.0,,,76-87,,F. Ezeli enters the game for M. Speights
5:37.0,,,76-87,,B. Rush enters the game for J. McAdoo
5:30.0,Shooting foul by J. Holiday (drawn by G. Harris),,76-87,,
5:30.0,G. Harris makes free throw 1 of 2,1,77-87,,
5:30.0,G. Harris makes free throw 2 of 2,1,78-87,,
5:21.0,Personal foul by G. Harris (drawn by L. Barbosa),,78-87,,
5:15.0,,,78-87,,Turnover by L. Barbosa (bad pass; steal by J. Lauvergne)
5:09.0,E. Green makes 3-pt shot from 23 ft (assist by W. Barton),3,81-87,,
4:41.0,,,81-87,,L. Barbosa misses 3-pt shot from 27 ft
4:40.0,,,81-87,,Offensive rebound by S. Livingston
4:37.0,,,81-90,3,B. Rush makes 3-pt shot from 27 ft (assist by S. Livingston)
4:10.0,E. Green makes 2-pt shot from 9 ft,2,83-90,,
3:59.0,,,83-90,,Shooting foul by J. Hickson (drawn by J. Holiday)
3:59.0,,,83-91,1,J. Holiday makes free throw 1 of 2
3:59.0,,,83-92,1,J. Holiday makes free throw 2 of 2
3:48.0,Shooting foul by F. Ezeli (drawn by J. Hickson),,83-92,,
3:48.0,J. Hickson makes free throw 1 of 2,1,84-92,,
3:48.0,J. Hickson makes free throw 2 of 2,1,85-92,,
3:34.0,,,85-94,2,S. Livingston makes 2-pt shot from 11 ft
3:18.0,E. Green makes 2-pt shot from 14 ft,2,87-94,,
3:05.0,,,87-94,,Turnover by F. Ezeli (lost ball; steal by W. Barton)
2:57.0,E. Green misses 3-pt shot from 23 ft,,87-94,,
2:56.0,Offensive rebound by J. Lauvergne,,87-94,,
2:53.0,Turnover by J. Lauvergne (lost ball; steal by B. Rush),,87-94,,
2:50.0,,,87-96,2,L. Barbosa makes 2-pt shot from 1 ft (assist by J. Holiday)
2:31.0,J. Lauvergne makes 2-pt shot at rim (assist by E. Green),2,89-96,,
2:31.0,Shooting foul by B. Rush (drawn by J. Lauvergne),,89-96,,
2:31.0,,,89-96,,Golden State full timeout
2:31.0,I. Clark enters the game for G. Harris,,89-96,,
2:31.0,J. Lauvergne makes free throw 1 of 1,1,90-96,,
2:17.0,,,90-96,,B. Rush misses 3-pt shot from 27 ft
2:15.0,Defensive rebound by E. Green,,90-96,,
2:05.0,,,90-96,,Personal foul by J. Holiday (drawn by W. Barton)
2:05.0,W. Barton makes free throw 1 of 2,1,91-96,,
2:05.0,,,91-96,,M. Speights enters the game for J. Holiday
2:05.0,W. Barton makes free throw 2 of 2,1,92-96,,
1:49.0,,,92-96,,Turnover by S. Livingston (lost ball; steal by E. Green)
1:43.0,W. Barton makes 2-pt shot at rim (assist by E. Green),2,94-96,,
1:24.0,,,94-96,,S. Livingston misses 2-pt shot from 9 ft
1:23.0,,,94-96,,Offensive rebound by B. Rush
1:23.0,,,94-96,,B. Rush misses 2-pt shot from 1 ft
1:22.0,,,94-96,,Offensive rebound by F. Ezeli
1:22.0,,,94-98,2,F. Ezeli makes 2-pt shot from 1 ft
1:04.0,E. Green makes 2-pt shot from 18 ft,2,96-98,,
0:49.0,,,96-98,,M. Speights misses 2-pt shot from 17 ft
0:48.0,Defensive rebound by I. Clark,,96-98,,
0:34.0,W. Barton makes 2-pt shot from 8 ft (assist by J. Lauvergne),2,98-98,,
0:26.0,,,98-100,2,S. Livingston makes 2-pt shot from 11 ft
0:04.0,W. Barton makes 2-pt shot from 7 ft,2,100-100,,
0:01.0,,,100-100,,L. Barbosa misses 3-pt shot from 25 ft (block by I. Clark)
0:00.0,Defensive rebound by I. Clark,,100-100,,
0:00.0,End of 3rd quarter,,,,End of 3rd quarter
12:00.0,Start of 4th quarter,,,,Start of 4th quarter
11:41.0,,,100-100,,L. Barbosa misses 2-pt shot from 12 ft
11:38.0,Defensive rebound by J. Lauvergne,,100-100,,
11:25.0,J. Nurkic misses 2-pt shot from 8 ft,,100-100,,
11:23.0,,,100-100,,Defensive rebound by L. Barbosa
11:19.0,,,100-100,,J. Holiday misses 2-pt shot from 2 ft (block by W. Barton)
11:19.0,Defensive rebound by Team,,100-100,,
11:19.0,Jump ball: W. Barton vs. J. Holiday (I. Clark gains possession),,,,Jump ball: W. Barton vs. J. Holiday (I. Clark gains possession)
11:07.0,,,100-100,,Personal foul by M. Speights (drawn by J. Lauvergne)
10:53.0,E. Green misses 2-pt shot from 17 ft,,100-100,,
10:51.0,,,100-100,,Defensive rebound by M. Speights
10:47.0,,,100-100,,Turnover by M. Speights (bad pass)
10:47.0,,,100-100,,J. McAdoo enters the game for F. Ezeli
10:35.0,I. Clark makes 2-pt shot from 1 ft,2,102-100,,
10:19.0,,,102-100,,B. Rush misses 3-pt shot from 24 ft
10:18.0,Defensive rebound by W. Barton,,102-100,,
10:12.0,W. Barton misses 2-pt shot from 1 ft,,102-100,,
10:09.0,,,102-100,,Defensive rebound by J. McAdoo
10:05.0,,,102-103,3,J. Holiday makes 3-pt shot from 25 ft
9:44.0,J. Nurkic misses 2-pt shot from 8 ft,,102-103,,
9:43.0,,,102-103,,Defensive rebound by J. Holiday
9:31.0,,,102-105,2,M. Speights makes 2-pt shot from 16 ft (assist by J. Holiday)
9:19.0,,,102-105,,Violation by J. McAdoo (kicked ball)
9:09.0,Turnover by J. Nurkic (traveling),,102-105,,
9:02.0,Personal foul by J. Nurkic (drawn by M. Speights),,102-105,,
8:57.0,,,102-105,,Turnover by J. Holiday (bad pass; steal by J. Nurkic)
8:51.0,J. Lauvergne makes 2-pt shot from 2 ft (assist by W. Barton),2,104-105,,
8:44.0,,,104-107,2,M. Speights makes 2-pt shot at rim (assist by J. Holiday)
8:37.0,Denver full timeout,,104-107,,
8:37.0,,,104-107,,S. Livingston enters the game for B. Rush
8:37.0,J. Franklin enters the game for W. Barton,,104-107,,
8:37.0,G. Harris enters the game for E. Green,,104-107,,
8:25.0,Offensive charge foul by J. Franklin,,104-107,,
8:25.0,Turnover by J. Franklin (offensive foul),,104-107,,
8:13.0,,,104-107,,J. McAdoo misses 2-pt shot from 1 ft
8:12.0,Defensive rebound by J. Lauvergne,,104-107,,
8:00.0,Turnover by I. Clark (bad pass; steal by M. Speights),,104-107,,
7:55.0,,,104-107,,Turnover by J. McAdoo (lost ball; steal by I. Clark)
7:49.0,I. Clark makes 2-pt shot at rim,2,106-107,,
7:31.0,,,106-109,2,S. Livingston makes 2-pt shot from 2 ft
7:19.0,I. Clark misses 3-pt shot from 27 ft,,106-109,,
7:18.0,,,106-109,,Defensive rebound by S. Livingston
7:08.0,,,106-109,,M. Speights misses 2-pt shot from 19 ft
7:07.0,Defensive rebound by J. Lauvergne,,106-109,,
6:58.0,,,106-109,,Personal foul by S. Livingston (drawn by J. Franklin)
6:52.0,I. Clark misses 2-pt shot from 8 ft,,106-109,,
