time,LA Lakers,pts.away,score,pts.home,Atlanta
0:01.0,N. Young makes 3-pt shot from 24 ft (assist by K. Bryant),3,31-20,,
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:44.0,Personal foul by R. Sacre (drawn by A. Horford),,31-20,,
11:29.0,,,31-23,3,M. Scott makes 3-pt shot from 24 ft (assist by D. Schroder)
11:10.0,Turnover by R. Price (lost ball; steal by S. Mack),,31-23,,
11:06.0,,,31-25,2,A. Horford makes 2-pt shot at rim (assist by S. Mack)
10:43.0,R. Sacre makes 2-pt shot from 11 ft,2,33-25,,
10:25.0,,,33-25,,S. Mack misses 2-pt shot from 4 ft
10:23.0,,,33-25,,Offensive rebound by A. Horford
10:19.0,,,33-25,,M. Scott misses 3-pt shot from 23 ft
10:18.0,Defensive rebound by N. Young,,33-25,,
10:08.0,N. Young makes 2-pt shot from 15 ft,2,35-25,,
9:51.0,,,35-27,2,M. Scott makes 2-pt shot from 1 ft (assist by A. Horford)
9:51.0,,,35-27,,Shooting foul by C. Boozer (drawn by M. Scott)
9:51.0,,,35-28,1,M. Scott makes free throw 1 of 1
9:33.0,C. Boozer makes 2-pt shot from 10 ft (assist by R. Price),2,37-28,,
9:19.0,,,37-30,2,D. Schroder makes 2-pt shot from 1 ft
9:07.0,R. Sacre misses 2-pt shot from 9 ft,,37-30,,
9:06.0,,,37-30,,Defensive rebound by S. Mack
8:55.0,,,37-32,2,M. Scott makes 2-pt shot from 16 ft (assist by S. Mack)
8:48.0,LA Lakers full timeout,,37-32,,
8:48.0,J. Hill enters the game for R. Sacre,,37-32,,
8:32.0,N. Young makes 2-pt shot from 15 ft,2,39-32,,
8:22.0,,,39-32,,K. Korver misses 3-pt shot from 25 ft
8:20.0,Defensive rebound by R. Price,,39-32,,
8:06.0,J. Hill misses 2-pt shot from 18 ft,,39-32,,
8:05.0,,,39-32,,Defensive rebound by M. Scott
7:55.0,,,39-35,3,S. Mack makes 3-pt shot from 25 ft (assist by D. Schroder)
7:26.0,J. Hill misses 2-pt shot from 2 ft,,39-35,,
7:25.0,Offensive rebound by C. Boozer,,39-35,,
7:25.0,C. Boozer makes 2-pt shot at rim,2,41-35,,
7:19.0,,,41-35,,M. Scott misses 2-pt shot from 1 ft
7:18.0,Defensive rebound by C. Boozer,,41-35,,
7:10.0,C. Boozer makes 2-pt shot from 1 ft (assist by R. Price),2,43-35,,
6:57.0,,,43-35,,Turnover by D. Schroder (bad pass; steal by R. Price)
6:49.0,Turnover by R. Price (traveling),,43-35,,
6:49.0,J. Lin enters the game for R. Price,,43-35,,
6:49.0,K. Bryant enters the game for N. Young,,43-35,,
6:49.0,,,43-35,,T. Sefolosha enters the game for D. Schroder
6:49.0,,,43-35,,J. Teague enters the game for S. Mack
6:38.0,Personal foul by J. Lin (drawn by J. Teague),,43-35,,
6:38.0,,,43-35,,P. Millsap enters the game for M. Scott
