time,Sacramento,pts.away,score,pts.home,Chicago
7:37.0,,,9-11,2,P. Gasol makes 2-pt shot from 19 ft (assist by J. Butler)
7:16.0,B. McLemore makes 3-pt shot from 24 ft (assist by D. Cousins),3,12-11,,
6:56.0,,,12-11,,M. Dunleavy misses 3-pt shot from 22 ft
6:55.0,Defensive rebound by B. McLemore,,12-11,,
6:46.0,R. Gay misses 2-pt shot from 9 ft,,12-11,,
6:45.0,,,12-11,,Defensive rebound by J. Noah
6:36.0,,,12-11,,J. Noah misses 2-pt shot from 18 ft
6:35.0,Defensive rebound by J. Thompson,,12-11,,
6:18.0,D. Cousins misses 2-pt shot from 10 ft,,12-11,,
6:17.0,,,12-11,,Defensive rebound by P. Gasol
6:10.0,,,12-13,2,D. Rose makes 2-pt shot at rim
6:01.0,Sacramento full timeout,,12-13,,
6:01.0,,,12-13,,T. Snell enters the game for M. Dunleavy
5:54.0,R. Gay makes 2-pt shot at rim (assist by D. Cousins),2,14-13,,
5:36.0,,,14-15,2,D. Rose makes 2-pt shot from 17 ft (assist by J. Noah)
5:21.0,R. Sessions misses 3-pt shot from 24 ft,,14-15,,
5:18.0,,,14-15,,Defensive rebound by P. Gasol
5:07.0,,,14-17,2,P. Gasol makes 2-pt shot from 19 ft (assist by D. Rose)
4:43.0,J. Thompson makes 2-pt shot from 3 ft (assist by R. Sessions),2,16-17,,
4:27.0,,,16-17,,Shooting foul by J. Thompson (drawn by P. Gasol)
4:27.0,,,16-19,2,P. Gasol makes 2-pt shot from 7 ft (assist by D. Rose)
4:27.0,R. Evans enters the game for J. Thompson,,16-19,,
4:27.0,,,16-20,1,P. Gasol makes free throw 1 of 1
4:07.0,R. Evans makes 2-pt shot at rim (assist by D. Cousins),2,18-20,,
3:48.0,,,18-20,,J. Butler misses 2-pt shot from 17 ft
3:46.0,Defensive rebound by R. Gay,,18-20,,
3:42.0,Turnover by B. McLemore (step out of bounds),,18-20,,
3:24.0,,,18-23,3,T. Snell makes 3-pt shot from 25 ft (assist by J. Noah)
3:01.0,R. Sessions misses 3-pt shot from 24 ft,,18-23,,
3:00.0,,,18-23,,Defensive rebound by J. Noah
2:50.0,,,18-25,2,J. Butler makes 2-pt shot at rim (assist by D. Rose)
2:31.0,B. McLemore makes 2-pt shot at rim (assist by D. Cousins),2,20-25,,
2:16.0,,,20-28,3,T. Snell makes 3-pt shot from 24 ft (assist by J. Noah)
1:57.0,Shooting foul by J. Noah (drawn by D. Cousins),,20-28,,
1:57.0,,,20-28,,Chicago full timeout
1:57.0,R. McCallum enters the game for R. Gay,,20-28,,
1:57.0,O. Casspi enters the game for R. Sessions,,20-28,,
1:57.0,,,20-28,,A. Brooks enters the game for J. Noah
1:57.0,,,20-28,,T. Gibson enters the game for D. Rose
1:57.0,D. Cousins misses free throw 1 of 2,,20-28,,
1:57.0,Offensive rebound by Team,,20-28,,
1:57.0,D. Cousins makes free throw 2 of 2,1,21-28,,
1:43.0,,,21-28,,J. Butler misses 2-pt shot from 17 ft
1:42.0,Defensive rebound by O. Casspi,,21-28,,
1:30.0,D. Cousins misses 2-pt shot from 18 ft,,21-28,,
1:30.0,,,21-28,,Defensive rebound by J. Butler
1:30.0,Personal foul by D. Cousins (drawn by J. Butler),,21-28,,
1:30.0,C. Landry enters the game for D. Cousins,,21-28,,
1:20.0,,,21-30,2,P. Gasol makes 2-pt shot at rim (assist by A. Brooks)
1:06.0,,,21-30,,Personal foul by A. Brooks (drawn by R. McCallum)
1:06.0,R. McCallum makes free throw 1 of 2,1,22-30,,
1:06.0,R. McCallum misses free throw 2 of 2,,22-30,,
1:02.0,Offensive rebound by C. Landry,,22-30,,
0:49.0,,,22-30,,Violation by T. Gibson (def goaltending)
0:49.0,O. Casspi makes 2-pt shot from 3 ft (assist by R. Evans),2,24-30,,
0:36.0,,,24-30,,J. Butler misses 2-pt shot from 2 ft
0:35.0,Defensive rebound by R. Evans,,24-30,,
0:18.0,R. McCallum makes 2-pt shot from 20 ft,2,26-30,,
0:00.0,,,26-30,,P. Gasol misses 2-pt shot from 3 ft
0:00.0,,,26-30,,Offensive rebound by Team
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:46.0,R. Gay makes 2-pt shot from 19 ft (assist by R. McCallum),2,28-30,,
11:26.0,,,28-30,,Turnover by A. Brooks (bad pass)
11:11.0,Offensive foul by R. Gay,,28-30,,
11:11.0,Turnover by R. Gay (offensive foul),,28-30,,
10:56.0,,,28-32,2,J. Butler makes 2-pt shot from 4 ft
10:43.0,Turnover by O. Casspi (bad pass; steal by T. Gibson),,28-32,,
10:37.0,,,28-34,2,T. Snell makes 2-pt shot from 16 ft (assist by J. Butler)
10:08.0,C. Landry misses 2-pt shot from 17 ft,,28-34,,
10:07.0,Offensive rebound by R. Evans,,28-34,,
10:05.0,R. Evans misses 2-pt shot from 3 ft (block by T. Gibson),,28-34,,
10:03.0,,,28-34,,Defensive rebound by A. Brooks
9:54.0,,,28-34,,A. Brooks misses 2-pt shot from 2 ft
9:53.0,Defensive rebound by R. Evans,,28-34,,
9:49.0,Shooting foul by N. Mirotic (drawn by O. Casspi),,28-34,,
9:49.0,O. Casspi makes free throw 1 of 2,1,29-34,,
9:49.0,O. Casspi misses free throw 2 of 2,,29-34,,
9:47.0,Offensive rebound by O. Casspi,,29-34,,
9:46.0,O. Casspi misses 2-pt shot from 8 ft,,29-34,,
9:46.0,,,29-34,,Defensive rebound by Team
9:31.0,,,29-37,3,T. Snell makes 3-pt shot from 22 ft (assist by A. Brooks)
9:10.0,R. Gay makes 2-pt shot from 10 ft,2,31-37,,
8:44.0,,,31-37,,A. Brooks misses 3-pt shot from 24 ft
8:42.0,Defensive rebound by O. Casspi,,31-37,,
8:30.0,R. McCallum misses 2-pt shot from 21 ft,,31-37,,
8:29.0,Offensive rebound by C. Landry,,31-37,,
8:18.0,R. Gay makes 2-pt shot from 5 ft,2,33-37,,
8:06.0,,,33-39,2,T. Gibson makes 2-pt shot at rim (assist by T. Snell)
7:37.0,R. McCallum misses 2-pt shot from 20 ft,,33-39,,
7:34.0,Offensive rebound by R. McCallum,,33-39,,
7:32.0,Turnover by R. McCallum (lost ball),,33-39,,
7:32.0,,,33-39,,Chicago full timeout
7:32.0,,,33-39,,J. Noah enters the game for J. Butler
7:32.0,D. Cousins enters the game for R. Evans,,33-39,,
7:18.0,Violation by R. McCallum (kicked ball),,33-39,,
7:08.0,,,33-41,2,J. Noah makes 2-pt shot at rim (assist by T. Snell)
6:48.0,R. Gay misses 3-pt shot from 24 ft,,33-41,,
6:47.0,,,33-41,,Defensive rebound by N. Mirotic
6:41.0,,,33-44,3,N. Mirotic makes 3-pt shot from 25 ft (assist by A. Brooks)
6:21.0,Turnover by R. McCallum (bad pass; steal by A. Brooks),,33-44,,
6:18.0,,,33-44,,Turnover by A. Brooks (bad pass)
6:02.0,Turnover by O. Casspi (bad pass; steal by T. Gibson),,33-44,,
5:47.0,,,33-44,,J. Noah misses 2-pt shot from 18 ft
5:46.0,Defensive rebound by C. Landry,,33-44,,
5:37.0,Shooting foul by J. Noah (drawn by D. Cousins),,33-44,,
5:37.0,,,33-44,,Chicago full timeout
5:37.0,,,33-44,,D. Rose enters the game for J. Noah
5:37.0,,,33-44,,P. Gasol enters the game for A. Brooks
5:37.0,B. McLemore enters the game for R. McCallum,,33-44,,
5:37.0,J. Thompson enters the game for O. Casspi,,33-44,,
5:37.0,R. Sessions enters the game for C. Landry,,33-44,,
5:37.0,D. Cousins makes free throw 1 of 2,1,34-44,,
5:37.0,,,34-44,,J. Butler enters the game for N. Mirotic
5:37.0,D. Cousins makes free throw 2 of 2,1,35-44,,
5:21.0,,,35-44,,J. Butler misses 2-pt shot from 12 ft
5:20.0,Defensive rebound by J. Thompson,,35-44,,
5:02.0,Shooting foul by T. Gibson (drawn by J. Thompson),,35-44,,
5:02.0,J. Thompson makes free throw 1 of 2,1,36-44,,
5:02.0,J. Thompson misses free throw 2 of 2,,36-44,,
4:59.0,Offensive rebound by J. Thompson,,36-44,,
4:50.0,R. Gay makes 2-pt shot from 19 ft,2,38-44,,
4:28.0,,,38-44,,Turnover by T. Gibson (bad pass; steal by B. McLemore)
4:23.0,B. McLemore makes 2-pt shot at rim (assist by R. Gay),2,40-44,,
4:08.0,,,40-44,,Shooting foul by J. Thompson (drawn by P. Gasol)
4:08.0,,,40-45,1,P. Gasol makes free throw 1 of 2
4:08.0,,,40-46,1,P. Gasol makes free throw 2 of 2
3:44.0,R. Gay makes 2-pt shot from 11 ft (assist by D. Cousins),2,42-46,,
3:20.0,,,42-46,,D. Rose misses 3-pt shot from 25 ft
3:19.0,Defensive rebound by R. Gay,,42-46,,
3:06.0,Turnover by R. Gay (bad pass),,42-46,,
2:56.0,,,42-46,,D. Rose misses 2-pt shot from 21 ft
2:55.0,Defensive rebound by D. Cousins,,42-46,,
2:50.0,Sacramento full timeout,,42-46,,
2:31.0,R. Gay misses 3-pt shot from 22 ft,,42-46,,
2:30.0,,,42-46,,Defensive rebound by P. Gasol
2:07.0,,,42-48,2,T. Snell makes 2-pt shot from 20 ft (assist by T. Gibson)
1:48.0,R. Sessions makes 2-pt shot from 10 ft,2,44-48,,
1:38.0,,,44-48,,Shooting foul by R. Gay (drawn by J. Butler)
1:38.0,,,44-48,,J. Butler misses free throw 1 of 2
1:38.0,,,44-48,,Offensive rebound by Team
1:38.0,,,44-49,1,J. Butler makes free throw 2 of 2
1:25.0,D. Cousins misses 2-pt shot from 18 ft,,44-49,,
1:24.0,,,44-49,,Defensive rebound by T. Snell
1:15.0,,,44-49,,P. Gasol misses 2-pt shot from 21 ft
1:14.0,Defensive rebound by R. Gay,,44-49,,
1:08.0,D. Cousins makes 2-pt shot from 2 ft (assist by R. Gay),2,46-49,,
1:00.0,,,46-49,,Shooting foul by D. Cousins (drawn by D. Rose)
1:00.0,,,46-51,2,D. Rose makes 2-pt shot from 2 ft
1:00.0,,,46-52,1,D. Rose makes free throw 1 of 1
0:47.0,,,46-52,,Personal foul by P. Gasol (drawn by D. Cousins)
0:45.0,Shooting foul by T. Gibson (drawn by R. Sessions),,46-52,,
0:45.0,R. Sessions makes free throw 1 of 2,1,47-52,,
0:45.0,R. Evans enters the game for J. Thompson,,47-52,,
0:45.0,C. Landry enters the game for D. Cousins,,47-52,,
0:45.0,O. Casspi enters the game for R. Gay,,47-52,,
0:45.0,R. Sessions misses free throw 2 of 2,,47-52,,
0:44.0,,,47-52,,Defensive rebound by P. Gasol
0:32.0,,,47-55,3,D. Rose makes 3-pt shot from 25 ft
0:14.0,C. Landry makes 2-pt shot from 20 ft (assist by R. Sessions),2,49-55,,
0:02.0,,,49-57,2,D. Rose makes 2-pt shot from 16 ft
0:00.0,End of 2nd quarter,,,,End of 2nd quarter
12:00.0,Start of 3rd quarter,,,,Start of 3rd quarter
11:35.0,J. Thompson misses 2-pt shot from 20 ft,,49-57,,
11:34.0,,,49-57,,Defensive rebound by P. Gasol
11:15.0,,,49-60,3,T. Snell makes 3-pt shot from 24 ft (assist by M. Dunleavy)
10:47.0,Turnover by R. Sessions (bad pass; steal by D. Rose),,49-60,,
10:40.0,,,49-60,,D. Rose misses 2-pt shot from 7 ft
10:39.0,Defensive rebound by J. Thompson,,49-60,,
10:20.0,R. Sessions misses 2-pt shot from 19 ft,,49-60,,
10:19.0,,,49-60,,Defensive rebound by P. Gasol
10:02.0,,,49-60,,T. Snell misses 3-pt shot from 24 ft
10:01.0,,,49-60,,Offensive rebound by P. Gasol
9:54.0,,,49-60,,Shooting foul by R. Sessions (drawn by D. Rose)
9:54.0,,,49-61,1,D. Rose makes free throw 1 of 2
9:54.0,,,49-61,,D. Rose misses free throw 2 of 2
9:53.0,Defensive rebound by D. Cousins,,49-61,,
9:34.0,,,49-61,,Personal foul by J. Noah (drawn by D. Cousins)
9:34.0,,,49-61,,T. Gibson enters the game for J. Noah
9:26.0,R. Gay misses 3-pt shot from 22 ft,,49-61,,
9:25.0,,,49-61,,Defensive rebound by T. Snell
9:18.0,,,49-63,2,T. Snell makes 2-pt shot at rim (assist by P. Gasol)
9:09.0,Sacramento full timeout,,49-63,,
8:55.0,D. Cousins makes 2-pt shot from 3 ft,2,51-63,,
8:34.0,,,51-65,2,P. Gasol makes 2-pt shot from 13 ft
8:34.0,,,51-65,,Shooting foul by J. Thompson (drawn by P. Gasol)
8:34.0,,,51-66,1,P. Gasol makes free throw 1 of 1
8:13.0,Shooting foul by T. Gibson (drawn by D. Cousins),,51-66,,
8:13.0,D. Cousins makes free throw 1 of 2,1,52-66,,
8:13.0,D. Cousins misses free throw 2 of 2,,52-66,,
8:09.0,,,52-66,,Defensive rebound by P. Gasol
7:58.0,,,52-68,2,P. Gasol makes 2-pt shot from 20 ft (assist by D. Rose)
7:36.0,R. Sessions misses 3-pt shot from 25 ft,,52-68,,
7:36.0,,,52-68,,Defensive rebound by Team
7:36.0,Loose ball foul by D. Cousins (drawn by P. Gasol),,52-68,,
7:27.0,,,52-70,2,P. Gasol makes 2-pt shot from 15 ft
7:13.0,D. Cousins misses 2-pt shot from 2 ft (block by T. Gibson),,52-70,,
7:12.0,,,52-70,,Defensive rebound by P. Gasol
7:05.0,,,52-70,,T. Gibson misses 2-pt shot from 3 ft
7:03.0,,,52-70,,Offensive rebound by T. Gibson
7:03.0,,,52-70,,T. Gibson misses 2-pt shot from 3 ft (block by D. Cousins)
7:01.0,Defensive rebound by D. Cousins,,52-70,,
6:44.0,,,52-70,,Personal foul by T. Snell (drawn by R. Gay)
6:44.0,,,52-70,,Technical foul by Team
6:44.0,R. Gay makes technical free throw,1,53-70,,
6:37.0,D. Cousins misses 2-pt shot from 19 ft,,53-70,,
6:36.0,,,53-70,,Defensive rebound by P. Gasol
6:29.0,,,53-70,,D. Rose misses 3-pt shot from 24 ft
6:28.0,Defensive rebound by J. Thompson,,53-70,,
6:18.0,J. Thompson misses 2-pt shot from 18 ft,,53-70,,
6:17.0,,,53-70,,Defensive rebound by M. Dunleavy
6:04.0,,,53-72,2,P. Gasol makes 2-pt shot from 14 ft (assist by M. Dunleavy)
5:50.0,R. Gay misses 2-pt shot from 18 ft,,53-72,,
5:49.0,,,53-72,,Defensive rebound by P. Gasol
5:43.0,,,53-74,2,D. Rose makes 2-pt shot from 6 ft
5:43.0,Sacramento full timeout,,53-74,,
5:43.0,O. Casspi enters the game for R. Gay,,53-74,,
5:43.0,R. McCallum enters the game for J. Thompson,,53-74,,
5:43.0,R. Evans enters the game for R. Sessions,,53-74,,
5:25.0,B. McLemore misses 2-pt shot from 3 ft,,53-74,,
5:24.0,Offensive rebound by R. Evans,,53-74,,
5:09.0,Turnover by D. Cousins (lost ball; steal by T. Gibson),,53-74,,
5:05.0,Jump ball: D. Cousins vs. T. Gibson (P. Gasol gains possession),,,,Jump ball: D. Cousins vs. T. Gibson (P. Gasol gains possession)
4:49.0,,,53-76,2,P. Gasol makes 2-pt shot from 22 ft (assist by M. Dunleavy)
4:27.0,D. Cousins makes 2-pt shot from 2 ft (assist by R. McCallum),2,55-76,,
4:05.0,,,55-76,,T. Gibson misses 2-pt shot from 12 ft
4:03.0,Defensive rebound by R. Evans,,55-76,,
3:47.0,,,55-76,,Personal foul by P. Gasol (drawn by D. Cousins)
3:38.0,D. Cousins makes 2-pt shot from 1 ft (assist by R. McCallum),2,57-76,,
3:22.0,,,57-78,2,P. Gasol makes 2-pt shot from 20 ft (assist by D. Rose)
3:09.0,Shooting foul by P. Gasol (drawn by D. Cousins),,57-78,,
3:09.0,D. Cousins misses free throw 1 of 2,,57-78,,
3:09.0,Offensive rebound by Team,,57-78,,
3:09.0,,,57-78,,N. Mirotic enters the game for M. Dunleavy
3:09.0,R. Gay enters the game for B. McLemore,,57-78,,
3:09.0,D. Cousins misses free throw 2 of 2,,57-78,,
3:07.0,,,57-78,,Defensive rebound by P. Gasol
3:00.0,Personal foul by R. Evans (drawn by D. Rose),,57-78,,
3:00.0,C. Landry enters the game for D. Cousins,,57-78,,
2:54.0,,,57-80,2,D. Rose makes 2-pt shot from 21 ft
2:33.0,R. Gay makes 2-pt shot from 22 ft (assist by R. Evans),2,59-80,,
2:17.0,,,59-80,,P. Gasol misses 2-pt shot from 19 ft
2:15.0,Defensive rebound by R. Gay,,59-80,,
2:13.0,,,59-80,,Personal foul by N. Mirotic (drawn by R. Evans)
2:13.0,R. Evans misses free throw 1 of 2,,59-80,,
2:13.0,Offensive rebound by Team,,59-80,,
2:13.0,,,59-80,,A. Brooks enters the game for D. Rose
2:13.0,,,59-80,,Violation by T. Gibson (lane)
2:13.0,R. Evans makes free throw 2 of 2,1,60-80,,
2:02.0,,,60-80,,Turnover by A. Brooks (bad pass)
1:40.0,R. McCallum misses 2-pt shot from 13 ft,,60-80,,
1:39.0,,,60-80,,Defensive rebound by N. Mirotic
1:16.0,,,60-80,,N. Mirotic misses 3-pt shot from 25 ft
1:14.0,Defensive rebound by R. Evans,,60-80,,
1:07.0,R. Gay makes 3-pt shot from 24 ft (assist by R. McCallum),3,63-80,,
0:54.0,,,63-82,2,A. Brooks makes 2-pt shot from 17 ft
0:40.0,Turnover by R. Gay (bad pass; steal by N. Mirotic),,63-82,,
0:37.0,,,63-82,,Turnover by N. Mirotic (bad pass; steal by O. Casspi)
0:37.0,,,63-82,,Personal foul by T. Snell (drawn by O. Casspi)
0:37.0,O. Casspi makes free throw 1 of 2,1,64-82,,
0:37.0,O. Casspi misses free throw 2 of 2,,64-82,,
0:35.0,,,64-82,,Defensive rebound by T. Gibson
0:24.0,Personal foul by R. Gay (drawn by T. Gibson),,64-82,,
0:24.0,,,64-83,1,T. Gibson makes free throw 1 of 2
0:24.0,B. McLemore enters the game for R. Evans,,64-83,,
0:24.0,,,64-83,,E. Moore enters the game for A. Brooks
0:24.0,,,64-84,1,T. Gibson makes free throw 2 of 2
0:04.0,R. Gay misses 2-pt shot from 3 ft,,64-84,,
0:03.0,,,64-84,,Defensive rebound by Team
0:03.0,,,64-84,,A. Brooks enters the game for E. Moore
0:00.0,,,64-84,,N. Mirotic misses 3-pt shot from 44 ft
0:00.0,,,64-84,,Offensive rebound by Team
0:00.0,End of 3rd quarter,,,,End of 3rd quarter
12:00.0,Start of 4th quarter,,,,Start of 4th quarter
12:00.0,Personal foul by D. Cousins (drawn by P. Gasol),,64-84,,
11:39.0,,,64-84,,N. Mirotic misses 3-pt shot from 25 ft
11:38.0,,,64-84,,Offensive rebound by T. Gibson
11:30.0,,,64-84,,N. Mirotic misses 3-pt shot from 25 ft
11:29.0,Defensive rebound by C. Landry,,64-84,,
11:12.0,C. Landry makes 2-pt shot from 15 ft (assist by R. Gay),2,66-84,,
10:52.0,,,66-84,,T. Gibson misses 2-pt shot from 12 ft
10:51.0,Defensive rebound by D. Cousins,,66-84,,
10:39.0,R. Gay makes 2-pt shot from 16 ft,2,68-84,,
10:37.0,,,68-84,,Chicago full timeout
10:37.0,,,68-84,,J. Noah enters the game for P. Gasol
10:37.0,,,68-84,,M. Dunleavy enters the game for N. Mirotic
10:19.0,,,68-86,2,A. Brooks makes 2-pt shot from 8 ft
10:00.0,R. McCallum makes 2-pt shot from 2 ft (assist by R. Gay),2,70-86,,
9:44.0,,,70-88,2,T. Snell makes 2-pt shot from 2 ft (assist by J. Noah)
9:20.0,D. Cousins misses 2-pt shot from 13 ft,,70-88,,
9:19.0,,,70-88,,Defensive rebound by A. Brooks
9:10.0,,,70-88,,M. Dunleavy misses 2-pt shot from 5 ft (block by C. Landry)
9:07.0,Defensive rebound by D. Cousins,,70-88,,
8:55.0,R. McCallum makes 2-pt shot from 3 ft (assist by D. Cousins),2,72-88,,
8:35.0,,,72-90,2,M. Dunleavy makes 2-pt shot from 21 ft (assist by T. Gibson)
8:15.0,Shooting foul by T. Snell (drawn by D. Cousins),,72-90,,
8:15.0,D. Cousins misses free throw 1 of 2,,72-90,,
8:15.0,Offensive rebound by Team,,72-90,,
8:15.0,,,72-90,,D. Rose enters the game for A. Brooks
8:15.0,D. Cousins makes free throw 2 of 2,1,73-90,,
8:00.0,,,73-90,,T. Gibson misses 2-pt shot from 1 ft
7:59.0,Defensive rebound by R. Gay,,73-90,,
7:43.0,,,73-90,,Personal foul by T. Gibson (drawn by D. Cousins)
7:43.0,,,73-90,,P. Gasol enters the game for T. Gibson
7:32.0,,,73-90,,Personal foul by J. Noah (drawn by D. Cousins)
7:32.0,,,73-90,,T. Gibson enters the game for J. Noah
7:18.0,R. McCallum makes 2-pt shot from 15 ft (assist by C. Landry),2,75-90,,
6:53.0,,,75-90,,Turnover by M. Dunleavy (lost ball; steal by R. Gay)
6:36.0,B. McLemore misses 3-pt shot from 23 ft,,75-90,,
6:35.0,,,75-90,,Defensive rebound by P. Gasol
6:22.0,,,75-92,2,T. Gibson makes 2-pt shot at rim (assist by P. Gasol)
6:02.0,B. McLemore misses 3-pt shot from 25 ft,,75-92,,
6:00.0,Offensive rebound by R. McCallum,,75-92,,
5:56.0,R. McCallum misses 3-pt shot from 25 ft,,75-92,,
5:55.0,Offensive rebound by B. McLemore,,75-92,,
5:55.0,B. McLemore makes 2-pt shot at rim,2,77-92,,
5:38.0,,,77-92,,D. Rose misses 3-pt shot from 25 ft
5:37.0,Defensive rebound by C. Landry,,77-92,,
5:23.0,D. Cousins makes 2-pt shot from 2 ft,2,79-92,,
5:07.0,,,79-92,,Shooting foul by C. Landry (drawn by T. Snell)
5:07.0,,,79-92,,Chicago full timeout
5:07.0,,,79-93,1,T. Snell makes free throw 1 of 2
5:07.0,,,79-94,1,T. Snell makes free throw 2 of 2
4:51.0,B. McLemore misses 3-pt shot from 24 ft,,79-94,,
4:50.0,,,79-94,,Defensive rebound by P. Gasol
4:38.0,,,79-96,2,D. Rose makes 2-pt shot from 1 ft
4:18.0,R. Gay misses 2-pt shot from 7 ft,,79-96,,
4:17.0,Offensive rebound by R. Gay,,79-96,,
4:17.0,Shooting foul by T. Gibson (drawn by R. Gay),,79-96,,
4:17.0,R. Gay misses free throw 1 of 2,,79-96,,
4:17.0,Offensive rebound by Team,,79-96,,
4:17.0,R. Gay makes free throw 2 of 2,1,80-96,,
3:58.0,,,80-96,,D. Rose misses 2-pt shot from 20 ft
3:56.0,Defensive rebound by D. Cousins,,80-96,,
3:41.0,R. Gay misses 2-pt shot from 9 ft,,80-96,,
3:39.0,Offensive rebound by R. McCallum,,80-96,,
3:37.0,R. McCallum makes 2-pt shot from 3 ft,2,82-96,,
3:19.0,,,82-96,,M. Dunleavy misses 3-pt shot from 24 ft
3:18.0,,,82-96,,Offensive rebound by P. Gasol
3:17.0,,,82-98,2,T. Gibson makes 2-pt shot at rim (assist by P. Gasol)
3:17.0,,,82-98,,Shooting foul by B. McLemore (drawn by T. Gibson)
3:17.0,,,82-99,1,T. Gibson makes free throw 1 of 1
2:55.0,Turnover by D. Cousins (3 sec),,82-99,,
2:55.0,Sacramento full timeout,,82-99,,
2:55.0,R. Hollins enters the game for R. Gay,,82-99,,
2:55.0,N. Stauskas enters the game for D. Cousins,,82-99,,
2:55.0,O. Casspi enters the game for B. McLemore,,82-99,,
2:45.0,,,82-99,,T. Snell misses 3-pt shot from 24 ft
2:44.0,Defensive rebound by C. Landry,,82-99,,
2:32.0,C. Landry makes 2-pt shot from 19 ft (assist by R. Hollins),2,84-99,,
2:13.0,,,84-99,,Turnover by P. Gasol (bad pass)
2:00.0,Turnover by R. Hollins (lost ball; steal by T. Snell),,84-99,,
1:57.0,,,84-101,2,T. Snell makes 2-pt shot at rim
1:45.0,O. Casspi makes 2-pt shot from 9 ft,2,86-101,,
1:26.0,,,86-101,,P. Gasol misses 2-pt shot from 9 ft
1:25.0,Defensive rebound by C. Landry,,86-101,,
1:12.0,O. Casspi misses 2-pt shot from 12 ft,,86-101,,
1:11.0,,,86-101,,Defensive rebound by P. Gasol
1:06.0,,,86-101,,Chicago full timeout
1:06.0,,,86-101,,D. McDermott enters the game for M. Dunleavy
1:06.0,,,86-101,,C. Bairstow enters the game for P. Gasol
1:06.0,,,86-101,,N. Mohammed enters the game for D. Rose
1:06.0,,,86-101,,N. Mirotic enters the game for T. Snell
1:06.0,,,86-101,,E. Moore enters the game for T. Gibson
0:55.0,,,86-101,,C. Bairstow misses 2-pt shot from 13 ft
0:53.0,Defensive rebound by R. Hollins,,86-101,,
0:48.0,O. Casspi misses 2-pt shot from 3 ft,,86-101,,
0:44.0,,,86-101,,Defensive rebound by D. McDermott
0:44.0,,,86-103,2,D. McDermott makes 2-pt shot from 2 ft
0:44.0,,,86-103,,Shooting foul by N. Stauskas (drawn by D. McDermott)
0:44.0,,,86-104,1,D. McDermott makes free throw 1 of 1
0:32.0,N. Stauskas misses 2-pt shot from 20 ft,,86-104,,
0:31.0,,,86-104,,Defensive rebound by Team
0:13.0,,,86-104,,D. McDermott misses 2-pt shot from 2 ft
0:11.0,,,86-104,,Offensive rebound by N. Mohammed
0:00.0,End of 4th quarter,,,,End of 4th quarter
