time,Atlanta,pts.away,score,pts.home,Oklahoma City
4:35.0,D. Carroll misses 3-pt shot from 23 ft,,18-20,,
4:34.0,,,18-20,,Defensive rebound by S. Novak
4:24.0,,,18-22,2,D. Waiters makes 2-pt shot from 1 ft
4:09.0,J. Teague makes 3-pt shot from 24 ft (assist by D. Carroll),3,21-22,,
3:54.0,,,21-24,2,D. Waiters makes 2-pt shot from 15 ft (assist by S. Novak)
3:36.0,P. Antic misses 3-pt shot from 22 ft,,21-24,,
3:35.0,,,21-24,,Defensive rebound by N. Collison
3:30.0,,,21-27,3,R. Westbrook makes 3-pt shot from 24 ft
3:07.0,Shooting foul by D. Waiters (drawn by P. Antic),,21-27,,
3:07.0,P. Antic misses free throw 1 of 3,,21-27,,
3:07.0,Offensive rebound by Team,,21-27,,
3:07.0,P. Antic makes free throw 2 of 3,1,22-27,,
3:07.0,S. Mack enters the game for J. Teague,,22-27,,
3:07.0,,,22-27,,Oklahoma City full timeout
3:07.0,,,22-27,,D. Augustin enters the game for D. Waiters
3:07.0,P. Antic makes free throw 3 of 3,1,23-27,,
2:55.0,,,23-29,2,N. Collison makes 2-pt shot from 1 ft (assist by R. Westbrook)
2:29.0,D. Carroll misses 3-pt shot from 25 ft,,23-29,,
2:28.0,,,23-29,,Defensive rebound by R. Westbrook
2:21.0,,,23-32,3,R. Westbrook makes 3-pt shot from 24 ft
2:01.0,,,23-32,,Personal block foul by N. Collison (drawn by D. Schroder)
2:01.0,D. Schroder makes free throw 1 of 2,1,24-32,,
2:01.0,K. Bazemore enters the game for D. Carroll,,24-32,,
2:01.0,D. Schroder makes free throw 2 of 2,1,25-32,,
1:52.0,,,25-34,2,N. Collison makes 2-pt shot at rim (assist by R. Westbrook)
1:39.0,D. Schroder makes 2-pt shot from 1 ft,2,27-34,,
1:27.0,,,27-34,,S. Novak misses 3-pt shot from 23 ft
1:26.0,Defensive rebound by K. Bazemore,,27-34,,
1:17.0,P. Antic makes 3-pt shot from 24 ft (assist by P. Millsap),3,30-34,,
1:03.0,,,30-34,,Turnover by R. Westbrook (lost ball; steal by P. Millsap)
0:59.0,Turnover by P. Millsap (lost ball; steal by A. Morrow),,30-34,,
0:43.0,,,30-34,,R. Westbrook misses 3-pt shot from 23 ft
0:42.0,Defensive rebound by K. Bazemore,,30-34,,
0:32.0,D. Schroder makes 3-pt shot from 24 ft,3,33-34,,
0:13.0,,,33-34,,R. Westbrook misses 2-pt shot from 1 ft
0:12.0,Defensive rebound by P. Antic,,33-34,,
0:04.0,P. Millsap makes 2-pt shot from 1 ft,2,35-34,,
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:45.0,P. Antic makes 2-pt shot from 1 ft,2,37-34,,
11:29.0,,,37-36,2,D. Augustin makes 2-pt shot from 5 ft (assist by D. Waiters)
11:11.0,S. Mack misses 3-pt shot from 22 ft,,37-36,,
11:10.0,,,37-36,,Defensive rebound by N. Collison
10:56.0,,,37-38,2,D. Waiters makes 2-pt shot from 1 ft (assist by N. Collison)
10:39.0,P. Antic makes 3-pt shot from 23 ft (assist by D. Schroder),3,40-38,,
10:16.0,,,40-38,,Shooting foul by D. Schroder (drawn by A. Morrow)
10:16.0,,,40-39,1,A. Morrow makes free throw 1 of 3
10:16.0,,,40-40,1,A. Morrow makes free throw 2 of 3
10:16.0,M. Muscala enters the game for P. Antic,,40-40,,
10:16.0,,,40-40,,S. Adams enters the game for S. Novak
10:16.0,,,40-41,1,A. Morrow makes free throw 3 of 3
9:58.0,D. Schroder makes 3-pt shot from 24 ft (assist by A. Horford),3,43-41,,
9:45.0,,,43-43,2,S. Adams makes 2-pt shot from 1 ft (assist by N. Collison)
9:29.0,M. Muscala makes 2-pt shot from 10 ft (assist by S. Mack),2,45-43,,
9:09.0,,,45-43,,D. Augustin misses 2-pt shot from 18 ft
9:09.0,Defensive rebound by A. Horford,,45-43,,
9:01.0,K. Bazemore makes 3-pt shot from 22 ft (assist by A. Horford),3,48-43,,
8:41.0,,,48-43,,D. Augustin misses 3-pt shot from 22 ft
8:40.0,,,48-43,,Offensive rebound by D. Augustin
8:37.0,,,48-43,,D. Augustin misses 2-pt shot from 8 ft (block by A. Horford)
8:35.0,Defensive rebound by A. Horford,,48-43,,
8:28.0,S. Mack makes 2-pt shot from 1 ft,2,50-43,,
8:27.0,,,50-43,,Oklahoma City full timeout
8:27.0,,,50-43,,R. Westbrook enters the game for D. Waiters
8:10.0,,,50-45,2,R. Westbrook makes 2-pt shot from 1 ft
7:52.0,K. Bazemore misses 2-pt shot from 3 ft,,50-45,,
7:51.0,,,50-45,,Defensive rebound by R. Westbrook
7:41.0,,,50-45,,N. Collison misses 3-pt shot from 25 ft
7:40.0,Defensive rebound by D. Schroder,,50-45,,
7:17.0,D. Schroder misses 3-pt shot from 22 ft,,50-45,,
7:16.0,,,50-45,,Defensive rebound by S. Adams
7:10.0,,,50-45,,R. Westbrook misses 2-pt shot from 17 ft
7:09.0,,,50-45,,Offensive rebound by R. Westbrook
7:06.0,,,50-45,,R. Westbrook misses 2-pt shot from 1 ft
7:05.0,Defensive rebound by A. Horford,,50-45,,
6:53.0,A. Horford misses 2-pt shot from 14 ft,,50-45,,
6:52.0,,,50-45,,Defensive rebound by D. Augustin
6:36.0,,,50-45,,S. Adams misses 2-pt shot from 5 ft
6:35.0,Defensive rebound by A. Horford,,50-45,,
6:30.0,Turnover by S. Mack (traveling),,50-45,,
6:30.0,,,50-45,,D. Waiters enters the game for N. Collison
6:30.0,,,50-45,,M. McGary enters the game for A. Morrow
6:30.0,J. Teague enters the game for D. Schroder,,50-45,,
6:15.0,D. Carroll enters the game for K. Bazemore,,50-45,,
6:07.0,,,50-47,2,D. Waiters makes 2-pt shot from 1 ft
5:52.0,A. Horford makes 2-pt shot at rim (assist by S. Mack),2,52-47,,
5:44.0,,,52-47,,D. Waiters misses 2-pt shot from 2 ft
5:43.0,,,52-47,,Offensive rebound by S. Adams
5:43.0,,,52-47,,Turnover by S. Adams (traveling)
5:43.0,Atlanta full timeout,,52-47,,
5:43.0,P. Millsap enters the game for M. Muscala,,52-47,,
5:43.0,,,52-47,,A. Morrow enters the game for D. Augustin
5:21.0,,,52-47,,Personal foul by D. Waiters (drawn by S. Mack)
5:15.0,D. Carroll makes 2-pt shot from 2 ft (assist by S. Mack),2,54-47,,
5:01.0,,,54-50,3,A. Morrow makes 3-pt shot from 22 ft (assist by S. Adams)
4:41.0,P. Millsap misses 2-pt shot from 17 ft,,54-50,,
4:40.0,,,54-50,,Defensive rebound by D. Waiters
4:29.0,,,54-50,,R. Westbrook misses 2-pt shot from 1 ft
4:28.0,,,54-50,,Offensive rebound by R. Westbrook
4:27.0,,,54-52,2,R. Westbrook makes 2-pt shot from 2 ft
4:11.0,P. Millsap misses 2-pt shot from 7 ft,,54-52,,
4:11.0,,,54-52,,Defensive rebound by S. Adams
3:56.0,,,54-52,,Turnover by M. McGary (lost ball; steal by P. Millsap)
3:50.0,D. Carroll makes 2-pt shot from 1 ft (assist by J. Teague),2,56-52,,
3:36.0,,,56-54,2,D. Waiters makes 2-pt shot from 1 ft
3:22.0,S. Mack makes 3-pt shot from 23 ft (assist by A. Horford),3,59-54,,
3:07.0,Violation by D. Carroll (kicked ball),,59-54,,
3:07.0,D. Schroder enters the game for S. Mack,,59-54,,
3:07.0,P. Antic enters the game for A. Horford,,59-54,,
2:57.0,,,59-54,,A. Morrow misses 3-pt shot from 24 ft
2:57.0,Defensive rebound by D. Schroder,,59-54,,
2:51.0,Turnover by P. Antic (bad pass),,59-54,,
2:51.0,Official timeout,,59-54,,
2:29.0,,,59-54,,D. Waiters misses 3-pt shot from 24 ft
2:28.0,Defensive rebound by Team,,59-54,,
2:09.0,D. Carroll makes 2-pt shot from 7 ft (assist by P. Antic),2,61-54,,
1:58.0,,,61-54,,R. Westbrook misses 2-pt shot from 2 ft
1:58.0,Defensive rebound by P. Millsap,,61-54,,
1:48.0,D. Carroll misses 3-pt shot from 23 ft,,61-54,,
1:47.0,,,61-54,,Defensive rebound by R. Westbrook
1:41.0,,,61-54,,A. Morrow misses 3-pt shot from 25 ft
1:40.0,Defensive rebound by J. Teague,,61-54,,
1:26.0,J. Teague misses 2-pt shot from 5 ft,,61-54,,
1:25.0,,,61-54,,Defensive rebound by M. McGary
1:11.0,,,61-54,,D. Waiters misses 2-pt shot from 2 ft
1:11.0,Defensive rebound by Team,,61-54,,
1:11.0,,,61-54,,Loose ball foul by S. Adams (drawn by P. Antic)
0:58.0,,,61-54,,Violation by M. McGary (kicked ball)
0:58.0,,,61-54,,A. Roberson enters the game for A. Morrow
0:53.0,Shooting foul by M. McGary (drawn by P. Millsap),,61-54,,
0:53.0,P. Millsap makes free throw 1 of 2,1,62-54,,
0:53.0,,,62-54,,N. Collison enters the game for M. McGary
0:53.0,K. Bazemore enters the game for J. Teague,,62-54,,
0:53.0,P. Millsap makes free throw 2 of 2,1,63-54,,
0:44.0,,,63-54,,Shooting foul by P. Millsap (drawn by R. Westbrook)
0:44.0,,,63-55,1,R. Westbrook makes free throw 1 of 2
0:44.0,J. Teague enters the game for K. Bazemore,,63-55,,
0:44.0,,,63-56,1,R. Westbrook makes free throw 2 of 2
0:27.0,P. Antic makes 3-pt shot from 22 ft (assist by D. Schroder),3,66-56,,
0:07.0,,,66-56,,Shooting foul by P. Millsap (drawn by R. Westbrook)
0:07.0,,,66-57,1,R. Westbrook makes free throw 1 of 3
0:07.0,,,66-58,1,R. Westbrook makes free throw 2 of 3
0:07.0,,,66-59,1,R. Westbrook makes free throw 3 of 3
0:07.0,Atlanta full timeout,,66-59,,
0:07.0,,,66-59,,K. Singler enters the game for S. Adams
0:02.0,D. Schroder makes 2-pt shot from 1 ft,2,68-59,,
0:01.0,Personal foul by D. Carroll (drawn by R. Westbrook),,68-59,,
0:01.0,,,68-60,1,R. Westbrook makes free throw 1 of 2
0:01.0,,,68-61,1,R. Westbrook makes free throw 2 of 2
0:00.0,End of 2nd quarter,,,,End of 2nd quarter
12:00.0,Start of 3rd quarter,,,,Start of 3rd quarter
11:46.0,P. Millsap misses 2-pt shot from 1 ft,,68-61,,
11:44.0,Offensive rebound by D. Carroll,,68-61,,
11:24.0,K. Bazemore misses 2-pt shot from 15 ft,,68-61,,
11:22.0,,,68-61,,Defensive rebound by S. Adams
11:17.0,,,68-61,,Turnover by R. Westbrook (bad pass; steal by J. Teague)
11:16.0,,,68-61,,Personal foul by R. Westbrook (drawn by J. Teague)
10:59.0,A. Horford makes 2-pt shot from 7 ft,2,70-61,,
10:38.0,,,70-61,,Shooting foul by D. Carroll (drawn by D. Waiters)
10:38.0,,,70-62,1,D. Waiters makes free throw 1 of 2
10:38.0,,,70-63,1,D. Waiters makes free throw 2 of 2
10:26.0,Turnover by J. Teague (bad pass; steal by S. Adams),,70-63,,
10:14.0,,,70-63,,R. Westbrook misses 3-pt shot from 24 ft
10:13.0,Defensive rebound by A. Horford,,70-63,,
9:55.0,K. Bazemore makes 3-pt shot from 24 ft (assist by P. Millsap),3,73-63,,
9:43.0,,,73-63,,Turnover by M. McGary (lost ball; steal by P. Millsap)
9:38.0,J. Teague makes 2-pt shot from 1 ft,2,75-63,,
9:32.0,,,75-63,,Oklahoma City full timeout
9:23.0,,,75-63,,R. Westbrook misses 2-pt shot from 20 ft
9:22.0,Defensive rebound by D. Carroll,,75-63,,
9:17.0,K. Bazemore misses 2-pt shot at rim,,75-63,,
9:16.0,,,75-63,,Defensive rebound by M. McGary
9:13.0,,,75-63,,Turnover by M. McGary (bad pass; steal by K. Bazemore)
9:09.0,Turnover by P. Millsap (bad pass),,75-63,,
8:59.0,,,75-66,3,D. Waiters makes 3-pt shot from 24 ft (assist by R. Westbrook)
8:42.0,Turnover by A. Horford (bad pass),,75-66,,
8:22.0,,,75-66,,D. Waiters misses 3-pt shot from 22 ft
8:22.0,Defensive rebound by K. Bazemore,,75-66,,
8:17.0,P. Millsap makes 2-pt shot at rim (assist by J. Teague),2,77-66,,
8:02.0,,,77-69,3,A. Roberson makes 3-pt shot from 22 ft (assist by M. McGary)
7:56.0,,,77-69,,Personal foul by A. Roberson (drawn by K. Bazemore)
7:40.0,P. Millsap makes 3-pt shot from 24 ft (assist by A. Horford),3,80-69,,
7:26.0,,,80-69,,M. McGary misses 2-pt shot from 5 ft (block by K. Bazemore)
7:25.0,Defensive rebound by D. Carroll,,80-69,,
7:20.0,,,80-69,,Shooting block foul by M. McGary (drawn by D. Carroll)
7:20.0,D. Carroll makes free throw 1 of 2,1,81-69,,
7:20.0,,,81-69,,N. Collison enters the game for M. McGary
7:20.0,D. Carroll misses free throw 2 of 2,,81-69,,
7:19.0,,,81-69,,Defensive rebound by S. Adams
7:05.0,,,81-71,2,S. Adams makes 2-pt shot from 5 ft
6:51.0,Turnover by D. Carroll (bad pass; steal by R. Westbrook),,81-71,,
6:48.0,,,81-71,,Offensive foul by R. Westbrook
6:48.0,,,81-71,,Turnover by R. Westbrook (offensive foul)
6:28.0,J. Teague misses 2-pt shot from 3 ft (block by S. Adams),,81-71,,
6:27.0,,,81-71,,Defensive rebound by A. Roberson
6:17.0,,,81-73,2,S. Adams makes 2-pt shot at rim (assist by R. Westbrook)
5:51.0,K. Bazemore misses 3-pt shot from 24 ft,,81-73,,
5:50.0,,,81-73,,Defensive rebound by S. Adams
5:41.0,,,81-76,3,N. Collison makes 3-pt shot from 22 ft (assist by R. Westbrook)
5:40.0,Atlanta full timeout,,81-76,,
5:40.0,P. Antic enters the game for A. Horford,,81-76,,
5:40.0,D. Schroder enters the game for K. Bazemore,,81-76,,
5:24.0,P. Millsap makes 2-pt shot from 3 ft,2,83-76,,
5:04.0,,,83-78,2,N. Collison makes 2-pt shot at rim (assist by D. Waiters)
4:43.0,D. Schroder makes 2-pt shot at rim,2,85-78,,
4:20.0,,,85-78,,A. Roberson misses 3-pt shot from 24 ft
4:18.0,Defensive rebound by P. Antic,,85-78,,
3:57.0,Turnover by D. Schroder (lost ball; steal by A. Roberson),,85-78,,
3:55.0,,,85-78,,Turnover by A. Roberson (bad pass; steal by D. Carroll)
3:55.0,,,85-78,,Personal foul by R. Westbrook (drawn by D. Carroll)
3:55.0,,,85-78,,A. Morrow enters the game for A. Roberson
3:55.0,S. Mack enters the game for J. Teague,,85-78,,
3:39.0,D. Schroder makes 3-pt shot from 23 ft,3,88-78,,
3:26.0,Personal foul by P. Antic (drawn by S. Adams),,88-78,,
3:23.0,,,88-81,3,A. Morrow makes 3-pt shot from 24 ft (assist by N. Collison)
3:02.0,D. Carroll makes 3-pt shot from 22 ft (assist by S. Mack),3,91-81,,
2:50.0,,,91-81,,N. Collison misses 2-pt shot from 3 ft (block by P. Millsap)
2:48.0,,,91-81,,Offensive rebound by N. Collison
2:47.0,,,91-83,2,N. Collison makes 2-pt shot from 1 ft
2:47.0,,,91-83,,Shooting foul by P. Millsap (drawn by N. Collison)
2:47.0,,,91-83,,N. Collison misses free throw 1 of 1
2:46.0,Defensive rebound by D. Carroll,,91-83,,
2:25.0,P. Millsap makes 2-pt shot from 4 ft,2,93-83,,
2:13.0,,,93-83,,R. Westbrook misses 2-pt shot at rim
2:12.0,Defensive rebound by Team,,93-83,,
2:12.0,,,93-83,,Loose ball foul by S. Adams (drawn by P. Antic)
2:12.0,P. Antic makes free throw 1 of 2,1,94-83,,
2:12.0,A. Horford enters the game for P. Millsap,,94-83,,
2:12.0,K. Bazemore enters the game for D. Carroll,,94-83,,
2:12.0,,,94-83,,P. Jones enters the game for S. Adams
2:12.0,P. Antic makes free throw 2 of 2,1,95-83,,
1:54.0,,,95-83,,D. Waiters misses 2-pt shot from 2 ft
1:53.0,,,95-83,,Offensive rebound by N. Collison
1:53.0,,,95-85,2,N. Collison makes 2-pt shot at rim
1:30.0,D. Schroder misses 2-pt shot from 4 ft,,95-85,,
1:28.0,,,95-85,,Defensive rebound by N. Collison
1:18.0,,,95-88,3,D. Waiters makes 3-pt shot from 22 ft (assist by A. Morrow)
0:55.0,S. Mack misses 3-pt shot from 23 ft,,95-88,,
0:54.0,,,95-88,,Defensive rebound by R. Westbrook
0:48.0,,,95-88,,Shooting foul by K. Bazemore (drawn by R. Westbrook)
0:48.0,,,95-89,1,R. Westbrook makes free throw 1 of 2
0:48.0,,,95-89,,D. Augustin enters the game for D. Waiters
0:48.0,,,95-90,1,R. Westbrook makes free throw 2 of 2
0:26.0,S. Mack misses 2-pt shot from 7 ft,,95-90,,
0:25.0,Offensive rebound by A. Horford,,95-90,,
0:03.0,D. Schroder misses 2-pt shot from 4 ft (block by N. Collison),,95-90,,
0:01.0,,,95-90,,Defensive rebound by R. Westbrook
0:00.0,,,95-90,,R. Westbrook misses 3-pt shot from 29 ft
0:00.0,,,95-90,,Offensive rebound by Team
0:00.0,End of 3rd quarter,,,,End of 3rd quarter
12:00.0,Start of 4th quarter,,,,Start of 4th quarter
11:44.0,,,95-92,2,R. Westbrook makes 2-pt shot from 2 ft
11:19.0,P. Antic misses 3-pt shot from 22 ft,,95-92,,
11:18.0,,,95-92,,Defensive rebound by D. Augustin
11:05.0,,,95-92,,A. Morrow misses 3-pt shot from 22 ft
11:04.0,Defensive rebound by A. Horford,,95-92,,
10:49.0,P. Antic misses 2-pt shot from 15 ft,,95-92,,
10:48.0,Offensive rebound by A. Horford,,95-92,,
10:27.0,A. Horford makes 2-pt shot from 4 ft,2,97-92,,
10:05.0,,,97-94,2,P. Jones makes 2-pt shot from 5 ft
9:54.0,D. Schroder misses 2-pt shot from 2 ft,,97-94,,
9:53.0,Offensive rebound by P. Antic,,97-94,,
9:53.0,P. Antic makes 2-pt shot at rim,2,99-94,,
9:35.0,,,99-94,,Shooting foul by P. Antic (drawn by R. Westbrook)
9:35.0,,,99-95,1,R. Westbrook makes free throw 1 of 2
9:35.0,P. Millsap enters the game for P. Antic,,99-95,,
9:35.0,,,99-96,1,R. Westbrook makes free throw 2 of 2
9:24.0,S. Mack misses 3-pt shot from 24 ft,,99-96,,
9:24.0,Offensive rebound by Team,,99-96,,
9:24.0,,,99-96,,Loose ball foul by D. Augustin (drawn by P. Millsap)
9:17.0,P. Millsap makes 2-pt shot from 5 ft,2,101-96,,
9:11.0,,,101-96,,R. Westbrook misses 2-pt shot from 1 ft
9:09.0,Defensive rebound by S. Mack,,101-96,,
8:45.0,K. Bazemore makes 2-pt shot from 4 ft,2,103-96,,
8:41.0,,,103-96,,Oklahoma City full timeout
8:38.0,J. Teague enters the game for D. Schroder,,103-96,,
8:38.0,,,103-96,,S. Adams enters the game for P. Jones
8:24.0,Personal foul by P. Millsap (drawn by S. Adams),,103-96,,
8:12.0,,,103-96,,N. Collison misses 3-pt shot from 23 ft
8:11.0,Defensive rebound by K. Bazemore,,103-96,,
8:02.0,P. Millsap misses 2-pt shot from 1 ft (block by N. Collison),,103-96,,
8:01.0,,,103-96,,Defensive rebound by S. Adams
7:54.0,,,103-99,3,A. Morrow makes 3-pt shot from 24 ft (assist by D. Augustin)
7:35.0,J. Teague misses 2-pt shot from 15 ft,,103-99,,
7:34.0,,,103-99,,Defensive rebound by R. Westbrook
7:28.0,,,103-102,3,A. Morrow makes 3-pt shot from 23 ft (assist by R. Westbrook)
7:20.0,Atlanta full timeout,,103-102,,
7:20.0,,,103-102,,D. Waiters enters the game for N. Collison
7:20.0,D. Carroll enters the game for K. Bazemore,,103-102,,
7:20.0,D. Schroder enters the game for S. Mack,,103-102,,
7:04.0,P. Millsap misses 2-pt shot from 11 ft,,103-102,,
7:04.0,,,103-102,,Defensive rebound by S. Adams
6:58.0,,,103-102,,R. Westbrook misses 2-pt shot from 3 ft (block by P. Millsap)
6:55.0,Defensive rebound by A. Horford,,103-102,,
6:49.0,D. Schroder makes 2-pt shot from 1 ft,2,105-102,,
6:35.0,,,105-102,,A. Morrow misses 3-pt shot from 25 ft
6:34.0,,,105-102,,Offensive rebound by S. Adams
6:30.0,,,105-105,3,R. Westbrook makes 3-pt shot from 24 ft (assist by S. Adams)
6:05.0,D. Schroder misses 3-pt shot from 23 ft,,105-105,,
6:04.0,,,105-105,,Defensive rebound by D. Waiters
5:52.0,,,105-108,3,A. Morrow makes 3-pt shot from 23 ft (assist by R. Westbrook)
5:33.0,Shooting foul by S. Adams (drawn by P. Millsap),,105-108,,
5:33.0,P. Millsap misses free throw 1 of 2,,105-108,,
5:33.0,Offensive rebound by Team,,105-108,,
5:33.0,K. Bazemore enters the game for A. Horford,,105-108,,
5:33.0,P. Millsap misses free throw 2 of 2,,105-108,,
5:32.0,,,105-108,,Defensive rebound by R. Westbrook
5:22.0,,,105-108,,S. Adams misses 2-pt shot from 1 ft
5:21.0,,,105-108,,Offensive rebound by S. Adams
5:21.0,,,105-108,,S. Adams misses 2-pt shot from 1 ft
5:20.0,Defensive rebound by J. Teague,,105-108,,
5:09.0,P. Millsap misses 2-pt shot from 1 ft,,105-108,,
5:08.0,,,105-108,,Defensive rebound by S. Adams
5:03.0,,,105-108,,Shooting foul by K. Bazemore (drawn by R. Westbrook)
5:03.0,,,105-109,1,R. Westbrook makes free throw 1 of 2
5:03.0,,,105-110,1,R. Westbrook makes free throw 2 of 2
4:37.0,P. Millsap misses 3-pt shot from 22 ft,,105-110,,
4:36.0,Offensive rebound by J. Teague,,105-110,,
4:23.0,J. Teague misses 2-pt shot from 4 ft,,105-110,,
4:22.0,Offensive rebound by J. Teague,,105-110,,
4:15.0,D. Schroder misses 2-pt shot from 2 ft (block by D. Waiters),,105-110,,
4:14.0,,,105-110,,Defensive rebound by S. Adams
4:08.0,,,105-113,3,A. Morrow makes 3-pt shot from 22 ft (assist by R. Westbrook)
4:07.0,Atlanta full timeout,,105-113,,
4:07.0,A. Horford enters the game for K. Bazemore,,105-113,,
3:57.0,Turnover by D. Schroder (lost ball; steal by D. Waiters),,105-113,,
3:53.0,,,105-115,2,D. Waiters makes 2-pt shot at rim
3:29.0,J. Teague misses 2-pt shot from 9 ft,,105-115,,
3:27.0,Offensive rebound by Team,,105-115,,
3:23.0,Shooting foul by S. Adams (drawn by J. Teague),,105-115,,
3:23.0,J. Teague makes free throw 1 of 2,1,106-115,,
3:23.0,J. Teague makes free throw 2 of 2,1,107-115,,
3:10.0,,,107-115,,R. Westbrook misses 2-pt shot from 17 ft
3:09.0,,,107-115,,Offensive rebound by S. Adams
2:53.0,,,107-117,2,R. Westbrook makes 2-pt shot from 16 ft
2:39.0,A. Horford makes 2-pt shot from 16 ft (assist by J. Teague),2,109-117,,
2:16.0,,,109-119,2,S. Adams makes 2-pt shot from 1 ft (assist by R. Westbrook)
2:07.0,J. Teague makes 2-pt shot from 2 ft,2,111-119,,
1:44.0,,,111-119,,R. Westbrook misses 2-pt shot from 12 ft
1:43.0,Defensive rebound by D. Schroder,,111-119,,
1:38.0,Shooting foul by A. Morrow (drawn by D. Schroder),,111-119,,
1:38.0,Official timeout,,111-119,,
1:38.0,D. Schroder makes free throw 1 of 2,1,112-119,,
