time,Chicago,pts.away,score,pts.home,Philadelphia
7:52.0,,,38-39,,Offensive rebound by H. Sims
7:50.0,,,38-41,2,H. Sims makes 2-pt shot from 2 ft
7:38.0,T. Gibson misses 2-pt shot from 3 ft,,38-41,,
7:36.0,,,38-41,,Defensive rebound by K. McDaniels
7:29.0,,,38-43,2,J. Sampson makes 2-pt shot from 1 ft (assist by K. McDaniels)
7:21.0,Chicago full timeout,,38-43,,
7:21.0,,,38-43,,T. Wroten enters the game for A. Shved
7:21.0,,,38-43,,C. Johnson enters the game for K. McDaniels
7:21.0,J. Butler enters the game for T. Snell,,38-43,,
7:15.0,Offensive charge foul by D. McDermott,,38-43,,
7:15.0,Turnover by D. McDermott (offensive foul),,38-43,,
6:57.0,Personal foul by J. Noah (drawn by H. Sims),,38-43,,
6:49.0,,,38-43,,T. Wroten misses 2-pt shot from 2 ft
6:47.0,,,38-43,,Offensive rebound by T. Wroten
6:47.0,,,38-43,,T. Wroten misses 2-pt shot from 2 ft
6:44.0,,,38-43,,Offensive rebound by L. Mbah a Moute
6:44.0,,,38-43,,L. Mbah a Moute misses 2-pt shot at rim
6:43.0,Defensive rebound by K. Hinrich,,38-43,,
6:40.0,J. Butler misses 2-pt shot from 6 ft,,38-43,,
6:39.0,,,38-43,,Defensive rebound by J. Sampson
6:35.0,,,38-45,2,T. Wroten makes 2-pt shot at rim (assist by J. Sampson)
6:19.0,K. Hinrich misses 2-pt shot from 17 ft,,38-45,,
6:18.0,Offensive rebound by J. Noah,,38-45,,
6:18.0,Shooting foul by T. Wroten (drawn by J. Noah),,38-45,,
6:18.0,J. Noah misses free throw 1 of 2,,38-45,,
6:18.0,Offensive rebound by Team,,38-45,,
6:18.0,J. Noah makes free throw 2 of 2,1,39-45,,
6:04.0,,,39-45,,T. Wroten misses 2-pt shot from 3 ft
6:01.0,,,39-45,,Offensive rebound by H. Sims
6:01.0,,,39-47,2,H. Sims makes 2-pt shot from 1 ft
5:35.0,Shooting foul by L. Mbah a Moute (drawn by K. Hinrich),,39-47,,
5:35.0,K. Hinrich makes free throw 1 of 2,1,40-47,,
5:35.0,P. Gasol enters the game for T. Gibson,,40-47,,
5:35.0,M. Dunleavy enters the game for D. McDermott,,40-47,,
5:35.0,K. Hinrich misses free throw 2 of 2,,40-47,,
5:34.0,,,40-47,,Defensive rebound by H. Sims
5:20.0,,,40-49,2,T. Wroten makes 2-pt shot from 2 ft (assist by C. Johnson)
5:03.0,K. Hinrich makes 2-pt shot from 18 ft,2,42-49,,
4:44.0,,,42-49,,L. Mbah a Moute misses 2-pt shot from 3 ft
4:43.0,Defensive rebound by P. Gasol,,42-49,,
4:39.0,K. Hinrich misses 2-pt shot from 5 ft (block by C. Johnson),,42-49,,
4:38.0,Offensive rebound by Team,,42-49,,
4:36.0,Shooting foul by T. Wroten (drawn by M. Dunleavy),,42-49,,
4:36.0,M. Dunleavy makes free throw 1 of 2,1,43-49,,
4:36.0,,,43-49,,H. Thompson enters the game for L. Mbah a Moute
4:36.0,M. Dunleavy makes free throw 2 of 2,1,44-49,,
4:22.0,,,44-49,,T. Wroten misses 3-pt shot from 25 ft
4:20.0,Defensive rebound by J. Noah,,44-49,,
4:06.0,J. Butler misses 3-pt shot from 25 ft,,44-49,,
4:04.0,,,44-49,,Defensive rebound by J. Sampson
3:53.0,,,44-49,,T. Wroten misses 2-pt shot from 1 ft
3:50.0,,,44-49,,Offensive rebound by H. Sims
3:50.0,,,44-49,,H. Sims misses 2-pt shot from 1 ft (block by P. Gasol)
3:47.0,,,44-49,,Offensive rebound by H. Sims
3:46.0,,,44-49,,T. Wroten misses 2-pt shot from 2 ft (block by M. Dunleavy)
3:46.0,,,44-49,,Offensive rebound by Team
3:46.0,,,44-49,,Philadelphia full timeout
3:39.0,,,44-49,,C. Johnson misses 3-pt shot from 27 ft
3:37.0,,,44-49,,Offensive rebound by J. Sampson
3:33.0,,,44-49,,C. Johnson misses 2-pt shot from 19 ft
3:33.0,,,44-49,,Offensive rebound by Team
3:30.0,,,44-52,3,H. Sims makes 3-pt shot from 24 ft (assist by T. Wroten)
3:14.0,,,44-52,,Violation by J. Sampson (def goaltending)
3:14.0,J. Butler makes 2-pt shot from 2 ft,2,46-52,,
2:56.0,,,46-52,,Turnover by H. Sims (offensive foul)
2:56.0,,,46-52,,Offensive foul by H. Sims
2:56.0,,,46-52,,B. Davies enters the game for J. Sampson
2:56.0,,,46-52,,K. McDaniels enters the game for H. Sims
2:48.0,Turnover by K. Hinrich (bad pass; steal by K. McDaniels),,46-52,,
2:40.0,,,46-54,2,B. Davies makes 2-pt shot from 17 ft (assist by K. McDaniels)
2:18.0,M. Dunleavy makes 3-pt shot from 24 ft (assist by P. Gasol),3,49-54,,
2:00.0,,,49-54,,T. Wroten misses 2-pt shot from 9 ft
1:58.0,Defensive rebound by P. Gasol,,49-54,,
1:58.0,Turnover by P. Gasol (bad pass; steal by T. Wroten),,49-54,,
1:53.0,,,49-54,,K. McDaniels misses 3-pt shot from 25 ft
1:49.0,Defensive rebound by P. Gasol,,49-54,,
1:49.0,Shooting foul by H. Thompson (drawn by K. Hinrich),,49-54,,
1:49.0,K. Hinrich makes free throw 1 of 2,1,50-54,,
1:49.0,,,50-54,,A. Shved enters the game for C. Johnson
1:49.0,,,50-54,,J. Sampson enters the game for T. Wroten
1:49.0,K. Hinrich misses free throw 2 of 2,,50-54,,
1:47.0,Offensive rebound by J. Noah,,50-54,,
1:43.0,M. Dunleavy misses 3-pt shot from 26 ft,,50-54,,
1:40.0,Offensive rebound by J. Noah,,50-54,,
1:33.0,Shooting foul by H. Thompson (drawn by K. Hinrich),,50-54,,
1:33.0,K. Hinrich makes free throw 1 of 2,1,51-54,,
1:33.0,K. Hinrich makes free throw 2 of 2,1,52-54,,
1:17.0,,,52-57,3,H. Thompson makes 3-pt shot from 26 ft (assist by B. Davies)
0:58.0,J. Noah misses 2-pt shot from 17 ft,,52-57,,
0:58.0,Offensive rebound by P. Gasol,,52-57,,
0:58.0,P. Gasol makes 2-pt shot at rim,2,54-57,,
0:40.0,,,54-57,,Offensive foul by K. McDaniels
0:40.0,,,54-57,,Turnover by K. McDaniels (offensive foul)
0:40.0,,,54-57,,L. Mbah a Moute enters the game for K. McDaniels
0:29.0,Turnover by J. Butler (lost ball; steal by H. Thompson),,54-57,,
0:24.0,,,54-57,,Philadelphia full timeout
0:11.0,Shooting block foul by J. Noah (drawn by A. Shved),,54-57,,
0:11.0,,,54-57,,A. Shved misses free throw 1 of 2
0:11.0,,,54-57,,Offensive rebound by Team
0:11.0,,,54-57,,A. Shved misses free throw 2 of 2
0:10.0,Defensive rebound by K. Hinrich,,54-57,,
0:02.0,M. Dunleavy makes 2-pt shot from 17 ft (assist by K. Hinrich),2,56-57,,
0:02.0,,,56-57,,Loose ball foul by H. Thompson (drawn by J. Noah)
0:02.0,J. Noah makes free throw 1 of 1,1,57-57,,
0:00.0,End of 2nd quarter,,,,End of 2nd quarter
12:00.0,Start of 3rd quarter,,,,Start of 3rd quarter
11:38.0,K. Hinrich misses 2-pt shot from 11 ft,,57-57,,
11:36.0,,,57-57,,Defensive rebound by J. Sampson
11:29.0,,,57-59,2,L. Mbah a Moute makes 2-pt shot from 2 ft (assist by T. Wroten)
11:08.0,K. Hinrich makes 3-pt shot from 24 ft (assist by M. Dunleavy),3,60-59,,
10:46.0,,,60-59,,B. Davies misses 2-pt shot from 14 ft
10:45.0,Defensive rebound by J. Noah,,60-59,,
10:39.0,M. Dunleavy makes 3-pt shot from 24 ft (assist by K. Hinrich),3,63-59,,
10:15.0,,,63-59,,L. Mbah a Moute misses 2-pt shot from 20 ft
10:13.0,Defensive rebound by P. Gasol,,63-59,,
9:53.0,K. Hinrich misses 3-pt shot from 25 ft,,63-59,,
9:51.0,,,63-59,,Defensive rebound by L. Mbah a Moute
9:40.0,,,63-62,3,T. Wroten makes 3-pt shot from 28 ft (assist by L. Mbah a Moute)
9:18.0,P. Gasol makes 2-pt shot from 7 ft (assist by J. Butler),2,65-62,,
9:05.0,,,65-62,,Turnover by J. Sampson (lost ball)
8:46.0,M. Dunleavy misses 3-pt shot from 26 ft,,65-62,,
8:44.0,Offensive rebound by J. Butler,,65-62,,
8:44.0,J. Butler misses 2-pt shot at rim,,65-62,,
8:44.0,Offensive rebound by J. Noah,,65-62,,
8:44.0,J. Noah makes 2-pt shot from 1 ft,2,67-62,,
8:44.0,Shooting foul by H. Thompson (drawn by J. Noah),,67-62,,
8:44.0,,,67-62,,K. McDaniels enters the game for H. Thompson
8:44.0,J. Noah makes free throw 1 of 1,1,68-62,,
8:26.0,,,68-62,,Turnover by K. McDaniels (lost ball; steal by K. Hinrich)
8:08.0,M. Dunleavy makes 3-pt shot from 25 ft (assist by K. Hinrich),3,71-62,,
8:07.0,,,71-62,,Philadelphia full timeout
7:53.0,,,71-64,2,L. Mbah a Moute makes 2-pt shot from 17 ft (assist by K. McDaniels)
7:31.0,J. Noah misses 2-pt shot from 1 ft,,71-64,,
7:29.0,,,71-64,,Defensive rebound by L. Mbah a Moute
7:22.0,,,71-64,,Offensive charge foul by T. Wroten
7:22.0,,,71-64,,Turnover by T. Wroten (offensive foul)
7:08.0,M. Dunleavy makes 2-pt shot from 1 ft (assist by J. Noah),2,73-64,,
6:59.0,,,73-64,,B. Davies misses 3-pt shot from 25 ft
6:57.0,Defensive rebound by J. Noah,,73-64,,
6:41.0,M. Dunleavy makes 3-pt shot from 23 ft (assist by K. Hinrich),3,76-64,,
6:19.0,,,76-64,,J. Sampson misses 2-pt shot from 16 ft
6:17.0,Defensive rebound by K. Hinrich,,76-64,,
6:05.0,Turnover by J. Noah (bad pass),,76-64,,
6:05.0,,,76-64,,H. Sims enters the game for J. Sampson
6:05.0,,,76-64,,C. Johnson enters the game for B. Davies
5:47.0,,,76-64,,T. Wroten misses 3-pt shot from 24 ft
5:46.0,,,76-64,,Offensive rebound by L. Mbah a Moute
5:37.0,,,76-64,,K. McDaniels misses 2-pt shot from 3 ft
5:35.0,Defensive rebound by M. Dunleavy,,76-64,,
5:16.0,K. Hinrich misses 3-pt shot from 23 ft,,76-64,,
5:15.0,,,76-64,,Defensive rebound by C. Johnson
5:13.0,,,76-64,,Turnover by C. Johnson (bad pass; steal by P. Gasol)
5:11.0,J. Butler misses 2-pt shot from 2 ft,,76-64,,
5:10.0,Offensive rebound by J. Butler,,76-64,,
5:09.0,J. Butler makes 2-pt shot at rim,2,78-64,,
4:52.0,,,78-66,2,T. Wroten makes 2-pt shot from 1 ft (assist by H. Sims)
4:32.0,Turnover by M. Dunleavy (lost ball; steal by C. Johnson),,78-66,,
4:26.0,,,78-66,,L. Mbah a Moute misses 2-pt shot from 1 ft
4:24.0,,,78-66,,Offensive rebound by K. McDaniels
4:24.0,,,78-68,2,K. McDaniels makes 2-pt shot from 1 ft
4:24.0,,,78-68,,Shooting foul by J. Butler (drawn by K. McDaniels)
4:24.0,T. Gibson enters the game for K. Hinrich,,78-68,,
4:24.0,A. Brooks enters the game for J. Noah,,78-68,,
4:24.0,,,78-68,,H. Thompson enters the game for L. Mbah a Moute
4:24.0,,,78-69,1,K. McDaniels makes free throw 1 of 1
4:08.0,P. Gasol misses 2-pt shot from 9 ft,,78-69,,
4:07.0,,,78-69,,Defensive rebound by H. Thompson
4:02.0,,,78-71,2,H. Thompson makes 2-pt shot from 1 ft (assist by T. Wroten)
4:02.0,,,78-71,,Shooting foul by T. Gibson (drawn by H. Thompson)
4:02.0,,,78-72,1,H. Thompson makes free throw 1 of 1
3:48.0,P. Gasol makes 2-pt shot from 1 ft (assist by A. Brooks),2,80-72,,
3:39.0,,,80-74,2,T. Wroten makes 2-pt shot from 1 ft
3:23.0,,,80-74,,Def 3 sec tech foul by H. Thompson
3:23.0,M. Dunleavy makes technical free throw,1,81-74,,
3:12.0,P. Gasol misses 2-pt shot from 5 ft,,81-74,,
3:10.0,,,81-74,,Defensive rebound by H. Thompson
3:06.0,,,81-74,,Offensive charge foul by T. Wroten
3:06.0,,,81-74,,Turnover by T. Wroten (offensive foul)
3:06.0,,,81-74,,A. Shved enters the game for T. Wroten
2:51.0,J. Butler makes 2-pt shot from 2 ft (assist by M. Dunleavy),2,83-74,,
2:27.0,,,83-74,,H. Sims misses 2-pt shot from 8 ft
2:24.0,Defensive rebound by P. Gasol,,83-74,,
2:11.0,T. Gibson makes 2-pt shot from 1 ft (assist by A. Brooks),2,85-74,,
1:52.0,,,85-74,,H. Thompson misses 3-pt shot from 25 ft
1:50.0,Defensive rebound by P. Gasol,,85-74,,
1:45.0,A. Brooks makes 3-pt shot from 26 ft,3,88-74,,
1:44.0,,,88-74,,Philadelphia full timeout
1:44.0,Chicago full timeout,,88-74,,
1:35.0,,,88-74,,Shooting foul by P. Gasol (drawn by H. Thompson)
1:35.0,,,88-75,1,H. Thompson makes free throw 1 of 2
1:35.0,,,88-76,1,H. Thompson makes free throw 2 of 2
1:20.0,M. Dunleavy misses 2-pt shot from 18 ft,,88-76,,
1:19.0,Offensive rebound by T. Gibson,,88-76,,
1:19.0,T. Gibson makes 2-pt shot at rim,2,90-76,,
0:56.0,,,90-76,,A. Shved misses 2-pt shot from 17 ft
0:55.0,Defensive rebound by A. Brooks,,90-76,,
0:50.0,Shooting foul by K. McDaniels (drawn by J. Butler),,90-76,,
0:50.0,J. Butler makes free throw 1 of 2,1,91-76,,
0:50.0,,,91-76,,L. Mbah a Moute enters the game for H. Thompson
0:50.0,D. McDermott enters the game for M. Dunleavy,,91-76,,
0:50.0,J. Butler makes free throw 2 of 2,1,92-76,,
0:36.0,,,92-76,,Turnover by H. Sims (bad pass; steal by A. Brooks)
0:29.0,A. Brooks misses 3-pt shot from 24 ft,,92-76,,
0:27.0,,,92-76,,Defensive rebound by L. Mbah a Moute
0:21.0,,,92-76,,A. Shved misses 2-pt shot from 2 ft
0:20.0,Defensive rebound by D. McDermott,,92-76,,
0:00.0,A. Brooks misses 2-pt shot from 9 ft,,92-76,,
0:00.0,Offensive rebound by Team,,92-76,,
0:00.0,End of 3rd quarter,,,,End of 3rd quarter
12:00.0,Start of 4th quarter,,,,Start of 4th quarter
11:45.0,Personal foul by J. Butler (drawn by A. Shved),,92-76,,
11:31.0,,,92-76,,Turnover by Team (shot clock)
11:16.0,A. Brooks makes 2-pt shot from 9 ft (assist by J. Butler),2,94-76,,
11:00.0,,,94-78,2,C. Johnson makes 2-pt shot from 1 ft (assist by B. Davies)
10:42.0,Turnover by A. Brooks (bad pass; steal by A. Shved),,94-78,,
10:37.0,,,94-80,2,A. Shved makes 2-pt shot from 1 ft
10:14.0,T. Gibson makes 2-pt shot from 6 ft (assist by J. Butler),2,96-80,,
9:50.0,,,96-83,3,L. Mbah a Moute makes 3-pt shot from 26 ft (assist by J. Sampson)
9:35.0,,,96-83,,T. Wroten enters the game for J. Sampson
9:35.0,,,96-83,,K. McDaniels enters the game for C. Johnson
9:35.0,,,96-83,,H. Thompson enters the game for A. Shved
9:27.0,A. Brooks makes 3-pt shot from 29 ft,3,99-83,,
9:13.0,,,99-86,3,H. Thompson makes 3-pt shot from 24 ft (assist by B. Davies)
8:59.0,Shooting foul by B. Davies (drawn by J. Butler),,99-86,,
8:59.0,Official timeout,,99-86,,
8:59.0,J. Butler makes free throw 1 of 2,1,100-86,,
8:59.0,J. Butler makes free throw 2 of 2,1,101-86,,
8:50.0,Def 3 sec tech foul by T. Gibson,,101-86,,
8:50.0,,,101-86,,H. Thompson misses technical free throw
8:50.0,,,101-86,,Offensive rebound by Team
8:50.0,K. Hinrich enters the game for A. Brooks,,101-86,,
8:50.0,T. Snell enters the game for J. Butler,,101-86,,
8:39.0,,,101-86,,Shooting foul by N. Mirotic (drawn by L. Mbah a Moute)
8:39.0,,,101-87,1,L. Mbah a Moute makes free throw 1 of 2
8:39.0,,,101-88,1,L. Mbah a Moute makes free throw 2 of 2
8:22.0,T. Snell makes 3-pt shot from 22 ft,3,104-88,,
8:08.0,,,104-90,2,T. Wroten makes 2-pt shot from 2 ft
7:57.0,Offensive foul by T. Gibson,,104-90,,
7:57.0,Turnover by T. Gibson (offensive foul),,104-90,,
7:57.0,J. Noah enters the game for N. Mirotic,,104-90,,
7:45.0,,,104-90,,K. McDaniels misses 2-pt shot from 2 ft (block by T. Gibson)
7:43.0,Defensive rebound by T. Gibson,,104-90,,
7:30.0,,,104-90,,Personal foul by K. McDaniels (drawn by T. Gibson)
7:30.0,,,104-90,,J. Sampson enters the game for K. McDaniels
7:20.0,D. McDermott makes 3-pt shot from 25 ft (assist by T. Gibson),3,107-90,,
7:10.0,,,107-93,3,L. Mbah a Moute makes 3-pt shot from 24 ft (assist by T. Wroten)
6:55.0,,,107-93,,Personal foul by T. Wroten (drawn by K. Hinrich)
6:47.0,K. Hinrich makes 2-pt shot from 1 ft,2,109-93,,
6:35.0,,,109-93,,T. Wroten misses 3-pt shot from 25 ft
6:33.0,,,109-93,,Offensive rebound by L. Mbah a Moute
6:32.0,,,109-93,,Philadelphia full timeout
6:32.0,,,109-93,,H. Sims enters the game for B. Davies
6:19.0,,,109-93,,Shooting foul by J. Noah (drawn by H. Sims)
6:19.0,,,109-95,2,H. Sims makes 2-pt shot from 13 ft (assist by L. Mbah a Moute)
6:19.0,,,109-96,1,H. Sims makes free throw 1 of 1
5:57.0,J. Noah misses 2-pt shot from 7 ft (block by L. Mbah a Moute),,109-96,,
5:54.0,,,109-96,,Defensive rebound by T. Wroten
5:51.0,,,109-98,2,J. Sampson makes 2-pt shot at rim (assist by T. Wroten)
5:50.0,Chicago full timeout,,109-98,,
5:50.0,J. Butler enters the game for T. Snell,,109-98,,
5:50.0,M. Dunleavy enters the game for D. McDermott,,109-98,,
5:30.0,M. Dunleavy misses 2-pt shot from 18 ft,,109-98,,
5:29.0,,,109-98,,Defensive rebound by H. Sims
