time,Orlando,pts.away,score,pts.home,Toronto
3:45.0,,,24-19,,A. Johnson misses 2-pt shot from 3 ft
3:44.0,Defensive rebound by T. Harris,,24-19,,
3:38.0,E. Fournier makes 2-pt shot from 2 ft (assist by T. Harris),2,26-19,,
3:31.0,,,26-19,,Toronto full timeout
3:31.0,,,26-19,,T. Hansbrough enters the game for A. Johnson
3:31.0,,,26-19,,P. Patterson enters the game for J. Valanciunas
3:23.0,,,26-19,,D. DeRozan misses 2-pt shot from 19 ft
3:22.0,Defensive rebound by C. Frye,,26-19,,
3:09.0,N. Vucevic misses flagrant free throw 1 of 2,,26-19,,
3:09.0,Offensive rebound by Team,,26-19,,
3:09.0,N. Vucevic misses flagrant free throw 2 of 2,,26-19,,
3:09.0,Offensive rebound by Team,,26-19,,
3:02.0,C. Frye misses 2-pt shot from 4 ft,,26-19,,
3:01.0,,,26-19,,Defensive rebound by T. Hansbrough
2:54.0,,,26-19,,Turnover by K. Lowry (bad pass; steal by E. Fournier)
2:51.0,Shooting foul by T. Ross (drawn by E. Fournier),,26-19,,
2:51.0,Orlando full timeout,,26-19,,
2:51.0,,,26-19,,G. Vasquez enters the game for T. Ross
2:51.0,E. Fournier misses free throw 1 of 2,,26-19,,
2:51.0,Offensive rebound by Team,,26-19,,
2:51.0,E. Fournier misses free throw 2 of 2,,26-19,,
2:48.0,,,26-19,,Defensive rebound by P. Patterson
2:33.0,,,26-21,2,D. DeRozan makes 2-pt shot from 13 ft
2:12.0,N. Vucevic makes 2-pt shot from 1 ft,2,28-21,,
1:55.0,,,28-21,,D. DeRozan misses 2-pt shot from 14 ft (block by T. Harris)
1:52.0,Defensive rebound by E. Fournier,,28-21,,
1:48.0,E. Fournier makes 2-pt shot from 1 ft (assist by T. Harris),2,30-21,,
1:35.0,,,30-23,2,G. Vasquez makes 2-pt shot from 12 ft
1:13.0,N. Vucevic misses 2-pt shot from 2 ft,,30-23,,
1:12.0,,,30-23,,Defensive rebound by K. Lowry
1:03.0,,,30-23,,Shooting foul by E. Payton (drawn by D. DeRozan)
1:03.0,,,30-24,1,D. DeRozan makes free throw 1 of 2
1:03.0,L. Ridnour enters the game for E. Fournier,,30-24,,
1:03.0,B. Gordon enters the game for E. Payton,,30-24,,
1:03.0,,,30-24,,D. DeRozan misses free throw 2 of 2
1:01.0,Defensive rebound by C. Frye,,30-24,,
0:42.0,Turnover by N. Vucevic (lost ball; steal by K. Lowry),,30-24,,
0:34.0,,,30-24,,K. Lowry misses 3-pt shot from 26 ft
0:33.0,Defensive rebound by L. Ridnour,,30-24,,
0:13.0,C. Frye makes 2-pt shot from 22 ft (assist by L. Ridnour),2,32-24,,
0:00.0,,,32-24,,D. DeRozan misses 2-pt shot from 19 ft
0:00.0,,,32-24,,Offensive rebound by Team
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:34.0,B. Gordon makes 3-pt shot from 25 ft (assist by A. Gordon),3,35-24,,
11:13.0,,,35-26,2,L. Williams makes 2-pt shot from 17 ft
10:54.0,M. Harkless makes 2-pt shot from 2 ft (assist by L. Ridnour),2,37-26,,
10:47.0,,,37-26,,Shooting foul by L. Ridnour (drawn by G. Vasquez)
10:47.0,,,37-27,1,G. Vasquez makes free throw 1 of 2
10:47.0,D. Dedmon enters the game for N. Vucevic,,37-27,,
10:47.0,,,37-28,1,G. Vasquez makes free throw 2 of 2
10:40.0,,,37-28,,Personal block foul by P. Patterson (drawn by L. Ridnour)
10:30.0,Turnover by B. Gordon (lost ball),,37-28,,
10:07.0,,,37-28,,G. Vasquez misses 2-pt shot from 3 ft (block by D. Dedmon)
10:04.0,Defensive rebound by D. Dedmon,,37-28,,
10:02.0,Shooting foul by J. Johnson (drawn by A. Gordon),,37-28,,
10:02.0,A. Gordon misses free throw 1 of 2,,37-28,,
10:02.0,Offensive rebound by Team,,37-28,,
10:02.0,A. Gordon makes free throw 2 of 2,1,38-28,,
9:53.0,,,38-31,3,P. Patterson makes 3-pt shot from 25 ft (assist by T. Hansbrough)
9:39.0,L. Ridnour misses 2-pt shot from 17 ft,,38-31,,
9:38.0,,,38-31,,Defensive rebound by P. Patterson
9:32.0,,,38-31,,Turnover by G. Vasquez (lost ball)
9:21.0,B. Gordon misses 3-pt shot from 25 ft,,38-31,,
9:20.0,,,38-31,,Defensive rebound by P. Patterson
9:08.0,,,38-31,,G. Vasquez misses 2-pt shot from 5 ft
9:07.0,Defensive rebound by D. Dedmon,,38-31,,
8:57.0,M. Harkless makes 2-pt shot from 6 ft,2,40-31,,
8:45.0,,,40-31,,Shooting foul by B. Gordon (drawn by L. Williams)
8:45.0,Official timeout,,40-31,,
8:45.0,,,40-31,,J. Valanciunas enters the game for T. Hansbrough
8:45.0,,,40-32,1,L. Williams makes free throw 1 of 2
8:45.0,,,40-33,1,L. Williams makes free throw 2 of 2
8:23.0,D. Dedmon misses 2-pt shot from 8 ft,,40-33,,
8:22.0,,,40-33,,Defensive rebound by J. Valanciunas
7:58.0,,,40-33,,G. Vasquez misses 3-pt shot from 25 ft
7:57.0,Defensive rebound by B. Gordon,,40-33,,
7:51.0,L. Ridnour makes 2-pt shot from 19 ft (assist by B. Gordon),2,42-33,,
7:43.0,C. Frye enters the game for D. Dedmon,,42-33,,
7:39.0,,,42-33,,Turnover by L. Williams (lost ball; steal by C. Frye)
7:27.0,C. Frye misses 3-pt shot from 26 ft,,42-33,,
7:26.0,,,42-33,,Defensive rebound by J. Johnson
7:19.0,,,42-33,,J. Johnson misses 2-pt shot from 2 ft
7:18.0,Defensive rebound by C. Frye,,42-33,,
7:11.0,L. Ridnour makes 2-pt shot from 18 ft,2,44-33,,
6:55.0,,,44-33,,G. Vasquez misses 2-pt shot from 3 ft
6:55.0,Defensive rebound by Team,,44-33,,
6:55.0,,,44-33,,Loose ball foul by J. Valanciunas (drawn by C. Frye)
6:55.0,,,44-33,,A. Johnson enters the game for P. Patterson
6:55.0,,,44-33,,K. Lowry enters the game for G. Vasquez
6:55.0,,,44-33,,D. DeRozan enters the game for L. Williams
6:44.0,Turnover by L. Ridnour (lost ball; steal by K. Lowry),,44-33,,
6:44.0,Personal foul by L. Ridnour (drawn by A. Johnson),,44-33,,
6:24.0,,,44-33,,J. Johnson misses 2-pt shot from 2 ft
6:23.0,,,44-33,,Offensive rebound by A. Johnson
6:21.0,,,44-35,2,A. Johnson makes 2-pt shot at rim
6:17.0,Orlando full timeout,,44-35,,
6:17.0,E. Fournier enters the game for B. Gordon,,44-35,,
6:17.0,N. Vucevic enters the game for M. Harkless,,44-35,,
6:08.0,C. Frye misses 2-pt shot from 20 ft,,44-35,,
6:07.0,,,44-35,,Defensive rebound by J. Johnson
5:51.0,,,44-37,2,A. Johnson makes 2-pt shot from 4 ft
5:28.0,N. Vucevic misses 2-pt shot from 6 ft,,44-37,,
5:27.0,Offensive rebound by A. Gordon,,44-37,,
5:25.0,A. Gordon misses 2-pt shot from 1 ft,,44-37,,
5:24.0,,,44-37,,Defensive rebound by J. Johnson
5:20.0,,,44-37,,A. Johnson misses 2-pt shot at rim
5:17.0,Defensive rebound by A. Gordon,,44-37,,
5:14.0,Offensive charge foul by A. Gordon,,44-37,,
5:14.0,Turnover by A. Gordon (offensive foul),,44-37,,
5:14.0,T. Harris enters the game for A. Gordon,,44-37,,
5:14.0,,,44-37,,T. Ross enters the game for J. Johnson
4:56.0,,,44-39,2,D. DeRozan makes 2-pt shot from 19 ft (assist by K. Lowry)
4:45.0,,,44-39,,Personal block foul by A. Johnson (drawn by L. Ridnour)
4:38.0,L. Ridnour makes 2-pt shot from 18 ft,2,46-39,,
4:18.0,,,46-39,,Shooting foul by T. Harris (drawn by J. Valanciunas)
4:18.0,,,46-39,,J. Valanciunas misses free throw 1 of 2
4:18.0,,,46-39,,Offensive rebound by Team
4:18.0,,,46-40,1,J. Valanciunas makes free throw 2 of 2
4:04.0,L. Ridnour misses 3-pt shot from 25 ft,,46-40,,
4:03.0,,,46-40,,Defensive rebound by J. Valanciunas
3:53.0,,,46-40,,T. Ross misses 3-pt shot from 26 ft
3:53.0,Defensive rebound by T. Harris,,46-40,,
3:45.0,T. Harris makes 2-pt shot from 6 ft,2,48-40,,
3:29.0,,,48-42,2,D. DeRozan makes 2-pt shot from 10 ft (assist by K. Lowry)
3:05.0,T. Harris misses 3-pt shot from 27 ft,,48-42,,
3:04.0,Offensive rebound by C. Frye,,48-42,,
2:59.0,C. Frye makes 3-pt shot from 23 ft (assist by N. Vucevic),3,51-42,,
2:48.0,,,51-42,,Toronto full timeout
2:48.0,,,51-42,,T. Hansbrough enters the game for A. Johnson
2:48.0,,,51-42,,P. Patterson enters the game for J. Valanciunas
2:36.0,,,51-42,,Shooting foul by E. Fournier (drawn by T. Ross)
2:36.0,,,51-43,1,T. Ross makes free throw 1 of 3
2:36.0,,,51-44,1,T. Ross makes free throw 2 of 3
2:36.0,,,51-45,1,T. Ross makes free throw 3 of 3
2:14.0,E. Fournier makes 2-pt shot from 5 ft,2,53-45,,
1:54.0,,,53-45,,D. DeRozan misses 2-pt shot from 5 ft (block by N. Vucevic)
1:53.0,Defensive rebound by T. Harris,,53-45,,
1:53.0,,,53-45,,Personal foul by D. DeRozan (drawn by T. Harris)
1:53.0,T. Harris makes free throw 1 of 2,1,54-45,,
1:53.0,T. Harris makes free throw 2 of 2,1,55-45,,
1:38.0,,,55-47,2,K. Lowry makes 2-pt shot from 2 ft
1:29.0,Shooting foul by D. DeRozan (drawn by T. Harris),,55-47,,
1:29.0,T. Harris makes free throw 1 of 2,1,56-47,,
1:29.0,,,56-47,,G. Vasquez enters the game for D. DeRozan
1:29.0,T. Harris makes free throw 2 of 2,1,57-47,,
1:24.0,,,57-49,2,K. Lowry makes 2-pt shot from 5 ft
1:05.0,E. Fournier makes 3-pt shot from 25 ft (assist by N. Vucevic),3,60-49,,
0:55.0,,,60-51,2,K. Lowry makes 2-pt shot from 1 ft
0:40.0,N. Vucevic misses 2-pt shot from 16 ft,,60-51,,
0:39.0,,,60-51,,Defensive rebound by K. Lowry
0:31.0,,,60-51,,Turnover by K. Lowry (palming)
0:29.0,Orlando full timeout,,60-51,,
0:29.0,,,60-51,,J. Johnson enters the game for G. Vasquez
0:25.0,E. Fournier misses 3-pt shot from 27 ft,,60-51,,
0:24.0,,,60-51,,Defensive rebound by K. Lowry
0:04.0,,,60-51,,K. Lowry misses 3-pt shot from 26 ft
0:02.0,,,60-51,,Offensive rebound by Team
0:02.0,,,60-51,,G. Vasquez enters the game for J. Johnson
0:00.0,,,60-51,,K. Lowry misses 3-pt shot from 24 ft
0:00.0,,,60-51,,Offensive rebound by Team
0:00.0,End of 2nd quarter,,,,End of 2nd quarter
12:00.0,Start of 3rd quarter,,,,Start of 3rd quarter
11:50.0,,,60-51,,Personal foul by K. Lowry (drawn by E. Payton)
11:45.0,E. Fournier makes 2-pt shot at rim,2,62-51,,
11:19.0,,,62-53,2,K. Lowry makes 2-pt shot from 18 ft
11:11.0,Turnover by E. Payton (traveling),,62-53,,
10:59.0,,,62-55,2,K. Lowry makes 2-pt shot from 4 ft (assist by A. Johnson)
10:46.0,T. Harris makes 3-pt shot from 23 ft (assist by N. Vucevic),3,65-55,,
10:46.0,Shooting foul by D. DeRozan (drawn by T. Harris),,65-55,,
10:46.0,T. Harris makes free throw 1 of 1,1,66-55,,
10:29.0,,,66-55,,Turnover by J. Valanciunas (lost ball; steal by N. Vucevic)
10:25.0,Turnover by E. Payton (bad pass; steal by K. Lowry),,66-55,,
10:22.0,Personal foul by E. Payton (drawn by K. Lowry),,66-55,,
10:06.0,,,66-58,3,T. Ross makes 3-pt shot from 26 ft (assist by K. Lowry)
9:45.0,Turnover by T. Harris (offensive foul),,66-58,,
9:45.0,Offensive charge foul by T. Harris,,66-58,,
9:34.0,,,66-58,,J. Valanciunas misses 2-pt shot at rim (block by N. Vucevic)
9:32.0,Defensive rebound by N. Vucevic,,66-58,,
9:23.0,N. Vucevic misses 2-pt shot from 19 ft,,66-58,,
9:22.0,,,66-58,,Defensive rebound by T. Ross
9:12.0,,,66-58,,T. Ross misses 2-pt shot from 15 ft
9:11.0,,,66-58,,Offensive rebound by J. Valanciunas
9:09.0,,,66-58,,J. Valanciunas misses 2-pt shot from 1 ft
9:08.0,Defensive rebound by N. Vucevic,,66-58,,
8:51.0,T. Harris makes 3-pt shot from 23 ft (assist by C. Frye),3,69-58,,
8:31.0,Personal foul by E. Payton (drawn by D. DeRozan),,69-58,,
8:22.0,,,69-58,,Turnover by J. Valanciunas (lost ball)
8:07.0,E. Payton misses 3-pt shot from 25 ft,,69-58,,
8:06.0,,,69-58,,Defensive rebound by D. DeRozan
7:54.0,,,69-58,,D. DeRozan misses 2-pt shot from 13 ft
7:53.0,Defensive rebound by T. Harris,,69-58,,
7:36.0,N. Vucevic misses 2-pt shot from 6 ft,,69-58,,
7:35.0,,,69-58,,Defensive rebound by D. DeRozan
7:18.0,,,69-60,2,A. Johnson makes 2-pt shot from 16 ft (assist by D. DeRozan)
6:59.0,T. Harris makes 2-pt shot from 2 ft (assist by N. Vucevic),2,71-60,,
6:37.0,,,71-60,,T. Ross misses 2-pt shot from 14 ft
6:36.0,,,71-60,,Offensive rebound by J. Valanciunas
6:24.0,,,71-60,,Shooting foul by N. Vucevic (drawn by J. Valanciunas)
6:24.0,,,71-60,,J. Valanciunas misses free throw 1 of 2
6:24.0,,,71-60,,Offensive rebound by Team
6:24.0,,,71-61,1,J. Valanciunas makes free throw 2 of 2
6:09.0,Turnover by N. Vucevic (bad pass; steal by D. DeRozan),,71-61,,
5:59.0,Def 3 sec tech foul by T. Harris,,71-61,,
5:59.0,,,71-61,,Toronto full timeout
5:59.0,,,71-61,,P. Patterson enters the game for J. Valanciunas
5:59.0,,,71-62,1,D. DeRozan makes technical free throw
5:54.0,,,71-62,,D. DeRozan misses 2-pt shot from 14 ft
5:54.0,Defensive rebound by T. Harris,,71-62,,
5:34.0,N. Vucevic makes 2-pt shot from 12 ft,2,73-62,,
5:25.0,,,73-64,2,K. Lowry makes 2-pt shot from 19 ft
5:04.0,Turnover by N. Vucevic (bad pass; steal by A. Johnson),,73-64,,
5:04.0,Personal foul by C. Frye (drawn by A. Johnson),,73-64,,
4:54.0,,,73-64,,K. Lowry misses 2-pt shot from 16 ft
4:53.0,Defensive rebound by T. Harris,,73-64,,
4:42.0,,,73-64,,Personal foul by A. Johnson (drawn by N. Vucevic)
4:32.0,T. Harris misses 2-pt shot from 11 ft,,73-64,,
4:31.0,,,73-64,,Defensive rebound by P. Patterson
4:19.0,,,73-64,,Shooting foul by N. Vucevic (drawn by D. DeRozan)
4:19.0,,,73-65,1,D. DeRozan makes free throw 1 of 2
4:19.0,L. Ridnour enters the game for E. Payton,,73-65,,
4:19.0,,,73-66,1,D. DeRozan makes free throw 2 of 2
4:08.0,N. Vucevic makes 2-pt shot from 3 ft (assist by L. Ridnour),2,75-66,,
4:08.0,Shooting foul by P. Patterson (drawn by N. Vucevic),,75-66,,
4:08.0,N. Vucevic misses free throw 1 of 1,,75-66,,
4:07.0,,,75-66,,Defensive rebound by D. DeRozan
3:44.0,,,75-66,,D. DeRozan misses 3-pt shot from 23 ft (block by N. Vucevic)
3:42.0,Defensive rebound by N. Vucevic,,75-66,,
3:33.0,N. Vucevic makes 2-pt shot from 3 ft (assist by L. Ridnour),2,77-66,,
3:15.0,,,77-66,,K. Lowry misses 2-pt shot from 4 ft
3:14.0,Defensive rebound by L. Ridnour,,77-66,,
2:52.0,N. Vucevic misses 2-pt shot from 16 ft,,77-66,,
2:51.0,,,77-66,,Defensive rebound by T. Ross
2:43.0,Violation by N. Vucevic (def goaltending),,77-66,,
2:43.0,,,77-68,2,A. Johnson makes 2-pt shot from 2 ft (assist by K. Lowry)
2:27.0,E. Fournier misses 3-pt shot from 26 ft,,77-68,,
2:25.0,,,77-68,,Defensive rebound by Team
2:25.0,Orlando full timeout,,77-68,,
2:25.0,,,77-68,,T. Hansbrough enters the game for T. Ross
2:25.0,,,77-68,,J. Johnson enters the game for A. Johnson
2:25.0,,,77-68,,L. Williams enters the game for D. DeRozan
2:25.0,,,77-68,,G. Vasquez enters the game for K. Lowry
2:08.0,,,77-68,,P. Patterson misses 2-pt shot from 10 ft
2:07.0,Defensive rebound by T. Harris,,77-68,,
1:50.0,N. Vucevic misses 2-pt shot from 8 ft,,77-68,,
1:49.0,,,77-68,,Defensive rebound by J. Johnson
1:38.0,,,77-68,,Turnover by G. Vasquez (bad pass; steal by N. Vucevic)
1:32.0,E. Fournier misses 2-pt shot from 21 ft,,77-68,,
1:31.0,,,77-68,,Defensive rebound by J. Johnson
1:22.0,,,77-68,,Turnover by L. Williams (bad pass; steal by E. Fournier)
1:19.0,E. Fournier makes 2-pt shot at rim,2,79-68,,
0:59.0,,,79-70,2,J. Johnson makes 2-pt shot from 2 ft
0:48.0,,,79-70,,Personal foul by T. Hansbrough (drawn by N. Vucevic)
0:48.0,N. Vucevic makes free throw 1 of 2,1,80-70,,
0:48.0,A. Gordon enters the game for C. Frye,,80-70,,
0:48.0,N. Vucevic makes free throw 2 of 2,1,81-70,,
0:38.0,,,81-72,2,L. Williams makes 2-pt shot from 7 ft
0:22.0,Turnover by N. Vucevic (bad pass; steal by G. Vasquez),,81-72,,
0:16.0,,,81-72,,G. Vasquez misses 3-pt shot from 25 ft
0:15.0,Defensive rebound by Team,,81-72,,
0:03.0,Shooting foul by T. Hansbrough (drawn by E. Fournier),,81-72,,
0:03.0,E. Fournier makes free throw 1 of 2,1,82-72,,
0:03.0,M. Harkless enters the game for N. Vucevic,,82-72,,
0:03.0,E. Fournier makes free throw 2 of 2,1,83-72,,
0:00.0,,,83-72,,L. Williams misses 3-pt shot from 31 ft
0:00.0,,,83-72,,Offensive rebound by Team
0:00.0,End of 3rd quarter,,,,End of 3rd quarter
12:00.0,Start of 4th quarter,,,,Start of 4th quarter
12:00.0,Personal foul by M. Harkless (drawn by T. Hansbrough),,83-72,,
11:33.0,,,83-74,2,L. Williams makes 2-pt shot from 16 ft
11:18.0,A. Gordon misses 2-pt shot from 14 ft,,83-74,,
11:17.0,,,83-74,,Defensive rebound by J. Johnson
11:11.0,,,83-76,2,P. Patterson makes 2-pt shot from 3 ft (assist by J. Johnson)
11:10.0,Orlando full timeout,,83-76,,
10:59.0,L. Ridnour misses 2-pt shot from 6 ft,,83-76,,
10:58.0,,,83-76,,Defensive rebound by J. Johnson
10:47.0,,,83-76,,Shooting foul by L. Ridnour (drawn by L. Williams)
10:47.0,,,83-77,1,L. Williams makes free throw 1 of 2
10:47.0,,,83-77,,L. Williams misses free throw 2 of 2
10:46.0,Defensive rebound by A. Gordon,,83-77,,
10:26.0,C. Frye misses 2-pt shot from 17 ft,,83-77,,
10:25.0,,,83-77,,Defensive rebound by G. Vasquez
10:11.0,,,83-80,3,L. Williams makes 3-pt shot from 25 ft
9:56.0,Turnover by M. Harkless (bad pass; steal by L. Williams),,83-80,,
9:50.0,,,83-83,3,P. Patterson makes 3-pt shot from 23 ft (assist by J. Johnson)
9:48.0,Orlando full timeout,,83-83,,
9:48.0,N. Vucevic enters the game for B. Gordon,,83-83,,
9:48.0,E. Fournier enters the game for M. Harkless,,83-83,,
9:48.0,T. Harris enters the game for A. Gordon,,83-83,,
9:30.0,E. Fournier makes 3-pt shot from 23 ft (assist by T. Harris),3,86-83,,
9:11.0,,,86-83,,Shooting foul by T. Harris (drawn by J. Johnson)
9:11.0,,,86-84,1,J. Johnson makes free throw 1 of 2
9:11.0,,,86-85,1,J. Johnson makes free throw 2 of 2
8:49.0,C. Frye misses 3-pt shot from 25 ft,,86-85,,
8:48.0,,,86-85,,Defensive rebound by G. Vasquez
8:39.0,,,86-85,,G. Vasquez misses 3-pt shot from 25 ft
8:38.0,Defensive rebound by L. Ridnour,,86-85,,
8:29.0,,,86-85,,Personal foul by G. Vasquez (drawn by T. Harris)
8:21.0,N. Vucevic makes 2-pt shot from 14 ft (assist by L. Ridnour),2,88-85,,
8:02.0,,,88-85,,G. Vasquez misses 2-pt shot from 12 ft
8:01.0,Defensive rebound by T. Harris,,88-85,,
7:48.0,Offensive foul by N. Vucevic,,88-85,,
7:48.0,Turnover by N. Vucevic (offensive foul),,88-85,,
7:48.0,,,88-85,,K. Lowry enters the game for G. Vasquez
7:37.0,,,88-87,2,L. Williams makes 2-pt shot from 21 ft
7:18.0,N. Vucevic misses 2-pt shot from 3 ft,,88-87,,
7:17.0,,,88-87,,Defensive rebound by J. Johnson
7:02.0,,,88-87,,L. Williams misses 3-pt shot from 25 ft
7:01.0,Defensive rebound by T. Harris,,88-87,,
6:49.0,L. Ridnour misses 3-pt shot from 24 ft,,88-87,,
6:48.0,,,88-87,,Defensive rebound by J. Johnson
6:36.0,,,88-90,3,P. Patterson makes 3-pt shot from 24 ft (assist by K. Lowry)
6:17.0,N. Vucevic makes 2-pt shot from 3 ft,2,90-90,,
6:06.0,,,90-90,,Toronto full timeout
6:06.0,,,90-90,,D. DeRozan enters the game for T. Hansbrough
5:53.0,,,90-90,,D. DeRozan misses 3-pt shot from 22 ft
5:52.0,Defensive rebound by N. Vucevic,,90-90,,
5:38.0,E. Fournier misses 2-pt shot from 5 ft,,90-90,,
5:37.0,Offensive rebound by N. Vucevic,,90-90,,
5:32.0,Turnover by T. Harris (offensive foul),,90-90,,
5:32.0,Offensive foul by T. Harris,,90-90,,
5:18.0,,,90-90,,L. Williams misses 2-pt shot from 4 ft
5:17.0,Defensive rebound by N. Vucevic,,90-90,,
5:04.0,T. Harris makes 2-pt shot from 8 ft,2,92-90,,
4:43.0,,,92-92,2,K. Lowry makes 2-pt shot from 6 ft
4:27.0,C. Frye makes 3-pt shot from 25 ft (assist by E. Fournier),3,95-92,,
4:08.0,,,95-92,,Turnover by K. Lowry (lost ball; steal by L. Ridnour)
3:51.0,,,95-92,,T. Ross enters the game for L. Williams
3:45.0,T. Harris misses 3-pt shot from 31 ft,,95-92,,
3:44.0,Offensive rebound by Team,,95-92,,
3:44.0,Turnover by Team (shot clock),,95-92,,
3:34.0,Personal foul by T. Harris (drawn by D. DeRozan),,95-92,,
3:26.0,,,95-95,3,T. Ross makes 3-pt shot from 25 ft (assist by D. DeRozan)
3:00.0,C. Frye misses 2-pt shot from 11 ft (block by J. Johnson),,95-95,,
3:00.0,Offensive rebound by Team,,95-95,,
2:58.0,Turnover by N. Vucevic (kicked ball),,95-95,,
2:58.0,Official timeout,,95-95,,
2:48.0,,,95-97,2,J. Johnson makes 2-pt shot at rim (assist by K. Lowry)
2:21.0,E. Fournier makes 3-pt shot from 25 ft (assist by N. Vucevic),3,98-97,,
2:05.0,,,98-97,,Turnover by J. Johnson (lost ball)
1:43.0,C. Frye misses 3-pt shot from 25 ft,,98-97,,
1:42.0,,,98-97,,Defensive rebound by K. Lowry
1:36.0,,,98-97,,Shooting foul by L. Ridnour (drawn by D. DeRozan)
1:36.0,,,98-98,1,D. DeRozan makes free throw 1 of 2
1:36.0,,,98-99,1,D. DeRozan makes free throw 2 of 2
1:16.0,E. Fournier misses 3-pt shot from 26 ft,,98-99,,
1:15.0,,,98-99,,Defensive rebound by K. Lowry
1:05.0,,,98-99,,Shooting foul by L. Ridnour (drawn by K. Lowry)
1:05.0,,,98-100,1,K. Lowry makes free throw 1 of 2
1:05.0,,,98-101,1,K. Lowry makes free throw 2 of 2
1:05.0,Orlando full timeout,,98-101,,
