time,Minnesota,pts.away,score,pts.home,Indiana
7:24.0,,,29-36,2,R. Stuckey makes 2-pt shot from 1 ft (assist by D. Sloan)
7:23.0,Minnesota full timeout,,29-36,,
7:09.0,T. Daniels makes 3-pt shot from 25 ft,3,32-36,,
6:53.0,,,32-36,,L. Allen misses 2-pt shot from 16 ft
6:52.0,,,32-36,,Offensive rebound by L. Scola
6:49.0,,,32-38,2,L. Scola makes 2-pt shot from 3 ft
6:32.0,T. Daniels makes 2-pt shot from 20 ft,2,34-38,,
6:18.0,,,34-40,2,L. Scola makes 2-pt shot from 18 ft (assist by D. Sloan)
6:02.0,R. Hummel misses 2-pt shot from 20 ft,,34-40,,
6:01.0,,,34-40,,Defensive rebound by Team
6:01.0,,,34-40,,C. Miles enters the game for R. Stuckey
5:43.0,,,34-42,2,C. Miles makes 2-pt shot at rim (assist by L. Allen)
5:28.0,,,34-42,,Personal foul by C. Miles (drawn by T. Daniels)
5:28.0,Official timeout,,34-42,,
5:28.0,,,34-42,,D. West enters the game for L. Allen
5:28.0,M. Williams enters the game for A. Bennett,,34-42,,
5:28.0,G. Dieng enters the game for R. Hummel,,34-42,,
5:28.0,A. Wiggins enters the game for Z. LaVine,,34-42,,
5:19.0,M. Williams makes 2-pt shot from 17 ft,2,36-42,,
4:52.0,,,36-42,,D. Rudez misses 2-pt shot from 22 ft
4:51.0,Defensive rebound by M. Williams,,36-42,,
4:41.0,T. Young misses 2-pt shot from 1 ft,,36-42,,
4:39.0,,,36-42,,Defensive rebound by L. Scola
4:25.0,,,36-42,,L. Scola misses 2-pt shot from 19 ft
4:24.0,Defensive rebound by A. Wiggins,,36-42,,
4:15.0,Turnover by A. Wiggins (lost ball; steal by D. Rudez),,36-42,,
4:06.0,,,36-42,,Turnover by L. Scola (bad pass)
4:06.0,,,36-42,,R. Hibbert enters the game for L. Scola
4:06.0,,,36-42,,C. Watson enters the game for D. Sloan
3:50.0,A. Wiggins misses 2-pt shot from 18 ft,,36-42,,
3:49.0,,,36-42,,Defensive rebound by C. Miles
3:39.0,,,36-42,,Turnover by R. Hibbert (3 sec)
3:27.0,,,36-42,,S. Hill enters the game for D. Rudez
3:25.0,M. Williams misses 2-pt shot from 20 ft,,36-42,,
3:23.0,Offensive rebound by Team,,36-42,,
3:17.0,A. Wiggins makes 2-pt shot from 8 ft (assist by G. Dieng),2,38-42,,
3:05.0,,,38-42,,Indiana full timeout
2:59.0,,,38-42,,Shooting foul by A. Wiggins (drawn by C. Miles)
2:59.0,,,38-43,1,C. Miles makes free throw 1 of 2
2:59.0,C. Budinger enters the game for A. Wiggins,,38-43,,
2:59.0,,,38-44,1,C. Miles makes free throw 2 of 2
2:43.0,T. Daniels misses 2-pt shot from 23 ft,,38-44,,
2:41.0,,,38-44,,Defensive rebound by D. West
2:38.0,,,38-46,2,C. Miles makes 2-pt shot at rim (assist by C. Watson)
2:35.0,,,38-46,,Violation by Team (jump ball)
2:03.0,M. Williams makes 2-pt shot from 18 ft,2,40-46,,
