time,New Orleans,pts.away,score,pts.home,Indiana
4:19.0,,,53-65,,R. Stuckey misses 2-pt shot at rim
4:17.0,Defensive rebound by J. Holiday,,53-65,,
4:11.0,J. Holiday makes 2-pt shot from 1 ft,2,55-65,,
3:57.0,,,55-65,,C. Watson misses 2-pt shot from 15 ft
3:55.0,Defensive rebound by R. Anderson,,55-65,,
3:43.0,A. Davis misses 2-pt shot from 5 ft,,55-65,,
3:42.0,,,55-65,,Defensive rebound by L. Allen
3:33.0,,,55-65,,Indiana full timeout
3:33.0,,,55-65,,G. Hill enters the game for C. Watson
3:33.0,,,55-65,,C. Miles enters the game for R. Stuckey
3:26.0,,,55-65,,Shooting foul by A. Davis (drawn by G. Hill)
3:26.0,,,55-66,1,G. Hill makes free throw 1 of 2
3:26.0,,,55-67,1,G. Hill makes free throw 2 of 2
3:05.0,A. Davis makes 2-pt shot from 1 ft,2,57-67,,
2:43.0,,,57-67,,C. Miles misses 2-pt shot from 14 ft
2:42.0,Defensive rebound by A. Davis,,57-67,,
2:38.0,,,57-67,,Personal foul by G. Hill (drawn by A. Davis)
2:29.0,J. Holiday makes 2-pt shot at rim,2,59-67,,
2:10.0,,,59-67,,G. Hill misses 2-pt shot from 4 ft
2:07.0,Defensive rebound by D. Cunningham,,59-67,,
1:49.0,Turnover by J. Holiday (bad pass; steal by D. West),,59-67,,
1:28.0,,,59-67,,S. Hill misses 3-pt shot from 22 ft
1:26.0,,,59-67,,Offensive rebound by L. Allen
1:10.0,,,59-69,2,L. Allen makes 2-pt shot at rim (assist by D. West)
0:48.0,A. Davis misses 2-pt shot from 11 ft,,59-69,,
0:47.0,,,59-69,,Defensive rebound by L. Allen
0:42.0,Personal foul by J. Holiday (drawn by G. Hill),,59-69,,
0:42.0,A. Rivers enters the game for J. Holiday,,59-69,,
0:42.0,A. Ajinca enters the game for A. Davis,,59-69,,
0:34.0,Personal foul by R. Anderson (drawn by G. Hill),,59-69,,
0:34.0,,,59-69,,G. Hill misses free throw 1 of 2
0:34.0,,,59-69,,Offensive rebound by Team
0:34.0,,,59-70,1,G. Hill makes free throw 2 of 2
0:17.0,R. Anderson misses 3-pt shot from 26 ft,,59-70,,
0:16.0,,,59-70,,Defensive rebound by C. Miles
0:15.0,,,59-70,,Turnover by C. Miles (traveling)
0:15.0,L. Babbitt enters the game for D. Cunningham,,59-70,,
0:15.0,A. Davis enters the game for A. Ajinca,,59-70,,
0:15.0,,,59-70,,C. Watson enters the game for S. Hill
0:05.0,R. Anderson misses 3-pt shot from 26 ft,,59-70,,
0:04.0,Offensive rebound by A. Davis,,59-70,,
0:03.0,Shooting foul by C. Miles (drawn by A. Davis),,59-70,,
0:03.0,A. Davis makes free throw 1 of 2,1,60-70,,
0:03.0,D. Cunningham enters the game for L. Babbitt,,60-70,,
0:03.0,A. Davis makes free throw 2 of 2,1,61-70,,
0:03.0,,,61-70,,Turnover by D. West (bad pass)
0:03.0,L. Babbitt enters the game for D. Cunningham,,61-70,,
0:01.0,Turnover by L. Babbitt (bad pass; steal by C. Miles),,61-70,,
0:00.0,End of 3rd quarter,,,,End of 3rd quarter
12:00.0,Start of 4th quarter,,,,Start of 4th quarter
11:40.0,A. Rivers misses 2-pt shot from 5 ft,,61-70,,
11:38.0,,,61-70,,Defensive rebound by C. Miles
11:27.0,,,61-70,,R. Stuckey misses 2-pt shot from 15 ft
11:25.0,Defensive rebound by A. Rivers,,61-70,,
11:05.0,D. Cunningham makes 2-pt shot from 22 ft,2,63-70,,
10:44.0,,,63-70,,L. Scola misses 2-pt shot from 18 ft
10:42.0,Defensive rebound by T. Evans,,63-70,,
10:36.0,T. Evans misses 2-pt shot from 2 ft (block by L. Allen),,63-70,,
10:34.0,,,63-70,,Defensive rebound by G. Hill
10:29.0,,,63-70,,Shooting foul by R. Anderson (drawn by L. Scola)
10:29.0,,,63-71,1,L. Scola makes free throw 1 of 2
10:29.0,J. Salmons enters the game for T. Evans,,63-71,,
10:29.0,,,63-72,1,L. Scola makes free throw 2 of 2
10:13.0,Turnover by A. Rivers (bad pass; steal by C. Miles),,63-72,,
10:07.0,,,63-74,2,G. Hill makes 2-pt shot from 2 ft
9:50.0,D. Cunningham makes 2-pt shot from 22 ft (assist by A. Ajinca),2,65-74,,
9:29.0,,,65-74,,L. Allen misses 2-pt shot from 2 ft (block by A. Ajinca)
9:26.0,Defensive rebound by D. Cunningham,,65-74,,
9:16.0,A. Rivers misses 2-pt shot from 15 ft,,65-74,,
9:14.0,,,65-74,,Defensive rebound by R. Stuckey
9:07.0,,,65-77,3,G. Hill makes 3-pt shot from 26 ft (assist by R. Stuckey)
8:47.0,,,65-77,,Personal foul by R. Stuckey (drawn by J. Salmons)
8:47.0,Official timeout,,65-77,,
8:47.0,J. Holiday enters the game for A. Rivers,,65-77,,
8:43.0,Shooting foul by G. Hill (drawn by J. Holiday),,65-77,,
8:43.0,J. Holiday makes free throw 1 of 2,1,66-77,,
8:43.0,J. Holiday makes free throw 2 of 2,1,67-77,,
8:25.0,,,67-77,,Turnover by G. Hill (bad pass)
8:14.0,J. Holiday misses 2-pt shot from 12 ft,,67-77,,
8:12.0,,,67-77,,Defensive rebound by R. Stuckey
8:00.0,,,67-77,,L. Scola misses 2-pt shot from 3 ft
7:58.0,Defensive rebound by A. Ajinca,,67-77,,
7:47.0,D. Cunningham misses 2-pt shot from 22 ft,,67-77,,
7:46.0,,,67-77,,Defensive rebound by R. Stuckey
7:29.0,,,67-79,2,L. Scola makes 2-pt shot from 2 ft (assist by C. Miles)
7:15.0,J. Salmons makes 3-pt shot from 23 ft (assist by J. Holiday),3,70-79,,
6:57.0,,,70-82,3,G. Hill makes 3-pt shot from 26 ft (assist by L. Allen)
6:40.0,J. Holiday misses 2-pt shot from 10 ft,,70-82,,
6:38.0,Offensive rebound by D. Cunningham,,70-82,,
6:36.0,D. Cunningham misses 2-pt shot from 1 ft,,70-82,,
