time,Cleveland,pts.away,score,pts.home,Utah
7:29.0,L. James makes free throw 1 of 2,1,32-43,,
7:29.0,S. Marion enters the game for M. Miller,,32-43,,
7:29.0,K. Love enters the game for T. Thompson,,32-43,,
7:29.0,,,32-43,,T. Burke enters the game for D. Exum
7:29.0,,,32-43,,D. Favors enters the game for T. Booker
7:29.0,,,32-43,,E. Kanter enters the game for R. Gobert
7:29.0,L. James makes free throw 2 of 2,1,33-43,,
7:11.0,,,33-45,2,D. Favors makes 2-pt shot from 14 ft (assist by T. Burke)
6:52.0,S. Marion misses 2-pt shot from 2 ft,,33-45,,
6:49.0,Offensive rebound by A. Varejao,,33-45,,
6:49.0,A. Varejao misses 2-pt shot from 2 ft,,33-45,,
6:47.0,,,33-45,,Defensive rebound by E. Kanter
6:40.0,,,33-45,,E. Kanter misses 2-pt shot from 17 ft
6:38.0,Defensive rebound by S. Marion,,33-45,,
6:32.0,K. Irving misses 2-pt shot from 4 ft (block by T. Burke),,33-45,,
6:32.0,Offensive rebound by Team,,33-45,,
6:25.0,Shooting foul by T. Burke (drawn by K. Irving),,33-45,,
6:25.0,K. Irving makes free throw 1 of 3,1,34-45,,
6:25.0,K. Irving makes free throw 2 of 3,1,35-45,,
6:25.0,,,35-45,,D. Exum enters the game for T. Burke
6:25.0,K. Irving makes free throw 3 of 3,1,36-45,,
6:03.0,,,36-45,,Shooting foul by S. Marion (drawn by G. Hayward)
6:03.0,,,36-46,1,G. Hayward makes free throw 1 of 2
6:03.0,,,36-46,,A. Burks enters the game for J. Ingles
6:03.0,,,36-47,1,G. Hayward makes free throw 2 of 2
5:50.0,K. Irving misses 3-pt shot from 24 ft,,36-47,,
5:49.0,,,36-47,,Defensive rebound by G. Hayward
5:42.0,,,36-47,,Turnover by G. Hayward (bad pass; steal by L. James)
5:37.0,Shooting foul by A. Burks (drawn by L. James),,36-47,,
5:37.0,Official timeout,,36-47,,
5:37.0,L. James makes free throw 1 of 2,1,37-47,,
5:37.0,L. James makes free throw 2 of 2,1,38-47,,
5:18.0,,,38-47,,D. Favors misses 2-pt shot from 5 ft
5:17.0,Defensive rebound by A. Varejao,,38-47,,
5:00.0,Turnover by S. Marion (step out of bounds),,38-47,,
5:00.0,T. Thompson enters the game for A. Varejao,,38-47,,
4:46.0,,,38-47,,Turnover by A. Burks (bad pass; steal by L. James)
4:40.0,L. James makes 2-pt shot from 3 ft,2,40-47,,
4:12.0,,,40-47,,E. Kanter misses 2-pt shot from 19 ft
4:11.0,,,40-47,,Offensive rebound by D. Favors
4:05.0,,,40-49,2,D. Favors makes 2-pt shot at rim (assist by G. Hayward)
3:42.0,K. Irving misses 2-pt shot from 8 ft,,40-49,,
3:40.0,,,40-49,,Defensive rebound by A. Burks
3:24.0,,,40-51,2,A. Burks makes 2-pt shot from 19 ft (assist by G. Hayward)
3:17.0,Cleveland full timeout,,40-51,,
3:17.0,,,40-51,,R. Hood enters the game for G. Hayward
3:05.0,K. Love misses 3-pt shot from 24 ft,,40-51,,
3:03.0,,,40-51,,Defensive rebound by R. Hood
2:58.0,Personal foul by K. Love (drawn by E. Kanter),,40-51,,
2:58.0,,,40-51,,Utah full timeout
2:43.0,,,40-54,3,R. Hood makes 3-pt shot from 25 ft (assist by D. Exum)
2:21.0,K. Love misses 2-pt shot from 7 ft,,40-54,,
2:20.0,Offensive rebound by T. Thompson,,40-54,,
2:18.0,T. Thompson makes 2-pt shot at rim,2,42-54,,
2:04.0,,,42-54,,Turnover by D. Favors (lost ball; steal by K. Love)
2:02.0,L. James makes 2-pt shot from 1 ft,2,44-54,,
2:02.0,Shooting foul by R. Hood (drawn by L. James),,44-54,,
2:02.0,,,44-54,,G. Hayward enters the game for R. Hood
2:02.0,L. James makes free throw 1 of 1,1,45-54,,
1:43.0,,,45-54,,Turnover by G. Hayward (bad pass; steal by K. Irving)
1:40.0,Shooting foul by A. Burks (drawn by K. Irving),,45-54,,
1:40.0,K. Irving makes free throw 1 of 2,1,46-54,,
1:40.0,K. Irving makes free throw 2 of 2,1,47-54,,
1:31.0,,,47-54,,Turnover by E. Kanter (lost ball; steal by L. James)
1:26.0,L. James misses 2-pt shot at rim (block by G. Hayward),,47-54,,
1:23.0,,,47-54,,Defensive rebound by E. Kanter
1:18.0,,,47-56,2,G. Hayward makes 2-pt shot at rim (assist by A. Burks)
1:04.0,Shooting foul by G. Hayward (drawn by K. Love),,47-56,,
1:04.0,K. Love makes free throw 1 of 2,1,48-56,,
1:04.0,,,48-56,,R. Hood enters the game for A. Burks
1:04.0,M. Miller enters the game for S. Marion,,48-56,,
1:04.0,K. Love misses free throw 2 of 2,,48-56,,
1:02.0,,,48-56,,Defensive rebound by D. Favors
0:44.0,,,48-59,3,R. Hood makes 3-pt shot from 24 ft (assist by D. Favors)
0:32.0,L. James misses 2-pt shot from 3 ft,,48-59,,
0:31.0,,,48-59,,Defensive rebound by G. Hayward
0:25.0,,,48-59,,D. Exum misses 3-pt shot from 24 ft
0:24.0,,,48-59,,Offensive rebound by D. Favors
0:24.0,Loose ball foul by K. Love (drawn by D. Favors),,48-59,,
0:02.0,,,48-59,,R. Hood misses 3-pt shot from 24 ft
0:01.0,,,48-59,,Offensive rebound by D. Favors
0:00.0,End of 2nd quarter,,,,End of 2nd quarter
12:00.0,Start of 3rd quarter,,,,Start of 3rd quarter
11:35.0,,,48-61,2,D. Favors makes 2-pt shot from 10 ft
11:11.0,A. Varejao misses 2-pt shot from 1 ft,,48-61,,
11:10.0,Offensive rebound by A. Varejao,,48-61,,
10:59.0,A. Varejao misses 2-pt shot from 17 ft,,48-61,,
10:58.0,,,48-61,,Defensive rebound by D. Favors
10:40.0,,,48-63,2,D. Favors makes 2-pt shot from 15 ft (assist by A. Burks)
10:24.0,Turnover by L. James (bad pass; steal by A. Burks),,48-63,,
10:20.0,,,48-63,,A. Burks misses 2-pt shot from 2 ft (block by S. Marion)
10:19.0,Defensive rebound by S. Marion,,48-63,,
10:03.0,K. Irving makes 2-pt shot from 1 ft,2,50-63,,
9:49.0,,,50-63,,G. Hayward misses 2-pt shot from 17 ft
9:48.0,Defensive rebound by K. Irving,,50-63,,
9:45.0,Turnover by S. Marion (bad pass; steal by T. Burke),,50-63,,
9:40.0,,,50-66,3,T. Burke makes 3-pt shot from 24 ft (assist by G. Hayward)
9:13.0,L. James makes 3-pt shot from 24 ft,3,53-66,,
8:52.0,,,53-66,,Turnover by T. Burke (lost ball; steal by A. Varejao)
8:49.0,A. Varejao makes 2-pt shot from 1 ft (assist by L. James),2,55-66,,
8:49.0,,,55-66,,Utah full timeout
8:34.0,,,55-66,,Shooting foul by L. James (drawn by D. Favors)
8:34.0,,,55-67,1,D. Favors makes free throw 1 of 2
8:34.0,,,55-68,1,D. Favors makes free throw 2 of 2
8:15.0,S. Marion misses 2-pt shot from 8 ft,,55-68,,
8:14.0,Offensive rebound by A. Varejao,,55-68,,
8:12.0,A. Varejao makes 2-pt shot from 2 ft,2,57-68,,
7:57.0,Violation by A. Varejao (kicked ball),,57-68,,
7:45.0,,,57-70,2,E. Kanter makes 2-pt shot from 1 ft
7:30.0,K. Love misses 3-pt shot from 24 ft,,57-70,,
7:29.0,,,57-70,,Defensive rebound by Team
7:29.0,Loose ball foul by A. Varejao (drawn by D. Favors),,57-70,,
7:13.0,,,57-70,,E. Kanter misses 3-pt shot from 25 ft
7:12.0,Defensive rebound by Team,,57-70,,
7:04.0,K. Irving makes 3-pt shot from 24 ft,3,60-70,,
6:39.0,,,60-70,,A. Burks misses 3-pt shot from 24 ft
6:38.0,Defensive rebound by A. Varejao,,60-70,,
6:25.0,K. Irving misses 3-pt shot from 24 ft,,60-70,,
6:23.0,,,60-70,,Defensive rebound by A. Burks
6:17.0,,,60-70,,E. Kanter misses 2-pt shot at rim (block by S. Marion)
6:17.0,,,60-70,,Offensive rebound by Team
6:08.0,,,60-70,,A. Burks misses 2-pt shot from 21 ft
6:07.0,Defensive rebound by A. Varejao,,60-70,,
5:54.0,Offensive foul by A. Varejao,,60-70,,
5:54.0,Turnover by A. Varejao (offensive foul),,60-70,,
5:54.0,T. Thompson enters the game for A. Varejao,,60-70,,
5:39.0,,,60-70,,T. Burke misses 3-pt shot from 25 ft
5:37.0,Defensive rebound by L. James,,60-70,,
5:23.0,K. Love misses 2-pt shot from 4 ft,,60-70,,
5:20.0,Offensive rebound by T. Thompson,,60-70,,
5:17.0,Shooting foul by E. Kanter (drawn by K. Love),,60-70,,
5:17.0,K. Love makes free throw 1 of 2,1,61-70,,
5:17.0,,,61-70,,R. Hood enters the game for G. Hayward
5:17.0,,,61-70,,T. Booker enters the game for E. Kanter
5:17.0,K. Love makes free throw 2 of 2,1,62-70,,
4:55.0,,,62-70,,D. Favors misses 2-pt shot from 7 ft
4:53.0,Defensive rebound by K. Love,,62-70,,
4:49.0,,,62-70,,Personal foul by D. Favors (drawn by T. Thompson)
4:32.0,L. James misses 3-pt shot from 24 ft,,62-70,,
4:30.0,,,62-70,,Defensive rebound by A. Burks
4:18.0,,,62-72,2,D. Favors makes 2-pt shot at rim (assist by T. Burke)
4:01.0,K. Irving makes 2-pt shot from 2 ft,2,64-72,,
3:43.0,,,64-72,,R. Hood misses 3-pt shot from 24 ft
3:41.0,Defensive rebound by K. Love,,64-72,,
3:30.0,K. Irving misses 2-pt shot from 3 ft (block by T. Burke),,64-72,,
3:30.0,Offensive rebound by Team,,64-72,,
3:30.0,,,64-72,,R. Gobert enters the game for D. Favors
3:28.0,Shooting foul by T. Booker (drawn by T. Thompson),,64-72,,
3:28.0,T. Thompson makes free throw 1 of 2,1,65-72,,
3:28.0,D. Waiters enters the game for S. Marion,,65-72,,
3:28.0,T. Thompson makes free throw 2 of 2,1,66-72,,
3:21.0,,,66-72,,D. Exum enters the game for T. Burke
2:57.0,L. James makes 3-pt shot from 24 ft (assist by D. Waiters),3,69-72,,
2:42.0,Personal foul by D. Waiters (drawn by A. Burks),,69-72,,
2:42.0,Cleveland full timeout,,69-72,,
2:26.0,,,69-72,,D. Exum misses 2-pt shot from 21 ft
2:24.0,Defensive rebound by L. James,,69-72,,
2:13.0,K. Love misses 2-pt shot from 2 ft,,69-72,,
2:11.0,Offensive rebound by T. Thompson,,69-72,,
2:11.0,T. Thompson makes 2-pt shot from 2 ft,2,71-72,,
2:07.0,,,71-72,,J. Ingles enters the game for A. Burks
1:46.0,,,71-74,2,R. Gobert makes 2-pt shot at rim (assist by D. Exum)
1:24.0,Shooting foul by J. Ingles (drawn by L. James),,71-74,,
1:24.0,L. James makes free throw 1 of 2,1,72-74,,
1:24.0,M. Miller enters the game for K. Irving,,72-74,,
1:24.0,S. Marion enters the game for K. Love,,72-74,,
1:24.0,L. James makes free throw 2 of 2,1,73-74,,
1:09.0,,,73-76,2,T. Booker makes 2-pt shot at rim (assist by R. Hood)
0:50.0,,,73-76,,Personal foul by D. Exum (drawn by D. Waiters)
0:50.0,D. Waiters makes free throw 1 of 2,1,74-76,,
0:50.0,,,74-76,,G. Hayward enters the game for J. Ingles
0:50.0,D. Waiters makes free throw 2 of 2,1,75-76,,
0:32.0,,,75-76,,G. Hayward misses 2-pt shot from 3 ft
0:31.0,,,75-76,,Offensive rebound by G. Hayward
0:31.0,,,75-76,,G. Hayward misses 2-pt shot from 2 ft
0:28.0,Defensive rebound by L. James,,75-76,,
0:11.0,L. James misses 2-pt shot from 2 ft (block by R. Gobert),,75-76,,
0:09.0,,,75-76,,Defensive rebound by T. Booker
0:00.0,,,75-76,,T. Booker misses 2-pt shot from 3 ft
0:00.0,,,75-76,,Offensive rebound by Team
0:00.0,End of 3rd quarter,,,,End of 3rd quarter
12:00.0,Start of 4th quarter,,,,Start of 4th quarter
11:47.0,K. Irving misses 2-pt shot from 2 ft,,75-76,,
11:46.0,,,75-76,,Defensive rebound by T. Booker
11:41.0,,,75-78,2,G. Hayward makes 2-pt shot at rim (assist by J. Ingles)
11:28.0,Offensive charge foul by T. Thompson,,75-78,,
11:28.0,Turnover by T. Thompson (offensive foul),,75-78,,
11:06.0,,,75-78,,T. Booker misses 2-pt shot from 4 ft
11:05.0,,,75-78,,Offensive rebound by R. Gobert
11:05.0,,,75-80,2,R. Gobert makes 2-pt shot at rim
10:58.0,Cleveland full timeout,,75-80,,
10:51.0,D. Waiters misses 2-pt shot from 16 ft,,75-80,,
10:51.0,,,75-80,,Defensive rebound by Team
10:32.0,,,75-80,,T. Booker misses 2-pt shot from 6 ft
10:30.0,,,75-80,,Offensive rebound by R. Gobert
10:30.0,,,75-80,,R. Gobert misses 2-pt shot from 2 ft
10:29.0,Defensive rebound by A. Varejao,,75-80,,
10:16.0,K. Irving makes 2-pt shot from 17 ft,2,77-80,,
10:05.0,,,77-80,,Turnover by G. Hayward (bad pass; steal by A. Varejao)
9:55.0,A. Varejao misses 2-pt shot from 18 ft,,77-80,,
9:55.0,Offensive rebound by Team,,77-80,,
9:55.0,,,77-80,,Personal foul by T. Booker (drawn by T. Thompson)
9:45.0,K. Irving makes 2-pt shot from 12 ft,2,79-80,,
9:26.0,,,79-82,2,T. Booker makes 2-pt shot at rim (assist by G. Hayward)
9:07.0,K. Irving misses 2-pt shot from 23 ft,,79-82,,
9:05.0,,,79-82,,Defensive rebound by R. Gobert
8:56.0,,,79-82,,Shooting foul by M. Miller (drawn by R. Gobert)
8:56.0,,,79-82,,R. Gobert misses free throw 1 of 2
8:56.0,,,79-82,,Offensive rebound by Team
8:56.0,K. Love enters the game for T. Thompson,,79-82,,
8:56.0,L. James enters the game for D. Waiters,,79-82,,
8:56.0,,,79-82,,E. Kanter enters the game for T. Booker
8:56.0,,,79-82,,T. Burke enters the game for D. Exum
8:56.0,,,79-83,1,R. Gobert makes free throw 2 of 2
8:32.0,L. James misses 2-pt shot from 6 ft,,79-83,,
8:31.0,Offensive rebound by Team,,79-83,,
8:31.0,,,79-83,,D. Favors enters the game for R. Gobert
8:15.0,K. Irving makes 2-pt shot from 5 ft,2,81-83,,
7:56.0,,,81-85,2,E. Kanter makes 2-pt shot from 15 ft (assist by G. Hayward)
7:44.0,,,81-85,,Personal foul by T. Burke (drawn by K. Irving)
7:44.0,,,81-85,,A. Burks enters the game for J. Ingles
7:41.0,,,81-85,,Personal foul by T. Burke (drawn by M. Miller)
7:41.0,,,81-85,,D. Exum enters the game for T. Burke
7:38.0,Offensive foul by A. Varejao,,81-85,,
7:38.0,Turnover by A. Varejao (offensive foul),,81-85,,
7:25.0,,,81-85,,Turnover by G. Hayward (bad pass)
7:10.0,Shooting foul by A. Burks (drawn by K. Irving),,81-85,,
7:10.0,K. Irving misses free throw 1 of 3,,81-85,,
7:10.0,Offensive rebound by Team,,81-85,,
7:10.0,K. Irving makes free throw 2 of 3,1,82-85,,
7:10.0,K. Irving makes free throw 3 of 3,1,83-85,,
7:04.0,Personal foul by K. Irving (drawn by A. Burks),,83-85,,
6:52.0,,,83-85,,D. Exum misses 3-pt shot from 24 ft
6:50.0,,,83-85,,Offensive rebound by D. Favors
6:42.0,,,83-85,,Offensive foul by D. Favors
6:42.0,,,83-85,,Turnover by D. Favors (offensive foul)
6:29.0,Shooting foul by E. Kanter (drawn by K. Love),,83-85,,
6:29.0,K. Love makes free throw 1 of 2,1,84-85,,
6:29.0,K. Love makes free throw 2 of 2,1,85-85,,
6:22.0,Personal foul by K. Love (drawn by D. Favors),,85-85,,
6:10.0,,,85-85,,Turnover by E. Kanter (traveling)
5:53.0,K. Love misses 2-pt shot from 1 ft (block by D. Favors),,85-85,,
5:51.0,,,85-85,,Defensive rebound by D. Exum
5:38.0,,,85-85,,A. Burks misses 2-pt shot from 18 ft
5:37.0,Defensive rebound by K. Love,,85-85,,
5:25.0,K. Irving makes 2-pt shot from 3 ft,2,87-85,,
5:00.0,,,87-85,,Shooting foul by M. Miller (drawn by E. Kanter)
5:00.0,Official timeout,,87-85,,
5:00.0,,,87-85,,E. Kanter misses free throw 1 of 2
5:00.0,,,87-85,,Offensive rebound by Team
5:00.0,,,87-86,1,E. Kanter makes free throw 2 of 2
4:43.0,L. James makes 2-pt shot from 16 ft,2,89-86,,
4:17.0,,,89-86,,D. Favors misses 2-pt shot from 6 ft
4:14.0,,,89-86,,Offensive rebound by E. Kanter
4:14.0,,,89-88,2,E. Kanter makes 2-pt shot from 2 ft
4:06.0,K. Irving misses 2-pt shot from 19 ft,,89-88,,
4:05.0,,,89-88,,Defensive rebound by E. Kanter
3:55.0,,,89-88,,Shooting foul by L. James (drawn by G. Hayward)
3:55.0,,,89-89,1,G. Hayward makes free throw 1 of 2
3:55.0,,,89-89,,T. Booker enters the game for E. Kanter
3:55.0,,,89-90,1,G. Hayward makes free throw 2 of 2
3:37.0,K. Love misses 3-pt shot from 23 ft,,89-90,,
3:35.0,,,89-90,,Defensive rebound by D. Favors
3:11.0,,,89-93,3,T. Booker makes 3-pt shot from 23 ft (assist by A. Burks)
2:57.0,,,89-93,,Technical foul by T. Booker (drawn by K. Love)
2:57.0,Technical foul by K. Love,,89-93,,
2:57.0,,,89-93,,Utah full timeout
2:57.0,K. Love makes flagrant free throw 1 of 2,1,90-93,,
2:57.0,K. Love misses flagrant free throw 2 of 2,,90-93,,
2:57.0,Offensive rebound by Team,,90-93,,
2:57.0,,,90-93,,T. Burke enters the game for D. Exum
2:41.0,K. Irving misses 2-pt shot from 4 ft (block by D. Favors),,90-93,,
2:39.0,,,90-93,,Defensive rebound by T. Burke
2:36.0,,,90-93,,G. Hayward misses 2-pt shot from 1 ft
2:35.0,,,90-93,,Offensive rebound by T. Burke
2:21.0,,,90-95,2,D. Favors makes 2-pt shot from 2 ft (assist by T. Booker)
1:53.0,L. James misses 3-pt shot from 25 ft,,90-95,,
1:49.0,,,90-95,,Defensive rebound by T. Burke
1:29.0,,,90-95,,Shooting foul by K. Love (drawn by D. Favors)
1:29.0,,,90-96,1,D. Favors makes free throw 1 of 2
1:29.0,T. Thompson enters the game for A. Varejao,,90-96,,
1:29.0,,,90-96,,D. Favors misses free throw 2 of 2
1:28.0,Defensive rebound by K. Love,,90-96,,
1:28.0,Cleveland full timeout,,90-96,,
1:23.0,T. Thompson makes 2-pt shot from 5 ft (assist by L. James),2,92-96,,
1:00.0,,,92-96,,Turnover by D. Favors (lost ball; steal by K. Irving)
0:56.0,K. Irving makes 2-pt shot from 1 ft (assist by L. James),2,94-96,,
0:30.0,,,94-96,,T. Burke misses 3-pt shot from 28 ft
0:30.0,,,94-96,,Offensive rebound by Team
0:30.0,,,94-96,,Turnover by Team (shot clock)
0:30.0,Cleveland full timeout,,94-96,,
0:30.0,,,94-96,,R. Hood enters the game for T. Burke
