time,San Antonio,pts.away,score,pts.home,Phoenix
4:43.0,,,16-7,,B. Wright misses 2-pt shot from 4 ft
4:42.0,Defensive rebound by M. Ginobili,,16-7,,
4:42.0,,,16-7,,Personal foul by A. Len (drawn by M. Ginobili)
4:42.0,P. Mills enters the game for T. Parker,,16-7,,
4:42.0,A. Baynes enters the game for T. Duncan,,16-7,,
4:42.0,,,16-7,,M. Morris enters the game for A. Len
4:31.0,,,16-7,,Personal foul by M. Morris (drawn by A. Baynes)
4:23.0,A. Baynes makes 2-pt shot from 3 ft (assist by M. Ginobili),2,18-7,,
3:59.0,,,18-9,2,M. Morris makes 2-pt shot from 11 ft
3:39.0,B. Diaw makes 2-pt shot from 2 ft (assist by A. Baynes),2,20-9,,
3:19.0,,,20-11,2,E. Bledsoe makes 2-pt shot from 21 ft
3:17.0,,,20-11,,Violation by Team (delay of game)
3:04.0,Offensive foul by A. Baynes,,20-11,,
3:04.0,Turnover by A. Baynes (offensive foul),,20-11,,
3:04.0,M. Belinelli enters the game for K. Leonard,,20-11,,
3:04.0,,,20-11,,B. Knight enters the game for E. Bledsoe
2:49.0,,,20-11,,B. Wright misses 2-pt shot from 7 ft
2:48.0,,,20-11,,Offensive rebound by P. Tucker
2:44.0,,,20-11,,P. Tucker misses 2-pt shot from 5 ft
2:43.0,,,20-11,,Offensive rebound by B. Wright
2:43.0,,,20-11,,B. Wright misses 2-pt shot from 1 ft
2:41.0,,,20-11,,Offensive rebound by P. Tucker
2:31.0,,,20-11,,B. Knight misses 3-pt shot from 23 ft
2:30.0,Defensive rebound by P. Mills,,20-11,,
2:22.0,Turnover by B. Diaw (bad pass),,20-11,,
2:22.0,San Antonio full timeout,,20-11,,
2:22.0,,,20-11,,M. Morris enters the game for P. Tucker
2:07.0,,,20-11,,G. Green misses 2-pt shot from 16 ft
2:06.0,Defensive rebound by B. Diaw,,20-11,,
1:50.0,M. Belinelli misses 3-pt shot from 25 ft,,20-11,,
1:49.0,Offensive rebound by A. Baynes,,20-11,,
1:46.0,P. Mills misses 3-pt shot from 25 ft,,20-11,,
1:45.0,,,20-11,,Defensive rebound by G. Green
1:38.0,,,20-11,,Shooting foul by M. Ginobili (drawn by B. Wright)
1:38.0,,,20-12,1,B. Wright makes free throw 1 of 2
1:38.0,,,20-12,,B. Wright misses free throw 2 of 2
1:37.0,Defensive rebound by A. Baynes,,20-12,,
1:25.0,P. Mills misses 3-pt shot from 25 ft,,20-12,,
1:24.0,Offensive rebound by Team,,20-12,,
1:24.0,,,20-12,,Loose ball foul by M. Morris (drawn by A. Baynes)
1:24.0,A. Baynes makes free throw 1 of 2,1,21-12,,
1:24.0,,,21-12,,E. Barron enters the game for M. Morris
1:24.0,A. Baynes makes free throw 2 of 2,1,22-12,,
1:07.0,Personal block foul by P. Mills (drawn by B. Knight),,22-12,,
1:07.0,,,22-13,1,B. Knight makes free throw 1 of 2
1:07.0,,,22-13,,B. Knight misses free throw 2 of 2
1:06.0,Defensive rebound by A. Baynes,,22-13,,
0:50.0,M. Ginobili makes 2-pt shot from 8 ft,2,24-13,,
0:37.0,,,24-13,,Offensive foul by E. Barron
0:37.0,,,24-13,,Turnover by E. Barron (offensive foul)
0:32.0,M. Ginobili misses 3-pt shot from 25 ft,,24-13,,
0:31.0,,,24-13,,Defensive rebound by M. Morris
0:09.0,,,24-13,,E. Barron misses 2-pt shot at rim
0:08.0,Defensive rebound by M. Ginobili,,24-13,,
0:02.0,Offensive foul by M. Ginobili,,24-13,,
0:02.0,Turnover by M. Ginobili (offensive foul),,24-13,,
0:00.0,,,24-13,,M. Morris misses 3-pt shot from 45 ft
0:00.0,,,24-13,,Offensive rebound by Team
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:46.0,,,24-13,,B. Knight misses 2-pt shot from 5 ft
11:45.0,,,24-13,,Offensive rebound by B. Wright
11:42.0,,,24-13,,Turnover by G. Green (traveling)
11:23.0,B. Diaw misses 2-pt shot from 3 ft (block by B. Wright),,24-13,,
11:23.0,,,24-13,,Defensive rebound by Team
11:00.0,,,24-13,,G. Green misses 2-pt shot from 21 ft
10:59.0,,,24-13,,Offensive rebound by Team
10:59.0,,,24-13,,Turnover by Team (shot clock)
10:59.0,,,24-13,,E. Bledsoe enters the game for G. Green
10:43.0,B. Diaw misses 2-pt shot from 8 ft,,24-13,,
10:41.0,Offensive rebound by A. Baynes,,24-13,,
10:38.0,A. Baynes makes 2-pt shot from 3 ft,2,26-13,,
10:25.0,,,26-13,,B. Knight misses 2-pt shot from 4 ft
10:24.0,Defensive rebound by A. Baynes,,26-13,,
10:12.0,Shooting foul by M. Morris (drawn by A. Baynes),,26-13,,
10:12.0,A. Baynes makes free throw 1 of 2,1,27-13,,
10:12.0,K. Leonard enters the game for M. Ginobili,,27-13,,
10:12.0,,,27-13,,A. Goodwin enters the game for B. Wright
10:12.0,A. Baynes makes free throw 2 of 2,1,28-13,,
10:00.0,,,28-13,,E. Bledsoe misses 2-pt shot at rim (block by K. Leonard)
10:00.0,,,28-13,,Offensive rebound by Team
9:56.0,Personal foul by M. Belinelli (drawn by E. Bledsoe),,28-13,,
9:46.0,,,28-13,,E. Barron misses 2-pt shot from 2 ft (block by A. Baynes)
9:45.0,Defensive rebound by K. Leonard,,28-13,,
9:36.0,M. Belinelli makes 2-pt shot from 20 ft,2,30-13,,
9:21.0,,,30-13,,Turnover by E. Bledsoe (lost ball)
9:21.0,,,30-13,,A. Len enters the game for E. Barron
9:06.0,M. Belinelli misses 2-pt shot from 20 ft,,30-13,,
9:05.0,,,30-13,,Defensive rebound by M. Morris
8:58.0,,,30-13,,M. Morris misses 2-pt shot from 16 ft
8:56.0,Defensive rebound by K. Leonard,,30-13,,
8:54.0,K. Leonard makes 2-pt shot at rim,2,32-13,,
8:54.0,Shooting foul by A. Goodwin (drawn by K. Leonard),,32-13,,
8:54.0,Official timeout,,32-13,,
8:54.0,,,32-13,,M. Morris enters the game for A. Goodwin
8:54.0,K. Leonard makes free throw 1 of 1,1,33-13,,
8:44.0,,,33-13,,B. Knight misses 2-pt shot from 1 ft
8:43.0,Defensive rebound by A. Baynes,,33-13,,
8:38.0,P. Mills misses 3-pt shot from 24 ft,,33-13,,
8:37.0,,,33-13,,Defensive rebound by E. Bledsoe
8:16.0,,,33-13,,M. Morris misses 2-pt shot from 15 ft
8:15.0,Defensive rebound by Team,,33-13,,
8:15.0,T. Parker enters the game for P. Mills,,33-13,,
7:55.0,K. Leonard misses 2-pt shot from 9 ft (block by M. Morris),,33-13,,
7:52.0,,,33-13,,Defensive rebound by M. Morris
7:50.0,,,33-13,,E. Bledsoe misses 2-pt shot from 19 ft
7:49.0,,,33-13,,Offensive rebound by E. Bledsoe
7:41.0,,,33-13,,Turnover by M. Morris (bad pass; steal by K. Leonard)
7:33.0,M. Belinelli misses 2-pt shot from 18 ft,,33-13,,
7:32.0,,,33-13,,Defensive rebound by M. Morris
7:28.0,,,33-15,2,M. Morris makes 2-pt shot at rim (assist by M. Morris)
7:05.0,A. Baynes makes 2-pt shot from 5 ft (assist by B. Diaw),2,35-15,,
6:45.0,,,35-15,,M. Morris misses 2-pt shot from 12 ft
6:44.0,Defensive rebound by K. Leonard,,35-15,,
6:39.0,Offensive foul by A. Baynes,,35-15,,
6:39.0,Turnover by A. Baynes (offensive foul),,35-15,,
6:39.0,,,35-15,,P. Tucker enters the game for M. Morris
6:39.0,T. Splitter enters the game for A. Baynes,,35-15,,
6:27.0,,,35-17,2,M. Morris makes 2-pt shot at rim (assist by B. Knight)
6:25.0,San Antonio full timeout,,35-17,,
6:25.0,T. Duncan enters the game for B. Diaw,,35-17,,
6:15.0,Turnover by T. Duncan (bad pass; steal by A. Len),,35-17,,
6:08.0,,,35-19,2,M. Morris makes 2-pt shot from 10 ft (assist by B. Knight)
5:56.0,,,35-19,,Personal foul by M. Morris (drawn by T. Parker)
5:56.0,,,35-19,,T. Warren enters the game for M. Morris
5:56.0,D. Green enters the game for M. Belinelli,,35-19,,
5:47.0,K. Leonard misses 2-pt shot from 7 ft,,35-19,,
5:46.0,Offensive rebound by Team,,35-19,,
5:46.0,M. Ginobili enters the game for T. Splitter,,35-19,,
5:43.0,D. Green makes 2-pt shot from 19 ft (assist by M. Ginobili),2,37-19,,
5:28.0,,,37-19,,P. Tucker misses 2-pt shot from 17 ft
5:27.0,Defensive rebound by K. Leonard,,37-19,,
5:22.0,Offensive charge foul by T. Duncan,,37-19,,
5:22.0,Turnover by T. Duncan (offensive foul),,37-19,,
5:14.0,,,37-19,,Shooting foul by K. Leonard (drawn by E. Bledsoe)
5:14.0,,,37-19,,E. Bledsoe misses free throw 1 of 2
5:14.0,,,37-19,,Offensive rebound by Team
5:14.0,,,37-20,1,E. Bledsoe makes free throw 2 of 2
4:57.0,T. Duncan makes 2-pt shot from 5 ft (assist by T. Parker),2,39-20,,
4:38.0,,,39-20,,Shooting foul by T. Duncan (drawn by E. Bledsoe)
4:38.0,,,39-21,1,E. Bledsoe makes free throw 1 of 2
4:38.0,,,39-21,,M. Thornton enters the game for B. Knight
4:38.0,,,39-22,1,E. Bledsoe makes free throw 2 of 2
4:21.0,T. Parker misses 2-pt shot from 18 ft,,39-22,,
4:21.0,,,39-22,,Defensive rebound by Team
4:09.0,,,39-22,,A. Len misses 2-pt shot from 8 ft
4:08.0,Defensive rebound by T. Duncan,,39-22,,
4:07.0,,,39-22,,Personal foul by T. Warren (drawn by T. Duncan)
3:53.0,D. Green makes 3-pt shot from 26 ft (assist by M. Ginobili),3,42-22,,
3:31.0,,,42-22,,T. Warren misses 2-pt shot from 9 ft
3:31.0,,,42-22,,Offensive rebound by Team
3:18.0,,,42-22,,P. Tucker misses 3-pt shot from 24 ft
3:17.0,Defensive rebound by M. Ginobili,,42-22,,
3:09.0,M. Ginobili misses 2-pt shot from 11 ft,,42-22,,
3:08.0,,,42-22,,Defensive rebound by E. Bledsoe
3:02.0,,,42-24,2,T. Warren makes 2-pt shot at rim (assist by M. Thornton)
3:02.0,San Antonio full timeout,,42-24,,
2:47.0,T. Parker misses 2-pt shot at rim,,42-24,,
2:46.0,Offensive rebound by T. Duncan,,42-24,,
2:39.0,K. Leonard makes 2-pt shot at rim (assist by T. Duncan),2,44-24,,
2:26.0,,,44-24,,Turnover by E. Bledsoe (traveling)
2:26.0,,,44-24,,Phoenix full timeout
2:06.0,T. Parker makes 2-pt shot from 1 ft (assist by M. Ginobili),2,46-24,,
1:52.0,,,46-24,,M. Thornton misses 2-pt shot from 16 ft
1:51.0,Defensive rebound by D. Green,,46-24,,
1:42.0,T. Parker misses 2-pt shot from 3 ft,,46-24,,
1:41.0,,,46-24,,Defensive rebound by A. Len
1:28.0,,,46-24,,Turnover by P. Tucker (bad pass; steal by K. Leonard)
1:27.0,,,46-24,,Personal foul by P. Tucker (drawn by K. Leonard)
1:27.0,K. Leonard makes free throw 1 of 2,1,47-24,,
1:27.0,K. Leonard makes free throw 2 of 2,1,48-24,,
1:15.0,,,48-24,,A. Len misses 2-pt shot from 2 ft (block by K. Leonard)
1:15.0,Jump ball: A. Len vs. K. Leonard (T. Parker gains possession),,,,Jump ball: A. Len vs. K. Leonard (T. Parker gains possession)
1:15.0,Offensive rebound by Team,,48-24,,
0:55.0,K. Leonard misses 3-pt shot from 24 ft,,48-24,,
0:54.0,,,48-24,,Defensive rebound by P. Tucker
0:46.0,,,48-24,,M. Thornton misses 2-pt shot from 7 ft
0:44.0,Defensive rebound by T. Duncan,,48-24,,
0:33.0,T. Duncan misses 2-pt shot from 19 ft,,48-24,,
0:32.0,,,48-24,,Defensive rebound by Team
0:10.0,,,48-24,,M. Thornton misses 3-pt shot from 24 ft
0:09.0,Defensive rebound by M. Ginobili,,48-24,,
0:01.0,D. Green makes 3-pt shot from 25 ft,3,51-24,,
0:00.0,End of 2nd quarter,,,,End of 2nd quarter
12:00.0,Start of 3rd quarter,,,,Start of 3rd quarter
11:45.0,,,51-24,,M. Morris misses 3-pt shot from 24 ft
11:42.0,Defensive rebound by K. Leonard,,51-24,,
11:36.0,K. Leonard makes 2-pt shot from 6 ft,2,53-24,,
11:17.0,,,53-26,2,G. Green makes 2-pt shot from 19 ft (assist by M. Morris)
11:09.0,,,53-26,,Personal foul by M. Morris (drawn by T. Splitter)
11:03.0,K. Leonard misses 2-pt shot from 19 ft,,53-26,,
11:02.0,Offensive rebound by T. Duncan,,53-26,,
10:46.0,T. Parker makes 2-pt shot from 19 ft,2,55-26,,
10:33.0,,,55-28,2,G. Green makes 2-pt shot from 17 ft (assist by M. Morris)
10:18.0,T. Parker misses 3-pt shot from 23 ft,,55-28,,
10:17.0,,,55-28,,Defensive rebound by P. Tucker
10:09.0,,,55-28,,Shooting foul by T. Duncan (drawn by M. Morris)
10:09.0,,,55-29,1,M. Morris makes free throw 1 of 2
10:09.0,,,55-29,,M. Morris misses free throw 2 of 2
10:08.0,Defensive rebound by K. Leonard,,55-29,,
9:52.0,D. Green misses 3-pt shot from 25 ft,,55-29,,
9:51.0,,,55-29,,Defensive rebound by P. Tucker
9:45.0,,,55-29,,G. Green misses 3-pt shot from 24 ft
9:43.0,Defensive rebound by D. Green,,55-29,,
9:31.0,T. Splitter misses 2-pt shot from 7 ft,,55-29,,
9:30.0,,,55-29,,Defensive rebound by E. Bledsoe
9:23.0,,,55-29,,G. Green misses 3-pt shot from 24 ft
9:22.0,Defensive rebound by D. Green,,55-29,,
9:18.0,Turnover by D. Green (bad pass; steal by M. Morris),,55-29,,
9:08.0,,,55-29,,P. Tucker misses 3-pt shot from 23 ft
9:07.0,Defensive rebound by T. Splitter,,55-29,,
8:56.0,K. Leonard makes 2-pt shot from 16 ft,2,57-29,,
8:37.0,,,57-29,,Offensive foul by M. Morris
8:37.0,,,57-29,,Turnover by M. Morris (offensive foul)
8:16.0,T. Parker makes 2-pt shot from 1 ft,2,59-29,,
7:59.0,,,59-29,,M. Morris misses 2-pt shot from 5 ft
7:58.0,Defensive rebound by Team,,59-29,,
7:44.0,T. Splitter makes 2-pt shot at rim (assist by T. Parker),2,61-29,,
7:44.0,Shooting foul by A. Len (drawn by T. Splitter),,61-29,,
7:44.0,T. Splitter misses free throw 1 of 1,,61-29,,
7:44.0,,,61-29,,Defensive rebound by A. Len
7:26.0,,,61-29,,G. Green misses 3-pt shot from 24 ft
7:25.0,Defensive rebound by T. Duncan,,61-29,,
7:16.0,K. Leonard misses 2-pt shot from 10 ft,,61-29,,
7:15.0,,,61-29,,Defensive rebound by E. Bledsoe
7:00.0,,,61-29,,M. Morris misses 2-pt shot from 1 ft (block by T. Splitter)
6:58.0,Defensive rebound by T. Duncan,,61-29,,
6:54.0,T. Parker misses 2-pt shot at rim,,61-29,,
6:53.0,,,61-29,,Defensive rebound by A. Len
6:44.0,,,61-29,,P. Tucker misses 2-pt shot from 5 ft
6:41.0,Defensive rebound by D. Green,,61-29,,
6:36.0,San Antonio full timeout,,61-29,,
6:36.0,,,61-29,,B. Wright enters the game for M. Morris
6:21.0,T. Parker misses 3-pt shot from 23 ft,,61-29,,
6:20.0,,,61-29,,Defensive rebound by P. Tucker
5:55.0,,,61-29,,E. Bledsoe misses 2-pt shot from 11 ft
5:54.0,Defensive rebound by D. Green,,61-29,,
5:40.0,T. Duncan makes 2-pt shot from 11 ft,2,63-29,,
5:22.0,,,63-32,3,P. Tucker makes 3-pt shot from 24 ft
5:11.0,D. Green misses 2-pt shot from 13 ft,,63-32,,
5:10.0,,,63-32,,Defensive rebound by P. Tucker
4:56.0,,,63-34,2,E. Bledsoe makes 2-pt shot from 1 ft
4:56.0,,,63-34,,Shooting foul by T. Splitter (drawn by E. Bledsoe)
4:56.0,,,63-34,,M. Morris enters the game for A. Len
4:56.0,M. Ginobili enters the game for T. Duncan,,63-34,,
4:56.0,A. Baynes enters the game for D. Green,,63-34,,
4:56.0,P. Mills enters the game for T. Parker,,63-34,,
4:56.0,,,63-35,1,E. Bledsoe makes free throw 1 of 1
4:45.0,P. Mills misses 3-pt shot from 24 ft,,63-35,,
4:44.0,Offensive rebound by Team,,63-35,,
4:43.0,,,63-35,,Loose ball foul by P. Tucker (drawn by A. Baynes)
4:36.0,Shooting foul by M. Morris (drawn by A. Baynes),,63-35,,
4:36.0,A. Baynes makes free throw 1 of 2,1,64-35,,
4:36.0,A. Baynes makes free throw 2 of 2,1,65-35,,
4:21.0,,,65-35,,Turnover by G. Green (lost ball)
4:21.0,B. Diaw enters the game for T. Splitter,,65-35,,
4:21.0,,,65-35,,A. Goodwin enters the game for G. Green
4:09.0,B. Diaw misses 2-pt shot from 11 ft,,65-35,,
4:07.0,Offensive rebound by A. Baynes,,65-35,,
4:04.0,Turnover by A. Baynes (lost ball; steal by B. Wright),,65-35,,
4:00.0,,,65-35,,Shooting foul by B. Diaw (drawn by P. Tucker)
4:00.0,,,65-36,1,P. Tucker makes free throw 1 of 2
4:00.0,,,65-37,1,P. Tucker makes free throw 2 of 2
3:48.0,K. Leonard misses 2-pt shot from 2 ft,,65-37,,
3:47.0,,,65-37,,Defensive rebound by A. Goodwin
3:40.0,,,65-37,,Turnover by M. Morris (bad pass; steal by P. Mills)
3:34.0,K. Leonard makes 2-pt shot from 1 ft (assist by M. Ginobili),2,67-37,,
3:14.0,,,67-39,2,M. Morris makes 2-pt shot from 1 ft (assist by A. Goodwin)
2:51.0,P. Mills misses 3-pt shot from 23 ft,,67-39,,
2:51.0,,,67-39,,Defensive rebound by E. Bledsoe
2:41.0,,,67-39,,E. Bledsoe misses 3-pt shot from 24 ft
2:40.0,Defensive rebound by B. Diaw,,67-39,,
2:32.0,K. Leonard misses 2-pt shot from 15 ft,,67-39,,
2:30.0,Offensive rebound by A. Baynes,,67-39,,
2:16.0,B. Diaw makes 2-pt shot from 18 ft (assist by P. Mills),2,69-39,,
2:04.0,,,69-39,,A. Goodwin misses 2-pt shot from 1 ft
2:03.0,,,69-39,,Offensive rebound by B. Wright
2:03.0,,,69-39,,Shooting foul by A. Baynes (drawn by B. Wright)
2:03.0,,,69-39,,Phoenix full timeout
2:03.0,,,69-39,,R. Bullock enters the game for P. Tucker
2:03.0,M. Belinelli enters the game for K. Leonard,,69-39,,
2:03.0,,,69-40,1,B. Wright makes free throw 1 of 2
2:03.0,,,69-41,1,B. Wright makes free throw 2 of 2
1:45.0,M. Ginobili misses 2-pt shot from 5 ft (block by B. Wright),,69-41,,
1:42.0,,,69-41,,Defensive rebound by M. Morris
1:40.0,,,69-41,,A. Goodwin misses 2-pt shot from 1 ft
1:39.0,,,69-41,,Offensive rebound by M. Morris
1:36.0,,,69-41,,M. Morris misses 2-pt shot from 1 ft
1:35.0,,,69-41,,Offensive rebound by A. Goodwin
1:30.0,,,69-41,,R. Bullock misses 2-pt shot from 18 ft
1:29.0,Defensive rebound by B. Diaw,,69-41,,
1:16.0,P. Mills misses 2-pt shot from 1 ft (block by R. Bullock),,69-41,,
1:16.0,Offensive rebound by Team,,69-41,,
1:16.0,,,69-41,,Personal foul by E. Bledsoe (drawn by P. Mills)
1:16.0,P. Mills makes free throw 1 of 2,1,70-41,,
1:16.0,P. Mills makes free throw 2 of 2,1,71-41,,
1:03.0,,,71-41,,Offensive charge foul by A. Goodwin
1:03.0,,,71-41,,Turnover by A. Goodwin (offensive foul)
0:47.0,B. Diaw makes 2-pt shot from 2 ft (assist by M. Ginobili),2,73-41,,
0:30.0,,,73-41,,M. Morris misses 2-pt shot from 3 ft
0:29.0,Defensive rebound by A. Baynes,,73-41,,
0:08.0,M. Belinelli makes 2-pt shot from 10 ft,2,75-41,,
0:01.0,,,75-41,,A. Goodwin misses 2-pt shot from 17 ft
0:00.0,Defensive rebound by M. Belinelli,,75-41,,
0:00.0,End of 3rd quarter,,,,End of 3rd quarter
12:00.0,Start of 4th quarter,,,,Start of 4th quarter
11:40.0,P. Mills misses 3-pt shot from 24 ft,,75-41,,
11:38.0,,,75-41,,Defensive rebound by Team
11:19.0,,,75-41,,Turnover by T. Warren (bad pass)
11:02.0,B. Diaw misses 2-pt shot from 6 ft,,75-41,,
11:00.0,,,75-41,,Defensive rebound by A. Len
10:49.0,,,75-44,3,M. Morris makes 3-pt shot from 24 ft (assist by R. Bullock)
10:23.0,B. Diaw misses 2-pt shot from 9 ft,,75-44,,
10:22.0,,,75-44,,Defensive rebound by A. Len
10:13.0,,,75-46,2,A. Len makes 2-pt shot from 3 ft (assist by A. Goodwin)
10:01.0,Offensive foul by J. Ayres,,75-46,,
10:01.0,Turnover by J. Ayres (offensive foul),,75-46,,
9:51.0,,,75-46,,Turnover by A. Goodwin (bad pass)
9:36.0,C. Joseph misses 2-pt shot from 2 ft,,75-46,,
9:35.0,,,75-46,,Defensive rebound by M. Morris
9:30.0,,,75-49,3,M. Morris makes 3-pt shot from 25 ft
9:11.0,B. Diaw misses 3-pt shot from 24 ft,,75-49,,
9:06.0,,,75-49,,Defensive rebound by Team
9:06.0,M. Bonner enters the game for P. Mills,,75-49,,
9:06.0,Jump ball: A. Len vs. J. Ayres (A. Goodwin gains possession),,,,Jump ball: A. Len vs. J. Ayres (A. Goodwin gains possession)
8:59.0,Personal foul by M. Belinelli (drawn by A. Goodwin),,75-49,,
8:59.0,Official timeout,,75-49,,
8:43.0,,,75-52,3,M. Morris makes 3-pt shot from 24 ft
8:28.0,Turnover by C. Joseph (bad pass; steal by M. Morris),,75-52,,
8:24.0,,,75-54,2,M. Morris makes 2-pt shot at rim
8:24.0,,,75-54,,Shooting foul by C. Joseph (drawn by M. Morris)
8:24.0,A. Baynes enters the game for J. Ayres,,75-54,,
8:24.0,,,75-55,1,M. Morris makes free throw 1 of 1
8:12.0,B. Diaw makes 2-pt shot at rim,2,77-55,,
8:02.0,,,77-55,,Turnover by R. Bullock (lost ball; steal by C. Joseph)
7:56.0,M. Belinelli misses 3-pt shot from 25 ft,,77-55,,
7:55.0,,,77-55,,Defensive rebound by A. Len
7:43.0,,,77-55,,M. Morris misses 2-pt shot from 3 ft
7:42.0,Defensive rebound by M. Bonner,,77-55,,
7:27.0,B. Diaw misses 2-pt shot at rim,,77-55,,
7:25.0,,,77-55,,Defensive rebound by T. Warren
7:04.0,Personal block foul by A. Baynes (drawn by A. Len),,77-55,,
7:04.0,K. Leonard enters the game for M. Bonner,,77-55,,
6:57.0,,,77-55,,Turnover by A. Goodwin (bad pass; steal by B. Diaw)
6:53.0,C. Joseph misses 2-pt shot from 2 ft,,77-55,,
6:52.0,Offensive rebound by B. Diaw,,77-55,,
6:49.0,B. Diaw makes 2-pt shot at rim,2,79-55,,
6:41.0,,,79-55,,A. Len misses 2-pt shot from 14 ft
6:39.0,Defensive rebound by K. Leonard,,79-55,,
6:25.0,C. Joseph misses 2-pt shot from 14 ft,,79-55,,
6:24.0,,,79-55,,Defensive rebound by M. Morris
6:17.0,,,79-57,2,M. Morris makes 2-pt shot from 11 ft
6:17.0,,,79-57,,Shooting foul by C. Joseph (drawn by M. Morris)
6:17.0,,,79-58,1,M. Morris makes free throw 1 of 1
5:56.0,B. Diaw misses 2-pt shot from 20 ft,,79-58,,
5:55.0,,,79-58,,Defensive rebound by Team
5:55.0,Personal foul by A. Baynes (drawn by A. Len),,79-58,,
5:55.0,,,79-58,,Phoenix full timeout
5:55.0,P. Mills enters the game for M. Belinelli,,79-58,,
5:55.0,D. Green enters the game for C. Joseph,,79-58,,
5:55.0,,,79-59,1,A. Len makes free throw 1 of 2
5:55.0,,,79-59,,A. Len misses free throw 2 of 2
