time,San Antonio,pts.away,score,pts.home,Dallas
6:15.0,,,14-11,,D. Nowitzki misses 2-pt shot from 18 ft
6:14.0,Defensive rebound by T. Splitter,,14-11,,
5:59.0,T. Splitter misses 2-pt shot from 5 ft,,14-11,,
5:58.0,,,14-11,,Defensive rebound by R. Rondo
5:51.0,,,14-11,,M. Ellis misses 2-pt shot from 18 ft
5:50.0,Defensive rebound by D. Green,,14-11,,
5:50.0,,,14-11,,A. Aminu enters the game for D. Nowitzki
5:50.0,B. Diaw enters the game for T. Splitter,,14-11,,
5:50.0,Jump ball: D. Green vs. R. Rondo (T. Duncan gains possession),,,,Jump ball: D. Green vs. R. Rondo (T. Duncan gains possession)
5:28.0,T. Parker makes 2-pt shot from 15 ft,2,16-11,,
5:17.0,,,16-11,,Turnover by R. Rondo (bad pass; steal by T. Parker)
4:58.0,T. Parker makes 3-pt shot from 22 ft (assist by D. Green),3,19-11,,
4:29.0,,,19-11,,T. Chandler misses 2-pt shot from 2 ft (block by D. Green)
4:27.0,Defensive rebound by T. Duncan,,19-11,,
4:20.0,K. Leonard misses 3-pt shot from 22 ft,,19-11,,
4:19.0,Offensive rebound by T. Duncan,,19-11,,
4:01.0,,,19-11,,D. Harris enters the game for R. Rondo
4:01.0,,,19-11,,A. Stoudemire enters the game for T. Chandler
4:01.0,M. Belinelli enters the game for D. Green,,19-11,,
3:55.0,B. Diaw misses 2-pt shot from 15 ft,,19-11,,
3:54.0,,,19-11,,Defensive rebound by Team
3:35.0,,,19-11,,A. Stoudemire misses 2-pt shot from 5 ft
3:35.0,,,19-11,,Offensive rebound by A. Stoudemire
3:35.0,Personal foul by B. Diaw (drawn by A. Aminu),,19-11,,
3:25.0,,,19-11,,Turnover by M. Ellis (bad pass; steal by K. Leonard)
3:21.0,,,19-11,,Personal block foul by A. Aminu (drawn by K. Leonard)
3:08.0,K. Leonard makes 2-pt shot from 16 ft,2,21-11,,
2:48.0,,,21-11,,Shooting foul by T. Duncan (drawn by A. Stoudemire)
2:48.0,,,21-13,2,A. Stoudemire makes 2-pt shot from 6 ft
2:48.0,San Antonio full timeout,,21-13,,
2:48.0,M. Bonner enters the game for T. Duncan,,21-13,,
2:48.0,,,21-13,,A. Stoudemire misses free throw 1 of 1
2:47.0,Defensive rebound by K. Leonard,,21-13,,
2:35.0,T. Parker misses 2-pt shot from 20 ft,,21-13,,
2:34.0,,,21-13,,Defensive rebound by M. Ellis
2:28.0,,,21-15,2,C. Parsons makes 2-pt shot from 1 ft (assist by M. Ellis)
2:09.0,B. Diaw makes 2-pt shot from 2 ft (assist by T. Parker),2,23-15,,
1:50.0,,,23-15,,Turnover by A. Aminu (bad pass; steal by T. Parker)
1:47.0,,,23-15,,Shooting block foul by D. Harris (drawn by K. Leonard)
1:47.0,K. Leonard makes free throw 1 of 2,1,24-15,,
1:47.0,P. Mills enters the game for T. Parker,,24-15,,
1:47.0,K. Leonard makes free throw 2 of 2,1,25-15,,
1:30.0,,,25-15,,Turnover by M. Ellis (lost ball; steal by K. Leonard)
1:17.0,B. Diaw misses 2-pt shot from 4 ft,,25-15,,
1:16.0,Offensive rebound by K. Leonard,,25-15,,
1:05.0,K. Leonard makes 2-pt shot from 16 ft (assist by P. Mills),2,27-15,,
1:03.0,,,27-15,,Dallas full timeout
1:03.0,,,27-15,,R. Jefferson enters the game for C. Parsons
1:03.0,,,27-15,,D. Nowitzki enters the game for M. Ellis
1:03.0,M. Ginobili enters the game for K. Leonard,,27-15,,
1:03.0,,,27-15,,Offensive foul by D. Harris
1:03.0,,,27-15,,Turnover by D. Harris (offensive foul)
1:03.0,,,27-15,,R. Felton enters the game for D. Harris
0:55.0,M. Belinelli misses 3-pt shot from 24 ft,,27-15,,
0:53.0,Offensive rebound by P. Mills,,27-15,,
0:43.0,M. Ginobili makes 2-pt shot from 2 ft,2,29-15,,
0:28.0,,,29-17,2,A. Stoudemire makes 2-pt shot from 1 ft
0:03.0,M. Belinelli misses 3-pt shot from 24 ft,,29-17,,
0:02.0,,,29-17,,Defensive rebound by A. Stoudemire
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:40.0,B. Diaw misses 2-pt shot from 13 ft,,29-17,,
11:39.0,,,29-17,,Defensive rebound by R. Jefferson
11:19.0,,,29-17,,R. Felton misses 2-pt shot from 1 ft
11:17.0,,,29-17,,Offensive rebound by R. Felton
11:12.0,,,29-20,3,R. Jefferson makes 3-pt shot from 23 ft (assist by D. Nowitzki)
10:50.0,M. Bonner makes 3-pt shot from 24 ft (assist by M. Ginobili),3,32-20,,
10:29.0,,,32-20,,A. Aminu misses 2-pt shot from 6 ft
10:28.0,Defensive rebound by M. Belinelli,,32-20,,
10:18.0,B. Diaw makes 2-pt shot from 1 ft (assist by M. Ginobili),2,34-20,,
10:18.0,,,34-20,,Dallas full timeout
10:18.0,,,34-20,,D. Harris enters the game for R. Jefferson
9:59.0,,,34-20,,Turnover by A. Stoudemire (lost ball; steal by M. Ginobili)
9:50.0,P. Mills misses 3-pt shot from 22 ft,,34-20,,
9:49.0,,,34-20,,Defensive rebound by D. Nowitzki
9:37.0,,,34-22,2,A. Stoudemire makes 2-pt shot from 3 ft (assist by D. Nowitzki)
9:16.0,M. Bonner makes 2-pt shot from 5 ft,2,36-22,,
9:02.0,Personal foul by M. Bonner (drawn by D. Nowitzki),,36-22,,
9:02.0,,,36-22,,C. Parsons enters the game for A. Stoudemire
9:02.0,,,36-22,,M. Ellis enters the game for A. Aminu
9:02.0,T. Splitter enters the game for B. Diaw,,36-22,,
9:02.0,K. Leonard enters the game for M. Bonner,,36-22,,
8:54.0,,,36-22,,R. Felton misses 3-pt shot from 24 ft
8:53.0,Defensive rebound by M. Belinelli,,36-22,,
8:48.0,Turnover by M. Ginobili (bad pass),,36-22,,
8:42.0,,,36-22,,M. Ellis misses 2-pt shot from 7 ft
8:40.0,Defensive rebound by M. Belinelli,,36-22,,
8:32.0,K. Leonard misses 2-pt shot from 21 ft,,36-22,,
8:31.0,,,36-22,,Defensive rebound by D. Nowitzki
8:24.0,,,36-24,2,C. Parsons makes 2-pt shot from 1 ft
8:24.0,San Antonio full timeout,,36-24,,
7:59.0,T. Splitter misses 2-pt shot from 16 ft,,36-24,,
7:58.0,,,36-24,,Defensive rebound by C. Parsons
7:41.0,,,36-26,2,D. Nowitzki makes 2-pt shot from 1 ft (assist by C. Parsons)
7:22.0,K. Leonard misses 2-pt shot from 7 ft,,36-26,,
7:20.0,,,36-26,,Defensive rebound by R. Felton
7:14.0,,,36-26,,Shooting foul by K. Leonard (drawn by M. Ellis)
7:14.0,,,36-27,1,M. Ellis makes free throw 1 of 2
7:14.0,,,36-27,,T. Chandler enters the game for D. Nowitzki
7:14.0,T. Parker enters the game for P. Mills,,36-27,,
7:14.0,,,36-27,,R. Rondo enters the game for R. Felton
7:14.0,,,36-28,1,M. Ellis makes free throw 2 of 2
6:58.0,T. Parker misses 3-pt shot from 23 ft,,36-28,,
6:57.0,,,36-28,,Defensive rebound by R. Rondo
6:51.0,,,36-28,,M. Ellis misses 3-pt shot from 23 ft
6:49.0,Defensive rebound by K. Leonard,,36-28,,
6:42.0,M. Belinelli misses 3-pt shot from 25 ft,,36-28,,
6:41.0,,,36-28,,Defensive rebound by R. Rondo
6:35.0,,,36-28,,C. Parsons misses 3-pt shot from 25 ft
6:34.0,Defensive rebound by K. Leonard,,36-28,,
6:28.0,K. Leonard misses 2-pt shot from 12 ft,,36-28,,
6:27.0,Offensive rebound by T. Parker,,36-28,,
6:21.0,M. Belinelli makes 3-pt shot from 22 ft (assist by T. Parker),3,39-28,,
6:06.0,,,39-30,2,T. Chandler makes 2-pt shot from 1 ft
5:43.0,Turnover by T. Splitter (bad pass; steal by D. Harris),,39-30,,
5:38.0,,,39-32,2,M. Ellis makes 2-pt shot at rim (assist by C. Parsons)
5:24.0,Turnover by M. Ginobili (lost ball; steal by M. Ellis),,39-32,,
5:20.0,,,39-34,2,C. Parsons makes 2-pt shot at rim (assist by M. Ellis)
5:19.0,San Antonio full timeout,,39-34,,
5:19.0,T. Duncan enters the game for T. Splitter,,39-34,,
5:19.0,D. Green enters the game for M. Ginobili,,39-34,,
5:09.0,,,39-34,,Personal foul by T. Chandler (drawn by T. Duncan)
5:04.0,T. Parker misses 2-pt shot from 5 ft,,39-34,,
5:04.0,,,39-34,,Defensive rebound by C. Parsons
5:04.0,Loose ball foul by T. Duncan (drawn by C. Parsons),,39-34,,
5:04.0,B. Diaw enters the game for M. Belinelli,,39-34,,
4:45.0,,,39-34,,M. Ellis misses 3-pt shot from 24 ft
4:42.0,,,39-34,,Offensive rebound by R. Rondo
4:37.0,,,39-34,,C. Parsons misses 3-pt shot from 24 ft
4:36.0,Defensive rebound by K. Leonard,,39-34,,
4:22.0,Turnover by B. Diaw (bad pass; steal by C. Parsons),,39-34,,
4:14.0,,,39-34,,D. Harris misses 2-pt shot at rim
4:12.0,Defensive rebound by B. Diaw,,39-34,,
4:03.0,K. Leonard misses 2-pt shot from 23 ft,,39-34,,
4:03.0,Offensive rebound by B. Diaw,,39-34,,
4:03.0,,,39-34,,Personal foul by T. Chandler (drawn by B. Diaw)
3:44.0,B. Diaw makes 2-pt shot from 3 ft,2,41-34,,
3:34.0,,,41-34,,D. Harris misses 3-pt shot from 24 ft
3:33.0,Defensive rebound by Team,,41-34,,
3:21.0,Turnover by B. Diaw (3 sec),,41-34,,
3:04.0,,,41-36,2,C. Parsons makes 2-pt shot at rim
2:43.0,Turnover by B. Diaw (lost ball; steal by M. Ellis),,41-36,,
2:35.0,,,41-36,,C. Parsons misses 3-pt shot from 24 ft
2:33.0,Defensive rebound by T. Duncan,,41-36,,
2:22.0,B. Diaw misses 2-pt shot from 5 ft,,41-36,,
2:21.0,,,41-36,,Defensive rebound by M. Ellis
2:15.0,,,41-36,,D. Harris misses 2-pt shot from 2 ft
2:14.0,Defensive rebound by B. Diaw,,41-36,,
2:07.0,D. Green misses 3-pt shot from 24 ft,,41-36,,
2:06.0,Offensive rebound by K. Leonard,,41-36,,
2:06.0,K. Leonard makes 2-pt shot from 2 ft,2,43-36,,
2:06.0,Shooting foul by T. Chandler (drawn by K. Leonard),,43-36,,
2:06.0,Official timeout,,43-36,,
2:06.0,,,43-36,,A. Stoudemire enters the game for T. Chandler
2:06.0,,,43-36,,D. Nowitzki enters the game for D. Harris
2:06.0,T. Splitter enters the game for B. Diaw,,43-36,,
2:06.0,K. Leonard makes free throw 1 of 1,1,44-36,,
1:57.0,,,44-38,2,M. Ellis makes 2-pt shot from 1 ft
1:37.0,Shooting foul by D. Nowitzki (drawn by T. Splitter),,44-38,,
1:37.0,T. Splitter makes free throw 1 of 2,1,45-38,,
1:37.0,T. Splitter makes free throw 2 of 2,1,46-38,,
1:29.0,Personal foul by T. Splitter (drawn by D. Nowitzki),,46-38,,
1:23.0,,,46-40,2,M. Ellis makes 2-pt shot at rim (assist by D. Nowitzki)
1:17.0,,,46-40,,Violation by D. Nowitzki (kicked ball)
1:05.0,T. Duncan misses 2-pt shot from 5 ft,,46-40,,
1:04.0,,,46-40,,Defensive rebound by D. Nowitzki
0:57.0,,,46-40,,A. Stoudemire misses 2-pt shot from 2 ft (block by T. Duncan)
0:55.0,Jump ball: T. Duncan vs. A. Stoudemire (T. Splitter gains possession),,,,Jump ball: T. Duncan vs. A. Stoudemire (T. Splitter gains possession)
0:55.0,Offensive rebound by T. Duncan,,46-40,,
0:43.0,T. Parker misses 3-pt shot from 22 ft,,46-40,,
0:41.0,,,46-40,,Defensive rebound by R. Rondo
0:37.0,,,46-43,3,C. Parsons makes 3-pt shot from 22 ft (assist by R. Rondo)
0:37.0,,,46-43,,Shooting foul by K. Leonard (drawn by C. Parsons)
0:37.0,,,46-43,,A. Aminu enters the game for D. Nowitzki
0:37.0,M. Ginobili enters the game for T. Splitter,,46-43,,
0:37.0,,,46-43,,C. Parsons misses free throw 1 of 1
0:36.0,,,46-43,,Offensive rebound by Team
0:35.0,,,46-43,,D. Nowitzki enters the game for A. Aminu
0:35.0,T. Splitter enters the game for M. Ginobili,,46-43,,
0:22.0,,,46-43,,M. Ellis misses 3-pt shot from 25 ft
0:20.0,,,46-43,,Offensive rebound by C. Parsons
0:02.0,,,46-43,,C. Parsons misses 3-pt shot from 25 ft
0:01.0,Defensive rebound by T. Splitter,,46-43,,
0:00.0,End of 2nd quarter,,,,End of 2nd quarter
12:00.0,Start of 3rd quarter,,,,Start of 3rd quarter
11:44.0,T. Parker makes 2-pt shot from 7 ft,2,48-43,,
11:27.0,,,48-43,,Turnover by R. Rondo (bad pass; steal by T. Splitter)
11:22.0,Offensive foul by T. Parker,,48-43,,
11:22.0,Turnover by T. Parker (offensive foul),,48-43,,
10:57.0,,,48-43,,D. Nowitzki misses 2-pt shot from 20 ft
10:56.0,Defensive rebound by T. Duncan,,48-43,,
10:44.0,,,48-43,,Personal foul by C. Parsons (drawn by T. Parker)
10:33.0,Turnover by T. Parker (lost ball),,48-43,,
10:30.0,Personal block foul by T. Splitter (drawn by M. Ellis),,48-43,,
10:25.0,,,48-45,2,M. Ellis makes 2-pt shot from 15 ft (assist by T. Chandler)
10:12.0,T. Parker misses 2-pt shot from 18 ft,,48-45,,
10:11.0,,,48-45,,Defensive rebound by C. Parsons
10:05.0,,,48-47,2,M. Ellis makes 2-pt shot from 8 ft
9:46.0,Turnover by T. Splitter (3 sec),,48-47,,
9:37.0,,,48-49,2,D. Nowitzki makes 2-pt shot from 15 ft (assist by R. Rondo)
9:19.0,T. Duncan misses 2-pt shot from 5 ft,,48-49,,
9:18.0,,,48-49,,Defensive rebound by D. Nowitzki
9:16.0,,,48-49,,Turnover by D. Nowitzki (bad pass; steal by T. Splitter)
9:13.0,T. Duncan misses 2-pt shot from 8 ft,,48-49,,
9:12.0,,,48-49,,Defensive rebound by D. Nowitzki
9:07.0,,,48-49,,R. Rondo misses 2-pt shot from 17 ft
9:05.0,Defensive rebound by T. Duncan,,48-49,,
8:59.0,,,48-49,,Personal foul by R. Rondo (drawn by T. Splitter)
8:54.0,Turnover by T. Parker (bad pass),,48-49,,
8:45.0,,,48-51,2,T. Chandler makes 2-pt shot at rim (assist by R. Rondo)
8:33.0,Shooting foul by R. Rondo (drawn by T. Parker),,48-51,,
8:33.0,T. Parker misses free throw 1 of 2,,48-51,,
8:33.0,Offensive rebound by Team,,48-51,,
8:33.0,T. Parker makes free throw 2 of 2,1,49-51,,
8:25.0,,,49-51,,Turnover by C. Parsons (lost ball)
8:25.0,P. Mills enters the game for T. Parker,,49-51,,
8:11.0,Turnover by T. Splitter (lost ball),,49-51,,
7:59.0,,,49-51,,Turnover by R. Rondo (lost ball; steal by K. Leonard)
7:43.0,K. Leonard makes 2-pt shot from 17 ft,2,51-51,,
7:22.0,,,51-53,2,D. Nowitzki makes 2-pt shot from 16 ft (assist by T. Chandler)
7:10.0,P. Mills misses 3-pt shot from 24 ft,,51-53,,
7:09.0,,,51-53,,Defensive rebound by T. Chandler
7:04.0,,,51-53,,M. Ellis misses 2-pt shot from 1 ft
7:02.0,Defensive rebound by T. Splitter,,51-53,,
6:55.0,D. Green makes 3-pt shot from 22 ft (assist by K. Leonard),3,54-53,,
6:54.0,,,54-53,,Dallas full timeout
6:54.0,,,54-53,,Technical foul by M. Ellis
6:54.0,,,54-53,,D. Harris enters the game for R. Rondo
6:54.0,T. Parker enters the game for T. Splitter,,54-53,,
6:54.0,B. Diaw enters the game for P. Mills,,54-53,,
6:54.0,D. Green misses technical free throw,,54-53,,
6:54.0,,,54-53,,Offensive rebound by Team
6:43.0,Personal foul by B. Diaw (drawn by M. Ellis),,54-53,,
6:35.0,,,54-55,2,M. Ellis makes 2-pt shot at rim
6:09.0,B. Diaw misses 3-pt shot from 24 ft,,54-55,,
6:08.0,,,54-55,,Defensive rebound by C. Parsons
5:59.0,,,54-57,2,D. Nowitzki makes 2-pt shot from 8 ft (assist by D. Harris)
5:41.0,B. Diaw makes 2-pt shot from 19 ft,2,56-57,,
5:21.0,,,56-59,2,D. Nowitzki makes 2-pt shot from 19 ft (assist by M. Ellis)
5:12.0,,,56-59,,Personal foul by M. Ellis (drawn by K. Leonard)
5:12.0,,,56-59,,A. Aminu enters the game for D. Nowitzki
5:03.0,K. Leonard makes 2-pt shot from 10 ft,2,58-59,,
4:54.0,,,58-59,,Turnover by M. Ellis (lost ball; steal by K. Leonard)
4:51.0,T. Parker misses 2-pt shot from 1 ft (block by D. Harris),,58-59,,
4:51.0,Offensive rebound by Team,,58-59,,
4:44.0,T. Duncan misses 2-pt shot from 10 ft,,58-59,,
4:44.0,,,58-59,,Defensive rebound by D. Harris
4:31.0,Personal block foul by T. Parker (drawn by C. Parsons),,58-59,,
4:17.0,,,58-62,3,M. Ellis makes 3-pt shot from 27 ft
4:02.0,K. Leonard misses 2-pt shot from 16 ft,,58-62,,
4:01.0,,,58-62,,Defensive rebound by A. Aminu
3:51.0,,,58-64,2,M. Ellis makes 2-pt shot at rim
3:50.0,San Antonio full timeout,,58-64,,
3:50.0,,,58-64,,C. Villanueva enters the game for C. Parsons
3:34.0,T. Duncan makes 2-pt shot from 1 ft (assist by K. Leonard),2,60-64,,
3:16.0,,,60-67,3,C. Villanueva makes 3-pt shot from 24 ft (assist by M. Ellis)
3:04.0,B. Diaw misses 2-pt shot from 5 ft,,60-67,,
3:03.0,,,60-67,,Defensive rebound by C. Villanueva
2:56.0,,,60-70,3,D. Harris makes 3-pt shot from 24 ft (assist by M. Ellis)
2:36.0,T. Parker misses 3-pt shot from 23 ft,,60-70,,
2:35.0,,,60-70,,Defensive rebound by A. Aminu
2:32.0,,,60-70,,Shooting foul by K. Leonard (drawn by D. Harris)
2:32.0,,,60-71,1,D. Harris makes free throw 1 of 2
2:32.0,,,60-71,,A. Stoudemire enters the game for T. Chandler
2:32.0,J. Ayres enters the game for T. Duncan,,60-71,,
2:32.0,M. Belinelli enters the game for K. Leonard,,60-71,,
2:32.0,,,60-72,1,D. Harris makes free throw 2 of 2
2:09.0,Turnover by T. Parker (lost ball; steal by C. Villanueva),,60-72,,
2:03.0,,,60-74,2,M. Ellis makes 2-pt shot from 2 ft
1:54.0,,,60-74,,Personal block foul by D. Harris (drawn by D. Green)
1:54.0,,,60-74,,Technical foul by D. Harris (drawn by D. Green)
1:54.0,D. Green makes technical free throw,1,61-74,,
1:54.0,D. Green makes free throw 1 of 2,1,62-74,,
1:54.0,P. Mills enters the game for T. Parker,,62-74,,
1:54.0,D. Green makes free throw 2 of 2,1,63-74,,
1:32.0,,,63-74,,M. Ellis misses 3-pt shot from 24 ft
1:31.0,Defensive rebound by Team,,63-74,,
1:09.0,D. Green misses 3-pt shot from 24 ft,,63-74,,
1:08.0,Offensive rebound by J. Ayres,,63-74,,
1:03.0,Turnover by J. Ayres (bad pass),,63-74,,
0:56.0,,,63-74,,A. Stoudemire misses 2-pt shot from 3 ft
0:54.0,Defensive rebound by J. Ayres,,63-74,,
0:46.0,D. Green makes 3-pt shot from 22 ft (assist by M. Belinelli),3,66-74,,
0:32.0,,,66-76,2,D. Harris makes 2-pt shot from 1 ft
0:25.0,Turnover by D. Green (bad pass),,66-76,,
0:25.0,M. Ginobili enters the game for D. Green,,66-76,,
0:25.0,,,66-76,,D. Nowitzki enters the game for A. Aminu
0:02.0,,,66-76,,M. Ellis misses 2-pt shot from 7 ft
0:01.0,Defensive rebound by M. Ginobili,,66-76,,
0:00.0,End of 3rd quarter,,,,End of 3rd quarter
12:00.0,Start of 4th quarter,,,,Start of 4th quarter
11:39.0,,,66-78,2,C. Parsons makes 2-pt shot from 2 ft
11:23.0,P. Mills misses 2-pt shot from 17 ft,,66-78,,
11:22.0,,,66-78,,Defensive rebound by A. Aminu
11:15.0,,,66-78,,D. Harris misses 2-pt shot from 2 ft
11:13.0,Defensive rebound by M. Ginobili,,66-78,,
11:11.0,Turnover by M. Ginobili (bad pass; steal by C. Parsons),,66-78,,
11:07.0,,,66-78,,D. Harris misses 3-pt shot from 23 ft
11:06.0,,,66-78,,Offensive rebound by A. Aminu
11:02.0,,,66-81,3,D. Nowitzki makes 3-pt shot from 24 ft (assist by A. Aminu)
10:52.0,,,66-81,,Personal block foul by D. Harris (drawn by M. Ginobili)
10:48.0,M. Belinelli misses 2-pt shot from 19 ft,,66-81,,
10:46.0,,,66-81,,Defensive rebound by D. Nowitzki
10:37.0,Personal block foul by P. Mills (drawn by C. Parsons),,66-81,,
10:33.0,Personal foul by M. Ginobili (drawn by D. Harris),,66-81,,
10:22.0,,,66-83,2,R. Felton makes 2-pt shot from 1 ft
10:06.0,M. Belinelli makes 2-pt shot from 14 ft (assist by M. Ginobili),2,68-83,,
9:55.0,,,68-83,,Shooting foul by M. Bonner (drawn by A. Aminu)
9:55.0,,,68-85,2,A. Aminu makes 2-pt shot at rim (assist by C. Parsons)
9:55.0,,,68-85,,A. Aminu misses free throw 1 of 1
9:55.0,Defensive rebound by M. Bonner,,68-85,,
9:45.0,Shooting foul by C. Parsons (drawn by M. Ginobili),,68-85,,
9:45.0,M. Ginobili makes free throw 1 of 2,1,69-85,,
9:45.0,,,69-85,,R. Rondo enters the game for R. Felton
9:45.0,M. Ginobili misses free throw 2 of 2,,69-85,,
9:44.0,,,69-85,,Defensive rebound by D. Nowitzki
9:34.0,,,69-85,,D. Nowitzki misses 3-pt shot from 25 ft
9:33.0,Defensive rebound by B. Diaw,,69-85,,
9:28.0,M. Ginobili misses 3-pt shot from 25 ft,,69-85,,
9:27.0,,,69-85,,Defensive rebound by R. Rondo
9:18.0,,,69-85,,R. Rondo misses 2-pt shot from 1 ft
9:17.0,Defensive rebound by P. Mills,,69-85,,
9:13.0,,,69-85,,Personal block foul by A. Aminu (drawn by M. Ginobili)
9:04.0,M. Ginobili makes 2-pt shot at rim (assist by P. Mills),2,71-85,,
8:49.0,,,71-85,,A. Aminu misses 3-pt shot from 22 ft
8:48.0,Defensive rebound by M. Belinelli,,71-85,,
8:38.0,M. Belinelli misses 3-pt shot from 24 ft,,71-85,,
8:37.0,,,71-85,,Defensive rebound by D. Nowitzki
8:31.0,,,71-87,2,D. Harris makes 2-pt shot from 2 ft
8:21.0,M. Ginobili misses 3-pt shot from 24 ft,,71-87,,
8:20.0,Offensive rebound by M. Bonner,,71-87,,
8:09.0,M. Ginobili misses 3-pt shot from 22 ft,,71-87,,
8:08.0,,,71-87,,Defensive rebound by D. Nowitzki
7:48.0,Personal foul by M. Belinelli (drawn by D. Nowitzki),,71-87,,
7:48.0,Official timeout,,71-87,,
7:48.0,,,71-87,,T. Chandler enters the game for D. Nowitzki
7:48.0,,,71-87,,M. Ellis enters the game for D. Harris
7:48.0,K. Leonard enters the game for B. Diaw,,71-87,,
7:48.0,T. Splitter enters the game for M. Bonner,,71-87,,
7:41.0,,,71-87,,A. Aminu misses 3-pt shot from 22 ft
7:40.0,Defensive rebound by M. Ginobili,,71-87,,
7:29.0,P. Mills makes 2-pt shot from 18 ft,2,73-87,,
7:13.0,,,73-87,,Turnover by T. Chandler (offensive foul)
7:13.0,,,73-87,,Offensive foul by T. Chandler
6:58.0,M. Belinelli makes 2-pt shot at rim,2,75-87,,
6:42.0,,,75-87,,R. Rondo misses 2-pt shot from 8 ft (block by T. Splitter)
6:41.0,Defensive rebound by K. Leonard,,75-87,,
6:32.0,Offensive charge foul by T. Splitter,,75-87,,
6:32.0,Turnover by T. Splitter (offensive foul),,75-87,,
6:32.0,,,75-87,,Dallas full timeout
6:32.0,,,75-87,,D. Nowitzki enters the game for A. Aminu
6:32.0,B. Diaw enters the game for M. Belinelli,,75-87,,
6:13.0,,,75-89,2,M. Ellis makes 2-pt shot from 19 ft
5:57.0,P. Mills makes 3-pt shot from 24 ft (assist by B. Diaw),3,78-89,,
5:41.0,,,78-89,,Shooting foul by B. Diaw (drawn by M. Ellis)
5:41.0,,,78-90,1,M. Ellis makes free throw 1 of 2
5:41.0,,,78-91,1,M. Ellis makes free throw 2 of 2
5:28.0,K. Leonard misses 2-pt shot at rim,,78-91,,
5:26.0,,,78-91,,Defensive rebound by T. Chandler
5:20.0,,,78-91,,D. Nowitzki misses 2-pt shot from 19 ft
5:19.0,Defensive rebound by M. Ginobili,,78-91,,
5:02.0,P. Mills misses 3-pt shot from 24 ft,,78-91,,
5:01.0,,,78-91,,Defensive rebound by T. Chandler
4:58.0,,,78-91,,Turnover by T. Chandler (bad pass; steal by T. Splitter)
4:51.0,M. Ginobili makes 2-pt shot from 5 ft,2,80-91,,
4:29.0,,,80-93,2,M. Ellis makes 2-pt shot from 19 ft (assist by R. Rondo)
4:09.0,P. Mills misses 2-pt shot from 13 ft,,80-93,,
4:09.0,Offensive rebound by Team,,80-93,,
4:08.0,D. Green enters the game for M. Ginobili,,80-93,,
3:54.0,D. Green makes 3-pt shot from 24 ft (assist by P. Mills),3,83-93,,
