time,Golden State,pts.away,score,pts.home,Brooklyn
5:50.0,A. Bogut makes 2-pt shot at rim (assist by S. Curry),2,13-14,,
5:33.0,,,13-16,2,D. Williams makes 2-pt shot from 6 ft
5:21.0,S. Curry misses 2-pt shot from 15 ft,,13-16,,
5:20.0,Offensive rebound by H. Barnes,,13-16,,
5:12.0,S. Curry makes 3-pt shot from 22 ft (assist by K. Thompson),3,16-16,,
4:53.0,,,16-18,2,B. Lopez makes 2-pt shot from 10 ft
4:43.0,A. Bogut misses 2-pt shot from 20 ft,,16-18,,
4:42.0,,,16-18,,Defensive rebound by D. Williams
4:31.0,,,16-20,2,A. Anderson makes 2-pt shot from 1 ft (assist by J. Johnson)
4:12.0,Turnover by D. Green (lost ball; steal by A. Anderson),,16-20,,
4:11.0,Personal foul by S. Curry (drawn by M. Brown),,16-20,,
4:11.0,A. Iguodala enters the game for S. Curry,,16-20,,
4:11.0,S. Livingston enters the game for H. Barnes,,16-20,,
3:57.0,,,16-20,,D. Williams misses 2-pt shot from 13 ft
3:56.0,Defensive rebound by D. Green,,16-20,,
3:47.0,K. Thompson misses 3-pt shot from 25 ft,,16-20,,
3:46.0,,,16-20,,Defensive rebound by A. Anderson
3:32.0,,,16-20,,Turnover by B. Lopez (traveling)
3:32.0,M. Speights enters the game for A. Bogut,,16-20,,
3:15.0,D. Green misses 3-pt shot from 24 ft,,16-20,,
3:13.0,,,16-20,,Defensive rebound by A. Anderson
3:02.0,Personal foul by S. Livingston (drawn by D. Williams),,16-20,,
2:51.0,,,16-22,2,B. Lopez makes 2-pt shot from 17 ft
2:34.0,Golden State full timeout,,16-22,,
2:34.0,Turnover by A. Iguodala (bad pass),,16-22,,
2:24.0,,,16-24,2,B. Lopez makes 2-pt shot from 5 ft (assist by D. Williams)
2:08.0,K. Thompson misses 2-pt shot from 18 ft,,16-24,,
2:07.0,,,16-24,,Defensive rebound by D. Williams
1:58.0,,,16-24,,B. Lopez misses 2-pt shot from 4 ft
1:57.0,,,16-24,,Offensive rebound by Team
1:56.0,,,16-24,,J. Jack enters the game for D. Williams
1:56.0,,,16-24,,T. Young enters the game for J. Johnson
1:56.0,J. Holiday enters the game for K. Thompson,,16-24,,
1:56.0,D. Lee enters the game for D. Green,,16-24,,
1:53.0,Personal foul by M. Speights (drawn by M. Brown),,16-24,,
1:44.0,,,16-24,,B. Lopez misses 2-pt shot from 1 ft (block by D. Lee)
1:43.0,,,16-24,,Offensive rebound by B. Lopez
1:41.0,,,16-26,2,B. Lopez makes 2-pt shot at rim
1:29.0,M. Speights misses 2-pt shot from 17 ft,,16-26,,
1:28.0,Offensive rebound by S. Livingston,,16-26,,
1:23.0,J. Holiday makes 3-pt shot from 22 ft (assist by A. Iguodala),3,19-26,,
1:12.0,,,19-28,2,B. Lopez makes 2-pt shot from 19 ft (assist by J. Jack)
0:55.0,D. Lee makes 2-pt shot from 2 ft (assist by S. Livingston),2,21-28,,
0:44.0,,,21-31,3,A. Anderson makes 3-pt shot from 22 ft (assist by J. Jack)
0:28.0,M. Speights makes 2-pt shot from 18 ft (assist by S. Livingston),2,23-31,,
0:08.0,,,23-33,2,J. Jack makes 2-pt shot from 19 ft
0:00.0,M. Speights misses 3-pt shot from 23 ft,,23-33,,
0:00.0,Offensive rebound by Team,,23-33,,
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:47.0,,,23-33,,T. Young misses 2-pt shot from 7 ft
11:45.0,Defensive rebound by F. Ezeli,,23-33,,
11:35.0,A. Iguodala misses 2-pt shot from 2 ft,,23-33,,
11:34.0,,,23-33,,Defensive rebound by T. Young
11:26.0,,,23-33,,J. Jack misses 2-pt shot from 2 ft
11:24.0,Defensive rebound by F. Ezeli,,23-33,,
11:15.0,A. Iguodala makes 3-pt shot from 22 ft,3,26-33,,
10:56.0,,,26-33,,B. Lopez misses 2-pt shot from 9 ft
10:55.0,Defensive rebound by F. Ezeli,,26-33,,
10:39.0,A. Iguodala makes 2-pt shot from 19 ft,2,28-33,,
10:20.0,,,28-36,3,A. Anderson makes 3-pt shot from 24 ft (assist by T. Young)
9:58.0,S. Livingston misses 2-pt shot from 11 ft,,28-36,,
9:56.0,Offensive rebound by D. Lee,,28-36,,
9:55.0,D. Lee misses 2-pt shot from 2 ft,,28-36,,
9:54.0,Offensive rebound by F. Ezeli,,28-36,,
9:52.0,F. Ezeli makes 2-pt shot from 1 ft,2,30-36,,
9:43.0,,,30-36,,A. Anderson misses 3-pt shot from 25 ft
9:42.0,,,30-36,,Offensive rebound by B. Lopez
9:41.0,,,30-36,,B. Lopez misses 2-pt shot at rim (block by D. Lee)
9:39.0,,,30-36,,Offensive rebound by B. Bogdanovic
9:38.0,,,30-38,2,B. Bogdanovic makes 2-pt shot from 2 ft
9:21.0,S. Livingston makes 2-pt shot from 11 ft,2,32-38,,
9:21.0,Shooting foul by J. Jack (drawn by S. Livingston),,32-38,,
9:21.0,S. Livingston makes free throw 1 of 1,1,33-38,,
9:12.0,,,33-38,,B. Lopez misses 2-pt shot from 11 ft
9:11.0,Defensive rebound by F. Ezeli,,33-38,,
9:03.0,Turnover by F. Ezeli (lost ball; steal by B. Bogdanovic),,33-38,,
8:58.0,,,33-40,2,B. Bogdanovic makes 2-pt shot at rim
8:47.0,D. Lee makes 2-pt shot from 9 ft,2,35-40,,
8:33.0,,,35-40,,Turnover by T. Young (lost ball; steal by D. Lee)
8:26.0,Shooting foul by B. Lopez (drawn by F. Ezeli),,35-40,,
8:26.0,Official timeout,,35-40,,
8:26.0,,,35-40,,J. Johnson enters the game for A. Anderson
8:26.0,F. Ezeli misses free throw 1 of 2,,35-40,,
8:26.0,Offensive rebound by Team,,35-40,,
8:26.0,F. Ezeli makes free throw 2 of 2,1,36-40,,
8:11.0,,,36-42,2,B. Lopez makes 2-pt shot from 1 ft (assist by B. Bogdanovic)
7:55.0,F. Ezeli makes 2-pt shot from 1 ft (assist by S. Livingston),2,38-42,,
7:38.0,,,38-45,3,B. Bogdanovic makes 3-pt shot from 24 ft (assist by T. Young)
7:23.0,Turnover by D. Lee (lost ball; steal by T. Young),,38-45,,
7:10.0,,,38-45,,Turnover by J. Jack (bad pass; steal by J. Holiday)
7:04.0,J. Holiday misses 2-pt shot from 1 ft,,38-45,,
7:03.0,,,38-45,,Defensive rebound by J. Johnson
6:57.0,,,38-47,2,T. Young makes 2-pt shot from 6 ft
6:44.0,F. Ezeli makes 2-pt shot from 1 ft (assist by D. Lee),2,40-47,,
6:44.0,Shooting foul by J. Jack (drawn by F. Ezeli),,40-47,,
6:44.0,F. Ezeli makes free throw 1 of 1,1,41-47,,
6:32.0,Personal foul by S. Livingston (drawn by J. Jack),,41-47,,
6:32.0,,,41-47,,M. Plumlee enters the game for B. Lopez
6:24.0,,,41-47,,T. Young misses 3-pt shot from 24 ft
6:23.0,Defensive rebound by A. Iguodala,,41-47,,
6:14.0,J. Holiday misses 2-pt shot from 17 ft,,41-47,,
6:13.0,,,41-47,,Defensive rebound by T. Young
6:01.0,,,41-47,,Turnover by J. Johnson (bad pass; steal by A. Iguodala)
5:52.0,S. Livingston makes 2-pt shot from 1 ft (assist by A. Iguodala),2,43-47,,
5:38.0,,,43-47,,J. Jack misses 2-pt shot from 18 ft
5:37.0,Defensive rebound by D. Lee,,43-47,,
5:29.0,A. Iguodala misses 2-pt shot from 6 ft,,43-47,,
5:28.0,,,43-47,,Defensive rebound by M. Plumlee
5:20.0,,,43-49,2,T. Young makes 2-pt shot from 2 ft (assist by M. Plumlee)
5:12.0,Golden State full timeout,,43-49,,
5:12.0,,,43-49,,D. Williams enters the game for J. Jack
5:12.0,S. Curry enters the game for F. Ezeli,,43-49,,
5:12.0,A. Bogut enters the game for S. Livingston,,43-49,,
4:59.0,D. Lee misses 2-pt shot from 1 ft,,43-49,,
4:58.0,Offensive rebound by A. Bogut,,43-49,,
4:57.0,A. Bogut makes 2-pt shot from 1 ft,2,45-49,,
4:47.0,Personal foul by S. Curry (drawn by B. Bogdanovic),,45-49,,
4:47.0,H. Barnes enters the game for A. Iguodala,,45-49,,
4:42.0,,,45-49,,Turnover by B. Bogdanovic (lost ball; steal by H. Barnes)
4:27.0,A. Bogut makes 2-pt shot from 1 ft (assist by S. Curry),2,47-49,,
4:08.0,Personal foul by A. Bogut (drawn by M. Plumlee),,47-49,,
4:08.0,,,47-49,,M. Plumlee misses flagrant free throw 1 of 2
4:08.0,,,47-49,,Offensive rebound by Team
4:08.0,,,47-49,,M. Plumlee misses flagrant free throw 2 of 2
4:08.0,,,47-49,,Offensive rebound by Team
3:56.0,Personal foul by S. Curry (drawn by T. Young),,47-49,,
3:56.0,,,47-50,1,T. Young makes free throw 1 of 2
3:56.0,S. Livingston enters the game for S. Curry,,47-50,,
3:56.0,K. Thompson enters the game for J. Holiday,,47-50,,
3:56.0,,,47-50,,B. Lopez enters the game for M. Plumlee
3:56.0,,,47-51,1,T. Young makes free throw 2 of 2
3:42.0,K. Thompson misses 2-pt shot from 16 ft,,47-51,,
3:41.0,Offensive rebound by D. Lee,,47-51,,
3:33.0,S. Livingston makes 2-pt shot from 2 ft (assist by D. Lee),2,49-51,,
3:22.0,Def 3 sec tech foul by A. Bogut,,49-51,,
3:22.0,,,49-52,1,J. Johnson makes technical free throw
3:22.0,D. Green enters the game for D. Lee,,49-52,,
3:16.0,,,49-55,3,D. Williams makes 3-pt shot from 28 ft
2:56.0,A. Bogut makes 2-pt shot from 7 ft,2,51-55,,
2:42.0,,,51-57,2,B. Lopez makes 2-pt shot from 5 ft (assist by D. Williams)
2:15.0,H. Barnes misses 2-pt shot from 18 ft,,51-57,,
2:14.0,,,51-57,,Defensive rebound by B. Bogdanovic
2:03.0,,,51-57,,D. Williams misses 2-pt shot from 6 ft
2:02.0,Defensive rebound by A. Bogut,,51-57,,
1:57.0,K. Thompson misses 3-pt shot from 24 ft,,51-57,,
1:56.0,,,51-57,,Defensive rebound by B. Lopez
1:36.0,,,51-57,,J. Johnson misses 2-pt shot from 3 ft (block by A. Bogut)
1:34.0,Defensive rebound by S. Livingston,,51-57,,
1:32.0,Shooting foul by T. Young (drawn by S. Livingston),,51-57,,
1:32.0,,,51-57,,Brooklyn full timeout
1:32.0,,,51-57,,J. Jack enters the game for T. Young
1:32.0,,,51-57,,A. Anderson enters the game for B. Bogdanovic
1:32.0,S. Livingston misses free throw 1 of 2,,51-57,,
1:32.0,Offensive rebound by Team,,51-57,,
1:32.0,S. Livingston misses free throw 2 of 2,,51-57,,
1:31.0,Offensive rebound by S. Livingston,,51-57,,
1:30.0,S. Livingston misses 2-pt shot at rim,,51-57,,
1:29.0,,,51-57,,Defensive rebound by B. Lopez
1:15.0,,,51-57,,B. Lopez misses 2-pt shot from 15 ft
1:12.0,Defensive rebound by D. Green,,51-57,,
0:49.0,D. Green misses 2-pt shot from 4 ft (block by B. Lopez),,51-57,,
0:47.0,,,51-57,,Defensive rebound by A. Anderson
0:40.0,,,51-57,,B. Lopez misses 2-pt shot from 3 ft
0:40.0,,,51-57,,Offensive rebound by Team
0:38.0,,,51-57,,D. Williams misses 2-pt shot from 2 ft
0:35.0,Defensive rebound by H. Barnes,,51-57,,
0:23.0,D. Green misses 3-pt shot from 24 ft,,51-57,,
0:21.0,Offensive rebound by H. Barnes,,51-57,,
0:04.0,K. Thompson misses 3-pt shot from 25 ft,,51-57,,
0:02.0,,,51-57,,Defensive rebound by D. Williams
0:00.0,,,51-57,,D. Williams misses 3-pt shot from 55 ft
0:00.0,,,51-57,,Offensive rebound by Team
0:00.0,End of 2nd quarter,,,,End of 2nd quarter
12:00.0,Start of 3rd quarter,,,,Start of 3rd quarter
11:43.0,,,51-57,,J. Johnson misses 3-pt shot from 24 ft
11:42.0,Defensive rebound by K. Thompson,,51-57,,
11:17.0,Turnover by D. Green (3 sec),,51-57,,
11:00.0,,,51-59,2,D. Williams makes 2-pt shot from 17 ft
10:49.0,K. Thompson misses 3-pt shot from 24 ft,,51-59,,
10:47.0,Offensive rebound by Team,,51-59,,
10:47.0,,,51-59,,Loose ball foul by M. Brown (drawn by D. Green)
10:43.0,H. Barnes makes 2-pt shot from 1 ft (assist by D. Green),2,53-59,,
10:33.0,,,53-59,,M. Brown misses 2-pt shot from 21 ft
10:33.0,,,53-59,,Offensive rebound by J. Johnson
10:27.0,Personal foul by A. Bogut (drawn by M. Plumlee),,53-59,,
10:21.0,,,53-61,2,J. Johnson makes 2-pt shot from 16 ft
10:02.0,K. Thompson makes 2-pt shot from 10 ft,2,55-61,,
9:54.0,,,55-61,,D. Williams misses 2-pt shot from 10 ft
9:53.0,Defensive rebound by A. Bogut,,55-61,,
9:47.0,K. Thompson makes 3-pt shot from 24 ft (assist by D. Green),3,58-61,,
9:26.0,,,58-64,3,D. Williams makes 3-pt shot from 25 ft (assist by M. Brown)
9:11.0,S. Curry misses 3-pt shot from 24 ft,,58-64,,
9:10.0,,,58-64,,Defensive rebound by M. Plumlee
9:00.0,,,58-64,,M. Plumlee misses 2-pt shot from 3 ft (block by A. Bogut)
8:58.0,,,58-64,,Offensive rebound by M. Plumlee
8:56.0,,,58-64,,M. Plumlee misses 2-pt shot from 4 ft
8:55.0,Defensive rebound by D. Green,,58-64,,
8:51.0,Offensive foul by D. Green,,58-64,,
8:51.0,Turnover by D. Green (offensive foul),,58-64,,
8:39.0,,,58-64,,D. Williams misses 2-pt shot from 17 ft
8:38.0,Defensive rebound by D. Green,,58-64,,
8:31.0,K. Thompson misses 3-pt shot from 26 ft,,58-64,,
8:30.0,,,58-64,,Defensive rebound by M. Plumlee
8:20.0,,,58-64,,Shooting foul by S. Curry (drawn by M. Brown)
8:20.0,,,58-65,1,M. Brown makes free throw 1 of 2
8:20.0,S. Livingston enters the game for S. Curry,,58-65,,
8:20.0,,,58-66,1,M. Brown makes free throw 2 of 2
8:03.0,H. Barnes misses 2-pt shot from 7 ft,,58-66,,
8:02.0,Offensive rebound by Team,,58-66,,
8:02.0,Offensive foul by A. Bogut,,58-66,,
8:02.0,Turnover by A. Bogut (offensive foul),,58-66,,
8:02.0,M. Speights enters the game for A. Bogut,,58-66,,
7:49.0,,,58-66,,J. Johnson misses 2-pt shot from 6 ft
7:48.0,Defensive rebound by H. Barnes,,58-66,,
7:24.0,K. Thompson misses 2-pt shot from 10 ft,,58-66,,
7:23.0,,,58-66,,Defensive rebound by M. Plumlee
7:16.0,,,58-66,,Shooting foul by M. Speights (drawn by M. Plumlee)
7:16.0,,,58-67,1,M. Plumlee makes free throw 1 of 2
7:16.0,Golden State full timeout,,58-67,,
7:16.0,A. Iguodala enters the game for H. Barnes,,58-67,,
7:16.0,,,58-67,,M. Plumlee misses free throw 2 of 2
7:15.0,Defensive rebound by D. Green,,58-67,,
6:55.0,M. Speights makes 2-pt shot from 18 ft (assist by K. Thompson),2,60-67,,
6:37.0,,,60-67,,D. Williams misses 2-pt shot from 10 ft
6:36.0,Defensive rebound by D. Green,,60-67,,
6:30.0,M. Speights makes 2-pt shot from 2 ft (assist by A. Iguodala),2,62-67,,
6:12.0,,,62-70,3,D. Williams makes 3-pt shot from 24 ft (assist by J. Johnson)
5:56.0,S. Livingston makes 2-pt shot from 8 ft (assist by M. Speights),2,64-70,,
5:33.0,,,64-70,,A. Anderson misses 3-pt shot from 22 ft
5:32.0,Defensive rebound by M. Speights,,64-70,,
5:25.0,S. Livingston makes 2-pt shot from 1 ft,2,66-70,,
5:23.0,,,66-70,,Brooklyn full timeout
5:23.0,,,66-70,,B. Lopez enters the game for M. Plumlee
5:23.0,,,66-70,,J. Jack enters the game for M. Brown
5:23.0,H. Barnes enters the game for D. Green,,66-70,,
5:07.0,,,66-70,,Shooting foul by M. Speights (drawn by B. Lopez)
5:07.0,,,66-71,1,B. Lopez makes free throw 1 of 2
5:07.0,,,66-71,,B. Lopez misses free throw 2 of 2
5:06.0,Defensive rebound by A. Iguodala,,66-71,,
4:43.0,M. Speights misses 2-pt shot from 5 ft,,66-71,,
4:42.0,,,66-71,,Defensive rebound by J. Johnson
4:31.0,Personal block foul by S. Livingston (drawn by D. Williams),,66-71,,
4:31.0,,,66-72,1,D. Williams makes free throw 1 of 2
4:31.0,F. Ezeli enters the game for M. Speights,,66-72,,
4:31.0,S. Curry enters the game for K. Thompson,,66-72,,
4:31.0,,,66-73,1,D. Williams makes free throw 2 of 2
4:14.0,S. Livingston misses 2-pt shot from 15 ft,,66-73,,
4:13.0,,,66-73,,Defensive rebound by D. Williams
4:01.0,,,66-75,2,A. Anderson makes 2-pt shot from 17 ft (assist by J. Johnson)
3:52.0,Shooting foul by B. Lopez (drawn by S. Curry),,66-75,,
3:52.0,S. Curry makes free throw 1 of 2,1,67-75,,
3:52.0,S. Curry makes free throw 2 of 2,1,68-75,,
3:41.0,,,68-77,2,B. Lopez makes 2-pt shot from 21 ft (assist by J. Jack)
3:30.0,H. Barnes makes 3-pt shot from 24 ft (assist by S. Curry),3,71-77,,
3:09.0,,,71-77,,Turnover by B. Lopez (traveling)
2:51.0,F. Ezeli misses 2-pt shot from 7 ft,,71-77,,
2:50.0,,,71-77,,Defensive rebound by J. Johnson
2:35.0,,,71-77,,B. Lopez misses 2-pt shot from 12 ft
2:34.0,Defensive rebound by F. Ezeli,,71-77,,
2:21.0,F. Ezeli misses 2-pt shot from 2 ft,,71-77,,
2:20.0,,,71-77,,Defensive rebound by J. Johnson
2:13.0,,,71-79,2,A. Anderson makes 2-pt shot from 2 ft
2:04.0,S. Curry misses 3-pt shot from 24 ft,,71-79,,
2:03.0,Offensive rebound by F. Ezeli,,71-79,,
2:01.0,Shooting foul by B. Lopez (drawn by F. Ezeli),,71-79,,
2:01.0,F. Ezeli makes free throw 1 of 2,1,72-79,,
2:01.0,,,72-79,,T. Young enters the game for J. Johnson
2:01.0,,,72-79,,B. Bogdanovic enters the game for A. Anderson
2:01.0,F. Ezeli makes free throw 2 of 2,1,73-79,,
1:50.0,,,73-81,2,B. Lopez makes 2-pt shot from 7 ft (assist by D. Williams)
1:31.0,S. Curry misses 2-pt shot from 8 ft,,73-81,,
1:30.0,Offensive rebound by F. Ezeli,,73-81,,
1:29.0,F. Ezeli makes 2-pt shot at rim,2,75-81,,
1:09.0,,,75-84,3,D. Williams makes 3-pt shot from 25 ft
0:57.0,Turnover by S. Curry (bad pass),,75-84,,
0:44.0,,,75-84,,D. Williams misses 3-pt shot from 25 ft
0:43.0,Defensive rebound by S. Curry,,75-84,,
0:38.0,A. Iguodala makes 2-pt shot from 2 ft (assist by S. Curry),2,77-84,,
0:31.0,,,77-84,,Shooting foul by F. Ezeli (drawn by B. Lopez)
0:31.0,,,77-85,1,B. Lopez makes free throw 1 of 2
0:31.0,,,77-86,1,B. Lopez makes free throw 2 of 2
0:12.0,S. Curry makes 3-pt shot from 25 ft (assist by S. Livingston),3,80-86,,
0:01.0,,,80-86,,D. Williams misses 2-pt shot from 18 ft
0:00.0,Defensive rebound by A. Iguodala,,80-86,,
0:00.0,End of 3rd quarter,,,,End of 3rd quarter
12:00.0,Start of 4th quarter,,,,Start of 4th quarter
11:45.0,A. Iguodala makes 3-pt shot from 23 ft (assist by S. Curry),3,83-86,,
11:24.0,,,83-86,,J. Jack misses 3-pt shot from 24 ft
11:23.0,Defensive rebound by H. Barnes,,83-86,,
11:14.0,Turnover by F. Ezeli (lost ball),,83-86,,
11:07.0,,,83-86,,B. Lopez misses 2-pt shot from 2 ft (block by F. Ezeli)
11:06.0,,,83-86,,Offensive rebound by B. Lopez
11:05.0,,,83-86,,B. Lopez misses 2-pt shot from 2 ft
11:04.0,,,83-86,,Offensive rebound by B. Lopez
11:03.0,,,83-88,2,B. Lopez makes 2-pt shot at rim
11:03.0,,,83-88,,Shooting foul by F. Ezeli (drawn by B. Lopez)
11:03.0,,,83-89,1,B. Lopez makes free throw 1 of 1
10:47.0,A. Iguodala makes 2-pt shot from 13 ft,2,85-89,,
10:27.0,,,85-91,2,T. Young makes 2-pt shot from 1 ft
10:14.0,H. Barnes misses 3-pt shot from 23 ft,,85-91,,
10:13.0,,,85-91,,Defensive rebound by M. Brown
10:02.0,,,85-91,,B. Lopez misses 2-pt shot from 20 ft
10:01.0,Defensive rebound by S. Curry,,85-91,,
9:54.0,Shooting foul by M. Brown (drawn by F. Ezeli),,85-91,,
9:54.0,F. Ezeli makes free throw 1 of 2,1,86-91,,
9:54.0,,,86-91,,M. Plumlee enters the game for B. Lopez
9:54.0,D. Green enters the game for S. Livingston,,86-91,,
9:54.0,K. Thompson enters the game for H. Barnes,,86-91,,
9:54.0,F. Ezeli makes free throw 2 of 2,1,87-91,,
9:43.0,,,87-91,,B. Bogdanovic misses 3-pt shot from 24 ft
9:42.0,Defensive rebound by D. Green,,87-91,,
9:36.0,S. Curry makes 3-pt shot from 24 ft,3,90-91,,
9:21.0,Violation by K. Thompson (kicked ball),,90-91,,
9:05.0,,,90-94,3,T. Young makes 3-pt shot from 25 ft (assist by J. Jack)
8:57.0,S. Curry makes 2-pt shot from 1 ft,2,92-94,,
8:41.0,,,92-97,3,T. Young makes 3-pt shot from 23 ft (assist by J. Jack)
8:21.0,A. Iguodala misses 3-pt shot from 26 ft,,92-97,,
8:20.0,,,92-97,,Defensive rebound by M. Brown
8:08.0,,,92-99,2,M. Plumlee makes 2-pt shot from 1 ft (assist by M. Brown)
8:08.0,Golden State full timeout,,92-99,,
8:08.0,A. Bogut enters the game for F. Ezeli,,92-99,,
7:54.0,Shooting foul by T. Young (drawn by S. Curry),,92-99,,
7:54.0,S. Curry makes free throw 1 of 2,1,93-99,,
7:54.0,S. Curry makes free throw 2 of 2,1,94-99,,
7:34.0,,,94-99,,Turnover by M. Plumlee (bad pass; steal by A. Iguodala)
7:28.0,S. Curry misses 3-pt shot from 23 ft,,94-99,,
7:27.0,Offensive rebound by D. Green,,94-99,,
7:24.0,K. Thompson misses 3-pt shot from 25 ft,,94-99,,
7:23.0,,,94-99,,Defensive rebound by B. Bogdanovic
7:16.0,,,94-99,,M. Brown misses 2-pt shot from 1 ft
7:14.0,Defensive rebound by A. Bogut,,94-99,,
7:07.0,K. Thompson misses 3-pt shot from 23 ft,,94-99,,
7:06.0,,,94-99,,Defensive rebound by M. Brown
7:05.0,,,94-99,,Brooklyn full timeout
7:05.0,,,94-99,,D. Williams enters the game for M. Brown
7:05.0,,,94-99,,J. Johnson enters the game for B. Bogdanovic
6:53.0,,,94-99,,T. Young misses 2-pt shot from 14 ft
6:52.0,Defensive rebound by D. Green,,94-99,,
6:35.0,Turnover by S. Curry (bad pass; steal by T. Young),,94-99,,
6:30.0,,,94-101,2,M. Plumlee makes 2-pt shot at rim (assist by T. Young)
6:12.0,D. Green makes 2-pt shot from 1 ft (assist by K. Thompson),2,96-101,,
5:54.0,,,96-104,3,J. Jack makes 3-pt shot from 22 ft (assist by T. Young)
5:36.0,K. Thompson misses 2-pt shot from 3 ft,,96-104,,
5:34.0,,,96-104,,Defensive rebound by T. Young
5:12.0,,,96-104,,J. Johnson misses 3-pt shot from 24 ft
5:11.0,Defensive rebound by D. Green,,96-104,,
5:11.0,,,96-104,,Personal foul by M. Plumlee (drawn by D. Green)
4:50.0,Turnover by K. Thompson (lost ball; steal by D. Williams),,96-104,,
4:41.0,,,96-104,,D. Williams misses 3-pt shot from 23 ft
4:40.0,,,96-104,,Offensive rebound by T. Young
4:26.0,,,96-104,,Turnover by J. Jack (bad pass; steal by S. Curry)
4:20.0,S. Curry misses 3-pt shot from 22 ft,,96-104,,
4:19.0,Offensive rebound by A. Iguodala,,96-104,,
4:16.0,K. Thompson misses 3-pt shot from 23 ft,,96-104,,
4:15.0,,,96-104,,Defensive rebound by M. Plumlee
4:00.0,,,96-106,2,D. Williams makes 2-pt shot from 10 ft
3:56.0,Golden State full timeout,,96-106,,
3:49.0,S. Curry makes 3-pt shot from 23 ft (assist by D. Green),3,99-106,,
3:29.0,,,99-108,2,J. Jack makes 2-pt shot from 16 ft
3:15.0,S. Curry makes 3-pt shot from 24 ft,3,102-108,,
2:49.0,,,102-108,,D. Williams misses 2-pt shot from 10 ft
2:48.0,,,102-108,,Offensive rebound by M. Plumlee
2:47.0,,,102-108,,M. Plumlee misses 2-pt shot from 1 ft
2:45.0,,,102-108,,Offensive rebound by J. Jack
2:30.0,,,102-108,,T. Young misses 2-pt shot from 4 ft (block by D. Green)
2:29.0,Defensive rebound by K. Thompson,,102-108,,
2:24.0,S. Curry makes 3-pt shot from 23 ft (assist by K. Thompson),3,105-108,,
2:23.0,,,105-108,,Brooklyn full timeout
2:23.0,H. Barnes enters the game for A. Bogut,,105-108,,
