time,Atlanta,pts.away,score,pts.home,Houston
2:56.0,Turnover by P. Antic (bad pass; steal by J. Terry),,20-23,,
2:52.0,,,20-23,,Turnover by J. Terry (bad pass; steal by T. Sefolosha)
2:47.0,T. Sefolosha makes 2-pt shot from 1 ft,2,22-23,,
2:29.0,,,22-23,,Houston full timeout
2:29.0,,,22-23,,T. Black enters the game for D. Howard
2:21.0,,,22-23,,K. Papanikolaou misses 3-pt shot from 22 ft
2:21.0,Defensive rebound by Team,,22-23,,
2:12.0,,,22-23,,Loose ball foul by T. Black (drawn by K. Korver)
2:02.0,M. Scott makes 2-pt shot from 15 ft (assist by T. Sefolosha),2,24-23,,
1:50.0,,,24-23,,K. Papanikolaou misses 3-pt shot from 25 ft
1:49.0,Defensive rebound by T. Sefolosha,,24-23,,
1:37.0,S. Mack makes 2-pt shot from 1 ft (assist by K. Korver),2,26-23,,
1:23.0,,,26-23,,J. Harden misses 3-pt shot from 25 ft
1:22.0,Defensive rebound by Team,,26-23,,
1:22.0,,,26-23,,Loose ball foul by T. Black (drawn by P. Antic)
1:22.0,,,26-23,,P. Beverley enters the game for T. Ariza
1:15.0,K. Korver makes 2-pt shot from 1 ft (assist by S. Mack),2,28-23,,
0:58.0,Shooting block foul by P. Antic (drawn by J. Harden),,28-23,,
0:58.0,,,28-24,1,J. Harden makes free throw 1 of 2
0:58.0,A. Horford enters the game for P. Antic,,28-24,,
0:58.0,,,28-25,1,J. Harden makes free throw 2 of 2
0:47.0,T. Sefolosha misses 3-pt shot from 24 ft,,28-25,,
0:46.0,,,28-25,,Defensive rebound by T. Black
0:37.0,,,28-25,,J. Harden misses 2-pt shot from 20 ft
0:35.0,Defensive rebound by T. Sefolosha,,28-25,,
0:30.0,M. Scott makes 2-pt shot from 3 ft (assist by S. Mack),2,30-25,,
0:10.0,,,30-25,,P. Beverley misses 3-pt shot from 24 ft
0:09.0,Defensive rebound by T. Sefolosha,,30-25,,
0:05.0,K. Korver makes 2-pt shot from 2 ft (assist by T. Sefolosha),2,32-25,,
0:00.0,Personal foul by K. Korver (drawn by K. Papanikolaou),,32-25,,
0:00.0,,,32-26,1,K. Papanikolaou makes free throw 1 of 2
0:00.0,K. Bazemore enters the game for K. Korver,,32-26,,
0:00.0,,,32-26,,K. Papanikolaou misses free throw 2 of 2
0:00.0,Defensive rebound by T. Sefolosha,,32-26,,
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:37.0,S. Mack makes 2-pt shot from 2 ft,2,34-26,,
11:13.0,,,34-26,,Shooting foul by M. Scott (drawn by D. Motiejunas)
11:13.0,,,34-26,,D. Motiejunas misses free throw 1 of 2
11:13.0,,,34-26,,Offensive rebound by Team
11:13.0,,,34-26,,D. Motiejunas misses free throw 2 of 2
11:12.0,Defensive rebound by Team,,34-26,,
10:52.0,A. Horford misses 2-pt shot from 5 ft,,34-26,,
10:50.0,,,34-26,,Defensive rebound by D. Motiejunas
10:38.0,,,34-26,,P. Beverley misses 2-pt shot from 5 ft (block by A. Horford)
10:37.0,Defensive rebound by T. Sefolosha,,34-26,,
10:27.0,Turnover by T. Sefolosha (bad pass),,34-26,,
10:06.0,,,34-26,,P. Beverley misses 3-pt shot from 22 ft
10:05.0,,,34-26,,Offensive rebound by K. Papanikolaou
9:55.0,,,34-26,,K. Papanikolaou misses 2-pt shot from 3 ft
9:54.0,Defensive rebound by S. Mack,,34-26,,
9:45.0,S. Mack misses 3-pt shot from 24 ft,,34-26,,
9:44.0,,,34-26,,Defensive rebound by D. Motiejunas
9:42.0,,,34-26,,J. Terry misses 3-pt shot from 25 ft
9:39.0,Defensive rebound by D. Carroll,,34-26,,
9:26.0,D. Carroll makes 3-pt shot from 23 ft (assist by T. Sefolosha),3,37-26,,
9:06.0,Violation by T. Sefolosha (kicked ball),,37-26,,
9:06.0,,,37-26,,D. Howard enters the game for T. Black
9:06.0,K. Bazemore enters the game for T. Sefolosha,,37-26,,
8:56.0,,,37-29,3,P. Beverley makes 3-pt shot from 24 ft (assist by K. Papanikolaou)
8:37.0,S. Mack makes 2-pt shot from 2 ft (assist by M. Scott),2,39-29,,
8:18.0,,,39-29,,Turnover by P. Beverley (step out of bounds)
8:18.0,Atlanta full timeout,,39-29,,
8:18.0,,,39-29,,T. Ariza enters the game for K. Papanikolaou
8:18.0,,,39-29,,N. Johnson enters the game for J. Terry
8:18.0,P. Millsap enters the game for M. Scott,,39-29,,
7:56.0,K. Bazemore misses 2-pt shot from 4 ft,,39-29,,
7:55.0,,,39-29,,Defensive rebound by D. Motiejunas
7:32.0,,,39-29,,D. Motiejunas misses 2-pt shot from 4 ft
7:31.0,,,39-29,,Offensive rebound by D. Motiejunas
7:29.0,,,39-29,,D. Motiejunas misses 2-pt shot from 2 ft
7:28.0,Defensive rebound by S. Mack,,39-29,,
7:17.0,D. Carroll misses 3-pt shot from 24 ft,,39-29,,
7:16.0,,,39-29,,Defensive rebound by P. Beverley
7:00.0,,,39-29,,D. Howard misses 2-pt shot from 6 ft
7:00.0,,,39-29,,Offensive rebound by N. Johnson
7:00.0,,,39-29,,Shooting foul by D. Carroll (drawn by N. Johnson)
7:00.0,,,39-30,1,N. Johnson makes free throw 1 of 2
7:00.0,P. Antic enters the game for A. Horford,,39-30,,
7:00.0,D. Schroder enters the game for S. Mack,,39-30,,
7:00.0,,,39-31,1,N. Johnson makes free throw 2 of 2
6:43.0,P. Antic makes 3-pt shot from 24 ft (assist by D. Schroder),3,42-31,,
6:28.0,,,42-31,,Offensive foul by D. Howard
6:28.0,,,42-31,,Turnover by D. Howard (offensive foul)
6:28.0,,,42-31,,Houston full timeout
6:12.0,Shooting foul by N. Johnson (drawn by K. Bazemore),,42-31,,
6:12.0,K. Bazemore misses free throw 1 of 2,,42-31,,
6:12.0,Offensive rebound by Team,,42-31,,
6:12.0,,,42-31,,J. Harden enters the game for N. Johnson
6:12.0,K. Bazemore makes free throw 2 of 2,1,43-31,,
5:59.0,,,43-31,,Turnover by T. Ariza (bad pass; steal by K. Bazemore)
5:49.0,P. Millsap misses 3-pt shot from 23 ft,,43-31,,
5:48.0,,,43-31,,Defensive rebound by Team
5:47.0,K. Korver enters the game for D. Carroll,,43-31,,
5:33.0,,,43-31,,J. Harden misses 3-pt shot from 25 ft
5:32.0,Defensive rebound by P. Millsap,,43-31,,
5:13.0,K. Bazemore makes 2-pt shot at rim (assist by P. Millsap),2,45-31,,
4:47.0,,,45-31,,D. Motiejunas misses 2-pt shot from 9 ft
4:46.0,Defensive rebound by P. Millsap,,45-31,,
4:37.0,D. Schroder makes 2-pt shot from 1 ft,2,47-31,,
4:37.0,,,47-31,,Houston full timeout
4:37.0,,,47-31,,K. Papanikolaou enters the game for D. Motiejunas
4:18.0,,,47-31,,P. Beverley misses 2-pt shot from 2 ft
4:16.0,,,47-31,,Offensive rebound by D. Howard
4:16.0,,,47-31,,D. Howard misses 2-pt shot from 3 ft
4:14.0,,,47-31,,Offensive rebound by D. Howard
4:14.0,Personal foul by K. Korver (drawn by D. Howard),,47-31,,
4:03.0,,,47-31,,P. Beverley misses 3-pt shot from 22 ft
4:02.0,,,47-31,,Offensive rebound by T. Ariza
3:56.0,,,47-31,,K. Papanikolaou misses 2-pt shot from 5 ft
3:54.0,Defensive rebound by D. Schroder,,47-31,,
3:48.0,,,47-31,,Personal foul by P. Beverley (drawn by D. Schroder)
3:39.0,K. Korver misses 2-pt shot from 11 ft,,47-31,,
3:36.0,,,47-31,,Defensive rebound by D. Howard
3:32.0,,,47-34,3,T. Ariza makes 3-pt shot from 25 ft (assist by J. Harden)
3:10.0,Shooting foul by T. Ariza (drawn by K. Bazemore),,47-34,,
3:10.0,K. Bazemore misses free throw 1 of 2,,47-34,,
3:10.0,Offensive rebound by Team,,47-34,,
3:10.0,K. Bazemore makes free throw 2 of 2,1,48-34,,
2:57.0,,,48-34,,T. Ariza misses 2-pt shot from 3 ft (block by P. Millsap)
2:56.0,Defensive rebound by K. Bazemore,,48-34,,
2:47.0,K. Korver misses 3-pt shot from 27 ft,,48-34,,
2:46.0,,,48-34,,Defensive rebound by T. Ariza
2:33.0,,,48-37,3,K. Papanikolaou makes 3-pt shot from 23 ft (assist by J. Harden)
2:12.0,D. Schroder misses 2-pt shot from 3 ft,,48-37,,
2:11.0,,,48-37,,Defensive rebound by D. Howard
2:00.0,,,48-40,3,T. Ariza makes 3-pt shot from 22 ft (assist by P. Beverley)
1:59.0,Atlanta full timeout,,48-40,,
1:59.0,A. Horford enters the game for P. Antic,,48-40,,
1:59.0,D. Carroll enters the game for K. Bazemore,,48-40,,
1:47.0,K. Korver misses 3-pt shot from 24 ft,,48-40,,
1:46.0,,,48-40,,Defensive rebound by D. Howard
1:37.0,,,48-40,,J. Harden misses 3-pt shot from 25 ft
1:36.0,Defensive rebound by D. Schroder,,48-40,,
1:27.0,A. Horford misses 2-pt shot from 2 ft (block by D. Howard),,48-40,,
1:27.0,Offensive rebound by Team,,48-40,,
1:24.0,,,48-40,,Personal foul by P. Beverley (drawn by D. Schroder)
1:19.0,P. Millsap makes 2-pt shot from 4 ft (assist by D. Carroll),2,50-40,,
1:13.0,,,50-40,,J. Harden misses 2-pt shot from 3 ft (block by D. Carroll)
1:13.0,,,50-40,,Offensive rebound by Team
0:54.0,,,50-40,,T. Ariza misses 2-pt shot from 7 ft
0:50.0,Defensive rebound by A. Horford,,50-40,,
0:42.0,A. Horford makes 2-pt shot from 19 ft (assist by D. Schroder),2,52-40,,
0:27.0,,,52-40,,J. Harden misses 2-pt shot from 19 ft (block by D. Carroll)
0:25.0,Defensive rebound by A. Horford,,52-40,,
0:02.0,P. Millsap misses 3-pt shot from 25 ft,,52-40,,
0:01.0,Offensive rebound by A. Horford,,52-40,,
0:00.0,A. Horford misses 3-pt shot from 30 ft,,52-40,,
0:00.0,Offensive rebound by Team,,52-40,,
0:00.0,End of 2nd quarter,,,,End of 2nd quarter
12:00.0,Start of 3rd quarter,,,,Start of 3rd quarter
11:42.0,D. Carroll misses 3-pt shot from 24 ft,,52-40,,
11:41.0,,,52-40,,Defensive rebound by P. Beverley
11:25.0,,,52-43,3,J. Harden makes 3-pt shot from 24 ft (assist by D. Howard)
11:07.0,Turnover by K. Korver (bad pass),,52-43,,
10:51.0,,,52-45,2,D. Howard makes 2-pt shot from 4 ft (assist by J. Harden)
10:35.0,Turnover by P. Millsap (lost ball; steal by D. Motiejunas),,52-45,,
10:29.0,,,52-45,,T. Ariza misses 3-pt shot from 23 ft
10:27.0,,,52-45,,Offensive rebound by P. Beverley
10:19.0,,,52-47,2,T. Ariza makes 2-pt shot from 3 ft (assist by D. Howard)
10:19.0,Atlanta full timeout,,52-47,,
10:05.0,Turnover by A. Horford (bad pass; steal by T. Ariza),,52-47,,
9:59.0,,,52-49,2,D. Howard makes 2-pt shot at rim (assist by J. Harden)
9:44.0,Turnover by D. Schroder (bad pass; steal by D. Howard),,52-49,,
9:34.0,,,52-49,,D. Motiejunas misses 3-pt shot from 23 ft
9:33.0,Defensive rebound by A. Horford,,52-49,,
9:15.0,D. Schroder makes 2-pt shot from 20 ft,2,54-49,,
8:51.0,,,54-49,,T. Ariza misses 3-pt shot from 23 ft
8:49.0,Defensive rebound by P. Millsap,,54-49,,
8:44.0,K. Korver makes 2-pt shot from 2 ft (assist by P. Millsap),2,56-49,,
8:32.0,Personal foul by A. Horford (drawn by D. Howard),,56-49,,
8:20.0,,,56-49,,D. Motiejunas misses 2-pt shot from 4 ft
8:18.0,Defensive rebound by K. Korver,,56-49,,
8:07.0,A. Horford makes 2-pt shot from 19 ft (assist by P. Millsap),2,58-49,,
7:52.0,,,58-51,2,D. Howard makes 2-pt shot from 1 ft (assist by D. Motiejunas)
7:52.0,,,58-51,,Shooting foul by D. Schroder (drawn by D. Howard)
7:52.0,,,58-52,1,D. Howard makes free throw 1 of 1
7:41.0,K. Korver makes 3-pt shot from 23 ft (assist by A. Horford),3,61-52,,
7:29.0,,,61-52,,Turnover by D. Howard (bad pass; steal by A. Horford)
7:25.0,Turnover by P. Millsap (bad pass),,61-52,,
7:13.0,,,61-52,,D. Motiejunas misses 3-pt shot from 24 ft
7:12.0,Defensive rebound by D. Carroll,,61-52,,
7:03.0,Turnover by P. Millsap (lost ball; steal by D. Howard),,61-52,,
6:48.0,,,61-52,,Turnover by D. Howard (lost ball; steal by K. Korver)
6:46.0,,,61-52,,Clear path foul by J. Harden
6:46.0,D. Carroll misses clear path free throw 1 of 2,,61-52,,
6:46.0,Offensive rebound by Team,,61-52,,
6:46.0,D. Carroll makes clear path free throw 2 of 2,1,62-52,,
6:26.0,Turnover by D. Schroder (lost ball; steal by P. Beverley),,62-52,,
6:20.0,,,62-52,,P. Beverley misses 3-pt shot from 24 ft
6:18.0,Defensive rebound by D. Schroder,,62-52,,
6:04.0,A. Horford makes 2-pt shot from 5 ft,2,64-52,,
5:45.0,,,64-54,2,D. Motiejunas makes 2-pt shot from 6 ft (assist by P. Beverley)
5:32.0,,,64-54,,Personal foul by P. Beverley (drawn by D. Schroder)
5:32.0,P. Antic enters the game for A. Horford,,64-54,,
5:32.0,,,64-54,,K. Papanikolaou enters the game for D. Motiejunas
5:20.0,K. Korver misses 3-pt shot from 26 ft,,64-54,,
5:19.0,,,64-54,,Defensive rebound by T. Ariza
5:04.0,,,64-54,,D. Howard misses 2-pt shot from 6 ft (block by P. Millsap)
5:02.0,Defensive rebound by P. Antic,,64-54,,
4:47.0,P. Antic makes 3-pt shot from 26 ft (assist by D. Schroder),3,67-54,,
4:23.0,,,67-56,2,T. Ariza makes 2-pt shot at rim (assist by J. Harden)
4:13.0,D. Schroder misses 2-pt shot from 18 ft,,67-56,,
4:11.0,,,67-56,,Defensive rebound by K. Papanikolaou
4:06.0,,,67-59,3,J. Harden makes 3-pt shot from 25 ft (assist by K. Papanikolaou)
3:46.0,P. Millsap misses 2-pt shot from 17 ft,,67-59,,
3:46.0,Offensive rebound by Team,,67-59,,
3:46.0,,,67-59,,Loose ball foul by J. Harden (drawn by P. Antic)
3:46.0,S. Mack enters the game for D. Schroder,,67-59,,
3:46.0,,,67-59,,J. Terry enters the game for P. Beverley
3:31.0,D. Carroll misses 2-pt shot from 23 ft,,67-59,,
3:30.0,,,67-59,,Defensive rebound by D. Howard
3:14.0,,,67-61,2,J. Harden makes 2-pt shot from 2 ft
3:06.0,,,67-61,,Personal foul by J. Harden (drawn by P. Antic)
3:06.0,T. Sefolosha enters the game for K. Korver,,67-61,,
2:59.0,S. Mack makes 2-pt shot from 16 ft,2,69-61,,
2:58.0,,,69-61,,Technical foul by J. Harden
2:58.0,,,69-61,,Houston full timeout
2:58.0,,,69-61,,N. Johnson enters the game for T. Ariza
2:58.0,M. Scott enters the game for P. Millsap,,69-61,,
2:58.0,S. Mack makes technical free throw,1,70-61,,
2:42.0,,,70-61,,J. Terry misses 3-pt shot from 22 ft (block by T. Sefolosha)
2:42.0,,,70-61,,Offensive rebound by Team
2:38.0,,,70-63,2,D. Howard makes 2-pt shot from 1 ft (assist by K. Papanikolaou)
2:20.0,S. Mack misses 2-pt shot from 5 ft,,70-63,,
2:19.0,,,70-63,,Defensive rebound by Team
2:04.0,,,70-66,3,J. Terry makes 3-pt shot from 23 ft (assist by J. Harden)
1:40.0,M. Scott misses 3-pt shot from 25 ft,,70-66,,
1:39.0,,,70-66,,Defensive rebound by N. Johnson
1:23.0,,,70-69,3,J. Terry makes 3-pt shot from 24 ft (assist by J. Harden)
1:12.0,Atlanta full timeout,,70-69,,
1:02.0,T. Sefolosha makes 3-pt shot from 24 ft,3,73-69,,
0:48.0,,,73-72,3,N. Johnson makes 3-pt shot from 23 ft (assist by J. Harden)
0:42.0,,,73-72,,Personal block foul by N. Johnson (drawn by P. Antic)
0:42.0,P. Antic makes free throw 1 of 2,1,74-72,,
0:42.0,K. Korver enters the game for D. Carroll,,74-72,,
0:42.0,,,74-72,,T. Ariza enters the game for K. Papanikolaou
0:42.0,P. Antic misses free throw 2 of 2,,74-72,,
0:42.0,,,74-72,,Defensive rebound by J. Harden
0:28.0,,,74-74,2,J. Harden makes 2-pt shot from 14 ft
0:08.0,M. Scott misses 2-pt shot from 5 ft,,74-74,,
0:07.0,,,74-74,,Defensive rebound by D. Howard
0:00.0,,,74-74,,J. Terry misses 3-pt shot from 25 ft
0:00.0,,,74-74,,Offensive rebound by Team
0:00.0,End of 3rd quarter,,,,End of 3rd quarter
12:00.0,Start of 4th quarter,,,,Start of 4th quarter
11:35.0,,,74-74,,P. Beverley misses 3-pt shot from 26 ft
11:34.0,,,74-74,,Offensive rebound by N. Johnson
11:31.0,,,74-76,2,N. Johnson makes 2-pt shot from 2 ft
11:07.0,T. Sefolosha makes 2-pt shot from 10 ft,2,76-76,,
11:04.0,Violation by Team (delay of game),,76-76,,
10:44.0,,,76-76,,Turnover by N. Johnson (traveling)
10:36.0,Turnover by T. Sefolosha (bad pass; steal by T. Ariza),,76-76,,
10:25.0,,,76-76,,Turnover by N. Johnson (bad pass)
10:25.0,K. Bazemore enters the game for T. Sefolosha,,76-76,,
10:05.0,K. Bazemore misses 2-pt shot from 10 ft,,76-76,,
10:04.0,Offensive rebound by A. Horford,,76-76,,
10:02.0,A. Horford makes 2-pt shot at rim,2,78-76,,
9:48.0,,,78-76,,N. Johnson misses 3-pt shot from 23 ft
9:47.0,Defensive rebound by S. Mack,,78-76,,
9:40.0,S. Mack misses 2-pt shot from 2 ft (block by T. Ariza),,78-76,,
9:38.0,,,78-76,,Defensive rebound by P. Beverley
9:34.0,,,78-76,,J. Terry misses 3-pt shot from 25 ft
9:32.0,Defensive rebound by Team,,78-76,,
9:21.0,K. Korver makes 3-pt shot from 25 ft (assist by S. Mack),3,81-76,,
8:59.0,,,81-78,2,D. Howard makes 2-pt shot from 2 ft
8:59.0,,,81-78,,Shooting foul by A. Horford (drawn by D. Howard)
8:59.0,,,81-78,,Houston full timeout
8:59.0,,,81-78,,J. Harden enters the game for N. Johnson
8:59.0,,,81-78,,D. Howard misses free throw 1 of 1
8:57.0,,,81-78,,Offensive rebound by J. Harden
8:53.0,,,81-78,,J. Harden misses 3-pt shot from 25 ft
8:52.0,Defensive rebound by K. Bazemore,,81-78,,
8:49.0,Turnover by K. Bazemore (bad pass),,81-78,,
8:35.0,,,81-78,,T. Ariza misses 3-pt shot from 24 ft
8:34.0,Defensive rebound by K. Korver,,81-78,,
8:15.0,K. Korver misses 3-pt shot from 22 ft,,81-78,,
8:14.0,,,81-78,,Defensive rebound by J. Terry
8:06.0,,,81-80,2,J. Terry makes 2-pt shot from 2 ft
7:49.0,,,81-80,,Personal foul by J. Harden (drawn by M. Scott)
7:49.0,P. Antic enters the game for M. Scott,,81-80,,
7:49.0,P. Millsap enters the game for A. Horford,,81-80,,
7:47.0,P. Millsap makes 2-pt shot from 2 ft (assist by K. Bazemore),2,83-80,,
7:30.0,,,83-82,2,J. Harden makes 2-pt shot from 1 ft
7:22.0,P. Millsap makes 2-pt shot from 2 ft (assist by S. Mack),2,85-82,,
7:07.0,,,85-82,,J. Terry misses 2-pt shot from 2 ft
7:06.0,,,85-82,,Offensive rebound by D. Howard
7:06.0,Personal foul by S. Mack (drawn by D. Howard),,85-82,,
7:06.0,D. Schroder enters the game for S. Mack,,85-82,,
7:06.0,D. Carroll enters the game for K. Korver,,85-82,,
7:06.0,,,85-82,,D. Motiejunas enters the game for D. Howard
6:51.0,,,85-82,,P. Beverley misses 2-pt shot from 5 ft
6:48.0,Defensive rebound by P. Antic,,85-82,,
6:35.0,P. Antic misses 3-pt shot from 27 ft,,85-82,,
6:34.0,,,85-82,,Defensive rebound by J. Terry
6:25.0,,,85-82,,T. Ariza misses 3-pt shot from 25 ft
6:24.0,,,85-82,,Offensive rebound by D. Motiejunas
6:22.0,Personal foul by D. Schroder (drawn by D. Motiejunas),,85-82,,
6:14.0,,,85-85,3,J. Terry makes 3-pt shot from 23 ft (assist by T. Ariza)
5:59.0,,,85-85,,Personal foul by T. Ariza (drawn by P. Millsap)
5:59.0,,,85-85,,Houston full timeout
5:59.0,K. Korver enters the game for K. Bazemore,,85-85,,
5:59.0,,,85-85,,D. Howard enters the game for J. Terry
5:50.0,P. Millsap misses 2-pt shot from 4 ft,,85-85,,
5:50.0,Offensive rebound by Team,,85-85,,
5:50.0,,,85-85,,Loose ball foul by D. Howard (drawn by P. Antic)
5:37.0,,,85-85,,Personal foul by D. Motiejunas (drawn by K. Korver)
5:29.0,Turnover by K. Korver (bad pass),,85-85,,
5:16.0,,,85-85,,Turnover by J. Harden (bad pass)
5:16.0,A. Horford enters the game for P. Antic,,85-85,,
4:59.0,D. Schroder misses 2-pt shot from 18 ft,,85-85,,
4:57.0,,,85-85,,Defensive rebound by P. Beverley
4:47.0,,,85-85,,Shooting foul by D. Schroder (drawn by J. Harden)
4:47.0,,,85-86,1,J. Harden makes free throw 1 of 2
4:47.0,,,85-87,1,J. Harden makes free throw 2 of 2
4:34.0,P. Millsap makes 2-pt shot from 4 ft (assist by A. Horford),2,87-87,,
4:20.0,,,87-87,,J. Harden misses 2-pt shot from 4 ft (block by P. Millsap)
4:18.0,Defensive rebound by K. Korver,,87-87,,
4:14.0,Shooting foul by T. Ariza (drawn by D. Carroll),,87-87,,
4:14.0,D. Carroll makes free throw 1 of 2,1,88-87,,
4:14.0,,,88-87,,J. Terry enters the game for D. Motiejunas
4:14.0,D. Carroll makes free throw 2 of 2,1,89-87,,
4:03.0,Violation by K. Korver (kicked ball),,89-87,,
3:51.0,,,89-87,,Offensive foul by D. Howard
3:51.0,,,89-87,,Turnover by D. Howard (offensive foul)
3:39.0,D. Schroder misses 3-pt shot from 22 ft,,89-87,,
3:37.0,Offensive rebound by P. Millsap,,89-87,,
3:31.0,,,89-87,,Personal foul by P. Beverley (drawn by P. Millsap)
3:31.0,,,89-87,,Violation by Team (delay of game)
3:31.0,P. Millsap misses free throw 1 of 2,,89-87,,
3:31.0,Offensive rebound by Team,,89-87,,
3:31.0,P. Millsap makes free throw 2 of 2,1,90-87,,
3:08.0,,,90-90,3,P. Beverley makes 3-pt shot from 24 ft (assist by J. Harden)
2:55.0,Turnover by D. Schroder (bad pass; steal by J. Harden),,90-90,,
2:32.0,,,90-90,,J. Terry misses 3-pt shot from 25 ft
2:31.0,,,90-90,,Offensive rebound by P. Beverley
2:11.0,,,90-90,,Turnover by J. Terry (traveling)
2:11.0,Atlanta full timeout,,90-90,,
1:54.0,P. Millsap makes 2-pt shot from 2 ft (assist by A. Horford),2,92-90,,
1:37.0,,,92-90,,J. Harden misses 2-pt shot from 3 ft
1:35.0,Defensive rebound by A. Horford,,92-90,,
1:29.0,K. Korver makes 3-pt shot from 25 ft (assist by D. Schroder),3,95-90,,
