time,Chicago,pts.away,score,pts.home,San Antonio
8:25.0,,,4-8,,Defensive rebound by K. Leonard
8:12.0,,,4-10,2,T. Splitter makes 2-pt shot from 6 ft
7:58.0,P. Gasol misses 2-pt shot from 17 ft,,4-10,,
7:57.0,,,4-10,,Defensive rebound by D. Green
7:50.0,,,4-10,,T. Parker misses 2-pt shot from 16 ft
7:49.0,Defensive rebound by A. Brooks,,4-10,,
7:38.0,J. Noah misses 2-pt shot from 17 ft,,4-10,,
7:32.0,,,4-10,,Defensive rebound by T. Parker
7:21.0,,,4-10,,K. Leonard misses 2-pt shot from 2 ft (block by J. Noah)
7:19.0,,,4-10,,Offensive rebound by T. Splitter
7:15.0,,,4-13,3,D. Green makes 3-pt shot from 25 ft (assist by T. Splitter)
7:09.0,Chicago full timeout,,4-13,,
7:01.0,A. Brooks makes 2-pt shot from 10 ft,2,6-13,,
6:41.0,,,6-13,,T. Duncan misses 2-pt shot from 19 ft
6:39.0,Defensive rebound by P. Gasol,,6-13,,
6:30.0,Turnover by A. Brooks (bad pass; steal by D. Green),,6-13,,
6:24.0,,,6-13,,D. Green misses 3-pt shot from 24 ft
6:23.0,Defensive rebound by J. Noah,,6-13,,
6:16.0,A. Brooks makes 2-pt shot at rim,2,8-13,,
6:06.0,,,8-15,2,T. Splitter makes 2-pt shot from 1 ft (assist by T. Duncan)
5:47.0,A. Brooks makes 2-pt shot from 14 ft (assist by J. Noah),2,10-15,,
5:25.0,,,10-15,,T. Duncan misses 2-pt shot from 15 ft
5:24.0,Defensive rebound by J. Noah,,10-15,,
5:11.0,T. Snell misses 2-pt shot from 3 ft (block by D. Green),,10-15,,
5:09.0,,,10-15,,Defensive rebound by D. Green
4:56.0,,,10-15,,T. Splitter misses 2-pt shot from 8 ft
4:53.0,Defensive rebound by P. Gasol,,10-15,,
4:43.0,Turnover by P. Gasol (bad pass; steal by T. Splitter),,10-15,,
4:38.0,,,10-17,2,K. Leonard makes 2-pt shot at rim (assist by T. Splitter)
4:20.0,,,10-17,,Personal foul by K. Leonard (drawn by J. Noah)
4:20.0,,,10-17,,M. Ginobili enters the game for D. Green
4:20.0,,,10-17,,A. Baynes enters the game for T. Splitter
4:20.0,N. Mohammed enters the game for J. Noah,,10-17,,
4:14.0,Turnover by A. Brooks (bad pass; steal by M. Ginobili),,10-17,,
4:06.0,Shooting block foul by N. Mohammed (drawn by M. Ginobili),,10-17,,
4:06.0,,,10-18,1,M. Ginobili makes free throw 1 of 2
4:06.0,K. Hinrich enters the game for A. Brooks,,10-18,,
4:06.0,,,10-18,,M. Ginobili misses free throw 2 of 2
4:06.0,Defensive rebound by M. Dunleavy,,10-18,,
3:41.0,P. Gasol makes 2-pt shot from 8 ft,2,12-18,,
3:41.0,,,12-18,,San Antonio full timeout
3:41.0,,,12-18,,P. Mills enters the game for T. Parker
3:41.0,,,12-18,,B. Diaw enters the game for T. Duncan
3:41.0,N. Mirotic enters the game for N. Mohammed,,12-18,,
3:26.0,,,12-21,3,P. Mills makes 3-pt shot from 24 ft (assist by M. Ginobili)
3:02.0,P. Gasol makes 2-pt shot from 6 ft,2,14-21,,
2:46.0,,,14-21,,A. Baynes misses 2-pt shot from 5 ft (block by P. Gasol)
2:44.0,Defensive rebound by P. Gasol,,14-21,,
2:34.0,Shooting foul by B. Diaw (drawn by N. Mirotic),,14-21,,
2:34.0,N. Mirotic makes free throw 1 of 2,1,15-21,,
2:34.0,N. Mirotic makes free throw 2 of 2,1,16-21,,
2:20.0,,,16-21,,K. Leonard misses 2-pt shot from 18 ft
2:18.0,Defensive rebound by K. Hinrich,,16-21,,
1:59.0,K. Hinrich misses 3-pt shot from 22 ft,,16-21,,
1:58.0,,,16-21,,Defensive rebound by B. Diaw
1:46.0,,,16-23,2,B. Diaw makes 2-pt shot from 9 ft
1:21.0,Shooting foul by B. Diaw (drawn by K. Hinrich),,16-23,,
1:21.0,K. Hinrich makes free throw 1 of 2,1,17-23,,
1:21.0,,,17-23,,M. Bonner enters the game for B. Diaw
1:21.0,K. Hinrich misses free throw 2 of 2,,17-23,,
1:20.0,,,17-23,,Defensive rebound by K. Leonard
1:09.0,,,17-23,,M. Ginobili misses 2-pt shot at rim
1:08.0,Defensive rebound by P. Gasol,,17-23,,
1:03.0,K. Hinrich misses 2-pt shot from 14 ft,,17-23,,
1:01.0,Offensive rebound by P. Gasol,,17-23,,
0:56.0,M. Dunleavy misses 3-pt shot from 24 ft,,17-23,,
0:56.0,,,17-23,,Defensive rebound by Team
0:56.0,Loose ball foul by N. Mirotic (drawn by M. Bonner),,17-23,,
0:56.0,,,17-24,1,M. Bonner makes free throw 1 of 2
0:56.0,E. Moore enters the game for M. Dunleavy,,17-24,,
0:56.0,,,17-24,,M. Belinelli enters the game for K. Leonard
0:56.0,,,17-25,1,M. Bonner makes free throw 2 of 2
0:43.0,P. Gasol makes 2-pt shot from 1 ft (assist by K. Hinrich),2,19-25,,
0:35.0,,,19-25,,M. Ginobili misses 3-pt shot from 25 ft
0:34.0,Defensive rebound by T. Snell,,19-25,,
0:23.0,P. Gasol misses 2-pt shot from 5 ft,,19-25,,
0:21.0,,,19-25,,Defensive rebound by A. Baynes
0:03.0,,,19-25,,M. Bonner misses 2-pt shot from 10 ft
0:02.0,Defensive rebound by P. Gasol,,19-25,,
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:36.0,,,19-28,3,P. Mills makes 3-pt shot from 24 ft
11:24.0,Turnover by J. Noah (bad pass; steal by A. Baynes),,19-28,,
11:14.0,,,19-28,,P. Mills misses 3-pt shot from 24 ft
11:13.0,Defensive rebound by D. McDermott,,19-28,,
11:02.0,K. Hinrich misses 2-pt shot from 14 ft,,19-28,,
11:02.0,Offensive rebound by Team,,19-28,,
11:02.0,,,19-28,,Loose ball foul by M. Bonner (drawn by N. Mirotic)
11:02.0,T. Snell enters the game for D. McDermott,,19-28,,
10:54.0,,,19-28,,Violation by A. Baynes (def goaltending)
10:54.0,N. Mirotic makes 2-pt shot at rim (assist by K. Hinrich),2,21-28,,
10:37.0,,,21-28,,Turnover by M. Ginobili (bad pass; steal by N. Mirotic)
10:33.0,E. Moore makes 2-pt shot at rim,2,23-28,,
10:27.0,,,23-30,2,M. Ginobili makes 2-pt shot from 1 ft
10:07.0,Turnover by J. Noah (lost ball),,23-30,,
10:07.0,D. McDermott enters the game for T. Snell,,23-30,,
9:50.0,,,23-32,2,P. Mills makes 2-pt shot from 18 ft
9:33.0,N. Mirotic misses 3-pt shot from 24 ft,,23-32,,
9:32.0,,,23-32,,Defensive rebound by M. Ginobili
9:24.0,,,23-32,,M. Ginobili misses 3-pt shot from 24 ft
9:23.0,Defensive rebound by K. Hinrich,,23-32,,
9:10.0,Turnover by K. Hinrich (bad pass; steal by M. Ginobili),,23-32,,
9:05.0,,,23-34,2,M. Ginobili makes 2-pt shot at rim
8:52.0,D. McDermott misses 2-pt shot from 20 ft,,23-34,,
8:51.0,,,23-34,,Defensive rebound by P. Mills
8:44.0,,,23-37,3,M. Belinelli makes 3-pt shot from 25 ft
8:37.0,Chicago full timeout,,23-37,,
8:37.0,,,23-37,,D. Green enters the game for M. Ginobili
8:28.0,E. Moore makes 2-pt shot at rim,2,25-37,,
8:09.0,,,25-37,,M. Bonner misses 2-pt shot from 6 ft (block by N. Mirotic)
8:07.0,Defensive rebound by N. Mirotic,,25-37,,
7:54.0,N. Mirotic misses 2-pt shot from 6 ft,,25-37,,
7:52.0,,,25-37,,Defensive rebound by A. Baynes
7:48.0,Personal foul by D. McDermott (drawn by M. Belinelli),,25-37,,
7:37.0,,,25-37,,P. Mills misses 2-pt shot from 6 ft
7:36.0,Defensive rebound by J. Noah,,25-37,,
7:26.0,D. McDermott makes 3-pt shot from 25 ft (assist by J. Noah),3,28-37,,
7:24.0,,,28-37,,San Antonio full timeout
7:24.0,,,28-37,,T. Duncan enters the game for A. Baynes
7:24.0,,,28-37,,T. Parker enters the game for P. Mills
7:24.0,,,28-37,,K. Leonard enters the game for M. Bonner
7:13.0,,,28-37,,Shooting foul by D. McDermott (drawn by M. Belinelli)
7:13.0,,,28-38,1,M. Belinelli makes free throw 1 of 2
7:13.0,,,28-39,1,M. Belinelli makes free throw 2 of 2
7:05.0,,,28-39,,Personal foul by M. Belinelli (drawn by D. McDermott)
6:48.0,E. Moore makes 2-pt shot from 9 ft,2,30-39,,
6:31.0,,,30-39,,T. Parker misses 2-pt shot from 15 ft
6:30.0,Defensive rebound by D. McDermott,,30-39,,
6:13.0,D. McDermott misses 2-pt shot from 17 ft,,30-39,,
6:12.0,,,30-39,,Defensive rebound by T. Parker
6:07.0,,,30-39,,T. Parker misses 2-pt shot at rim
6:05.0,Defensive rebound by K. Hinrich,,30-39,,
5:43.0,Turnover by K. Hinrich (lost ball; steal by M. Belinelli),,30-39,,
5:38.0,,,30-39,,Turnover by T. Duncan (bad pass; steal by D. McDermott)
5:23.0,Turnover by N. Mirotic (bad pass; steal by D. Green),,30-39,,
5:18.0,,,30-41,2,D. Green makes 2-pt shot at rim
5:07.0,Chicago full timeout,,30-41,,
5:07.0,P. Gasol enters the game for J. Noah,,30-41,,
4:50.0,P. Gasol misses 2-pt shot from 10 ft,,30-41,,
4:48.0,Offensive rebound by P. Gasol,,30-41,,
4:48.0,P. Gasol makes 2-pt shot at rim,2,32-41,,
4:30.0,,,32-41,,Shooting foul by N. Mirotic (drawn by T. Duncan)
4:30.0,,,32-42,1,T. Duncan makes free throw 1 of 2
4:30.0,A. Brooks enters the game for K. Hinrich,,32-42,,
4:30.0,,,32-43,1,T. Duncan makes free throw 2 of 2
4:19.0,P. Gasol misses 2-pt shot from 17 ft,,32-43,,
4:18.0,,,32-43,,Defensive rebound by K. Leonard
4:11.0,,,32-46,3,D. Green makes 3-pt shot from 22 ft (assist by M. Belinelli)
3:57.0,Turnover by N. Mirotic (lost ball; steal by K. Leonard),,32-46,,
3:53.0,,,32-48,2,K. Leonard makes 2-pt shot at rim
3:44.0,Chicago full timeout,,32-48,,
3:44.0,T. Snell enters the game for D. McDermott,,32-48,,
3:44.0,,,32-48,,Personal foul by T. Parker (drawn by A. Brooks)
3:38.0,Shooting foul by T. Parker (drawn by A. Brooks),,32-48,,
3:38.0,A. Brooks makes free throw 1 of 2,1,33-48,,
3:38.0,A. Brooks makes free throw 2 of 2,1,34-48,,
3:21.0,,,34-48,,D. Green misses 2-pt shot from 5 ft
3:19.0,,,34-48,,Offensive rebound by K. Leonard
3:03.0,,,34-48,,D. Green misses 3-pt shot from 25 ft
3:01.0,Defensive rebound by T. Snell,,34-48,,
2:50.0,A. Brooks makes 2-pt shot from 1 ft,2,36-48,,
2:27.0,,,36-50,2,K. Leonard makes 2-pt shot from 6 ft
2:14.0,P. Gasol misses 2-pt shot from 19 ft,,36-50,,
2:13.0,,,36-50,,Defensive rebound by D. Green
2:04.0,,,36-50,,T. Duncan misses 2-pt shot from 14 ft
2:02.0,Defensive rebound by P. Gasol,,36-50,,
2:00.0,,,36-50,,M. Ginobili enters the game for M. Belinelli
1:56.0,N. Mirotic misses 2-pt shot from 14 ft,,36-50,,
1:55.0,,,36-50,,Defensive rebound by T. Duncan
1:51.0,,,36-52,2,T. Parker makes 2-pt shot from 1 ft
1:26.0,E. Moore misses 2-pt shot from 12 ft (block by M. Ginobili),,36-52,,
1:25.0,,,36-52,,Defensive rebound by K. Leonard
1:19.0,,,36-52,,K. Leonard misses 2-pt shot from 7 ft
1:16.0,,,36-52,,Offensive rebound by T. Duncan
1:13.0,,,36-52,,Shooting foul by P. Gasol (drawn by T. Duncan)
1:13.0,,,36-52,,T. Duncan misses free throw 1 of 2
1:13.0,,,36-52,,Offensive rebound by Team
1:13.0,,,36-53,1,T. Duncan makes free throw 2 of 2
0:59.0,N. Mirotic misses 3-pt shot from 23 ft,,36-53,,
0:57.0,,,36-53,,Defensive rebound by T. Duncan
0:53.0,,,36-53,,Shooting foul by E. Moore (drawn by T. Parker)
0:53.0,,,36-54,1,T. Parker makes free throw 1 of 2
0:53.0,,,36-55,1,T. Parker makes free throw 2 of 2
0:29.0,N. Mirotic makes 2-pt shot from 13 ft,2,38-55,,
0:06.0,,,38-55,,D. Green misses 3-pt shot from 23 ft
0:05.0,Defensive rebound by P. Gasol,,38-55,,
0:05.0,,,38-55,,Personal foul by T. Duncan (drawn by P. Gasol)
0:05.0,P. Gasol makes free throw 1 of 2,1,39-55,,
0:05.0,K. Hinrich enters the game for A. Brooks,,39-55,,
0:05.0,P. Gasol misses free throw 2 of 2,,39-55,,
0:04.0,,,39-55,,Defensive rebound by T. Duncan
0:01.0,Loose ball foul by P. Gasol (drawn by M. Ginobili),,39-55,,
0:01.0,,,39-56,1,M. Ginobili makes free throw 1 of 2
0:01.0,,,39-57,1,M. Ginobili makes free throw 2 of 2
0:00.0,End of 2nd quarter,,,,End of 2nd quarter
12:00.0,Start of 3rd quarter,,,,Start of 3rd quarter
11:41.0,,,39-57,,T. Duncan misses 2-pt shot from 11 ft
11:40.0,,,39-57,,Offensive rebound by K. Leonard
11:33.0,,,39-57,,K. Leonard misses 3-pt shot from 23 ft
11:32.0,,,39-57,,Offensive rebound by T. Parker
11:22.0,,,39-57,,K. Leonard misses 2-pt shot from 10 ft
11:21.0,Defensive rebound by P. Gasol,,39-57,,
11:02.0,T. Snell misses 3-pt shot from 24 ft,,39-57,,
11:01.0,,,39-57,,Defensive rebound by T. Duncan
10:54.0,,,39-57,,T. Parker misses 2-pt shot from 14 ft
10:53.0,Defensive rebound by J. Noah,,39-57,,
10:42.0,P. Gasol makes 2-pt shot at rim (assist by A. Brooks),2,41-57,,
10:30.0,Personal foul by M. Dunleavy (drawn by K. Leonard),,41-57,,
10:17.0,,,41-57,,T. Duncan misses 2-pt shot from 19 ft
10:16.0,Defensive rebound by T. Snell,,41-57,,
10:04.0,M. Dunleavy makes 3-pt shot from 25 ft (assist by J. Noah),3,44-57,,
10:04.0,,,44-57,,San Antonio full timeout
9:43.0,Personal foul by M. Dunleavy (drawn by K. Leonard),,44-57,,
9:43.0,,,44-58,1,K. Leonard makes free throw 1 of 2
9:43.0,,,44-59,1,K. Leonard makes free throw 2 of 2
9:24.0,T. Snell misses 2-pt shot from 17 ft,,44-59,,
9:23.0,Offensive rebound by J. Noah,,44-59,,
9:16.0,A. Brooks makes 3-pt shot from 26 ft (assist by J. Noah),3,47-59,,
9:01.0,Personal foul by J. Noah (drawn by T. Duncan),,47-59,,
8:50.0,,,47-59,,T. Duncan misses 2-pt shot from 16 ft
8:49.0,Defensive rebound by P. Gasol,,47-59,,
8:48.0,Turnover by P. Gasol (lost ball; steal by K. Leonard),,47-59,,
8:48.0,Personal foul by A. Brooks (drawn by K. Leonard),,47-59,,
8:35.0,,,47-62,3,D. Green makes 3-pt shot from 25 ft (assist by T. Duncan)
8:15.0,Shooting foul by D. Green (drawn by A. Brooks),,47-62,,
8:15.0,A. Brooks makes free throw 1 of 2,1,48-62,,
8:15.0,A. Brooks misses free throw 2 of 2,,48-62,,
8:14.0,Offensive rebound by J. Noah,,48-62,,
8:14.0,J. Noah makes 2-pt shot from 1 ft,2,50-62,,
7:56.0,,,50-62,,T. Parker misses 2-pt shot from 20 ft
7:56.0,Defensive rebound by Team,,50-62,,
7:56.0,,,50-62,,Loose ball foul by T. Splitter (drawn by P. Gasol)
7:45.0,T. Snell misses 3-pt shot from 24 ft,,50-62,,
7:44.0,,,50-62,,Defensive rebound by T. Duncan
7:38.0,,,50-64,2,K. Leonard makes 2-pt shot from 11 ft (assist by T. Parker)
7:13.0,A. Brooks misses 3-pt shot from 27 ft,,50-64,,
7:13.0,Offensive rebound by Team,,50-64,,
7:13.0,Turnover by Team (shot clock),,50-64,,
7:06.0,,,50-66,2,T. Parker makes 2-pt shot at rim
6:48.0,M. Dunleavy makes 2-pt shot from 16 ft (assist by J. Noah),2,52-66,,
6:24.0,,,52-68,2,T. Parker makes 2-pt shot from 12 ft
6:08.0,Shooting foul by T. Duncan (drawn by A. Brooks),,52-68,,
6:08.0,A. Brooks makes free throw 1 of 2,1,53-68,,
6:08.0,A. Brooks makes free throw 2 of 2,1,54-68,,
5:50.0,Personal foul by A. Brooks (drawn by T. Parker),,54-68,,
5:50.0,,,54-68,,T. Parker misses free throw 1 of 2
5:50.0,,,54-68,,Offensive rebound by Team
5:50.0,,,54-69,1,T. Parker makes free throw 2 of 2
5:38.0,M. Dunleavy makes 3-pt shot from 26 ft (assist by J. Noah),3,57-69,,
5:21.0,,,57-71,2,T. Parker makes 2-pt shot from 19 ft (assist by D. Green)
5:12.0,Shooting foul by T. Duncan (drawn by M. Dunleavy),,57-71,,
5:12.0,M. Dunleavy makes free throw 1 of 2,1,58-71,,
5:12.0,,,58-71,,M. Ginobili enters the game for D. Green
5:12.0,M. Dunleavy makes free throw 2 of 2,1,59-71,,
4:58.0,,,59-73,2,T. Parker makes 2-pt shot from 1 ft
4:42.0,P. Gasol makes 2-pt shot at rim,2,61-73,,
4:24.0,,,61-75,2,T. Parker makes 2-pt shot from 18 ft
4:21.0,Chicago full timeout,,61-75,,
4:21.0,,,61-75,,A. Baynes enters the game for T. Splitter
4:21.0,N. Mohammed enters the game for J. Noah,,61-75,,
4:21.0,K. Hinrich enters the game for A. Brooks,,61-75,,
4:21.0,E. Moore enters the game for T. Snell,,61-75,,
4:10.0,,,61-75,,Violation by T. Duncan (kicked ball)
3:55.0,N. Mohammed makes 2-pt shot from 2 ft (assist by E. Moore),2,63-75,,
3:42.0,,,63-75,,Turnover by T. Parker (bad pass)
3:21.0,N. Mohammed makes 2-pt shot from 10 ft (assist by K. Hinrich),2,65-75,,
3:06.0,,,65-75,,Turnover by A. Baynes (lost ball; steal by N. Mohammed)
3:04.0,,,65-75,,Personal foul by M. Ginobili (drawn by M. Dunleavy)
3:04.0,M. Dunleavy makes free throw 1 of 2,1,66-75,,
3:04.0,M. Dunleavy makes free throw 2 of 2,1,67-75,,
2:46.0,,,67-77,2,T. Parker makes 2-pt shot from 6 ft
2:36.0,Turnover by N. Mohammed (bad pass; steal by T. Parker),,67-77,,
2:31.0,,,67-79,2,T. Parker makes 2-pt shot at rim
2:14.0,Shooting foul by A. Baynes (drawn by P. Gasol),,67-79,,
2:14.0,P. Gasol makes free throw 1 of 2,1,68-79,,
2:14.0,,,68-79,,P. Mills enters the game for T. Parker
2:14.0,P. Gasol makes free throw 2 of 2,1,69-79,,
2:08.0,Personal foul by E. Moore (drawn by M. Ginobili),,69-79,,
2:08.0,,,69-80,1,M. Ginobili makes free throw 1 of 2
2:08.0,,,69-81,1,M. Ginobili makes free throw 2 of 2
1:58.0,Turnover by E. Moore (bad pass; steal by M. Ginobili),,69-81,,
1:54.0,,,69-81,,Turnover by M. Ginobili (bad pass; steal by E. Moore)
1:51.0,P. Gasol makes 2-pt shot at rim (assist by N. Mohammed),2,71-81,,
1:38.0,,,71-83,2,P. Mills makes 2-pt shot from 1 ft (assist by T. Duncan)
1:22.0,,,71-83,,Personal foul by M. Ginobili (drawn by P. Gasol)
1:22.0,P. Gasol makes free throw 1 of 2,1,72-83,,
1:22.0,P. Gasol makes free throw 2 of 2,1,73-83,,
1:11.0,,,73-85,2,M. Ginobili makes 2-pt shot from 11 ft
0:53.0,N. Mohammed makes 2-pt shot at rim (assist by K. Hinrich),2,75-85,,
0:41.0,,,75-87,2,K. Leonard makes 2-pt shot from 15 ft
0:28.0,P. Gasol misses 2-pt shot from 8 ft,,75-87,,
0:27.0,Offensive rebound by N. Mohammed,,75-87,,
0:26.0,N. Mohammed makes 2-pt shot from 1 ft,2,77-87,,
0:02.0,,,77-87,,T. Duncan misses 3-pt shot from 25 ft
0:00.0,,,77-87,,Offensive rebound by M. Ginobili
0:00.0,End of 3rd quarter,,,,End of 3rd quarter
12:00.0,Start of 4th quarter,,,,Start of 4th quarter
11:41.0,E. Moore misses 2-pt shot from 14 ft,,77-87,,
11:40.0,,,77-87,,Defensive rebound by M. Ginobili
11:33.0,,,77-89,2,K. Leonard makes 2-pt shot from 13 ft
11:21.0,Turnover by M. Dunleavy (lost ball; steal by K. Leonard),,77-89,,
11:16.0,,,77-91,2,K. Leonard makes 2-pt shot at rim
10:51.0,Offensive foul by J. Noah,,77-91,,
10:51.0,Turnover by J. Noah (offensive foul),,77-91,,
10:29.0,,,77-91,,K. Leonard misses 3-pt shot from 26 ft
10:28.0,Defensive rebound by J. Noah,,77-91,,
10:19.0,Turnover by M. Dunleavy (lost ball; steal by P. Mills),,77-91,,
10:18.0,Personal foul by K. Hinrich (drawn by P. Mills),,77-91,,
10:18.0,T. Snell enters the game for M. Dunleavy,,77-91,,
10:18.0,,,77-91,,M. Belinelli enters the game for K. Leonard
10:06.0,,,77-91,,Turnover by M. Belinelli (bad pass; steal by E. Moore)
9:53.0,Turnover by N. Mirotic (traveling),,77-91,,
9:43.0,,,77-93,2,P. Mills makes 2-pt shot from 20 ft
9:29.0,,,77-93,,Personal foul by M. Ginobili (drawn by K. Hinrich)
9:29.0,D. McDermott enters the game for E. Moore,,77-93,,
9:27.0,Offensive foul by J. Noah,,77-93,,
9:27.0,Turnover by J. Noah (offensive foul),,77-93,,
9:11.0,,,77-93,,P. Mills misses 2-pt shot from 22 ft
9:10.0,Defensive rebound by J. Noah,,77-93,,
8:59.0,K. Hinrich makes 2-pt shot from 16 ft,2,79-93,,
8:49.0,,,79-93,,Turnover by A. Baynes (bad pass; steal by T. Snell)
8:45.0,N. Mirotic makes 2-pt shot at rim (assist by J. Noah),2,81-93,,
8:45.0,Shooting foul by M. Belinelli (drawn by N. Mirotic),,81-93,,
8:45.0,Official timeout,,81-93,,
8:45.0,,,81-93,,K. Leonard enters the game for B. Diaw
8:45.0,,,81-93,,T. Splitter enters the game for A. Baynes
8:45.0,N. Mirotic makes free throw 1 of 1,1,82-93,,
8:30.0,Personal foul by J. Noah (drawn by M. Ginobili),,82-93,,
8:19.0,,,82-93,,K. Leonard misses 3-pt shot from 24 ft
8:17.0,Defensive rebound by Team,,82-93,,
8:07.0,D. McDermott misses 2-pt shot from 15 ft,,82-93,,
8:06.0,,,82-93,,Defensive rebound by Team
7:42.0,,,82-93,,M. Belinelli misses 3-pt shot from 24 ft
7:41.0,Defensive rebound by T. Snell,,82-93,,
7:28.0,D. McDermott misses 2-pt shot from 8 ft,,82-93,,
7:27.0,Offensive rebound by N. Mirotic,,82-93,,
7:24.0,K. Hinrich makes 3-pt shot from 25 ft (assist by N. Mirotic),3,85-93,,
7:12.0,,,85-93,,K. Leonard misses 2-pt shot from 16 ft
7:11.0,Defensive rebound by K. Hinrich,,85-93,,
7:02.0,K. Hinrich misses 2-pt shot from 17 ft,,85-93,,
7:01.0,,,85-93,,Defensive rebound by M. Ginobili
6:53.0,,,85-96,3,P. Mills makes 3-pt shot from 24 ft (assist by M. Belinelli)
6:35.0,Turnover by Team (back court),,85-96,,
6:35.0,,,85-96,,T. Parker enters the game for P. Mills
6:21.0,,,85-99,3,M. Ginobili makes 3-pt shot from 25 ft (assist by T. Parker)
6:21.0,Chicago full timeout,,85-99,,
6:21.0,A. Brooks enters the game for K. Hinrich,,85-99,,
6:21.0,E. Moore enters the game for D. McDermott,,85-99,,
6:09.0,Turnover by J. Noah (bad pass; steal by M. Belinelli),,85-99,,
5:53.0,,,85-102,3,T. Parker makes 3-pt shot from 23 ft (assist by M. Belinelli)
5:39.0,N. Mirotic makes 2-pt shot from 1 ft (assist by J. Noah),2,87-102,,
5:39.0,Shooting foul by T. Splitter (drawn by N. Mirotic),,87-102,,
5:39.0,P. Gasol enters the game for J. Noah,,87-102,,
5:39.0,M. Dunleavy enters the game for T. Snell,,87-102,,
5:39.0,N. Mirotic makes free throw 1 of 1,1,88-102,,
5:25.0,,,88-102,,K. Leonard misses 2-pt shot from 2 ft (block by N. Mirotic)
5:24.0,,,88-102,,Offensive rebound by Team
5:14.0,,,88-102,,M. Belinelli misses 2-pt shot from 21 ft
5:13.0,Defensive rebound by A. Brooks,,88-102,,
5:05.0,P. Gasol makes 2-pt shot from 2 ft (assist by A. Brooks),2,90-102,,
4:55.0,,,90-104,2,T. Parker makes 2-pt shot from 2 ft
4:43.0,A. Brooks makes 2-pt shot from 8 ft,2,92-104,,
4:19.0,,,92-104,,M. Belinelli misses 3-pt shot from 25 ft
4:18.0,Defensive rebound by P. Gasol,,92-104,,
4:10.0,Turnover by A. Brooks (bad pass),,92-104,,
3:55.0,,,92-106,2,T. Parker makes 2-pt shot from 2 ft
3:55.0,,,92-106,,Shooting foul by A. Brooks (drawn by T. Parker)
3:55.0,,,92-106,,T. Parker misses free throw 1 of 1
3:54.0,Defensive rebound by P. Gasol,,92-106,,
3:38.0,Turnover by N. Mirotic (bad pass; steal by T. Parker),,92-106,,
3:33.0,,,92-108,2,K. Leonard makes 2-pt shot at rim
3:16.0,Shooting foul by M. Belinelli (drawn by N. Mirotic),,92-108,,
3:16.0,N. Mirotic makes free throw 1 of 3,1,93-108,,
3:16.0,N. Mirotic makes free throw 2 of 3,1,94-108,,
3:16.0,,,94-108,,D. Green enters the game for M. Belinelli
3:16.0,N. Mirotic makes free throw 3 of 3,1,95-108,,
2:59.0,,,95-108,,T. Splitter misses 2-pt shot from 1 ft
