time,Houston,pts.away,score,pts.home,Dallas
10:49.0,,,30-27,2,A. Stoudemire makes 2-pt shot from 18 ft (assist by J. Barea)
10:37.0,T. Ariza misses 3-pt shot from 24 ft,,30-27,,
10:36.0,Offensive rebound by D. Howard,,30-27,,
10:36.0,,,30-27,,Loose ball foul by D. Harris (drawn by D. Howard)
10:36.0,,,30-27,,M. Ellis enters the game for D. Harris
10:26.0,Turnover by P. Prigioni (bad pass; steal by A. Stoudemire),,30-27,,
10:22.0,,,30-29,2,A. Aminu makes 2-pt shot from 1 ft (assist by J. Barea)
10:22.0,,,30-29,,Shooting foul by C. Brewer (drawn by A. Aminu)
10:22.0,,,30-30,1,A. Aminu makes free throw 1 of 1
10:05.0,C. Brewer misses 2-pt shot from 1 ft,,30-30,,
10:04.0,,,30-30,,Defensive rebound by A. Stoudemire
10:00.0,,,30-30,,Shooting foul by P. Prigioni (drawn by M. Ellis)
10:00.0,,,30-31,1,M. Ellis makes free throw 1 of 2
10:00.0,J. Terry enters the game for P. Prigioni,,30-31,,
10:00.0,,,30-31,,M. Ellis misses free throw 2 of 2
9:59.0,Defensive rebound by T. Ariza,,30-31,,
9:42.0,Shooting foul by D. Nowitzki (drawn by D. Howard),,30-31,,
9:42.0,D. Howard makes free throw 1 of 2,1,31-31,,
9:42.0,D. Howard makes free throw 2 of 2,1,32-31,,
9:29.0,,,32-33,2,J. Barea makes 2-pt shot at rim (assist by A. Aminu)
9:15.0,Turnover by J. Terry (bad pass; steal by A. Stoudemire),,32-33,,
9:10.0,,,32-35,2,M. Ellis makes 2-pt shot from 1 ft (assist by J. Barea)
9:04.0,Houston full timeout,,32-35,,
8:54.0,T. Ariza misses 3-pt shot from 24 ft,,32-35,,
8:53.0,,,32-35,,Defensive rebound by M. Ellis
8:42.0,,,32-35,,D. Nowitzki misses 2-pt shot from 15 ft
8:40.0,,,32-35,,Offensive rebound by A. Aminu
8:36.0,,,32-35,,M. Ellis misses 3-pt shot from 24 ft
8:35.0,Defensive rebound by T. Jones,,32-35,,
8:25.0,D. Howard misses 2-pt shot from 5 ft (block by A. Aminu),,32-35,,
8:23.0,,,32-35,,Defensive rebound by M. Ellis
8:18.0,Personal foul by J. Terry (drawn by D. Nowitzki),,32-35,,
8:18.0,Official timeout,,32-35,,
8:18.0,,,32-35,,T. Chandler enters the game for A. Aminu
8:18.0,,,32-35,,C. Parsons enters the game for A. Stoudemire
8:18.0,J. Smith enters the game for D. Howard,,32-35,,
8:18.0,,,32-36,1,D. Nowitzki makes free throw 1 of 2
8:18.0,,,32-37,1,D. Nowitzki makes free throw 2 of 2
7:55.0,J. Smith misses 3-pt shot from 24 ft,,32-37,,
7:54.0,Offensive rebound by T. Jones,,32-37,,
7:35.0,J. Smith misses 3-pt shot from 22 ft,,32-37,,
7:34.0,Offensive rebound by J. Smith,,32-37,,
7:25.0,T. Ariza makes 3-pt shot from 22 ft (assist by J. Smith),3,35-37,,
7:11.0,,,35-37,,J. Barea misses 2-pt shot from 2 ft (block by J. Smith)
7:10.0,Defensive rebound by J. Smith,,35-37,,
7:06.0,J. Terry misses 3-pt shot from 24 ft,,35-37,,
7:06.0,Offensive rebound by T. Ariza,,35-37,,
7:06.0,,,35-37,,Loose ball foul by T. Chandler (drawn by T. Ariza)
7:06.0,J. Harden enters the game for C. Brewer,,35-37,,
7:06.0,,,35-37,,R. Rondo enters the game for J. Barea
7:06.0,,,35-37,,C. Villanueva enters the game for D. Nowitzki
6:59.0,Turnover by J. Harden (bad pass),,35-37,,
6:43.0,,,35-37,,C. Parsons misses 3-pt shot from 22 ft
6:43.0,Defensive rebound by J. Terry,,35-37,,
6:31.0,T. Ariza makes 2-pt shot from 7 ft,2,37-37,,
6:11.0,,,37-40,3,C. Villanueva makes 3-pt shot from 22 ft (assist by M. Ellis)
5:50.0,Shooting foul by C. Villanueva (drawn by T. Jones),,37-40,,
5:50.0,,,37-40,,Dallas full timeout
5:50.0,T. Jones makes free throw 1 of 2,1,38-40,,
5:50.0,T. Jones misses free throw 2 of 2,,38-40,,
5:49.0,,,38-40,,Defensive rebound by T. Chandler
5:32.0,,,38-40,,Turnover by R. Rondo (lost ball)
5:32.0,C. Capela enters the game for T. Jones,,38-40,,
5:30.0,,,38-40,,Personal take foul by C. Villanueva (drawn by C. Capela)
5:30.0,C. Capela misses free throw 1 of 2,,38-40,,
5:30.0,Offensive rebound by Team,,38-40,,
5:30.0,C. Capela misses free throw 2 of 2,,38-40,,
5:30.0,Offensive rebound by C. Capela,,38-40,,
5:20.0,J. Harden misses 3-pt shot from 25 ft,,38-40,,
5:19.0,,,38-40,,Defensive rebound by T. Chandler
5:19.0,Loose ball foul by C. Capela (drawn by T. Chandler),,38-40,,
5:19.0,,,38-41,1,T. Chandler makes free throw 1 of 2
5:19.0,N. Johnson enters the game for C. Capela,,38-41,,
5:19.0,,,38-42,1,T. Chandler makes free throw 2 of 2
4:55.0,N. Johnson misses 2-pt shot from 7 ft,,38-42,,
4:54.0,,,38-42,,Defensive rebound by C. Villanueva
4:47.0,,,38-42,,C. Villanueva misses 3-pt shot from 24 ft
4:46.0,,,38-42,,Offensive rebound by C. Parsons
4:35.0,,,38-42,,M. Ellis misses 3-pt shot from 22 ft
4:34.0,Defensive rebound by N. Johnson,,38-42,,
4:29.0,J. Terry makes 2-pt shot from 1 ft (assist by N. Johnson),2,40-42,,
4:15.0,,,40-42,,Turnover by M. Ellis (bad pass; steal by J. Harden)
4:09.0,J. Terry misses 3-pt shot from 24 ft,,40-42,,
4:07.0,Offensive rebound by N. Johnson,,40-42,,
4:07.0,N. Johnson misses 2-pt shot from 1 ft,,40-42,,
4:07.0,,,40-42,,Defensive rebound by C. Parsons
4:07.0,Loose ball foul by T. Ariza (drawn by C. Parsons),,40-42,,
4:07.0,,,40-43,1,C. Parsons makes free throw 1 of 2
4:07.0,,,40-43,,A. Aminu enters the game for C. Villanueva
4:07.0,,,40-44,1,C. Parsons makes free throw 2 of 2
3:52.0,T. Ariza makes 3-pt shot from 22 ft (assist by N. Johnson),3,43-44,,
3:40.0,,,43-46,2,R. Rondo makes 2-pt shot at rim (assist by C. Parsons)
3:27.0,J. Harden makes 2-pt shot at rim,2,45-46,,
3:18.0,,,45-48,2,R. Rondo makes 2-pt shot at rim
3:10.0,J. Smith misses 2-pt shot from 3 ft (block by T. Chandler),,45-48,,
3:07.0,Offensive rebound by N. Johnson,,45-48,,
3:02.0,J. Harden makes 2-pt shot at rim,2,47-48,,
2:47.0,,,47-50,2,R. Rondo makes 2-pt shot from 20 ft (assist by C. Parsons)
2:33.0,Houston full timeout,,47-50,,
2:33.0,T. Jones enters the game for J. Smith,,47-50,,
2:14.0,J. Harden misses 3-pt shot from 24 ft,,47-50,,
2:13.0,,,47-50,,Defensive rebound by M. Ellis
2:06.0,,,47-52,2,M. Ellis makes 2-pt shot from 10 ft (assist by R. Rondo)
1:54.0,Offensive foul by T. Jones,,47-52,,
1:54.0,Turnover by T. Jones (offensive foul),,47-52,,
1:43.0,,,47-52,,A. Aminu misses 3-pt shot from 22 ft
1:42.0,Defensive rebound by T. Jones,,47-52,,
1:36.0,J. Harden misses 2-pt shot from 1 ft (block by A. Aminu),,47-52,,
1:34.0,Offensive rebound by N. Johnson,,47-52,,
1:29.0,J. Harden misses 3-pt shot from 22 ft,,47-52,,
1:28.0,,,47-52,,Defensive rebound by T. Chandler
1:21.0,Shooting block foul by T. Jones (drawn by M. Ellis),,47-52,,
1:21.0,,,47-53,1,M. Ellis makes free throw 1 of 2
1:21.0,J. Smith enters the game for T. Jones,,47-53,,
1:21.0,,,47-54,1,M. Ellis makes free throw 2 of 2
1:04.0,J. Smith misses 2-pt shot from 4 ft,,47-54,,
1:04.0,,,47-54,,Defensive rebound by T. Chandler
1:02.0,Technical foul by J. Smith,,47-54,,
1:02.0,,,47-55,1,M. Ellis makes technical free throw
0:51.0,,,47-55,,C. Parsons misses 3-pt shot from 23 ft
0:51.0,Defensive rebound by Team,,47-55,,
0:33.0,T. Ariza misses 3-pt shot from 22 ft,,47-55,,
0:31.0,Offensive rebound by J. Smith,,47-55,,
0:31.0,J. Smith misses 2-pt shot at rim,,47-55,,
0:30.0,,,47-55,,Defensive rebound by R. Rondo
0:13.0,,,47-55,,M. Ellis misses 2-pt shot from 16 ft
0:12.0,Defensive rebound by N. Johnson,,47-55,,
0:04.0,J. Harden misses 3-pt shot from 24 ft,,47-55,,
0:03.0,,,47-55,,Defensive rebound by R. Rondo
0:00.0,,,47-55,,M. Ellis misses 2-pt shot from 3 ft
0:00.0,,,47-55,,Offensive rebound by Team
0:00.0,End of 2nd quarter,,,,End of 2nd quarter
12:00.0,Start of 3rd quarter,,,,Start of 3rd quarter
11:48.0,,,47-55,,Turnover by C. Parsons (bad pass; steal by T. Ariza)
11:45.0,Shooting foul by C. Parsons (drawn by J. Harden),,47-55,,
11:45.0,J. Harden makes free throw 1 of 2,1,48-55,,
11:45.0,J. Harden makes free throw 2 of 2,1,49-55,,
11:21.0,,,49-55,,M. Ellis misses 2-pt shot from 17 ft
11:20.0,Defensive rebound by T. Jones,,49-55,,
11:15.0,Turnover by J. Harden (bad pass),,49-55,,
10:58.0,,,49-55,,D. Nowitzki misses 2-pt shot from 19 ft
10:57.0,Defensive rebound by D. Howard,,49-55,,
10:52.0,Offensive charge foul by T. Jones,,49-55,,
10:52.0,Turnover by T. Jones (offensive foul),,49-55,,
10:52.0,J. Smith enters the game for T. Jones,,49-55,,
10:29.0,,,49-55,,R. Rondo misses 2-pt shot from 17 ft
10:27.0,Defensive rebound by Team,,49-55,,
10:15.0,J. Terry misses 3-pt shot from 22 ft,,49-55,,
10:14.0,Offensive rebound by J. Smith,,49-55,,
10:08.0,J. Smith makes 2-pt shot from 17 ft (assist by T. Ariza),2,51-55,,
9:43.0,,,51-55,,Turnover by R. Rondo (bad pass)
9:26.0,J. Terry makes 3-pt shot from 22 ft (assist by J. Harden),3,54-55,,
9:25.0,,,54-55,,Dallas full timeout
9:25.0,,,54-55,,D. Harris enters the game for R. Rondo
9:13.0,,,54-57,2,M. Ellis makes 2-pt shot from 1 ft (assist by T. Chandler)
9:01.0,Turnover by J. Smith (bad pass),,54-57,,
8:49.0,,,54-60,3,C. Parsons makes 3-pt shot from 22 ft (assist by D. Harris)
8:31.0,J. Terry misses 3-pt shot from 24 ft,,54-60,,
8:30.0,,,54-60,,Defensive rebound by C. Parsons
8:22.0,,,54-60,,M. Ellis misses 3-pt shot from 24 ft
8:21.0,Defensive rebound by T. Ariza,,54-60,,
8:13.0,Turnover by J. Smith (bad pass; steal by D. Harris),,54-60,,
8:07.0,,,54-63,3,D. Nowitzki makes 3-pt shot from 24 ft (assist by M. Ellis)
8:06.0,Houston full timeout,,54-63,,
8:06.0,J. Dorsey enters the game for D. Howard,,54-63,,
7:43.0,T. Ariza misses 2-pt shot from 14 ft,,54-63,,
7:42.0,Offensive rebound by T. Ariza,,54-63,,
7:39.0,Shooting foul by M. Ellis (drawn by T. Ariza),,54-63,,
7:39.0,T. Ariza makes free throw 1 of 2,1,55-63,,
7:39.0,T. Ariza makes free throw 2 of 2,1,56-63,,
7:14.0,,,56-65,2,D. Harris makes 2-pt shot from 20 ft (assist by C. Parsons)
6:52.0,J. Dorsey makes 2-pt shot from 1 ft (assist by J. Terry),2,58-65,,
6:32.0,,,58-67,2,D. Nowitzki makes 2-pt shot from 10 ft
6:14.0,J. Smith makes 2-pt shot at rim,2,60-67,,
6:14.0,Shooting foul by D. Nowitzki (drawn by J. Smith),,60-67,,
6:14.0,P. Prigioni enters the game for J. Terry,,60-67,,
6:14.0,,,60-67,,A. Aminu enters the game for D. Nowitzki
6:14.0,J. Smith makes free throw 1 of 1,1,61-67,,
6:05.0,,,61-69,2,M. Ellis makes 2-pt shot from 2 ft
5:51.0,P. Prigioni misses 3-pt shot from 23 ft,,61-69,,
5:50.0,,,61-69,,Defensive rebound by A. Aminu
5:50.0,Loose ball foul by J. Smith (drawn by A. Aminu),,61-69,,
5:40.0,,,61-69,,Shooting foul by J. Dorsey (drawn by M. Ellis)
5:40.0,,,61-69,,M. Ellis misses free throw 1 of 2
5:40.0,,,61-69,,Offensive rebound by Team
5:40.0,,,61-69,,M. Ellis misses free throw 2 of 2
5:39.0,Defensive rebound by J. Dorsey,,61-69,,
5:14.0,J. Harden misses 3-pt shot from 24 ft,,61-69,,
5:13.0,,,61-69,,Defensive rebound by M. Ellis
5:06.0,,,61-69,,C. Parsons misses 3-pt shot from 23 ft
5:05.0,,,61-69,,Offensive rebound by A. Aminu
5:01.0,,,61-72,3,C. Parsons makes 3-pt shot from 24 ft (assist by A. Aminu)
4:45.0,T. Ariza makes 3-pt shot from 22 ft (assist by J. Smith),3,64-72,,
4:34.0,,,64-72,,D. Harris misses 3-pt shot from 24 ft
4:33.0,Defensive rebound by J. Harden,,64-72,,
4:25.0,Turnover by J. Harden (lost ball),,64-72,,
4:25.0,,,64-72,,A. Stoudemire enters the game for T. Chandler
4:25.0,C. Brewer enters the game for T. Ariza,,64-72,,
4:14.0,,,64-72,,C. Parsons misses 3-pt shot from 24 ft
4:14.0,Defensive rebound by J. Dorsey,,64-72,,
4:07.0,C. Brewer makes 2-pt shot from 1 ft (assist by P. Prigioni),2,66-72,,
4:07.0,,,66-72,,Dallas full timeout
4:07.0,,,66-72,,R. Jefferson enters the game for C. Parsons
3:52.0,,,66-72,,Turnover by M. Ellis (lost ball; steal by J. Smith)
3:45.0,C. Brewer misses 3-pt shot from 22 ft,,66-72,,
3:44.0,Offensive rebound by J. Smith,,66-72,,
3:35.0,,,66-72,,Shooting block foul by A. Stoudemire (drawn by J. Harden)
3:35.0,J. Harden misses free throw 1 of 2,,66-72,,
3:35.0,Offensive rebound by Team,,66-72,,
3:35.0,J. Harden makes free throw 2 of 2,1,67-72,,
3:21.0,,,67-74,2,A. Stoudemire makes 2-pt shot from 2 ft
3:15.0,C. Brewer makes 2-pt shot from 1 ft (assist by J. Harden),2,69-74,,
3:15.0,Shooting foul by R. Jefferson (drawn by C. Brewer),,69-74,,
3:15.0,C. Brewer makes free throw 1 of 1,1,70-74,,
3:06.0,,,70-76,2,M. Ellis makes 2-pt shot from 17 ft
2:53.0,J. Smith makes 3-pt shot from 24 ft (assist by J. Harden),3,73-76,,
2:36.0,,,73-76,,R. Jefferson misses 2-pt shot from 5 ft
2:34.0,Defensive rebound by J. Dorsey,,73-76,,
2:24.0,Shooting foul by A. Aminu (drawn by J. Harden),,73-76,,
2:24.0,J. Harden makes free throw 1 of 2,1,74-76,,
2:24.0,N. Johnson enters the game for J. Dorsey,,74-76,,
2:24.0,,,74-76,,D. Nowitzki enters the game for R. Jefferson
2:24.0,,,74-76,,J. Barea enters the game for M. Ellis
2:24.0,J. Harden misses free throw 2 of 2,,74-76,,
2:23.0,,,74-76,,Defensive rebound by D. Nowitzki
2:00.0,,,74-78,2,D. Nowitzki makes 2-pt shot from 14 ft
1:55.0,,,74-78,,Personal take foul by A. Aminu (drawn by J. Smith)
1:55.0,J. Smith makes free throw 1 of 2,1,75-78,,
1:55.0,J. Smith makes free throw 2 of 2,1,76-78,,
1:36.0,,,76-78,,A. Stoudemire misses 2-pt shot from 1 ft
1:35.0,Defensive rebound by J. Harden,,76-78,,
1:32.0,Shooting foul by D. Nowitzki (drawn by C. Brewer),,76-78,,
1:32.0,C. Brewer makes free throw 1 of 2,1,77-78,,
1:32.0,C. Brewer misses free throw 2 of 2,,77-78,,
1:31.0,,,77-78,,Defensive rebound by D. Nowitzki
1:14.0,,,77-78,,Shooting foul by J. Smith (drawn by D. Nowitzki)
1:14.0,,,77-78,,D. Nowitzki misses free throw 1 of 2
1:14.0,,,77-78,,Offensive rebound by Team
1:14.0,,,77-79,1,D. Nowitzki makes free throw 2 of 2
0:58.0,Turnover by N. Johnson (traveling),,77-79,,
0:37.0,,,77-81,2,D. Harris makes 2-pt shot from 1 ft
0:28.0,Turnover by C. Brewer (3 sec),,77-81,,
0:12.0,,,77-83,2,J. Barea makes 2-pt shot from 2 ft
0:00.0,J. Harden misses 2-pt shot from 17 ft,,77-83,,
0:00.0,Offensive rebound by Team,,77-83,,
0:00.0,End of 3rd quarter,,,,End of 3rd quarter
12:00.0,Start of 4th quarter,,,,Start of 4th quarter
11:43.0,D. Howard misses 2-pt shot from 3 ft,,77-83,,
11:42.0,,,77-83,,Defensive rebound by A. Stoudemire
11:25.0,,,77-83,,D. Nowitzki misses 2-pt shot from 3 ft
11:23.0,Defensive rebound by C. Brewer,,77-83,,
11:13.0,T. Ariza misses 3-pt shot from 24 ft,,77-83,,
11:12.0,Offensive rebound by D. Howard,,77-83,,
11:10.0,D. Howard makes 2-pt shot at rim,2,79-83,,
10:44.0,,,79-83,,J. Barea misses 2-pt shot from 13 ft
10:43.0,Defensive rebound by D. Howard,,79-83,,
10:27.0,C. Brewer makes 2-pt shot at rim (assist by T. Ariza),2,81-83,,
10:01.0,,,81-83,,A. Aminu misses 2-pt shot from 14 ft
10:00.0,Defensive rebound by T. Jones,,81-83,,
9:50.0,D. Howard misses 2-pt shot at rim (block by A. Aminu),,81-83,,
9:49.0,,,81-83,,Defensive rebound by J. Barea
9:48.0,Personal take foul by P. Prigioni (drawn by J. Barea),,81-83,,
9:48.0,,,81-83,,T. Chandler enters the game for A. Stoudemire
9:48.0,,,81-83,,R. Jefferson enters the game for A. Aminu
9:38.0,,,81-83,,Shooting foul by D. Howard (drawn by T. Chandler)
9:38.0,,,81-83,,T. Chandler misses free throw 1 of 2
9:38.0,,,81-83,,Offensive rebound by Team
9:38.0,,,81-83,,T. Chandler misses free throw 2 of 2
9:37.0,Defensive rebound by D. Howard,,81-83,,
9:25.0,T. Jones makes 2-pt shot from 2 ft,2,83-83,,
9:22.0,,,83-83,,Dallas full timeout
9:07.0,,,83-83,,Shooting foul by D. Howard (drawn by R. Jefferson)
9:07.0,,,83-84,1,R. Jefferson makes free throw 1 of 2
9:07.0,,,83-85,1,R. Jefferson makes free throw 2 of 2
8:49.0,Turnover by C. Brewer (bad pass),,83-85,,
8:41.0,,,83-85,,J. Barea misses 3-pt shot from 24 ft
8:40.0,Defensive rebound by D. Howard,,83-85,,
8:27.0,D. Howard makes 2-pt shot at rim (assist by T. Jones),2,85-85,,
8:02.0,,,85-88,3,R. Jefferson makes 3-pt shot from 24 ft (assist by J. Barea)
7:56.0,Turnover by P. Prigioni (bad pass; steal by R. Jefferson),,85-88,,
7:51.0,,,85-91,3,D. Nowitzki makes 3-pt shot from 24 ft (assist by R. Jefferson)
7:51.0,Houston full timeout,,85-91,,
7:51.0,,,85-91,,A. Aminu enters the game for D. Nowitzki
7:51.0,,,85-91,,M. Ellis enters the game for D. Harris
7:51.0,,,85-91,,R. Rondo enters the game for J. Barea
7:51.0,J. Smith enters the game for T. Ariza,,85-91,,
