time,Orlando,pts.away,score,pts.home,Brooklyn
3:00.0,,,24-15,,Turnover by D. Williams (bad pass; steal by N. Vucevic)
2:56.0,Turnover by V. Oladipo (bad pass),,24-15,,
2:56.0,Orlando full timeout,,24-15,,
2:56.0,,,24-15,,B. Bogdanovic enters the game for M. Brown
2:42.0,,,24-17,2,B. Lopez makes 2-pt shot from 1 ft (assist by J. Johnson)
2:42.0,,,24-17,,Shooting foul by A. Nicholson (drawn by B. Lopez)
2:42.0,,,24-18,1,B. Lopez makes free throw 1 of 1
2:28.0,Turnover by N. Vucevic (lost ball; steal by B. Lopez),,24-18,,
2:25.0,,,24-18,,Shooting foul by A. Nicholson (drawn by T. Young)
2:25.0,,,24-18,,T. Young misses free throw 1 of 2
2:25.0,,,24-18,,Offensive rebound by Team
2:25.0,,,24-19,1,T. Young makes free throw 2 of 2
2:12.0,N. Vucevic makes 2-pt shot from 19 ft (assist by A. Nicholson),2,26-19,,
1:57.0,,,26-19,,J. Johnson misses 2-pt shot from 18 ft
1:56.0,Defensive rebound by V. Oladipo,,26-19,,
1:41.0,A. Nicholson misses 3-pt shot from 23 ft,,26-19,,
1:40.0,,,26-19,,Defensive rebound by B. Bogdanovic
1:23.0,,,26-21,2,T. Young makes 2-pt shot from 10 ft
1:11.0,Turnover by E. Payton (bad pass; steal by T. Young),,26-21,,
1:05.0,,,26-23,2,T. Young makes 2-pt shot from 1 ft (assist by J. Johnson)
0:46.0,Turnover by E. Payton (discontinued dribble),,26-23,,
0:46.0,,,26-23,,J. Jack enters the game for D. Williams
0:46.0,D. Dedmon enters the game for A. Nicholson,,26-23,,
0:36.0,,,26-23,,J. Johnson misses 2-pt shot from 11 ft
0:35.0,Defensive rebound by D. Dedmon,,26-23,,
0:20.0,N. Vucevic makes 2-pt shot from 20 ft (assist by V. Oladipo),2,28-23,,
0:07.0,,,28-23,,Offensive charge foul by B. Lopez
0:07.0,,,28-23,,Turnover by B. Lopez (offensive foul)
0:07.0,W. Green enters the game for D. Dedmon,,28-23,,
0:04.0,,,28-23,,Personal foul by B. Bogdanovic (drawn by V. Oladipo)
0:02.0,V. Oladipo misses 2-pt shot from 23 ft,,28-23,,
0:00.0,,,28-23,,Defensive rebound by T. Young
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:50.0,Personal foul by D. Dedmon (drawn by M. Plumlee),,28-23,,
11:37.0,,,28-26,3,B. Bogdanovic makes 3-pt shot from 26 ft (assist by J. Johnson)
11:10.0,W. Green misses 2-pt shot from 20 ft,,28-26,,
11:09.0,,,28-26,,Defensive rebound by J. Jack
11:03.0,,,28-26,,B. Bogdanovic misses 3-pt shot from 24 ft
11:02.0,Defensive rebound by D. Dedmon,,28-26,,
10:50.0,A. Gordon misses 2-pt shot from 22 ft,,28-26,,
10:49.0,,,28-26,,Defensive rebound by C. Jefferson
10:34.0,,,28-26,,Turnover by M. Plumlee (bad pass; steal by E. Payton)
10:25.0,E. Payton misses 2-pt shot from 3 ft,,28-26,,
10:24.0,Offensive rebound by A. Gordon,,28-26,,
10:23.0,A. Gordon misses 2-pt shot from 1 ft,,28-26,,
10:22.0,Offensive rebound by A. Gordon,,28-26,,
10:21.0,A. Gordon misses 2-pt shot from 2 ft,,28-26,,
10:20.0,,,28-26,,Defensive rebound by J. Johnson
10:01.0,,,28-28,2,C. Jefferson makes 2-pt shot from 16 ft (assist by J. Jack)
9:45.0,A. Gordon misses 2-pt shot from 21 ft,,28-28,,
9:44.0,,,28-28,,Defensive rebound by M. Plumlee
9:26.0,,,28-28,,B. Bogdanovic misses 3-pt shot from 24 ft
9:25.0,,,28-28,,Offensive rebound by Team
9:25.0,Loose ball foul by W. Green (drawn by J. Johnson),,28-28,,
9:25.0,K. O'Quinn enters the game for A. Gordon,,28-28,,
9:05.0,,,28-28,,J. Johnson misses 3-pt shot from 25 ft
9:04.0,Defensive rebound by K. O'Quinn,,28-28,,
8:56.0,D. Dedmon makes 2-pt shot at rim (assist by E. Payton),2,30-28,,
8:44.0,Violation by V. Oladipo (kicked ball),,30-28,,
8:44.0,Official timeout,,30-28,,
8:44.0,,,30-28,,D. Williams enters the game for J. Johnson
8:36.0,,,30-30,2,B. Bogdanovic makes 2-pt shot from 19 ft (assist by J. Jack)
8:17.0,V. Oladipo misses 2-pt shot from 15 ft,,30-30,,
8:15.0,Offensive rebound by K. O'Quinn,,30-30,,
8:13.0,K. O'Quinn makes 2-pt shot from 2 ft,2,32-30,,
7:53.0,,,32-33,3,J. Jack makes 3-pt shot from 22 ft (assist by D. Williams)
7:43.0,K. O'Quinn misses 2-pt shot from 18 ft,,32-33,,
7:41.0,,,32-33,,Defensive rebound by D. Williams
7:24.0,,,32-36,3,J. Jack makes 3-pt shot from 22 ft (assist by B. Bogdanovic)
7:24.0,Orlando full timeout,,32-36,,
7:24.0,M. Harkless enters the game for E. Payton,,32-36,,
7:13.0,Offensive foul by D. Dedmon,,32-36,,
7:13.0,Turnover by D. Dedmon (offensive foul),,32-36,,
7:00.0,,,32-36,,Turnover by D. Williams (bad pass; steal by W. Green)
6:57.0,W. Green makes 2-pt shot from 2 ft,2,34-36,,
6:40.0,,,34-36,,B. Bogdanovic misses 2-pt shot from 1 ft (block by V. Oladipo)
6:38.0,Defensive rebound by K. O'Quinn,,34-36,,
6:30.0,W. Green misses 3-pt shot from 24 ft,,34-36,,
6:29.0,,,34-36,,Defensive rebound by J. Jack
6:26.0,,,34-38,2,B. Bogdanovic makes 2-pt shot at rim (assist by J. Jack)
6:16.0,M. Harkless misses 3-pt shot from 23 ft,,34-38,,
6:15.0,Offensive rebound by K. O'Quinn,,34-38,,
6:14.0,K. O'Quinn makes 2-pt shot from 1 ft,2,36-38,,
6:14.0,Violation by Team (delay of game),,36-38,,
6:05.0,Violation by D. Dedmon (kicked ball),,36-38,,
6:05.0,,,36-38,,T. Young enters the game for C. Jefferson
6:05.0,N. Vucevic enters the game for D. Dedmon,,36-38,,
5:56.0,,,36-38,,M. Plumlee misses 2-pt shot from 2 ft
5:54.0,Defensive rebound by N. Vucevic,,36-38,,
5:48.0,W. Green makes 3-pt shot from 23 ft (assist by N. Vucevic),3,39-38,,
5:36.0,,,39-38,,J. Jack misses 3-pt shot from 25 ft
5:35.0,,,39-38,,Offensive rebound by T. Young
5:31.0,,,39-38,,D. Williams misses 3-pt shot from 24 ft
5:30.0,Defensive rebound by N. Vucevic,,39-38,,
5:09.0,V. Oladipo makes 3-pt shot from 25 ft (assist by W. Green),3,42-38,,
4:55.0,,,42-38,,T. Young misses 3-pt shot from 24 ft
4:54.0,Defensive rebound by N. Vucevic,,42-38,,
4:42.0,N. Vucevic makes 2-pt shot from 6 ft (assist by K. O'Quinn),2,44-38,,
4:36.0,,,44-38,,Brooklyn full timeout
4:36.0,,,44-38,,B. Lopez enters the game for M. Plumlee
4:21.0,,,44-38,,D. Williams misses 3-pt shot from 23 ft
4:20.0,,,44-38,,Offensive rebound by T. Young
4:15.0,,,44-40,2,B. Bogdanovic makes 2-pt shot from 17 ft (assist by J. Jack)
3:57.0,K. O'Quinn makes 2-pt shot from 2 ft,2,46-40,,
3:40.0,,,46-40,,Turnover by T. Young (offensive goaltending)
3:21.0,N. Vucevic makes 2-pt shot from 5 ft,2,48-40,,
2:54.0,,,48-42,2,B. Bogdanovic makes 2-pt shot from 19 ft
2:31.0,N. Vucevic makes 2-pt shot from 1 ft,2,50-42,,
2:16.0,,,50-42,,Turnover by B. Bogdanovic (traveling)
2:16.0,,,50-42,,J. Johnson enters the game for J. Jack
2:08.0,Offensive foul by M. Harkless,,50-42,,
2:08.0,Turnover by M. Harkless (offensive foul),,50-42,,
1:58.0,,,50-42,,Shooting foul by K. O'Quinn (drawn by T. Young)
1:58.0,,,50-42,,T. Young misses free throw 1 of 2
1:58.0,,,50-42,,Offensive rebound by Team
1:58.0,,,50-42,,T. Young misses free throw 2 of 2
1:56.0,Defensive rebound by M. Harkless,,50-42,,
1:39.0,W. Green misses 3-pt shot from 23 ft,,50-42,,
1:38.0,,,50-42,,Defensive rebound by B. Bogdanovic
1:30.0,,,50-44,2,B. Bogdanovic makes 2-pt shot from 7 ft
1:20.0,Orlando full timeout,,50-44,,
1:13.0,Turnover by V. Oladipo (bad pass; steal by B. Lopez),,50-44,,
1:10.0,,,50-44,,Shooting foul by N. Vucevic (drawn by T. Young)
1:10.0,,,50-44,,T. Young misses free throw 1 of 2
1:10.0,,,50-44,,Offensive rebound by Team
1:10.0,,,50-44,,T. Young misses free throw 2 of 2
1:08.0,Defensive rebound by K. O'Quinn,,50-44,,
0:48.0,N. Vucevic misses 2-pt shot from 21 ft,,50-44,,
0:47.0,,,50-44,,Defensive rebound by J. Johnson
0:35.0,,,50-46,2,J. Johnson makes 2-pt shot from 1 ft
0:22.0,,,50-46,,Violation by B. Bogdanovic (kicked ball)
0:13.0,V. Oladipo misses 2-pt shot from 19 ft,,50-46,,
0:12.0,,,50-46,,Defensive rebound by T. Young
0:07.0,,,50-48,2,B. Bogdanovic makes 2-pt shot from 2 ft (assist by T. Young)
0:01.0,,,50-48,,Shooting block foul by B. Bogdanovic (drawn by V. Oladipo)
0:01.0,V. Oladipo misses free throw 1 of 2,,50-48,,
0:01.0,Offensive rebound by Team,,50-48,,
0:01.0,,,50-48,,Brooklyn full timeout
0:01.0,V. Oladipo misses free throw 2 of 2,,50-48,,
0:01.0,Offensive rebound by K. O'Quinn,,50-48,,
0:01.0,K. O'Quinn makes 2-pt shot from 1 ft,2,52-48,,
0:00.0,,,52-48,,D. Williams misses 3-pt shot from 44 ft
0:00.0,,,52-48,,Offensive rebound by Team
0:00.0,End of 2nd quarter,,,,End of 2nd quarter
12:00.0,Start of 3rd quarter,,,,Start of 3rd quarter
11:45.0,,,52-50,2,T. Young makes 2-pt shot from 1 ft (assist by D. Williams)
11:27.0,N. Vucevic makes 2-pt shot from 19 ft,2,54-50,,
11:05.0,,,54-50,,B. Lopez misses 2-pt shot from 1 ft
11:05.0,Defensive rebound by A. Nicholson,,54-50,,
10:55.0,A. Nicholson makes 2-pt shot from 22 ft (assist by E. Payton),2,56-50,,
10:35.0,,,56-50,,D. Williams misses 2-pt shot from 2 ft
10:33.0,,,56-50,,Offensive rebound by B. Lopez
10:33.0,,,56-50,,Shooting foul by A. Nicholson (drawn by B. Lopez)
10:33.0,,,56-51,1,B. Lopez makes free throw 1 of 2
10:33.0,,,56-51,,B. Lopez misses free throw 2 of 2
10:32.0,Defensive rebound by A. Nicholson,,56-51,,
10:22.0,,,56-51,,Personal foul by B. Bogdanovic (drawn by V. Oladipo)
10:05.0,V. Oladipo makes 3-pt shot from 24 ft,3,59-51,,
9:56.0,,,59-53,2,B. Lopez makes 2-pt shot from 4 ft (assist by D. Williams)
9:42.0,Shooting foul by T. Young (drawn by V. Oladipo),,59-53,,
9:42.0,V. Oladipo makes free throw 1 of 2,1,60-53,,
9:42.0,V. Oladipo misses free throw 2 of 2,,60-53,,
9:41.0,,,60-53,,Defensive rebound by J. Johnson
9:23.0,,,60-53,,Turnover by D. Williams (bad pass; steal by E. Payton)
9:19.0,A. Gordon makes 2-pt shot at rim (assist by E. Payton),2,62-53,,
9:18.0,,,62-53,,Brooklyn full timeout
9:00.0,,,62-53,,B. Lopez misses 2-pt shot from 5 ft
8:59.0,Defensive rebound by Team,,62-53,,
8:34.0,A. Nicholson makes 3-pt shot from 24 ft,3,65-53,,
8:22.0,,,65-55,2,J. Johnson makes 2-pt shot from 4 ft (assist by B. Bogdanovic)
8:22.0,,,65-55,,Shooting foul by A. Gordon (drawn by J. Johnson)
8:22.0,,,65-55,,J. Johnson misses free throw 1 of 1
8:20.0,,,65-55,,Offensive rebound by Team
8:11.0,,,65-57,2,D. Williams makes 2-pt shot from 4 ft
7:57.0,N. Vucevic misses 2-pt shot from 3 ft (block by T. Young),,65-57,,
7:55.0,,,65-57,,Defensive rebound by D. Williams
7:43.0,,,65-57,,Shooting foul by N. Vucevic (drawn by B. Lopez)
7:43.0,,,65-58,1,B. Lopez makes free throw 1 of 2
7:43.0,,,65-58,,J. Jack enters the game for D. Williams
7:43.0,,,65-59,1,B. Lopez makes free throw 2 of 2
7:32.0,,,65-59,,Violation by B. Bogdanovic (kicked ball)
7:26.0,N. Vucevic makes 2-pt shot from 20 ft,2,67-59,,
7:09.0,,,67-59,,T. Young misses 2-pt shot from 2 ft
7:08.0,Defensive rebound by N. Vucevic,,67-59,,
6:56.0,N. Vucevic misses 2-pt shot from 13 ft,,67-59,,
6:55.0,,,67-59,,Defensive rebound by J. Johnson
6:44.0,,,67-62,3,J. Jack makes 3-pt shot from 23 ft (assist by J. Johnson)
6:37.0,Shooting foul by J. Jack (drawn by N. Vucevic),,67-62,,
6:37.0,N. Vucevic makes free throw 1 of 2,1,68-62,,
6:37.0,W. Green enters the game for V. Oladipo,,68-62,,
6:37.0,N. Vucevic misses free throw 2 of 2,,68-62,,
6:35.0,Offensive rebound by A. Nicholson,,68-62,,
6:26.0,Turnover by W. Green (bad pass; steal by B. Lopez),,68-62,,
6:24.0,,,68-62,,Turnover by J. Jack (bad pass)
6:03.0,E. Payton misses 3-pt shot from 22 ft,,68-62,,
6:02.0,,,68-62,,Defensive rebound by Team
5:41.0,,,68-65,3,B. Bogdanovic makes 3-pt shot from 23 ft (assist by J. Jack)
5:40.0,Orlando full timeout,,68-65,,
5:23.0,N. Vucevic makes 2-pt shot from 15 ft,2,70-65,,
5:08.0,,,70-65,,J. Jack misses 2-pt shot from 15 ft
5:06.0,Defensive rebound by N. Vucevic,,70-65,,
4:52.0,E. Payton misses 2-pt shot from 9 ft (block by B. Lopez),,70-65,,
4:50.0,,,70-65,,Defensive rebound by B. Lopez
4:47.0,,,70-65,,Turnover by T. Young (bad pass; steal by E. Payton)
4:46.0,,,70-65,,Personal foul by B. Lopez (drawn by E. Payton)
4:41.0,Turnover by E. Payton (bad pass),,70-65,,
4:29.0,,,70-65,,J. Johnson misses 2-pt shot from 7 ft
4:28.0,,,70-65,,Offensive rebound by T. Young
4:27.0,,,70-65,,T. Young misses 2-pt shot from 2 ft
4:26.0,Defensive rebound by Team,,70-65,,
4:09.0,A. Gordon makes 2-pt shot from 2 ft,2,72-65,,
3:51.0,,,72-65,,Shooting foul by A. Nicholson (drawn by T. Young)
3:51.0,,,72-66,1,T. Young makes free throw 1 of 2
3:51.0,K. O'Quinn enters the game for A. Nicholson,,72-66,,
3:51.0,,,72-67,1,T. Young makes free throw 2 of 2
3:38.0,N. Vucevic misses 2-pt shot from 19 ft,,72-67,,
3:37.0,,,72-67,,Defensive rebound by J. Jack
3:31.0,,,72-67,,Shooting foul by K. O'Quinn (drawn by T. Young)
3:31.0,,,72-68,1,T. Young makes free throw 1 of 2
3:31.0,,,72-69,1,T. Young makes free throw 2 of 2
3:11.0,N. Vucevic makes 2-pt shot from 1 ft (assist by W. Green),2,74-69,,
2:57.0,,,74-69,,B. Bogdanovic misses 3-pt shot from 22 ft
2:56.0,,,74-69,,Offensive rebound by B. Lopez
2:50.0,,,74-69,,T. Young misses 2-pt shot from 3 ft (block by E. Payton)
2:49.0,,,74-69,,Offensive rebound by Team
2:49.0,,,74-69,,M. Plumlee enters the game for T. Young
2:49.0,V. Oladipo enters the game for E. Payton,,74-69,,
2:40.0,,,74-69,,J. Jack misses 2-pt shot from 8 ft
2:39.0,Defensive rebound by N. Vucevic,,74-69,,
2:15.0,A. Gordon misses 2-pt shot from 15 ft,,74-69,,
2:14.0,,,74-69,,Defensive rebound by M. Plumlee
1:59.0,,,74-71,2,B. Bogdanovic makes 2-pt shot from 17 ft
1:37.0,W. Green misses 3-pt shot from 24 ft,,74-71,,
1:36.0,,,74-71,,Defensive rebound by B. Lopez
1:21.0,,,74-73,2,B. Bogdanovic makes 2-pt shot from 14 ft
0:59.0,N. Vucevic misses 2-pt shot from 2 ft (block by B. Lopez),,74-73,,
0:57.0,,,74-73,,Defensive rebound by M. Plumlee
0:52.0,,,74-73,,J. Jack misses 2-pt shot from 9 ft
0:50.0,Defensive rebound by N. Vucevic,,74-73,,
0:42.0,V. Oladipo misses 2-pt shot from 7 ft,,74-73,,
0:41.0,,,74-73,,Defensive rebound by B. Lopez
0:40.0,Personal foul by K. O'Quinn (drawn by B. Lopez),,74-73,,
0:40.0,,,74-74,1,B. Lopez makes free throw 1 of 2
0:40.0,,,74-74,,M. Brown enters the game for J. Johnson
0:40.0,M. Harkless enters the game for A. Gordon,,74-74,,
0:40.0,,,74-75,1,B. Lopez makes free throw 2 of 2
0:35.0,W. Green misses 2-pt shot from 7 ft,,74-75,,
0:34.0,,,74-75,,Defensive rebound by B. Lopez
0:15.0,,,74-75,,Turnover by B. Bogdanovic (bad pass)
0:02.0,Shooting foul by M. Plumlee (drawn by K. O'Quinn),,74-75,,
0:02.0,K. O'Quinn misses free throw 1 of 2,,74-75,,
0:02.0,Offensive rebound by Team,,74-75,,
0:02.0,K. O'Quinn makes free throw 2 of 2,1,75-75,,
0:00.0,,,75-75,,J. Jack misses 3-pt shot from 48 ft
0:00.0,,,75-75,,Offensive rebound by Team
0:00.0,End of 3rd quarter,,,,End of 3rd quarter
12:00.0,Start of 4th quarter,,,,Start of 4th quarter
11:42.0,K. O'Quinn misses 3-pt shot from 24 ft,,75-75,,
11:41.0,,,75-75,,Defensive rebound by D. Williams
11:22.0,,,75-75,,J. Johnson misses 2-pt shot from 14 ft
11:21.0,Defensive rebound by V. Oladipo,,75-75,,
11:14.0,V. Oladipo makes 2-pt shot from 5 ft,2,77-75,,
11:14.0,Shooting foul by D. Williams (drawn by V. Oladipo),,77-75,,
11:14.0,V. Oladipo makes free throw 1 of 1,1,78-75,,
10:58.0,,,78-77,2,D. Williams makes 2-pt shot from 7 ft
10:37.0,A. Nicholson makes 2-pt shot from 2 ft,2,80-77,,
10:15.0,,,80-77,,D. Williams misses 3-pt shot from 22 ft
10:14.0,Defensive rebound by K. O'Quinn,,80-77,,
9:58.0,Turnover by K. O'Quinn (traveling),,80-77,,
9:48.0,Personal foul by M. Harkless (drawn by J. Johnson),,80-77,,
9:37.0,,,80-79,2,M. Plumlee makes 2-pt shot at rim (assist by J. Johnson)
9:37.0,,,80-79,,Shooting foul by A. Nicholson (drawn by M. Plumlee)
9:37.0,N. Vucevic enters the game for A. Nicholson,,80-79,,
9:37.0,,,80-79,,T. Young enters the game for B. Lopez
9:37.0,,,80-79,,M. Plumlee misses free throw 1 of 1
9:36.0,,,80-79,,Offensive rebound by M. Plumlee
9:34.0,,,80-81,2,M. Plumlee makes 2-pt shot at rim
9:20.0,V. Oladipo misses 2-pt shot from 2 ft,,80-81,,
9:18.0,Offensive rebound by N. Vucevic,,80-81,,
9:17.0,N. Vucevic makes 2-pt shot at rim,2,82-81,,
8:56.0,,,82-83,2,J. Johnson makes 2-pt shot from 8 ft
8:44.0,V. Oladipo misses 2-pt shot from 2 ft (block by D. Williams),,82-83,,
8:43.0,Offensive rebound by Team,,82-83,,
8:43.0,Official timeout,,82-83,,
8:43.0,E. Payton enters the game for W. Green,,82-83,,
8:41.0,Turnover by M. Harkless (bad pass; steal by J. Johnson),,82-83,,
8:38.0,,,82-85,2,D. Williams makes 2-pt shot from 1 ft (assist by M. Plumlee)
8:18.0,A. Gordon enters the game for M. Harkless,,82-85,,
8:07.0,N. Vucevic misses 3-pt shot from 24 ft,,82-85,,
8:05.0,,,82-85,,Defensive rebound by M. Plumlee
7:51.0,,,82-85,,J. Johnson misses 2-pt shot from 21 ft
7:50.0,Defensive rebound by A. Gordon,,82-85,,
7:34.0,N. Vucevic misses 2-pt shot from 12 ft,,82-85,,
7:33.0,,,82-85,,Defensive rebound by T. Young
7:17.0,,,82-85,,J. Jack misses 3-pt shot from 24 ft
7:16.0,Defensive rebound by A. Gordon,,82-85,,
6:56.0,Turnover by K. O'Quinn (bad pass),,82-85,,
6:56.0,,,82-85,,B. Bogdanovic enters the game for J. Jack
6:38.0,,,82-85,,Shooting foul by K. O'Quinn (drawn by T. Young)
6:38.0,,,82-86,1,T. Young makes free throw 1 of 2
6:38.0,A. Nicholson enters the game for K. O'Quinn,,82-86,,
6:38.0,,,82-86,,T. Young misses free throw 2 of 2
6:37.0,Defensive rebound by A. Nicholson,,82-86,,
6:22.0,E. Payton misses 2-pt shot from 16 ft,,82-86,,
6:21.0,,,82-86,,Defensive rebound by T. Young
6:04.0,,,82-86,,D. Williams misses 2-pt shot from 17 ft
6:03.0,Defensive rebound by E. Payton,,82-86,,
6:00.0,Turnover by E. Payton (discontinued dribble),,82-86,,
6:00.0,,,82-86,,Brooklyn full timeout
5:48.0,,,82-89,3,J. Johnson makes 3-pt shot from 26 ft (assist by D. Williams)
5:23.0,Turnover by A. Nicholson (lost ball; steal by T. Young),,82-89,,
4:56.0,,,82-91,2,J. Johnson makes 2-pt shot from 23 ft
4:48.0,,,82-91,,Violation by B. Bogdanovic (kicked ball)
4:34.0,A. Nicholson makes 3-pt shot from 22 ft (assist by N. Vucevic),3,85-91,,
4:13.0,,,85-94,3,B. Bogdanovic makes 3-pt shot from 23 ft (assist by D. Williams)
3:59.0,Shooting foul by M. Plumlee (drawn by N. Vucevic),,85-94,,
3:59.0,N. Vucevic misses free throw 1 of 2,,85-94,,
3:59.0,Offensive rebound by Team,,85-94,,
3:59.0,N. Vucevic makes free throw 2 of 2,1,86-94,,
3:38.0,,,86-96,2,T. Young makes 2-pt shot from 2 ft (assist by D. Williams)
3:11.0,V. Oladipo misses 3-pt shot from 24 ft,,86-96,,
3:10.0,,,86-96,,Defensive rebound by J. Johnson
2:48.0,,,86-98,2,T. Young makes 2-pt shot from 2 ft (assist by J. Johnson)
2:48.0,Orlando full timeout,,86-98,,
2:30.0,V. Oladipo makes 2-pt shot from 1 ft,2,88-98,,
2:26.0,Personal foul by N. Vucevic (drawn by M. Plumlee),,88-98,,
2:26.0,,,88-98,,B. Lopez enters the game for M. Plumlee
2:14.0,,,88-98,,J. Johnson misses 3-pt shot from 26 ft
2:13.0,Defensive rebound by E. Payton,,88-98,,
2:02.0,,,88-98,,Personal foul by B. Lopez (drawn by N. Vucevic)
1:57.0,N. Vucevic misses 2-pt shot from 19 ft,,88-98,,
1:56.0,,,88-98,,Defensive rebound by T. Young
1:41.0,,,88-101,3,B. Bogdanovic makes 3-pt shot from 22 ft (assist by B. Lopez)
1:30.0,V. Oladipo misses 3-pt shot from 24 ft,,88-101,,
1:29.0,,,88-101,,Defensive rebound by J. Johnson
1:13.0,,,88-101,,B. Bogdanovic misses 3-pt shot from 24 ft
1:11.0,Defensive rebound by A. Nicholson,,88-101,,
1:05.0,Offensive foul by N. Vucevic,,88-101,,
1:05.0,Turnover by N. Vucevic (offensive foul),,88-101,,
0:43.0,,,88-101,,T. Young misses 2-pt shot from 5 ft
0:41.0,Defensive rebound by N. Vucevic,,88-101,,
0:28.0,A. Gordon misses 3-pt shot from 23 ft,,88-101,,
0:26.0,,,88-101,,Defensive rebound by B. Bogdanovic
0:04.0,,,88-101,,Turnover by Team (shot clock)
0:00.0,End of 4th quarter,,,,End of 4th quarter
