time,Milwaukee,pts.away,score,pts.home,Oklahoma City
0:04.0,J. Bayless makes clear path free throw 1 of 2,1,30-26,,
0:04.0,J. Bayless makes clear path free throw 2 of 2,1,31-26,,
0:00.0,Z. Pachulia misses 2-pt shot from 1 ft,,31-26,,
0:00.0,,,31-26,,Defensive rebound by Team
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:35.0,Turnover by Z. Pachulia (lost ball; steal by A. Morrow),,31-26,,
11:30.0,,,31-26,,J. Lamb misses 2-pt shot at rim
11:29.0,,,31-26,,Offensive rebound by K. Perkins
11:29.0,,,31-26,,K. Perkins misses 2-pt shot from 2 ft
11:28.0,,,31-26,,Offensive rebound by J. Lamb
11:27.0,,,31-28,2,J. Lamb makes 2-pt shot at rim
11:09.0,J. Bayless misses 2-pt shot from 1 ft,,31-28,,
11:07.0,,,31-28,,Defensive rebound by K. Durant
10:45.0,,,31-28,,K. Durant misses 3-pt shot from 22 ft
10:44.0,Defensive rebound by Z. Pachulia,,31-28,,
10:23.0,J. Dudley misses 2-pt shot from 5 ft,,31-28,,
10:22.0,,,31-28,,Defensive rebound by R. Jackson
10:13.0,,,31-28,,K. Perkins misses 2-pt shot from 1 ft
10:12.0,,,31-28,,Offensive rebound by Team
9:56.0,,,31-30,2,R. Jackson makes 2-pt shot from 6 ft
9:37.0,Shooting foul by J. Lamb (drawn by K. Middleton),,31-30,,
9:37.0,K. Middleton makes free throw 1 of 2,1,32-30,,
9:37.0,,,32-30,,P. Jones enters the game for J. Lamb
9:37.0,J. Parker enters the game for J. Dudley,,32-30,,
9:37.0,L. Sanders enters the game for Z. Pachulia,,32-30,,
9:37.0,K. Middleton makes free throw 2 of 2,1,33-30,,
9:19.0,,,33-32,2,K. Perkins makes 2-pt shot at rim (assist by A. Morrow)
9:01.0,J. Bayless misses 2-pt shot from 1 ft,,33-32,,
8:59.0,Offensive rebound by L. Sanders,,33-32,,
8:59.0,L. Sanders makes 2-pt shot from 2 ft,2,35-32,,
8:56.0,,,35-32,,Technical foul by K. Perkins
8:56.0,Official timeout,,35-32,,
8:56.0,J. Bayless makes technical free throw,1,36-32,,
8:45.0,,,36-34,2,K. Durant makes 2-pt shot from 10 ft (assist by P. Jones)
8:33.0,Turnover by K. Marshall (bad pass; steal by K. Perkins),,36-34,,
8:27.0,,,36-36,2,R. Jackson makes 2-pt shot from 4 ft
8:13.0,J. Parker makes 2-pt shot from 1 ft (assist by K. Marshall),2,38-36,,
7:58.0,,,38-36,,R. Jackson misses 3-pt shot from 24 ft
7:57.0,,,38-36,,Offensive rebound by K. Perkins
7:55.0,,,38-38,2,K. Perkins makes 2-pt shot from 4 ft
7:43.0,K. Middleton misses 2-pt shot from 6 ft,,38-38,,
7:43.0,,,38-38,,Defensive rebound by Team
7:43.0,Loose ball foul by L. Sanders (drawn by K. Perkins),,38-38,,
7:43.0,Z. Pachulia enters the game for L. Sanders,,38-38,,
7:43.0,,,38-38,,R. Westbrook enters the game for A. Morrow
7:26.0,,,38-38,,Shooting foul by Z. Pachulia (drawn by R. Westbrook)
7:26.0,,,38-38,,R. Westbrook misses free throw 1 of 2
7:26.0,,,38-38,,Offensive rebound by Team
7:26.0,,,38-39,1,R. Westbrook makes free throw 2 of 2
7:15.0,Z. Pachulia makes 2-pt shot from 18 ft (assist by J. Bayless),2,40-39,,
6:55.0,,,40-39,,Turnover by R. Westbrook (lost ball; steal by K. Middleton)
6:45.0,K. Marshall makes 3-pt shot from 24 ft (assist by J. Bayless),3,43-39,,
6:40.0,,,43-39,,Oklahoma City full timeout
6:37.0,,,43-39,,S. Ibaka enters the game for K. Perkins
6:26.0,,,43-41,2,K. Durant makes 2-pt shot from 13 ft
6:12.0,Turnover by J. Bayless (lost ball; steal by R. Westbrook),,43-41,,
6:07.0,,,43-43,2,P. Jones makes 2-pt shot at rim (assist by K. Durant)
5:50.0,,,43-43,,Personal foul by P. Jones (drawn by J. Parker)
5:43.0,K. Middleton makes 2-pt shot from 14 ft (assist by K. Marshall),2,45-43,,
5:25.0,,,45-45,2,K. Durant makes 2-pt shot from 13 ft (assist by R. Jackson)
5:09.0,J. Parker makes 2-pt shot from 15 ft,2,47-45,,
4:52.0,,,47-45,,R. Jackson misses 3-pt shot from 22 ft
4:51.0,,,47-45,,Offensive rebound by S. Ibaka
4:50.0,,,47-47,2,S. Ibaka makes 2-pt shot from 1 ft
4:29.0,J. Parker misses 2-pt shot from 21 ft,,47-47,,
4:28.0,,,47-47,,Defensive rebound by S. Ibaka
4:23.0,,,47-49,2,R. Jackson makes 2-pt shot from 17 ft
4:07.0,K. Marshall misses 3-pt shot from 24 ft,,47-49,,
4:06.0,,,47-49,,Defensive rebound by S. Ibaka
3:56.0,,,47-49,,R. Westbrook misses 3-pt shot from 24 ft
3:56.0,Defensive rebound by K. Marshall,,47-49,,
3:51.0,,,47-49,,A. Roberson enters the game for K. Durant
3:51.0,B. Knight enters the game for J. Bayless,,47-49,,
3:51.0,O. Mayo enters the game for K. Marshall,,47-49,,
3:49.0,J. Parker misses 2-pt shot from 2 ft (block by S. Ibaka),,47-49,,
3:47.0,,,47-49,,Defensive rebound by R. Jackson
3:43.0,,,47-51,2,R. Westbrook makes 2-pt shot at rim (assist by R. Jackson)
3:32.0,Turnover by J. Parker (bad pass),,47-51,,
3:19.0,,,47-51,,P. Jones misses 3-pt shot from 25 ft
3:18.0,Defensive rebound by Team,,47-51,,
3:17.0,G. Antetokounmpo enters the game for K. Middleton,,47-51,,
3:02.0,J. Parker misses 2-pt shot from 9 ft,,47-51,,
3:01.0,,,47-51,,Defensive rebound by R. Westbrook
2:56.0,,,47-53,2,R. Westbrook makes 2-pt shot at rim
2:47.0,Milwaukee full timeout,,47-53,,
2:47.0,,,47-53,,A. Morrow enters the game for A. Roberson
2:41.0,O. Mayo misses 3-pt shot from 24 ft,,47-53,,
2:41.0,,,47-53,,Defensive rebound by R. Jackson
2:26.0,,,47-55,2,R. Jackson makes 2-pt shot at rim
2:07.0,G. Antetokounmpo misses 2-pt shot from 19 ft,,47-55,,
2:04.0,,,47-55,,Defensive rebound by S. Ibaka
1:53.0,,,47-55,,Shooting foul by O. Mayo (drawn by R. Westbrook)
1:53.0,,,47-56,1,R. Westbrook makes free throw 1 of 2
1:53.0,,,47-57,1,R. Westbrook makes free throw 2 of 2
1:42.0,J. Parker makes 2-pt shot at rim (assist by Z. Pachulia),2,49-57,,
1:29.0,,,49-57,,Turnover by S. Ibaka (3 sec)
1:11.0,J. Parker makes 2-pt shot from 15 ft (assist by B. Knight),2,51-57,,
0:58.0,,,51-57,,Shooting foul by O. Mayo (drawn by S. Ibaka)
0:58.0,,,51-58,1,S. Ibaka makes free throw 1 of 2
0:58.0,,,51-58,,A. Roberson enters the game for A. Morrow
0:58.0,,,51-59,1,S. Ibaka makes free throw 2 of 2
0:46.0,Turnover by J. Parker (bad pass; steal by S. Ibaka),,51-59,,
0:31.0,,,51-59,,R. Jackson misses 3-pt shot from 24 ft
0:30.0,,,51-59,,Offensive rebound by R. Westbrook
0:30.0,,,51-61,2,R. Westbrook makes 2-pt shot at rim
0:08.0,Shooting foul by P. Jones (drawn by G. Antetokounmpo),,51-61,,
0:08.0,G. Antetokounmpo misses free throw 1 of 2,,51-61,,
0:08.0,Offensive rebound by Team,,51-61,,
0:08.0,,,51-61,,Oklahoma City full timeout
0:08.0,J. Bayless enters the game for J. Parker,,51-61,,
0:08.0,K. Middleton enters the game for O. Mayo,,51-61,,
0:08.0,,,51-61,,K. Durant enters the game for A. Roberson
0:08.0,,,51-61,,A. Morrow enters the game for P. Jones
0:08.0,G. Antetokounmpo makes free throw 2 of 2,1,52-61,,
0:02.0,,,52-61,,R. Westbrook misses 2-pt shot at rim
0:01.0,Defensive rebound by B. Knight,,52-61,,
0:00.0,End of 2nd quarter,,,,End of 2nd quarter
12:00.0,Start of 3rd quarter,,,,Start of 3rd quarter
11:48.0,L. Sanders misses 2-pt shot at rim,,52-61,,
11:47.0,,,52-61,,Defensive rebound by S. Adams
11:35.0,,,52-63,2,S. Adams makes 2-pt shot at rim (assist by R. Westbrook)
11:34.0,Milwaukee full timeout,,52-63,,
11:24.0,,,52-63,,Personal block foul by R. Westbrook (drawn by B. Knight)
11:16.0,Turnover by B. Knight (bad pass; steal by A. Roberson),,52-63,,
10:59.0,,,52-63,,Turnover by A. Roberson (bad pass; steal by L. Sanders)
10:53.0,B. Knight misses 3-pt shot from 24 ft,,52-63,,
10:51.0,,,52-63,,Defensive rebound by K. Durant
10:37.0,,,52-63,,K. Durant misses 3-pt shot from 24 ft
10:36.0,,,52-63,,Offensive rebound by S. Adams
10:20.0,,,52-63,,S. Adams misses 2-pt shot from 5 ft
10:19.0,Defensive rebound by L. Sanders,,52-63,,
10:07.0,G. Antetokounmpo makes 2-pt shot from 6 ft,2,54-63,,
9:55.0,Personal foul by J. Parker (drawn by K. Durant),,54-63,,
9:49.0,,,54-63,,Shooting foul by B. Knight (drawn by K. Durant)
9:49.0,,,54-64,1,K. Durant makes free throw 1 of 2
9:49.0,,,54-65,1,K. Durant makes free throw 2 of 2
9:41.0,,,54-65,,Personal foul by R. Westbrook (drawn by B. Knight)
9:33.0,Shooting foul by A. Roberson (drawn by G. Antetokounmpo),,54-65,,
9:33.0,G. Antetokounmpo makes free throw 1 of 2,1,55-65,,
9:33.0,G. Antetokounmpo makes free throw 2 of 2,1,56-65,,
9:10.0,,,56-65,,R. Westbrook misses 3-pt shot from 24 ft
9:10.0,Defensive rebound by G. Antetokounmpo,,56-65,,
9:00.0,O. Mayo misses 3-pt shot from 23 ft,,56-65,,
8:59.0,,,56-65,,Defensive rebound by S. Adams
8:49.0,,,56-67,2,A. Roberson makes 2-pt shot from 4 ft (assist by R. Westbrook)
8:31.0,L. Sanders misses 2-pt shot from 1 ft,,56-67,,
8:30.0,,,56-67,,Defensive rebound by K. Durant
8:24.0,,,56-69,2,R. Westbrook makes 2-pt shot from 19 ft (assist by K. Durant)
8:09.0,L. Sanders misses 2-pt shot from 2 ft,,56-69,,
8:07.0,Offensive rebound by G. Antetokounmpo,,56-69,,
8:07.0,G. Antetokounmpo misses 2-pt shot from 1 ft,,56-69,,
8:06.0,,,56-69,,Defensive rebound by K. Durant
8:06.0,,,56-69,,Turnover by K. Durant (bad pass; steal by L. Sanders)
8:05.0,L. Sanders misses 2-pt shot from 1 ft (block by K. Durant),,56-69,,
8:02.0,Offensive rebound by G. Antetokounmpo,,56-69,,
7:55.0,G. Antetokounmpo makes 2-pt shot from 16 ft (assist by B. Knight),2,58-69,,
7:39.0,,,58-71,2,K. Durant makes 2-pt shot at rim (assist by R. Westbrook)
7:28.0,O. Mayo makes 2-pt shot from 1 ft,2,60-71,,
7:28.0,Shooting foul by S. Adams (drawn by O. Mayo),,60-71,,
7:28.0,O. Mayo makes free throw 1 of 1,1,61-71,,
7:05.0,,,61-71,,A. Roberson misses 2-pt shot from 2 ft
7:03.0,,,61-71,,Offensive rebound by S. Adams
7:03.0,,,61-71,,S. Adams misses 2-pt shot from 1 ft
7:02.0,,,61-71,,Offensive rebound by S. Adams
6:54.0,,,61-73,2,S. Adams makes 2-pt shot at rim (assist by K. Durant)
6:31.0,G. Antetokounmpo misses 2-pt shot from 2 ft,,61-73,,
6:30.0,Offensive rebound by G. Antetokounmpo,,61-73,,
6:30.0,G. Antetokounmpo misses 2-pt shot from 2 ft,,61-73,,
6:29.0,,,61-73,,Defensive rebound by S. Adams
6:28.0,,,61-73,,Turnover by S. Adams (lost ball; steal by L. Sanders)
6:27.0,,,61-73,,Violation by S. Adams (kicked ball)
6:27.0,,,61-73,,K. Perkins enters the game for S. Adams
6:27.0,Z. Pachulia enters the game for L. Sanders,,61-73,,
6:20.0,G. Antetokounmpo misses 2-pt shot from 21 ft,,61-73,,
6:18.0,,,61-73,,Defensive rebound by A. Roberson
6:09.0,,,61-75,2,S. Ibaka makes 2-pt shot from 15 ft (assist by K. Durant)
5:55.0,Shooting foul by K. Perkins (drawn by B. Knight),,61-75,,
5:55.0,B. Knight makes free throw 1 of 2,1,62-75,,
5:55.0,,,62-75,,A. Morrow enters the game for K. Durant
5:55.0,B. Knight makes free throw 2 of 2,1,63-75,,
5:51.0,,,63-75,,Turnover by K. Perkins (traveling)
5:32.0,,,63-75,,Violation by A. Roberson (kicked ball)
5:28.0,Z. Pachulia makes 2-pt shot from 1 ft,2,65-75,,
5:13.0,,,65-77,2,S. Ibaka makes 2-pt shot at rim (assist by K. Perkins)
4:54.0,J. Parker misses 2-pt shot from 14 ft,,65-77,,
4:53.0,,,65-77,,Defensive rebound by A. Roberson
4:46.0,,,65-77,,Shooting foul by B. Knight (drawn by R. Westbrook)
4:46.0,,,65-78,1,R. Westbrook makes free throw 1 of 2
4:46.0,,,65-78,,R. Westbrook misses free throw 2 of 2
4:45.0,,,65-78,,Offensive rebound by R. Westbrook
4:44.0,,,65-78,,R. Westbrook misses 2-pt shot from 2 ft (block by G. Antetokounmpo)
4:43.0,,,65-78,,Offensive rebound by K. Perkins
4:42.0,,,65-78,,K. Perkins misses 2-pt shot from 1 ft (block by G. Antetokounmpo)
4:41.0,Defensive rebound by O. Mayo,,65-78,,
4:38.0,Shooting foul by A. Roberson (drawn by O. Mayo),,65-78,,
4:38.0,O. Mayo makes free throw 1 of 2,1,66-78,,
4:38.0,O. Mayo makes free throw 2 of 2,1,67-78,,
4:19.0,,,67-78,,Turnover by S. Ibaka (bad pass)
4:19.0,,,67-78,,P. Jones enters the game for S. Ibaka
3:57.0,O. Mayo misses 2-pt shot from 2 ft,,67-78,,
3:56.0,,,67-78,,Defensive rebound by R. Westbrook
3:51.0,,,67-78,,R. Westbrook misses 2-pt shot from 15 ft
3:50.0,Defensive rebound by O. Mayo,,67-78,,
3:41.0,Turnover by B. Knight (bad pass; steal by A. Roberson),,67-78,,
3:38.0,,,67-78,,Shooting foul by O. Mayo (drawn by R. Westbrook)
3:38.0,,,67-79,1,R. Westbrook makes free throw 1 of 2
3:38.0,,,67-79,,R. Jackson enters the game for A. Roberson
3:38.0,,,67-80,1,R. Westbrook makes free throw 2 of 2
3:27.0,,,67-80,,Personal foul by A. Morrow (drawn by G. Antetokounmpo)
3:27.0,G. Antetokounmpo makes free throw 1 of 2,1,68-80,,
3:27.0,G. Antetokounmpo makes free throw 2 of 2,1,69-80,,
3:18.0,,,69-82,2,R. Westbrook makes 2-pt shot at rim
3:04.0,B. Knight misses 2-pt shot from 20 ft,,69-82,,
3:03.0,,,69-82,,Defensive rebound by R. Jackson
3:01.0,,,69-82,,Turnover by R. Jackson (lost ball; steal by B. Knight)
2:57.0,,,69-82,,Personal foul by A. Morrow (drawn by O. Mayo)
2:57.0,,,69-82,,Technical foul by A. Morrow (drawn by O. Mayo)
2:57.0,,,69-82,,Oklahoma City full timeout
2:57.0,,,69-82,,J. Lamb enters the game for A. Morrow
2:57.0,J. Dudley enters the game for J. Parker,,69-82,,
2:57.0,O. Mayo makes technical free throw,1,70-82,,
2:57.0,O. Mayo makes free throw 1 of 2,1,71-82,,
2:57.0,J. Bayless enters the game for B. Knight,,71-82,,
2:57.0,O. Mayo makes free throw 2 of 2,1,72-82,,
2:48.0,,,72-84,2,R. Jackson makes 2-pt shot from 23 ft (assist by R. Westbrook)
2:27.0,O. Mayo makes 2-pt shot from 12 ft (assist by J. Bayless),2,74-84,,
2:04.0,,,74-84,,K. Perkins misses 2-pt shot from 2 ft
2:03.0,Defensive rebound by J. Dudley,,74-84,,
1:57.0,Offensive foul by Z. Pachulia,,74-84,,
1:57.0,Turnover by Z. Pachulia (offensive foul),,74-84,,
1:33.0,,,74-84,,J. Lamb misses 2-pt shot from 15 ft
1:32.0,Defensive rebound by Team,,74-84,,
1:32.0,,,74-84,,A. Morrow enters the game for R. Westbrook
1:25.0,Z. Pachulia misses 2-pt shot from 1 ft,,74-84,,
1:24.0,,,74-84,,Defensive rebound by K. Perkins
1:13.0,,,74-84,,P. Jones misses 2-pt shot from 4 ft
1:12.0,,,74-84,,Offensive rebound by K. Perkins
1:11.0,,,74-84,,K. Perkins misses 2-pt shot from 2 ft
1:10.0,Defensive rebound by G. Antetokounmpo,,74-84,,
0:54.0,J. Bayless makes 2-pt shot from 1 ft,2,76-84,,
0:45.0,Personal foul by J. Dudley (drawn by J. Lamb),,76-84,,
0:45.0,,,76-85,1,J. Lamb makes free throw 1 of 2
0:45.0,,,76-86,1,J. Lamb makes free throw 2 of 2
0:31.0,O. Mayo makes 2-pt shot from 16 ft (assist by J. Bayless),2,78-86,,
0:06.0,,,78-86,,Shooting foul by O. Mayo (drawn by K. Perkins)
0:06.0,,,78-86,,K. Perkins misses free throw 1 of 2
0:06.0,,,78-86,,Offensive rebound by Team
0:06.0,,,78-86,,A. Roberson enters the game for J. Lamb
0:06.0,,,78-87,1,K. Perkins makes free throw 2 of 2
0:00.0,G. Antetokounmpo misses 3-pt shot from 24 ft,,78-87,,
0:00.0,,,78-87,,Defensive rebound by Team
0:00.0,End of 3rd quarter,,,,End of 3rd quarter
12:00.0,Start of 4th quarter,,,,Start of 4th quarter
11:51.0,,,78-87,,Offensive foul by K. Perkins
11:51.0,,,78-87,,Turnover by K. Perkins (offensive foul)
11:46.0,K. Marshall misses 3-pt shot from 24 ft,,78-87,,
11:45.0,Offensive rebound by K. Marshall,,78-87,,
11:34.0,K. Middleton misses 2-pt shot from 4 ft,,78-87,,
11:33.0,,,78-87,,Defensive rebound by K. Durant
11:19.0,,,78-87,,J. Lamb misses 3-pt shot from 25 ft
11:17.0,Defensive rebound by J. Bayless,,78-87,,
10:55.0,Shooting foul by J. Lamb (drawn by J. Bayless),,78-87,,
10:55.0,J. Bayless makes free throw 1 of 2,1,79-87,,
10:55.0,J. Bayless makes free throw 2 of 2,1,80-87,,
10:37.0,,,80-87,,J. Lamb misses 2-pt shot from 20 ft
10:37.0,,,80-87,,Offensive rebound by Team
10:37.0,Loose ball foul by Z. Pachulia (drawn by K. Perkins),,80-87,,
10:23.0,,,80-89,2,A. Morrow makes 2-pt shot from 21 ft (assist by K. Perkins)
10:05.0,J. Bayless makes 2-pt shot from 1 ft,2,82-89,,
9:50.0,,,82-91,2,J. Lamb makes 2-pt shot from 1 ft
9:38.0,J. Dudley misses 3-pt shot from 24 ft,,82-91,,
9:37.0,,,82-91,,Defensive rebound by K. Durant
9:28.0,,,82-93,2,K. Durant makes 2-pt shot at rim
9:15.0,J. Bayless makes 2-pt shot from 9 ft,2,84-93,,
8:53.0,,,84-95,2,R. Jackson makes 2-pt shot from 2 ft
8:40.0,J. Dudley makes 2-pt shot from 20 ft (assist by J. Bayless),2,86-95,,
8:21.0,,,86-95,,R. Jackson misses 3-pt shot from 25 ft
8:20.0,Defensive rebound by K. Middleton,,86-95,,
8:10.0,K. Middleton misses 3-pt shot from 24 ft,,86-95,,
8:09.0,Offensive rebound by K. Middleton,,86-95,,
8:07.0,Offensive charge foul by K. Middleton,,86-95,,
8:07.0,Turnover by K. Middleton (offensive foul),,86-95,,
8:07.0,Official timeout,,86-95,,
8:07.0,,,86-95,,R. Westbrook enters the game for J. Lamb
8:07.0,L. Sanders enters the game for Z. Pachulia,,86-95,,
7:52.0,,,86-95,,R. Jackson misses 3-pt shot from 22 ft
7:52.0,Defensive rebound by K. Middleton,,86-95,,
7:42.0,Turnover by J. Bayless (lost ball),,86-95,,
7:23.0,,,86-97,2,A. Morrow makes 2-pt shot from 12 ft (assist by R. Westbrook)
