time,Houston,pts.away,score,pts.home,Utah
6:08.0,J. Harden makes 2-pt shot from 2 ft,2,38-42,,
6:03.0,,,38-42,,Utah full timeout
6:03.0,,,38-42,,G. Hayward enters the game for A. Burks
6:03.0,,,38-42,,R. Hood enters the game for J. Ingles
6:03.0,,,38-42,,D. Favors enters the game for R. Gobert
6:03.0,T. Black enters the game for D. Howard,,38-42,,
5:47.0,,,38-42,,G. Hayward misses 2-pt shot from 22 ft
5:46.0,Defensive rebound by K. Papanikolaou,,38-42,,
5:40.0,P. Beverley misses 3-pt shot from 25 ft,,38-42,,
5:37.0,,,38-42,,Defensive rebound by G. Hayward
5:19.0,,,38-42,,Turnover by G. Hayward (lost ball; steal by P. Beverley)
4:58.0,T. Black misses 2-pt shot from 5 ft,,38-42,,
4:57.0,,,38-42,,Defensive rebound by G. Hayward
4:35.0,,,38-42,,Turnover by T. Burke (traveling)
4:35.0,,,38-42,,E. Kanter enters the game for T. Booker
4:15.0,K. Papanikolaou makes 3-pt shot from 25 ft (assist by J. Harden),3,41-42,,
3:55.0,,,41-44,2,T. Burke makes 2-pt shot from 2 ft
3:45.0,J. Harden misses 2-pt shot from 3 ft (block by D. Favors),,41-44,,
3:45.0,Offensive rebound by Team,,41-44,,
3:45.0,D. Howard enters the game for T. Black,,41-44,,
3:45.0,,,41-44,,A. Burks enters the game for R. Hood
3:41.0,K. Papanikolaou makes 3-pt shot from 24 ft (assist by J. Harden),3,44-44,,
3:24.0,,,44-44,,Turnover by T. Burke (bad pass)
3:24.0,,,44-44,,Personal foul by D. Favors (drawn by T. Ariza)
3:24.0,,,44-44,,R. Hood enters the game for D. Favors
3:13.0,Turnover by J. Harden (lost ball),,44-44,,
3:00.0,,,44-46,2,G. Hayward makes 2-pt shot from 6 ft
2:43.0,D. Howard makes 2-pt shot at rim,2,46-46,,
2:43.0,Shooting foul by E. Kanter (drawn by D. Howard),,46-46,,
2:43.0,Houston full timeout,,46-46,,
2:43.0,,,46-46,,R. Gobert enters the game for E. Kanter
2:43.0,D. Howard makes free throw 1 of 1,1,47-46,,
2:31.0,,,47-46,,A. Burks misses 2-pt shot from 3 ft (block by D. Howard)
2:28.0,,,47-46,,Offensive rebound by A. Burks
2:26.0,,,47-46,,G. Hayward misses 3-pt shot from 25 ft
2:22.0,Defensive rebound by K. Papanikolaou,,47-46,,
2:17.0,T. Ariza makes 3-pt shot from 24 ft (assist by J. Harden),3,50-46,,
1:58.0,,,50-48,2,R. Hood makes 2-pt shot at rim (assist by G. Hayward)
1:40.0,J. Harden misses 2-pt shot from 5 ft,,50-48,,
1:38.0,Offensive rebound by D. Howard,,50-48,,
1:38.0,D. Howard misses 2-pt shot from 2 ft,,50-48,,
1:36.0,,,50-48,,Defensive rebound by R. Gobert
1:33.0,,,50-48,,Shooting foul by D. Howard (drawn by A. Burks)
