time,New York,pts.away,score,pts.home,LA Lakers
2:30.0,S. Larkin enters the game for A. Shved,,17-19,,
2:30.0,,,17-20,1,J. Brown makes free throw 1 of 2
2:30.0,,,17-20,,J. Brown misses free throw 2 of 2
2:28.0,Defensive rebound by J. Smith,,17-20,,
2:12.0,S. Larkin misses 2-pt shot from 3 ft,,17-20,,
2:12.0,Offensive rebound by J. Smith,,17-20,,
2:12.0,Shooting foul by R. Kelly (drawn by J. Smith),,17-20,,
2:12.0,J. Smith makes free throw 1 of 2,1,18-20,,
2:12.0,J. Smith makes free throw 2 of 2,1,19-20,,
1:53.0,,,19-22,2,J. Brown makes 2-pt shot from 23 ft (assist by J. Lin)
1:38.0,J. Smith makes 2-pt shot from 18 ft,2,21-22,,
1:24.0,Personal foul by S. Larkin (drawn by J. Lin),,21-22,,
1:24.0,,,21-23,1,J. Lin makes free throw 1 of 2
1:24.0,,,21-24,1,J. Lin makes free throw 2 of 2
1:11.0,J. Smith misses 3-pt shot from 25 ft,,21-24,,
1:09.0,,,21-24,,Defensive rebound by C. Boozer
1:00.0,,,21-24,,R. Kelly misses 2-pt shot from 2 ft
1:00.0,Defensive rebound by Team,,21-24,,
0:50.0,,,21-24,,Personal foul by J. Brown (drawn by T. Hardaway)
0:41.0,C. Aldrich makes 2-pt shot from 9 ft,2,23-24,,
0:34.0,,,23-26,2,E. Davis makes 2-pt shot from 3 ft (assist by C. Boozer)
0:14.0,C. Early makes 2-pt shot from 10 ft (assist by S. Larkin),2,25-26,,
0:01.0,,,25-28,2,C. Boozer makes 2-pt shot from 13 ft (assist by J. Lin)
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:42.0,,,25-28,,J. Lin misses 2-pt shot from 17 ft
11:41.0,Defensive rebound by T. Hardaway,,25-28,,
11:28.0,,,25-28,,Personal foul by C. Boozer (drawn by J. Smith)
11:28.0,Turnover by C. Early (back court),,25-28,,
11:17.0,,,25-30,2,J. Brown makes 2-pt shot from 4 ft
11:03.0,J. Smith misses 2-pt shot from 14 ft,,25-30,,
11:02.0,,,25-30,,Defensive rebound by E. Davis
10:50.0,,,25-32,2,J. Brown makes 2-pt shot from 18 ft (assist by J. Lin)
10:27.0,T. Hardaway makes 3-pt shot from 26 ft (assist by S. Larkin),3,28-32,,
10:12.0,,,28-32,,Shooting foul by C. Early (drawn by E. Davis)
10:12.0,,,28-32,,E. Davis misses free throw 1 of 2
10:12.0,,,28-32,,Offensive rebound by Team
10:12.0,L. Thomas enters the game for C. Early,,28-32,,
10:12.0,,,28-32,,E. Davis misses free throw 2 of 2
10:11.0,Defensive rebound by S. Larkin,,28-32,,
9:58.0,T. Hardaway makes 3-pt shot from 25 ft (assist by J. Smith),3,31-32,,
9:44.0,,,31-32,,C. Boozer misses 2-pt shot from 2 ft (block by C. Aldrich)
9:44.0,,,31-32,,Offensive rebound by Team
9:41.0,,,31-34,2,C. Boozer makes 2-pt shot from 2 ft (assist by R. Kelly)
9:25.0,C. Aldrich misses 2-pt shot from 5 ft,,31-34,,
9:24.0,,,31-34,,Defensive rebound by C. Boozer
9:18.0,,,31-34,,Shooting foul by T. Hardaway (drawn by J. Brown)
9:18.0,,,31-34,,J. Brown misses free throw 1 of 2
9:18.0,,,31-34,,Offensive rebound by Team
9:18.0,,,31-34,,J. Brown misses free throw 2 of 2
9:16.0,Defensive rebound by T. Hardaway,,31-34,,
9:03.0,S. Larkin misses 2-pt shot from 11 ft,,31-34,,
9:02.0,,,31-34,,Defensive rebound by C. Boozer
8:56.0,,,31-34,,J. Lin misses 2-pt shot from 1 ft (block by S. Larkin)
8:55.0,Defensive rebound by J. Smith,,31-34,,
8:49.0,T. Hardaway makes 3-pt shot from 24 ft (assist by S. Larkin),3,34-34,,
8:28.0,,,34-36,2,C. Boozer makes 2-pt shot from 2 ft (assist by R. Kelly)
8:28.0,,,34-36,,Shooting foul by J. Smith (drawn by C. Boozer)
8:28.0,Official timeout,,34-36,,
8:28.0,A. Bargnani enters the game for L. Thomas,,34-36,,
8:28.0,A. Shved enters the game for J. Smith,,34-36,,
8:28.0,L. Galloway enters the game for S. Larkin,,34-36,,
8:28.0,,,34-37,1,C. Boozer makes free throw 1 of 1
8:18.0,L. Galloway makes 2-pt shot from 19 ft,2,36-37,,
8:05.0,Personal block foul by L. Galloway (drawn by J. Lin),,36-37,,
8:05.0,,,36-37,,J. Clarkson enters the game for J. Lin
7:59.0,,,36-39,2,J. Clarkson makes 2-pt shot from 16 ft (assist by C. Boozer)
7:40.0,Turnover by C. Aldrich (traveling),,36-39,,
7:40.0,,,36-39,,J. Hill enters the game for C. Boozer
7:27.0,,,36-39,,J. Brown misses 2-pt shot from 18 ft
7:26.0,Defensive rebound by A. Bargnani,,36-39,,
7:20.0,,,36-39,,Personal foul by R. Kelly (drawn by T. Hardaway)
7:13.0,A. Shved makes 2-pt shot from 2 ft (assist by A. Bargnani),2,38-39,,
6:50.0,,,38-39,,E. Davis misses 2-pt shot from 6 ft (block by C. Aldrich)
6:48.0,,,38-39,,Offensive rebound by E. Davis
6:47.0,,,38-39,,E. Davis misses 2-pt shot from 2 ft
6:45.0,Defensive rebound by C. Aldrich,,38-39,,
6:31.0,L. Galloway makes 3-pt shot from 25 ft (assist by A. Shved),3,41-39,,
6:09.0,,,41-39,,J. Hill misses 2-pt shot from 4 ft
6:08.0,,,41-39,,Offensive rebound by E. Davis
6:06.0,,,41-41,2,E. Davis makes 2-pt shot from 1 ft
6:01.0,Shooting foul by J. Hill (drawn by A. Bargnani),,41-41,,
6:01.0,A. Bargnani makes free throw 1 of 2,1,42-41,,
6:01.0,,,42-41,,W. Ellington enters the game for J. Brown
6:01.0,,,42-41,,W. Johnson enters the game for R. Kelly
6:01.0,,,42-41,,T. Black enters the game for E. Davis
6:01.0,L. Amundson enters the game for C. Aldrich,,42-41,,
6:01.0,A. Bargnani makes free throw 2 of 2,1,43-41,,
5:42.0,,,43-43,2,J. Hill makes 2-pt shot from 20 ft (assist by W. Ellington)
5:30.0,Turnover by L. Galloway (bad pass; steal by W. Johnson),,43-43,,
5:17.0,,,43-45,2,T. Black makes 2-pt shot from 3 ft
4:54.0,T. Hardaway makes 3-pt shot from 25 ft (assist by L. Amundson),3,46-45,,
4:35.0,,,46-45,,W. Ellington misses 3-pt shot from 27 ft
4:34.0,Defensive rebound by L. Galloway,,46-45,,
4:22.0,A. Shved makes 2-pt shot from 3 ft (assist by L. Galloway),2,48-45,,
4:01.0,,,48-45,,W. Ellington misses 2-pt shot from 18 ft
4:01.0,Defensive rebound by Team,,48-45,,
4:01.0,,,48-45,,LA Lakers full timeout
4:01.0,Jump ball: L. Amundson vs. T. Black (A. Bargnani gains possession),,,,Jump ball: L. Amundson vs. T. Black (A. Bargnani gains possession)
3:45.0,,,48-45,,Personal foul by T. Black (drawn by A. Bargnani)
3:34.0,T. Hardaway misses 2-pt shot from 5 ft,,48-45,,
3:32.0,,,48-45,,Defensive rebound by T. Black
3:18.0,,,48-47,2,J. Clarkson makes 2-pt shot from 15 ft
3:06.0,A. Bargnani makes 2-pt shot from 17 ft (assist by A. Shved),2,50-47,,
2:44.0,,,50-47,,W. Johnson misses 2-pt shot from 3 ft (block by L. Amundson)
2:44.0,,,50-47,,Offensive rebound by Team
2:44.0,New York full timeout,,50-47,,
2:44.0,S. Larkin enters the game for L. Galloway,,50-47,,
2:44.0,L. Thomas enters the game for T. Hardaway,,50-47,,
2:40.0,,,50-47,,T. Black misses 2-pt shot from 2 ft
2:38.0,,,50-47,,Offensive rebound by J. Hill
2:37.0,,,50-49,2,J. Hill makes 2-pt shot at rim
2:15.0,A. Bargnani makes 2-pt shot from 19 ft (assist by L. Amundson),2,52-49,,
2:15.0,Shooting foul by T. Black (drawn by A. Bargnani),,52-49,,
2:15.0,A. Bargnani makes free throw 1 of 1,1,53-49,,
2:04.0,,,53-52,3,W. Ellington makes 3-pt shot from 26 ft
1:45.0,,,53-52,,Personal foul by W. Johnson (drawn by A. Bargnani)
1:45.0,A. Bargnani makes free throw 1 of 2,1,54-52,,
1:45.0,A. Bargnani makes free throw 2 of 2,1,55-52,,
1:34.0,,,55-52,,J. Clarkson misses 2-pt shot from 8 ft
1:33.0,Defensive rebound by L. Amundson,,55-52,,
1:27.0,L. Thomas makes 2-pt shot from 17 ft (assist by S. Larkin),2,57-52,,
1:12.0,,,57-52,,Turnover by J. Hill (lost ball)
0:49.0,,,57-52,,Personal block foul by T. Black (drawn by S. Larkin)
0:49.0,S. Larkin misses free throw 1 of 2,,57-52,,
0:49.0,Offensive rebound by Team,,57-52,,
0:49.0,,,57-52,,E. Davis enters the game for T. Black
0:49.0,S. Larkin makes free throw 2 of 2,1,58-52,,
0:39.0,,,58-54,2,W. Ellington makes 2-pt shot from 12 ft
0:27.0,L. Thomas misses 2-pt shot from 11 ft,,58-54,,
0:26.0,Offensive rebound by L. Amundson,,58-54,,
0:25.0,L. Amundson makes 2-pt shot from 2 ft,2,60-54,,
0:04.0,,,60-54,,J. Hill misses 2-pt shot from 17 ft
0:01.0,,,60-54,,Offensive rebound by E. Davis
0:00.0,,,60-54,,E. Davis misses 2-pt shot from 5 ft
0:00.0,,,60-54,,Offensive rebound by Team
0:00.0,End of 2nd quarter,,,,End of 2nd quarter
12:00.0,Start of 3rd quarter,,,,Start of 3rd quarter
11:45.0,,,60-54,,Turnover by T. Black (lost ball; steal by L. Galloway)
11:41.0,L. Galloway misses 2-pt shot from 2 ft (block by W. Johnson),,60-54,,
11:37.0,,,60-54,,Defensive rebound by T. Black
11:23.0,,,60-57,3,J. Clarkson makes 3-pt shot from 27 ft (assist by W. Ellington)
11:02.0,A. Bargnani makes 2-pt shot from 14 ft (assist by L. Amundson),2,62-57,,
10:35.0,,,62-57,,W. Ellington misses 2-pt shot from 2 ft (block by L. Amundson)
10:33.0,Defensive rebound by L. Amundson,,62-57,,
10:12.0,A. Bargnani misses 2-pt shot from 6 ft,,62-57,,
10:11.0,,,62-57,,Defensive rebound by J. Hill
10:03.0,,,62-57,,Turnover by W. Johnson (lost ball; steal by L. Thomas)
9:50.0,L. Amundson misses 2-pt shot from 2 ft,,62-57,,
9:46.0,,,62-57,,Defensive rebound by T. Black
9:37.0,,,62-59,2,J. Hill makes 2-pt shot from 19 ft (assist by J. Clarkson)
9:37.0,New York full timeout,,62-59,,
9:26.0,A. Shved makes 3-pt shot from 25 ft (assist by L. Galloway),3,65-59,,
9:02.0,,,65-59,,J. Clarkson misses 3-pt shot from 25 ft
9:01.0,Defensive rebound by L. Amundson,,65-59,,
8:45.0,A. Bargnani misses 2-pt shot from 19 ft,,65-59,,
8:43.0,,,65-59,,Defensive rebound by W. Johnson
8:37.0,Jump ball: L. Amundson vs. J. Clarkson (L. Galloway gains possession),,,,Jump ball: L. Amundson vs. J. Clarkson (L. Galloway gains possession)
8:37.0,,,65-59,,Turnover by J. Clarkson (lost ball; steal by L. Amundson)
8:20.0,,,65-59,,Personal foul by W. Johnson (drawn by A. Bargnani)
8:13.0,L. Thomas makes 2-pt shot from 2 ft (assist by A. Bargnani),2,67-59,,
7:52.0,,,67-61,2,T. Black makes 2-pt shot from 5 ft
7:25.0,L. Thomas misses 2-pt shot from 15 ft,,67-61,,
7:24.0,,,67-61,,Defensive rebound by J. Clarkson
7:08.0,,,67-61,,J. Clarkson misses 2-pt shot from 3 ft
7:08.0,Defensive rebound by Team,,67-61,,
7:08.0,,,67-61,,Loose ball foul by T. Black (drawn by L. Amundson)
6:55.0,A. Shved misses 2-pt shot from 18 ft,,67-61,,
6:54.0,,,67-61,,Defensive rebound by J. Clarkson
6:51.0,,,67-61,,Shooting foul by L. Thomas (drawn by W. Ellington)
6:51.0,,,67-61,,W. Ellington misses free throw 1 of 2
6:51.0,,,67-61,,Offensive rebound by Team
6:51.0,,,67-62,1,W. Ellington makes free throw 2 of 2
6:38.0,A. Bargnani misses 2-pt shot from 5 ft,,67-62,,
6:37.0,,,67-62,,Defensive rebound by T. Black
6:30.0,,,67-62,,W. Johnson misses 3-pt shot from 24 ft
6:29.0,Defensive rebound by A. Shved,,67-62,,
6:18.0,L. Thomas makes 2-pt shot from 20 ft (assist by L. Galloway),2,69-62,,
5:54.0,,,69-62,,J. Hill misses 2-pt shot from 6 ft
5:53.0,Defensive rebound by A. Shved,,69-62,,
5:44.0,L. Galloway misses 3-pt shot from 25 ft,,69-62,,
5:43.0,,,69-62,,Defensive rebound by Team
5:43.0,,,69-62,,J. Lin enters the game for W. Ellington
5:43.0,,,69-62,,E. Davis enters the game for T. Black
5:35.0,Personal foul by L. Thomas (drawn by W. Johnson),,69-62,,
5:35.0,T. Hardaway enters the game for A. Shved,,69-62,,
5:35.0,C. Early enters the game for L. Thomas,,69-62,,
5:31.0,,,69-62,,Turnover by J. Lin (traveling)
5:16.0,L. Amundson makes 2-pt shot from 4 ft (assist by T. Hardaway),2,71-62,,
4:56.0,Shooting block foul by L. Amundson (drawn by J. Hill),,71-62,,
4:56.0,,,71-62,,J. Hill misses free throw 1 of 2
4:56.0,,,71-62,,Offensive rebound by Team
4:56.0,,,71-63,1,J. Hill makes free throw 2 of 2
4:43.0,Turnover by L. Galloway (bad pass; steal by E. Davis),,71-63,,
4:38.0,,,71-63,,Turnover by J. Lin (bad pass; steal by L. Galloway)
4:34.0,T. Hardaway makes 2-pt shot at rim (assist by L. Galloway),2,73-63,,
4:14.0,,,73-63,,J. Hill misses 2-pt shot from 16 ft
4:12.0,,,73-63,,Offensive rebound by Team
4:12.0,C. Aldrich enters the game for L. Amundson,,73-63,,
4:12.0,,,73-63,,C. Boozer enters the game for J. Hill
4:10.0,,,73-63,,J. Clarkson misses 2-pt shot from 17 ft
4:08.0,Defensive rebound by T. Hardaway,,73-63,,
3:52.0,C. Early makes 2-pt shot from 2 ft (assist by C. Aldrich),2,75-63,,
3:52.0,,,75-63,,LA Lakers full timeout
3:52.0,J. Smith enters the game for A. Bargnani,,75-63,,
3:32.0,,,75-63,,J. Lin misses 3-pt shot from 26 ft
3:31.0,Defensive rebound by Team,,75-63,,
3:29.0,,,75-63,,J. Brown enters the game for J. Clarkson
3:15.0,Turnover by L. Galloway (bad pass; steal by C. Boozer),,75-63,,
3:11.0,,,75-63,,W. Johnson misses 2-pt shot from 2 ft
3:09.0,,,75-63,,Offensive rebound by E. Davis
3:09.0,,,75-63,,E. Davis misses 2-pt shot from 2 ft
3:09.0,Defensive rebound by Team,,75-63,,
3:09.0,,,75-63,,Loose ball foul by W. Johnson (drawn by C. Aldrich)
2:47.0,C. Aldrich misses 2-pt shot from 11 ft,,75-63,,
2:44.0,,,75-63,,Defensive rebound by C. Boozer
2:36.0,,,75-63,,W. Johnson misses 3-pt shot from 23 ft
2:35.0,,,75-63,,Offensive rebound by E. Davis
2:33.0,,,75-65,2,W. Johnson makes 2-pt shot from 2 ft (assist by E. Davis)
2:15.0,Turnover by T. Hardaway (bad pass; steal by E. Davis),,75-65,,
2:11.0,,,75-65,,Turnover by J. Brown (bad pass; steal by C. Aldrich)
2:07.0,C. Early misses 2-pt shot from 3 ft,,75-65,,
2:03.0,Offensive rebound by L. Galloway,,75-65,,
2:02.0,L. Galloway makes 2-pt shot at rim,2,77-65,,
1:51.0,Personal foul by J. Smith (drawn by C. Boozer),,77-65,,
1:51.0,S. Larkin enters the game for L. Galloway,,77-65,,
1:47.0,,,77-67,2,J. Lin makes 2-pt shot from 1 ft
1:32.0,S. Larkin misses 2-pt shot from 4 ft (block by J. Lin),,77-67,,
1:31.0,,,77-67,,Defensive rebound by E. Davis
1:18.0,,,77-67,,J. Lin misses 2-pt shot from 7 ft (block by C. Early)
1:17.0,,,77-67,,Offensive rebound by J. Lin
1:17.0,,,77-67,,Shooting foul by C. Early (drawn by J. Lin)
1:17.0,,,77-68,1,J. Lin makes free throw 1 of 2
1:17.0,,,77-69,1,J. Lin makes free throw 2 of 2
0:57.0,T. Hardaway makes 3-pt shot from 25 ft,3,80-69,,
0:48.0,,,80-71,2,E. Davis makes 2-pt shot from 2 ft (assist by J. Lin)
0:48.0,,,80-71,,Shooting foul by C. Aldrich (drawn by E. Davis)
0:48.0,,,80-72,1,E. Davis makes free throw 1 of 1
0:35.0,T. Hardaway misses 3-pt shot from 27 ft,,80-72,,
0:34.0,,,80-72,,Defensive rebound by E. Davis
0:17.0,,,80-72,,Shooting foul by S. Larkin (drawn by J. Lin)
0:17.0,,,80-73,1,J. Lin makes free throw 1 of 2
0:17.0,A. Shved enters the game for C. Early,,80-73,,
0:17.0,,,80-74,1,J. Lin makes free throw 2 of 2
0:08.0,,,80-74,,Personal take foul by E. Davis (drawn by A. Shved)
0:00.0,End of 3rd quarter,,,,End of 3rd quarter
12:00.0,Start of 4th quarter,,,,Start of 4th quarter
11:35.0,S. Larkin makes 2-pt shot from 2 ft (assist by C. Aldrich),2,82-74,,
11:21.0,,,82-76,2,J. Lin makes 2-pt shot from 1 ft
10:58.0,J. Smith misses 2-pt shot from 18 ft,,82-76,,
10:57.0,,,82-76,,Defensive rebound by E. Davis
10:48.0,,,82-76,,J. Lin misses 2-pt shot from 19 ft
10:47.0,Defensive rebound by C. Aldrich,,82-76,,
10:29.0,Shooting foul by E. Davis (drawn by C. Aldrich),,82-76,,
10:29.0,C. Aldrich misses free throw 1 of 2,,82-76,,
10:29.0,Offensive rebound by Team,,82-76,,
10:29.0,C. Aldrich makes free throw 2 of 2,1,83-76,,
10:17.0,,,83-76,,C. Boozer misses 2-pt shot from 19 ft
10:16.0,Defensive rebound by C. Early,,83-76,,
10:01.0,Turnover by S. Larkin (bad pass; steal by E. Davis),,83-76,,
9:56.0,,,83-78,2,C. Boozer makes 2-pt shot from 2 ft (assist by J. Brown)
9:37.0,Shooting foul by R. Kelly (drawn by C. Early),,83-78,,
9:37.0,C. Early makes free throw 1 of 2,1,84-78,,
9:37.0,C. Early makes free throw 2 of 2,1,85-78,,
9:24.0,,,85-80,2,C. Boozer makes 2-pt shot from 2 ft (assist by J. Lin)
9:09.0,T. Hardaway makes 2-pt shot from 2 ft,2,87-80,,
8:49.0,,,87-80,,J. Brown misses 3-pt shot from 24 ft
8:48.0,,,87-80,,Offensive rebound by J. Lin
8:44.0,,,87-80,,Turnover by C. Boozer (traveling)
8:44.0,Official timeout,,87-80,,
8:44.0,A. Bargnani enters the game for C. Aldrich,,87-80,,
8:44.0,A. Shved enters the game for S. Larkin,,87-80,,
8:30.0,C. Early makes 3-pt shot from 22 ft (assist by A. Shved),3,90-80,,
8:08.0,,,90-80,,Turnover by C. Boozer (lost ball)
7:54.0,A. Shved misses 2-pt shot from 2 ft,,90-80,,
7:52.0,,,90-80,,Defensive rebound by J. Brown
7:40.0,,,90-80,,C. Boozer misses 2-pt shot from 3 ft (block by C. Early)
7:38.0,Defensive rebound by A. Shved,,90-80,,
7:32.0,C. Early misses 2-pt shot from 19 ft,,90-80,,
7:31.0,,,90-80,,Defensive rebound by E. Davis
7:15.0,,,90-80,,J. Brown misses 3-pt shot from 24 ft
7:14.0,Defensive rebound by A. Shved,,90-80,,
7:07.0,Shooting foul by C. Boozer (drawn by A. Bargnani),,90-80,,
7:07.0,A. Bargnani misses free throw 1 of 2,,90-80,,
7:07.0,Offensive rebound by Team,,90-80,,
7:07.0,,,90-80,,J. Clarkson enters the game for J. Brown
7:07.0,,,90-80,,W. Ellington enters the game for J. Lin
7:07.0,A. Bargnani misses free throw 2 of 2,,90-80,,
7:05.0,,,90-80,,Defensive rebound by C. Boozer
6:44.0,,,90-80,,C. Boozer misses 2-pt shot from 14 ft
6:42.0,,,90-80,,Offensive rebound by Team
6:42.0,,,90-80,,Turnover by Team (shot clock)
6:24.0,T. Hardaway misses 3-pt shot from 26 ft,,90-80,,
6:23.0,,,90-80,,Defensive rebound by C. Boozer
6:05.0,,,90-80,,C. Boozer misses 2-pt shot from 2 ft
6:05.0,Defensive rebound by Team,,90-80,,
6:05.0,,,90-80,,Loose ball foul by E. Davis (drawn by J. Smith)
6:05.0,,,90-80,,W. Johnson enters the game for R. Kelly
6:05.0,,,90-80,,Technical foul by C. Boozer
6:05.0,T. Hardaway makes technical free throw,1,91-80,,
5:43.0,Shooting foul by E. Davis (drawn by A. Shved),,91-80,,
5:43.0,,,91-80,,LA Lakers full timeout
5:43.0,,,91-80,,J. Hill enters the game for C. Boozer
5:43.0,,,91-80,,T. Black enters the game for E. Davis
5:43.0,A. Shved makes free throw 1 of 2,1,92-80,,
5:43.0,A. Shved misses free throw 2 of 2,,92-80,,
5:42.0,,,92-80,,Defensive rebound by J. Hill
5:26.0,,,92-80,,W. Ellington misses 3-pt shot from 25 ft
5:25.0,,,92-80,,Offensive rebound by W. Johnson
5:23.0,,,92-82,2,W. Johnson makes 2-pt shot from 18 ft
5:02.0,T. Hardaway misses 2-pt shot from 17 ft,,92-82,,
5:02.0,,,92-82,,Defensive rebound by T. Black
5:02.0,Personal foul by A. Bargnani (drawn by T. Black),,92-82,,
4:50.0,,,92-82,,Offensive foul by W. Johnson
4:50.0,,,92-82,,Turnover by W. Johnson (offensive foul)
4:32.0,A. Bargnani misses 3-pt shot from 26 ft,,92-82,,
4:31.0,Offensive rebound by A. Shved,,92-82,,
4:27.0,J. Smith misses 2-pt shot from 16 ft,,92-82,,
4:24.0,,,92-82,,Defensive rebound by T. Black
4:16.0,,,92-82,,J. Hill misses 2-pt shot from 20 ft
4:15.0,Defensive rebound by A. Shved,,92-82,,
3:59.0,,,92-82,,Personal foul by T. Black (drawn by A. Bargnani)
3:59.0,A. Bargnani makes free throw 1 of 2,1,93-82,,
3:59.0,A. Bargnani makes free throw 2 of 2,1,94-82,,
3:48.0,,,94-82,,W. Ellington misses 2-pt shot from 12 ft
3:47.0,Defensive rebound by A. Bargnani,,94-82,,
3:35.0,T. Hardaway makes 2-pt shot from 2 ft (assist by J. Smith),2,96-82,,
