time,Golden State,pts.away,score,pts.home,Boston
7:25.0,,,30-50,,M. Smart misses 3-pt shot from 25 ft
7:24.0,,,30-50,,Offensive rebound by J. Jerebko
7:18.0,,,30-53,3,J. Crowder makes 3-pt shot from 25 ft (assist by I. Thomas)
7:09.0,S. Livingston misses 2-pt shot from 10 ft,,30-53,,
7:08.0,,,30-53,,Defensive rebound by J. Crowder
6:53.0,,,30-56,3,J. Jerebko makes 3-pt shot from 26 ft (assist by I. Thomas)
6:47.0,Golden State full timeout,,30-56,,
6:47.0,D. Green enters the game for D. Lee,,30-56,,
6:47.0,K. Thompson enters the game for L. Barbosa,,30-56,,
6:47.0,S. Curry enters the game for S. Livingston,,30-56,,
6:40.0,K. Thompson makes 2-pt shot from 10 ft (assist by D. Green),2,32-56,,
6:23.0,,,32-56,,I. Thomas misses 2-pt shot from 2 ft
6:22.0,Defensive rebound by S. Curry,,32-56,,
6:14.0,S. Curry misses 3-pt shot from 22 ft,,32-56,,
6:13.0,Offensive rebound by H. Barnes,,32-56,,
6:12.0,Shooting foul by J. Jerebko (drawn by H. Barnes),,32-56,,
6:12.0,H. Barnes makes free throw 1 of 2,1,33-56,,
6:12.0,H. Barnes makes free throw 2 of 2,1,34-56,,
5:47.0,,,34-56,,I. Thomas misses 3-pt shot from 24 ft
5:46.0,Defensive rebound by H. Barnes,,34-56,,
5:38.0,Turnover by S. Curry (bad pass; steal by J. Jerebko),,34-56,,
5:29.0,,,34-56,,M. Smart misses 2-pt shot from 6 ft
5:28.0,,,34-56,,Offensive rebound by J. Crowder
5:28.0,,,34-58,2,J. Crowder makes 2-pt shot from 1 ft
5:12.0,Turnover by D. Green (bad pass),,34-58,,
5:12.0,,,34-58,,B. Bass enters the game for J. Jerebko
5:00.0,,,34-58,,J. Crowder misses 3-pt shot from 26 ft
4:59.0,Defensive rebound by A. Iguodala,,34-58,,
4:43.0,K. Thompson misses 3-pt shot from 25 ft,,34-58,,
4:42.0,,,34-58,,Defensive rebound by J. Crowder
4:26.0,,,34-58,,J. Young misses 3-pt shot from 22 ft
4:25.0,Defensive rebound by K. Thompson,,34-58,,
4:17.0,K. Thompson makes 2-pt shot from 1 ft,2,36-58,,
3:59.0,,,36-58,,J. Crowder misses 3-pt shot from 25 ft
3:58.0,Defensive rebound by A. Iguodala,,36-58,,
3:51.0,H. Barnes makes 3-pt shot from 26 ft (assist by A. Iguodala),3,39-58,,
3:40.0,,,39-58,,Boston full timeout
3:40.0,,,39-58,,A. Bradley enters the game for M. Smart
3:40.0,,,39-58,,E. Turner enters the game for J. Young
3:19.0,,,39-58,,B. Bass misses 2-pt shot from 6 ft
3:18.0,,,39-58,,Offensive rebound by A. Bradley
3:18.0,,,39-58,,A. Bradley misses 2-pt shot at rim
3:17.0,Defensive rebound by K. Thompson,,39-58,,
3:06.0,K. Thompson makes 2-pt shot from 1 ft,2,41-58,,
2:43.0,,,41-58,,A. Bradley misses 2-pt shot from 18 ft
2:42.0,,,41-58,,Offensive rebound by B. Bass
2:42.0,,,41-58,,Shooting foul by D. Green (drawn by B. Bass)
2:42.0,,,41-58,,B. Bass misses free throw 1 of 2
2:42.0,,,41-58,,Offensive rebound by Team
2:42.0,,,41-59,1,B. Bass makes free throw 2 of 2
2:35.0,Shooting foul by B. Bass (drawn by D. Green),,41-59,,
2:35.0,D. Green makes free throw 1 of 2,1,42-59,,
2:35.0,D. Green makes free throw 2 of 2,1,43-59,,
2:19.0,,,43-59,,E. Turner misses 2-pt shot from 14 ft
2:18.0,,,43-59,,Offensive rebound by J. Crowder
2:17.0,,,43-61,2,J. Crowder makes 2-pt shot at rim
2:07.0,S. Curry makes 2-pt shot from 4 ft,2,45-61,,
1:44.0,,,45-61,,B. Bass misses 2-pt shot from 2 ft
1:43.0,Defensive rebound by A. Iguodala,,45-61,,
1:38.0,K. Thompson misses 2-pt shot from 15 ft,,45-61,,
1:37.0,Offensive rebound by Team,,45-61,,
1:37.0,,,45-61,,Personal foul by I. Thomas (drawn by H. Barnes)
1:37.0,,,45-61,,M. Smart enters the game for I. Thomas
1:37.0,,,45-61,,T. Zeller enters the game for J. Crowder
1:31.0,D. Green misses 3-pt shot from 26 ft,,45-61,,
1:30.0,,,45-61,,Defensive rebound by A. Bradley
1:19.0,Personal foul by D. Green (drawn by E. Turner),,45-61,,
1:07.0,,,45-63,2,B. Bass makes 2-pt shot at rim (assist by M. Smart)
0:54.0,K. Thompson misses 2-pt shot from 5 ft,,45-63,,
0:53.0,,,45-63,,Defensive rebound by E. Turner
0:49.0,,,45-63,,A. Bradley misses 2-pt shot from 2 ft (block by D. Green)
0:47.0,Defensive rebound by A. Iguodala,,45-63,,
0:42.0,S. Curry makes 3-pt shot from 26 ft (assist by A. Iguodala),3,48-63,,
0:22.0,,,48-63,,B. Bass misses 2-pt shot from 16 ft
0:21.0,,,48-63,,Offensive rebound by Team
0:21.0,Loose ball foul by H. Barnes (drawn by T. Zeller),,48-63,,
0:21.0,,,48-64,1,T. Zeller makes free throw 1 of 2
0:21.0,,,48-64,,J. Crowder enters the game for B. Bass
0:21.0,,,48-65,1,T. Zeller makes free throw 2 of 2
0:04.0,S. Curry misses 2-pt shot from 3 ft,,48-65,,
0:03.0,Offensive rebound by D. Green,,48-65,,
0:02.0,Shooting foul by J. Crowder (drawn by D. Green),,48-65,,
0:02.0,D. Green makes free throw 1 of 2,1,49-65,,
0:02.0,,,49-65,,I. Thomas enters the game for M. Smart
0:02.0,D. Green misses free throw 2 of 2,,49-65,,
0:01.0,,,49-65,,Defensive rebound by J. Crowder
0:00.0,,,49-65,,J. Crowder misses 3-pt shot from 80 ft
0:00.0,,,49-65,,Offensive rebound by Team
0:00.0,End of 2nd quarter,,,,End of 2nd quarter
12:00.0,Start of 3rd quarter,,,,Start of 3rd quarter
11:40.0,,,49-65,,E. Turner misses 2-pt shot from 14 ft
11:38.0,Defensive rebound by D. Green,,49-65,,
11:27.0,H. Barnes misses 3-pt shot from 24 ft,,49-65,,
11:26.0,,,49-65,,Defensive rebound by B. Bass
11:09.0,,,49-67,2,A. Bradley makes 2-pt shot from 17 ft (assist by E. Turner)
10:41.0,D. Green misses 2-pt shot from 3 ft (block by T. Zeller),,49-67,,
10:40.0,Offensive rebound by A. Bogut,,49-67,,
