time,Atlanta,pts.away,score,pts.home,Utah
0:39.0,,,31-17,,T. Booker misses 2-pt shot from 5 ft
0:38.0,,,31-17,,Offensive rebound by R. Gobert
0:38.0,,,31-19,2,R. Gobert makes 2-pt shot from 2 ft
0:24.0,M. Scott misses 3-pt shot from 25 ft,,31-19,,
0:22.0,,,31-19,,Defensive rebound by Team
0:22.0,A. Horford enters the game for E. Brand,,31-19,,
0:01.0,,,31-21,2,T. Booker makes 2-pt shot from 7 ft
0:00.0,M. Scott misses 3-pt shot from 67 ft,,31-21,,
0:00.0,Offensive rebound by Team,,31-21,,
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:38.0,,,31-21,,I. Clark misses 3-pt shot from 24 ft
11:36.0,,,31-21,,Offensive rebound by Team
11:28.0,,,31-21,,Shooting foul by D. Schroder (drawn by R. Gobert)
11:28.0,,,31-22,1,R. Gobert makes free throw 1 of 2
11:28.0,,,31-23,1,R. Gobert makes free throw 2 of 2
11:16.0,Turnover by D. Schroder (lost ball; steal by D. Exum),,31-23,,
11:13.0,,,31-25,2,D. Exum makes 2-pt shot at rim
10:56.0,,,31-25,,Personal foul by D. Exum (drawn by D. Schroder)
10:45.0,A. Horford misses 2-pt shot from 19 ft,,31-25,,
10:43.0,,,31-25,,Defensive rebound by T. Booker
10:26.0,,,31-28,3,I. Clark makes 3-pt shot from 23 ft (assist by R. Gobert)
10:25.0,Atlanta full timeout,,31-28,,
10:25.0,K. Bazemore enters the game for D. Schroder,,31-28,,
10:25.0,J. Teague enters the game for T. Sefolosha,,31-28,,
10:06.0,A. Horford makes 2-pt shot at rim (assist by J. Teague),2,33-28,,
9:44.0,,,33-30,2,I. Clark makes 2-pt shot from 4 ft
9:30.0,Shooting foul by D. Exum (drawn by J. Teague),,33-30,,
9:30.0,J. Teague makes free throw 1 of 2,1,34-30,,
9:30.0,,,34-30,,T. Burke enters the game for D. Exum
9:30.0,J. Teague makes free throw 2 of 2,1,35-30,,
9:17.0,,,35-30,,T. Burke misses 2-pt shot from 23 ft
9:15.0,,,35-30,,Offensive rebound by R. Gobert
9:15.0,,,35-32,2,R. Gobert makes 2-pt shot from 2 ft
8:50.0,K. Bazemore misses 2-pt shot from 9 ft,,35-32,,
8:48.0,,,35-32,,Defensive rebound by T. Booker
8:37.0,,,35-32,,I. Clark misses 2-pt shot from 22 ft
8:36.0,Defensive rebound by A. Horford,,35-32,,
8:27.0,K. Bazemore misses 3-pt shot from 24 ft,,35-32,,
8:26.0,Offensive rebound by D. Carroll,,35-32,,
8:21.0,Turnover by D. Carroll (bad pass; steal by J. Ingles),,35-32,,
8:12.0,,,35-32,,Turnover by J. Ingles (bad pass; steal by A. Horford)
8:07.0,D. Carroll misses 3-pt shot from 24 ft,,35-32,,
8:05.0,,,35-32,,Defensive rebound by Team
8:05.0,Personal foul by K. Bazemore (drawn by I. Clark),,35-32,,
8:05.0,,,35-32,,E. Kanter enters the game for T. Booker
7:41.0,,,35-32,,E. Kanter misses 2-pt shot from 18 ft
7:40.0,Defensive rebound by J. Teague,,35-32,,
7:30.0,Shooting foul by R. Gobert (drawn by D. Carroll),,35-32,,
7:30.0,D. Carroll makes free throw 1 of 2,1,36-32,,
7:30.0,D. Carroll makes free throw 2 of 2,1,37-32,,
7:10.0,Personal foul by D. Carroll (drawn by J. Ingles),,37-32,,
6:59.0,,,37-34,2,E. Kanter makes 2-pt shot from 16 ft (assist by J. Ingles)
6:41.0,K. Bazemore misses 2-pt shot at rim,,37-34,,
6:40.0,Offensive rebound by M. Scott,,37-34,,
6:32.0,A. Horford misses 2-pt shot from 15 ft,,37-34,,
6:30.0,,,37-34,,Defensive rebound by R. Gobert
6:18.0,,,37-34,,Turnover by J. Ingles (traveling)
6:18.0,P. Millsap enters the game for M. Scott,,37-34,,
6:18.0,K. Korver enters the game for D. Carroll,,37-34,,
6:18.0,,,37-34,,D. Favors enters the game for R. Gobert
6:07.0,J. Teague misses 2-pt shot from 1 ft,,37-34,,
6:04.0,,,37-34,,Defensive rebound by D. Favors
5:54.0,,,37-34,,T. Burke misses 3-pt shot from 23 ft
5:52.0,Defensive rebound by K. Bazemore,,37-34,,
5:41.0,K. Bazemore makes 3-pt shot from 24 ft (assist by J. Teague),3,40-34,,
5:19.0,,,40-34,,J. Ingles misses 2-pt shot from 19 ft
5:16.0,,,40-34,,Offensive rebound by D. Favors
5:11.0,,,40-37,3,J. Ingles makes 3-pt shot from 24 ft (assist by I. Clark)
4:58.0,J. Teague misses 2-pt shot from 13 ft (block by T. Burke),,40-37,,
4:58.0,Offensive rebound by Team,,40-37,,
4:58.0,Official timeout,,40-37,,
4:58.0,E. Brand enters the game for A. Horford,,40-37,,
4:58.0,,,40-37,,G. Hayward enters the game for J. Ingles
4:56.0,Shooting foul by I. Clark (drawn by K. Korver),,40-37,,
4:56.0,K. Korver makes free throw 1 of 2,1,41-37,,
4:56.0,K. Korver makes free throw 2 of 2,1,42-37,,
4:43.0,,,42-37,,G. Hayward misses 2-pt shot from 14 ft
4:42.0,Defensive rebound by K. Korver,,42-37,,
4:39.0,Shooting foul by T. Burke (drawn by J. Teague),,42-37,,
4:39.0,J. Teague makes free throw 1 of 2,1,43-37,,
4:39.0,J. Teague makes free throw 2 of 2,1,44-37,,
4:19.0,,,44-37,,E. Kanter misses 2-pt shot at rim (block by E. Brand)
4:18.0,Defensive rebound by P. Millsap,,44-37,,
4:02.0,K. Bazemore makes 2-pt shot from 20 ft,2,46-37,,
3:47.0,,,46-39,2,E. Kanter makes 2-pt shot from 17 ft (assist by G. Hayward)
3:22.0,J. Teague misses 2-pt shot from 3 ft (block by D. Favors),,46-39,,
3:20.0,,,46-39,,Defensive rebound by D. Favors
3:16.0,,,46-42,3,G. Hayward makes 3-pt shot from 23 ft (assist by I. Clark)
3:01.0,K. Korver misses 3-pt shot from 24 ft,,46-42,,
3:00.0,,,46-42,,Defensive rebound by G. Hayward
2:52.0,,,46-42,,T. Burke misses 2-pt shot from 3 ft
2:52.0,Defensive rebound by Team,,46-42,,
2:52.0,,,46-42,,Utah full timeout
2:52.0,D. Carroll enters the game for K. Bazemore,,46-42,,
2:52.0,,,46-42,,T. Booker enters the game for E. Kanter
2:49.0,,,46-42,,R. Gobert enters the game for D. Favors
2:36.0,K. Korver makes 2-pt shot from 23 ft (assist by J. Teague),2,48-42,,
2:18.0,,,48-42,,T. Booker misses 3-pt shot from 23 ft
2:17.0,Defensive rebound by K. Korver,,48-42,,
2:09.0,K. Korver makes 3-pt shot from 24 ft (assist by J. Teague),3,51-42,,
1:52.0,,,51-45,3,T. Booker makes 3-pt shot from 23 ft (assist by I. Clark)
1:34.0,J. Teague makes 2-pt shot from 9 ft,2,53-45,,
1:12.0,,,53-45,,I. Clark misses 3-pt shot from 25 ft
1:10.0,Defensive rebound by D. Carroll,,53-45,,
0:51.0,J. Teague makes 2-pt shot from 1 ft,2,55-45,,
0:30.0,,,55-45,,Turnover by T. Booker (lost ball; steal by K. Korver)
0:10.0,J. Teague makes 2-pt shot from 19 ft,2,57-45,,
0:03.0,,,57-45,,G. Hayward misses 2-pt shot from 14 ft
0:01.0,Defensive rebound by K. Korver,,57-45,,
0:00.0,End of 2nd quarter,,,,End of 2nd quarter
12:00.0,Start of 3rd quarter,,,,Start of 3rd quarter
11:40.0,,,57-45,,I. Clark misses 3-pt shot from 24 ft
11:39.0,Defensive rebound by K. Korver,,57-45,,
11:24.0,Shooting foul by E. Kanter (drawn by P. Millsap),,57-45,,
11:24.0,P. Millsap makes free throw 1 of 2,1,58-45,,
11:24.0,P. Millsap makes free throw 2 of 2,1,59-45,,
10:57.0,,,59-45,,I. Clark misses 2-pt shot from 22 ft
10:56.0,,,59-45,,Offensive rebound by D. Favors
10:56.0,,,59-45,,Shooting foul by D. Carroll (drawn by D. Favors)
10:56.0,,,59-46,1,D. Favors makes free throw 1 of 2
10:56.0,,,59-46,,D. Favors misses free throw 2 of 2
10:54.0,Defensive rebound by D. Carroll,,59-46,,
10:35.0,J. Teague misses 3-pt shot from 23 ft,,59-46,,
10:34.0,,,59-46,,Defensive rebound by E. Kanter
10:17.0,,,59-48,2,E. Kanter makes 2-pt shot from 6 ft
10:03.0,Offensive foul by K. Korver,,59-48,,
10:03.0,Turnover by K. Korver (offensive foul),,59-48,,
9:53.0,,,59-48,,Turnover by I. Clark (bad pass; steal by J. Teague)
9:47.0,A. Horford makes 2-pt shot at rim (assist by D. Carroll),2,61-48,,
9:33.0,,,61-48,,Turnover by D. Favors (lost ball; steal by J. Teague)
9:27.0,J. Teague makes 2-pt shot at rim,2,63-48,,
9:09.0,,,63-48,,E. Kanter misses 2-pt shot from 7 ft
9:08.0,Defensive rebound by K. Korver,,63-48,,
8:47.0,P. Millsap misses 3-pt shot from 24 ft,,63-48,,
8:46.0,,,63-48,,Defensive rebound by G. Hayward
8:36.0,,,63-48,,T. Burke misses 3-pt shot from 25 ft
8:35.0,,,63-48,,Offensive rebound by E. Kanter
8:35.0,Personal foul by P. Millsap (drawn by E. Kanter),,63-48,,
8:25.0,,,63-48,,Turnover by E. Kanter (traveling)
8:15.0,Shooting foul by D. Favors (drawn by P. Millsap),,63-48,,
8:15.0,P. Millsap makes free throw 1 of 2,1,64-48,,
8:15.0,,,64-48,,J. Ingles enters the game for I. Clark
8:15.0,P. Millsap makes free throw 2 of 2,1,65-48,,
7:58.0,,,65-48,,G. Hayward misses 2-pt shot from 19 ft
7:56.0,Defensive rebound by P. Millsap,,65-48,,
7:45.0,P. Millsap misses 2-pt shot from 19 ft,,65-48,,
7:44.0,,,65-48,,Defensive rebound by J. Ingles
7:30.0,,,65-50,2,D. Favors makes 2-pt shot at rim (assist by T. Burke)
7:12.0,A. Horford makes 2-pt shot from 7 ft,2,67-50,,
6:54.0,,,67-50,,D. Favors misses 2-pt shot from 3 ft
6:53.0,Defensive rebound by P. Millsap,,67-50,,
6:42.0,D. Carroll misses 3-pt shot from 25 ft,,67-50,,
6:41.0,,,67-50,,Defensive rebound by J. Ingles
6:39.0,,,67-50,,Shooting foul by K. Korver (drawn by G. Hayward)
6:39.0,,,67-51,1,G. Hayward makes free throw 1 of 2
6:39.0,,,67-51,,T. Booker enters the game for E. Kanter
6:39.0,E. Brand enters the game for A. Horford,,67-51,,
6:39.0,,,67-51,,G. Hayward misses free throw 2 of 2
6:37.0,Defensive rebound by D. Carroll,,67-51,,
6:24.0,P. Millsap makes 2-pt shot from 3 ft (assist by J. Teague),2,69-51,,
6:01.0,,,69-51,,T. Burke misses 3-pt shot from 25 ft
6:00.0,Defensive rebound by P. Millsap,,69-51,,
5:55.0,P. Millsap misses 2-pt shot from 5 ft (block by J. Ingles),,69-51,,
5:55.0,,,69-51,,Utah full timeout
5:55.0,T. Sefolosha enters the game for K. Korver,,69-51,,
5:55.0,Jump ball: J. Ingles vs. P. Millsap (D. Carroll gains possession),,,,Jump ball: J. Ingles vs. P. Millsap (D. Carroll gains possession)
5:55.0,Offensive rebound by P. Millsap,,69-51,,
5:45.0,D. Carroll misses 3-pt shot from 22 ft,,69-51,,
5:44.0,,,69-51,,Defensive rebound by D. Favors
5:21.0,,,69-53,2,J. Ingles makes 2-pt shot from 1 ft (assist by D. Favors)
4:59.0,Shooting foul by T. Booker (drawn by P. Millsap),,69-53,,
4:59.0,P. Millsap makes free throw 1 of 2,1,70-53,,
4:59.0,,,70-53,,D. Exum enters the game for T. Burke
4:59.0,P. Millsap makes free throw 2 of 2,1,71-53,,
4:44.0,,,71-53,,G. Hayward misses 3-pt shot from 24 ft
4:41.0,,,71-53,,Offensive rebound by T. Booker
4:41.0,,,71-53,,T. Booker misses 2-pt shot at rim
4:39.0,,,71-53,,Offensive rebound by D. Exum
4:31.0,,,71-56,3,D. Exum makes 3-pt shot from 24 ft (assist by G. Hayward)
4:16.0,T. Sefolosha makes 2-pt shot from 3 ft (assist by J. Teague),2,73-56,,
3:57.0,,,73-56,,Turnover by J. Ingles (lost ball)
3:57.0,,,73-56,,Technical foul by J. Ingles
3:57.0,J. Teague makes technical free throw,1,74-56,,
3:47.0,Shooting foul by J. Ingles (drawn by P. Millsap),,74-56,,
3:47.0,P. Millsap makes free throw 1 of 2,1,75-56,,
3:47.0,P. Millsap makes free throw 2 of 2,1,76-56,,
3:32.0,,,76-58,2,G. Hayward makes 2-pt shot at rim
3:32.0,,,76-58,,Shooting foul by T. Sefolosha (drawn by G. Hayward)
3:32.0,,,76-59,1,G. Hayward makes free throw 1 of 1
3:32.0,Atlanta full timeout,,76-59,,
3:09.0,J. Teague makes 2-pt shot from 11 ft (assist by T. Sefolosha),2,78-59,,
2:55.0,,,78-61,2,G. Hayward makes 2-pt shot from 5 ft (assist by D. Exum)
2:43.0,E. Brand makes 2-pt shot from 11 ft (assist by J. Teague),2,80-61,,
2:23.0,,,80-63,2,G. Hayward makes 2-pt shot from 1 ft (assist by T. Booker)
1:58.0,T. Sefolosha makes 2-pt shot from 4 ft (assist by P. Millsap),2,82-63,,
1:43.0,,,82-63,,T. Booker misses 2-pt shot from 6 ft
1:42.0,Defensive rebound by E. Brand,,82-63,,
1:36.0,D. Carroll misses 2-pt shot from 2 ft,,82-63,,
1:34.0,,,82-63,,Defensive rebound by D. Favors
1:28.0,,,82-63,,G. Hayward misses 2-pt shot from 13 ft
1:27.0,Defensive rebound by J. Teague,,82-63,,
1:18.0,J. Teague misses 2-pt shot from 6 ft,,82-63,,
1:17.0,,,82-63,,Defensive rebound by D. Favors
1:08.0,,,82-65,2,T. Booker makes 2-pt shot from 2 ft (assist by D. Exum)
0:51.0,E. Brand misses 2-pt shot from 13 ft (block by J. Ingles),,82-65,,
0:47.0,,,82-65,,Defensive rebound by T. Booker
0:34.0,,,82-68,3,D. Exum makes 3-pt shot from 24 ft
0:15.0,J. Teague misses 2-pt shot from 8 ft,,82-68,,
0:13.0,,,82-68,,Defensive rebound by D. Favors
0:08.0,,,82-68,,D. Exum misses 3-pt shot from 22 ft
0:06.0,Defensive rebound by P. Millsap,,82-68,,
0:01.0,D. Carroll misses 3-pt shot from 25 ft,,82-68,,
0:00.0,Offensive rebound by Team,,82-68,,
0:00.0,End of 3rd quarter,,,,End of 3rd quarter
12:00.0,Start of 4th quarter,,,,Start of 4th quarter
11:46.0,A. Horford makes 2-pt shot from 2 ft (assist by T. Sefolosha),2,84-68,,
11:27.0,,,84-68,,E. Kanter misses 2-pt shot from 18 ft
11:25.0,Defensive rebound by A. Horford,,84-68,,
11:11.0,A. Horford misses 2-pt shot from 10 ft,,84-68,,
11:11.0,Offensive rebound by D. Schroder,,84-68,,
11:03.0,T. Sefolosha misses 3-pt shot from 22 ft,,84-68,,
11:02.0,,,84-68,,Defensive rebound by E. Kanter
10:44.0,,,84-68,,T. Burke misses 3-pt shot from 24 ft
10:43.0,,,84-68,,Offensive rebound by T. Burke
10:32.0,,,84-70,2,R. Gobert makes 2-pt shot at rim (assist by I. Clark)
10:09.0,M. Scott misses 2-pt shot from 11 ft (block by R. Gobert),,84-70,,
10:08.0,,,84-70,,Defensive rebound by T. Burke
10:04.0,,,84-70,,T. Burke misses 2-pt shot from 2 ft
10:01.0,Defensive rebound by D. Schroder,,84-70,,
9:56.0,M. Scott misses 3-pt shot from 24 ft,,84-70,,
9:54.0,,,84-70,,Defensive rebound by I. Clark
9:45.0,,,84-70,,I. Clark misses 3-pt shot from 25 ft
9:45.0,,,84-70,,Offensive rebound by I. Clark
9:39.0,,,84-73,3,J. Ingles makes 3-pt shot from 23 ft (assist by T. Burke)
9:18.0,M. Scott misses 2-pt shot from 5 ft,,84-73,,
9:16.0,Offensive rebound by K. Korver,,84-73,,
8:56.0,T. Sefolosha misses 2-pt shot from 5 ft (block by R. Gobert),,84-73,,
8:54.0,,,84-73,,Defensive rebound by J. Ingles
8:48.0,,,84-73,,Turnover by J. Ingles (lost ball; steal by T. Sefolosha)
8:43.0,M. Scott makes 2-pt shot from 1 ft (assist by T. Sefolosha),2,86-73,,
8:26.0,,,86-73,,Turnover by T. Burke (bad pass)
8:26.0,Official timeout,,86-73,,
8:26.0,K. Bazemore enters the game for T. Sefolosha,,86-73,,
8:26.0,,,86-73,,D. Exum enters the game for J. Ingles
8:08.0,Turnover by M. Scott (bad pass),,86-73,,
7:52.0,,,86-75,2,D. Exum makes 2-pt shot from 2 ft
7:39.0,M. Scott makes 2-pt shot from 10 ft (assist by D. Schroder),2,88-75,,
7:28.0,,,88-75,,E. Kanter misses 2-pt shot from 17 ft
7:26.0,Defensive rebound by K. Bazemore,,88-75,,
7:18.0,A. Horford makes 2-pt shot from 15 ft (assist by M. Scott),2,90-75,,
6:57.0,,,90-75,,E. Kanter misses 2-pt shot from 5 ft
6:56.0,Defensive rebound by A. Horford,,90-75,,
6:44.0,Turnover by A. Horford (bad pass),,90-75,,
6:27.0,,,90-75,,D. Exum misses 3-pt shot from 24 ft
6:27.0,,,90-75,,Offensive rebound by E. Kanter
6:27.0,,,90-77,2,E. Kanter makes 2-pt shot from 2 ft
6:27.0,,,90-77,,Shooting foul by K. Korver (drawn by E. Kanter)
6:27.0,,,90-77,,G. Hayward enters the game for I. Clark
6:27.0,,,90-78,1,E. Kanter makes free throw 1 of 1
6:16.0,D. Schroder misses 2-pt shot from 21 ft,,90-78,,
6:16.0,,,90-78,,Defensive rebound by R. Gobert
6:03.0,,,90-78,,T. Burke misses 3-pt shot from 24 ft
6:02.0,Defensive rebound by K. Bazemore,,90-78,,
5:58.0,Shooting foul by T. Burke (drawn by M. Scott),,90-78,,
5:58.0,,,90-78,,Utah full timeout
5:58.0,D. Carroll enters the game for K. Korver,,90-78,,
5:58.0,,,90-78,,D. Favors enters the game for E. Kanter
5:58.0,M. Scott misses free throw 1 of 2,,90-78,,
5:58.0,Offensive rebound by Team,,90-78,,
5:58.0,M. Scott makes free throw 2 of 2,1,91-78,,
5:36.0,,,91-80,2,T. Burke makes 2-pt shot from 21 ft
5:19.0,Turnover by A. Horford (bad pass; steal by D. Exum),,91-80,,
5:08.0,,,91-80,,Shooting foul by K. Bazemore (drawn by R. Gobert)
5:08.0,,,91-81,1,R. Gobert makes free throw 1 of 2
5:08.0,J. Teague enters the game for D. Schroder,,91-81,,
5:08.0,P. Millsap enters the game for M. Scott,,91-81,,
5:08.0,,,91-82,1,R. Gobert makes free throw 2 of 2
4:47.0,P. Millsap misses 2-pt shot from 12 ft,,91-82,,
4:45.0,,,91-82,,Defensive rebound by R. Gobert
4:37.0,,,91-82,,T. Burke misses 3-pt shot from 23 ft
4:37.0,Defensive rebound by P. Millsap,,91-82,,
4:27.0,,,91-82,,Personal foul by G. Hayward (drawn by D. Carroll)
4:15.0,K. Bazemore misses 3-pt shot from 25 ft,,91-82,,
4:14.0,,,91-82,,Defensive rebound by R. Gobert
4:06.0,,,91-85,3,G. Hayward makes 3-pt shot from 24 ft
3:45.0,A. Horford misses 2-pt shot from 2 ft (block by R. Gobert),,91-85,,
3:43.0,,,91-85,,Defensive rebound by T. Burke
3:38.0,,,91-87,2,G. Hayward makes 2-pt shot from 1 ft (assist by T. Burke)
3:37.0,Atlanta full timeout,,91-87,,
3:37.0,K. Korver enters the game for K. Bazemore,,91-87,,
3:37.0,E. Brand enters the game for A. Horford,,91-87,,
3:13.0,D. Carroll makes 2-pt shot from 22 ft (assist by K. Korver),2,93-87,,
3:03.0,,,93-87,,Shooting foul by P. Millsap (drawn by D. Favors)
3:03.0,,,93-87,,D. Favors misses free throw 1 of 2
3:03.0,,,93-87,,Offensive rebound by Team
3:03.0,,,93-87,,D. Favors misses free throw 2 of 2
3:02.0,Defensive rebound by E. Brand,,93-87,,
2:48.0,J. Teague makes 2-pt shot from 5 ft,2,95-87,,
2:28.0,,,95-87,,Shooting foul by P. Millsap (drawn by T. Burke)
2:28.0,,,95-88,1,T. Burke makes free throw 1 of 2
2:28.0,,,95-89,1,T. Burke makes free throw 2 of 2
2:09.0,J. Teague misses 2-pt shot from 8 ft (block by D. Favors),,95-89,,
2:08.0,,,95-89,,Defensive rebound by D. Favors
2:01.0,,,95-89,,D. Exum misses 3-pt shot from 23 ft
2:00.0,,,95-89,,Offensive rebound by G. Hayward
