time,Boston,pts.away,score,pts.home,Charlotte
6:57.0,,,42-37,,M. Williams enters the game for B. Biyombo
6:53.0,,,42-37,,Turnover by M. Williams (lost ball)
6:42.0,K. Olynyk misses 3-pt shot from 25 ft,,42-37,,
6:38.0,,,42-37,,Defensive rebound by G. Henderson
6:30.0,,,42-37,,P. Hairston misses 3-pt shot from 28 ft
6:28.0,Defensive rebound by G. Wallace,,42-37,,
6:08.0,K. Olynyk makes 2-pt shot from 6 ft,2,44-37,,
5:51.0,,,44-37,,Turnover by M. Williams (bad pass; steal by K. Olynyk)
5:46.0,G. Wallace makes 2-pt shot at rim (assist by A. Bradley),2,46-37,,
5:20.0,,,46-37,,Turnover by M. Williams (bad pass; steal by G. Wallace)
5:10.0,M. Smart makes 2-pt shot from 1 ft (assist by K. Olynyk),2,48-37,,
5:10.0,,,48-37,,Charlotte full timeout
5:10.0,Official timeout,,48-37,,
5:10.0,,,48-37,,J. Taylor enters the game for P. Hairston
5:10.0,,,48-37,,K. Walker enters the game for M. Williams
4:51.0,,,48-37,,G. Henderson misses 3-pt shot from 23 ft
4:50.0,Defensive rebound by A. Bradley,,48-37,,
4:39.0,,,48-37,,Personal foul by G. Henderson (drawn by G. Wallace)
4:29.0,G. Wallace misses 2-pt shot from 2 ft,,48-37,,
4:28.0,Offensive rebound by M. Smart,,48-37,,
4:28.0,M. Smart misses 2-pt shot from 1 ft,,48-37,,
4:26.0,,,48-37,,Defensive rebound by G. Henderson
4:04.0,,,48-37,,J. Taylor misses 2-pt shot from 1 ft
4:03.0,Defensive rebound by K. Olynyk,,48-37,,
3:54.0,M. Smart misses 2-pt shot from 2 ft (block by M. Williams),,48-37,,
3:52.0,,,48-37,,Defensive rebound by J. Taylor
3:46.0,,,48-37,,J. Taylor misses 3-pt shot from 25 ft
3:43.0,Defensive rebound by A. Bradley,,48-37,,
3:24.0,A. Bradley misses 2-pt shot from 20 ft,,48-37,,
3:23.0,,,48-37,,Defensive rebound by K. Walker
3:14.0,,,48-37,,Turnover by G. Henderson (lost ball; steal by G. Wallace)
3:08.0,A. Bradley makes 2-pt shot from 18 ft (assist by M. Smart),2,50-37,,
2:48.0,,,50-37,,Turnover by G. Henderson (bad pass; steal by M. Smart)
2:45.0,Turnover by M. Smart (bad pass; steal by K. Walker),,50-37,,
2:45.0,Personal foul by J. Jerebko (drawn by K. Walker),,50-37,,
2:45.0,Boston full timeout,,50-37,,
2:45.0,I. Thomas enters the game for M. Smart,,50-37,,
2:45.0,B. Bass enters the game for K. Olynyk,,50-37,,
2:45.0,T. Zeller enters the game for G. Wallace,,50-37,,
2:45.0,E. Turner enters the game for J. Jerebko,,50-37,,
2:45.0,,,50-37,,B. Roberts enters the game for G. Henderson
2:31.0,,,50-37,,A. Jefferson misses 2-pt shot from 2 ft
2:30.0,,,50-37,,Offensive rebound by J. Taylor
2:30.0,,,50-39,2,J. Taylor makes 2-pt shot from 1 ft
2:11.0,A. Bradley makes 2-pt shot at rim (assist by I. Thomas),2,52-39,,
1:53.0,,,52-42,3,M. Williams makes 3-pt shot from 25 ft (assist by A. Jefferson)
1:33.0,I. Thomas misses 2-pt shot from 18 ft,,52-42,,
1:31.0,Offensive rebound by T. Zeller,,52-42,,
1:31.0,T. Zeller makes 2-pt shot at rim,2,54-42,,
1:05.0,,,54-44,2,A. Jefferson makes 2-pt shot from 15 ft (assist by K. Walker)
0:49.0,E. Turner makes 2-pt shot from 1 ft,2,56-44,,
0:41.0,Personal foul by T. Zeller (drawn by K. Walker),,56-44,,
0:41.0,M. Smart enters the game for I. Thomas,,56-44,,
0:25.0,,,56-44,,Turnover by B. Roberts (bad pass; steal by M. Smart)
0:18.0,A. Bradley misses 2-pt shot at rim,,56-44,,
0:17.0,Offensive rebound by A. Bradley,,56-44,,
0:17.0,A. Bradley misses 2-pt shot from 1 ft,,56-44,,
0:15.0,Offensive rebound by A. Bradley,,56-44,,
0:14.0,Boston full timeout,,56-44,,
0:14.0,I. Thomas enters the game for M. Smart,,56-44,,
0:14.0,,,56-44,,B. Biyombo enters the game for A. Jefferson
0:14.0,,,56-44,,P. Hairston enters the game for B. Roberts
0:01.0,B. Bass misses 3-pt shot from 23 ft,,56-44,,
0:00.0,Offensive rebound by Team,,56-44,,
0:00.0,End of 2nd quarter,,,,End of 2nd quarter
12:00.0,Start of 3rd quarter,,,,Start of 3rd quarter
11:42.0,M. Smart misses 2-pt shot from 13 ft,,56-44,,
11:40.0,,,56-44,,Defensive rebound by J. Maxiell
11:27.0,,,56-44,,Turnover by A. Jefferson (bad pass; steal by M. Smart)
11:21.0,M. Smart makes 2-pt shot from 1 ft,2,58-44,,
10:53.0,,,58-44,,G. Henderson misses 2-pt shot from 15 ft
10:51.0,Defensive rebound by E. Turner,,58-44,,
10:40.0,A. Bradley makes 3-pt shot from 24 ft (assist by E. Turner),3,61-44,,
10:40.0,,,61-44,,Charlotte full timeout
10:28.0,,,61-44,,G. Henderson misses 2-pt shot from 16 ft
10:26.0,,,61-44,,Offensive rebound by J. Maxiell
10:16.0,,,61-46,2,K. Walker makes 2-pt shot from 17 ft (assist by J. Maxiell)
9:52.0,A. Bradley makes 3-pt shot from 25 ft,3,64-46,,
9:41.0,,,64-48,2,K. Walker makes 2-pt shot from 1 ft
9:41.0,,,64-48,,Shooting foul by A. Bradley (drawn by K. Walker)
9:41.0,,,64-49,1,K. Walker makes free throw 1 of 1
9:29.0,T. Zeller misses 2-pt shot from 18 ft,,64-49,,
9:27.0,,,64-49,,Defensive rebound by J. Taylor
9:14.0,,,64-49,,K. Walker misses 2-pt shot from 11 ft
9:11.0,Defensive rebound by M. Smart,,64-49,,
8:53.0,A. Bradley makes 2-pt shot from 18 ft (assist by B. Bass),2,66-49,,
8:43.0,,,66-49,,Shooting foul by B. Bass (drawn by K. Walker)
8:43.0,,,66-49,,K. Walker misses free throw 1 of 2
8:43.0,,,66-49,,Offensive rebound by Team
8:43.0,,,66-50,1,K. Walker makes free throw 2 of 2
8:30.0,A. Bradley misses 2-pt shot from 20 ft,,66-50,,
8:29.0,,,66-50,,Defensive rebound by A. Jefferson
8:15.0,,,66-53,3,G. Henderson makes 3-pt shot from 23 ft (assist by A. Jefferson)
7:58.0,E. Turner misses 3-pt shot from 26 ft,,66-53,,
7:57.0,,,66-53,,Defensive rebound by J. Maxiell
7:42.0,,,66-53,,K. Walker misses 2-pt shot from 1 ft
7:41.0,Defensive rebound by A. Bradley,,66-53,,
7:34.0,A. Bradley misses 2-pt shot from 16 ft,,66-53,,
7:33.0,,,66-53,,Defensive rebound by A. Jefferson
7:27.0,,,66-55,2,K. Walker makes 2-pt shot at rim
7:27.0,Boston full timeout,,66-55,,
7:05.0,E. Turner makes 2-pt shot from 10 ft,2,68-55,,
7:05.0,Shooting foul by J. Taylor (drawn by E. Turner),,68-55,,
7:05.0,E. Turner makes free throw 1 of 1,1,69-55,,
6:57.0,Personal foul by M. Smart (drawn by G. Henderson),,69-55,,
6:47.0,,,69-55,,G. Henderson misses 2-pt shot from 15 ft
6:46.0,Defensive rebound by E. Turner,,69-55,,
6:30.0,A. Bradley makes 2-pt shot from 1 ft,2,71-55,,
6:19.0,,,71-57,2,A. Jefferson makes 2-pt shot at rim (assist by K. Walker)
6:02.0,T. Zeller misses 2-pt shot from 3 ft (block by A. Jefferson),,71-57,,
6:02.0,Offensive rebound by Team,,71-57,,
5:55.0,E. Turner makes 2-pt shot from 10 ft (assist by B. Bass),2,73-57,,
5:42.0,,,73-57,,G. Henderson misses 2-pt shot from 1 ft
5:39.0,Defensive rebound by B. Bass,,73-57,,
5:20.0,E. Turner misses 2-pt shot at rim,,73-57,,
5:18.0,,,73-57,,Defensive rebound by J. Maxiell
5:09.0,,,73-57,,A. Jefferson misses 2-pt shot from 17 ft
5:08.0,Defensive rebound by B. Bass,,73-57,,
4:51.0,B. Bass misses 2-pt shot from 19 ft,,73-57,,
4:50.0,Offensive rebound by B. Bass,,73-57,,
4:45.0,A. Bradley misses 3-pt shot from 24 ft,,73-57,,
4:44.0,Offensive rebound by M. Smart,,73-57,,
4:44.0,Shooting foul by J. Taylor (drawn by B. Bass),,73-57,,
4:44.0,B. Bass misses free throw 1 of 2,,73-57,,
4:44.0,Offensive rebound by Team,,73-57,,
4:44.0,,,73-57,,P. Hairston enters the game for J. Taylor
4:44.0,,,73-57,,M. Williams enters the game for J. Maxiell
4:44.0,B. Bass makes free throw 2 of 2,1,74-57,,
4:20.0,,,74-59,2,A. Jefferson makes 2-pt shot from 6 ft (assist by K. Walker)
4:01.0,T. Zeller misses 2-pt shot from 2 ft (block by M. Williams),,74-59,,
3:59.0,,,74-59,,Defensive rebound by M. Williams
3:56.0,,,74-59,,K. Walker misses 2-pt shot from 2 ft (block by M. Smart)
3:52.0,Defensive rebound by B. Bass,,74-59,,
3:47.0,A. Bradley makes 3-pt shot from 25 ft (assist by E. Turner),3,77-59,,
3:33.0,,,77-61,2,G. Henderson makes 2-pt shot from 17 ft (assist by A. Jefferson)
3:15.0,A. Bradley makes 2-pt shot from 18 ft (assist by T. Zeller),2,79-61,,
3:12.0,,,79-61,,Charlotte full timeout
3:12.0,I. Thomas enters the game for M. Smart,,79-61,,
3:12.0,,,79-61,,M. Williams enters the game for A. Jefferson
3:12.0,,,79-61,,B. Biyombo enters the game for G. Henderson
2:54.0,,,79-61,,K. Walker misses 2-pt shot from 16 ft
2:52.0,Defensive rebound by E. Turner,,79-61,,
2:48.0,B. Bass makes 2-pt shot at rim (assist by E. Turner),2,81-61,,
2:35.0,,,81-61,,M. Williams misses 2-pt shot at rim
2:33.0,,,81-61,,Offensive rebound by B. Biyombo
2:30.0,Personal foul by B. Bass (drawn by M. Williams),,81-61,,
2:30.0,J. Crowder enters the game for B. Bass,,81-61,,
2:30.0,K. Olynyk enters the game for T. Zeller,,81-61,,
2:19.0,,,81-61,,P. Hairston misses 2-pt shot from 1 ft
2:18.0,Defensive rebound by E. Turner,,81-61,,
2:06.0,I. Thomas makes 2-pt shot at rim,2,83-61,,
1:48.0,,,83-63,2,M. Williams makes 2-pt shot from 2 ft
1:48.0,,,83-63,,Shooting foul by K. Olynyk (drawn by M. Williams)
1:48.0,,,83-64,1,M. Williams makes free throw 1 of 1
1:28.0,E. Turner misses 2-pt shot from 18 ft,,83-64,,
1:27.0,,,83-64,,Defensive rebound by P. Hairston
1:10.0,,,83-64,,Shooting foul by I. Thomas (drawn by M. Williams)
1:10.0,,,83-65,1,M. Williams makes free throw 1 of 3
1:10.0,,,83-66,1,M. Williams makes free throw 2 of 3
1:10.0,J. Jerebko enters the game for E. Turner,,83-66,,
1:10.0,,,83-67,1,M. Williams makes free throw 3 of 3
0:57.0,A. Bradley misses 3-pt shot from 26 ft,,83-67,,
0:55.0,Offensive rebound by J. Jerebko,,83-67,,
0:32.0,K. Olynyk makes 2-pt shot from 7 ft,2,85-67,,
0:06.0,,,85-67,,K. Walker misses 3-pt shot from 25 ft
0:04.0,,,85-67,,Offensive rebound by M. Williams
0:04.0,,,85-69,2,M. Williams makes 2-pt shot at rim
0:00.0,End of 3rd quarter,,,,End of 3rd quarter
12:00.0,Start of 4th quarter,,,,Start of 4th quarter
11:43.0,,,85-69,,Turnover by M. Williams (lost ball)
11:37.0,,,85-69,,Personal foul by G. Henderson (drawn by G. Wallace)
11:25.0,K. Olynyk misses 3-pt shot from 24 ft,,85-69,,
11:23.0,,,85-69,,Defensive rebound by M. Williams
11:10.0,,,85-69,,M. Williams misses 3-pt shot from 25 ft
11:09.0,Defensive rebound by G. Wallace,,85-69,,
10:57.0,G. Wallace misses flagrant free throw 1 of 2,,85-69,,
10:57.0,Offensive rebound by Team,,85-69,,
10:57.0,G. Wallace misses flagrant free throw 2 of 2,,85-69,,
10:49.0,Offensive rebound by K. Olynyk,,85-69,,
10:49.0,K. Olynyk makes 2-pt shot from 15 ft (assist by J. Jerebko),2,87-69,,
10:35.0,,,87-71,2,M. Williams makes 2-pt shot from 16 ft
10:25.0,,,87-71,,Personal foul by B. Biyombo (drawn by I. Thomas)
10:25.0,,,87-71,,K. Walker enters the game for P. Hairston
10:21.0,I. Thomas makes 3-pt shot from 25 ft (assist by G. Wallace),3,90-71,,
9:59.0,,,90-73,2,M. Williams makes 2-pt shot from 3 ft
9:48.0,G. Wallace makes 2-pt shot at rim (assist by I. Thomas),2,92-73,,
9:35.0,,,92-73,,Charlotte full timeout
9:35.0,M. Smart enters the game for J. Crowder,,92-73,,
9:27.0,,,92-75,2,G. Henderson makes 2-pt shot from 2 ft (assist by K. Walker)
9:27.0,,,92-75,,Shooting foul by I. Thomas (drawn by G. Henderson)
9:27.0,,,92-76,1,G. Henderson makes free throw 1 of 1
9:11.0,K. Olynyk misses 2-pt shot from 10 ft,,92-76,,
9:10.0,,,92-76,,Defensive rebound by B. Biyombo
9:01.0,,,92-78,2,M. Williams makes 2-pt shot from 17 ft
8:42.0,Shooting foul by G. Henderson (drawn by M. Smart),,92-78,,
8:42.0,M. Smart makes free throw 1 of 2,1,93-78,,
8:42.0,J. Crowder enters the game for G. Wallace,,93-78,,
8:42.0,,,93-78,,J. Taylor enters the game for G. Henderson
8:42.0,M. Smart misses free throw 2 of 2,,93-78,,
8:40.0,,,93-78,,Defensive rebound by M. Williams
8:27.0,,,93-81,3,M. Williams makes 3-pt shot from 25 ft (assist by K. Walker)
8:10.0,I. Thomas misses 3-pt shot from 25 ft,,93-81,,
8:08.0,,,93-81,,Defensive rebound by K. Walker
8:00.0,,,93-81,,M. Williams misses 3-pt shot from 26 ft
8:00.0,,,93-81,,Offensive rebound by M. Williams
8:00.0,,,93-81,,M. Williams misses 3-pt shot from 26 ft
8:00.0,,,93-81,,Offensive rebound by Team
8:00.0,Loose ball foul by K. Olynyk (drawn by B. Biyombo),,93-81,,
8:00.0,A. Bradley enters the game for I. Thomas,,93-81,,
8:00.0,T. Zeller enters the game for K. Olynyk,,93-81,,
7:47.0,,,93-83,2,B. Biyombo makes 2-pt shot at rim (assist by M. Williams)
7:30.0,Shooting foul by J. Taylor (drawn by J. Crowder),,93-83,,
7:30.0,J. Crowder makes free throw 1 of 2,1,94-83,,
7:30.0,J. Crowder makes free throw 2 of 2,1,95-83,,
7:14.0,,,95-83,,M. Williams misses 3-pt shot from 30 ft
7:12.0,Defensive rebound by Team,,95-83,,
6:52.0,J. Crowder misses 3-pt shot from 30 ft,,95-83,,
6:50.0,,,95-83,,Defensive rebound by M. Williams
6:45.0,,,95-83,,Shooting foul by M. Smart (drawn by M. Williams)
6:45.0,,,95-84,1,M. Williams makes free throw 1 of 2
6:45.0,,,95-85,1,M. Williams makes free throw 2 of 2
6:31.0,J. Crowder misses 2-pt shot from 1 ft (block by M. Williams),,95-85,,
6:30.0,Offensive rebound by J. Crowder,,95-85,,
6:30.0,J. Crowder misses 2-pt shot from 1 ft (block by B. Biyombo),,95-85,,
6:30.0,Offensive rebound by Team,,95-85,,
6:30.0,Boston full timeout,,95-85,,
6:30.0,E. Turner enters the game for J. Jerebko,,95-85,,
6:27.0,A. Bradley makes 2-pt shot from 20 ft (assist by M. Smart),2,97-85,,
6:11.0,,,97-88,3,J. Taylor makes 3-pt shot from 22 ft (assist by K. Walker)
5:54.0,T. Zeller makes 2-pt shot from 7 ft (assist by J. Crowder),2,99-88,,
5:43.0,,,99-88,,M. Williams misses 3-pt shot from 27 ft
5:42.0,Defensive rebound by T. Zeller,,99-88,,
5:23.0,T. Zeller misses 2-pt shot from 16 ft,,99-88,,
5:21.0,,,99-88,,Defensive rebound by J. Taylor
5:07.0,,,99-90,2,K. Walker makes 2-pt shot from 10 ft
4:42.0,J. Crowder makes 3-pt shot from 25 ft (assist by M. Smart),3,102-90,,
4:13.0,,,102-90,,M. Williams misses 2-pt shot from 1 ft
4:13.0,,,102-90,,Offensive rebound by Team
4:13.0,,,102-90,,Turnover by Team (shot clock)
4:13.0,B. Bass enters the game for T. Zeller,,102-90,,
3:57.0,Turnover by J. Crowder (lost ball; steal by M. Williams),,102-90,,
3:46.0,,,102-92,2,M. Williams makes 2-pt shot from 1 ft (assist by K. Walker)
3:29.0,E. Turner makes 2-pt shot from 17 ft,2,104-92,,
3:03.0,,,104-95,3,K. Walker makes 3-pt shot from 26 ft
2:48.0,Shooting foul by M. Williams (drawn by J. Crowder),,104-95,,
2:48.0,,,104-95,,G. Henderson enters the game for J. Taylor
2:48.0,J. Crowder makes free throw 1 of 2,1,105-95,,
2:48.0,J. Crowder makes free throw 2 of 2,1,106-95,,
2:31.0,,,106-95,,M. Williams misses 2-pt shot from 11 ft
2:30.0,Defensive rebound by E. Turner,,106-95,,
2:18.0,Turnover by M. Smart (bad pass),,106-95,,
2:18.0,Loose ball foul by A. Bradley (drawn by K. Walker),,106-95,,
2:12.0,Personal foul by M. Smart (drawn by K. Walker),,106-95,,
2:12.0,,,106-96,1,K. Walker makes free throw 1 of 2
2:12.0,I. Thomas enters the game for M. Smart,,106-96,,
2:12.0,,,106-97,1,K. Walker makes free throw 2 of 2
1:47.0,A. Bradley misses 3-pt shot from 25 ft,,106-97,,
1:46.0,,,106-97,,Defensive rebound by B. Biyombo
1:29.0,,,106-97,,M. Williams misses 3-pt shot from 23 ft
1:27.0,Defensive rebound by A. Bradley,,106-97,,
1:11.0,E. Turner makes 2-pt shot from 18 ft,2,108-97,,
1:04.0,,,108-100,3,K. Walker makes 3-pt shot from 26 ft
1:00.0,Turnover by I. Thomas (offensive foul),,108-100,,
1:00.0,Offensive foul by I. Thomas,,108-100,,
1:00.0,M. Smart enters the game for I. Thomas,,108-100,,
0:55.0,,,108-100,,K. Walker misses 3-pt shot from 25 ft
0:53.0,,,108-100,,Offensive rebound by K. Walker
0:53.0,,,108-102,2,K. Walker makes 2-pt shot from 1 ft
0:41.0,Shooting foul by B. Biyombo (drawn by B. Bass),,108-102,,
0:41.0,B. Bass makes free throw 1 of 2,1,109-102,,
0:41.0,B. Bass makes free throw 2 of 2,1,110-102,,
