time,Washington,pts.away,score,pts.home,Cleveland
7:57.0,R. Sessions misses 2-pt shot from 12 ft,,9-6,,
7:56.0,,,9-6,,Defensive rebound by T. Mozgov
7:48.0,,,9-6,,J. Smith misses 3-pt shot from 27 ft
7:47.0,Defensive rebound by R. Butler,,9-6,,
7:44.0,Shooting foul by M. Miller (drawn by R. Sessions),,9-6,,
7:44.0,R. Sessions makes free throw 1 of 2,1,10-6,,
7:44.0,R. Sessions makes free throw 2 of 2,1,11-6,,
7:30.0,,,11-8,2,T. Mozgov makes 2-pt shot from 17 ft (assist by J. Smith)
7:19.0,R. Butler makes 2-pt shot from 18 ft (assist by R. Sessions),2,13-8,,
7:00.0,,,13-8,,J. Smith misses 2-pt shot from 1 ft
6:59.0,Defensive rebound by M. Gortat,,13-8,,
6:45.0,K. Humphries makes 2-pt shot from 20 ft (assist by M. Gortat),2,15-8,,
6:44.0,,,15-8,,Cleveland full timeout
6:28.0,,,15-8,,K. Love misses 2-pt shot from 20 ft
6:27.0,Defensive rebound by O. Porter,,15-8,,
6:16.0,O. Porter makes 2-pt shot from 17 ft (assist by M. Gortat),2,17-8,,
5:55.0,,,17-8,,Shooting foul by O. Porter (drawn by T. Mozgov)
5:55.0,,,17-8,,T. Mozgov misses free throw 1 of 2
5:55.0,,,17-8,,Offensive rebound by Team
5:55.0,,,17-8,,S. Marion enters the game for M. Miller
5:55.0,,,17-8,,T. Mozgov misses free throw 2 of 2
5:54.0,Defensive rebound by M. Gortat,,17-8,,
5:41.0,O. Porter misses 3-pt shot from 24 ft,,17-8,,
5:39.0,Offensive rebound by M. Gortat,,17-8,,
5:34.0,M. Gortat makes 2-pt shot from 5 ft,2,19-8,,
5:28.0,,,19-8,,Turnover by J. Smith (bad pass; steal by M. Gortat)
5:23.0,R. Sessions misses 2-pt shot at rim,,19-8,,
5:20.0,,,19-8,,Defensive rebound by K. Love
5:14.0,,,19-8,,K. Irving misses 3-pt shot from 25 ft
5:13.0,Defensive rebound by O. Porter,,19-8,,
5:00.0,M. Gortat makes 2-pt shot from 7 ft,2,21-8,,
4:43.0,,,21-8,,J. Smith misses 3-pt shot from 24 ft
4:42.0,Defensive rebound by R. Butler,,21-8,,
4:33.0,K. Humphries makes 2-pt shot from 17 ft (assist by R. Sessions),2,23-8,,
4:16.0,,,23-11,3,K. Love makes 3-pt shot from 25 ft (assist by J. Smith)
3:54.0,M. Gortat makes 2-pt shot from 15 ft (assist by R. Sessions),2,25-11,,
3:39.0,,,25-13,2,K. Irving makes 2-pt shot from 17 ft
3:20.0,M. Gortat misses 2-pt shot from 9 ft,,25-13,,
3:19.0,,,25-13,,Defensive rebound by K. Love
3:11.0,,,25-16,3,K. Love makes 3-pt shot from 24 ft (assist by K. Irving)
3:03.0,Washington full timeout,,25-16,,
3:03.0,K. Seraphin enters the game for R. Butler,,25-16,,
3:03.0,M. Webster enters the game for M. Gortat,,25-16,,
3:03.0,,,25-16,,I. Shumpert enters the game for T. Mozgov
3:03.0,,,25-16,,M. Dellavedova enters the game for J. Smith
3:03.0,,,25-16,,T. Thompson enters the game for K. Irving
2:50.0,K. Seraphin misses 2-pt shot from 16 ft,,25-16,,
2:49.0,,,25-16,,Defensive rebound by S. Marion
2:37.0,,,25-16,,Offensive foul by T. Thompson
2:37.0,,,25-16,,Turnover by T. Thompson (offensive foul)
2:21.0,K. Seraphin misses 2-pt shot from 8 ft,,25-16,,
2:18.0,,,25-16,,Defensive rebound by S. Marion
2:09.0,,,25-18,2,K. Love makes 2-pt shot from 11 ft (assist by S. Marion)
1:50.0,R. Sessions makes 3-pt shot from 24 ft,3,28-18,,
1:42.0,,,28-18,,Turnover by M. Dellavedova (bad pass; steal by M. Webster)
1:38.0,R. Sessions misses 2-pt shot from 1 ft,,28-18,,
1:35.0,Offensive rebound by M. Webster,,28-18,,
1:35.0,M. Webster misses 2-pt shot at rim,,28-18,,
1:32.0,,,28-18,,Defensive rebound by T. Thompson
1:28.0,,,28-18,,I. Shumpert misses 3-pt shot from 24 ft
1:27.0,,,28-18,,Offensive rebound by T. Thompson
1:24.0,,,28-18,,K. Love misses 2-pt shot from 4 ft
1:23.0,,,28-18,,Offensive rebound by S. Marion
1:21.0,,,28-18,,S. Marion misses 2-pt shot from 5 ft
1:19.0,Defensive rebound by K. Seraphin,,28-18,,
0:59.0,K. Humphries misses 3-pt shot from 26 ft,,28-18,,
0:58.0,,,28-18,,Defensive rebound by M. Dellavedova
0:55.0,,,28-18,,Turnover by M. Dellavedova (bad pass)
0:55.0,W. Bynum enters the game for R. Sessions,,28-18,,
0:36.0,W. Bynum misses 3-pt shot from 24 ft,,28-18,,
0:35.0,,,28-18,,Defensive rebound by Team
0:35.0,,,28-18,,J. Jones enters the game for K. Love
0:25.0,,,28-20,2,T. Thompson makes 2-pt shot at rim (assist by M. Dellavedova)
0:03.0,K. Seraphin misses 2-pt shot from 9 ft,,28-20,,
0:01.0,Offensive rebound by O. Porter,,28-20,,
0:00.0,O. Porter misses 2-pt shot from 3 ft,,28-20,,
0:00.0,Offensive rebound by Team,,28-20,,
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:46.0,K. Seraphin makes 2-pt shot from 4 ft (assist by W. Bynum),2,30-20,,
11:46.0,Shooting foul by J. Jones (drawn by K. Seraphin),,30-20,,
11:46.0,K. Seraphin misses free throw 1 of 1,,30-20,,
11:45.0,,,30-20,,Defensive rebound by T. Thompson
11:27.0,,,30-22,2,T. Thompson makes 2-pt shot at rim (assist by K. Irving)
11:16.0,W. Bynum makes 2-pt shot from 16 ft,2,32-22,,
10:54.0,,,32-24,2,T. Thompson makes 2-pt shot from 7 ft (assist by K. Irving)
10:39.0,K. Seraphin makes 2-pt shot from 11 ft,2,34-24,,
10:22.0,,,34-24,,K. Irving misses 2-pt shot from 16 ft
10:22.0,,,34-24,,Offensive rebound by T. Thompson
10:16.0,,,34-27,3,K. Irving makes 3-pt shot from 24 ft (assist by T. Thompson)
9:59.0,D. Blair makes 2-pt shot from 1 ft (assist by M. Webster),2,36-27,,
9:36.0,,,36-27,,K. Irving misses 2-pt shot from 6 ft
9:34.0,Defensive rebound by D. Blair,,36-27,,
9:28.0,M. Webster makes 2-pt shot from 17 ft (assist by W. Bynum),2,38-27,,
9:10.0,,,38-27,,T. Thompson misses 2-pt shot from 6 ft (block by K. Seraphin)
9:07.0,,,38-27,,Offensive rebound by J. Jones
9:02.0,,,38-27,,J. Jones misses 2-pt shot from 3 ft
9:01.0,Defensive rebound by D. Blair,,38-27,,
8:51.0,W. Bynum makes 2-pt shot from 19 ft,2,40-27,,
8:45.0,,,40-27,,Cleveland full timeout
8:45.0,,,40-27,,K. Perkins enters the game for S. Marion
8:45.0,,,40-27,,K. Love enters the game for T. Thompson
8:32.0,,,40-27,,Shooting foul by D. Blair (drawn by K. Love)
8:32.0,,,40-28,1,K. Love makes free throw 1 of 2
8:32.0,,,40-29,1,K. Love makes free throw 2 of 2
8:17.0,Turnover by K. Seraphin (lost ball),,40-29,,
8:04.0,,,40-31,2,K. Irving makes 2-pt shot from 5 ft
7:47.0,D. Blair makes 2-pt shot from 5 ft (assist by W. Bynum),2,42-31,,
7:32.0,,,42-33,2,K. Perkins makes 2-pt shot at rim (assist by K. Irving)
7:19.0,D. Blair makes 2-pt shot from 6 ft (assist by W. Bynum),2,44-33,,
7:05.0,,,44-33,,Turnover by K. Irving (bad pass; steal by K. Seraphin)
6:53.0,,,44-33,,Personal foul by I. Shumpert (drawn by M. Webster)
6:53.0,M. Webster makes free throw 1 of 3,1,45-33,,
6:53.0,M. Webster makes free throw 2 of 3,1,46-33,,
6:53.0,,,46-33,,M. Miller enters the game for J. Jones
6:53.0,M. Webster misses free throw 3 of 3,,46-33,,
6:53.0,,,46-33,,Defensive rebound by I. Shumpert
6:36.0,,,46-36,3,K. Love makes 3-pt shot from 23 ft (assist by K. Irving)
6:24.0,K. Seraphin makes 2-pt shot from 10 ft (assist by W. Bynum),2,48-36,,
6:07.0,,,48-36,,K. Love misses 2-pt shot from 21 ft
6:06.0,Defensive rebound by K. Seraphin,,48-36,,
6:03.0,Turnover by K. Seraphin (bad pass; steal by K. Irving),,48-36,,
6:00.0,,,48-36,,K. Irving misses 3-pt shot from 26 ft
6:00.0,Defensive rebound by Team,,48-36,,
6:00.0,Washington full timeout,,48-36,,
5:46.0,R. Butler misses 2-pt shot from 6 ft,,48-36,,
5:43.0,,,48-36,,Defensive rebound by K. Irving
5:39.0,,,48-36,,I. Shumpert misses 2-pt shot from 20 ft
5:38.0,Defensive rebound by W. Bynum,,48-36,,
5:33.0,W. Bynum makes 2-pt shot at rim,2,50-36,,
5:20.0,,,50-36,,Offensive foul by K. Perkins
5:20.0,,,50-36,,Turnover by K. Perkins (offensive foul)
5:07.0,W. Bynum misses 2-pt shot from 20 ft,,50-36,,
5:01.0,Offensive rebound by D. Blair,,50-36,,
5:01.0,D. Blair misses 2-pt shot at rim,,50-36,,
5:00.0,,,50-36,,Defensive rebound by K. Irving
4:52.0,,,50-36,,Shooting foul by D. Blair (drawn by K. Perkins)
4:52.0,,,50-37,1,K. Perkins makes free throw 1 of 2
4:52.0,K. Humphries enters the game for D. Blair,,50-37,,
4:52.0,,,50-37,,Violation by K. Perkins (lane)
4:52.0,,,50-37,,T. Mozgov enters the game for K. Perkins
4:52.0,,,50-37,,K. Perkins misses free throw 2 of 2
4:52.0,Defensive rebound by Team,,50-37,,
4:41.0,W. Bynum makes 2-pt shot from 5 ft,2,52-37,,
4:24.0,,,52-40,3,K. Love makes 3-pt shot from 24 ft (assist by K. Irving)
4:07.0,K. Humphries misses 2-pt shot from 18 ft,,52-40,,
4:06.0,,,52-40,,Defensive rebound by Team
3:51.0,,,52-40,,Turnover by K. Love (bad pass; steal by R. Butler)
3:35.0,W. Bynum misses 2-pt shot from 14 ft,,52-40,,
3:34.0,,,52-40,,Defensive rebound by M. Miller
3:22.0,,,52-42,2,T. Mozgov makes 2-pt shot from 5 ft
3:05.0,Shooting foul by T. Mozgov (drawn by K. Humphries),,52-42,,
3:05.0,K. Humphries makes free throw 1 of 2,1,53-42,,
3:05.0,,,53-42,,M. Dellavedova enters the game for K. Irving
3:05.0,R. Sessions enters the game for W. Bynum,,53-42,,
3:05.0,O. Porter enters the game for M. Webster,,53-42,,
3:05.0,K. Humphries makes free throw 2 of 2,1,54-42,,
2:53.0,,,54-42,,K. Love misses 2-pt shot from 18 ft
2:51.0,,,54-42,,Offensive rebound by T. Mozgov
2:39.0,,,54-42,,M. Dellavedova misses 2-pt shot from 8 ft
2:36.0,Defensive rebound by K. Seraphin,,54-42,,
2:32.0,K. Humphries misses 2-pt shot from 10 ft,,54-42,,
2:29.0,,,54-42,,Defensive rebound by I. Shumpert
2:16.0,,,54-45,3,K. Love makes 3-pt shot from 25 ft (assist by M. Dellavedova)
1:50.0,R. Butler misses 2-pt shot from 19 ft,,54-45,,
1:49.0,,,54-45,,Defensive rebound by Team
1:49.0,Official timeout,,54-45,,
1:49.0,,,54-45,,T. Thompson enters the game for K. Love
1:28.0,,,54-45,,T. Mozgov misses 2-pt shot from 9 ft
1:27.0,Defensive rebound by K. Humphries,,54-45,,
1:10.0,Turnover by O. Porter (bad pass; steal by I. Shumpert),,54-45,,
1:04.0,,,54-47,2,I. Shumpert makes 2-pt shot from 14 ft
0:41.0,R. Sessions misses 2-pt shot from 8 ft,,54-47,,
0:39.0,,,54-47,,Defensive rebound by T. Thompson
0:35.0,,,54-50,3,M. Dellavedova makes 3-pt shot from 25 ft (assist by T. Thompson)
0:28.0,R. Butler misses 3-pt shot from 23 ft,,54-50,,
0:26.0,Offensive rebound by K. Seraphin,,54-50,,
0:26.0,K. Seraphin misses 2-pt shot at rim,,54-50,,
0:25.0,Offensive rebound by K. Seraphin,,54-50,,
0:25.0,K. Seraphin makes 2-pt shot at rim,2,56-50,,
0:24.0,Personal foul by K. Humphries (drawn by M. Dellavedova),,56-50,,
0:24.0,,,56-50,,Cleveland full timeout
0:24.0,,,56-50,,J. Jones enters the game for T. Thompson
0:01.0,,,56-53,3,J. Jones makes 3-pt shot from 22 ft (assist by M. Dellavedova)
0:00.0,End of 2nd quarter,,,,End of 2nd quarter
12:00.0,Start of 3rd quarter,,,,Start of 3rd quarter
11:37.0,M. Gortat makes 2-pt shot from 9 ft,2,58-53,,
11:12.0,,,58-53,,T. Thompson misses 2-pt shot from 7 ft
11:11.0,Defensive rebound by M. Gortat,,58-53,,
11:08.0,Turnover by O. Porter (lost ball),,58-53,,
10:58.0,,,58-55,2,I. Shumpert makes 2-pt shot from 1 ft
10:44.0,,,58-55,,Personal foul by M. Miller (drawn by O. Porter)
10:33.0,,,58-55,,Personal foul by M. Miller (drawn by M. Gortat)
10:26.0,R. Butler makes 3-pt shot from 25 ft (assist by K. Humphries),3,61-55,,
10:06.0,,,61-55,,J. Jones misses 2-pt shot from 19 ft
10:05.0,,,61-55,,Offensive rebound by T. Thompson
9:50.0,,,61-58,3,M. Miller makes 3-pt shot from 24 ft (assist by M. Dellavedova)
9:27.0,M. Gortat misses 2-pt shot from 13 ft,,61-58,,
9:27.0,Offensive rebound by Team,,61-58,,
9:27.0,,,61-58,,Loose ball foul by J. Jones (drawn by K. Humphries)
9:08.0,M. Gortat misses 2-pt shot from 6 ft,,61-58,,
9:05.0,,,61-58,,Defensive rebound by I. Shumpert
8:53.0,,,61-61,3,I. Shumpert makes 3-pt shot from 25 ft (assist by M. Dellavedova)
8:31.0,M. Gortat misses 2-pt shot from 12 ft,,61-61,,
8:30.0,,,61-61,,Defensive rebound by T. Thompson
8:20.0,,,61-61,,M. Miller misses 3-pt shot from 29 ft
8:19.0,Defensive rebound by M. Gortat,,61-61,,
8:14.0,Shooting foul by M. Dellavedova (drawn by R. Sessions),,61-61,,
8:14.0,R. Sessions misses free throw 1 of 2,,61-61,,
8:14.0,Offensive rebound by Team,,61-61,,
8:14.0,R. Sessions misses free throw 2 of 2,,61-61,,
8:14.0,Offensive rebound by Team,,61-61,,
8:14.0,,,61-61,,Loose ball foul by J. Jones (drawn by K. Humphries)
8:14.0,K. Humphries makes free throw 1 of 2,1,62-61,,
8:14.0,K. Humphries makes free throw 2 of 2,1,63-61,,
8:01.0,,,63-61,,I. Shumpert misses 3-pt shot from 23 ft
8:00.0,,,63-61,,Offensive rebound by I. Shumpert
7:54.0,,,63-61,,J. Jones misses 3-pt shot from 24 ft
7:52.0,Defensive rebound by R. Sessions,,63-61,,
7:37.0,R. Butler misses 3-pt shot from 25 ft,,63-61,,
7:36.0,Offensive rebound by K. Humphries,,63-61,,
7:20.0,R. Butler makes 2-pt shot from 17 ft (assist by M. Gortat),2,65-61,,
7:04.0,,,65-61,,M. Dellavedova misses 3-pt shot from 25 ft
7:03.0,Defensive rebound by O. Porter,,65-61,,
6:50.0,M. Gortat misses 2-pt shot from 10 ft,,65-61,,
6:49.0,,,65-61,,Defensive rebound by I. Shumpert
6:37.0,,,65-61,,Shooting foul by M. Gortat (drawn by T. Thompson)
6:37.0,,,65-62,1,T. Thompson makes free throw 1 of 2
6:37.0,M. Webster enters the game for O. Porter,,65-62,,
6:37.0,K. Seraphin enters the game for M. Gortat,,65-62,,
6:37.0,,,65-62,,S. Marion enters the game for M. Miller
6:37.0,,,65-62,,K. Perkins enters the game for J. Jones
6:37.0,,,65-63,1,T. Thompson makes free throw 2 of 2
6:19.0,K. Seraphin misses 2-pt shot from 11 ft,,65-63,,
6:18.0,,,65-63,,Defensive rebound by M. Dellavedova
5:58.0,,,65-63,,I. Shumpert misses 2-pt shot from 19 ft
5:56.0,Defensive rebound by R. Butler,,65-63,,
5:33.0,R. Sessions makes 2-pt shot from 19 ft (assist by R. Butler),2,67-63,,
5:12.0,,,67-65,2,T. Thompson makes 2-pt shot at rim (assist by M. Dellavedova)
4:44.0,R. Butler misses 3-pt shot from 25 ft,,67-65,,
4:43.0,,,67-65,,Defensive rebound by I. Shumpert
4:27.0,,,67-65,,Turnover by K. Perkins (lost ball)
4:27.0,,,67-65,,Cleveland full timeout
4:27.0,,,67-65,,J. Harris enters the game for I. Shumpert
4:14.0,M. Webster makes 3-pt shot from 25 ft (assist by R. Sessions),3,70-65,,
4:00.0,,,70-65,,Turnover by J. Harris (step out of bounds)
3:44.0,,,70-65,,Personal foul by J. Harris (drawn by M. Webster)
3:44.0,M. Webster makes free throw 1 of 2,1,71-65,,
3:44.0,M. Webster makes free throw 2 of 2,1,72-65,,
3:28.0,,,72-65,,Shooting foul by K. Seraphin (drawn by T. Thompson)
3:28.0,,,72-66,1,T. Thompson makes free throw 1 of 2
3:28.0,,,72-67,1,T. Thompson makes free throw 2 of 2
3:14.0,R. Butler makes 2-pt shot from 6 ft (assist by K. Seraphin),2,74-67,,
2:48.0,,,74-67,,S. Marion misses 2-pt shot from 8 ft (block by R. Butler)
2:45.0,Defensive rebound by M. Webster,,74-67,,
2:41.0,R. Butler misses 2-pt shot from 2 ft (block by T. Thompson),,74-67,,
2:40.0,,,74-67,,Defensive rebound by S. Marion
2:33.0,,,74-70,3,J. Harris makes 3-pt shot from 26 ft (assist by M. Dellavedova)
2:24.0,Washington full timeout,,74-70,,
2:24.0,,,74-70,,I. Shumpert enters the game for M. Dellavedova
2:24.0,W. Bynum enters the game for R. Sessions,,74-70,,
2:07.0,W. Bynum misses 3-pt shot from 26 ft,,74-70,,
2:06.0,Offensive rebound by K. Seraphin,,74-70,,
1:48.0,M. Webster makes 2-pt shot from 14 ft,2,76-70,,
1:32.0,,,76-72,2,I. Shumpert makes 2-pt shot at rim
1:20.0,M. Webster misses 3-pt shot from 24 ft,,76-72,,
1:19.0,,,76-72,,Defensive rebound by T. Thompson
1:04.0,,,76-72,,S. Marion misses 2-pt shot from 3 ft (block by K. Seraphin)
1:01.0,,,76-72,,Offensive rebound by S. Marion
1:00.0,,,76-74,2,S. Marion makes 2-pt shot at rim
0:36.0,R. Butler makes 3-pt shot from 25 ft (assist by K. Humphries),3,79-74,,
0:21.0,,,79-74,,T. Thompson misses 2-pt shot from 9 ft
0:20.0,Defensive rebound by K. Seraphin,,79-74,,
0:00.0,R. Butler misses 3-pt shot from 24 ft,,79-74,,
0:00.0,Offensive rebound by Team,,79-74,,
0:00.0,End of 3rd quarter,,,,End of 3rd quarter
12:00.0,Start of 4th quarter,,,,Start of 4th quarter
11:45.0,,,79-77,3,M. Dellavedova makes 3-pt shot from 23 ft (assist by I. Shumpert)
11:23.0,K. Seraphin misses 2-pt shot from 11 ft,,79-77,,
11:19.0,,,79-77,,Defensive rebound by K. Perkins
11:02.0,,,79-80,3,I. Shumpert makes 3-pt shot from 24 ft
10:39.0,D. Blair misses 2-pt shot from 13 ft (block by K. Perkins),,79-80,,
10:39.0,Jump ball: D. Blair vs. K. Perkins,,,,Jump ball: D. Blair vs. K. Perkins
10:39.0,,,79-80,,Defensive rebound by Team
10:23.0,,,79-83,3,M. Dellavedova makes 3-pt shot from 25 ft (assist by I. Shumpert)
10:11.0,Turnover by W. Bynum (bad pass; steal by I. Shumpert),,79-83,,
10:08.0,,,79-83,,Shooting foul by R. Sessions (drawn by I. Shumpert)
10:08.0,,,79-83,,I. Shumpert misses free throw 1 of 2
10:08.0,,,79-83,,Offensive rebound by Team
10:08.0,,,79-83,,B. Haywood enters the game for T. Thompson
10:08.0,,,79-84,1,I. Shumpert makes free throw 2 of 2
10:08.0,,,79-84,,Technical foul by K. Perkins
10:08.0,Technical foul by K. Seraphin,,79-84,,
9:57.0,W. Bynum misses 2-pt shot from 17 ft,,79-84,,
9:56.0,,,79-84,,Defensive rebound by S. Marion
9:44.0,,,79-84,,S. Marion misses 3-pt shot from 22 ft
9:43.0,Defensive rebound by W. Bynum,,79-84,,
9:40.0,Shooting foul by B. Haywood (drawn by W. Bynum),,79-84,,
9:40.0,W. Bynum misses free throw 1 of 2,,79-84,,
9:40.0,Offensive rebound by Team,,79-84,,
9:40.0,W. Bynum makes free throw 2 of 2,1,80-84,,
9:29.0,,,80-87,3,I. Shumpert makes 3-pt shot from 25 ft (assist by M. Dellavedova)
9:10.0,W. Bynum misses 3-pt shot from 25 ft,,80-87,,
9:09.0,,,80-87,,Defensive rebound by K. Perkins
8:48.0,,,80-89,2,I. Shumpert makes 2-pt shot from 18 ft (assist by K. Perkins)
8:48.0,Washington full timeout,,80-89,,
8:24.0,M. Webster makes 3-pt shot from 25 ft (assist by W. Bynum),3,83-89,,
8:04.0,,,83-89,,I. Shumpert misses 2-pt shot from 16 ft
8:01.0,,,83-89,,Offensive rebound by S. Marion
7:39.0,,,83-89,,B. Haywood misses 2-pt shot from 8 ft
7:39.0,Defensive rebound by Team,,83-89,,
7:39.0,,,83-89,,J. Harris enters the game for I. Shumpert
7:20.0,K. Seraphin misses 2-pt shot from 12 ft,,83-89,,
7:18.0,,,83-89,,Defensive rebound by B. Haywood
7:07.0,,,83-91,2,M. Dellavedova makes 2-pt shot from 22 ft
6:48.0,Turnover by K. Seraphin (traveling),,83-91,,
6:48.0,R. Butler enters the game for W. Bynum,,83-91,,
6:36.0,,,83-93,2,S. Marion makes 2-pt shot from 5 ft
6:24.0,M. Webster misses 2-pt shot from 14 ft,,83-93,,
6:23.0,Offensive rebound by D. Blair,,83-93,,
6:21.0,D. Blair misses 2-pt shot from 6 ft,,83-93,,
6:20.0,,,83-93,,Defensive rebound by K. Perkins
6:04.0,,,83-93,,J. Harris misses 3-pt shot from 25 ft
6:01.0,Defensive rebound by K. Seraphin,,83-93,,
5:59.0,R. Sessions makes 2-pt shot at rim,2,85-93,,
5:44.0,,,85-93,,J. Harris misses 2-pt shot from 10 ft
5:42.0,Defensive rebound by M. Webster,,85-93,,
5:33.0,Turnover by D. Blair (bad pass; steal by M. Dellavedova),,85-93,,
5:26.0,,,85-93,,S. Marion misses 2-pt shot from 11 ft
5:23.0,Defensive rebound by K. Seraphin,,85-93,,
5:20.0,Shooting foul by J. Harris (drawn by R. Sessions),,85-93,,
5:20.0,Official timeout,,85-93,,
5:20.0,R. Sessions makes free throw 1 of 2,1,86-93,,
5:20.0,R. Sessions makes free throw 2 of 2,1,87-93,,
5:03.0,,,87-93,,Turnover by J. Harris (bad pass; steal by D. Blair)
4:59.0,Turnover by M. Webster (bad pass; steal by M. Dellavedova),,87-93,,
4:55.0,,,87-95,2,K. Perkins makes 2-pt shot at rim (assist by M. Dellavedova)
4:42.0,Offensive foul by K. Seraphin,,87-95,,
4:42.0,Turnover by K. Seraphin (offensive foul),,87-95,,
4:27.0,,,87-95,,Turnover by J. Harris (dbl dribble)
4:15.0,R. Butler makes 2-pt shot from 17 ft (assist by M. Webster),2,89-95,,
3:51.0,,,89-95,,Turnover by M. Dellavedova (bad pass; steal by D. Blair)
3:44.0,D. Blair makes 2-pt shot at rim (assist by K. Seraphin),2,91-95,,
3:26.0,,,91-95,,Turnover by J. Harris (step out of bounds)
3:20.0,Shooting foul by J. Harris (drawn by M. Webster),,91-95,,
3:20.0,M. Webster makes free throw 1 of 3,1,92-95,,
3:20.0,M. Webster makes free throw 2 of 3,1,93-95,,
3:20.0,M. Webster makes free throw 3 of 3,1,94-95,,
2:59.0,,,94-97,2,B. Haywood makes 2-pt shot from 13 ft (assist by M. Dellavedova)
2:59.0,,,94-97,,Shooting foul by K. Seraphin (drawn by B. Haywood)
2:59.0,,,94-97,,Cleveland full timeout
2:59.0,,,94-97,,B. Haywood misses free throw 1 of 1
2:58.0,,,94-97,,Offensive rebound by S. Marion
2:54.0,,,94-97,,S. Marion misses 2-pt shot from 6 ft
2:52.0,Defensive rebound by K. Seraphin,,94-97,,
2:42.0,Offensive foul by D. Blair,,94-97,,
2:42.0,Turnover by D. Blair (offensive foul),,94-97,,
2:26.0,,,94-99,2,S. Marion makes 2-pt shot from 9 ft
2:12.0,R. Sessions makes 3-pt shot from 24 ft,3,97-99,,
1:47.0,,,97-99,,M. Dellavedova misses 2-pt shot from 12 ft
1:45.0,Defensive rebound by K. Seraphin,,97-99,,
1:35.0,K. Seraphin makes 2-pt shot from 10 ft,2,99-99,,
1:35.0,,,99-99,,Cleveland full timeout
1:17.0,,,99-99,,Turnover by J. Harris (bad pass; steal by D. Blair)
1:03.0,R. Butler misses 3-pt shot from 23 ft,,99-99,,
1:03.0,,,99-99,,Defensive rebound by Team
1:03.0,Loose ball foul by D. Blair (drawn by J. Harris),,99-99,,
0:51.0,,,99-101,2,K. Perkins makes 2-pt shot from 5 ft (assist by M. Dellavedova)
0:35.0,Turnover by K. Seraphin (lost ball),,99-101,,
0:35.0,,,99-101,,Cleveland full timeout
0:15.0,,,99-101,,M. Dellavedova misses 2-pt shot from 4 ft (block by K. Seraphin)
0:14.0,Defensive rebound by R. Butler,,99-101,,
0:14.0,Washington full timeout,,99-101,,
0:07.0,D. Blair makes 2-pt shot from 6 ft (assist by R. Butler),2,101-101,,
0:07.0,,,101-101,,Cleveland full timeout
0:02.0,,,101-101,,M. Dellavedova misses 2-pt shot from 9 ft
0:01.0,,,101-101,,Offensive rebound by K. Perkins
0:01.0,,,101-101,,K. Perkins misses 2-pt shot from 5 ft
0:00.0,,,101-101,,Offensive rebound by Team
0:00.0,End of 4th quarter,,,,End of 4th quarter
5:00.0,Start of 1st overtime,,,,Start of 1st overtime
4:59.0,Jump ball: K. Perkins vs. K. Seraphin (J. Harris gains possession),,,,Jump ball: K. Perkins vs. K. Seraphin (J. Harris gains possession)
4:47.0,,,101-103,2,M. Dellavedova makes 2-pt shot from 12 ft
4:28.0,D. Blair misses 2-pt shot from 10 ft,,101-103,,
