time,New Orleans,pts.away,score,pts.home,Brooklyn
5:05.0,,,8-19,1,D. Williams makes free throw 2 of 2
4:50.0,N. Cole makes 3-pt shot from 24 ft (assist by E. Gordon),3,11-19,,
4:32.0,,,11-21,2,B. Lopez makes 2-pt shot at rim (assist by J. Johnson)
4:14.0,A. Davis misses 2-pt shot from 6 ft,,11-21,,
4:13.0,,,11-21,,Defensive rebound by J. Johnson
4:02.0,,,11-21,,Turnover by J. Johnson (bad pass; steal by N. Cole)
3:50.0,,,11-21,,Personal block foul by T. Young (drawn by N. Cole)
3:47.0,,,11-21,,Personal foul by M. Brown (drawn by E. Gordon)
3:40.0,E. Gordon misses 2-pt shot from 6 ft,,11-21,,
3:39.0,,,11-21,,Defensive rebound by T. Young
3:24.0,,,11-23,2,B. Lopez makes 2-pt shot from 3 ft (assist by D. Williams)
3:08.0,Turnover by N. Cole (bad pass; steal by M. Brown),,11-23,,
3:02.0,Personal foul by N. Cole (drawn by D. Williams),,11-23,,
3:02.0,,,11-23,,B. Bogdanovic enters the game for M. Brown
3:02.0,A. Ajinca enters the game for O. Asik,,11-23,,
3:02.0,,,11-23,,Brooklyn full timeout
3:02.0,E. Williams enters the game for N. Cole,,11-23,,
2:48.0,,,11-25,2,B. Lopez makes 2-pt shot from 16 ft (assist by T. Young)
2:27.0,E. Gordon makes 3-pt shot from 24 ft (assist by A. Davis),3,14-25,,
2:00.0,,,14-25,,J. Johnson misses 2-pt shot from 17 ft
1:58.0,Defensive rebound by Team,,14-25,,
1:58.0,,,14-25,,J. Jack enters the game for D. Williams
1:47.0,Shooting foul by B. Bogdanovic (drawn by A. Davis),,14-25,,
1:47.0,A. Davis makes free throw 1 of 2,1,15-25,,
1:47.0,A. Davis makes free throw 2 of 2,1,16-25,,
1:29.0,,,16-25,,T. Young misses 2-pt shot from 16 ft
1:28.0,Defensive rebound by E. Gordon,,16-25,,
1:22.0,,,16-25,,Personal foul by B. Bogdanovic (drawn by E. Gordon)
1:22.0,E. Gordon misses free throw 1 of 2,,16-25,,
1:22.0,Offensive rebound by Team,,16-25,,
1:22.0,,,16-25,,A. Anderson enters the game for B. Bogdanovic
1:22.0,E. Gordon makes free throw 2 of 2,1,17-25,,
1:02.0,,,17-25,,Turnover by A. Anderson (bad pass; steal by A. Ajinca)
0:58.0,D. Cunningham makes 2-pt shot from 2 ft (assist by E. Gordon),2,19-25,,
0:47.0,,,19-25,,T. Young misses 2-pt shot at rim (block by A. Davis)
0:45.0,,,19-25,,Offensive rebound by T. Young
0:42.0,,,19-25,,J. Johnson misses 3-pt shot from 23 ft
0:41.0,Defensive rebound by A. Ajinca,,19-25,,
0:33.0,A. Ajinca makes 2-pt shot from 6 ft (assist by E. Gordon),2,21-25,,
0:18.0,,,21-27,2,B. Lopez makes 2-pt shot at rim (assist by J. Johnson)
0:01.0,E. Gordon makes 2-pt shot from 7 ft,2,23-27,,
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:44.0,,,23-27,,A. Anderson misses 2-pt shot from 8 ft (block by A. Davis)
11:42.0,Defensive rebound by A. Davis,,23-27,,
11:22.0,E. Gordon misses 3-pt shot from 25 ft,,23-27,,
11:21.0,Offensive rebound by Team,,23-27,,
11:21.0,,,23-27,,Loose ball foul by M. Plumlee (drawn by A. Ajinca)
11:12.0,A. Ajinca misses 2-pt shot from 14 ft,,23-27,,
11:11.0,Offensive rebound by A. Davis,,23-27,,
11:02.0,Offensive foul by A. Ajinca,,23-27,,
11:02.0,Turnover by A. Ajinca (offensive foul),,23-27,,
11:02.0,J. Fredette enters the game for E. Gordon,,23-27,,
10:45.0,,,23-27,,A. Anderson misses 3-pt shot from 23 ft
10:44.0,Defensive rebound by J. Fredette,,23-27,,
10:34.0,A. Davis misses 2-pt shot from 8 ft,,23-27,,
10:33.0,,,23-27,,Defensive rebound by M. Plumlee
10:23.0,,,23-27,,Shooting foul by D. Cunningham (drawn by A. Anderson)
10:23.0,,,23-28,1,A. Anderson makes free throw 1 of 2
10:23.0,L. Babbitt enters the game for A. Davis,,23-28,,
10:23.0,,,23-29,1,A. Anderson makes free throw 2 of 2
10:07.0,A. Ajinca makes 2-pt shot at rim,2,25-29,,
10:07.0,Shooting foul by M. Plumlee (drawn by A. Ajinca),,25-29,,
10:07.0,A. Ajinca makes free throw 1 of 1,1,26-29,,
10:01.0,,,26-31,2,M. Brown makes 2-pt shot from 20 ft (assist by M. Plumlee)
9:38.0,A. Ajinca misses 2-pt shot from 12 ft,,26-31,,
9:37.0,,,26-31,,Defensive rebound by Team
9:25.0,,,26-31,,J. Jack misses 3-pt shot from 24 ft
9:24.0,,,26-31,,Offensive rebound by Team
9:24.0,Loose ball foul by D. Cunningham (drawn by M. Plumlee),,26-31,,
9:15.0,,,26-33,2,M. Brown makes 2-pt shot from 2 ft (assist by M. Plumlee)
8:57.0,D. Cunningham makes 2-pt shot from 17 ft (assist by A. Ajinca),2,28-33,,
8:45.0,,,28-33,,Shooting foul by L. Babbitt (drawn by M. Plumlee)
8:45.0,Official timeout,,28-33,,
8:45.0,,,28-34,1,M. Plumlee makes free throw 1 of 2
8:45.0,,,28-34,,M. Plumlee misses free throw 2 of 2
8:44.0,Defensive rebound by D. Cunningham,,28-34,,
8:25.0,A. Ajinca makes 2-pt shot from 5 ft,2,30-34,,
8:02.0,,,30-34,,M. Plumlee misses 2-pt shot from 5 ft
8:01.0,Defensive rebound by E. Williams,,30-34,,
7:52.0,A. Ajinca makes 2-pt shot from 6 ft (assist by E. Williams),2,32-34,,
7:41.0,,,32-34,,Shooting foul by E. Williams (drawn by J. Jack)
7:41.0,,,32-34,,J. Jack misses free throw 1 of 2
7:41.0,,,32-34,,Offensive rebound by Team
7:41.0,O. Asik enters the game for D. Cunningham,,32-34,,
7:41.0,,,32-35,1,J. Jack makes free throw 2 of 2
7:27.0,A. Ajinca makes 2-pt shot from 8 ft,2,34-35,,
7:15.0,,,34-37,2,J. Jack makes 2-pt shot from 1 ft
7:08.0,E. Williams misses 2-pt shot from 16 ft,,34-37,,
7:07.0,,,34-37,,Defensive rebound by M. Brown
6:59.0,,,34-37,,Shooting foul by J. Fredette (drawn by M. Brown)
6:59.0,,,34-38,1,M. Brown makes free throw 1 of 2
6:59.0,,,34-38,,B. Lopez enters the game for M. Plumlee
6:59.0,,,34-38,,M. Brown misses free throw 2 of 2
6:58.0,Defensive rebound by A. Ajinca,,34-38,,
6:35.0,A. Ajinca misses 2-pt shot from 5 ft,,34-38,,
6:33.0,Offensive rebound by O. Asik,,34-38,,
6:31.0,O. Asik makes 2-pt shot from 1 ft,2,36-38,,
6:21.0,,,36-38,,C. Jefferson misses 2-pt shot from 18 ft
6:20.0,Defensive rebound by J. Fredette,,36-38,,
6:05.0,A. Ajinca makes 2-pt shot from 7 ft (assist by J. Fredette),2,38-38,,
5:47.0,,,38-38,,B. Lopez misses 2-pt shot from 14 ft
5:46.0,Defensive rebound by A. Ajinca,,38-38,,
5:29.0,Turnover by J. Fredette (bad pass; steal by B. Lopez),,38-38,,
5:23.0,,,38-40,2,C. Jefferson makes 2-pt shot at rim (assist by A. Anderson)
5:21.0,New Orleans full timeout,,38-40,,
5:21.0,E. Gordon enters the game for E. Williams,,38-40,,
5:21.0,,,38-40,,T. Young enters the game for C. Jefferson
5:11.0,J. Fredette misses 2-pt shot from 12 ft,,38-40,,
5:10.0,Offensive rebound by A. Ajinca,,38-40,,
5:09.0,A. Ajinca misses 2-pt shot at rim (block by B. Lopez),,38-40,,
5:06.0,Offensive rebound by J. Fredette,,38-40,,
4:59.0,O. Asik makes 2-pt shot at rim (assist by E. Gordon),2,40-40,,
4:35.0,,,40-40,,J. Jack misses 2-pt shot from 7 ft
4:34.0,,,40-40,,Offensive rebound by B. Lopez
4:33.0,,,40-42,2,B. Lopez makes 2-pt shot from 1 ft
4:13.0,E. Gordon misses 2-pt shot from 3 ft (block by B. Lopez),,40-42,,
4:12.0,Offensive rebound by E. Gordon,,40-42,,
4:11.0,E. Gordon makes 2-pt shot from 1 ft,2,42-42,,
3:50.0,,,42-42,,Shooting foul by A. Ajinca (drawn by A. Anderson)
3:50.0,,,42-42,,Brooklyn full timeout
3:50.0,,,42-42,,D. Williams enters the game for J. Jack
3:50.0,N. Cole enters the game for J. Fredette,,42-42,,
3:50.0,A. Davis enters the game for A. Ajinca,,42-42,,
3:50.0,Q. Pondexter enters the game for L. Babbitt,,42-42,,
3:50.0,,,42-43,1,A. Anderson makes free throw 1 of 2
3:50.0,,,42-43,,A. Anderson misses free throw 2 of 2
3:49.0,Defensive rebound by O. Asik,,42-43,,
3:37.0,A. Davis makes 2-pt shot from 12 ft,2,44-43,,
3:14.0,,,44-43,,D. Williams misses 2-pt shot from 17 ft
3:13.0,,,44-43,,Offensive rebound by B. Lopez
3:05.0,,,44-43,,T. Young misses 2-pt shot from 8 ft
3:04.0,,,44-43,,Offensive rebound by B. Lopez
3:03.0,,,44-43,,B. Lopez misses 2-pt shot at rim
3:02.0,Defensive rebound by O. Asik,,44-43,,
3:01.0,,,44-43,,Personal foul by T. Young (drawn by O. Asik)
3:01.0,,,44-43,,J. Johnson enters the game for A. Anderson
3:01.0,,,44-43,,C. Jefferson enters the game for T. Young
2:48.0,N. Cole makes 3-pt shot from 25 ft (assist by A. Davis),3,47-43,,
2:27.0,,,47-43,,B. Lopez misses 2-pt shot from 4 ft
2:26.0,,,47-43,,Offensive rebound by C. Jefferson
2:25.0,,,47-43,,C. Jefferson misses 2-pt shot from 1 ft
2:23.0,Defensive rebound by O. Asik,,47-43,,
2:09.0,A. Davis misses 2-pt shot from 19 ft,,47-43,,
2:08.0,Offensive rebound by Team,,47-43,,
2:08.0,,,47-43,,Loose ball foul by B. Lopez (drawn by O. Asik)
2:01.0,O. Asik misses 2-pt shot from 13 ft,,47-43,,
2:00.0,,,47-43,,Defensive rebound by M. Brown
1:46.0,,,47-43,,B. Lopez misses 2-pt shot from 5 ft
1:45.0,Defensive rebound by A. Davis,,47-43,,
1:32.0,A. Davis makes 2-pt shot from 15 ft (assist by N. Cole),2,49-43,,
1:18.0,,,49-43,,Shooting foul by A. Davis (drawn by B. Lopez)
1:18.0,,,49-43,,B. Lopez misses free throw 1 of 2
1:18.0,,,49-43,,Offensive rebound by Team
1:18.0,,,49-44,1,B. Lopez makes free throw 2 of 2
1:01.0,A. Davis misses 2-pt shot from 18 ft,,49-44,,
1:00.0,,,49-44,,Defensive rebound by M. Brown
0:49.0,,,49-46,2,M. Brown makes 2-pt shot at rim
0:38.0,E. Gordon makes 3-pt shot from 24 ft (assist by N. Cole),3,52-46,,
0:28.0,,,52-46,,J. Johnson misses 2-pt shot from 8 ft
0:27.0,Defensive rebound by A. Davis,,52-46,,
0:05.0,Q. Pondexter makes 3-pt shot from 23 ft (assist by E. Gordon),3,55-46,,
0:00.0,End of 2nd quarter,,,,End of 2nd quarter
12:00.0,Start of 3rd quarter,,,,Start of 3rd quarter
11:49.0,,,55-46,,Turnover by J. Johnson (bad pass; steal by N. Cole)
11:44.0,A. Davis misses 2-pt shot from 3 ft,,55-46,,
11:43.0,,,55-46,,Defensive rebound by J. Johnson
11:28.0,,,55-46,,J. Johnson misses 2-pt shot from 4 ft
11:27.0,Defensive rebound by O. Asik,,55-46,,
11:03.0,A. Davis misses 2-pt shot from 16 ft,,55-46,,
11:02.0,Offensive rebound by Q. Pondexter,,55-46,,
10:57.0,O. Asik makes 2-pt shot at rim (assist by N. Cole),2,57-46,,
10:31.0,,,57-46,,T. Young misses 2-pt shot from 7 ft
10:30.0,Defensive rebound by O. Asik,,57-46,,
10:16.0,O. Asik misses 2-pt shot from 6 ft,,57-46,,
10:15.0,Offensive rebound by Team,,57-46,,
10:12.0,A. Davis makes 2-pt shot from 13 ft (assist by Q. Pondexter),2,59-46,,
9:48.0,,,59-46,,J. Johnson misses 2-pt shot from 2 ft (block by Q. Pondexter)
9:47.0,Defensive rebound by Team,,59-46,,
9:35.0,A. Davis misses 2-pt shot from 17 ft,,59-46,,
9:34.0,,,59-46,,Defensive rebound by B. Lopez
9:24.0,,,59-46,,B. Lopez misses 2-pt shot from 3 ft
9:23.0,Defensive rebound by O. Asik,,59-46,,
9:10.0,Q. Pondexter misses 2-pt shot from 11 ft,,59-46,,
9:09.0,,,59-46,,Defensive rebound by T. Young
8:58.0,,,59-46,,T. Young misses 2-pt shot from 6 ft
8:57.0,Defensive rebound by O. Asik,,59-46,,
8:53.0,Shooting foul by D. Williams (drawn by A. Davis),,59-46,,
8:53.0,A. Davis makes free throw 1 of 2,1,60-46,,
8:53.0,A. Davis makes free throw 2 of 2,1,61-46,,
8:41.0,,,61-46,,T. Young misses 2-pt shot from 4 ft
8:40.0,Defensive rebound by O. Asik,,61-46,,
8:33.0,Offensive foul by E. Gordon,,61-46,,
8:33.0,Turnover by E. Gordon (offensive foul),,61-46,,
8:23.0,,,61-46,,Offensive foul by B. Lopez
8:23.0,,,61-46,,Turnover by B. Lopez (offensive foul)
8:14.0,E. Gordon misses 2-pt shot from 1 ft,,61-46,,
8:13.0,Offensive rebound by O. Asik,,61-46,,
8:12.0,O. Asik makes 2-pt shot at rim,2,63-46,,
8:02.0,,,63-46,,Brooklyn full timeout
8:02.0,,,63-46,,B. Bogdanovic enters the game for M. Brown
7:48.0,,,63-46,,T. Young misses 2-pt shot from 13 ft
7:47.0,,,63-46,,Offensive rebound by B. Lopez
7:45.0,,,63-46,,B. Lopez misses 2-pt shot from 2 ft
7:44.0,,,63-46,,Offensive rebound by B. Lopez
7:43.0,,,63-46,,Shooting foul by Q. Pondexter (drawn by B. Lopez)
7:43.0,,,63-46,,B. Lopez misses free throw 1 of 2
7:43.0,,,63-46,,Offensive rebound by Team
7:43.0,,,63-46,,B. Lopez misses free throw 2 of 2
7:42.0,Defensive rebound by A. Davis,,63-46,,
7:28.0,A. Davis misses 2-pt shot from 2 ft,,63-46,,
7:27.0,,,63-46,,Defensive rebound by T. Young
7:22.0,,,63-48,2,D. Williams makes 2-pt shot from 17 ft
6:55.0,O. Asik makes 2-pt shot at rim,2,65-48,,
6:46.0,,,65-50,2,D. Williams makes 2-pt shot from 1 ft
6:25.0,N. Cole makes 3-pt shot from 23 ft (assist by A. Davis),3,68-50,,
6:14.0,,,68-50,,B. Lopez misses 2-pt shot from 8 ft
6:13.0,Defensive rebound by N. Cole,,68-50,,
6:08.0,A. Davis makes 2-pt shot at rim (assist by N. Cole),2,70-50,,
6:06.0,,,70-50,,Brooklyn full timeout
6:06.0,,,70-50,,J. Jordan enters the game for B. Lopez
6:06.0,,,70-50,,J. Jack enters the game for B. Bogdanovic
5:45.0,,,70-53,3,J. Johnson makes 3-pt shot from 23 ft (assist by D. Williams)
5:20.0,E. Gordon makes 2-pt shot from 17 ft (assist by Q. Pondexter),2,72-53,,
4:58.0,,,72-53,,T. Young misses 2-pt shot from 7 ft
4:57.0,,,72-53,,Offensive rebound by Team
4:57.0,D. Cunningham enters the game for Q. Pondexter,,72-53,,
4:52.0,,,72-53,,D. Williams misses 2-pt shot from 15 ft
4:51.0,Defensive rebound by D. Cunningham,,72-53,,
4:36.0,N. Cole misses 3-pt shot from 24 ft,,72-53,,
4:35.0,Offensive rebound by O. Asik,,72-53,,
4:31.0,E. Gordon makes 3-pt shot from 24 ft (assist by O. Asik),3,75-53,,
4:09.0,,,75-55,2,J. Jack makes 2-pt shot from 7 ft
3:42.0,Turnover by Team (shot clock),,75-55,,
3:33.0,,,75-55,,J. Jack misses 2-pt shot from 19 ft (block by A. Davis)
3:32.0,,,75-55,,Offensive rebound by Team
3:32.0,A. Ajinca enters the game for O. Asik,,75-55,,
3:29.0,,,75-55,,Shooting foul by N. Cole (drawn by D. Williams)
3:29.0,,,75-56,1,D. Williams makes free throw 1 of 2
3:29.0,,,75-57,1,D. Williams makes free throw 2 of 2
3:11.0,D. Cunningham makes 2-pt shot from 1 ft (assist by A. Davis),2,77-57,,
3:00.0,,,77-57,,D. Williams misses 2-pt shot from 17 ft
2:59.0,Defensive rebound by A. Davis,,77-57,,
2:46.0,A. Davis misses 2-pt shot from 18 ft,,77-57,,
2:44.0,,,77-57,,Defensive rebound by J. Jordan
2:25.0,,,77-57,,T. Young misses 2-pt shot from 20 ft
2:24.0,Defensive rebound by A. Ajinca,,77-57,,
2:08.0,A. Davis misses 2-pt shot from 6 ft,,77-57,,
2:07.0,,,77-57,,Defensive rebound by J. Jack
1:57.0,,,77-59,2,D. Williams makes 2-pt shot from 3 ft
1:37.0,Shooting foul by J. Jordan (drawn by A. Davis),,77-59,,
1:37.0,A. Davis misses free throw 1 of 2,,77-59,,
1:37.0,Offensive rebound by Team,,77-59,,
1:37.0,E. Williams enters the game for E. Gordon,,77-59,,
1:37.0,,,77-59,,B. Bogdanovic enters the game for J. Johnson
1:37.0,,,77-59,,C. Jefferson enters the game for T. Young
1:37.0,A. Davis makes free throw 2 of 2,1,78-59,,
1:24.0,Personal foul by A. Ajinca (drawn by D. Williams),,78-59,,
1:24.0,Q. Pondexter enters the game for A. Davis,,78-59,,
1:20.0,,,78-59,,J. Jack misses 3-pt shot from 24 ft
1:19.0,Defensive rebound by N. Cole,,78-59,,
1:09.0,A. Ajinca misses 2-pt shot from 6 ft,,78-59,,
1:08.0,,,78-59,,Defensive rebound by J. Jordan
1:00.0,,,78-59,,C. Jefferson misses 2-pt shot from 2 ft
0:58.0,,,78-59,,Offensive rebound by J. Jordan
0:54.0,,,78-59,,Turnover by C. Jefferson (lost ball; steal by D. Cunningham)
0:42.0,E. Williams misses 3-pt shot from 24 ft,,78-59,,
0:41.0,,,78-59,,Defensive rebound by C. Jefferson
0:34.0,,,78-59,,D. Williams misses 2-pt shot from 18 ft
0:33.0,Defensive rebound by N. Cole,,78-59,,
0:28.0,E. Williams misses 2-pt shot from 1 ft,,78-59,,
0:27.0,,,78-59,,Defensive rebound by C. Jefferson
0:06.0,,,78-61,2,J. Jack makes 2-pt shot from 1 ft
0:06.0,Turnover by A. Ajinca (bad pass; steal by D. Williams),,78-61,,
0:05.0,,,78-61,,D. Williams misses 2-pt shot at rim
0:04.0,Defensive rebound by N. Cole,,78-61,,
0:01.0,E. Williams misses 3-pt shot from 24 ft,,78-61,,
0:00.0,Offensive rebound by Team,,78-61,,
0:00.0,End of 3rd quarter,,,,End of 3rd quarter
12:00.0,Start of 4th quarter,,,,Start of 4th quarter
11:46.0,A. Ajinca makes 2-pt shot from 7 ft,2,80-61,,
11:29.0,,,80-63,2,C. Jefferson makes 2-pt shot from 12 ft (assist by B. Bogdanovic)
11:09.0,Shooting foul by M. Plumlee (drawn by A. Ajinca),,80-63,,
11:09.0,A. Ajinca makes free throw 1 of 2,1,81-63,,
11:09.0,A. Ajinca makes free throw 2 of 2,1,82-63,,
10:56.0,,,82-65,2,J. Jack makes 2-pt shot from 3 ft
10:56.0,,,82-65,,Shooting foul by A. Ajinca (drawn by J. Jack)
10:56.0,,,82-66,1,J. Jack makes free throw 1 of 1
10:39.0,J. Fredette makes 2-pt shot from 19 ft,2,84-66,,
10:30.0,,,84-66,,Turnover by J. Jack (bad pass; steal by A. Ajinca)
10:25.0,E. Williams makes 2-pt shot at rim (assist by Q. Pondexter),2,86-66,,
10:14.0,,,86-66,,Turnover by S. Karasev (bad pass; steal by A. Ajinca)
10:08.0,Turnover by Q. Pondexter (bad pass),,86-66,,
9:57.0,,,86-68,2,B. Bogdanovic makes 2-pt shot from 4 ft
9:35.0,Turnover by J. Fredette (bad pass),,86-68,,
9:29.0,,,86-68,,M. Plumlee misses 2-pt shot from 2 ft
9:28.0,,,86-68,,Offensive rebound by S. Karasev
9:27.0,,,86-68,,S. Karasev misses 2-pt shot from 3 ft
9:26.0,,,86-68,,Offensive rebound by C. Jefferson
9:25.0,,,86-70,2,C. Jefferson makes 2-pt shot at rim
9:06.0,Q. Pondexter makes 3-pt shot from 23 ft (assist by A. Ajinca),3,89-70,,
8:45.0,,,89-70,,B. Bogdanovic misses 2-pt shot from 6 ft
8:43.0,,,89-70,,Offensive rebound by Team
8:43.0,Loose ball foul by Q. Pondexter (drawn by M. Plumlee),,89-70,,
8:43.0,Official timeout,,89-70,,
8:43.0,L. Babbitt enters the game for E. Williams,,89-70,,
8:33.0,,,89-70,,M. Plumlee misses 2-pt shot from 4 ft
8:32.0,,,89-70,,Offensive rebound by M. Plumlee
8:31.0,,,89-70,,M. Plumlee misses 2-pt shot from 2 ft
8:30.0,Defensive rebound by L. Babbitt,,89-70,,
8:15.0,Q. Pondexter makes 3-pt shot from 24 ft (assist by J. Fredette),3,92-70,,
8:00.0,Personal foul by J. Fredette (drawn by J. Jack),,92-70,,
7:51.0,,,92-73,3,B. Bogdanovic makes 3-pt shot from 23 ft (assist by S. Karasev)
7:35.0,Q. Pondexter makes 2-pt shot at rim (assist by A. Ajinca),2,94-73,,
7:24.0,,,94-73,,Turnover by B. Bogdanovic (lost ball)
7:01.0,A. Ajinca misses 2-pt shot from 8 ft,,94-73,,
7:00.0,,,94-73,,Defensive rebound by C. Jefferson
6:52.0,,,94-73,,Turnover by C. Jefferson (lost ball; steal by J. Fredette)
6:45.0,J. Fredette misses 3-pt shot from 24 ft,,94-73,,
6:44.0,,,94-73,,Defensive rebound by S. Karasev
6:39.0,,,94-75,2,B. Bogdanovic makes 2-pt shot at rim (assist by J. Jack)
6:18.0,L. Babbitt makes 2-pt shot from 15 ft,2,96-75,,
6:10.0,,,96-75,,Brooklyn full timeout
6:10.0,N. Cole enters the game for J. Fredette,,96-75,,
6:10.0,,,96-75,,J. Johnson enters the game for C. Jefferson
6:10.0,,,96-75,,T. Young enters the game for S. Karasev
6:00.0,,,96-77,2,B. Bogdanovic makes 2-pt shot at rim (assist by J. Jack)
5:45.0,Q. Pondexter makes 3-pt shot from 24 ft (assist by L. Babbitt),3,99-77,,
5:34.0,,,99-77,,Turnover by M. Plumlee (lost ball; steal by L. Babbitt)
5:23.0,A. Ajinca misses 2-pt shot from 4 ft,,99-77,,
5:22.0,,,99-77,,Defensive rebound by T. Young
5:07.0,,,99-79,2,T. Young makes 2-pt shot from 3 ft
4:46.0,Q. Pondexter makes 3-pt shot from 25 ft (assist by A. Ajinca),3,102-79,,
4:30.0,,,102-81,2,J. Johnson makes 2-pt shot from 4 ft (assist by J. Jack)
4:12.0,Turnover by A. Ajinca (bad pass; steal by J. Johnson),,102-81,,
3:55.0,,,102-81,,J. Johnson misses 3-pt shot from 25 ft
3:54.0,Defensive rebound by N. Cole,,102-81,,
3:49.0,New Orleans full timeout,,102-81,,
3:49.0,O. Asik enters the game for A. Ajinca,,102-81,,
3:49.0,E. Gordon enters the game for L. Babbitt,,102-81,,
3:49.0,,,102-81,,D. Morris enters the game for J. Johnson
3:49.0,,,102-81,,C. Jefferson enters the game for T. Young
3:33.0,N. Cole makes 3-pt shot from 25 ft (assist by Q. Pondexter),3,105-81,,
3:10.0,,,105-81,,C. Jefferson misses 2-pt shot from 10 ft
3:09.0,Defensive rebound by O. Asik,,105-81,,
2:52.0,N. Cole misses 3-pt shot from 24 ft,,105-81,,
2:51.0,,,105-81,,Defensive rebound by C. Jefferson
2:36.0,,,105-81,,B. Bogdanovic misses 3-pt shot from 24 ft
2:35.0,Defensive rebound by O. Asik,,105-81,,
2:15.0,N. Cole misses 2-pt shot from 1 ft (block by C. Jefferson),,105-81,,
2:14.0,,,105-81,,Defensive rebound by C. Jefferson
2:02.0,,,105-84,3,J. Jack makes 3-pt shot from 22 ft (assist by C. Jefferson)
1:39.0,Turnover by E. Gordon (bad pass),,105-84,,
1:39.0,J. Withey enters the game for O. Asik,,105-84,,
1:39.0,E. Williams enters the game for E. Gordon,,105-84,,
1:39.0,L. Babbitt enters the game for Q. Pondexter,,105-84,,
1:30.0,,,105-84,,Shooting foul by E. Williams (drawn by J. Jack)
1:30.0,,,105-85,1,J. Jack makes free throw 1 of 2
1:30.0,J. Fredette enters the game for N. Cole,,105-85,,
1:30.0,,,105-86,1,J. Jack makes free throw 2 of 2
1:07.0,E. Williams makes 2-pt shot from 1 ft (assist by J. Fredette),2,107-86,,
0:56.0,,,107-88,2,C. Jefferson makes 2-pt shot from 12 ft
