time,Brooklyn,pts.away,score,pts.home,Atlanta
0:44.0,B. Lopez makes 2-pt shot from 8 ft (assist by J. Jack),2,25-27,,
0:30.0,,,25-30,3,K. Korver makes 3-pt shot from 24 ft (assist by A. Horford)
0:08.0,B. Lopez makes 2-pt shot from 1 ft (assist by J. Jack),2,27-30,,
0:00.0,,,27-30,,D. Schroder misses 2-pt shot from 1 ft
0:00.0,,,27-30,,Offensive rebound by Team
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:47.0,Turnover by J. Jack (step out of bounds),,27-30,,
11:32.0,,,27-32,2,M. Scott makes 2-pt shot from 2 ft (assist by D. Schroder)
11:13.0,B. Bogdanovic misses 3-pt shot from 22 ft,,27-32,,
11:12.0,,,27-32,,Defensive rebound by T. Sefolosha
11:04.0,,,27-32,,M. Scott misses 2-pt shot from 7 ft
11:02.0,Defensive rebound by C. Jefferson,,27-32,,
10:57.0,A. Anderson makes 2-pt shot from 1 ft (assist by J. Jack),2,29-32,,
10:45.0,,,29-32,,K. Korver misses 2-pt shot from 17 ft
10:44.0,Defensive rebound by C. Jefferson,,29-32,,
10:34.0,B. Bogdanovic makes 3-pt shot from 23 ft (assist by B. Lopez),3,32-32,,
10:12.0,,,32-32,,T. Sefolosha misses 3-pt shot from 23 ft
10:11.0,,,32-32,,Offensive rebound by A. Horford
10:08.0,,,32-35,3,K. Korver makes 3-pt shot from 25 ft (assist by A. Horford)
9:46.0,A. Anderson makes 3-pt shot from 25 ft,3,35-35,,
9:38.0,Personal foul by A. Anderson (drawn by K. Korver),,35-35,,
9:38.0,S. Karasev enters the game for J. Jack,,35-35,,
9:38.0,D. Morris enters the game for B. Bogdanovic,,35-35,,
9:30.0,,,35-37,2,T. Sefolosha makes 2-pt shot from 1 ft (assist by A. Horford)
9:20.0,,,35-37,,Personal foul by A. Horford (drawn by A. Anderson)
9:20.0,,,35-37,,K. Bazemore enters the game for T. Sefolosha
9:08.0,B. Lopez makes 2-pt shot from 10 ft (assist by D. Morris),2,37-37,,
8:46.0,,,37-37,,D. Schroder misses 2-pt shot from 6 ft (block by B. Lopez)
8:43.0,Defensive rebound by B. Lopez,,37-37,,
8:38.0,A. Anderson misses 3-pt shot from 23 ft,,37-37,,
8:35.0,Offensive rebound by C. Jefferson,,37-37,,
8:32.0,C. Jefferson makes 2-pt shot from 14 ft,2,39-37,,
8:27.0,,,39-37,,Atlanta full timeout
8:27.0,,,39-37,,J. Teague enters the game for D. Schroder
8:19.0,,,39-39,2,A. Horford makes 2-pt shot from 20 ft (assist by J. Teague)
7:57.0,Shooting foul by A. Horford (drawn by C. Jefferson),,39-39,,
7:57.0,C. Jefferson misses free throw 1 of 2,,39-39,,
7:57.0,Offensive rebound by Team,,39-39,,
7:57.0,,,39-39,,P. Antic enters the game for A. Horford
7:57.0,C. Jefferson makes free throw 2 of 2,1,40-39,,
7:47.0,,,40-41,2,J. Teague makes 2-pt shot from 1 ft
7:37.0,D. Morris misses 2-pt shot from 14 ft,,40-41,,
7:34.0,Offensive rebound by C. Jefferson,,40-41,,
7:34.0,C. Jefferson makes 2-pt shot at rim,2,42-41,,
7:20.0,,,42-41,,P. Antic misses 3-pt shot from 24 ft
7:19.0,,,42-41,,Offensive rebound by M. Scott
7:19.0,,,42-41,,Shooting foul by C. Jefferson (drawn by M. Scott)
7:19.0,,,42-42,1,M. Scott makes free throw 1 of 2
7:19.0,,,42-42,,D. Carroll enters the game for K. Korver
7:19.0,,,42-43,1,M. Scott makes free throw 2 of 2
7:08.0,D. Morris misses 2-pt shot from 6 ft,,42-43,,
7:06.0,Offensive rebound by B. Lopez,,42-43,,
7:06.0,B. Lopez misses 2-pt shot from 2 ft,,42-43,,
7:06.0,Offensive rebound by B. Lopez,,42-43,,
7:06.0,Shooting foul by P. Antic (drawn by B. Lopez),,42-43,,
7:06.0,B. Lopez makes free throw 1 of 2,1,43-43,,
7:06.0,B. Lopez makes free throw 2 of 2,1,44-43,,
6:55.0,,,44-46,3,J. Teague makes 3-pt shot from 24 ft
6:35.0,Turnover by B. Lopez (traveling),,44-46,,
6:35.0,,,44-46,,P. Millsap enters the game for M. Scott
6:20.0,Personal foul by A. Anderson (drawn by D. Carroll),,44-46,,
6:20.0,M. Plumlee enters the game for B. Lopez,,44-46,,
6:20.0,J. Johnson enters the game for S. Karasev,,44-46,,
6:20.0,K. Garnett enters the game for C. Jefferson,,44-46,,
6:20.0,S. Karasev enters the game for A. Anderson,,44-46,,
6:17.0,,,44-46,,Shooting foul by S. Karasev (drawn by P. Millsap)
6:17.0,,,44-47,1,P. Millsap makes free throw 1 of 2
6:17.0,,,44-48,1,P. Millsap makes free throw 2 of 2
6:02.0,D. Morris misses 3-pt shot from 22 ft,,44-48,,
6:01.0,,,44-48,,Defensive rebound by P. Antic
5:55.0,,,44-48,,Turnover by J. Teague (lost ball; steal by M. Plumlee)
5:45.0,D. Morris misses 3-pt shot from 24 ft,,44-48,,
5:44.0,,,44-48,,Defensive rebound by P. Millsap
5:26.0,,,44-48,,P. Antic misses 3-pt shot from 24 ft
5:23.0,,,44-48,,Offensive rebound by P. Millsap
5:19.0,,,44-48,,D. Carroll misses 3-pt shot from 24 ft
5:18.0,,,44-48,,Offensive rebound by Team
5:18.0,Loose ball foul by K. Garnett (drawn by P. Millsap),,44-48,,
5:18.0,Official timeout,,44-48,,
5:18.0,J. Jack enters the game for D. Morris,,44-48,,
5:18.0,,,44-49,1,P. Millsap makes free throw 1 of 2
5:18.0,,,44-50,1,P. Millsap makes free throw 2 of 2
5:00.0,K. Garnett misses 2-pt shot from 18 ft,,44-50,,
4:59.0,,,44-50,,Defensive rebound by J. Teague
4:47.0,,,44-50,,D. Carroll misses 2-pt shot from 12 ft
4:47.0,,,44-50,,Offensive rebound by Team
4:47.0,Loose ball foul by K. Garnett (drawn by P. Antic),,44-50,,
4:47.0,,,44-51,1,P. Antic makes free throw 1 of 2
4:47.0,B. Lopez enters the game for K. Garnett,,44-51,,
4:47.0,,,44-52,1,P. Antic makes free throw 2 of 2
4:33.0,J. Johnson makes 3-pt shot from 24 ft (assist by S. Karasev),3,47-52,,
4:18.0,,,47-52,,D. Carroll misses 3-pt shot from 24 ft
4:14.0,,,47-52,,Offensive rebound by K. Bazemore
4:09.0,,,47-52,,K. Bazemore misses 2-pt shot from 3 ft
4:09.0,,,47-52,,Offensive rebound by P. Antic
4:09.0,,,47-52,,P. Antic misses 2-pt shot from 4 ft
4:08.0,Defensive rebound by S. Karasev,,47-52,,
4:07.0,Shooting foul by P. Millsap (drawn by J. Jack),,47-52,,
4:07.0,J. Jack makes free throw 1 of 2,1,48-52,,
4:07.0,J. Jack makes free throw 2 of 2,1,49-52,,
3:56.0,,,49-54,2,D. Carroll makes 2-pt shot from 1 ft (assist by J. Teague)
3:39.0,B. Lopez misses 2-pt shot from 9 ft,,49-54,,
3:35.0,,,49-54,,Defensive rebound by P. Millsap
3:33.0,,,49-54,,Shooting foul by B. Lopez (drawn by P. Millsap)
3:33.0,,,49-55,1,P. Millsap makes free throw 1 of 2
3:33.0,,,49-55,,K. Korver enters the game for K. Bazemore
3:33.0,,,49-56,1,P. Millsap makes free throw 2 of 2
3:19.0,J. Johnson misses 2-pt shot from 5 ft,,49-56,,
3:18.0,,,49-56,,Defensive rebound by P. Antic
3:02.0,,,49-56,,P. Antic misses 3-pt shot from 23 ft
3:01.0,Defensive rebound by J. Johnson,,49-56,,
2:53.0,,,49-56,,Personal foul by P. Millsap (drawn by J. Johnson)
2:53.0,Brooklyn full timeout,,49-56,,
2:53.0,,,49-56,,A. Horford enters the game for P. Antic
2:53.0,J. Johnson makes free throw 1 of 2,1,50-56,,
2:53.0,J. Johnson makes free throw 2 of 2,1,51-56,,
2:40.0,,,51-58,2,A. Horford makes 2-pt shot at rim (assist by J. Teague)
2:17.0,S. Karasev misses 3-pt shot from 22 ft,,51-58,,
2:16.0,,,51-58,,Defensive rebound by P. Millsap
2:04.0,,,51-58,,A. Horford misses 2-pt shot from 21 ft
2:03.0,Defensive rebound by M. Plumlee,,51-58,,
1:53.0,B. Lopez makes 2-pt shot from 9 ft (assist by J. Jack),2,53-58,,
1:39.0,,,53-58,,J. Teague misses 3-pt shot from 24 ft
1:37.0,,,53-58,,Offensive rebound by P. Millsap
1:24.0,,,53-61,3,D. Carroll makes 3-pt shot from 24 ft (assist by J. Teague)
1:06.0,J. Johnson misses 2-pt shot at rim,,53-61,,
1:04.0,Jump ball: A. Horford vs. B. Lopez (S. Karasev gains possession),,,,Jump ball: A. Horford vs. B. Lopez (S. Karasev gains possession)
0:57.0,Offensive rebound by Team,,53-61,,
0:57.0,J. Johnson misses 2-pt shot from 15 ft,,53-61,,
0:56.0,Offensive rebound by Team,,53-61,,
0:56.0,Turnover by Team (shot clock),,53-61,,
0:41.0,,,53-64,3,P. Millsap makes 3-pt shot from 22 ft (assist by A. Horford)
0:31.0,S. Karasev misses 3-pt shot from 23 ft,,53-64,,
0:30.0,,,53-64,,Defensive rebound by P. Millsap
0:08.0,,,53-64,,K. Korver misses 3-pt shot from 27 ft
0:06.0,Defensive rebound by M. Plumlee,,53-64,,
0:00.0,J. Johnson misses 2-pt shot from 16 ft,,53-64,,
0:00.0,Offensive rebound by Team,,53-64,,
0:00.0,End of 2nd quarter,,,,End of 2nd quarter
12:00.0,Start of 3rd quarter,,,,Start of 3rd quarter
11:37.0,A. Anderson makes 2-pt shot from 1 ft (assist by M. Plumlee),2,55-64,,
11:24.0,,,55-64,,K. Korver misses 3-pt shot from 27 ft
11:23.0,Defensive rebound by M. Plumlee,,55-64,,
11:12.0,M. Plumlee misses 2-pt shot from 1 ft (block by P. Millsap),,55-64,,
11:11.0,,,55-64,,Defensive rebound by A. Horford
11:10.0,,,55-64,,Shooting foul by J. Johnson (drawn by D. Carroll)
11:10.0,,,55-65,1,D. Carroll makes free throw 1 of 2
11:10.0,,,55-66,1,D. Carroll makes free throw 2 of 2
11:00.0,,,55-66,,Personal foul by K. Korver (drawn by A. Anderson)
10:52.0,M. Plumlee misses 2-pt shot at rim,,55-66,,
10:51.0,Offensive rebound by M. Plumlee,,55-66,,
10:51.0,M. Plumlee makes 2-pt shot at rim,2,57-66,,
10:39.0,,,57-69,3,D. Carroll makes 3-pt shot from 24 ft (assist by J. Teague)
10:27.0,J. Johnson makes 2-pt shot from 12 ft,2,59-69,,
10:27.0,Shooting foul by D. Carroll (drawn by J. Johnson),,59-69,,
10:27.0,J. Johnson makes free throw 1 of 1,1,60-69,,
9:58.0,,,60-71,2,K. Korver makes 2-pt shot from 22 ft (assist by P. Millsap)
9:43.0,M. Plumlee makes 2-pt shot at rim (assist by A. Anderson),2,62-71,,
9:33.0,,,62-71,,J. Teague misses 3-pt shot from 26 ft
9:32.0,Defensive rebound by K. Garnett,,62-71,,
9:29.0,,,62-71,,Personal foul by D. Carroll (drawn by J. Johnson)
9:22.0,M. Plumlee misses 2-pt shot at rim (block by P. Millsap),,62-71,,
9:21.0,Offensive rebound by M. Plumlee,,62-71,,
9:21.0,M. Plumlee makes 2-pt shot at rim,2,64-71,,
9:21.0,Shooting foul by A. Horford (drawn by M. Plumlee),,64-71,,
9:21.0,M. Plumlee misses free throw 1 of 1,,64-71,,
9:20.0,,,64-71,,Defensive rebound by A. Horford
9:15.0,,,64-71,,J. Teague misses 2-pt shot from 2 ft (block by M. Plumlee)
9:11.0,Defensive rebound by J. Jack,,64-71,,
9:07.0,Turnover by A. Anderson (bad pass; steal by P. Millsap),,64-71,,
9:07.0,,,64-71,,Turnover by P. Millsap (step out of bounds)
8:55.0,K. Garnett misses 2-pt shot from 18 ft,,64-71,,
8:54.0,,,64-71,,Defensive rebound by A. Horford
8:43.0,,,64-71,,Shooting foul by J. Jack (drawn by P. Millsap)
8:43.0,,,64-72,1,P. Millsap makes free throw 1 of 2
8:43.0,,,64-73,1,P. Millsap makes free throw 2 of 2
8:20.0,K. Garnett misses 2-pt shot from 8 ft,,64-73,,
8:19.0,Offensive rebound by K. Garnett,,64-73,,
8:13.0,K. Garnett makes 2-pt shot from 19 ft (assist by J. Jack),2,66-73,,
7:56.0,,,66-73,,Turnover by P. Millsap (lost ball)
7:40.0,Shooting foul by K. Korver (drawn by A. Anderson),,66-73,,
7:40.0,A. Anderson makes free throw 1 of 3,1,67-73,,
7:40.0,A. Anderson makes free throw 2 of 3,1,68-73,,
7:40.0,A. Anderson makes free throw 3 of 3,1,69-73,,
7:20.0,,,69-76,3,K. Korver makes 3-pt shot from 22 ft (assist by J. Teague)
6:59.0,J. Jack makes 3-pt shot from 25 ft (assist by A. Anderson),3,72-76,,
6:42.0,,,72-78,2,J. Teague makes 2-pt shot at rim
6:29.0,A. Anderson misses 3-pt shot from 24 ft,,72-78,,
6:27.0,,,72-78,,Defensive rebound by A. Horford
6:12.0,,,72-80,2,A. Horford makes 2-pt shot from 19 ft (assist by J. Teague)
5:57.0,J. Johnson makes 2-pt shot from 16 ft (assist by J. Jack),2,74-80,,
5:36.0,,,74-80,,P. Millsap misses 3-pt shot from 23 ft
5:35.0,Defensive rebound by K. Garnett,,74-80,,
5:29.0,J. Jack misses 2-pt shot from 20 ft,,74-80,,
5:28.0,,,74-80,,Defensive rebound by P. Millsap
5:27.0,Personal foul by K. Garnett (drawn by K. Korver),,74-80,,
5:27.0,,,74-80,,Atlanta full timeout
5:27.0,,,74-80,,T. Sefolosha enters the game for D. Carroll
5:26.0,B. Lopez enters the game for K. Garnett,,74-80,,
5:06.0,,,74-80,,J. Teague misses 2-pt shot from 17 ft
5:05.0,Defensive rebound by J. Jack,,74-80,,
4:49.0,J. Jack misses 2-pt shot from 17 ft,,74-80,,
4:49.0,,,74-80,,Defensive rebound by Team
4:49.0,Loose ball foul by B. Lopez (drawn by A. Horford),,74-80,,
4:49.0,,,74-80,,D. Carroll enters the game for A. Horford
4:49.0,,,74-80,,P. Antic enters the game for K. Korver
4:34.0,,,74-80,,T. Sefolosha misses 3-pt shot from 23 ft
4:32.0,Defensive rebound by Team,,74-80,,
4:23.0,J. Johnson makes 2-pt shot from 18 ft (assist by J. Jack),2,76-80,,
4:11.0,,,76-80,,J. Teague misses 2-pt shot from 4 ft
4:09.0,Defensive rebound by B. Lopez,,76-80,,
4:03.0,J. Johnson misses 2-pt shot from 22 ft,,76-80,,
4:03.0,,,76-80,,Defensive rebound by Team
4:03.0,Loose ball foul by M. Plumlee (drawn by P. Millsap),,76-80,,
4:03.0,,,76-81,1,P. Millsap makes free throw 1 of 2
4:03.0,B. Bogdanovic enters the game for A. Anderson,,76-81,,
4:03.0,,,76-81,,P. Millsap misses free throw 2 of 2
4:00.0,Defensive rebound by M. Plumlee,,76-81,,
3:50.0,B. Lopez misses 2-pt shot from 18 ft,,76-81,,
3:46.0,,,76-81,,Defensive rebound by D. Carroll
3:26.0,,,76-83,2,J. Teague makes 2-pt shot from 1 ft
3:10.0,B. Bogdanovic misses 3-pt shot from 24 ft,,76-83,,
3:09.0,,,76-83,,Defensive rebound by P. Antic
3:00.0,,,76-83,,T. Sefolosha misses 3-pt shot from 23 ft
2:57.0,,,76-83,,Offensive rebound by P. Millsap
2:48.0,,,76-83,,P. Antic misses 3-pt shot from 23 ft
2:46.0,,,76-83,,Offensive rebound by T. Sefolosha
2:32.0,,,76-83,,Shooting foul by B. Lopez (drawn by P. Millsap)
2:32.0,Brooklyn full timeout,,76-83,,
2:32.0,,,76-83,,D. Schroder enters the game for J. Teague
2:32.0,,,76-84,1,P. Millsap makes free throw 1 of 2
2:32.0,,,76-85,1,P. Millsap makes free throw 2 of 2
2:08.0,J. Jack misses 2-pt shot from 21 ft,,76-85,,
2:07.0,,,76-85,,Defensive rebound by D. Carroll
1:47.0,,,76-85,,D. Schroder misses 2-pt shot from 2 ft
1:46.0,Defensive rebound by B. Lopez,,76-85,,
1:37.0,Shooting foul by D. Carroll (drawn by B. Lopez),,76-85,,
1:37.0,B. Lopez makes free throw 1 of 2,1,77-85,,
1:37.0,,,77-85,,K. Korver enters the game for D. Carroll
1:37.0,D. Morris enters the game for J. Jack,,77-85,,
1:37.0,,,77-85,,A. Horford enters the game for P. Millsap
1:37.0,A. Anderson enters the game for J. Johnson,,77-85,,
1:37.0,B. Lopez makes free throw 2 of 2,1,78-85,,
1:20.0,,,78-87,2,D. Schroder makes 2-pt shot from 17 ft (assist by K. Korver)
0:56.0,B. Bogdanovic makes 3-pt shot from 24 ft (assist by D. Morris),3,81-87,,
0:43.0,,,81-89,2,A. Horford makes 2-pt shot from 19 ft (assist by T. Sefolosha)
0:35.0,D. Morris misses 3-pt shot from 25 ft,,81-89,,
0:31.0,,,81-89,,Defensive rebound by P. Antic
0:09.0,,,81-89,,P. Antic misses 3-pt shot from 25 ft
0:09.0,,,81-89,,Offensive rebound by Team
0:09.0,,,81-89,,Turnover by Team (shot clock)
0:09.0,C. Jefferson enters the game for M. Plumlee,,81-89,,
0:02.0,Turnover by D. Morris (bad pass; steal by T. Sefolosha),,81-89,,
0:00.0,End of 3rd quarter,,,,End of 3rd quarter
12:00.0,Start of 4th quarter,,,,Start of 4th quarter
11:45.0,,,81-89,,Turnover by D. Schroder (bad pass)
11:23.0,C. Jefferson misses 2-pt shot from 13 ft,,81-89,,
11:22.0,Offensive rebound by B. Bogdanovic,,81-89,,
11:18.0,A. Anderson misses 3-pt shot from 25 ft,,81-89,,
11:17.0,Offensive rebound by B. Bogdanovic,,81-89,,
11:16.0,B. Bogdanovic misses 2-pt shot at rim,,81-89,,
11:14.0,,,81-89,,Defensive rebound by D. Schroder
11:11.0,Violation by C. Jefferson (def goaltending),,81-89,,
11:11.0,,,81-91,2,D. Schroder makes 2-pt shot from 1 ft
10:51.0,B. Lopez makes 2-pt shot from 10 ft,2,83-91,,
10:39.0,Personal foul by B. Bogdanovic (drawn by D. Schroder),,83-91,,
10:39.0,,,83-91,,M. Scott enters the game for P. Antic
10:26.0,,,83-91,,M. Scott misses 3-pt shot from 25 ft
10:24.0,Defensive rebound by A. Anderson,,83-91,,
10:05.0,B. Lopez makes 2-pt shot from 5 ft (assist by B. Bogdanovic),2,85-91,,
9:49.0,,,85-93,2,A. Horford makes 2-pt shot from 17 ft (assist by M. Scott)
9:26.0,D. Morris misses 3-pt shot from 23 ft,,85-93,,
9:25.0,,,85-93,,Defensive rebound by K. Korver
9:04.0,,,85-93,,M. Scott misses 3-pt shot from 24 ft
9:02.0,Defensive rebound by A. Anderson,,85-93,,
8:49.0,B. Lopez misses 2-pt shot from 22 ft,,85-93,,
8:47.0,,,85-93,,Defensive rebound by K. Korver
8:23.0,,,85-95,2,A. Horford makes 2-pt shot from 4 ft (assist by M. Scott)
8:07.0,A. Anderson makes 3-pt shot from 24 ft,3,88-95,,
8:00.0,,,88-95,,Atlanta full timeout
8:00.0,,,88-95,,P. Millsap enters the game for A. Horford
8:00.0,,,88-95,,K. Bazemore enters the game for T. Sefolosha
8:00.0,J. Jack enters the game for B. Bogdanovic,,88-95,,
8:00.0,J. Johnson enters the game for D. Morris,,88-95,,
7:44.0,,,88-97,2,D. Schroder makes 2-pt shot from 2 ft
7:30.0,A. Anderson misses 2-pt shot from 1 ft (block by K. Korver),,88-97,,
7:30.0,,,88-97,,Defensive rebound by Team
7:15.0,,,88-100,3,K. Korver makes 3-pt shot from 25 ft (assist by M. Scott)
6:58.0,J. Johnson makes 3-pt shot from 25 ft (assist by J. Jack),3,91-100,,
6:43.0,,,91-100,,M. Scott misses 2-pt shot from 1 ft
6:42.0,Defensive rebound by B. Lopez,,91-100,,
6:26.0,J. Jack misses 2-pt shot from 13 ft (block by K. Korver),,91-100,,
6:24.0,,,91-100,,Defensive rebound by K. Bazemore
6:21.0,,,91-102,2,M. Scott makes 2-pt shot at rim (assist by K. Korver)
5:55.0,J. Johnson misses 3-pt shot from 24 ft,,91-102,,
5:54.0,,,91-102,,Defensive rebound by D. Schroder
5:45.0,,,91-102,,P. Millsap misses 3-pt shot from 24 ft
5:43.0,Defensive rebound by C. Jefferson,,91-102,,
5:32.0,C. Jefferson misses 2-pt shot from 19 ft,,91-102,,
5:30.0,,,91-102,,Defensive rebound by P. Millsap
5:24.0,,,91-102,,Shooting foul by B. Lopez (drawn by P. Millsap)
5:24.0,Official timeout,,91-102,,
5:24.0,,,91-102,,A. Horford enters the game for K. Korver
5:24.0,,,91-102,,D. Carroll enters the game for D. Schroder
5:24.0,,,91-102,,J. Teague enters the game for M. Scott
5:24.0,,,91-103,1,P. Millsap makes free throw 1 of 2
5:24.0,,,91-104,1,P. Millsap makes free throw 2 of 2
5:17.0,,,91-104,,Personal foul by K. Bazemore (drawn by A. Anderson)
4:59.0,J. Jack misses 2-pt shot from 18 ft,,91-104,,
4:56.0,,,91-104,,Defensive rebound by A. Horford
4:38.0,,,91-106,2,P. Millsap makes 2-pt shot from 1 ft (assist by K. Bazemore)
4:24.0,J. Jack makes 3-pt shot from 23 ft (assist by A. Anderson),3,94-106,,
4:08.0,,,94-106,,K. Bazemore misses 3-pt shot from 22 ft
4:07.0,Defensive rebound by B. Lopez,,94-106,,
3:59.0,,,94-106,,Personal foul by D. Carroll (drawn by A. Anderson)
3:59.0,M. Plumlee enters the game for C. Jefferson,,94-106,,
3:59.0,,,94-106,,K. Korver enters the game for D. Carroll
3:52.0,,,94-106,,Personal foul by J. Teague (drawn by M. Plumlee)
3:42.0,Shooting foul by P. Millsap (drawn by B. Lopez),,94-106,,
3:42.0,B. Lopez makes free throw 1 of 2,1,95-106,,
3:42.0,B. Lopez makes free throw 2 of 2,1,96-106,,
