time,Denver,pts.away,score,pts.home,Houston
5:28.0,,,17-21,2,T. Jones makes 2-pt shot from 6 ft (assist by P. Beverley)
5:16.0,Turnover by T. Lawson (bad pass; steal by J. Harden),,17-21,,
5:12.0,,,17-23,2,J. Harden makes 2-pt shot at rim
4:48.0,R. Foye misses 2-pt shot from 7 ft,,17-23,,
4:47.0,Offensive rebound by K. Faried,,17-23,,
4:47.0,K. Faried makes 2-pt shot from 1 ft,2,19-23,,
4:33.0,,,19-25,2,T. Jones makes 2-pt shot at rim (assist by T. Ariza)
4:23.0,,,19-25,,Houston full timeout
4:23.0,,,19-25,,C. Brewer enters the game for T. Ariza
4:23.0,,,19-25,,J. Smith enters the game for D. Motiejunas
4:13.0,R. Foye makes 3-pt shot from 25 ft (assist by K. Faried),3,22-25,,
4:01.0,,,22-25,,Shooting foul by R. Foye (drawn by J. Harden)
4:01.0,,,22-26,1,J. Harden makes free throw 1 of 2
4:01.0,W. Barton enters the game for R. Foye,,22-26,,
4:01.0,J. Nelson enters the game for T. Lawson,,22-26,,
4:01.0,,,22-27,1,J. Harden makes free throw 2 of 2
3:40.0,D. Gallinari misses 2-pt shot from 18 ft,,22-27,,
3:38.0,,,22-27,,Defensive rebound by J. Harden
3:32.0,,,22-30,3,J. Harden makes 3-pt shot from 24 ft
3:26.0,,,22-30,,Personal take foul by T. Jones (drawn by J. Nelson)
3:26.0,,,22-30,,D. Motiejunas enters the game for T. Jones
3:26.0,Denver full timeout,,22-30,,
3:26.0,,,22-30,,P. Prigioni enters the game for P. Beverley
3:08.0,W. Chandler makes 2-pt shot from 2 ft,2,24-30,,
3:00.0,,,24-30,,Shooting foul by W. Barton (drawn by J. Harden)
3:00.0,,,24-30,,J. Harden misses free throw 1 of 2
3:00.0,,,24-30,,Offensive rebound by Team
3:00.0,D. Arthur enters the game for D. Gallinari,,24-30,,
3:00.0,J. Hickson enters the game for K. Faried,,24-30,,
3:00.0,,,24-30,,J. Dorsey enters the game for D. Motiejunas
3:00.0,,,24-30,,J. Harden misses free throw 2 of 2
3:00.0,Defensive rebound by J. Hickson,,24-30,,
2:40.0,J. Nelson makes 3-pt shot from 25 ft (assist by W. Chandler),3,27-30,,
2:22.0,,,27-30,,J. Harden misses 2-pt shot from 8 ft
2:21.0,Defensive rebound by D. Arthur,,27-30,,
2:14.0,J. Nelson misses 3-pt shot from 25 ft,,27-30,,
2:13.0,,,27-30,,Defensive rebound by J. Harden
2:05.0,,,27-32,2,J. Harden makes 2-pt shot from 3 ft
1:57.0,W. Chandler misses 3-pt shot from 22 ft,,27-32,,
1:55.0,,,27-32,,Defensive rebound by C. Brewer
1:46.0,,,27-32,,Shooting foul by D. Arthur (drawn by J. Dorsey)
1:46.0,,,27-33,1,J. Dorsey makes free throw 1 of 2
1:46.0,,,27-33,,J. Dorsey misses free throw 2 of 2
1:45.0,,,27-33,,Offensive rebound by C. Brewer
1:39.0,,,27-33,,J. Dorsey misses 2-pt shot from 2 ft
1:38.0,Defensive rebound by W. Barton,,27-33,,
1:35.0,Turnover by W. Barton (bad pass),,27-33,,
1:19.0,,,27-33,,Turnover by J. Harden (back court)
1:14.0,Turnover by J. Hickson (traveling),,27-33,,
1:04.0,,,27-33,,J. Harden misses 2-pt shot from 10 ft
1:02.0,Defensive rebound by D. Arthur,,27-33,,
0:42.0,W. Barton misses 2-pt shot from 21 ft,,27-33,,
0:40.0,,,27-33,,Defensive rebound by J. Harden
0:24.0,,,27-33,,J. Harden misses 2-pt shot from 16 ft
0:22.0,Defensive rebound by J. Hickson,,27-33,,
0:01.0,D. Arthur misses 2-pt shot from 14 ft,,27-33,,
0:00.0,Offensive rebound by W. Barton,,27-33,,
0:00.0,W. Barton misses 2-pt shot from 1 ft,,27-33,,
0:00.0,Offensive rebound by Team,,27-33,,
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:46.0,J. Nelson misses 2-pt shot from 8 ft,,27-33,,
11:44.0,,,27-33,,Defensive rebound by T. Ariza
11:29.0,,,27-33,,Turnover by D. Motiejunas (lost ball)
11:13.0,Turnover by J. Hickson (3 sec),,27-33,,
10:56.0,,,27-33,,J. Smith misses 2-pt shot from 20 ft
10:55.0,Defensive rebound by W. Barton,,27-33,,
10:47.0,J. Nelson makes 3-pt shot from 25 ft (assist by T. Lawson),3,30-33,,
10:34.0,,,30-36,3,P. Prigioni makes 3-pt shot from 24 ft (assist by D. Motiejunas)
10:20.0,D. Arthur misses 2-pt shot from 17 ft,,30-36,,
10:19.0,,,30-36,,Defensive rebound by C. Brewer
10:15.0,,,30-36,,Turnover by C. Brewer (offensive foul)
10:15.0,,,30-36,,Offensive charge foul by C. Brewer
10:06.0,D. Arthur misses 2-pt shot from 9 ft,,30-36,,
10:06.0,,,30-36,,Defensive rebound by Team
9:56.0,,,30-36,,C. Brewer misses 2-pt shot from 2 ft
9:55.0,Defensive rebound by D. Arthur,,30-36,,
9:49.0,T. Lawson misses 2-pt shot from 10 ft,,30-36,,
9:47.0,,,30-36,,Defensive rebound by C. Brewer
9:42.0,,,30-36,,Turnover by J. Smith (lost ball)
9:30.0,J. Hickson makes 2-pt shot at rim (assist by T. Lawson),2,32-36,,
9:18.0,,,32-38,2,J. Smith makes 2-pt shot from 1 ft (assist by P. Prigioni)
9:04.0,,,32-38,,P. Beverley enters the game for P. Prigioni
9:04.0,D. Gallinari enters the game for J. Hickson,,32-38,,
8:55.0,J. Nelson makes 3-pt shot from 25 ft (assist by T. Lawson),3,35-38,,
8:42.0,,,35-38,,T. Ariza misses 2-pt shot from 19 ft
8:40.0,,,35-38,,Offensive rebound by J. Smith
8:39.0,Personal foul by W. Barton (drawn by D. Motiejunas),,35-38,,
8:39.0,,,35-38,,Houston full timeout
8:23.0,,,35-38,,J. Smith misses 3-pt shot from 23 ft
8:23.0,,,35-38,,Offensive rebound by Team
8:23.0,Loose ball foul by J. Nelson (drawn by D. Motiejunas),,35-38,,
8:14.0,,,35-40,2,J. Smith makes 2-pt shot at rim (assist by D. Motiejunas)
8:01.0,Shooting foul by J. Smith (drawn by D. Gallinari),,35-40,,
8:01.0,D. Gallinari makes free throw 1 of 2,1,36-40,,
8:01.0,K. Faried enters the game for D. Arthur,,36-40,,
8:01.0,D. Gallinari makes free throw 2 of 2,1,37-40,,
7:41.0,,,37-40,,P. Beverley misses 3-pt shot from 25 ft
7:40.0,Defensive rebound by D. Gallinari,,37-40,,
7:31.0,K. Faried misses 2-pt shot from 2 ft (block by J. Smith),,37-40,,
7:31.0,Offensive rebound by Team,,37-40,,
7:31.0,,,37-40,,J. Harden enters the game for C. Brewer
7:31.0,R. Foye enters the game for J. Nelson,,37-40,,
7:28.0,Turnover by D. Gallinari (bad pass; steal by P. Beverley),,37-40,,
7:25.0,,,37-42,2,T. Ariza makes 2-pt shot at rim (assist by P. Beverley)
7:11.0,Turnover by T. Lawson (bad pass),,37-42,,
6:59.0,,,37-42,,D. Motiejunas misses 3-pt shot from 22 ft
6:58.0,,,37-42,,Offensive rebound by J. Harden
6:57.0,,,37-42,,Shooting foul by R. Foye (drawn by J. Smith)
6:57.0,,,37-43,1,J. Smith makes free throw 1 of 2
6:57.0,W. Chandler enters the game for W. Barton,,37-43,,
6:57.0,,,37-44,1,J. Smith makes free throw 2 of 2
6:35.0,T. Lawson misses 3-pt shot from 24 ft,,37-44,,
6:35.0,,,37-44,,Defensive rebound by Team
6:35.0,Loose ball foul by K. Faried (drawn by D. Motiejunas),,37-44,,
6:35.0,,,37-44,,Technical foul by J. Smith
6:35.0,D. Gallinari makes technical free throw,1,38-44,,
6:35.0,,,38-44,,J. Dorsey enters the game for J. Smith
6:26.0,,,38-44,,T. Ariza misses 3-pt shot from 23 ft
6:25.0,Defensive rebound by K. Faried,,38-44,,
6:22.0,Turnover by K. Faried (bad pass; steal by T. Ariza),,38-44,,
6:18.0,Personal foul by T. Lawson (drawn by J. Harden),,38-44,,
6:18.0,,,38-45,1,J. Harden makes free throw 1 of 2
6:18.0,,,38-46,1,J. Harden makes free throw 2 of 2
6:07.0,R. Foye misses 3-pt shot from 25 ft,,38-46,,
6:05.0,,,38-46,,Defensive rebound by T. Ariza
5:54.0,,,38-46,,J. Harden misses 3-pt shot from 26 ft
5:52.0,Defensive rebound by D. Gallinari,,38-46,,
5:46.0,Turnover by D. Gallinari (lost ball),,38-46,,
5:46.0,,,38-46,,Houston full timeout
5:40.0,Personal foul by D. Gallinari (drawn by D. Motiejunas),,38-46,,
5:40.0,,,38-46,,D. Motiejunas misses free throw 1 of 2
5:40.0,,,38-46,,Offensive rebound by Team
5:40.0,,,38-47,1,D. Motiejunas makes free throw 2 of 2
5:21.0,K. Faried misses 2-pt shot from 6 ft,,38-47,,
5:20.0,,,38-47,,Defensive rebound by J. Dorsey
5:01.0,,,38-49,2,J. Harden makes 2-pt shot from 1 ft (assist by P. Beverley)
4:53.0,W. Chandler misses 2-pt shot from 1 ft,,38-49,,
4:51.0,,,38-49,,Defensive rebound by D. Motiejunas
4:33.0,,,38-49,,P. Beverley misses 2-pt shot from 2 ft (block by K. Faried)
4:32.0,Defensive rebound by R. Foye,,38-49,,
4:27.0,D. Gallinari misses 3-pt shot from 25 ft,,38-49,,
4:25.0,,,38-49,,Defensive rebound by J. Dorsey
4:18.0,Jump ball: R. Foye vs. J. Harden (P. Beverley gains possession),,,,Jump ball: R. Foye vs. J. Harden (P. Beverley gains possession)
4:04.0,,,38-49,,J. Harden misses 2-pt shot from 16 ft
4:03.0,,,38-49,,Offensive rebound by D. Motiejunas
4:03.0,,,38-49,,D. Motiejunas misses 2-pt shot from 1 ft
4:02.0,Defensive rebound by W. Chandler,,38-49,,
3:52.0,K. Faried makes 2-pt shot from 2 ft,2,40-49,,
3:41.0,,,40-49,,Turnover by T. Ariza (bad pass; steal by W. Chandler)
3:37.0,W. Chandler makes 2-pt shot from 1 ft,2,42-49,,
3:37.0,,,42-49,,Houston full timeout
3:37.0,,,42-49,,J. Smith enters the game for D. Motiejunas
3:37.0,J. Nelson enters the game for R. Foye,,42-49,,
3:23.0,,,42-49,,Turnover by T. Ariza (bad pass; steal by W. Chandler)
3:19.0,W. Chandler misses 2-pt shot at rim,,42-49,,
3:17.0,,,42-49,,Defensive rebound by T. Ariza
3:11.0,,,42-51,2,J. Harden makes 2-pt shot from 1 ft (assist by P. Beverley)
3:04.0,Shooting foul by J. Harden (drawn by K. Faried),,42-51,,
3:04.0,K. Faried misses free throw 1 of 2,,42-51,,
3:04.0,Offensive rebound by Team,,42-51,,
3:04.0,,,42-51,,C. Brewer enters the game for T. Ariza
3:04.0,K. Faried makes free throw 2 of 2,1,43-51,,
2:53.0,,,43-51,,Shooting foul by W. Chandler (drawn by J. Harden)
2:53.0,Denver full timeout,,43-51,,
2:53.0,,,43-52,1,J. Harden makes free throw 1 of 2
2:53.0,,,43-53,1,J. Harden makes free throw 2 of 2
2:38.0,W. Chandler makes 2-pt shot from 1 ft (assist by T. Lawson),2,45-53,,
2:18.0,,,45-53,,Shooting foul by T. Lawson (drawn by P. Beverley)
2:18.0,,,45-54,1,P. Beverley makes free throw 1 of 2
2:18.0,,,45-55,1,P. Beverley makes free throw 2 of 2
2:05.0,Turnover by W. Chandler (3 sec),,45-55,,
1:56.0,,,45-57,2,C. Brewer makes 2-pt shot from 2 ft (assist by J. Smith)
1:42.0,J. Nelson misses 2-pt shot from 10 ft,,45-57,,
1:41.0,Offensive rebound by K. Faried,,45-57,,
1:41.0,Shooting foul by J. Dorsey (drawn by K. Faried),,45-57,,
1:41.0,K. Faried makes free throw 1 of 2,1,46-57,,
1:41.0,W. Barton enters the game for J. Nelson,,46-57,,
1:41.0,K. Faried misses free throw 2 of 2,,46-57,,
1:41.0,,,46-57,,Defensive rebound by J. Dorsey
1:20.0,,,46-57,,C. Brewer misses 2-pt shot from 2 ft
1:19.0,Defensive rebound by K. Faried,,46-57,,
1:15.0,W. Chandler makes 2-pt shot from 1 ft (assist by K. Faried),2,48-57,,
0:56.0,,,48-60,3,P. Beverley makes 3-pt shot from 25 ft (assist by C. Brewer)
0:48.0,T. Lawson misses 2-pt shot from 15 ft,,48-60,,
0:46.0,,,48-60,,Defensive rebound by C. Brewer
0:42.0,,,48-60,,Shooting foul by W. Chandler (drawn by J. Harden)
0:42.0,R. Foye enters the game for W. Chandler,,48-60,,
0:42.0,,,48-61,1,J. Harden makes free throw 1 of 2
0:42.0,,,48-62,1,J. Harden makes free throw 2 of 2
0:31.0,Shooting foul by J. Dorsey (drawn by D. Gallinari),,48-62,,
0:31.0,D. Gallinari makes free throw 1 of 2,1,49-62,,
0:31.0,D. Gallinari misses free throw 2 of 2,,49-62,,
0:31.0,,,49-62,,Defensive rebound by J. Dorsey
0:10.0,,,49-65,3,J. Smith makes 3-pt shot from 23 ft (assist by C. Brewer)
0:02.0,D. Gallinari misses 3-pt shot from 25 ft,,49-65,,
0:01.0,,,49-65,,Defensive rebound by C. Brewer
0:00.0,End of 2nd quarter,,,,End of 2nd quarter
12:00.0,Start of 3rd quarter,,,,Start of 3rd quarter
11:46.0,W. Chandler misses 3-pt shot from 24 ft,,49-65,,
11:44.0,,,49-65,,Defensive rebound by P. Beverley
11:32.0,,,49-65,,Turnover by P. Beverley (step out of bounds)
11:21.0,R. Foye misses 2-pt shot from 17 ft,,49-65,,
11:19.0,,,49-65,,Defensive rebound by T. Ariza
11:04.0,,,49-65,,Turnover by D. Motiejunas (bad pass; steal by W. Chandler)
11:04.0,,,49-65,,Loose ball foul by D. Motiejunas (drawn by K. Faried)
10:41.0,K. Faried makes 2-pt shot from 1 ft (assist by R. Foye),2,51-65,,
10:23.0,,,51-67,2,D. Motiejunas makes 2-pt shot from 1 ft (assist by J. Dorsey)
10:13.0,Turnover by T. Lawson (bad pass; steal by D. Motiejunas),,51-67,,
10:06.0,,,51-67,,T. Ariza misses 3-pt shot from 25 ft
10:04.0,Defensive rebound by W. Chandler,,51-67,,
9:56.0,Turnover by T. Lawson (lost ball; steal by J. Dorsey),,51-67,,
9:50.0,,,51-67,,J. Harden misses 3-pt shot from 25 ft
9:48.0,Defensive rebound by K. Faried,,51-67,,
9:42.0,R. Foye makes 3-pt shot from 25 ft (assist by T. Lawson),3,54-67,,
9:17.0,,,54-69,2,J. Dorsey makes 2-pt shot from 2 ft (assist by J. Harden)
9:17.0,,,54-69,,Shooting foul by R. Foye (drawn by J. Dorsey)
9:17.0,Violation by R. Foye (lane),,54-69,,
9:17.0,,,54-69,,J. Dorsey misses free throw 1 of 1
9:16.0,,,54-69,,Offensive rebound by D. Motiejunas
9:15.0,,,54-69,,D. Motiejunas misses 2-pt shot from 2 ft
9:11.0,,,54-69,,Offensive rebound by Team
9:08.0,,,54-69,,P. Beverley misses 3-pt shot from 24 ft
9:07.0,Defensive rebound by W. Chandler,,54-69,,
9:00.0,W. Chandler makes 2-pt shot from 3 ft,2,56-69,,
8:45.0,,,56-72,3,J. Harden makes 3-pt shot from 26 ft (assist by T. Ariza)
8:28.0,D. Gallinari makes 2-pt shot from 21 ft,2,58-72,,
8:13.0,,,58-74,2,D. Motiejunas makes 2-pt shot from 8 ft (assist by P. Beverley)
7:57.0,,,58-74,,Personal foul by T. Ariza (drawn by D. Gallinari)
7:43.0,D. Gallinari misses 3-pt shot from 25 ft,,58-74,,
7:43.0,Offensive rebound by Team,,58-74,,
7:43.0,Turnover by Team (shot clock),,58-74,,
7:27.0,,,58-74,,J. Harden misses 3-pt shot from 25 ft
7:26.0,Defensive rebound by W. Chandler,,58-74,,
7:18.0,W. Chandler misses 2-pt shot from 21 ft,,58-74,,
7:18.0,Offensive rebound by Team,,58-74,,
7:18.0,,,58-74,,Loose ball foul by J. Dorsey (drawn by K. Faried)
7:01.0,R. Foye misses 3-pt shot from 23 ft,,58-74,,
7:00.0,,,58-74,,Defensive rebound by T. Ariza
6:47.0,,,58-74,,J. Dorsey misses 2-pt shot from 5 ft
6:45.0,Defensive rebound by K. Faried,,58-74,,
6:37.0,Turnover by T. Lawson (bad pass; steal by D. Motiejunas),,58-74,,
6:33.0,,,58-74,,Shooting foul by W. Chandler (drawn by J. Harden)
6:33.0,,,58-75,1,J. Harden makes free throw 1 of 2
6:33.0,J. Nurkic enters the game for W. Chandler,,58-75,,
6:33.0,,,58-75,,J. Smith enters the game for J. Dorsey
6:33.0,,,58-76,1,J. Harden makes free throw 2 of 2
6:20.0,T. Lawson makes 2-pt shot from 17 ft,2,60-76,,
6:06.0,,,60-76,,T. Ariza misses 3-pt shot from 25 ft
6:05.0,Defensive rebound by J. Nurkic,,60-76,,
5:53.0,T. Lawson makes 2-pt shot from 21 ft,2,62-76,,
5:42.0,,,62-76,,Shooting foul by J. Nurkic (drawn by J. Harden)
5:42.0,,,62-76,,Houston full timeout
5:42.0,D. Arthur enters the game for K. Faried,,62-76,,
5:42.0,,,62-77,1,J. Harden makes free throw 1 of 2
5:42.0,,,62-78,1,J. Harden makes free throw 2 of 2
5:30.0,R. Foye makes 2-pt shot from 22 ft,2,64-78,,
5:13.0,,,64-78,,J. Smith misses 2-pt shot from 12 ft
5:11.0,Defensive rebound by R. Foye,,64-78,,
5:03.0,R. Foye makes 2-pt shot from 4 ft,2,66-78,,
4:46.0,,,66-78,,Turnover by P. Beverley (step out of bounds)
4:38.0,R. Foye makes 3-pt shot from 24 ft,3,69-78,,
4:25.0,Personal foul by J. Nurkic (drawn by D. Motiejunas),,69-78,,
4:25.0,,,69-78,,C. Brewer enters the game for T. Ariza
4:19.0,,,69-78,,C. Brewer misses 2-pt shot from 8 ft
4:17.0,Defensive rebound by T. Lawson,,69-78,,
4:08.0,R. Foye misses 2-pt shot from 4 ft (block by J. Smith),,69-78,,
4:08.0,Offensive rebound by Team,,69-78,,
4:03.0,J. Nurkic misses 2-pt shot from 2 ft,,69-78,,
4:02.0,,,69-78,,Defensive rebound by D. Motiejunas
3:42.0,,,69-81,3,J. Harden makes 3-pt shot from 23 ft (assist by P. Beverley)
3:28.0,T. Lawson misses 3-pt shot from 26 ft,,69-81,,
3:27.0,Offensive rebound by D. Arthur,,69-81,,
3:23.0,R. Foye makes 3-pt shot from 26 ft (assist by D. Arthur),3,72-81,,
3:06.0,W. Barton enters the game for D. Gallinari,,72-81,,
3:01.0,,,72-81,,Turnover by J. Smith (bad pass; steal by R. Foye)
2:50.0,R. Foye misses 3-pt shot from 27 ft,,72-81,,
2:49.0,,,72-81,,Defensive rebound by D. Motiejunas
2:43.0,,,72-83,2,J. Harden makes 2-pt shot at rim
2:32.0,D. Arthur misses 3-pt shot from 24 ft,,72-83,,
2:30.0,,,72-83,,Defensive rebound by C. Brewer
2:12.0,,,72-83,,C. Brewer misses 3-pt shot from 23 ft
2:10.0,Defensive rebound by J. Nurkic,,72-83,,
2:00.0,T. Lawson misses 2-pt shot from 2 ft,,72-83,,
1:59.0,,,72-83,,Defensive rebound by C. Brewer
1:59.0,Denver full timeout,,72-83,,
1:59.0,,,72-83,,P. Prigioni enters the game for D. Motiejunas
1:59.0,,,72-83,,J. Dorsey enters the game for P. Beverley
1:59.0,J. Nelson enters the game for R. Foye,,72-83,,
1:44.0,,,72-86,3,J. Smith makes 3-pt shot from 24 ft (assist by P. Prigioni)
1:20.0,Turnover by W. Barton (bad pass),,72-86,,
1:13.0,,,72-86,,Turnover by J. Harden (lost ball; steal by W. Barton)
1:09.0,W. Barton misses 2-pt shot at rim,,72-86,,
1:07.0,Offensive rebound by J. Nurkic,,72-86,,
1:06.0,J. Nurkic misses 2-pt shot from 2 ft (block by J. Smith),,72-86,,
1:04.0,,,72-86,,Defensive rebound by J. Smith
1:02.0,Shooting block foul by J. Nelson (drawn by J. Harden),,72-86,,
1:02.0,,,72-87,1,J. Harden makes free throw 1 of 2
1:02.0,,,72-88,1,J. Harden makes free throw 2 of 2
0:49.0,W. Barton misses 3-pt shot from 25 ft,,72-88,,
0:47.0,,,72-88,,Defensive rebound by J. Dorsey
0:42.0,,,72-88,,Turnover by P. Prigioni (bad pass)
0:32.0,J. Nurkic misses 2-pt shot from 3 ft,,72-88,,
0:30.0,,,72-88,,Defensive rebound by J. Dorsey
0:26.0,,,72-88,,Turnover by J. Dorsey (back court)
0:08.0,Shooting foul by J. Smith (drawn by J. Nurkic),,72-88,,
0:08.0,J. Nurkic misses free throw 1 of 2,,72-88,,
0:08.0,Offensive rebound by Team,,72-88,,
0:08.0,,,72-88,,T. Ariza enters the game for J. Dorsey
0:08.0,G. Harris enters the game for T. Lawson,,72-88,,
0:08.0,E. Green enters the game for J. Nelson,,72-88,,
0:08.0,J. Nurkic makes free throw 2 of 2,1,73-88,,
0:04.0,,,73-88,,Shooting foul by D. Arthur (drawn by J. Harden)
0:04.0,,,73-89,1,J. Harden makes free throw 1 of 2
0:04.0,J. Nelson enters the game for D. Arthur,,73-89,,
0:04.0,T. Lawson enters the game for J. Nurkic,,73-89,,
0:04.0,,,73-90,1,J. Harden makes free throw 2 of 2
0:01.0,W. Barton misses 2-pt shot from 1 ft,,73-90,,
0:00.0,,,73-90,,Defensive rebound by J. Harden
0:00.0,End of 3rd quarter,,,,End of 3rd quarter
12:00.0,Start of 4th quarter,,,,Start of 4th quarter
11:48.0,,,73-90,,D. Motiejunas misses 2-pt shot from 8 ft
11:46.0,Defensive rebound by D. Arthur,,73-90,,
11:33.0,J. Nurkic misses 2-pt shot from 5 ft,,73-90,,
11:32.0,Offensive rebound by Team,,73-90,,
11:32.0,,,73-90,,Loose ball foul by C. Brewer (drawn by D. Arthur)
11:20.0,J. Nurkic makes 2-pt shot from 6 ft (assist by J. Nelson),2,75-90,,
11:03.0,,,75-90,,Turnover by D. Motiejunas (lost ball; steal by J. Nurkic)
10:59.0,W. Barton makes 2-pt shot at rim (assist by R. Foye),2,77-90,,
10:35.0,,,77-90,,P. Prigioni misses 3-pt shot from 24 ft
10:33.0,Defensive rebound by D. Arthur,,77-90,,
10:27.0,R. Foye makes 3-pt shot from 24 ft,3,80-90,,
10:26.0,,,80-90,,Houston full timeout
10:26.0,,,80-90,,J. Dorsey enters the game for J. Smith
10:07.0,,,80-92,2,C. Brewer makes 2-pt shot from 9 ft
9:43.0,J. Nelson makes 3-pt shot from 23 ft (assist by R. Foye),3,83-92,,
9:29.0,,,83-92,,C. Brewer misses 2-pt shot from 16 ft
9:27.0,Defensive rebound by D. Arthur,,83-92,,
9:17.0,J. Nelson misses 2-pt shot from 6 ft (block by C. Brewer),,83-92,,
9:16.0,Offensive rebound by W. Barton,,83-92,,
9:13.0,R. Foye misses 3-pt shot from 23 ft,,83-92,,
9:12.0,,,83-92,,Defensive rebound by C. Brewer
9:05.0,Personal foul by J. Nelson (drawn by D. Motiejunas),,83-92,,
9:05.0,,,83-92,,P. Beverley enters the game for P. Prigioni
8:59.0,,,83-92,,C. Brewer misses 2-pt shot from 3 ft (block by J. Nurkic)
8:59.0,,,83-92,,Offensive rebound by Team
8:55.0,,,83-92,,D. Motiejunas misses 2-pt shot from 5 ft
8:53.0,,,83-92,,Offensive rebound by J. Dorsey
8:52.0,,,83-92,,Shooting foul by D. Arthur (drawn by J. Dorsey)
8:52.0,,,83-92,,J. Dorsey misses free throw 1 of 2
8:52.0,,,83-92,,Offensive rebound by Team
8:52.0,,,83-92,,J. Dorsey misses free throw 2 of 2
8:52.0,Defensive rebound by W. Barton,,83-92,,
8:38.0,Shooting foul by J. Dorsey (drawn by J. Nelson),,83-92,,
8:38.0,J. Nelson misses free throw 1 of 3,,83-92,,
8:38.0,Offensive rebound by Team,,83-92,,
8:38.0,J. Nelson misses free throw 2 of 3,,83-92,,
8:38.0,Offensive rebound by Team,,83-92,,
8:38.0,,,83-92,,J. Harden enters the game for D. Motiejunas
8:38.0,J. Nelson makes free throw 3 of 3,1,84-92,,
8:25.0,,,84-95,3,P. Beverley makes 3-pt shot from 23 ft (assist by C. Brewer)
8:11.0,R. Foye misses 3-pt shot from 24 ft,,84-95,,
8:08.0,,,84-95,,Defensive rebound by Team
8:02.0,Violation by J. Nurkic (kicked ball),,84-95,,
7:50.0,,,84-95,,T. Ariza misses 2-pt shot from 22 ft
7:49.0,,,84-95,,Offensive rebound by P. Beverley
