time,Detroit,pts.away,score,pts.home,Washington
7:41.0,G. Monroe misses 2-pt shot from 4 ft,,9-14,,
7:40.0,,,9-14,,Defensive rebound by M. Gortat
7:38.0,,,9-14,,Shooting foul by R. Jackson (drawn by J. Wall)
7:38.0,,,9-16,2,J. Wall makes 2-pt shot from 1 ft
7:38.0,,,9-16,,J. Wall misses free throw 1 of 1
7:37.0,Defensive rebound by A. Drummond,,9-16,,
7:23.0,,,9-16,,Shooting block foul by N. Hilario (drawn by A. Drummond)
7:23.0,A. Drummond misses free throw 1 of 2,,9-16,,
7:23.0,Offensive rebound by Team,,9-16,,
7:23.0,A. Drummond misses free throw 2 of 2,,9-16,,
7:21.0,,,9-16,,Defensive rebound by M. Gortat
7:04.0,,,9-16,,B. Beal misses 2-pt shot from 19 ft
7:03.0,Defensive rebound by A. Drummond,,9-16,,
6:55.0,R. Jackson misses 3-pt shot from 24 ft,,9-16,,
6:54.0,Offensive rebound by A. Drummond,,9-16,,
6:50.0,A. Drummond makes 2-pt shot from 9 ft,2,11-16,,
6:26.0,,,11-18,2,N. Hilario makes 2-pt shot from 14 ft (assist by P. Pierce)
6:09.0,,,11-18,,Violation by M. Gortat (kicked ball)
6:09.0,,,11-18,,G. Temple enters the game for B. Beal
6:02.0,R. Jackson misses 2-pt shot at rim,,11-18,,
6:00.0,,,11-18,,Defensive rebound by N. Hilario
5:57.0,,,11-18,,Turnover by J. Wall (bad pass; steal by K. Caldwell-Pope)
5:53.0,Offensive foul by K. Caldwell-Pope,,11-18,,
5:53.0,Turnover by K. Caldwell-Pope (offensive foul),,11-18,,
5:37.0,,,11-18,,N. Hilario misses 2-pt shot from 1 ft
5:36.0,,,11-18,,Offensive rebound by N. Hilario
5:30.0,,,11-20,2,M. Gortat makes 2-pt shot from 1 ft (assist by P. Pierce)
5:14.0,T. Prince makes 2-pt shot from 14 ft (assist by R. Jackson),2,13-20,,
5:01.0,Personal foul by R. Jackson (drawn by J. Wall),,13-20,,
5:01.0,,,13-20,,O. Porter enters the game for P. Pierce
5:01.0,J. Meeks enters the game for R. Jackson,,13-20,,
5:01.0,A. Tolliver enters the game for G. Monroe,,13-20,,
5:01.0,S. Dinwiddie enters the game for K. Caldwell-Pope,,13-20,,
4:53.0,,,13-20,,J. Wall misses 2-pt shot from 13 ft
4:52.0,,,13-20,,Offensive rebound by J. Wall
4:47.0,,,13-22,2,O. Porter makes 2-pt shot from 15 ft (assist by M. Gortat)
4:29.0,T. Prince makes 2-pt shot from 21 ft (assist by S. Dinwiddie),2,15-22,,
4:16.0,,,15-22,,N. Hilario misses 2-pt shot from 3 ft
4:15.0,Defensive rebound by T. Prince,,15-22,,
3:59.0,A. Drummond makes 2-pt shot from 3 ft (assist by S. Dinwiddie),2,17-22,,
3:38.0,,,17-24,2,M. Gortat makes 2-pt shot from 2 ft (assist by O. Porter)
3:14.0,Turnover by A. Drummond (lost ball; steal by J. Wall),,17-24,,
3:14.0,Personal foul by A. Drummond (drawn by J. Wall),,17-24,,
3:14.0,,,17-24,,Washington full timeout
3:14.0,,,17-24,,D. Gooden enters the game for N. Hilario
3:14.0,C. Butler enters the game for T. Prince,,17-24,,
3:01.0,,,17-27,3,G. Temple makes 3-pt shot from 26 ft (assist by J. Wall)
2:46.0,Turnover by J. Meeks (bad pass; steal by M. Gortat),,17-27,,
2:31.0,,,17-29,2,D. Gooden makes 2-pt shot from 20 ft (assist by M. Gortat)
2:10.0,S. Dinwiddie misses 2-pt shot from 14 ft,,17-29,,
2:09.0,,,17-29,,Defensive rebound by M. Gortat
2:05.0,Personal foul by S. Dinwiddie (drawn by J. Wall),,17-29,,
2:05.0,,,17-30,1,J. Wall makes free throw 1 of 2
2:05.0,,,17-31,1,J. Wall makes free throw 2 of 2
1:51.0,J. Meeks makes 3-pt shot from 27 ft (assist by S. Dinwiddie),3,20-31,,
1:31.0,,,20-31,,G. Temple misses 3-pt shot from 26 ft
1:29.0,Defensive rebound by A. Drummond,,20-31,,
1:20.0,A. Tolliver makes 3-pt shot from 24 ft (assist by S. Dinwiddie),3,23-31,,
1:01.0,,,23-31,,O. Porter misses 2-pt shot from 19 ft
1:00.0,Defensive rebound by C. Butler,,23-31,,
0:55.0,A. Tolliver misses 3-pt shot from 26 ft,,23-31,,
0:52.0,Offensive rebound by A. Drummond,,23-31,,
0:50.0,A. Drummond misses 2-pt shot from 5 ft,,23-31,,
0:49.0,,,23-31,,Defensive rebound by M. Gortat
0:45.0,,,23-33,2,J. Wall makes 2-pt shot from 1 ft
0:36.0,S. Dinwiddie makes 2-pt shot from 5 ft,2,25-33,,
0:32.0,,,25-35,2,D. Gooden makes 2-pt shot from 20 ft (assist by J. Wall)
0:19.0,Shooting foul by M. Gortat (drawn by A. Drummond),,25-35,,
0:19.0,A. Drummond makes free throw 1 of 2,1,26-35,,
0:19.0,A. Drummond makes free throw 2 of 2,1,27-35,,
0:01.0,,,27-37,2,J. Wall makes 2-pt shot at rim
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:39.0,,,27-40,3,P. Pierce makes 3-pt shot from 25 ft (assist by B. Beal)
11:20.0,Turnover by G. Monroe (lost ball; steal by B. Beal),,27-40,,
11:11.0,,,27-40,,P. Pierce misses 3-pt shot from 26 ft
11:10.0,Defensive rebound by A. Tolliver,,27-40,,
11:00.0,Shooting foul by B. Beal (drawn by G. Monroe),,27-40,,
11:00.0,G. Monroe makes free throw 1 of 2,1,28-40,,
11:00.0,G. Monroe misses free throw 2 of 2,,28-40,,
10:59.0,,,28-40,,Defensive rebound by K. Seraphin
10:38.0,,,28-40,,Turnover by R. Sessions (bad pass)
10:24.0,Shooting foul by D. Gooden (drawn by S. Dinwiddie),,28-40,,
10:24.0,S. Dinwiddie makes free throw 1 of 2,1,29-40,,
10:24.0,S. Dinwiddie makes free throw 2 of 2,1,30-40,,
10:12.0,,,30-40,,B. Beal misses 2-pt shot from 1 ft
10:12.0,Defensive rebound by Team,,30-40,,
10:01.0,J. Meeks misses 2-pt shot from 17 ft,,30-40,,
9:58.0,Offensive rebound by Team,,30-40,,
9:50.0,J. Meeks misses 2-pt shot from 17 ft,,30-40,,
9:49.0,,,30-40,,Defensive rebound by P. Pierce
9:44.0,,,30-43,3,B. Beal makes 3-pt shot from 26 ft (assist by R. Sessions)
9:30.0,G. Monroe misses 2-pt shot from 3 ft (block by D. Gooden),,30-43,,
9:30.0,Offensive rebound by Team,,30-43,,
9:30.0,K. Caldwell-Pope enters the game for J. Meeks,,30-43,,
9:25.0,Turnover by S. Dinwiddie (bad pass; steal by D. Gooden),,30-43,,
9:19.0,,,30-43,,R. Sessions misses 2-pt shot at rim
9:17.0,Defensive rebound by S. Dinwiddie,,30-43,,
9:14.0,,,30-43,,Personal block foul by P. Pierce (drawn by S. Dinwiddie)
8:54.0,K. Caldwell-Pope misses 3-pt shot from 25 ft,,30-43,,
8:53.0,Offensive rebound by G. Monroe,,30-43,,
8:45.0,G. Monroe misses 2-pt shot from 7 ft,,30-43,,
8:44.0,Offensive rebound by G. Monroe,,30-43,,
8:43.0,,,30-43,,Violation by K. Seraphin (def goaltending)
8:43.0,G. Monroe makes 2-pt shot from 2 ft,2,32-43,,
8:28.0,,,32-43,,K. Seraphin misses 2-pt shot from 12 ft
8:27.0,Defensive rebound by S. Dinwiddie,,32-43,,
8:16.0,G. Monroe makes 2-pt shot at rim (assist by S. Dinwiddie),2,34-43,,
8:01.0,,,34-45,2,R. Sessions makes 2-pt shot from 3 ft
7:43.0,S. Dinwiddie misses 3-pt shot from 27 ft,,34-45,,
7:41.0,,,34-45,,Defensive rebound by P. Pierce
7:35.0,,,34-45,,Turnover by K. Seraphin (lost ball; steal by G. Monroe)
7:26.0,A. Tolliver makes 3-pt shot from 26 ft (assist by S. Dinwiddie),3,37-45,,
7:18.0,,,37-45,,Washington full timeout
7:18.0,,,37-45,,M. Gortat enters the game for K. Seraphin
7:18.0,R. Jackson enters the game for S. Dinwiddie,,37-45,,
7:09.0,,,37-47,2,D. Gooden makes 2-pt shot from 17 ft (assist by B. Beal)
6:53.0,G. Monroe makes 2-pt shot from 7 ft,2,39-47,,
6:37.0,,,39-47,,R. Sessions misses 3-pt shot from 24 ft
6:36.0,Defensive rebound by A. Tolliver,,39-47,,
6:22.0,G. Monroe misses 2-pt shot from 3 ft,,39-47,,
6:20.0,,,39-47,,Defensive rebound by Team
6:19.0,,,39-47,,J. Wall enters the game for R. Sessions
5:58.0,,,39-50,3,D. Gooden makes 3-pt shot from 26 ft (assist by P. Pierce)
5:49.0,Detroit full timeout,,39-50,,
5:49.0,T. Prince enters the game for G. Monroe,,39-50,,
5:49.0,A. Drummond enters the game for C. Butler,,39-50,,
5:29.0,A. Tolliver misses 3-pt shot from 27 ft,,39-50,,
5:28.0,,,39-50,,Defensive rebound by B. Beal
5:22.0,,,39-50,,P. Pierce misses 3-pt shot from 23 ft
5:20.0,Defensive rebound by A. Tolliver,,39-50,,
5:14.0,K. Caldwell-Pope misses 2-pt shot from 2 ft,,39-50,,
5:13.0,,,39-50,,Defensive rebound by Team
5:13.0,Loose ball foul by A. Drummond (drawn by D. Gooden),,39-50,,
5:13.0,S. Williams enters the game for A. Tolliver,,39-50,,
4:59.0,,,39-52,2,M. Gortat makes 2-pt shot from 1 ft (assist by B. Beal)
4:35.0,R. Jackson misses 2-pt shot from 4 ft,,39-52,,
4:34.0,,,39-52,,Defensive rebound by M. Gortat
4:25.0,,,39-54,2,J. Wall makes 2-pt shot at rim
4:10.0,S. Williams misses 3-pt shot from 26 ft,,39-54,,
4:09.0,,,39-54,,Defensive rebound by M. Gortat
3:57.0,,,39-54,,B. Beal misses 3-pt shot from 25 ft
3:56.0,Defensive rebound by T. Prince,,39-54,,
3:53.0,,,39-54,,N. Hilario enters the game for D. Gooden
3:38.0,,,39-54,,Personal foul by N. Hilario (drawn by S. Williams)
3:38.0,,,39-54,,O. Porter enters the game for P. Pierce
3:30.0,K. Caldwell-Pope misses 3-pt shot from 27 ft,,39-54,,
3:29.0,,,39-54,,Defensive rebound by M. Gortat
3:24.0,,,39-54,,Turnover by J. Wall (lost ball; steal by R. Jackson)
3:21.0,Turnover by R. Jackson (bad pass; steal by O. Porter),,39-54,,
3:12.0,,,39-54,,Turnover by B. Beal (bad pass; steal by R. Jackson)
3:10.0,Turnover by R. Jackson (bad pass; steal by M. Gortat),,39-54,,
3:06.0,,,39-54,,J. Wall misses 3-pt shot from 25 ft
3:06.0,Defensive rebound by Team,,39-54,,
2:46.0,A. Drummond misses 2-pt shot from 8 ft (block by M. Gortat),,39-54,,
2:46.0,Offensive rebound by Team,,39-54,,
2:46.0,Official timeout,,39-54,,
2:46.0,J. Meeks enters the game for K. Caldwell-Pope,,39-54,,
2:46.0,Turnover by T. Prince (bad pass),,39-54,,
2:34.0,,,39-54,,Shooting foul by S. Williams (drawn by N. Hilario)
2:34.0,,,39-55,1,N. Hilario makes free throw 1 of 2
2:34.0,,,39-56,1,N. Hilario makes free throw 2 of 2
2:13.0,R. Jackson makes 3-pt shot from 27 ft,3,42-56,,
1:53.0,,,42-56,,N. Hilario misses 2-pt shot from 15 ft
1:52.0,,,42-56,,Offensive rebound by B. Beal
1:43.0,,,42-56,,B. Beal misses 2-pt shot from 20 ft
1:42.0,Defensive rebound by J. Meeks,,42-56,,
1:25.0,J. Meeks makes 2-pt shot from 10 ft (assist by S. Williams),2,44-56,,
1:25.0,Shooting foul by O. Porter (drawn by J. Meeks),,44-56,,
1:25.0,,,44-56,,G. Temple enters the game for B. Beal
1:25.0,S. Dinwiddie enters the game for R. Jackson,,44-56,,
1:25.0,G. Monroe enters the game for A. Drummond,,44-56,,
1:25.0,J. Meeks misses free throw 1 of 1,,44-56,,
1:24.0,Offensive rebound by Team,,44-56,,
1:08.0,S. Dinwiddie misses 2-pt shot from 4 ft,,44-56,,
1:07.0,,,44-56,,Defensive rebound by N. Hilario
1:02.0,,,44-56,,Shooting foul by S. Williams (drawn by J. Wall)
1:02.0,,,44-57,1,J. Wall makes free throw 1 of 2
1:02.0,,,44-57,,D. Gooden enters the game for N. Hilario
1:02.0,,,44-58,1,J. Wall makes free throw 2 of 2
0:39.0,S. Dinwiddie misses 3-pt shot from 29 ft,,44-58,,
0:39.0,Offensive rebound by Team,,44-58,,
0:39.0,Turnover by Team (shot clock),,44-58,,
0:29.0,,,44-58,,M. Gortat misses 2-pt shot from 6 ft
0:28.0,,,44-58,,Offensive rebound by M. Gortat
0:25.0,,,44-60,2,M. Gortat makes 2-pt shot from 1 ft
0:04.0,Turnover by S. Dinwiddie (lost ball),,44-60,,
0:00.0,End of 2nd quarter,,,,End of 2nd quarter
12:00.0,Start of 3rd quarter,,,,Start of 3rd quarter
11:37.0,,,44-62,2,N. Hilario makes 2-pt shot from 16 ft (assist by B. Beal)
11:17.0,Turnover by G. Monroe (lost ball; steal by N. Hilario),,44-62,,
11:00.0,,,44-62,,Turnover by P. Pierce (bad pass; steal by R. Jackson)
10:53.0,R. Jackson makes 2-pt shot from 2 ft,2,46-62,,
10:44.0,Personal foul by R. Jackson (drawn by B. Beal),,46-62,,
10:37.0,,,46-62,,P. Pierce misses 2-pt shot from 17 ft
10:36.0,Defensive rebound by R. Jackson,,46-62,,
10:31.0,A. Drummond makes 2-pt shot from 1 ft (assist by R. Jackson),2,48-62,,
10:09.0,,,48-64,2,M. Gortat makes 2-pt shot at rim (assist by P. Pierce)
9:44.0,R. Jackson misses 2-pt shot from 4 ft,,48-64,,
9:43.0,,,48-64,,Defensive rebound by N. Hilario
9:36.0,,,48-66,2,J. Wall makes 2-pt shot from 1 ft
9:12.0,G. Monroe misses 2-pt shot from 4 ft,,48-66,,
9:11.0,,,48-66,,Defensive rebound by M. Gortat
8:58.0,,,48-69,3,P. Pierce makes 3-pt shot from 26 ft (assist by J. Wall)
8:57.0,Detroit full timeout,,48-69,,
8:43.0,R. Jackson misses 2-pt shot from 20 ft,,48-69,,
8:42.0,,,48-69,,Defensive rebound by B. Beal
8:31.0,,,48-69,,Turnover by B. Beal (traveling)
8:13.0,Shooting foul by P. Pierce (drawn by G. Monroe),,48-69,,
8:13.0,G. Monroe makes free throw 1 of 2,1,49-69,,
8:13.0,G. Monroe makes free throw 2 of 2,1,50-69,,
7:54.0,,,50-69,,Turnover by P. Pierce (bad pass)
7:34.0,A. Drummond makes 2-pt shot from 6 ft (assist by R. Jackson),2,52-69,,
7:17.0,,,52-69,,N. Hilario misses 2-pt shot from 12 ft
7:16.0,Defensive rebound by A. Drummond,,52-69,,
7:08.0,R. Jackson makes 2-pt shot from 10 ft,2,54-69,,
6:51.0,,,54-69,,Turnover by J. Wall (lost ball; steal by T. Prince)
6:43.0,G. Monroe misses 2-pt shot from 3 ft,,54-69,,
6:43.0,Offensive rebound by A. Drummond,,54-69,,
6:43.0,Shooting foul by M. Gortat (drawn by A. Drummond),,54-69,,
6:43.0,,,54-69,,Washington full timeout
6:43.0,A. Drummond makes free throw 1 of 2,1,55-69,,
6:43.0,A. Drummond misses free throw 2 of 2,,55-69,,
6:41.0,,,55-69,,Defensive rebound by M. Gortat
6:16.0,,,55-71,2,P. Pierce makes 2-pt shot from 21 ft
5:57.0,R. Jackson misses 3-pt shot from 24 ft,,55-71,,
5:56.0,,,55-71,,Defensive rebound by P. Pierce
5:38.0,,,55-71,,P. Pierce misses 2-pt shot from 16 ft
5:36.0,,,55-71,,Offensive rebound by N. Hilario
5:33.0,,,55-71,,J. Wall misses 3-pt shot from 26 ft
5:32.0,,,55-71,,Offensive rebound by M. Gortat
5:30.0,,,55-71,,M. Gortat misses 2-pt shot from 5 ft
5:29.0,Defensive rebound by G. Monroe,,55-71,,
5:20.0,A. Drummond misses 2-pt shot from 3 ft,,55-71,,
5:19.0,Offensive rebound by R. Jackson,,55-71,,
5:19.0,Shooting foul by P. Pierce (drawn by A. Drummond),,55-71,,
5:19.0,A. Drummond misses free throw 1 of 2,,55-71,,
5:19.0,Offensive rebound by Team,,55-71,,
5:19.0,A. Tolliver enters the game for G. Monroe,,55-71,,
5:19.0,J. Meeks enters the game for K. Caldwell-Pope,,55-71,,
5:19.0,,,55-71,,G. Temple enters the game for P. Pierce
5:19.0,,,55-71,,O. Porter enters the game for B. Beal
5:19.0,A. Drummond misses free throw 2 of 2,,55-71,,
5:17.0,,,55-71,,Defensive rebound by M. Gortat
5:07.0,,,55-71,,N. Hilario misses 2-pt shot from 17 ft
5:05.0,Defensive rebound by Team,,55-71,,
4:51.0,R. Jackson misses 3-pt shot from 26 ft,,55-71,,
4:50.0,,,55-71,,Defensive rebound by N. Hilario
4:37.0,,,55-73,2,N. Hilario makes 2-pt shot at rim
4:20.0,A. Tolliver misses 3-pt shot from 27 ft,,55-73,,
4:19.0,,,55-73,,Defensive rebound by G. Temple
4:06.0,,,55-73,,M. Gortat misses 2-pt shot from 4 ft
4:05.0,Defensive rebound by A. Drummond,,55-73,,
3:52.0,A. Drummond makes 2-pt shot from 8 ft (assist by R. Jackson),2,57-73,,
3:38.0,,,57-75,2,J. Wall makes 2-pt shot from 5 ft
3:22.0,R. Jackson makes 2-pt shot at rim (assist by A. Tolliver),2,59-75,,
2:57.0,,,59-75,,Turnover by J. Wall (bad pass; steal by T. Prince)
2:54.0,A. Tolliver makes 3-pt shot from 27 ft (assist by R. Jackson),3,62-75,,
2:31.0,,,62-75,,Shooting foul by A. Drummond (drawn by N. Hilario)
2:31.0,,,62-75,,D. Gooden enters the game for M. Gortat
2:31.0,,,62-76,1,N. Hilario makes free throw 1 of 2
2:31.0,C. Butler enters the game for T. Prince,,62-76,,
2:31.0,,,62-76,,R. Sessions enters the game for J. Wall
2:31.0,,,62-76,,N. Hilario misses free throw 2 of 2
2:31.0,Defensive rebound by A. Drummond,,62-76,,
2:11.0,A. Tolliver misses 3-pt shot from 25 ft,,62-76,,
2:07.0,,,62-76,,Defensive rebound by R. Sessions
1:56.0,,,62-76,,Turnover by O. Porter (bad pass)
1:56.0,G. Monroe enters the game for A. Drummond,,62-76,,
1:49.0,,,62-76,,Personal foul by N. Hilario (drawn by G. Monroe)
1:49.0,S. Dinwiddie enters the game for R. Jackson,,62-76,,
1:39.0,S. Dinwiddie makes 3-pt shot from 25 ft,3,65-76,,
1:20.0,Personal foul by G. Monroe (drawn by N. Hilario),,65-76,,
1:08.0,,,65-78,2,N. Hilario makes 2-pt shot from 1 ft
0:49.0,J. Meeks makes 3-pt shot from 25 ft,3,68-78,,
0:41.0,,,68-78,,K. Seraphin enters the game for N. Hilario
0:41.0,Personal foul by S. Dinwiddie (drawn by R. Sessions),,68-78,,
0:41.0,,,68-79,1,R. Sessions makes free throw 1 of 2
0:41.0,,,68-80,1,R. Sessions makes free throw 2 of 2
0:27.0,G. Monroe makes 2-pt shot from 7 ft,2,70-80,,
0:03.0,,,70-80,,D. Gooden misses 2-pt shot from 14 ft
0:02.0,Defensive rebound by G. Monroe,,70-80,,
0:00.0,Turnover by G. Monroe (lost ball; steal by G. Temple),,70-80,,
0:00.0,End of 3rd quarter,,,,End of 3rd quarter
12:00.0,Start of 4th quarter,,,,Start of 4th quarter
11:38.0,S. Dinwiddie misses 3-pt shot from 25 ft,,70-80,,
11:37.0,,,70-80,,Defensive rebound by B. Beal
11:14.0,,,70-80,,D. Gooden misses 3-pt shot from 27 ft
11:13.0,Defensive rebound by C. Butler,,70-80,,
11:13.0,S. Dinwiddie makes 2-pt shot from 5 ft,2,72-80,,
11:13.0,Shooting foul by B. Beal (drawn by S. Dinwiddie),,72-80,,
11:13.0,S. Dinwiddie makes free throw 1 of 1,1,73-80,,
10:56.0,,,73-80,,D. Gooden misses 2-pt shot from 6 ft
10:55.0,Defensive rebound by G. Monroe,,73-80,,
10:38.0,G. Monroe makes 2-pt shot from 6 ft,2,75-80,,
10:37.0,,,75-80,,Washington full timeout
10:16.0,,,75-80,,B. Beal misses 2-pt shot from 4 ft
10:15.0,,,75-80,,Offensive rebound by K. Seraphin
10:13.0,,,75-80,,Turnover by Team (shot clock)
9:55.0,,,75-80,,Personal foul by K. Seraphin (drawn by G. Monroe)
9:55.0,,,75-80,,M. Gortat enters the game for K. Seraphin
9:55.0,,,75-80,,J. Wall enters the game for R. Sessions
9:46.0,J. Meeks misses 2-pt shot from 3 ft,,75-80,,
9:45.0,,,75-80,,Defensive rebound by B. Beal
9:38.0,,,75-80,,M. Gortat misses 2-pt shot from 10 ft
9:37.0,,,75-80,,Offensive rebound by D. Gooden
9:36.0,,,75-80,,D. Gooden misses 2-pt shot from 2 ft
9:35.0,Defensive rebound by G. Monroe,,75-80,,
9:28.0,C. Butler misses 3-pt shot from 27 ft,,75-80,,
9:26.0,,,75-80,,Defensive rebound by M. Gortat
9:13.0,,,75-80,,B. Beal misses 3-pt shot from 23 ft
9:12.0,Defensive rebound by S. Dinwiddie,,75-80,,
9:07.0,S. Dinwiddie makes 2-pt shot at rim,2,77-80,,
8:51.0,,,77-80,,M. Gortat misses 2-pt shot from 5 ft (block by G. Monroe)
8:50.0,Defensive rebound by G. Monroe,,77-80,,
8:48.0,Shooting foul by J. Wall (drawn by G. Monroe),,77-80,,
8:48.0,G. Monroe makes free throw 1 of 2,1,78-80,,
8:48.0,G. Monroe makes free throw 2 of 2,1,79-80,,
8:36.0,,,79-82,2,J. Wall makes 2-pt shot at rim
8:29.0,J. Meeks misses 3-pt shot from 23 ft,,79-82,,
8:28.0,,,79-82,,Defensive rebound by D. Gooden
8:12.0,,,79-82,,J. Wall misses 2-pt shot from 17 ft
8:11.0,Defensive rebound by C. Butler,,79-82,,
8:02.0,S. Dinwiddie makes 2-pt shot from 18 ft,2,81-82,,
7:42.0,,,81-84,2,B. Beal makes 2-pt shot from 14 ft (assist by J. Wall)
7:15.0,G. Monroe makes 2-pt shot at rim,2,83-84,,
7:05.0,,,83-84,,B. Beal misses 3-pt shot from 26 ft
7:04.0,Defensive rebound by G. Monroe,,83-84,,
6:52.0,S. Dinwiddie misses 2-pt shot from 17 ft,,83-84,,
6:50.0,Offensive rebound by S. Dinwiddie,,83-84,,
6:48.0,S. Dinwiddie makes 2-pt shot at rim,2,85-84,,
6:46.0,,,85-84,,Washington full timeout
6:46.0,,,85-84,,G. Temple enters the game for B. Beal
6:46.0,,,85-84,,N. Hilario enters the game for D. Gooden
6:46.0,A. Drummond enters the game for G. Monroe,,85-84,,
6:35.0,Personal foul by C. Butler (drawn by P. Pierce),,85-84,,
6:25.0,,,85-84,,J. Wall misses 3-pt shot from 28 ft
6:24.0,,,85-84,,Offensive rebound by N. Hilario
6:19.0,Personal foul by C. Butler (drawn by P. Pierce),,85-84,,
6:10.0,,,85-84,,Shooting foul by A. Drummond (drawn by N. Hilario)
6:10.0,,,85-85,1,N. Hilario makes free throw 1 of 2
6:10.0,,,85-86,1,N. Hilario makes free throw 2 of 2
5:46.0,C. Butler makes 2-pt shot from 17 ft (assist by S. Dinwiddie),2,87-86,,
5:30.0,,,87-86,,P. Pierce misses 2-pt shot from 17 ft
5:29.0,,,87-86,,Offensive rebound by M. Gortat
5:18.0,,,87-88,2,N. Hilario makes 2-pt shot at rim
5:03.0,S. Dinwiddie makes 2-pt shot from 5 ft,2,89-88,,
4:45.0,Shooting block foul by J. Meeks (drawn by M. Gortat),,89-88,,
4:45.0,,,89-89,1,M. Gortat makes free throw 1 of 2
4:45.0,G. Monroe enters the game for A. Tolliver,,89-89,,
4:45.0,,,89-90,1,M. Gortat makes free throw 2 of 2
4:26.0,Turnover by G. Monroe (lost ball; steal by N. Hilario),,89-90,,
4:10.0,Personal foul by C. Butler (drawn by P. Pierce),,89-90,,
4:10.0,,,89-90,,P. Pierce misses free throw 1 of 2
4:10.0,,,89-90,,Offensive rebound by Team
4:10.0,,,89-90,,B. Beal enters the game for G. Temple
4:10.0,,,89-90,,P. Pierce misses free throw 2 of 2
4:09.0,Defensive rebound by J. Meeks,,89-90,,
3:55.0,Turnover by J. Meeks (lost ball; steal by B. Beal),,89-90,,
3:55.0,,,89-90,,Washington full timeout
3:39.0,,,89-90,,N. Hilario misses 2-pt shot from 3 ft
3:38.0,Defensive rebound by J. Meeks,,89-90,,
3:21.0,G. Monroe misses 2-pt shot from 7 ft,,89-90,,
3:20.0,,,89-90,,Defensive rebound by P. Pierce
3:04.0,,,89-90,,P. Pierce misses 3-pt shot from 25 ft
3:02.0,,,89-90,,Offensive rebound by B. Beal
3:02.0,Personal foul by S. Dinwiddie (drawn by B. Beal),,89-90,,
3:02.0,,,89-91,1,B. Beal makes free throw 1 of 2
3:02.0,K. Caldwell-Pope enters the game for J. Meeks,,89-91,,
3:02.0,,,89-92,1,B. Beal makes free throw 2 of 2
2:51.0,Shooting foul by P. Pierce (drawn by A. Drummond),,89-92,,
2:51.0,Detroit full timeout,,89-92,,
2:51.0,A. Drummond misses free throw 1 of 2,,89-92,,
2:51.0,Offensive rebound by Team,,89-92,,
2:51.0,A. Drummond misses free throw 2 of 2,,89-92,,
2:50.0,Offensive rebound by G. Monroe,,89-92,,
2:37.0,Turnover by G. Monroe (lost ball; steal by M. Gortat),,89-92,,
2:15.0,,,89-94,2,N. Hilario makes 2-pt shot at rim
2:12.0,Detroit full timeout,,89-94,,
2:12.0,A. Tolliver enters the game for A. Drummond,,89-94,,
1:52.0,K. Caldwell-Pope misses 3-pt shot from 26 ft,,89-94,,
1:50.0,Offensive rebound by C. Butler,,89-94,,
1:48.0,K. Caldwell-Pope makes 2-pt shot from 1 ft (assist by C. Butler),2,91-94,,
1:31.0,,,91-94,,B. Beal misses 2-pt shot from 15 ft
1:29.0,Defensive rebound by C. Butler,,91-94,,
