time,Indiana,pts.away,score,pts.home,Charlotte
7:40.0,R. Hibbert enters the game for S. Whittington,,27-40,,
7:40.0,,,27-40,,A. Jefferson enters the game for J. Maxiell
7:40.0,,,27-41,1,L. Stephenson makes free throw 2 of 2
7:21.0,D. Rudez makes 3-pt shot from 26 ft (assist by L. Scola),3,30-41,,
6:57.0,,,30-41,,L. Stephenson misses 2-pt shot from 18 ft
6:56.0,Defensive rebound by L. Scola,,30-41,,
6:46.0,Turnover by C. Watson (bad pass; steal by L. Stephenson),,30-41,,
6:43.0,,,30-41,,Shooting foul by S. Hill (drawn by J. Taylor)
6:43.0,,,30-41,,J. Taylor misses free throw 1 of 2
6:43.0,,,30-41,,Offensive rebound by Team
6:43.0,D. West enters the game for L. Scola,,30-41,,
6:43.0,G. Hill enters the game for C. Watson,,30-41,,
6:43.0,,,30-42,1,J. Taylor makes free throw 2 of 2
6:20.0,Turnover by D. West (lost ball; steal by M. Williams),,30-42,,
6:12.0,,,30-45,3,G. Neal makes 3-pt shot from 25 ft (assist by L. Stephenson)
6:01.0,Shooting foul by J. Taylor (drawn by G. Hill),,30-45,,
6:01.0,G. Hill makes free throw 1 of 2,1,31-45,,
6:01.0,G. Hill makes free throw 2 of 2,1,32-45,,
5:49.0,,,32-45,,G. Neal misses 2-pt shot from 18 ft
5:47.0,Defensive rebound by D. West,,32-45,,
5:38.0,G. Hill misses 2-pt shot from 20 ft,,32-45,,
5:37.0,,,32-45,,Defensive rebound by A. Jefferson
5:30.0,,,32-45,,G. Neal misses 2-pt shot from 15 ft
5:29.0,Defensive rebound by S. Hill,,32-45,,
5:20.0,S. Hill misses 2-pt shot from 2 ft,,32-45,,
5:19.0,,,32-45,,Defensive rebound by J. Taylor
5:03.0,,,32-45,,M. Williams misses 3-pt shot from 25 ft
5:02.0,Defensive rebound by Team,,32-45,,
5:02.0,,,32-45,,Charlotte full timeout
5:02.0,R. Stuckey enters the game for S. Hill,,32-45,,
5:02.0,C. Miles enters the game for D. Rudez,,32-45,,
5:02.0,,,32-45,,G. Henderson enters the game for J. Taylor
5:02.0,,,32-45,,C. Zeller enters the game for M. Williams
4:43.0,D. West misses 2-pt shot from 2 ft (block by C. Zeller),,32-45,,
4:41.0,,,32-45,,Defensive rebound by C. Zeller
4:33.0,,,32-47,2,L. Stephenson makes 2-pt shot from 18 ft
4:23.0,,,32-47,,Personal foul by C. Zeller (drawn by D. West)
4:23.0,D. West misses free throw 1 of 2,,32-47,,
4:23.0,Offensive rebound by Team,,32-47,,
4:23.0,D. West makes free throw 2 of 2,1,33-47,,
4:12.0,Personal foul by R. Stuckey (drawn by L. Stephenson),,33-47,,
4:08.0,Personal foul by D. West (drawn by L. Stephenson),,33-47,,
4:08.0,,,33-47,,L. Stephenson misses free throw 1 of 2
4:08.0,,,33-47,,Offensive rebound by Team
4:08.0,,,33-48,1,L. Stephenson makes free throw 2 of 2
3:49.0,R. Hibbert misses 2-pt shot from 1 ft (block by A. Jefferson),,33-48,,
3:49.0,Offensive rebound by Team,,33-48,,
3:45.0,Offensive foul by C. Miles,,33-48,,
3:45.0,Turnover by C. Miles (offensive foul),,33-48,,
3:35.0,,,33-48,,Offensive foul by G. Neal
3:35.0,,,33-48,,Turnover by G. Neal (offensive foul)
3:16.0,R. Stuckey misses 2-pt shot from 8 ft,,33-48,,
3:15.0,,,33-48,,Defensive rebound by A. Jefferson
2:57.0,,,33-48,,G. Neal misses 2-pt shot from 15 ft
2:56.0,Defensive rebound by G. Hill,,33-48,,
2:51.0,Indiana full timeout,,33-48,,
2:51.0,,,33-48,,B. Roberts enters the game for L. Stephenson
2:47.0,R. Hibbert misses 2-pt shot from 18 ft,,33-48,,
2:46.0,,,33-48,,Defensive rebound by C. Zeller
2:33.0,,,33-50,2,A. Jefferson makes 2-pt shot from 13 ft (assist by B. Roberts)
2:14.0,R. Hibbert makes 2-pt shot from 8 ft,2,35-50,,
1:53.0,,,35-52,2,A. Jefferson makes 2-pt shot from 1 ft
1:45.0,Shooting foul by C. Zeller (drawn by R. Hibbert),,35-52,,
1:45.0,R. Hibbert makes free throw 1 of 2,1,36-52,,
1:45.0,,,36-52,,M. Williams enters the game for C. Zeller
1:45.0,R. Hibbert makes free throw 2 of 2,1,37-52,,
1:25.0,,,37-52,,G. Neal misses 3-pt shot from 26 ft
1:24.0,Defensive rebound by R. Hibbert,,37-52,,
1:16.0,Shooting foul by M. Williams (drawn by D. West),,37-52,,
1:16.0,D. West makes free throw 1 of 2,1,38-52,,
1:16.0,D. West makes free throw 2 of 2,1,39-52,,
1:03.0,,,39-52,,Shooting foul by R. Hibbert (drawn by A. Jefferson)
1:03.0,,,39-53,1,A. Jefferson makes free throw 1 of 2
1:03.0,,,39-54,1,A. Jefferson makes free throw 2 of 2
0:47.0,D. West misses 2-pt shot from 19 ft,,39-54,,
0:46.0,,,39-54,,Defensive rebound by A. Jefferson
0:38.0,,,39-56,2,G. Neal makes 2-pt shot from 7 ft
0:16.0,G. Hill misses 3-pt shot from 27 ft,,39-56,,
0:15.0,,,39-56,,Defensive rebound by G. Neal
0:01.0,,,39-56,,A. Jefferson misses 2-pt shot from 8 ft
0:00.0,,,39-56,,Offensive rebound by G. Henderson
0:00.0,,,39-56,,G. Henderson misses 2-pt shot from 1 ft
0:00.0,,,39-56,,Offensive rebound by Team
0:00.0,End of 2nd quarter,,,,End of 2nd quarter
12:00.0,Start of 3rd quarter,,,,Start of 3rd quarter
11:42.0,,,39-56,,G. Henderson misses 2-pt shot from 16 ft
11:42.0,,,39-56,,Offensive rebound by Team
11:42.0,Loose ball foul by D. West (drawn by C. Zeller),,39-56,,
11:39.0,Personal foul by R. Stuckey (drawn by G. Henderson),,39-56,,
11:30.0,,,39-56,,C. Zeller misses 2-pt shot from 19 ft
11:29.0,Defensive rebound by R. Stuckey,,39-56,,
11:15.0,G. Hill makes 3-pt shot from 23 ft (assist by R. Hibbert),3,42-56,,
11:01.0,,,42-56,,Turnover by J. Taylor (lost ball; steal by D. West)
10:55.0,R. Stuckey makes 2-pt shot from 1 ft (assist by C. Miles),2,44-56,,
10:29.0,,,44-56,,Turnover by G. Henderson (lost ball)
10:19.0,D. West makes 2-pt shot from 18 ft (assist by G. Hill),2,46-56,,
10:09.0,,,46-56,,Charlotte full timeout
9:55.0,,,46-58,2,A. Jefferson makes 2-pt shot from 15 ft (assist by B. Roberts)
9:42.0,Offensive foul by R. Hibbert,,46-58,,
9:42.0,Turnover by R. Hibbert (offensive foul),,46-58,,
9:20.0,,,46-60,2,A. Jefferson makes 2-pt shot from 12 ft
9:03.0,C. Miles makes 2-pt shot from 17 ft,2,48-60,,
9:03.0,,,48-60,,Loose ball foul by J. Taylor (drawn by R. Hibbert)
9:03.0,R. Hibbert makes free throw 1 of 1,1,49-60,,
8:52.0,,,49-60,,Turnover by B. Roberts (bad pass; steal by G. Hill)
8:49.0,R. Stuckey misses 2-pt shot from 2 ft (block by C. Zeller),,49-60,,
8:49.0,Offensive rebound by Team,,49-60,,
8:41.0,D. West misses 2-pt shot at rim,,49-60,,
8:40.0,Offensive rebound by D. West,,49-60,,
8:40.0,D. West makes 2-pt shot at rim,2,51-60,,
8:21.0,,,51-62,2,J. Taylor makes 2-pt shot from 17 ft (assist by C. Zeller)
8:10.0,Offensive foul by R. Hibbert,,51-62,,
8:10.0,Turnover by R. Hibbert (offensive foul),,51-62,,
8:10.0,L. Scola enters the game for R. Hibbert,,51-62,,
7:57.0,Personal foul by G. Hill (drawn by C. Zeller),,51-62,,
7:55.0,,,51-62,,Offensive foul by B. Roberts
7:55.0,,,51-62,,Turnover by B. Roberts (offensive foul)
7:41.0,L. Scola makes 2-pt shot from 16 ft (assist by R. Stuckey),2,53-62,,
7:23.0,,,53-62,,Turnover by G. Henderson (lost ball; steal by G. Hill)
7:20.0,Offensive foul by G. Hill,,53-62,,
7:20.0,Turnover by G. Hill (offensive foul),,53-62,,
7:02.0,,,53-64,2,A. Jefferson makes 2-pt shot from 18 ft (assist by G. Henderson)
7:02.0,,,53-64,,Shooting foul by L. Scola (drawn by A. Jefferson)
7:02.0,,,53-65,1,A. Jefferson makes free throw 1 of 1
6:48.0,L. Scola makes 2-pt shot from 20 ft (assist by G. Hill),2,55-65,,
6:30.0,,,55-67,2,A. Jefferson makes 2-pt shot at rim (assist by G. Henderson)
6:22.0,G. Hill misses 3-pt shot from 25 ft,,55-67,,
6:20.0,,,55-67,,Defensive rebound by A. Jefferson
6:13.0,Personal foul by G. Hill (drawn by G. Henderson),,55-67,,
6:13.0,,,55-68,1,G. Henderson makes free throw 1 of 2
6:13.0,,,55-69,1,G. Henderson makes free throw 2 of 2
5:56.0,L. Scola misses 2-pt shot from 17 ft,,55-69,,
5:55.0,,,55-69,,Defensive rebound by B. Roberts
5:46.0,Personal foul by G. Hill (drawn by G. Henderson),,55-69,,
5:46.0,C. Watson enters the game for G. Hill,,55-69,,
5:46.0,,,55-70,1,G. Henderson makes free throw 1 of 2
5:46.0,,,55-71,1,G. Henderson makes free throw 2 of 2
5:36.0,,,55-71,,Personal foul by G. Henderson (drawn by R. Stuckey)
5:36.0,,,55-71,,Technical foul by G. Henderson (drawn by R. Stuckey)
5:36.0,Technical foul by R. Hibbert,,55-71,,
5:36.0,,,55-71,,L. Stephenson enters the game for G. Henderson
5:27.0,C. Miles misses 2-pt shot from 14 ft,,55-71,,
5:26.0,,,55-71,,Defensive rebound by C. Zeller
5:15.0,,,55-74,3,B. Roberts makes 3-pt shot from 23 ft (assist by L. Stephenson)
5:07.0,Turnover by C. Watson (lost ball; steal by J. Taylor),,55-74,,
5:03.0,,,55-76,2,B. Roberts makes 2-pt shot from 2 ft (assist by J. Taylor)
5:03.0,Indiana full timeout,,55-76,,
4:55.0,R. Stuckey makes 2-pt shot from 2 ft,2,57-76,,
4:55.0,Shooting foul by L. Stephenson (drawn by R. Stuckey),,57-76,,
4:55.0,R. Stuckey makes free throw 1 of 1,1,58-76,,
4:39.0,,,58-76,,Turnover by A. Jefferson (bad pass; steal by D. West)
4:30.0,C. Watson makes 3-pt shot from 25 ft (assist by L. Scola),3,61-76,,
4:14.0,,,61-76,,A. Jefferson misses 2-pt shot from 6 ft
4:13.0,Defensive rebound by C. Watson,,61-76,,
3:57.0,C. Miles misses 2-pt shot from 11 ft,,61-76,,
3:56.0,Offensive rebound by L. Scola,,61-76,,
3:56.0,L. Scola makes 2-pt shot at rim,2,63-76,,
3:28.0,,,63-76,,L. Stephenson misses 2-pt shot from 9 ft
3:27.0,Defensive rebound by D. West,,63-76,,
3:22.0,R. Stuckey makes 2-pt shot from 1 ft (assist by D. West),2,65-76,,
3:22.0,,,65-76,,Charlotte full timeout
3:22.0,,,65-76,,J. Maxiell enters the game for J. Taylor
3:22.0,,,65-76,,G. Henderson enters the game for A. Jefferson
3:13.0,Personal foul by D. West (drawn by G. Henderson),,65-76,,
3:13.0,Technical foul by Team,,65-76,,
3:13.0,,,65-77,1,G. Henderson makes technical free throw
3:13.0,,,65-78,1,G. Henderson makes free throw 1 of 2
3:13.0,,,65-79,1,G. Henderson makes free throw 2 of 2
3:00.0,C. Miles misses 3-pt shot from 26 ft,,65-79,,
2:58.0,,,65-79,,Defensive rebound by C. Zeller
2:44.0,,,65-79,,L. Stephenson misses 2-pt shot from 15 ft
2:43.0,Defensive rebound by L. Scola,,65-79,,
2:38.0,R. Stuckey misses 2-pt shot from 2 ft,,65-79,,
2:38.0,Offensive rebound by L. Scola,,65-79,,
2:38.0,Shooting foul by J. Maxiell (drawn by L. Scola),,65-79,,
2:38.0,L. Scola makes free throw 1 of 2,1,66-79,,
2:38.0,,,66-79,,M. Williams enters the game for C. Zeller
2:38.0,L. Scola makes free throw 2 of 2,1,67-79,,
2:27.0,,,67-79,,B. Roberts misses 2-pt shot from 16 ft (block by C. Watson)
2:25.0,Defensive rebound by D. West,,67-79,,
2:20.0,D. West makes 2-pt shot from 17 ft (assist by C. Watson),2,69-79,,
1:54.0,,,69-79,,M. Williams misses 2-pt shot from 6 ft
1:53.0,Defensive rebound by L. Scola,,69-79,,
1:50.0,,,69-79,,Violation by G. Henderson (def goaltending)
1:50.0,R. Stuckey makes 2-pt shot from 1 ft (assist by L. Scola),2,71-79,,
1:32.0,,,71-79,,Turnover by J. Maxiell (bad pass)
1:32.0,S. Hill enters the game for C. Miles,,71-79,,
1:20.0,D. West misses 2-pt shot from 3 ft (block by J. Maxiell),,71-79,,
1:18.0,,,71-79,,Defensive rebound by L. Stephenson
1:00.0,,,71-79,,B. Roberts misses 2-pt shot from 19 ft
0:59.0,,,71-79,,Offensive rebound by Team
0:59.0,Loose ball foul by S. Hill (drawn by M. Williams),,71-79,,
0:59.0,,,71-80,1,M. Williams makes free throw 1 of 2
0:59.0,S. Whittington enters the game for D. West,,71-80,,
0:59.0,,,71-81,1,M. Williams makes free throw 2 of 2
0:40.0,L. Scola makes 2-pt shot from 6 ft,2,73-81,,
0:31.0,,,73-83,2,B. Roberts makes 2-pt shot from 1 ft
0:24.0,,,73-83,,Personal foul by M. Williams (drawn by R. Stuckey)
0:24.0,R. Stuckey makes free throw 1 of 2,1,74-83,,
0:24.0,R. Stuckey makes free throw 2 of 2,1,75-83,,
0:03.0,,,75-83,,G. Henderson misses 3-pt shot from 25 ft
0:02.0,Defensive rebound by R. Stuckey,,75-83,,
0:00.0,R. Stuckey misses 3-pt shot from 48 ft,,75-83,,
0:00.0,Offensive rebound by Team,,75-83,,
0:00.0,End of 3rd quarter,,,,End of 3rd quarter
12:00.0,Start of 4th quarter,,,,Start of 4th quarter
11:42.0,C. Watson makes 2-pt shot from 17 ft,2,77-83,,
11:17.0,,,77-83,,M. Williams misses 2-pt shot from 5 ft
11:16.0,Defensive rebound by S. Hill,,77-83,,
11:14.0,Shooting foul by L. Stephenson (drawn by S. Hill),,77-83,,
11:14.0,S. Hill makes free throw 1 of 2,1,78-83,,
11:14.0,S. Hill makes free throw 2 of 2,1,79-83,,
11:01.0,,,79-83,,G. Neal misses 2-pt shot from 12 ft
11:00.0,Defensive rebound by S. Hill,,79-83,,
10:53.0,L. Scola makes 2-pt shot from 17 ft (assist by S. Hill),2,81-83,,
10:42.0,,,81-83,,Charlotte full timeout
10:42.0,,,81-83,,A. Jefferson enters the game for J. Maxiell
10:22.0,,,81-83,,G. Neal misses 2-pt shot from 17 ft
10:20.0,Defensive rebound by S. Whittington,,81-83,,
10:11.0,Offensive foul by D. Rudez,,81-83,,
10:11.0,Turnover by D. Rudez (offensive foul),,81-83,,
10:11.0,,,81-83,,B. Roberts enters the game for L. Stephenson
9:57.0,,,81-83,,Shooting foul by D. Rudez (drawn by M. Williams)
9:57.0,,,81-83,,M. Williams misses free throw 1 of 2
9:57.0,,,81-83,,Offensive rebound by Team
9:57.0,R. Hibbert enters the game for S. Whittington,,81-83,,
9:57.0,,,81-84,1,M. Williams makes free throw 2 of 2
9:52.0,,,81-84,,Personal foul by A. Jefferson (drawn by R. Hibbert)
9:40.0,R. Hibbert misses 2-pt shot from 9 ft,,81-84,,
9:39.0,,,81-84,,Defensive rebound by G. Henderson
9:28.0,,,81-86,2,A. Jefferson makes 2-pt shot from 1 ft (assist by G. Henderson)
9:10.0,C. Watson makes 3-pt shot from 26 ft (assist by S. Hill),3,84-86,,
8:41.0,,,84-86,,A. Jefferson misses 2-pt shot from 1 ft
8:40.0,Defensive rebound by L. Scola,,84-86,,
8:34.0,L. Scola makes 2-pt shot from 1 ft (assist by C. Watson),2,86-86,,
8:13.0,,,86-89,3,G. Neal makes 3-pt shot from 25 ft (assist by A. Jefferson)
7:59.0,Shooting foul by B. Roberts (drawn by C. Watson),,86-89,,
7:59.0,C. Watson misses free throw 1 of 2,,86-89,,
7:59.0,Offensive rebound by Team,,86-89,,
7:59.0,,,86-89,,C. Zeller enters the game for M. Williams
7:59.0,C. Watson makes free throw 2 of 2,1,87-89,,
7:45.0,,,87-89,,G. Neal misses 2-pt shot from 17 ft
7:44.0,Defensive rebound by L. Scola,,87-89,,
7:38.0,C. Watson makes 2-pt shot from 11 ft,2,89-89,,
7:17.0,,,89-92,3,G. Neal makes 3-pt shot from 27 ft (assist by A. Jefferson)
6:53.0,D. Rudez misses 2-pt shot from 20 ft,,89-92,,
6:53.0,Offensive rebound by Team,,89-92,,
6:53.0,,,89-92,,Loose ball foul by C. Zeller (drawn by L. Scola)
6:53.0,G. Hill enters the game for D. Rudez,,89-92,,
6:48.0,L. Scola misses 2-pt shot from 18 ft,,89-92,,
6:46.0,,,89-92,,Defensive rebound by A. Jefferson
6:36.0,,,89-94,2,A. Jefferson makes 2-pt shot from 13 ft (assist by G. Neal)
6:15.0,S. Hill makes 2-pt shot from 14 ft,2,91-94,,
5:58.0,,,91-94,,G. Henderson misses 2-pt shot from 2 ft
5:57.0,Defensive rebound by L. Scola,,91-94,,
5:41.0,Turnover by G. Hill (bad pass; steal by B. Roberts),,91-94,,
5:37.0,,,91-96,2,B. Roberts makes 2-pt shot from 2 ft (assist by G. Henderson)
5:37.0,Indiana full timeout,,91-96,,
5:37.0,D. West enters the game for L. Scola,,91-96,,
5:21.0,C. Watson misses 3-pt shot from 23 ft,,91-96,,
5:20.0,Offensive rebound by R. Hibbert,,91-96,,
5:08.0,S. Hill misses 2-pt shot from 16 ft,,91-96,,
5:07.0,Offensive rebound by Team,,91-96,,
5:07.0,,,91-96,,Loose ball foul by B. Roberts (drawn by C. Watson)
5:07.0,C. Watson makes free throw 1 of 2,1,92-96,,
5:07.0,C. Watson makes free throw 2 of 2,1,93-96,,
4:44.0,,,93-96,,A. Jefferson misses 2-pt shot from 6 ft
4:42.0,Defensive rebound by S. Hill,,93-96,,
4:38.0,R. Stuckey enters the game for C. Watson,,93-96,,
4:29.0,G. Hill misses 3-pt shot from 26 ft,,93-96,,
4:28.0,,,93-96,,Defensive rebound by A. Jefferson
4:08.0,,,93-98,2,A. Jefferson makes 2-pt shot from 2 ft
3:51.0,D. West misses 2-pt shot from 6 ft,,93-98,,
3:50.0,,,93-98,,Defensive rebound by G. Henderson
3:37.0,,,93-98,,A. Jefferson misses 2-pt shot from 15 ft
3:34.0,,,93-98,,Offensive rebound by G. Henderson
3:34.0,,,93-98,,G. Henderson misses 2-pt shot from 1 ft
3:32.0,,,93-98,,Offensive rebound by A. Jefferson
3:29.0,,,93-98,,A. Jefferson misses 2-pt shot from 6 ft
3:27.0,Defensive rebound by D. West,,93-98,,
3:16.0,G. Hill makes 2-pt shot from 7 ft,2,95-98,,
2:47.0,,,95-98,,B. Roberts misses 2-pt shot from 5 ft
2:46.0,Defensive rebound by R. Hibbert,,95-98,,
2:34.0,G. Hill misses 2-pt shot from 5 ft,,95-98,,
2:34.0,,,95-98,,Defensive rebound by A. Jefferson
2:34.0,Personal foul by G. Hill (drawn by A. Jefferson),,95-98,,
2:34.0,Official timeout,,95-98,,
2:34.0,,,95-98,,M. Williams enters the game for C. Zeller
2:34.0,L. Scola enters the game for D. West,,95-98,,
2:16.0,,,95-98,,A. Jefferson misses 2-pt shot from 6 ft
2:15.0,Defensive rebound by L. Scola,,95-98,,
