time,Washington,pts.away,score,pts.home,Philadelphia
10:36.0,K. Humphries makes 2-pt shot from 12 ft (assist by W. Bynum),2,39-24,,
10:22.0,Personal foul by K. Seraphin (drawn by N. Noel),,39-24,,
10:14.0,,,39-26,2,I. Smith makes 2-pt shot from 1 ft
10:08.0,W. Bynum misses 2-pt shot from 1 ft,,39-26,,
10:06.0,,,39-26,,Defensive rebound by F. Aldemir
10:02.0,,,39-26,,Shooting foul by K. Humphries (drawn by R. Covington)
10:02.0,,,39-27,1,R. Covington makes free throw 1 of 2
10:02.0,,,39-27,,R. Covington misses free throw 2 of 2
10:00.0,Defensive rebound by K. Seraphin,,39-27,,
9:40.0,R. Butler misses 2-pt shot from 2 ft,,39-27,,
9:39.0,,,39-27,,Defensive rebound by N. Noel
9:24.0,,,39-27,,J. Grant misses 2-pt shot from 1 ft
9:22.0,,,39-27,,Offensive rebound by F. Aldemir
9:21.0,,,39-29,2,F. Aldemir makes 2-pt shot at rim
9:07.0,Shooting foul by F. Aldemir (drawn by K. Humphries),,39-29,,
9:07.0,K. Humphries misses free throw 1 of 2,,39-29,,
9:07.0,Offensive rebound by Team,,39-29,,
9:07.0,K. Humphries makes free throw 2 of 2,1,40-29,,
9:07.0,,,40-29,,Philadelphia full timeout
9:02.0,,,40-29,,Turnover by I. Smith (bad pass; steal by W. Bynum)
8:59.0,W. Bynum makes 2-pt shot from 2 ft,2,42-29,,
8:39.0,,,42-29,,Shooting foul by K. Humphries (drawn by J. Grant)
8:39.0,,,42-30,1,J. Grant makes free throw 1 of 2
8:39.0,Violation by K. Humphries (lane),,42-30,,
8:39.0,,,42-31,1,J. Grant makes free throw 2 of 2
8:21.0,Turnover by W. Bynum (bad pass; steal by R. Covington),,42-31,,
8:15.0,,,42-34,3,R. Covington makes 3-pt shot from 25 ft (assist by I. Smith)
7:57.0,K. Seraphin makes 2-pt shot from 18 ft (assist by K. Humphries),2,44-34,,
7:41.0,,,44-34,,J. Grant misses 3-pt shot from 24 ft
7:39.0,Defensive rebound by W. Bynum,,44-34,,
7:31.0,R. Butler makes 3-pt shot from 27 ft (assist by W. Bynum),3,47-34,,
7:15.0,,,47-34,,Shooting foul by R. Butler (drawn by R. Covington)
7:15.0,,,47-35,1,R. Covington makes free throw 1 of 2
7:15.0,,,47-35,,H. Sims enters the game for N. Noel
7:15.0,B. Beal enters the game for R. Butler,,47-35,,
7:15.0,,,47-36,1,R. Covington makes free throw 2 of 2
7:02.0,,,47-36,,Personal foul by H. Sims (drawn by B. Beal)
6:55.0,,,47-36,,Personal foul by F. Aldemir (drawn by K. Humphries)
6:46.0,K. Humphries makes 2-pt shot from 7 ft (assist by B. Beal),2,49-36,,
6:41.0,,,49-36,,Turnover by I. Smith (bad pass)
6:33.0,Washington full timeout,,49-36,,
6:33.0,,,49-36,,L. Mbah a Moute enters the game for F. Aldemir
6:31.0,Turnover by O. Porter (bad pass; steal by R. Covington),,49-36,,
6:28.0,,,49-38,2,R. Covington makes 2-pt shot at rim
6:28.0,,,49-38,,Shooting foul by K. Seraphin (drawn by R. Covington)
6:28.0,,,49-39,1,R. Covington makes free throw 1 of 1
6:24.0,,,49-39,,Personal foul by J. Grant (drawn by B. Beal)
6:24.0,B. Beal makes free throw 1 of 2,1,50-39,,
6:24.0,P. Pierce enters the game for O. Porter,,50-39,,
6:24.0,B. Beal makes free throw 2 of 2,1,51-39,,
6:05.0,,,51-39,,L. Mbah a Moute misses 2-pt shot from 17 ft
6:04.0,,,51-39,,Offensive rebound by Team
6:04.0,Loose ball foul by K. Humphries (drawn by R. Covington),,51-39,,
6:04.0,,,51-40,1,R. Covington makes free throw 1 of 2
6:04.0,D. Gooden enters the game for K. Humphries,,51-40,,
6:04.0,,,51-41,1,R. Covington makes free throw 2 of 2
5:40.0,Turnover by Team (shot clock),,51-41,,
5:26.0,R. Sessions enters the game for W. Bynum,,51-41,,
5:22.0,,,51-41,,Offensive foul by L. Mbah a Moute
5:22.0,,,51-41,,Turnover by L. Mbah a Moute (offensive foul)
5:01.0,P. Pierce misses 3-pt shot from 25 ft,,51-41,,
5:00.0,Offensive rebound by D. Gooden,,51-41,,
4:45.0,K. Seraphin makes 2-pt shot at rim (assist by P. Pierce),2,53-41,,
4:37.0,,,53-41,,J. Grant misses 2-pt shot from 4 ft (block by K. Seraphin)
4:34.0,,,53-41,,Offensive rebound by L. Mbah a Moute
4:34.0,,,53-43,2,L. Mbah a Moute makes 2-pt shot from 1 ft
4:14.0,B. Beal misses 2-pt shot from 1 ft,,53-43,,
4:13.0,,,53-43,,Defensive rebound by J. Grant
4:03.0,,,53-43,,H. Sims misses 2-pt shot from 14 ft
4:01.0,Defensive rebound by R. Sessions,,53-43,,
3:52.0,K. Seraphin makes 2-pt shot from 14 ft (assist by R. Sessions),2,55-43,,
3:41.0,,,55-43,,Shooting foul by B. Beal (drawn by H. Sims)
3:41.0,,,55-43,,H. Sims misses free throw 1 of 2
3:41.0,,,55-43,,Offensive rebound by Team
3:41.0,,,55-43,,H. Thompson enters the game for R. Covington
3:41.0,,,55-43,,J. Richardson enters the game for J. Grant
3:41.0,M. Gortat enters the game for K. Seraphin,,55-43,,
3:41.0,,,55-44,1,H. Sims makes free throw 2 of 2
3:30.0,R. Sessions makes 3-pt shot from 24 ft (assist by M. Gortat),3,58-44,,
3:20.0,,,58-44,,I. Smith misses 2-pt shot from 3 ft
3:18.0,Defensive rebound by D. Gooden,,58-44,,
2:54.0,B. Beal makes 2-pt shot from 1 ft,2,60-44,,
2:36.0,,,60-46,2,L. Mbah a Moute makes 2-pt shot from 3 ft (assist by H. Sims)
2:29.0,Shooting foul by I. Smith (drawn by R. Sessions),,60-46,,
2:29.0,Official timeout,,60-46,,
2:29.0,,,60-46,,J. Sampson enters the game for I. Smith
2:29.0,R. Sessions misses free throw 1 of 2,,60-46,,
2:29.0,Offensive rebound by Team,,60-46,,
2:29.0,R. Sessions makes free throw 2 of 2,1,61-46,,
2:14.0,,,61-48,2,H. Sims makes 2-pt shot from 13 ft (assist by J. Sampson)
1:52.0,M. Gortat makes 2-pt shot from 2 ft (assist by P. Pierce),2,63-48,,
1:30.0,,,63-51,3,L. Mbah a Moute makes 3-pt shot from 24 ft (assist by J. Richardson)
1:03.0,P. Pierce makes 3-pt shot from 23 ft (assist by D. Gooden),3,66-51,,
0:46.0,,,66-51,,H. Thompson misses 3-pt shot from 25 ft
0:44.0,Defensive rebound by R. Sessions,,66-51,,
0:30.0,M. Gortat misses 2-pt shot from 10 ft,,66-51,,
0:28.0,Offensive rebound by D. Gooden,,66-51,,
0:28.0,D. Gooden misses 2-pt shot from 1 ft,,66-51,,
0:25.0,Offensive rebound by B. Beal,,66-51,,
0:10.0,,,66-51,,Personal foul by J. Sampson (drawn by M. Gortat)
0:10.0,M. Gortat makes free throw 1 of 2,1,67-51,,
0:10.0,,,67-51,,I. Smith enters the game for J. Sampson
0:10.0,M. Gortat makes free throw 2 of 2,1,68-51,,
0:10.0,Washington full timeout,,68-51,,
0:10.0,,,68-51,,J. Sampson enters the game for I. Smith
0:09.0,,,68-51,,Personal foul by H. Thompson (drawn by R. Sessions)
0:09.0,R. Sessions makes free throw 1 of 2,1,69-51,,
0:09.0,,,69-51,,I. Smith enters the game for J. Sampson
0:09.0,O. Porter enters the game for P. Pierce,,69-51,,
0:09.0,R. Sessions makes free throw 2 of 2,1,70-51,,
0:01.0,,,70-54,3,J. Richardson makes 3-pt shot from 26 ft
0:00.0,End of 2nd quarter,,,,End of 2nd quarter
12:00.0,Start of 3rd quarter,,,,Start of 3rd quarter
11:41.0,,,70-54,,I. Smith misses 3-pt shot from 25 ft
11:39.0,Defensive rebound by M. Gortat,,70-54,,
11:20.0,Turnover by B. Beal (lost ball; steal by I. Smith),,70-54,,
11:11.0,,,70-54,,Turnover by I. Smith (bad pass; steal by B. Beal)
10:55.0,B. Beal makes 2-pt shot from 15 ft,2,72-54,,
10:38.0,,,72-54,,R. Covington misses 3-pt shot from 25 ft
10:35.0,Defensive rebound by M. Gortat,,72-54,,
10:27.0,Offensive foul by M. Gortat,,72-54,,
10:27.0,Turnover by M. Gortat (offensive foul),,72-54,,
10:19.0,,,72-56,2,T. Robinson makes 2-pt shot from 1 ft (assist by I. Smith)
10:05.0,,,72-56,,Personal foul by T. Robinson (drawn by B. Beal)
9:55.0,B. Beal makes 3-pt shot from 26 ft (assist by M. Gortat),3,75-56,,
9:49.0,,,75-58,2,R. Covington makes 2-pt shot at rim (assist by I. Smith)
9:49.0,,,75-58,,Shooting foul by B. Beal (drawn by R. Covington)
9:49.0,,,75-59,1,R. Covington makes free throw 1 of 1
9:36.0,B. Beal makes 3-pt shot from 26 ft (assist by M. Gortat),3,78-59,,
9:22.0,,,78-59,,T. Robinson misses 2-pt shot from 1 ft (block by M. Gortat)
9:19.0,Defensive rebound by D. Gooden,,78-59,,
9:16.0,R. Sessions makes 2-pt shot from 3 ft (assist by D. Gooden),2,80-59,,
9:15.0,,,80-59,,Philadelphia full timeout
9:03.0,,,80-61,2,N. Noel makes 2-pt shot at rim (assist by I. Smith)
8:38.0,B. Beal misses 2-pt shot from 20 ft,,80-61,,
8:35.0,,,80-61,,Defensive rebound by N. Noel
8:20.0,,,80-61,,R. Covington misses 2-pt shot from 19 ft
8:18.0,Defensive rebound by P. Pierce,,80-61,,
8:10.0,D. Gooden makes 2-pt shot from 1 ft (assist by P. Pierce),2,82-61,,
7:55.0,,,82-61,,I. Smith misses 2-pt shot from 7 ft
7:52.0,,,82-61,,Offensive rebound by R. Covington
7:52.0,,,82-63,2,R. Covington makes 2-pt shot at rim
7:40.0,,,82-63,,Personal foul by N. Noel (drawn by D. Gooden)
7:27.0,R. Sessions misses 2-pt shot from 4 ft,,82-63,,
7:25.0,,,82-63,,Defensive rebound by N. Noel
7:19.0,,,82-63,,N. Noel misses 2-pt shot from 3 ft
7:17.0,,,82-63,,Offensive rebound by T. Robinson
7:17.0,,,82-63,,Shooting foul by M. Gortat (drawn by T. Robinson)
7:17.0,,,82-63,,T. Robinson misses free throw 1 of 2
7:17.0,,,82-63,,Offensive rebound by Team
7:17.0,,,82-64,1,T. Robinson makes free throw 2 of 2
6:59.0,Turnover by B. Beal (bad pass; steal by T. Robinson),,82-64,,
6:55.0,,,82-64,,Turnover by T. Robinson (bad pass)
6:41.0,P. Pierce misses 2-pt shot from 12 ft,,82-64,,
6:39.0,,,82-64,,Defensive rebound by N. Noel
6:34.0,,,82-67,3,R. Covington makes 3-pt shot from 26 ft (assist by I. Smith)
6:15.0,Turnover by B. Beal (bad pass),,82-67,,
5:55.0,,,82-67,,J. Grant misses 2-pt shot from 11 ft
5:53.0,,,82-67,,Offensive rebound by T. Robinson
5:53.0,,,82-67,,T. Robinson misses 2-pt shot at rim
5:52.0,Defensive rebound by M. Gortat,,82-67,,
5:46.0,Turnover by R. Sessions (lost ball; steal by J. Grant),,82-67,,
5:41.0,,,82-69,2,R. Covington makes 2-pt shot from 2 ft
5:41.0,Washington full timeout,,82-69,,
5:34.0,Turnover by R. Sessions (bad pass; steal by N. Noel),,82-69,,
5:30.0,,,82-71,2,J. Grant makes 2-pt shot at rim (assist by N. Noel)
5:02.0,R. Sessions makes 3-pt shot from 24 ft (assist by B. Beal),3,85-71,,
4:38.0,,,85-71,,T. Robinson misses 2-pt shot from 12 ft (block by M. Gortat)
4:36.0,,,85-71,,Offensive rebound by T. Robinson
4:36.0,,,85-71,,Turnover by Team (shot clock)
4:24.0,B. Beal makes 3-pt shot from 24 ft (assist by M. Gortat),3,88-71,,
4:04.0,,,88-71,,R. Covington misses 3-pt shot from 22 ft
4:02.0,Defensive rebound by D. Gooden,,88-71,,
3:56.0,P. Pierce makes 3-pt shot from 25 ft (assist by R. Sessions),3,91-71,,
3:54.0,,,91-71,,Philadelphia full timeout
3:54.0,,,91-71,,L. Mbah a Moute enters the game for J. Grant
3:54.0,,,91-71,,J. Richardson enters the game for R. Covington
3:54.0,,,91-71,,H. Thompson enters the game for T. Robinson
3:54.0,O. Porter enters the game for B. Beal,,91-71,,
3:35.0,,,91-71,,I. Smith misses 2-pt shot from 6 ft
3:35.0,,,91-71,,Offensive rebound by N. Noel
3:35.0,Loose ball foul by M. Gortat (drawn by N. Noel),,91-71,,
3:22.0,,,91-74,3,J. Richardson makes 3-pt shot from 25 ft
2:54.0,P. Pierce makes 2-pt shot from 22 ft,2,93-74,,
2:35.0,,,93-74,,J. Sampson enters the game for I. Smith
2:35.0,K. Humphries enters the game for D. Gooden,,93-74,,
2:30.0,,,93-74,,L. Mbah a Moute misses 2-pt shot from 5 ft
2:29.0,Defensive rebound by M. Gortat,,93-74,,
2:08.0,Turnover by P. Pierce (bad pass; steal by J. Sampson),,93-74,,
2:07.0,Personal foul by P. Pierce (drawn by J. Sampson),,93-74,,
2:07.0,R. Butler enters the game for P. Pierce,,93-74,,
1:52.0,,,93-74,,N. Noel misses 2-pt shot from 1 ft (block by M. Gortat)
1:48.0,Defensive rebound by K. Humphries,,93-74,,
1:39.0,M. Gortat makes 2-pt shot from 2 ft (assist by R. Sessions),2,95-74,,
1:22.0,,,95-74,,L. Mbah a Moute misses 2-pt shot from 17 ft
1:20.0,,,95-74,,Offensive rebound by N. Noel
1:18.0,Personal foul by M. Gortat (drawn by N. Noel),,95-74,,
1:18.0,,,95-74,,N. Noel misses free throw 1 of 2
1:18.0,,,95-74,,Offensive rebound by Team
1:18.0,K. Seraphin enters the game for M. Gortat,,95-74,,
1:18.0,,,95-75,1,N. Noel makes free throw 2 of 2
0:56.0,R. Butler misses 2-pt shot from 11 ft,,95-75,,
0:54.0,,,95-75,,Defensive rebound by L. Mbah a Moute
0:49.0,,,95-77,2,J. Richardson makes 2-pt shot at rim
0:38.0,Turnover by R. Sessions (bad pass; steal by L. Mbah a Moute),,95-77,,
0:24.0,,,95-77,,L. Mbah a Moute misses 3-pt shot from 24 ft
0:22.0,Defensive rebound by O. Porter,,95-77,,
0:01.0,K. Seraphin misses 3-pt shot from 26 ft,,95-77,,
0:00.0,Offensive rebound by Team,,95-77,,
0:00.0,End of 3rd quarter,,,,End of 3rd quarter
12:00.0,Start of 4th quarter,,,,Start of 4th quarter
11:39.0,W. Bynum makes 2-pt shot from 4 ft (assist by R. Butler),2,97-77,,
11:26.0,,,97-79,2,J. Richardson makes 2-pt shot at rim (assist by L. Mbah a Moute)
10:59.0,W. Bynum makes 2-pt shot from 17 ft,2,99-79,,
10:33.0,,,99-79,,H. Thompson misses 3-pt shot from 25 ft
10:31.0,Defensive rebound by R. Butler,,99-79,,
10:23.0,K. Humphries makes 2-pt shot from 2 ft (assist by W. Bynum),2,101-79,,
10:23.0,Shooting foul by J. Sampson (drawn by K. Humphries),,101-79,,
10:23.0,K. Humphries makes free throw 1 of 1,1,102-79,,
10:14.0,Personal foul by R. Butler (drawn by J. Richardson),,102-79,,
10:14.0,,,102-79,,G. Robinson enters the game for H. Thompson
9:57.0,,,102-79,,L. Mbah a Moute misses 2-pt shot from 17 ft
9:57.0,Defensive rebound by K. Seraphin,,102-79,,
9:57.0,,,102-79,,Loose ball foul by F. Aldemir (drawn by K. Seraphin)
9:34.0,K. Seraphin makes 2-pt shot at rim (assist by W. Bynum),2,104-79,,
9:16.0,,,104-79,,G. Robinson misses 2-pt shot from 3 ft
9:14.0,Defensive rebound by O. Porter,,104-79,,
9:08.0,W. Bynum misses 3-pt shot from 27 ft,,104-79,,
9:06.0,,,104-79,,Defensive rebound by G. Robinson
9:02.0,,,104-79,,Shooting foul by W. Bynum (drawn by J. Sampson)
9:02.0,,,104-80,1,J. Sampson makes free throw 1 of 2
9:02.0,,,104-81,1,J. Sampson makes free throw 2 of 2
8:54.0,,,104-81,,Personal foul by J. Sampson (drawn by W. Bynum)
8:54.0,Official timeout,,104-81,,
8:54.0,,,104-81,,N. Noel enters the game for F. Aldemir
8:50.0,K. Humphries makes 2-pt shot from 7 ft (assist by O. Porter),2,106-81,,
8:38.0,,,106-81,,N. Noel misses 2-pt shot from 1 ft
8:37.0,Defensive rebound by K. Humphries,,106-81,,
8:30.0,W. Bynum misses 2-pt shot from 1 ft (block by J. Sampson),,106-81,,
8:28.0,,,106-81,,Defensive rebound by L. Mbah a Moute
8:19.0,,,106-81,,G. Robinson misses 2-pt shot from 4 ft
8:18.0,Defensive rebound by K. Humphries,,106-81,,
8:14.0,Turnover by K. Seraphin (lost ball),,106-81,,
8:01.0,,,106-81,,J. Sampson misses 2-pt shot at rim (block by K. Seraphin)
7:59.0,,,106-81,,Offensive rebound by N. Noel
7:58.0,,,106-83,2,N. Noel makes 2-pt shot from 2 ft
7:43.0,R. Butler makes 2-pt shot from 18 ft (assist by K. Humphries),2,108-83,,
7:27.0,,,108-83,,J. Richardson misses 3-pt shot from 25 ft
7:25.0,Defensive rebound by K. Seraphin,,108-83,,
7:03.0,K. Seraphin misses 2-pt shot from 13 ft,,108-83,,
7:00.0,,,108-83,,Defensive rebound by J. Richardson
6:49.0,,,108-83,,N. Noel misses 2-pt shot from 10 ft
6:47.0,Defensive rebound by K. Seraphin,,108-83,,
6:34.0,W. Bynum misses 2-pt shot from 20 ft,,108-83,,
6:32.0,Offensive rebound by K. Humphries,,108-83,,
6:32.0,,,108-83,,I. Smith enters the game for J. Sampson
6:32.0,Jump ball: K. Humphries vs. L. Mbah a Moute,,,,Jump ball: K. Humphries vs. L. Mbah a Moute
6:14.0,W. Bynum makes 2-pt shot from 4 ft,2,110-83,,
6:14.0,,,110-83,,Philadelphia full timeout
6:14.0,,,110-83,,R. Covington enters the game for N. Noel
6:14.0,,,110-83,,J. Grant enters the game for L. Mbah a Moute
6:14.0,,,110-83,,T. Robinson enters the game for J. Richardson
5:57.0,Shooting block foul by K. Humphries (drawn by J. Grant),,110-83,,
5:57.0,,,110-83,,J. Grant misses free throw 1 of 2
5:57.0,,,110-83,,Offensive rebound by Team
5:57.0,,,110-84,1,J. Grant makes free throw 2 of 2
5:42.0,O. Porter misses 2-pt shot from 19 ft,,110-84,,
5:40.0,,,110-84,,Defensive rebound by J. Grant
5:21.0,,,110-84,,I. Smith misses 3-pt shot from 24 ft
5:20.0,,,110-84,,Offensive rebound by T. Robinson
5:18.0,,,110-84,,T. Robinson misses 2-pt shot at rim (block by K. Humphries)
5:17.0,Defensive rebound by K. Seraphin,,110-84,,
5:12.0,,,110-84,,Personal foul by T. Robinson (drawn by K. Seraphin)
5:12.0,,,110-84,,J. Sampson enters the game for I. Smith
5:12.0,,,110-84,,H. Sims enters the game for G. Robinson
5:05.0,W. Bynum misses 2-pt shot from 18 ft,,110-84,,
5:03.0,,,110-84,,Defensive rebound by T. Robinson
4:50.0,,,110-86,2,T. Robinson makes 2-pt shot at rim (assist by R. Covington)
4:34.0,R. Butler makes 2-pt shot from 22 ft (assist by W. Bynum),2,112-86,,
4:13.0,,,112-86,,J. Sampson misses 3-pt shot from 24 ft
4:10.0,Defensive rebound by R. Butler,,112-86,,
4:01.0,K. Humphries misses 2-pt shot from 18 ft,,112-86,,
4:00.0,,,112-86,,Defensive rebound by R. Covington
3:44.0,,,112-86,,J. Grant misses 2-pt shot from 2 ft (block by W. Bynum)
3:44.0,,,112-86,,Offensive rebound by Team
3:44.0,D. Blair enters the game for K. Humphries,,112-86,,
3:44.0,M. Webster enters the game for O. Porter,,112-86,,
3:40.0,,,112-86,,J. Sampson misses 3-pt shot from 23 ft
3:38.0,,,112-86,,Offensive rebound by T. Robinson
3:27.0,,,112-86,,J. Sampson misses 2-pt shot from 2 ft
3:25.0,,,112-86,,Offensive rebound by R. Covington
3:18.0,,,112-86,,J. Sampson misses 3-pt shot from 22 ft
3:16.0,Defensive rebound by R. Butler,,112-86,,
3:09.0,Turnover by R. Butler (bad pass; steal by J. Grant),,112-86,,
3:02.0,Personal foul by K. Seraphin (drawn by H. Sims),,112-86,,
2:53.0,,,112-86,,Shooting foul by W. Bynum (drawn by H. Sims)
