time,Philadelphia,pts.away,score,pts.home,Houston
1:20.0,,,28-18,3,J. Terry makes 3-pt shot from 24 ft (assist by T. Black)
1:03.0,Turnover by M. Carter-Williams (bad pass; steal by K. Papanikolaou),,28-18,,
0:57.0,,,28-18,,J. Terry misses 3-pt shot from 23 ft
0:56.0,Defensive rebound by C. Johnson,,28-18,,
0:51.0,,,28-18,,Personal foul by K. Papanikolaou (drawn by M. Carter-Williams)
0:41.0,Turnover by N. Noel (bad pass),,28-18,,
0:33.0,,,28-18,,F. Garcia misses 3-pt shot from 26 ft
0:31.0,,,28-18,,Offensive rebound by T. Black
0:30.0,Personal foul by N. Noel (drawn by T. Black),,28-18,,
0:30.0,,,28-18,,T. Black misses free throw 1 of 2
0:30.0,,,28-18,,Offensive rebound by Team
0:30.0,H. Thompson enters the game for D. Gordon,,28-18,,
0:30.0,,,28-19,1,T. Black makes free throw 2 of 2
0:06.0,Turnover by Team (shot clock),,28-19,,
0:06.0,,,28-19,,J. Harden enters the game for T. Black
0:00.0,,,28-19,,K. Papanikolaou misses 3-pt shot from 24 ft
0:00.0,,,28-19,,Offensive rebound by Team
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:34.0,K. McDaniels misses 2-pt shot from 11 ft,,28-19,,
11:33.0,,,28-19,,Defensive rebound by D. Howard
11:26.0,,,28-19,,K. Papanikolaou misses 3-pt shot from 22 ft
11:25.0,Defensive rebound by C. Johnson,,28-19,,
11:06.0,M. Carter-Williams misses 2-pt shot from 8 ft,,28-19,,
11:03.0,Offensive rebound by D. Gordon,,28-19,,
11:03.0,D. Gordon makes 2-pt shot from 1 ft,2,30-19,,
10:52.0,,,30-19,,Turnover by J. Terry (bad pass; steal by K. McDaniels)
10:50.0,Turnover by D. Gordon (bad pass; steal by J. Terry),,30-19,,
10:39.0,,,30-19,,D. Howard misses 2-pt shot from 1 ft
10:37.0,Defensive rebound by N. Noel,,30-19,,
10:17.0,N. Noel misses 2-pt shot from 6 ft,,30-19,,
10:15.0,Offensive rebound by M. Carter-Williams,,30-19,,
10:11.0,C. Johnson misses 3-pt shot from 23 ft,,30-19,,
10:10.0,Offensive rebound by K. McDaniels,,30-19,,
10:10.0,K. McDaniels makes 2-pt shot at rim,2,32-19,,
9:57.0,Personal foul by N. Noel (drawn by J. Harden),,32-19,,
9:57.0,,,32-19,,D. Motiejunas enters the game for K. Papanikolaou
9:57.0,,,32-19,,I. Canaan enters the game for J. Terry
9:57.0,H. Thompson enters the game for N. Noel,,32-19,,
9:57.0,T. Wroten enters the game for M. Carter-Williams,,32-19,,
9:57.0,H. Sims enters the game for D. Gordon,,32-19,,
9:57.0,B. Davies enters the game for C. Johnson,,32-19,,
9:45.0,,,32-21,2,D. Motiejunas makes 2-pt shot at rim (assist by J. Harden)
9:30.0,K. McDaniels misses 2-pt shot from 6 ft (block by D. Howard),,32-21,,
9:28.0,,,32-21,,Defensive rebound by D. Motiejunas
9:23.0,,,32-23,2,J. Harden makes 2-pt shot at rim
9:17.0,Philadelphia full timeout,,32-23,,
9:17.0,L. Mbah a Moute enters the game for K. McDaniels,,32-23,,
9:07.0,,,32-23,,Personal foul by F. Garcia (drawn by H. Thompson)
8:58.0,Turnover by T. Wroten (bad pass),,32-23,,
8:46.0,,,32-26,3,I. Canaan makes 3-pt shot from 25 ft (assist by J. Harden)
8:34.0,B. Davies misses 3-pt shot from 25 ft,,32-26,,
8:31.0,,,32-26,,Defensive rebound by J. Harden
8:16.0,,,32-26,,Turnover by J. Harden (bad pass)
7:58.0,Shooting foul by J. Harden (drawn by L. Mbah a Moute),,32-26,,
7:58.0,L. Mbah a Moute makes free throw 1 of 2,1,33-26,,
7:58.0,,,33-26,,T. Ariza enters the game for F. Garcia
7:58.0,L. Mbah a Moute makes free throw 2 of 2,1,34-26,,
7:43.0,,,34-29,3,I. Canaan makes 3-pt shot from 24 ft (assist by J. Harden)
