time,Atlanta,pts.away,score,pts.home,Detroit
4:49.0,K. Bazemore enters the game for P. Millsap,,65-65,,
4:49.0,T. Sefolosha enters the game for A. Horford,,65-65,,
4:49.0,M. Muscala enters the game for K. Korver,,65-65,,
4:49.0,S. Mack enters the game for J. Teague,,65-65,,
4:29.0,T. Sefolosha makes 3-pt shot from 25 ft (assist by S. Mack),3,68-65,,
4:14.0,,,68-67,2,J. Lucas III makes 2-pt shot from 19 ft
3:49.0,T. Sefolosha makes 2-pt shot from 20 ft (assist by M. Muscala),2,70-67,,
3:36.0,,,70-69,2,K. Caldwell-Pope makes 2-pt shot at rim (assist by J. Lucas III)
3:23.0,Turnover by M. Muscala (3 sec),,70-69,,
3:10.0,,,70-69,,J. Lucas III misses 2-pt shot from 20 ft
3:09.0,Defensive rebound by T. Sefolosha,,70-69,,
2:59.0,S. Mack makes 2-pt shot from 7 ft (assist by T. Sefolosha),2,72-69,,
2:40.0,,,72-72,3,A. Tolliver makes 3-pt shot from 26 ft (assist by K. Caldwell-Pope)
2:15.0,S. Mack misses 2-pt shot from 5 ft,,72-72,,
2:13.0,,,72-72,,Defensive rebound by A. Tolliver
2:01.0,,,72-72,,K. Caldwell-Pope misses 3-pt shot from 27 ft
2:00.0,Defensive rebound by P. Antic,,72-72,,
1:46.0,T. Sefolosha misses 2-pt shot at rim,,72-72,,
1:44.0,,,72-72,,Defensive rebound by A. Tolliver
1:27.0,,,72-72,,A. Tolliver misses 3-pt shot from 23 ft
1:27.0,,,72-72,,Offensive rebound by A. Drummond
1:27.0,,,72-72,,Shooting foul by T. Sefolosha (drawn by A. Drummond)
1:27.0,,,72-72,,A. Drummond misses free throw 1 of 2
1:27.0,,,72-72,,Offensive rebound by Team
1:27.0,,,72-72,,T. Prince enters the game for C. Butler
1:27.0,,,72-72,,J. Meeks enters the game for K. Caldwell-Pope
1:27.0,,,72-72,,A. Drummond misses free throw 2 of 2
1:26.0,Defensive rebound by M. Muscala,,72-72,,
1:07.0,P. Antic misses 3-pt shot from 26 ft,,72-72,,
1:05.0,Offensive rebound by M. Muscala,,72-72,,
1:02.0,M. Muscala misses 2-pt shot at rim,,72-72,,
1:01.0,,,72-72,,Defensive rebound by T. Prince
0:49.0,Personal foul by K. Bazemore (drawn by A. Drummond),,72-72,,
0:49.0,,,72-73,1,A. Drummond makes free throw 1 of 2
0:49.0,,,72-73,,A. Drummond misses free throw 2 of 2
0:49.0,Defensive rebound by T. Sefolosha,,72-73,,
0:34.0,S. Mack misses 3-pt shot from 27 ft,,72-73,,
0:33.0,,,72-73,,Defensive rebound by A. Drummond
0:19.0,,,72-75,2,A. Drummond makes 2-pt shot from 1 ft (assist by T. Prince)
0:19.0,,,72-75,,Shooting foul by M. Muscala (drawn by A. Drummond)
0:19.0,,,72-76,1,A. Drummond makes free throw 1 of 1
0:02.0,T. Sefolosha misses 3-pt shot from 24 ft,,72-76,,
0:01.0,Offensive rebound by M. Muscala,,72-76,,
0:00.0,End of 3rd quarter,,,,End of 3rd quarter
12:00.0,Start of 4th quarter,,,,Start of 4th quarter
11:46.0,,,72-76,,T. Prince misses 2-pt shot at rim
11:44.0,,,72-76,,Offensive rebound by T. Prince
11:43.0,,,72-76,,T. Prince misses 2-pt shot at rim
11:42.0,,,72-76,,Offensive rebound by A. Drummond
11:41.0,,,72-78,2,A. Drummond makes 2-pt shot at rim
11:25.0,P. Millsap misses 3-pt shot from 22 ft,,72-78,,
11:24.0,Offensive rebound by D. Carroll,,72-78,,
11:11.0,P. Millsap misses 2-pt shot at rim,,72-78,,
11:10.0,,,72-78,,Defensive rebound by A. Tolliver
11:02.0,,,72-81,3,R. Jackson makes 3-pt shot from 26 ft
10:43.0,Turnover by A. Horford (lost ball; steal by J. Meeks),,72-81,,
10:38.0,,,72-83,2,T. Prince makes 2-pt shot at rim (assist by J. Meeks)
10:38.0,Atlanta full timeout,,72-83,,
10:34.0,,,72-83,,J. Anthony enters the game for A. Drummond
10:21.0,A. Horford makes 2-pt shot at rim (assist by J. Teague),2,74-83,,
10:05.0,,,74-83,,A. Tolliver misses 3-pt shot from 23 ft
10:04.0,Defensive rebound by K. Korver,,74-83,,
9:59.0,D. Carroll makes 2-pt shot at rim (assist by P. Millsap),2,76-83,,
9:41.0,,,76-83,,R. Jackson misses 2-pt shot from 14 ft
9:41.0,Defensive rebound by Team,,76-83,,
9:41.0,,,76-83,,Personal foul by J. Anthony (drawn by D. Carroll)
9:27.0,Turnover by K. Korver (bad pass; steal by T. Prince),,76-83,,
9:09.0,,,76-83,,J. Meeks misses 2-pt shot from 7 ft
9:07.0,Defensive rebound by P. Millsap,,76-83,,
9:00.0,P. Millsap misses 2-pt shot from 4 ft,,76-83,,
8:59.0,Offensive rebound by A. Horford,,76-83,,
8:55.0,A. Horford makes 2-pt shot from 4 ft,2,78-83,,
8:43.0,Personal foul by P. Millsap (drawn by R. Jackson),,78-83,,
8:34.0,,,78-85,2,R. Jackson makes 2-pt shot at rim
8:29.0,Turnover by D. Carroll (traveling),,78-85,,
8:17.0,,,78-87,2,R. Jackson makes 2-pt shot from 7 ft
8:04.0,J. Teague makes 2-pt shot at rim,2,80-87,,
7:39.0,,,80-87,,J. Meeks misses 3-pt shot from 25 ft
7:38.0,Defensive rebound by Team,,80-87,,
7:38.0,,,80-87,,J. Lucas III enters the game for R. Jackson
7:26.0,J. Teague makes 2-pt shot from 6 ft,2,82-87,,
7:18.0,,,82-87,,Detroit full timeout
7:18.0,P. Antic enters the game for D. Carroll,,82-87,,
7:18.0,M. Muscala enters the game for P. Millsap,,82-87,,
7:18.0,K. Bazemore enters the game for A. Horford,,82-87,,
7:18.0,S. Mack enters the game for K. Korver,,82-87,,
7:18.0,T. Sefolosha enters the game for J. Teague,,82-87,,
7:18.0,,,82-87,,K. Caldwell-Pope enters the game for J. Meeks
7:07.0,,,82-90,3,A. Tolliver makes 3-pt shot from 22 ft (assist by K. Caldwell-Pope)
6:52.0,K. Bazemore misses 3-pt shot from 23 ft,,82-90,,
6:50.0,,,82-90,,Defensive rebound by A. Tolliver
6:42.0,,,82-90,,J. Lucas III misses 2-pt shot from 19 ft
6:41.0,Defensive rebound by M. Muscala,,82-90,,
6:32.0,T. Sefolosha misses 2-pt shot from 4 ft (block by J. Anthony),,82-90,,
6:30.0,Offensive rebound by M. Muscala,,82-90,,
6:30.0,M. Muscala misses 2-pt shot at rim (block by T. Prince),,82-90,,
6:30.0,Jump ball: M. Muscala vs. T. Prince (K. Caldwell-Pope gains possession),,,,Jump ball: M. Muscala vs. T. Prince (K. Caldwell-Pope gains possession)
6:30.0,,,82-90,,Defensive rebound by Team
6:09.0,,,82-92,2,T. Prince makes 2-pt shot from 17 ft (assist by J. Lucas III)
5:48.0,T. Sefolosha misses 2-pt shot from 3 ft (block by J. Anthony),,82-92,,
5:46.0,,,82-92,,Defensive rebound by J. Anthony
5:24.0,,,82-94,2,J. Lucas III makes 2-pt shot from 13 ft
5:08.0,T. Sefolosha misses 2-pt shot from 19 ft,,82-94,,
5:07.0,,,82-94,,Defensive rebound by J. Anthony
4:54.0,,,82-94,,A. Tolliver misses 2-pt shot from 4 ft
4:53.0,Defensive rebound by M. Muscala,,82-94,,
4:40.0,P. Antic misses 3-pt shot from 23 ft,,82-94,,
4:39.0,,,82-94,,Defensive rebound by A. Tolliver
4:24.0,,,82-96,2,J. Lucas III makes 2-pt shot from 20 ft
4:23.0,Atlanta full timeout,,82-96,,
4:23.0,A. Daye enters the game for P. Antic,,82-96,,
4:09.0,K. Bazemore misses 3-pt shot from 23 ft,,82-96,,
4:09.0,Offensive rebound by Team,,82-96,,
3:55.0,K. Bazemore misses 2-pt shot at rim (block by J. Anthony),,82-96,,
3:54.0,Offensive rebound by M. Muscala,,82-96,,
3:53.0,M. Muscala misses 2-pt shot at rim,,82-96,,
3:53.0,Offensive rebound by Team,,82-96,,
3:49.0,S. Mack makes 2-pt shot from 15 ft (assist by K. Bazemore),2,84-96,,
3:30.0,,,84-96,,Shooting foul by A. Daye (drawn by A. Tolliver)
3:30.0,,,84-97,1,A. Tolliver makes free throw 1 of 2
3:30.0,,,84-98,1,A. Tolliver makes free throw 2 of 2
3:08.0,M. Muscala misses 2-pt shot from 16 ft,,84-98,,
3:07.0,,,84-98,,Defensive rebound by A. Tolliver
2:44.0,,,84-98,,K. Caldwell-Pope misses 3-pt shot from 26 ft
2:42.0,Defensive rebound by M. Muscala,,84-98,,
2:28.0,T. Sefolosha misses 2-pt shot at rim (block by J. Anthony),,84-98,,
2:26.0,,,84-98,,Defensive rebound by A. Tolliver
2:05.0,,,84-100,2,J. Lucas III makes 2-pt shot from 1 ft
1:52.0,Shooting foul by J. Lucas III (drawn by T. Sefolosha),,84-100,,
1:52.0,T. Sefolosha makes free throw 1 of 2,1,85-100,,
1:52.0,T. Sefolosha makes free throw 2 of 2,1,86-100,,
1:40.0,,,86-102,2,J. Lucas III makes 2-pt shot from 17 ft
1:30.0,A. Daye makes 3-pt shot from 25 ft (assist by S. Mack),3,89-102,,
1:18.0,,,89-102,,Turnover by J. Lucas III (lost ball; steal by A. Daye)
1:15.0,T. Sefolosha makes 2-pt shot at rim (assist by A. Daye),2,91-102,,
1:15.0,Shooting foul by J. Anthony (drawn by T. Sefolosha),,91-102,,
1:15.0,T. Sefolosha makes free throw 1 of 1,1,92-102,,
0:54.0,,,92-102,,T. Prince misses 2-pt shot from 13 ft
0:54.0,,,92-102,,Offensive rebound by Team
0:33.0,,,92-102,,K. Caldwell-Pope misses 3-pt shot from 26 ft
0:32.0,Defensive rebound by A. Daye,,92-102,,
0:24.0,T. Sefolosha makes 3-pt shot from 26 ft (assist by K. Bazemore),3,95-102,,
0:01.0,,,95-105,3,J. Lucas III makes 3-pt shot from 29 ft
0:00.0,End of 4th quarter,,,,End of 4th quarter
