time,Boston,pts.away,score,pts.home,Washington
9:21.0,,,44-60,,Defensive rebound by N. Hilario
9:10.0,,,44-60,,N. Hilario misses 2-pt shot from 11 ft
9:08.0,,,44-60,,Offensive rebound by M. Gortat
9:05.0,,,44-60,,B. Beal misses 2-pt shot from 9 ft
9:03.0,Defensive rebound by K. Olynyk,,44-60,,
8:52.0,A. Bradley misses 2-pt shot from 21 ft,,44-60,,
8:51.0,,,44-60,,Defensive rebound by M. Gortat
8:48.0,Personal take foul by J. Nelson (drawn by J. Wall),,44-60,,
8:34.0,,,44-62,2,P. Pierce makes 2-pt shot from 14 ft (assist by N. Hilario)
8:19.0,J. Nelson misses 2-pt shot from 20 ft,,44-62,,
8:17.0,,,44-62,,Defensive rebound by P. Pierce
8:13.0,Shooting block foul by J. Nelson (drawn by P. Pierce),,44-62,,
8:13.0,,,44-62,,P. Pierce misses free throw 1 of 2
8:13.0,,,44-62,,Offensive rebound by Team
8:13.0,,,44-63,1,P. Pierce makes free throw 2 of 2
8:03.0,Turnover by K. Olynyk (lost ball; steal by J. Wall),,44-63,,
7:58.0,,,44-65,2,J. Wall makes 2-pt shot at rim
7:40.0,J. Sullinger makes 2-pt shot from 5 ft (assist by A. Bradley),2,46-65,,
7:25.0,,,46-65,,J. Wall misses 2-pt shot from 19 ft
7:24.0,Defensive rebound by K. Olynyk,,46-65,,
7:15.0,J. Sullinger makes 2-pt shot at rim (assist by K. Olynyk),2,48-65,,
6:52.0,,,48-65,,P. Pierce misses 2-pt shot from 16 ft
6:50.0,Defensive rebound by J. Sullinger,,48-65,,
6:44.0,J. Sullinger misses 3-pt shot from 27 ft,,48-65,,
6:41.0,,,48-65,,Defensive rebound by B. Beal
6:33.0,,,48-65,,M. Gortat misses 2-pt shot from 8 ft
6:32.0,Defensive rebound by K. Olynyk,,48-65,,
6:15.0,J. Green misses 3-pt shot from 26 ft,,48-65,,
6:14.0,,,48-65,,Defensive rebound by J. Wall
6:00.0,,,48-67,2,J. Wall makes 2-pt shot from 8 ft
5:46.0,Turnover by J. Nelson (bad pass),,48-67,,
5:46.0,,,48-67,,Washington full timeout
5:32.0,,,48-67,,Turnover by J. Wall (bad pass; steal by J. Nelson)
5:23.0,J. Nelson makes 3-pt shot from 28 ft,3,51-67,,
5:06.0,,,51-69,2,J. Wall makes 2-pt shot from 18 ft
4:47.0,A. Bradley misses 3-pt shot from 25 ft,,51-69,,
4:46.0,,,51-69,,Defensive rebound by N. Hilario
4:38.0,,,51-69,,P. Pierce misses 3-pt shot from 24 ft
4:37.0,Defensive rebound by K. Olynyk,,51-69,,
4:35.0,,,51-69,,Personal take foul by P. Pierce (drawn by K. Olynyk)
4:35.0,,,51-69,,R. Butler enters the game for P. Pierce
4:25.0,J. Nelson misses 2-pt shot from 20 ft,,51-69,,
4:24.0,Offensive rebound by A. Bradley,,51-69,,
4:18.0,J. Nelson misses 3-pt shot from 26 ft,,51-69,,
4:17.0,,,51-69,,Defensive rebound by N. Hilario
4:11.0,,,51-69,,Offensive foul by M. Gortat
4:11.0,,,51-69,,Turnover by M. Gortat (offensive foul)
4:11.0,,,51-69,,K. Humphries enters the game for N. Hilario
4:00.0,K. Olynyk misses 3-pt shot from 26 ft,,51-69,,
3:58.0,,,51-69,,Defensive rebound by J. Wall
3:45.0,,,51-69,,B. Beal misses 2-pt shot from 3 ft
3:44.0,Defensive rebound by Team,,51-69,,
3:39.0,Shooting foul by J. Wall (drawn by A. Bradley),,51-69,,
3:39.0,A. Bradley makes free throw 1 of 2,1,52-69,,
3:39.0,T. Zeller enters the game for J. Sullinger,,52-69,,
3:39.0,A. Bradley makes free throw 2 of 2,1,53-69,,
3:28.0,,,53-69,,B. Beal misses 2-pt shot from 16 ft
3:27.0,Defensive rebound by K. Olynyk,,53-69,,
3:17.0,J. Green misses 2-pt shot at rim,,53-69,,
3:17.0,Offensive rebound by T. Zeller,,53-69,,
3:17.0,Shooting foul by K. Humphries (drawn by T. Zeller),,53-69,,
3:17.0,T. Zeller misses free throw 1 of 2,,53-69,,
3:17.0,Offensive rebound by Team,,53-69,,
3:17.0,T. Zeller makes free throw 2 of 2,1,54-69,,
3:01.0,,,54-71,2,K. Humphries makes 2-pt shot from 18 ft (assist by J. Wall)
2:49.0,T. Zeller makes 2-pt shot from 1 ft (assist by K. Olynyk),2,56-71,,
2:30.0,,,56-73,2,J. Wall makes 2-pt shot from 15 ft
2:19.0,T. Zeller misses 2-pt shot from 1 ft,,56-73,,
2:18.0,Offensive rebound by K. Olynyk,,56-73,,
2:16.0,K. Olynyk makes 2-pt shot from 1 ft,2,58-73,,
2:01.0,,,58-76,3,B. Beal makes 3-pt shot from 24 ft (assist by J. Wall)
1:50.0,T. Zeller misses 2-pt shot at rim,,58-76,,
1:49.0,,,58-76,,Defensive rebound by K. Humphries
1:35.0,,,58-76,,J. Wall misses 2-pt shot from 1 ft
1:34.0,Defensive rebound by T. Zeller,,58-76,,
1:34.0,,,58-76,,Technical foul by J. Wall
1:34.0,Boston full timeout,,58-76,,
1:34.0,,,58-76,,A. Miller enters the game for J. Wall
1:34.0,,,58-76,,K. Seraphin enters the game for M. Gortat
1:34.0,J. Green makes technical free throw,1,59-76,,
1:20.0,Turnover by K. Olynyk (traveling),,59-76,,
1:04.0,,,59-78,2,K. Seraphin makes 2-pt shot from 1 ft (assist by A. Miller)
0:46.0,Shooting foul by A. Miller (drawn by J. Green),,59-78,,
0:46.0,J. Green misses free throw 1 of 2,,59-78,,
0:46.0,Offensive rebound by Team,,59-78,,
0:46.0,E. Turner enters the game for A. Bradley,,59-78,,
0:46.0,B. Bass enters the game for K. Olynyk,,59-78,,
0:46.0,,,59-78,,O. Porter enters the game for B. Beal
0:46.0,J. Green makes free throw 2 of 2,1,60-78,,
0:28.0,,,60-80,2,K. Seraphin makes 2-pt shot from 8 ft
0:09.0,Turnover by J. Nelson (bad pass; steal by K. Humphries),,60-80,,
0:04.0,,,60-80,,Turnover by R. Butler (bad pass; steal by J. Green)
0:00.0,J. Green makes 3-pt shot from 25 ft (assist by J. Nelson),3,63-80,,
0:00.0,End of 3rd quarter,,,,End of 3rd quarter
12:00.0,Start of 4th quarter,,,,Start of 4th quarter
11:44.0,J. Green misses 2-pt shot from 12 ft,,63-80,,
11:42.0,Offensive rebound by J. Green,,63-80,,
11:39.0,J. Green makes 2-pt shot at rim,2,65-80,,
11:17.0,,,65-80,,Turnover by K. Seraphin (offensive foul)
11:17.0,,,65-80,,Offensive foul by K. Seraphin
10:54.0,T. Zeller misses 2-pt shot from 4 ft,,65-80,,
10:52.0,,,65-80,,Defensive rebound by O. Porter
10:38.0,,,65-80,,R. Butler misses 2-pt shot from 14 ft
10:37.0,,,65-80,,Offensive rebound by O. Porter
10:31.0,,,65-80,,K. Seraphin misses 2-pt shot from 12 ft
10:30.0,,,65-80,,Offensive rebound by O. Porter
10:29.0,,,65-80,,O. Porter misses 2-pt shot from 10 ft (block by T. Zeller)
10:29.0,,,65-80,,Offensive rebound by Team
10:29.0,J. Sullinger enters the game for T. Zeller,,65-80,,
10:26.0,,,65-80,,R. Butler misses 2-pt shot from 1 ft
10:25.0,Defensive rebound by B. Bass,,65-80,,
10:07.0,J. Green misses 3-pt shot from 25 ft,,65-80,,
10:06.0,,,65-80,,Defensive rebound by A. Miller
9:59.0,,,65-82,2,R. Butler makes 2-pt shot from 2 ft
9:59.0,,,65-82,,Shooting foul by J. Green (drawn by R. Butler)
9:59.0,,,65-83,1,R. Butler makes free throw 1 of 1
9:52.0,B. Bass makes 2-pt shot from 18 ft (assist by E. Turner),2,67-83,,
9:30.0,,,67-83,,K. Humphries misses 2-pt shot from 19 ft
9:29.0,Defensive rebound by B. Bass,,67-83,,
9:19.0,P. Pressey misses 2-pt shot from 7 ft,,67-83,,
9:18.0,,,67-83,,Defensive rebound by K. Humphries
9:05.0,,,67-85,2,O. Porter makes 2-pt shot from 21 ft (assist by A. Miller)
8:44.0,J. Sullinger misses 3-pt shot from 27 ft,,67-85,,
8:41.0,,,67-85,,Defensive rebound by K. Seraphin
8:28.0,,,67-87,2,A. Miller makes 2-pt shot from 18 ft (assist by K. Humphries)
8:19.0,Boston full timeout,,67-87,,
8:19.0,J. Crowder enters the game for J. Green,,67-87,,
8:14.0,E. Turner makes 2-pt shot from 1 ft (assist by J. Sullinger),2,69-87,,
8:14.0,Shooting foul by R. Butler (drawn by E. Turner),,69-87,,
8:14.0,E. Turner misses free throw 1 of 1,,69-87,,
8:12.0,,,69-87,,Defensive rebound by R. Butler
7:54.0,,,69-89,2,O. Porter makes 2-pt shot from 12 ft (assist by A. Miller)
7:36.0,B. Bass makes 2-pt shot from 15 ft,2,71-89,,
7:13.0,,,71-89,,Turnover by A. Miller (bad pass; steal by J. Crowder)
7:10.0,Shooting foul by K. Humphries (drawn by J. Crowder),,71-89,,
7:10.0,J. Crowder makes free throw 1 of 2,1,72-89,,
7:10.0,J. Crowder makes free throw 2 of 2,1,73-89,,
6:48.0,,,73-89,,K. Seraphin misses 2-pt shot from 11 ft
6:46.0,Defensive rebound by J. Sullinger,,73-89,,
6:34.0,B. Bass misses 2-pt shot from 5 ft,,73-89,,
6:34.0,,,73-89,,Defensive rebound by Team
6:12.0,,,73-89,,O. Porter misses 3-pt shot from 26 ft
6:11.0,,,73-89,,Offensive rebound by A. Miller
6:01.0,,,73-89,,A. Miller misses 2-pt shot from 5 ft
6:00.0,Defensive rebound by P. Pressey,,73-89,,
5:47.0,P. Pressey misses 2-pt shot from 1 ft,,73-89,,
5:46.0,,,73-89,,Defensive rebound by A. Miller
5:42.0,,,73-91,2,K. Humphries makes 2-pt shot at rim (assist by A. Miller)
5:33.0,J. Sullinger misses 3-pt shot from 24 ft,,73-91,,
5:32.0,,,73-91,,Defensive rebound by K. Humphries
5:19.0,,,73-91,,R. Butler misses 3-pt shot from 24 ft
5:18.0,Defensive rebound by E. Turner,,73-91,,
5:14.0,Turnover by P. Pressey (bad pass),,73-91,,
5:14.0,Official timeout,,73-91,,
5:14.0,B. Wright enters the game for B. Bass,,73-91,,
5:14.0,M. Smart enters the game for P. Pressey,,73-91,,
4:52.0,,,73-93,2,O. Porter makes 2-pt shot from 21 ft (assist by A. Miller)
4:33.0,J. Crowder misses 3-pt shot from 25 ft,,73-93,,
4:32.0,,,73-93,,Defensive rebound by K. Humphries
4:21.0,,,73-93,,R. Butler misses 3-pt shot from 26 ft
4:20.0,,,73-93,,Offensive rebound by K. Humphries
4:18.0,,,73-95,2,K. Humphries makes 2-pt shot at rim
4:06.0,Turnover by J. Sullinger (bad pass; steal by K. Humphries),,73-95,,
4:05.0,Personal take foul by J. Sullinger (drawn by O. Porter),,73-95,,
4:05.0,K. Olynyk enters the game for J. Sullinger,,73-95,,
3:42.0,,,73-95,,A. Miller misses 2-pt shot from 11 ft
3:42.0,Defensive rebound by Team,,73-95,,
3:42.0,,,73-95,,Loose ball foul by K. Seraphin (drawn by B. Wright)
3:42.0,,,73-95,,D. Blair enters the game for K. Humphries
3:26.0,B. Wright misses 2-pt shot at rim (block by O. Porter),,73-95,,
3:21.0,,,73-95,,Defensive rebound by D. Blair
3:11.0,,,73-97,2,O. Porter makes 2-pt shot at rim
2:52.0,K. Olynyk makes 2-pt shot from 2 ft,2,75-97,,
2:43.0,Personal foul by M. Smart (drawn by A. Miller),,75-97,,
2:43.0,,,75-97,,Washington full timeout
2:43.0,,,75-97,,D. Gooden enters the game for K. Seraphin
2:43.0,,,75-97,,G. Temple enters the game for A. Miller
2:43.0,,,75-97,,Offensive foul by G. Temple
2:43.0,,,75-97,,Turnover by G. Temple (offensive foul)
2:25.0,M. Smart makes 2-pt shot from 15 ft,2,77-97,,
2:09.0,,,77-97,,Turnover by G. Temple (bad pass)
1:57.0,Shooting foul by G. Temple (drawn by M. Smart),,77-97,,
1:57.0,M. Smart misses free throw 1 of 2,,77-97,,
1:57.0,Offensive rebound by Team,,77-97,,
