time,Orlando,pts.away,score,pts.home,Dallas
2:38.0,B. Gordon misses 3-pt shot from 25 ft,,19-26,,
2:36.0,,,19-26,,Defensive rebound by Team
2:25.0,,,19-26,,D. Harris misses 2-pt shot from 1 ft (block by A. Gordon)
2:23.0,Defensive rebound by A. Gordon,,19-26,,
2:18.0,N. Vucevic makes 2-pt shot from 12 ft (assist by B. Gordon),2,21-26,,
2:01.0,,,21-28,2,C. Villanueva makes 2-pt shot from 7 ft (assist by D. Harris)
1:49.0,B. Gordon misses 3-pt shot from 25 ft,,21-28,,
1:48.0,,,21-28,,Defensive rebound by Team
1:48.0,L. Ridnour enters the game for E. Payton,,21-28,,
1:48.0,,,21-28,,D. Nowitzki enters the game for C. Parsons
1:48.0,,,21-28,,J. Barea enters the game for M. Ellis
1:48.0,,,21-28,,A. Aminu enters the game for C. Villanueva
1:34.0,Personal foul by A. Gordon (drawn by D. Nowitzki),,21-28,,
1:34.0,K. O'Quinn enters the game for N. Vucevic,,21-28,,
1:31.0,,,21-28,,Offensive foul by D. Harris
1:31.0,,,21-28,,Turnover by D. Harris (offensive foul)
1:13.0,A. Gordon makes 2-pt shot from 1 ft,2,23-28,,
0:55.0,,,23-28,,D. Nowitzki misses 2-pt shot from 9 ft
0:54.0,Defensive rebound by B. Gordon,,23-28,,
0:45.0,Offensive foul by K. O'Quinn,,23-28,,
0:45.0,Turnover by K. O'Quinn (offensive foul),,23-28,,
0:33.0,,,23-28,,D. Harris misses 2-pt shot from 19 ft
0:32.0,Defensive rebound by A. Gordon,,23-28,,
0:10.0,K. O'Quinn misses 2-pt shot from 19 ft,,23-28,,
0:09.0,,,23-28,,Defensive rebound by D. Nowitzki
0:02.0,,,23-31,3,D. Nowitzki makes 3-pt shot from 25 ft (assist by D. Harris)
0:00.0,M. Harkless misses 3-pt shot from 63 ft,,23-31,,
0:00.0,Offensive rebound by Team,,23-31,,
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:43.0,B. Gordon misses 2-pt shot from 4 ft,,23-31,,
11:41.0,,,23-31,,Defensive rebound by A. Stoudemire
11:24.0,Personal foul by A. Nicholson (drawn by D. Harris),,23-31,,
11:11.0,,,23-31,,A. Stoudemire misses 2-pt shot from 20 ft
11:09.0,,,23-31,,Offensive rebound by A. Aminu
11:03.0,,,23-33,2,J. Barea makes 2-pt shot from 4 ft (assist by A. Aminu)
10:38.0,Turnover by L. Ridnour (traveling),,23-33,,
10:16.0,,,23-33,,A. Stoudemire misses 2-pt shot at rim
10:13.0,Defensive rebound by A. Gordon,,23-33,,
10:03.0,A. Nicholson misses 3-pt shot from 24 ft,,23-33,,
10:02.0,Offensive rebound by K. O'Quinn,,23-33,,
9:57.0,Turnover by B. Gordon (bad pass; steal by A. Aminu),,23-33,,
9:50.0,,,23-33,,Turnover by J. Barea (bad pass)
9:50.0,V. Oladipo enters the game for A. Gordon,,23-33,,
9:34.0,Offensive charge foul by B. Gordon,,23-33,,
9:34.0,Turnover by B. Gordon (offensive foul),,23-33,,
9:23.0,,,23-35,2,J. Barea makes 2-pt shot from 8 ft
9:08.0,A. Nicholson makes 3-pt shot from 25 ft (assist by V. Oladipo),3,26-35,,
8:49.0,,,26-35,,Turnover by J. Barea (bad pass; steal by V. Oladipo)
8:41.0,L. Ridnour makes 2-pt shot from 11 ft,2,28-35,,
8:36.0,,,28-35,,Dallas full timeout
8:36.0,,,28-35,,R. Rondo enters the game for D. Harris
8:33.0,,,28-35,,Shooting foul by K. O'Quinn (drawn by A. Stoudemire)
8:33.0,Technical foul by K. O'Quinn (drawn by A. Stoudemire),,28-35,,
8:33.0,,,28-36,1,D. Nowitzki makes technical free throw
8:33.0,,,28-37,1,A. Stoudemire makes free throw 1 of 2
8:33.0,,,28-37,,A. Stoudemire misses free throw 2 of 2
8:32.0,,,28-37,,Offensive rebound by A. Aminu
8:30.0,Shooting block foul by A. Nicholson (drawn by A. Aminu),,28-37,,
8:30.0,,,28-37,,A. Aminu misses free throw 1 of 2
8:30.0,,,28-37,,Offensive rebound by Team
8:30.0,,,28-38,1,A. Aminu makes free throw 2 of 2
8:16.0,A. Nicholson misses 2-pt shot from 17 ft,,28-38,,
8:15.0,,,28-38,,Defensive rebound by A. Aminu
8:07.0,,,28-40,2,D. Nowitzki makes 2-pt shot from 19 ft (assist by R. Rondo)
7:43.0,V. Oladipo makes 2-pt shot from 4 ft,2,30-40,,
7:43.0,Shooting foul by A. Aminu (drawn by V. Oladipo),,30-40,,
7:43.0,,,30-40,,T. Chandler enters the game for A. Stoudemire
7:43.0,,,30-40,,M. Ellis enters the game for J. Barea
7:43.0,,,30-40,,C. Parsons enters the game for D. Nowitzki
7:43.0,E. Payton enters the game for B. Gordon,,30-40,,
7:43.0,V. Oladipo makes free throw 1 of 1,1,31-40,,
7:27.0,,,31-40,,T. Chandler misses 2-pt shot from 2 ft
7:24.0,,,31-40,,Offensive rebound by T. Chandler
7:23.0,,,31-40,,Turnover by T. Chandler (lost ball; steal by L. Ridnour)
7:20.0,,,31-40,,Violation by M. Ellis (kicked ball)
7:20.0,,,31-40,,C. Villanueva enters the game for A. Aminu
7:14.0,,,31-40,,Personal take foul by R. Rondo (drawn by K. O'Quinn)
7:06.0,,,31-40,,Violation by T. Chandler (kicked ball)
7:06.0,,,31-40,,D. Harris enters the game for C. Villanueva
6:58.0,V. Oladipo misses 2-pt shot from 16 ft,,31-40,,
6:56.0,Offensive rebound by K. O'Quinn,,31-40,,
6:48.0,A. Nicholson makes 2-pt shot from 3 ft (assist by V. Oladipo),2,33-40,,
6:29.0,,,33-40,,M. Ellis misses 3-pt shot from 24 ft
6:28.0,Defensive rebound by L. Ridnour,,33-40,,
6:15.0,V. Oladipo misses 2-pt shot from 12 ft,,33-40,,
6:13.0,,,33-40,,Defensive rebound by D. Harris
6:07.0,,,33-42,2,M. Ellis makes 2-pt shot from 17 ft (assist by R. Rondo)
5:53.0,K. O'Quinn makes 2-pt shot from 1 ft (assist by E. Payton),2,35-42,,
5:46.0,Personal foul by A. Nicholson (drawn by C. Parsons),,35-42,,
5:46.0,Official timeout,,35-42,,
5:34.0,,,35-45,3,D. Harris makes 3-pt shot from 23 ft (assist by C. Parsons)
5:09.0,A. Nicholson misses 2-pt shot from 19 ft,,35-45,,
5:08.0,,,35-45,,Defensive rebound by C. Parsons
5:00.0,,,35-45,,D. Harris misses 3-pt shot from 25 ft
4:59.0,Defensive rebound by Team,,35-45,,
4:59.0,M. Harkless enters the game for A. Nicholson,,35-45,,
4:43.0,K. O'Quinn misses 2-pt shot at rim (block by T. Chandler),,35-45,,
4:41.0,Offensive rebound by M. Harkless,,35-45,,
4:40.0,Turnover by M. Harkless (lost ball),,35-45,,
4:40.0,N. Vucevic enters the game for K. O'Quinn,,35-45,,
4:40.0,,,35-45,,J. Barea enters the game for D. Harris
4:28.0,,,35-47,2,M. Ellis makes 2-pt shot from 8 ft
4:17.0,M. Harkless misses 3-pt shot from 24 ft,,35-47,,
4:17.0,Offensive rebound by E. Payton,,35-47,,
4:11.0,N. Vucevic makes 2-pt shot from 12 ft (assist by E. Payton),2,37-47,,
3:56.0,,,37-50,3,C. Parsons makes 3-pt shot from 23 ft (assist by R. Rondo)
3:45.0,V. Oladipo misses 3-pt shot from 24 ft,,37-50,,
3:45.0,,,37-50,,Defensive rebound by M. Ellis
3:35.0,,,37-50,,Turnover by R. Rondo (bad pass; steal by N. Vucevic)
3:32.0,V. Oladipo makes 2-pt shot at rim (assist by L. Ridnour),2,39-50,,
3:32.0,Shooting foul by M. Ellis (drawn by V. Oladipo),,39-50,,
3:32.0,V. Oladipo makes free throw 1 of 1,1,40-50,,
3:19.0,,,40-52,2,M. Ellis makes 2-pt shot from 8 ft
3:01.0,M. Harkless makes 2-pt shot at rim (assist by N. Vucevic),2,42-52,,
2:44.0,,,42-52,,Shooting foul by N. Vucevic (drawn by R. Rondo)
2:44.0,Orlando full timeout,,42-52,,
2:44.0,,,42-52,,A. Aminu enters the game for C. Parsons
2:44.0,,,42-52,,D. Nowitzki enters the game for T. Chandler
2:44.0,,,42-53,1,R. Rondo makes free throw 1 of 2
2:44.0,,,42-53,,R. Rondo misses free throw 2 of 2
2:43.0,Defensive rebound by N. Vucevic,,42-53,,
2:30.0,L. Ridnour misses 3-pt shot from 27 ft,,42-53,,
2:28.0,,,42-53,,Defensive rebound by D. Nowitzki
2:23.0,,,42-55,2,R. Rondo makes 2-pt shot from 1 ft
2:13.0,Offensive foul by N. Vucevic,,42-55,,
2:13.0,Turnover by N. Vucevic (offensive foul),,42-55,,
2:01.0,,,42-57,2,D. Nowitzki makes 2-pt shot from 19 ft (assist by R. Rondo)
1:45.0,Turnover by V. Oladipo (lost ball; steal by M. Ellis),,42-57,,
1:41.0,,,42-59,2,M. Ellis makes 2-pt shot from 2 ft (assist by R. Rondo)
1:36.0,,,42-59,,Shooting block foul by R. Rondo (drawn by N. Vucevic)
1:36.0,N. Vucevic makes free throw 1 of 2,1,43-59,,
1:36.0,N. Vucevic makes free throw 2 of 2,1,44-59,,
1:21.0,,,44-59,,Turnover by R. Rondo (bad pass; steal by V. Oladipo)
1:17.0,M. Harkless makes 2-pt shot at rim (assist by L. Ridnour),2,46-59,,
1:14.0,,,46-59,,Dallas full timeout
0:59.0,,,46-61,2,M. Ellis makes 2-pt shot from 1 ft (assist by D. Nowitzki)
0:48.0,L. Ridnour misses 3-pt shot from 22 ft,,46-61,,
0:47.0,,,46-61,,Defensive rebound by D. Nowitzki
0:26.0,,,46-63,2,A. Aminu makes 2-pt shot from 20 ft
0:20.0,Orlando full timeout,,46-63,,
0:20.0,,,46-63,,T. Chandler enters the game for D. Nowitzki
0:09.0,Turnover by V. Oladipo (lost ball; steal by J. Barea),,46-63,,
0:05.0,,,46-65,2,R. Rondo makes 2-pt shot from 2 ft (assist by J. Barea)
0:00.0,L. Ridnour makes 2-pt shot from 19 ft (assist by E. Payton),2,48-65,,
0:00.0,End of 2nd quarter,,,,End of 2nd quarter
12:00.0,Start of 3rd quarter,,,,Start of 3rd quarter
11:38.0,N. Vucevic misses 2-pt shot from 11 ft (block by T. Chandler),,48-65,,
11:35.0,,,48-65,,Defensive rebound by R. Rondo
11:20.0,,,48-65,,C. Parsons misses 3-pt shot from 23 ft
11:18.0,Defensive rebound by N. Vucevic,,48-65,,
11:09.0,N. Vucevic misses 2-pt shot from 20 ft,,48-65,,
11:06.0,,,48-65,,Defensive rebound by R. Rondo
10:47.0,,,48-67,2,D. Nowitzki makes 2-pt shot from 17 ft (assist by M. Ellis)
10:27.0,V. Oladipo misses 3-pt shot from 24 ft,,48-67,,
10:27.0,,,48-67,,Defensive rebound by C. Parsons
10:19.0,,,48-70,3,D. Nowitzki makes 3-pt shot from 25 ft (assist by C. Parsons)
10:02.0,Shooting foul by D. Nowitzki (drawn by V. Oladipo),,48-70,,
10:02.0,V. Oladipo misses free throw 1 of 2,,48-70,,
10:02.0,Offensive rebound by Team,,48-70,,
10:02.0,V. Oladipo makes free throw 2 of 2,1,49-70,,
9:47.0,,,49-70,,Turnover by D. Nowitzki (bad pass; steal by M. Harkless)
9:47.0,,,49-70,,Loose ball foul by C. Parsons (drawn by M. Harkless)
9:35.0,E. Payton makes 2-pt shot from 6 ft,2,51-70,,
9:23.0,,,51-70,,Turnover by M. Ellis (bad pass; steal by E. Payton)
9:19.0,V. Oladipo makes 2-pt shot at rim (assist by E. Payton),2,53-70,,
9:02.0,,,53-70,,R. Rondo misses 2-pt shot from 18 ft
9:00.0,Defensive rebound by V. Oladipo,,53-70,,
8:56.0,M. Harkless makes 2-pt shot at rim (assist by V. Oladipo),2,55-70,,
8:55.0,,,55-70,,Dallas full timeout
8:30.0,,,55-70,,R. Rondo misses 3-pt shot from 23 ft
8:29.0,Defensive rebound by N. Vucevic,,55-70,,
8:21.0,M. Harkless makes 2-pt shot at rim (assist by E. Payton),2,57-70,,
8:08.0,,,57-70,,Turnover by R. Rondo (traveling)
7:58.0,,,57-70,,Personal foul by R. Rondo (drawn by E. Payton)
7:58.0,,,57-70,,D. Harris enters the game for R. Rondo
7:51.0,Turnover by V. Oladipo (bad pass; steal by M. Ellis),,57-70,,
7:44.0,,,57-73,3,D. Nowitzki makes 3-pt shot from 24 ft (assist by D. Harris)
7:31.0,V. Oladipo misses 2-pt shot from 12 ft,,57-73,,
7:29.0,,,57-73,,Defensive rebound by T. Chandler
7:26.0,,,57-73,,C. Parsons misses 2-pt shot from 1 ft (block by C. Frye)
7:26.0,,,57-73,,Offensive rebound by Team
7:20.0,,,57-73,,C. Parsons misses 3-pt shot from 22 ft
7:19.0,Defensive rebound by N. Vucevic,,57-73,,
7:11.0,Offensive charge foul by E. Payton,,57-73,,
7:11.0,Turnover by E. Payton (offensive foul),,57-73,,
6:57.0,,,57-73,,M. Ellis misses 2-pt shot from 20 ft
6:56.0,Defensive rebound by M. Harkless,,57-73,,
6:48.0,E. Payton misses 2-pt shot from 20 ft,,57-73,,
6:46.0,,,57-73,,Defensive rebound by C. Parsons
6:30.0,,,57-73,,C. Parsons misses 3-pt shot from 25 ft
6:28.0,Defensive rebound by V. Oladipo,,57-73,,
6:07.0,C. Frye makes 3-pt shot from 24 ft (assist by M. Harkless),3,60-73,,
5:43.0,,,60-73,,Turnover by T. Chandler (3 sec)
5:43.0,,,60-73,,A. Aminu enters the game for D. Nowitzki
5:23.0,C. Frye makes 2-pt shot from 8 ft,2,62-73,,
5:06.0,,,62-73,,Shooting foul by E. Payton (drawn by T. Chandler)
5:06.0,,,62-73,,T. Chandler misses free throw 1 of 2
5:06.0,,,62-73,,Offensive rebound by Team
5:06.0,,,62-74,1,T. Chandler makes free throw 2 of 2
4:48.0,N. Vucevic misses 2-pt shot from 6 ft (block by M. Ellis),,62-74,,
4:47.0,Offensive rebound by C. Frye,,62-74,,
4:42.0,M. Harkless misses 2-pt shot at rim,,62-74,,
4:41.0,Offensive rebound by N. Vucevic,,62-74,,
4:41.0,N. Vucevic misses 2-pt shot from 2 ft,,62-74,,
4:39.0,Offensive rebound by M. Harkless,,62-74,,
4:39.0,M. Harkless misses 2-pt shot from 1 ft,,62-74,,
4:38.0,,,62-74,,Defensive rebound by T. Chandler
4:32.0,,,62-74,,M. Ellis misses 3-pt shot from 23 ft
4:30.0,Defensive rebound by E. Payton,,62-74,,
4:23.0,V. Oladipo misses 2-pt shot from 2 ft (block by T. Chandler),,62-74,,
4:20.0,,,62-74,,Defensive rebound by T. Chandler
4:12.0,,,62-77,3,D. Harris makes 3-pt shot from 24 ft (assist by M. Ellis)
4:11.0,Orlando full timeout,,62-77,,
3:51.0,Shooting foul by D. Harris (drawn by N. Vucevic),,62-77,,
3:51.0,N. Vucevic makes free throw 1 of 2,1,63-77,,
3:51.0,,,63-77,,A. Stoudemire enters the game for T. Chandler
3:51.0,N. Vucevic makes free throw 2 of 2,1,64-77,,
3:39.0,,,64-80,3,D. Harris makes 3-pt shot from 24 ft (assist by M. Ellis)
3:28.0,Turnover by E. Payton (bad pass),,64-80,,
3:19.0,,,64-82,2,A. Stoudemire makes 2-pt shot at rim (assist by D. Harris)
3:06.0,V. Oladipo makes 2-pt shot at rim (assist by E. Payton),2,66-82,,
2:47.0,A. Gordon enters the game for N. Vucevic,,66-82,,
2:47.0,K. O'Quinn enters the game for C. Frye,,66-82,,
2:47.0,,,66-82,,D. Nowitzki enters the game for C. Parsons
2:42.0,,,66-82,,A. Aminu misses 3-pt shot from 23 ft
2:40.0,Defensive rebound by E. Payton,,66-82,,
2:28.0,A. Gordon misses 3-pt shot from 23 ft,,66-82,,
2:27.0,,,66-82,,Defensive rebound by D. Nowitzki
2:18.0,,,66-85,3,D. Nowitzki makes 3-pt shot from 24 ft (assist by D. Harris)
1:59.0,V. Oladipo misses 3-pt shot from 27 ft,,66-85,,
1:58.0,,,66-85,,Defensive rebound by A. Aminu
1:55.0,,,66-85,,Turnover by A. Aminu (bad pass)
1:43.0,M. Harkless misses 3-pt shot from 24 ft,,66-85,,
1:41.0,,,66-85,,Defensive rebound by D. Harris
1:38.0,Personal block foul by V. Oladipo (drawn by D. Harris),,66-85,,
1:38.0,,,66-85,,J. Barea enters the game for M. Ellis
1:28.0,,,66-85,,D. Nowitzki misses 2-pt shot from 11 ft
1:26.0,Defensive rebound by E. Payton,,66-85,,
1:20.0,V. Oladipo makes 2-pt shot at rim (assist by E. Payton),2,68-85,,
1:05.0,,,68-85,,A. Stoudemire misses 2-pt shot from 1 ft (block by V. Oladipo)
1:05.0,,,68-85,,Offensive rebound by Team
1:05.0,L. Ridnour enters the game for E. Payton,,68-85,,
1:05.0,B. Gordon enters the game for V. Oladipo,,68-85,,
0:55.0,,,68-85,,D. Nowitzki misses 2-pt shot from 16 ft
0:54.0,,,68-85,,Offensive rebound by A. Aminu
0:46.0,Personal foul by A. Gordon (drawn by A. Stoudemire),,68-85,,
0:46.0,,,68-85,,A. Stoudemire misses free throw 1 of 2
0:46.0,,,68-85,,Offensive rebound by Team
0:46.0,,,68-86,1,A. Stoudemire makes free throw 2 of 2
0:27.0,A. Gordon misses 2-pt shot from 1 ft,,68-86,,
0:26.0,Offensive rebound by A. Gordon,,68-86,,
0:26.0,A. Gordon makes 2-pt shot from 2 ft,2,70-86,,
0:04.0,,,70-86,,D. Harris misses 3-pt shot from 24 ft
0:01.0,Defensive rebound by M. Harkless,,70-86,,
0:00.0,End of 3rd quarter,,,,End of 3rd quarter
12:00.0,Start of 4th quarter,,,,Start of 4th quarter
11:48.0,Personal foul by K. O'Quinn (drawn by A. Stoudemire),,70-86,,
11:36.0,,,70-86,,A. Stoudemire misses 2-pt shot from 14 ft
11:34.0,Defensive rebound by A. Gordon,,70-86,,
11:18.0,K. O'Quinn makes 2-pt shot from 4 ft (assist by L. Ridnour),2,72-86,,
11:09.0,,,72-86,,J. Barea misses 2-pt shot from 8 ft
11:07.0,Defensive rebound by E. Payton,,72-86,,
11:01.0,,,72-86,,Personal foul by J. Barea (drawn by E. Payton)
10:43.0,E. Payton makes 2-pt shot from 14 ft,2,74-86,,
10:30.0,Def 3 sec tech foul by K. O'Quinn,,74-86,,
10:30.0,,,74-87,1,D. Nowitzki makes technical free throw
10:21.0,,,74-89,2,A. Stoudemire makes 2-pt shot at rim (assist by J. Barea)
10:08.0,,,74-89,,Personal foul by A. Aminu (drawn by E. Payton)
10:03.0,B. Gordon makes 2-pt shot from 18 ft (assist by K. O'Quinn),2,76-89,,
9:49.0,,,76-89,,J. Barea misses 3-pt shot from 24 ft
9:48.0,Defensive rebound by L. Ridnour,,76-89,,
9:38.0,B. Gordon makes 3-pt shot from 24 ft (assist by E. Payton),3,79-89,,
9:30.0,,,79-89,,Dallas full timeout
9:30.0,,,79-89,,C. Villanueva enters the game for D. Nowitzki
9:23.0,,,79-89,,A. Stoudemire misses 2-pt shot from 20 ft
9:21.0,Defensive rebound by E. Payton,,79-89,,
9:14.0,Turnover by E. Payton (lost ball; steal by J. Barea),,79-89,,
8:54.0,,,79-89,,D. Harris misses 3-pt shot from 24 ft
8:53.0,,,79-89,,Offensive rebound by A. Aminu
8:52.0,,,79-89,,Shooting foul by A. Gordon (drawn by A. Aminu)
8:52.0,,,79-90,1,A. Aminu makes free throw 1 of 2
8:52.0,,,79-91,1,A. Aminu makes free throw 2 of 2
8:40.0,Turnover by B. Gordon (lost ball; steal by D. Harris),,79-91,,
8:36.0,,,79-91,,A. Aminu misses 2-pt shot from 1 ft (block by L. Ridnour)
8:36.0,,,79-91,,Offensive rebound by Team
8:23.0,,,79-91,,C. Villanueva misses 3-pt shot from 25 ft
8:21.0,Defensive rebound by Team,,79-91,,
8:08.0,Shooting foul by C. Villanueva (drawn by A. Gordon),,79-91,,
8:08.0,A. Gordon makes free throw 1 of 2,1,80-91,,
8:08.0,,,80-91,,T. Chandler enters the game for D. Harris
8:08.0,,,80-91,,M. Ellis enters the game for A. Stoudemire
8:08.0,,,80-91,,C. Parsons enters the game for A. Aminu
8:08.0,,,80-91,,R. Rondo enters the game for J. Barea
8:08.0,V. Oladipo enters the game for L. Ridnour,,80-91,,
8:08.0,A. Gordon makes free throw 2 of 2,1,81-91,,
7:51.0,,,81-93,2,C. Villanueva makes 2-pt shot from 1 ft
7:29.0,B. Gordon misses 2-pt shot from 18 ft,,81-93,,
7:27.0,,,81-93,,Defensive rebound by R. Rondo
7:19.0,Personal foul by K. O'Quinn (drawn by C. Villanueva),,81-93,,
7:19.0,C. Frye enters the game for A. Gordon,,81-93,,
7:10.0,,,81-93,,Turnover by T. Chandler (bad pass)
7:10.0,Orlando full timeout,,81-93,,
7:10.0,M. Harkless enters the game for B. Gordon,,81-93,,
6:55.0,C. Frye makes 3-pt shot from 24 ft (assist by K. O'Quinn),3,84-93,,
6:36.0,,,84-96,3,C. Villanueva makes 3-pt shot from 24 ft (assist by R. Rondo)
6:25.0,V. Oladipo misses 2-pt shot from 1 ft (block by M. Ellis),,84-96,,
6:22.0,,,84-96,,Defensive rebound by R. Rondo
6:18.0,,,84-96,,C. Villanueva misses 3-pt shot from 25 ft
6:15.0,Defensive rebound by V. Oladipo,,84-96,,
6:02.0,K. O'Quinn makes 3-pt shot from 25 ft (assist by C. Frye),3,87-96,,
5:40.0,,,87-96,,M. Ellis misses 2-pt shot from 20 ft
5:38.0,Defensive rebound by E. Payton,,87-96,,
5:27.0,M. Harkless makes 2-pt shot at rim (assist by E. Payton),2,89-96,,
5:26.0,,,89-96,,Dallas full timeout
5:26.0,,,89-96,,A. Aminu enters the game for C. Parsons
5:26.0,,,89-96,,D. Nowitzki enters the game for C. Villanueva
5:02.0,,,89-96,,R. Rondo misses 2-pt shot from 18 ft
5:00.0,Defensive rebound by E. Payton,,89-96,,
4:53.0,E. Payton makes 2-pt shot from 1 ft,2,91-96,,
4:38.0,,,91-96,,M. Ellis misses 2-pt shot from 6 ft
4:36.0,Defensive rebound by M. Harkless,,91-96,,
4:27.0,Turnover by K. O'Quinn (bad pass),,91-96,,
4:17.0,Shooting block foul by V. Oladipo (drawn by M. Ellis),,91-96,,
4:17.0,,,91-96,,M. Ellis misses free throw 1 of 2
4:17.0,,,91-96,,Offensive rebound by Team
4:17.0,,,91-97,1,M. Ellis makes free throw 2 of 2
4:00.0,C. Frye misses 2-pt shot from 5 ft,,91-97,,
3:57.0,,,91-97,,Defensive rebound by D. Nowitzki
3:42.0,,,91-97,,M. Ellis misses 2-pt shot from 18 ft
3:41.0,Defensive rebound by E. Payton,,91-97,,
3:35.0,E. Payton misses 2-pt shot from 2 ft,,91-97,,
3:34.0,Offensive rebound by M. Harkless,,91-97,,
