time,Toronto,pts.away,score,pts.home,Chicago
7:26.0,Personal foul by A. Johnson (drawn by J. Noah),,53-69,,
7:23.0,Personal foul by T. Ross (drawn by A. Brooks),,53-69,,
7:23.0,,,53-70,1,A. Brooks makes free throw 1 of 2
7:23.0,,,53-71,1,A. Brooks makes free throw 2 of 2
7:10.0,A. Johnson makes 2-pt shot from 2 ft (assist by G. Vasquez),2,55-71,,
7:10.0,Shooting foul by J. Noah (drawn by A. Johnson),,55-71,,
7:10.0,A. Johnson makes free throw 1 of 1,1,56-71,,
7:03.0,,,56-71,,Offensive foul by K. Hinrich
7:03.0,,,56-71,,Turnover by K. Hinrich (offensive foul)
6:53.0,Turnover by J. Valanciunas (traveling),,56-71,,
6:30.0,,,56-71,,P. Gasol misses 2-pt shot from 6 ft
6:28.0,Defensive rebound by A. Johnson,,56-71,,
6:18.0,D. DeRozan misses 2-pt shot from 6 ft,,56-71,,
6:17.0,,,56-71,,Defensive rebound by A. Brooks
6:12.0,,,56-71,,A. Brooks misses 3-pt shot from 25 ft
6:11.0,,,56-71,,Offensive rebound by J. Noah
6:08.0,,,56-71,,M. Dunleavy misses 3-pt shot from 25 ft
6:05.0,Defensive rebound by J. Valanciunas,,56-71,,
5:52.0,G. Vasquez misses 2-pt shot from 8 ft,,56-71,,
5:51.0,,,56-71,,Defensive rebound by J. Noah
5:44.0,,,56-74,3,A. Brooks makes 3-pt shot from 24 ft (assist by M. Dunleavy)
5:42.0,Toronto full timeout,,56-74,,
5:42.0,L. Williams enters the game for T. Ross,,56-74,,
5:42.0,P. Patterson enters the game for J. Valanciunas,,56-74,,
5:17.0,A. Johnson misses 3-pt shot from 24 ft,,56-74,,
5:15.0,,,56-74,,Defensive rebound by P. Gasol
4:58.0,,,56-77,3,M. Dunleavy makes 3-pt shot from 24 ft (assist by J. Noah)
4:40.0,P. Patterson makes 3-pt shot from 23 ft (assist by G. Vasquez),3,59-77,,
4:26.0,Personal foul by P. Patterson (drawn by M. Dunleavy),,59-77,,
4:26.0,,,59-78,1,M. Dunleavy makes free throw 1 of 2
4:26.0,,,59-78,,N. Mirotic enters the game for J. Noah
4:26.0,,,59-78,,M. Dunleavy misses free throw 2 of 2
4:24.0,Defensive rebound by D. DeRozan,,59-78,,
4:09.0,P. Patterson misses 2-pt shot from 10 ft,,59-78,,
4:08.0,,,59-78,,Defensive rebound by K. Hinrich
3:49.0,,,59-78,,N. Mirotic misses 2-pt shot from 16 ft
3:46.0,Defensive rebound by L. Williams,,59-78,,
3:29.0,G. Vasquez misses 3-pt shot from 24 ft,,59-78,,
3:28.0,Offensive rebound by D. DeRozan,,59-78,,
3:17.0,G. Vasquez makes 2-pt shot from 2 ft (assist by A. Johnson),2,61-78,,
3:14.0,,,61-78,,Chicago full timeout
3:14.0,,,61-78,,E. Moore enters the game for M. Dunleavy
2:58.0,,,61-78,,Turnover by A. Brooks (lost ball)
2:43.0,P. Patterson makes 3-pt shot from 26 ft (assist by G. Vasquez),3,64-78,,
2:28.0,,,64-81,3,N. Mirotic makes 3-pt shot from 24 ft (assist by A. Brooks)
2:02.0,L. Williams misses 3-pt shot from 24 ft,,64-81,,
2:01.0,Offensive rebound by P. Patterson,,64-81,,
2:01.0,P. Patterson makes 2-pt shot from 1 ft,2,66-81,,
1:49.0,,,66-81,,A. Brooks misses 2-pt shot from 2 ft
1:48.0,Defensive rebound by G. Vasquez,,66-81,,
1:43.0,L. Williams misses 2-pt shot from 2 ft,,66-81,,
1:42.0,,,66-81,,Defensive rebound by P. Gasol
1:23.0,,,66-81,,N. Mirotic misses 3-pt shot from 25 ft
1:21.0,Defensive rebound by P. Patterson,,66-81,,
1:15.0,G. Vasquez misses 2-pt shot from 9 ft,,66-81,,
1:14.0,,,66-81,,Defensive rebound by P. Gasol
1:08.0,,,66-83,2,P. Gasol makes 2-pt shot from 2 ft (assist by A. Brooks)
1:08.0,,,66-83,,Shooting foul by L. Williams (drawn by P. Gasol)
1:08.0,T. Hansbrough enters the game for A. Johnson,,66-83,,
1:08.0,,,66-84,1,P. Gasol makes free throw 1 of 1
0:56.0,,,66-84,,Personal foul by A. Brooks (drawn by P. Patterson)
0:56.0,,,66-84,,T. Gibson enters the game for P. Gasol
0:41.0,Turnover by G. Vasquez (bad pass; steal by T. Gibson),,66-84,,
0:38.0,,,66-86,2,N. Mirotic makes 2-pt shot at rim (assist by K. Hinrich)
0:28.0,Shooting foul by E. Moore (drawn by L. Williams),,66-86,,
0:28.0,L. Williams makes free throw 1 of 2,1,67-86,,
0:28.0,T. Ross enters the game for G. Vasquez,,67-86,,
0:28.0,L. Williams makes free throw 2 of 2,1,68-86,,
0:07.0,Jump ball: A. Brooks vs. L. Williams (P. Patterson gains possession),,,,Jump ball: A. Brooks vs. L. Williams (P. Patterson gains possession)
0:07.0,,,68-86,,Turnover by A. Brooks (lost ball; steal by L. Williams)
0:01.0,D. DeRozan misses 2-pt shot from 18 ft,,68-86,,
0:00.0,Offensive rebound by L. Williams,,68-86,,
0:00.0,L. Williams misses 2-pt shot from 2 ft,,68-86,,
0:00.0,Offensive rebound by Team,,68-86,,
0:00.0,End of 3rd quarter,,,,End of 3rd quarter
12:00.0,Start of 4th quarter,,,,Start of 4th quarter
11:46.0,P. Patterson makes 2-pt shot from 1 ft (assist by L. Williams),2,70-86,,
11:32.0,,,70-86,,N. Mirotic misses 3-pt shot from 23 ft (block by P. Patterson)
11:32.0,,,70-86,,Offensive rebound by Team
11:25.0,,,70-86,,Turnover by N. Mirotic (lost ball; steal by P. Patterson)
11:13.0,L. Williams misses 2-pt shot from 2 ft (block by N. Mirotic),,70-86,,
11:13.0,Offensive rebound by Team,,70-86,,
11:01.0,P. Patterson makes 3-pt shot from 25 ft (assist by J. Johnson),3,73-86,,
10:36.0,,,73-86,,Shooting foul by P. Patterson (drawn by T. Gibson)
10:36.0,,,73-87,1,T. Gibson makes free throw 1 of 2
10:36.0,,,73-88,1,T. Gibson makes free throw 2 of 2
10:24.0,J. Johnson makes 2-pt shot from 1 ft,2,75-88,,
10:24.0,Shooting foul by N. Mirotic (drawn by J. Johnson),,75-88,,
10:24.0,J. Johnson misses free throw 1 of 1,,75-88,,
10:21.0,Offensive rebound by P. Patterson,,75-88,,
10:17.0,L. Williams misses 3-pt shot from 25 ft,,75-88,,
10:16.0,Offensive rebound by P. Patterson,,75-88,,
10:08.0,Jump ball: T. Gibson vs. L. Williams (P. Patterson gains possession),,,,Jump ball: T. Gibson vs. L. Williams (P. Patterson gains possession)
10:03.0,P. Patterson misses 3-pt shot from 23 ft,,75-88,,
10:02.0,Offensive rebound by T. Hansbrough,,75-88,,
10:02.0,T. Hansbrough misses 2-pt shot from 1 ft,,75-88,,
10:00.0,Offensive rebound by J. Johnson,,75-88,,
10:00.0,J. Johnson misses 2-pt shot from 1 ft,,75-88,,
9:56.0,Offensive rebound by J. Johnson,,75-88,,
9:56.0,J. Johnson misses 2-pt shot from 1 ft (block by J. Noah),,75-88,,
9:55.0,Offensive rebound by T. Hansbrough,,75-88,,
9:55.0,Shooting foul by N. Mirotic (drawn by T. Hansbrough),,75-88,,
9:55.0,T. Hansbrough makes free throw 1 of 2,1,76-88,,
9:55.0,,,76-88,,M. Dunleavy enters the game for T. Gibson
9:55.0,T. Hansbrough makes free throw 2 of 2,1,77-88,,
9:47.0,Personal foul by T. Hansbrough (drawn by N. Mirotic),,77-88,,
9:36.0,,,77-88,,N. Mirotic misses 3-pt shot from 25 ft
9:35.0,,,77-88,,Offensive rebound by M. Dunleavy
9:31.0,Personal foul by T. Hansbrough (drawn by N. Mirotic),,77-88,,
9:22.0,,,77-90,2,J. Noah makes 2-pt shot from 2 ft (assist by M. Dunleavy)
9:08.0,J. Johnson misses 2-pt shot from 2 ft,,77-90,,
9:05.0,Offensive rebound by T. Hansbrough,,77-90,,
8:51.0,,,77-90,,Personal foul by M. Dunleavy (drawn by J. Johnson)
8:51.0,Toronto full timeout,,77-90,,
8:51.0,,,77-90,,K. Hinrich enters the game for A. Brooks
8:36.0,T. Ross misses 3-pt shot from 24 ft,,77-90,,
8:36.0,Offensive rebound by Team,,77-90,,
8:36.0,Turnover by Team (shot clock),,77-90,,
8:17.0,,,77-90,,M. Dunleavy misses 3-pt shot from 25 ft
8:16.0,,,77-90,,Offensive rebound by J. Noah
8:04.0,,,77-90,,N. Mirotic misses 2-pt shot from 20 ft
8:02.0,,,77-90,,Offensive rebound by M. Dunleavy
8:02.0,,,77-90,,M. Dunleavy misses 2-pt shot at rim
8:00.0,,,77-90,,Offensive rebound by N. Mirotic
8:00.0,,,77-92,2,N. Mirotic makes 2-pt shot from 5 ft
8:00.0,,,77-92,,Shooting foul by T. Hansbrough (drawn by N. Mirotic)
8:00.0,,,77-93,1,N. Mirotic makes free throw 1 of 1
7:47.0,T. Ross misses 2-pt shot from 2 ft (block by N. Mirotic),,77-93,,
7:46.0,,,77-93,,Defensive rebound by J. Noah
7:22.0,,,77-95,2,K. Hinrich makes 2-pt shot from 21 ft
7:11.0,J. Johnson misses 2-pt shot from 1 ft,,77-95,,
7:10.0,,,77-95,,Defensive rebound by J. Noah
6:54.0,,,77-95,,Turnover by J. Noah (traveling)
6:54.0,D. DeRozan enters the game for J. Johnson,,77-95,,
6:44.0,Shooting foul by J. Noah (drawn by T. Hansbrough),,77-95,,
6:44.0,T. Hansbrough makes free throw 1 of 2,1,78-95,,
6:44.0,G. Vasquez enters the game for L. Williams,,78-95,,
6:44.0,T. Hansbrough makes free throw 2 of 2,1,79-95,,
6:27.0,,,79-97,2,N. Mirotic makes 2-pt shot from 1 ft (assist by J. Noah)
6:09.0,T. Ross makes 2-pt shot from 17 ft (assist by D. DeRozan),2,81-97,,
5:51.0,,,81-100,3,M. Dunleavy makes 3-pt shot from 24 ft (assist by J. Noah)
5:44.0,Toronto full timeout,,81-100,,
5:44.0,A. Johnson enters the game for P. Patterson,,81-100,,
5:33.0,D. DeRozan misses 2-pt shot from 5 ft (block by N. Mirotic),,81-100,,
5:32.0,Offensive rebound by Team,,81-100,,
5:25.0,T. Hansbrough misses 2-pt shot from 5 ft,,81-100,,
5:24.0,,,81-100,,Defensive rebound by N. Mirotic
5:10.0,,,81-102,2,N. Mirotic makes 2-pt shot at rim (assist by J. Noah)
4:47.0,T. Ross makes 2-pt shot from 18 ft,2,83-102,,
4:28.0,,,83-102,,Turnover by N. Mirotic (bad pass; steal by G. Vasquez)
4:11.0,G. Vasquez misses 3-pt shot from 25 ft,,83-102,,
4:10.0,,,83-102,,Defensive rebound by N. Mirotic
4:04.0,,,83-102,,J. Noah misses 2-pt shot from 16 ft
4:03.0,Defensive rebound by D. DeRozan,,83-102,,
3:55.0,D. DeRozan makes 2-pt shot from 2 ft,2,85-102,,
3:28.0,,,85-104,2,J. Noah makes 2-pt shot from 4 ft
3:09.0,D. DeRozan makes 3-pt shot from 22 ft (assist by A. Johnson),3,88-104,,
2:51.0,,,88-106,2,K. Hinrich makes 2-pt shot from 2 ft
2:37.0,D. DeRozan misses 2-pt shot from 15 ft,,88-106,,
2:36.0,,,88-106,,Defensive rebound by N. Mirotic
2:20.0,Personal foul by G. Vasquez (drawn by N. Mirotic),,88-106,,
2:20.0,,,88-106,,Chicago full timeout
2:20.0,,,88-106,,T. Gibson enters the game for M. Dunleavy
2:20.0,,,88-106,,D. McDermott enters the game for J. Noah
2:20.0,L. Fields enters the game for A. Johnson,,88-106,,
2:20.0,J. Johnson enters the game for D. DeRozan,,88-106,,
2:20.0,J. Valanciunas enters the game for T. Hansbrough,,88-106,,
2:20.0,,,88-107,1,N. Mirotic makes free throw 1 of 2
2:20.0,,,88-108,1,N. Mirotic makes free throw 2 of 2
1:58.0,T. Ross misses 2-pt shot from 21 ft,,88-108,,
