time,San Antonio,pts.away,score,pts.home,LA Clippers
6:26.0,T. Duncan makes 2-pt shot from 4 ft (assist by D. Green),2,37-38,,
6:08.0,,,37-38,,Shooting foul by M. Ginobili (drawn by B. Griffin)
6:08.0,,,37-39,1,B. Griffin makes free throw 1 of 2
6:08.0,,,37-39,,C. Paul enters the game for A. Rivers
6:08.0,K. Leonard enters the game for M. Ginobili,,37-39,,
6:08.0,T. Parker enters the game for D. Green,,37-39,,
6:08.0,,,37-39,,B. Griffin misses free throw 2 of 2
6:07.0,Defensive rebound by M. Bonner,,37-39,,
5:52.0,M. Belinelli makes 3-pt shot from 28 ft (assist by T. Duncan),3,40-39,,
5:52.0,,,40-39,,LA Clippers full timeout
5:31.0,,,40-39,,Turnover by D. Jordan (bad pass)
5:19.0,Shooting foul by J. Crawford (drawn by K. Leonard),,40-39,,
5:19.0,K. Leonard makes free throw 1 of 2,1,41-39,,
5:19.0,,,41-39,,M. Barnes enters the game for J. Crawford
5:19.0,K. Leonard makes free throw 2 of 2,1,42-39,,
5:06.0,,,42-39,,M. Barnes misses 3-pt shot from 23 ft
5:05.0,Defensive rebound by K. Leonard,,42-39,,
4:47.0,M. Belinelli misses 3-pt shot from 28 ft,,42-39,,
4:45.0,,,42-39,,Defensive rebound by M. Barnes
4:44.0,,,42-39,,Turnover by M. Barnes (bad pass; steal by M. Belinelli)
4:41.0,M. Belinelli makes 2-pt shot from 2 ft,2,44-39,,
4:25.0,Personal foul by M. Belinelli (drawn by B. Griffin),,44-39,,
4:17.0,,,44-39,,C. Paul misses 2-pt shot from 17 ft
4:16.0,Defensive rebound by K. Leonard,,44-39,,
4:05.0,K. Leonard makes 2-pt shot from 5 ft,2,46-39,,
3:49.0,,,46-41,2,C. Paul makes 2-pt shot from 16 ft
3:34.0,M. Bonner misses 3-pt shot from 26 ft,,46-41,,
3:33.0,,,46-41,,Defensive rebound by D. Jordan
3:22.0,,,46-43,2,B. Griffin makes 2-pt shot from 2 ft (assist by C. Paul)
3:03.0,T. Duncan makes 2-pt shot from 4 ft (assist by T. Parker),2,48-43,,
2:52.0,,,48-43,,Turnover by B. Griffin (bad pass; steal by T. Duncan)
2:40.0,Turnover by K. Leonard (bad pass),,48-43,,
2:40.0,Official timeout,,48-43,,
2:40.0,M. Ginobili enters the game for M. Belinelli,,48-43,,
2:40.0,B. Diaw enters the game for M. Bonner,,48-43,,
2:26.0,,,48-43,,B. Griffin misses 2-pt shot from 4 ft
2:25.0,,,48-43,,Offensive rebound by M. Barnes
2:23.0,,,48-45,2,B. Griffin makes 2-pt shot from 3 ft (assist by M. Barnes)
2:06.0,T. Duncan misses 2-pt shot from 8 ft (block by B. Griffin),,48-45,,
2:04.0,,,48-45,,Defensive rebound by M. Barnes
1:50.0,,,48-45,,M. Barnes misses 2-pt shot from 3 ft (block by B. Diaw)
1:47.0,,,48-45,,Offensive rebound by M. Barnes
1:43.0,,,48-45,,M. Barnes misses 3-pt shot from 27 ft
1:42.0,Defensive rebound by T. Duncan,,48-45,,
1:18.0,T. Duncan makes 2-pt shot from 11 ft (assist by T. Parker),2,50-45,,
1:00.0,,,50-47,2,B. Griffin makes 2-pt shot from 16 ft (assist by C. Paul)
0:44.0,T. Duncan makes 2-pt shot from 7 ft,2,52-47,,
0:44.0,,,52-47,,LA Clippers full timeout
0:44.0,,,52-47,,G. Davis enters the game for D. Jordan
0:44.0,,,52-47,,J. Crawford enters the game for M. Barnes
0:36.0,,,52-47,,C. Paul misses 2-pt shot from 13 ft
0:35.0,Defensive rebound by T. Duncan,,52-47,,
0:24.0,T. Parker misses 2-pt shot from 21 ft,,52-47,,
0:23.0,,,52-47,,Defensive rebound by C. Paul
0:02.0,,,52-47,,C. Paul misses 2-pt shot from 16 ft
0:01.0,Defensive rebound by M. Ginobili,,52-47,,
0:01.0,M. Ginobili misses 3-pt shot from 58 ft,,52-47,,
0:00.0,Offensive rebound by Team,,52-47,,
0:00.0,End of 2nd quarter,,,,End of 2nd quarter
12:00.0,Start of 3rd quarter,,,,Start of 3rd quarter
11:42.0,,,52-47,,Turnover by C. Paul (traveling)
11:20.0,T. Duncan makes 2-pt shot from 4 ft,2,54-47,,
10:59.0,,,54-47,,J. Redick misses 3-pt shot from 27 ft
10:59.0,Defensive rebound by Team,,54-47,,
10:47.0,Shooting foul by C. Paul (drawn by T. Parker),,54-47,,
10:47.0,T. Parker makes free throw 1 of 2,1,55-47,,
10:47.0,T. Parker misses free throw 2 of 2,,55-47,,
10:46.0,Offensive rebound by T. Parker,,55-47,,
10:35.0,T. Duncan makes 2-pt shot from 6 ft (assist by T. Parker),2,57-47,,
10:13.0,,,57-47,,B. Griffin misses 2-pt shot from 22 ft
10:13.0,,,57-47,,Offensive rebound by Team
10:07.0,,,57-47,,LA Clippers full timeout
9:58.0,,,57-49,2,D. Jordan makes 2-pt shot at rim (assist by B. Griffin)
9:58.0,,,57-49,,Shooting foul by T. Splitter (drawn by D. Jordan)
9:58.0,M. Belinelli enters the game for D. Green,,57-49,,
9:58.0,,,57-49,,D. Jordan misses free throw 1 of 1
9:56.0,Defensive rebound by T. Splitter,,57-49,,
9:44.0,K. Leonard misses 3-pt shot from 27 ft,,57-49,,
9:43.0,,,57-49,,Defensive rebound by J. Redick
9:27.0,,,57-52,3,M. Barnes makes 3-pt shot from 27 ft (assist by B. Griffin)
9:06.0,K. Leonard misses 2-pt shot from 21 ft,,57-52,,
9:05.0,,,57-52,,Defensive rebound by B. Griffin
8:58.0,,,57-52,,M. Barnes misses 3-pt shot from 25 ft (block by K. Leonard)
8:57.0,Defensive rebound by T. Splitter,,57-52,,
8:57.0,,,57-52,,Personal block foul by J. Redick (drawn by K. Leonard)
8:41.0,T. Duncan misses 2-pt shot from 6 ft,,57-52,,
8:38.0,,,57-52,,Defensive rebound by D. Jordan
8:37.0,,,57-52,,Shooting foul by T. Parker (drawn by B. Griffin)
8:37.0,,,57-53,1,B. Griffin makes free throw 1 of 2
8:37.0,,,57-53,,B. Griffin misses free throw 2 of 2
8:35.0,Defensive rebound by K. Leonard,,57-53,,
8:14.0,Turnover by T. Splitter (lost ball; steal by B. Griffin),,57-53,,
7:59.0,,,57-53,,C. Paul misses 2-pt shot from 11 ft
7:58.0,,,57-53,,Offensive rebound by D. Jordan
7:58.0,,,57-53,,D. Jordan misses 2-pt shot from 1 ft
7:55.0,Defensive rebound by K. Leonard,,57-53,,
7:54.0,Turnover by K. Leonard (lost ball; steal by C. Paul),,57-53,,
7:49.0,,,57-53,,J. Redick misses 3-pt shot from 23 ft
7:47.0,,,57-53,,Offensive rebound by M. Barnes
7:40.0,,,57-53,,B. Griffin misses 2-pt shot from 20 ft
7:38.0,Defensive rebound by T. Splitter,,57-53,,
7:23.0,T. Parker misses 2-pt shot from 15 ft,,57-53,,
7:22.0,Offensive rebound by K. Leonard,,57-53,,
7:20.0,K. Leonard makes 2-pt shot at rim,2,59-53,,
6:54.0,,,59-56,3,C. Paul makes 3-pt shot from 26 ft (assist by B. Griffin)
6:52.0,San Antonio full timeout,,59-56,,
6:52.0,B. Diaw enters the game for T. Splitter,,59-56,,
6:37.0,Turnover by K. Leonard (bad pass),,59-56,,
6:26.0,Personal foul by B. Diaw (drawn by B. Griffin),,59-56,,
6:22.0,,,59-56,,Turnover by J. Redick (bad pass; steal by K. Leonard)
6:14.0,,,59-56,,Personal foul by M. Barnes (drawn by M. Belinelli)
6:00.0,M. Belinelli misses 3-pt shot from 23 ft,,59-56,,
5:59.0,,,59-56,,Defensive rebound by D. Jordan
5:45.0,,,59-58,2,C. Paul makes 2-pt shot from 16 ft
5:24.0,,,59-58,,Personal foul by C. Paul (drawn by B. Diaw)
5:24.0,M. Ginobili enters the game for M. Belinelli,,59-58,,
5:15.0,K. Leonard makes 2-pt shot from 8 ft (assist by M. Ginobili),2,61-58,,
5:02.0,Personal foul by M. Ginobili (drawn by B. Griffin),,61-58,,
5:02.0,,,61-58,,J. Crawford enters the game for J. Redick
4:54.0,,,61-58,,J. Crawford misses 3-pt shot from 27 ft
4:53.0,Defensive rebound by B. Diaw,,61-58,,
4:35.0,,,61-58,,Violation by D. Jordan (def goaltending)
4:35.0,T. Duncan makes 2-pt shot from 6 ft,2,63-58,,
4:23.0,,,63-58,,J. Crawford misses 3-pt shot from 25 ft
4:22.0,Defensive rebound by T. Duncan,,63-58,,
