time,Chicago,pts.away,score,pts.home,Sacramento
5:01.0,,,37-41,2,D. Cousins makes 2-pt shot from 14 ft
4:47.0,,,37-41,,Personal foul by R. Gay (drawn by J. Butler)
4:41.0,J. Butler misses 2-pt shot from 7 ft,,37-41,,
4:39.0,Offensive rebound by J. Noah,,37-41,,
4:31.0,J. Butler makes 2-pt shot from 14 ft (assist by M. Dunleavy),2,39-41,,
4:07.0,,,39-41,,D. Williams misses 2-pt shot from 16 ft
4:05.0,,,39-41,,Offensive rebound by C. Landry
4:05.0,Personal foul by J. Butler (drawn by R. Gay),,39-41,,
3:57.0,,,39-41,,D. Williams misses 2-pt shot from 2 ft
3:56.0,Defensive rebound by J. Noah,,39-41,,
3:37.0,M. Dunleavy makes 2-pt shot from 18 ft (assist by K. Hinrich),2,41-41,,
3:14.0,,,41-43,2,R. Gay makes 2-pt shot from 8 ft (assist by D. Collison)
2:52.0,J. Butler misses 2-pt shot from 6 ft,,41-43,,
2:51.0,Offensive rebound by J. Noah,,41-43,,
2:51.0,J. Noah misses 2-pt shot from 1 ft,,41-43,,
2:50.0,,,41-43,,Defensive rebound by R. Gay
2:45.0,,,41-45,2,D. Williams makes 2-pt shot at rim (assist by D. Collison)
2:16.0,J. Butler misses 2-pt shot from 14 ft,,41-45,,
2:14.0,,,41-45,,Defensive rebound by R. Gay
2:09.0,,,41-47,2,R. Gay makes 2-pt shot from 2 ft
2:09.0,,,41-47,,Shooting foul by K. Hinrich (drawn by R. Gay)
2:09.0,Chicago full timeout,,41-47,,
2:09.0,,,41-47,,J. Thompson enters the game for C. Landry
2:09.0,,,41-48,1,R. Gay makes free throw 1 of 1
1:55.0,M. Dunleavy misses 3-pt shot from 24 ft,,41-48,,
1:53.0,,,41-48,,Defensive rebound by R. Gay
1:49.0,,,41-48,,Turnover by R. Gay (lost ball; steal by M. Dunleavy)
1:41.0,K. Hinrich misses 2-pt shot from 8 ft,,41-48,,
1:41.0,,,41-48,,Defensive rebound by Team
1:25.0,,,41-48,,D. Williams misses 2-pt shot from 2 ft
1:24.0,Defensive rebound by K. Hinrich,,41-48,,
1:20.0,J. Butler makes 2-pt shot from 1 ft (assist by K. Hinrich),2,43-48,,
1:03.0,,,43-51,3,R. Gay makes 3-pt shot from 24 ft (assist by J. Thompson)
0:48.0,J. Butler makes 2-pt shot at rim (assist by J. Noah),2,45-51,,
0:32.0,,,45-51,,D. Collison misses 3-pt shot from 24 ft
0:31.0,Defensive rebound by M. Dunleavy,,45-51,,
0:13.0,J. Butler misses 2-pt shot from 21 ft,,45-51,,
0:12.0,,,45-51,,Defensive rebound by Team
0:12.0,Loose ball foul by J. Noah (drawn by J. Thompson),,45-51,,
0:12.0,,,45-52,1,J. Thompson makes free throw 1 of 2
0:12.0,,,45-52,,R. Hollins enters the game for R. Gay
0:12.0,,,45-52,,B. McLemore enters the game for D. Cousins
0:12.0,,,45-52,,J. Thompson misses free throw 2 of 2
0:11.0,Defensive rebound by K. Hinrich,,45-52,,
0:03.0,,,45-52,,Personal foul by R. Hollins (drawn by K. Hinrich)
0:03.0,K. Hinrich makes free throw 1 of 2,1,46-52,,
0:03.0,K. Hinrich makes free throw 2 of 2,1,47-52,,
0:00.0,End of 2nd quarter,,,,End of 2nd quarter
12:00.0,Start of 3rd quarter,,,,Start of 3rd quarter
11:38.0,J. Butler makes 2-pt shot from 3 ft (assist by J. Noah),2,49-52,,
11:14.0,,,49-52,,D. Collison misses 2-pt shot from 8 ft
11:13.0,Defensive rebound by J. Noah,,49-52,,
10:51.0,J. Butler misses 2-pt shot from 20 ft,,49-52,,
10:51.0,,,49-52,,Defensive rebound by J. Thompson
10:41.0,,,49-52,,Turnover by D. Collison (bad pass; steal by J. Butler)
10:38.0,Offensive charge foul by J. Butler,,49-52,,
10:38.0,Turnover by J. Butler (offensive foul),,49-52,,
10:21.0,,,49-52,,J. Thompson misses 2-pt shot from 11 ft
10:19.0,,,49-52,,Offensive rebound by D. Cousins
10:18.0,,,49-54,2,D. Cousins makes 2-pt shot from 4 ft
10:05.0,M. Dunleavy misses 2-pt shot from 21 ft,,49-54,,
10:04.0,,,49-54,,Defensive rebound by D. Cousins
9:50.0,,,49-54,,Turnover by D. Cousins (bad pass; steal by J. Butler)
9:44.0,Turnover by J. Butler (bad pass),,49-54,,
9:39.0,,,49-54,,Shooting foul by K. Hinrich (drawn by D. Collison)
9:39.0,,,49-55,1,D. Collison makes free throw 1 of 2
9:39.0,,,49-56,1,D. Collison makes free throw 2 of 2
9:29.0,Turnover by M. Dunleavy (bad pass),,49-56,,
9:11.0,,,49-58,2,D. Cousins makes 2-pt shot from 6 ft (assist by D. Collison)
8:51.0,T. Gibson misses 2-pt shot from 1 ft (block by J. Thompson),,49-58,,
8:49.0,,,49-58,,Defensive rebound by D. Collison
8:45.0,,,49-61,3,B. McLemore makes 3-pt shot from 25 ft (assist by D. Collison)
8:20.0,M. Dunleavy misses 2-pt shot from 5 ft,,49-61,,
8:19.0,Offensive rebound by J. Noah,,49-61,,
8:19.0,J. Noah makes 2-pt shot from 1 ft,2,51-61,,
8:14.0,,,51-61,,Offensive foul by B. McLemore
8:14.0,,,51-61,,Turnover by B. McLemore (offensive foul)
7:59.0,J. Butler makes 2-pt shot from 2 ft (assist by K. Hinrich),2,53-61,,
7:58.0,,,53-61,,Sacramento full timeout
7:40.0,,,53-61,,R. Gay misses 2-pt shot from 4 ft
7:40.0,Defensive rebound by J. Butler,,53-61,,
7:18.0,Turnover by J. Noah (traveling),,53-61,,
6:59.0,,,53-61,,Turnover by D. Cousins (lost ball; steal by J. Noah)
6:48.0,J. Butler makes 2-pt shot from 2 ft (assist by J. Noah),2,55-61,,
6:31.0,,,55-63,2,R. Gay makes 2-pt shot from 16 ft (assist by D. Cousins)
6:11.0,M. Dunleavy misses 3-pt shot from 25 ft,,55-63,,
6:11.0,,,55-63,,Defensive rebound by D. Cousins
5:57.0,,,55-63,,D. Cousins misses 2-pt shot from 20 ft
5:57.0,Defensive rebound by J. Butler,,55-63,,
5:41.0,,,55-63,,Personal foul by B. McLemore (drawn by M. Dunleavy)
5:41.0,,,55-63,,Sacramento full timeout
5:41.0,,,55-63,,D. Williams enters the game for R. Gay
5:31.0,M. Dunleavy makes 2-pt shot from 5 ft (assist by K. Hinrich),2,57-63,,
5:17.0,Personal foul by J. Noah (drawn by D. Cousins),,57-63,,
5:10.0,,,57-65,2,D. Cousins makes 2-pt shot from 2 ft (assist by D. Collison)
5:10.0,,,57-65,,Shooting foul by J. Noah (drawn by D. Cousins)
5:10.0,,,57-65,,D. Cousins misses free throw 1 of 1
5:09.0,Defensive rebound by J. Noah,,57-65,,
4:56.0,,,57-65,,Shooting block foul by D. Cousins (drawn by M. Dunleavy)
4:56.0,M. Dunleavy makes free throw 1 of 2,1,58-65,,
4:56.0,M. Dunleavy makes free throw 2 of 2,1,59-65,,
4:42.0,,,59-65,,Turnover by D. Cousins (lost ball; steal by T. Gibson)
4:33.0,K. Hinrich misses 2-pt shot from 17 ft,,59-65,,
4:31.0,Offensive rebound by T. Gibson,,59-65,,
4:31.0,T. Gibson misses 2-pt shot from 1 ft,,59-65,,
4:30.0,,,59-65,,Defensive rebound by D. Cousins
4:30.0,Personal foul by J. Noah (drawn by D. Cousins),,59-65,,
4:30.0,Technical foul by J. Noah (drawn by D. Cousins),,59-65,,
4:30.0,N. Mirotic enters the game for J. Noah,,59-65,,
4:30.0,,,59-66,1,D. Collison makes technical free throw
4:14.0,,,59-68,2,D. Cousins makes 2-pt shot from 2 ft (assist by D. Collison)
3:54.0,K. Hinrich makes 2-pt shot from 19 ft,2,61-68,,
3:37.0,,,61-70,2,J. Thompson makes 2-pt shot from 4 ft (assist by D. Cousins)
3:24.0,J. Butler misses 2-pt shot from 4 ft,,61-70,,
3:23.0,,,61-70,,Defensive rebound by D. Cousins
3:19.0,,,61-72,2,B. McLemore makes 2-pt shot from 2 ft (assist by D. Cousins)
3:19.0,Chicago full timeout,,61-72,,
3:19.0,A. Brooks enters the game for J. Butler,,61-72,,
3:19.0,D. McDermott enters the game for K. Hinrich,,61-72,,
3:06.0,M. Dunleavy misses 3-pt shot from 25 ft,,61-72,,
3:06.0,,,61-72,,Defensive rebound by D. Cousins
2:52.0,,,61-72,,D. Cousins misses 2-pt shot from 3 ft (block by N. Mirotic)
2:51.0,Defensive rebound by T. Gibson,,61-72,,
2:50.0,Turnover by T. Gibson (lost ball; steal by D. Cousins),,61-72,,
2:49.0,,,61-72,,Shooting foul by T. Gibson (drawn by D. Cousins)
2:49.0,,,61-73,1,D. Cousins makes free throw 1 of 2
2:49.0,,,61-74,1,D. Cousins makes free throw 2 of 2
2:35.0,Turnover by N. Mirotic (traveling),,61-74,,
2:18.0,,,61-76,2,D. Collison makes 2-pt shot from 20 ft
2:04.0,D. McDermott misses 3-pt shot from 24 ft,,61-76,,
2:04.0,,,61-76,,Defensive rebound by J. Thompson
1:54.0,,,61-76,,D. Collison misses 2-pt shot from 18 ft
1:54.0,Defensive rebound by D. McDermott,,61-76,,
1:34.0,A. Brooks makes 2-pt shot from 4 ft,2,63-76,,
1:14.0,,,63-76,,B. McLemore misses 3-pt shot from 23 ft
