time,Toronto,pts.away,score,pts.home,Miami
9:32.0,,,30-36,,Defensive rebound by C. Bosh
9:29.0,,,30-36,,Shooting foul by G. Vasquez (drawn by M. Chalmers)
9:29.0,,,30-37,1,M. Chalmers makes free throw 1 of 2
9:29.0,,,30-38,1,M. Chalmers makes free throw 2 of 2
9:15.0,Turnover by C. Hayes (bad pass; steal by L. Deng),,30-38,,
9:09.0,,,30-38,,M. Chalmers misses 2-pt shot from 1 ft
9:08.0,Defensive rebound by J. Johnson,,30-38,,
9:00.0,J. Johnson misses 2-pt shot from 1 ft,,30-38,,
8:59.0,Offensive rebound by T. Hansbrough,,30-38,,
8:58.0,T. Hansbrough makes 2-pt shot from 1 ft,2,32-38,,
8:39.0,,,32-38,,C. Bosh misses 2-pt shot from 16 ft
8:38.0,,,32-38,,Offensive rebound by S. Napier
8:37.0,,,32-38,,Turnover by C. Bosh (step out of bounds)
8:37.0,Official timeout,,32-38,,
8:37.0,P. Patterson enters the game for T. Hansbrough,,32-38,,
8:37.0,J. Valanciunas enters the game for C. Hayes,,32-38,,
8:25.0,Shooting foul by S. Napier (drawn by L. Williams),,32-38,,
8:25.0,L. Williams misses free throw 1 of 2,,32-38,,
8:25.0,Offensive rebound by Team,,32-38,,
8:25.0,L. Williams makes free throw 2 of 2,1,33-38,,
8:08.0,,,33-38,,C. Bosh misses 2-pt shot from 18 ft
8:07.0,,,33-38,,Offensive rebound by Team
8:07.0,Loose ball foul by P. Patterson (drawn by J. McRoberts),,33-38,,
7:57.0,,,33-38,,Offensive charge foul by J. McRoberts
7:57.0,,,33-38,,Turnover by J. McRoberts (offensive foul)
7:57.0,,,33-38,,D. Wade enters the game for M. Chalmers
7:57.0,,,33-38,,S. Williams enters the game for J. McRoberts
7:38.0,J. Johnson misses 3-pt shot from 24 ft,,33-38,,
7:37.0,,,33-38,,Defensive rebound by D. Wade
7:30.0,,,33-38,,S. Williams misses 3-pt shot from 25 ft
7:29.0,,,33-38,,Offensive rebound by Team
7:25.0,Personal foul by G. Vasquez (drawn by D. Wade),,33-38,,
7:25.0,Technical foul by G. Vasquez (drawn by D. Wade),,33-38,,
7:25.0,,,33-39,1,C. Bosh makes technical free throw
7:25.0,,,33-39,,J. Hamilton enters the game for C. Bosh
7:21.0,Personal block foul by P. Patterson (drawn by L. Deng),,33-39,,
7:21.0,D. DeRozan enters the game for P. Patterson,,33-39,,
7:08.0,,,33-39,,D. Wade misses 2-pt shot from 18 ft
7:07.0,Defensive rebound by J. Valanciunas,,33-39,,
7:01.0,J. Johnson makes 2-pt shot at rim (assist by J. Valanciunas),2,35-39,,
6:56.0,,,35-39,,Miami full timeout
6:47.0,,,35-39,,L. Deng misses 2-pt shot from 19 ft
6:46.0,,,35-39,,Offensive rebound by D. Wade
6:45.0,,,35-41,2,D. Wade makes 2-pt shot at rim
6:27.0,G. Vasquez makes 3-pt shot from 24 ft (assist by J. Valanciunas),3,38-41,,
6:13.0,,,38-43,2,L. Deng makes 2-pt shot from 1 ft (assist by D. Wade)
5:51.0,G. Vasquez misses 2-pt shot from 2 ft,,38-43,,
5:48.0,,,38-43,,Defensive rebound by Team
5:48.0,K. Lowry enters the game for L. Williams,,38-43,,
5:48.0,Jump ball: J. Hamilton vs. J. Valanciunas (S. Napier gains possession),,,,Jump ball: J. Hamilton vs. J. Valanciunas (S. Napier gains possession)
5:42.0,,,38-45,2,L. Deng makes 2-pt shot at rim (assist by S. Napier)
5:20.0,K. Lowry makes 2-pt shot from 3 ft,2,40-45,,
4:56.0,,,40-45,,Shooting foul by K. Lowry (drawn by S. Napier)
4:56.0,,,40-46,1,S. Napier makes free throw 1 of 2
4:56.0,,,40-47,1,S. Napier makes free throw 2 of 2
4:35.0,G. Vasquez makes 3-pt shot from 24 ft,3,43-47,,
4:08.0,,,43-47,,D. Wade misses 2-pt shot from 8 ft
4:07.0,,,43-47,,Offensive rebound by J. Hamilton
3:50.0,,,43-49,2,L. Deng makes 2-pt shot from 10 ft
3:43.0,Shooting foul by D. Wade (drawn by K. Lowry),,43-49,,
3:43.0,K. Lowry misses free throw 1 of 2,,43-49,,
3:43.0,Offensive rebound by Team,,43-49,,
3:43.0,,,43-49,,C. Bosh enters the game for J. Hamilton
3:43.0,,,43-49,,N. Cole enters the game for S. Napier
3:43.0,K. Lowry misses free throw 2 of 2,,43-49,,
3:42.0,,,43-49,,Defensive rebound by S. Williams
3:27.0,,,43-49,,L. Deng misses 2-pt shot from 20 ft
3:26.0,Defensive rebound by G. Vasquez,,43-49,,
3:18.0,Shooting foul by S. Williams (drawn by D. DeRozan),,43-49,,
3:18.0,D. DeRozan makes free throw 1 of 2,1,44-49,,
3:18.0,D. DeRozan misses free throw 2 of 2,,44-49,,
3:17.0,,,44-49,,Defensive rebound by S. Williams
3:09.0,,,44-49,,Shooting foul by J. Johnson (drawn by D. Wade)
3:09.0,,,44-50,1,D. Wade makes free throw 1 of 2
3:09.0,T. Ross enters the game for J. Johnson,,44-50,,
3:09.0,,,44-51,1,D. Wade makes free throw 2 of 2
2:52.0,J. Valanciunas misses 2-pt shot at rim,,44-51,,
2:51.0,Offensive rebound by J. Valanciunas,,44-51,,
2:51.0,J. Valanciunas makes 2-pt shot at rim,2,46-51,,
2:51.0,Shooting foul by S. Williams (drawn by J. Valanciunas),,46-51,,
2:51.0,Toronto full timeout,,46-51,,
2:51.0,,,46-51,,M. Chalmers enters the game for S. Williams
2:51.0,J. Valanciunas makes free throw 1 of 1,1,47-51,,
2:38.0,,,47-53,2,L. Deng makes 2-pt shot at rim (assist by D. Wade)
2:19.0,J. Valanciunas misses 2-pt shot from 4 ft,,47-53,,
2:18.0,,,47-53,,Defensive rebound by C. Bosh
2:11.0,,,47-55,2,C. Bosh makes 2-pt shot from 2 ft (assist by M. Chalmers)
2:11.0,,,47-55,,Shooting foul by J. Valanciunas (drawn by C. Bosh)
2:11.0,,,47-56,1,C. Bosh makes free throw 1 of 1
1:56.0,J. Valanciunas makes 2-pt shot from 1 ft (assist by G. Vasquez),2,49-56,,
1:56.0,Shooting foul by L. Deng (drawn by J. Valanciunas),,49-56,,
1:56.0,J. Valanciunas makes free throw 1 of 1,1,50-56,,
1:39.0,,,50-59,3,M. Chalmers makes 3-pt shot from 24 ft (assist by D. Wade)
1:29.0,G. Vasquez misses 3-pt shot from 24 ft,,50-59,,
1:28.0,,,50-59,,Defensive rebound by M. Chalmers
1:18.0,,,50-59,,C. Bosh misses 2-pt shot from 1 ft (block by J. Valanciunas)
1:17.0,Defensive rebound by J. Valanciunas,,50-59,,
1:14.0,,,50-59,,Shooting block foul by N. Cole (drawn by D. DeRozan)
1:14.0,D. DeRozan misses free throw 1 of 2,,50-59,,
1:14.0,Offensive rebound by Team,,50-59,,
1:14.0,,,50-59,,S. Napier enters the game for M. Chalmers
1:14.0,,,50-59,,S. Brown enters the game for D. Wade
1:14.0,D. DeRozan misses free throw 2 of 2,,50-59,,
1:13.0,,,50-59,,Defensive rebound by C. Bosh
0:55.0,,,50-61,2,L. Deng makes 2-pt shot from 1 ft (assist by C. Bosh)
0:40.0,K. Lowry makes 2-pt shot from 18 ft,2,52-61,,
0:31.0,,,52-63,2,C. Bosh makes 2-pt shot from 21 ft
0:19.0,Turnover by D. DeRozan (lost ball; steal by S. Napier),,52-63,,
0:14.0,,,52-63,,Shooting foul by K. Lowry (drawn by S. Brown)
0:14.0,,,52-63,,S. Brown misses free throw 1 of 2
0:14.0,,,52-63,,Offensive rebound by Team
0:14.0,,,52-64,1,S. Brown makes free throw 2 of 2
0:00.0,G. Vasquez makes 2-pt shot from 1 ft (assist by K. Lowry),2,54-64,,
0:00.0,End of 2nd quarter,,,,End of 2nd quarter
12:00.0,Start of 3rd quarter,,,,Start of 3rd quarter
11:39.0,T. Ross makes 2-pt shot from 16 ft (assist by P. Patterson),2,56-64,,
11:22.0,,,56-64,,N. Cole misses 2-pt shot from 18 ft
11:21.0,Defensive rebound by D. DeRozan,,56-64,,
11:10.0,P. Patterson misses 3-pt shot from 23 ft,,56-64,,
11:09.0,,,56-64,,Defensive rebound by S. Williams
10:53.0,,,56-64,,Turnover by N. Cole (lost ball)
10:38.0,T. Ross misses 3-pt shot from 24 ft,,56-64,,
10:37.0,,,56-64,,Defensive rebound by S. Williams
10:25.0,,,56-67,3,C. Bosh makes 3-pt shot from 24 ft (assist by N. Cole)
10:04.0,J. Valanciunas makes 2-pt shot from 7 ft (assist by D. DeRozan),2,58-67,,
9:44.0,,,58-69,2,D. Wade makes 2-pt shot from 20 ft (assist by C. Bosh)
9:23.0,T. Ross misses 2-pt shot from 9 ft,,58-69,,
9:22.0,,,58-69,,Defensive rebound by C. Bosh
9:02.0,,,58-72,3,N. Cole makes 3-pt shot from 27 ft (assist by L. Deng)
8:43.0,K. Lowry misses 2-pt shot from 20 ft,,58-72,,
8:42.0,,,58-72,,Defensive rebound by D. Wade
8:34.0,,,58-72,,S. Williams misses 2-pt shot from 1 ft (block by J. Valanciunas)
8:33.0,Defensive rebound by T. Ross,,58-72,,
8:21.0,,,58-72,,Violation by C. Bosh (def goaltending)
8:21.0,D. DeRozan makes 2-pt shot from 2 ft,2,60-72,,
8:06.0,,,60-72,,Shooting foul by J. Valanciunas (drawn by S. Williams)
8:06.0,,,60-72,,S. Williams misses free throw 1 of 2
8:06.0,,,60-72,,Offensive rebound by Team
8:06.0,,,60-73,1,S. Williams makes free throw 2 of 2
7:50.0,D. DeRozan misses 2-pt shot from 19 ft,,60-73,,
7:49.0,Offensive rebound by K. Lowry,,60-73,,
7:42.0,T. Ross misses 3-pt shot from 25 ft,,60-73,,
7:41.0,Offensive rebound by Team,,60-73,,
7:30.0,,,60-73,,Personal foul by L. Deng (drawn by D. DeRozan)
7:30.0,,,60-73,,J. Hamilton enters the game for C. Bosh
7:18.0,J. Valanciunas misses 2-pt shot from 8 ft (block by D. Wade),,60-73,,
7:17.0,Offensive rebound by Team,,60-73,,
7:16.0,D. DeRozan makes 2-pt shot from 17 ft (assist by K. Lowry),2,62-73,,
7:01.0,,,62-75,2,L. Deng makes 2-pt shot from 17 ft (assist by N. Cole)
6:49.0,D. DeRozan misses 2-pt shot from 1 ft (block by S. Williams),,62-75,,
6:48.0,,,62-75,,Defensive rebound by D. Wade
6:45.0,Shooting block foul by K. Lowry (drawn by S. Williams),,62-75,,
6:45.0,,,62-76,1,S. Williams makes free throw 1 of 2
6:45.0,,,62-77,1,S. Williams makes free throw 2 of 2
6:40.0,Toronto full timeout,,62-77,,
6:40.0,G. Vasquez enters the game for T. Ross,,62-77,,
6:40.0,T. Hansbrough enters the game for P. Patterson,,62-77,,
6:25.0,D. DeRozan makes 2-pt shot from 10 ft,2,64-77,,
6:12.0,Personal foul by G. Vasquez (drawn by D. Wade),,64-77,,
6:02.0,,,64-77,,Turnover by D. Wade (bad pass; steal by D. DeRozan)
5:59.0,D. DeRozan makes 2-pt shot from 1 ft,2,66-77,,
5:59.0,Shooting foul by N. Cole (drawn by D. DeRozan),,66-77,,
5:59.0,D. DeRozan makes free throw 1 of 1,1,67-77,,
5:42.0,,,67-80,3,S. Williams makes 3-pt shot from 23 ft (assist by D. Wade)
5:28.0,,,67-80,,Personal foul by J. Hamilton (drawn by J. Valanciunas)
5:12.0,J. Valanciunas misses 2-pt shot from 2 ft,,67-80,,
5:11.0,,,67-80,,Defensive rebound by D. Wade
4:53.0,,,67-83,3,D. Wade makes 3-pt shot from 24 ft
4:34.0,G. Vasquez misses 2-pt shot from 3 ft,,67-83,,
4:32.0,Offensive rebound by J. Valanciunas,,67-83,,
4:29.0,J. Valanciunas makes 2-pt shot from 4 ft,2,69-83,,
4:25.0,,,69-83,,Miami full timeout
4:25.0,,,69-83,,C. Bosh enters the game for S. Williams
4:25.0,,,69-83,,M. Chalmers enters the game for D. Wade
4:06.0,,,69-83,,Turnover by N. Cole (bad pass)
3:54.0,Shooting foul by J. Hamilton (drawn by K. Lowry),,69-83,,
3:54.0,K. Lowry makes free throw 1 of 2,1,70-83,,
3:54.0,K. Lowry makes free throw 2 of 2,1,71-83,,
3:41.0,,,71-85,2,L. Deng makes 2-pt shot from 7 ft
3:28.0,G. Vasquez misses 3-pt shot from 24 ft,,71-85,,
3:27.0,,,71-85,,Defensive rebound by C. Bosh
3:17.0,,,71-87,2,M. Chalmers makes 2-pt shot from 9 ft
2:55.0,Offensive charge foul by G. Vasquez,,71-87,,
2:55.0,Turnover by G. Vasquez (offensive foul),,71-87,,
2:55.0,L. Williams enters the game for G. Vasquez,,71-87,,
2:43.0,,,71-87,,Turnover by C. Bosh (bad pass; steal by D. DeRozan)
2:30.0,K. Lowry makes 2-pt shot from 1 ft,2,73-87,,
2:05.0,,,73-87,,N. Cole misses 3-pt shot from 24 ft
2:04.0,Defensive rebound by J. Valanciunas,,73-87,,
1:51.0,K. Lowry makes 2-pt shot from 8 ft,2,75-87,,
1:37.0,,,75-87,,L. Deng misses 2-pt shot from 9 ft
1:36.0,Defensive rebound by J. Valanciunas,,75-87,,
1:35.0,Offensive charge foul by L. Williams,,75-87,,
1:35.0,Turnover by L. Williams (offensive foul),,75-87,,
1:35.0,,,75-87,,S. Napier enters the game for N. Cole
1:35.0,C. Hayes enters the game for J. Valanciunas,,75-87,,
1:12.0,,,75-87,,M. Chalmers misses 2-pt shot from 18 ft
1:11.0,Defensive rebound by T. Hansbrough,,75-87,,
0:55.0,C. Hayes misses 2-pt shot from 6 ft,,75-87,,
0:54.0,Offensive rebound by T. Hansbrough,,75-87,,
0:35.0,K. Lowry misses 2-pt shot from 22 ft,,75-87,,
0:34.0,,,75-87,,Defensive rebound by Team
0:34.0,Loose ball foul by T. Hansbrough (drawn by C. Bosh),,75-87,,
0:20.0,,,75-87,,Turnover by M. Chalmers (lost ball; steal by T. Hansbrough)
0:04.0,Shooting foul by M. Chalmers (drawn by L. Williams),,75-87,,
0:04.0,L. Williams makes free throw 1 of 2,1,76-87,,
0:04.0,L. Williams makes free throw 2 of 2,1,77-87,,
0:00.0,,,77-87,,M. Chalmers misses 3-pt shot from 24 ft
0:00.0,Defensive rebound by Team,,77-87,,
0:00.0,End of 3rd quarter,,,,End of 3rd quarter
12:00.0,Start of 4th quarter,,,,Start of 4th quarter
11:42.0,,,77-89,2,C. Bosh makes 2-pt shot from 20 ft (assist by S. Napier)
11:27.0,C. Hayes misses 2-pt shot from 1 ft (block by J. McRoberts),,77-89,,
11:26.0,Offensive rebound by C. Hayes,,77-89,,
11:19.0,K. Lowry makes 3-pt shot from 24 ft (assist by C. Hayes),3,80-89,,
11:02.0,,,80-89,,M. Chalmers misses 3-pt shot from 24 ft
11:01.0,Defensive rebound by C. Hayes,,80-89,,
10:50.0,,,80-89,,Personal foul by J. McRoberts (drawn by K. Lowry)
10:41.0,C. Hayes misses 2-pt shot from 9 ft,,80-89,,
10:40.0,Offensive rebound by C. Hayes,,80-89,,
10:39.0,Turnover by C. Hayes (lost ball; steal by C. Bosh),,80-89,,
10:34.0,,,80-91,2,S. Napier makes 2-pt shot from 3 ft
10:34.0,,,80-91,,Shooting foul by L. Williams (drawn by S. Napier)
10:34.0,,,80-92,1,S. Napier makes free throw 1 of 1
10:14.0,K. Lowry misses 2-pt shot from 12 ft,,80-92,,
10:13.0,,,80-92,,Defensive rebound by J. McRoberts
10:03.0,,,80-92,,Shooting foul by C. Hayes (drawn by C. Bosh)
10:03.0,,,80-93,1,C. Bosh makes free throw 1 of 2
10:03.0,D. DeRozan enters the game for K. Lowry,,80-93,,
10:03.0,,,80-93,,C. Bosh misses free throw 2 of 2
9:59.0,Defensive rebound by T. Hansbrough,,80-93,,
9:50.0,L. Williams makes 2-pt shot from 7 ft,2,82-93,,
9:29.0,,,82-93,,J. McRoberts misses 2-pt shot from 2 ft (block by J. Johnson)
9:28.0,Defensive rebound by J. Johnson,,82-93,,
9:21.0,J. Johnson makes 2-pt shot from 2 ft,2,84-93,,
9:13.0,,,84-93,,Miami full timeout
9:13.0,G. Vasquez enters the game for C. Hayes,,84-93,,
8:57.0,,,84-93,,Turnover by M. Chalmers (bad pass; steal by D. DeRozan)
8:47.0,,,84-93,,Personal foul by M. Chalmers (drawn by L. Williams)
8:47.0,L. Williams misses free throw 1 of 2,,84-93,,
8:47.0,Offensive rebound by Team,,84-93,,
8:47.0,,,84-93,,D. Wade enters the game for J. Ennis
8:47.0,L. Williams misses free throw 2 of 2,,84-93,,
8:46.0,,,84-93,,Defensive rebound by C. Bosh
8:27.0,,,84-93,,Turnover by S. Napier (bad pass; steal by D. DeRozan)
8:15.0,D. DeRozan misses 2-pt shot from 9 ft,,84-93,,
8:14.0,Offensive rebound by Team,,84-93,,
8:14.0,,,84-93,,S. Williams enters the game for J. McRoberts
8:01.0,Turnover by D. DeRozan (traveling),,84-93,,
7:41.0,,,84-93,,C. Bosh misses 2-pt shot from 12 ft (block by J. Johnson)
7:40.0,,,84-93,,Offensive rebound by Team
7:38.0,,,84-93,,Shooting foul by D. DeRozan (drawn by M. Chalmers)
7:38.0,,,84-93,,M. Chalmers misses free throw 1 of 2
7:38.0,,,84-93,,Offensive rebound by Team
7:38.0,,,84-94,1,M. Chalmers makes free throw 2 of 2
7:32.0,Shooting foul by S. Napier (drawn by L. Williams),,84-94,,
7:32.0,L. Williams makes free throw 1 of 2,1,85-94,,
7:32.0,L. Williams makes free throw 2 of 2,1,86-94,,
7:19.0,,,86-94,,S. Napier misses 3-pt shot from 23 ft
7:18.0,Defensive rebound by T. Hansbrough,,86-94,,
7:05.0,J. Johnson makes 2-pt shot from 3 ft,2,88-94,,
6:50.0,,,88-94,,D. Wade misses 2-pt shot from 18 ft
6:49.0,Defensive rebound by J. Johnson,,88-94,,
6:48.0,Turnover by J. Johnson (lost ball; steal by S. Napier),,88-94,,
6:44.0,,,88-94,,S. Williams misses 3-pt shot from 25 ft
6:43.0,,,88-94,,Offensive rebound by D. Wade
6:36.0,,,88-94,,M. Chalmers misses 3-pt shot from 25 ft
6:34.0,,,88-94,,Offensive rebound by D. Wade
6:33.0,,,88-94,,Shooting foul by L. Williams (drawn by M. Chalmers)
6:33.0,,,88-95,1,M. Chalmers makes free throw 1 of 2
6:33.0,,,88-95,,L. Deng enters the game for S. Napier
6:33.0,,,88-96,1,M. Chalmers makes free throw 2 of 2
6:17.0,G. Vasquez makes 2-pt shot from 18 ft,2,90-96,,
5:51.0,,,90-96,,D. Wade misses 2-pt shot from 16 ft (block by J. Johnson)
5:50.0,,,90-96,,Offensive rebound by M. Chalmers
5:48.0,,,90-96,,M. Chalmers misses 3-pt shot from 24 ft
5:47.0,,,90-96,,Offensive rebound by S. Williams
5:45.0,,,90-98,2,S. Williams makes 2-pt shot at rim
5:23.0,D. DeRozan makes 3-pt shot from 23 ft (assist by L. Williams),3,93-98,,
4:59.0,,,93-98,,C. Bosh misses 2-pt shot from 11 ft
4:58.0,Defensive rebound by D. DeRozan,,93-98,,
