time,San Antonio,pts.away,score,pts.home,Indiana
6:55.0,,,56-55,,R. Hibbert misses 2-pt shot at rim (block by T. Duncan)
6:53.0,Defensive rebound by D. Green,,56-55,,
6:40.0,Turnover by T. Parker (traveling),,56-55,,
6:23.0,,,56-55,,Shooting foul by M. Bonner (drawn by D. West)
6:23.0,,,56-56,1,D. West makes free throw 1 of 2
6:23.0,San Antonio full timeout,,56-56,,
6:23.0,B. Diaw enters the game for M. Bonner,,56-56,,
6:23.0,M. Belinelli enters the game for D. Green,,56-56,,
6:23.0,,,56-57,1,D. West makes free throw 2 of 2
6:09.0,K. Leonard misses 2-pt shot from 20 ft,,56-57,,
6:08.0,,,56-57,,Defensive rebound by D. West
5:57.0,,,56-59,2,C. Miles makes 2-pt shot from 7 ft
5:34.0,T. Parker misses 2-pt shot from 1 ft,,56-59,,
5:33.0,,,56-59,,Defensive rebound by Team
5:19.0,,,56-59,,C. Miles misses 3-pt shot from 23 ft
5:18.0,Defensive rebound by K. Leonard,,56-59,,
5:03.0,M. Belinelli makes 3-pt shot from 27 ft (assist by T. Duncan),3,59-59,,
4:38.0,,,59-62,3,R. Stuckey makes 3-pt shot from 23 ft (assist by D. West)
4:25.0,,,59-62,,C. Watson enters the game for G. Hill
4:25.0,,,59-62,,S. Hill enters the game for C. Miles
4:25.0,P. Mills enters the game for T. Parker,,59-62,,
4:25.0,T. Splitter enters the game for T. Duncan,,59-62,,
4:25.0,,,59-62,,L. Scola enters the game for R. Hibbert
4:15.0,,,59-62,,Personal foul by D. West (drawn by K. Leonard)
4:03.0,B. Diaw misses 2-pt shot from 6 ft,,59-62,,
4:02.0,,,59-62,,Defensive rebound by D. West
3:45.0,,,59-64,2,L. Scola makes 2-pt shot from 6 ft (assist by D. West)
3:31.0,Turnover by B. Diaw (lost ball; steal by S. Hill),,59-64,,
3:27.0,,,59-66,2,R. Stuckey makes 2-pt shot at rim (assist by S. Hill)
3:27.0,Technical foul by Team,,59-66,,
3:27.0,D. Green enters the game for K. Leonard,,59-66,,
3:27.0,,,59-67,1,C. Watson makes technical free throw
3:15.0,P. Mills makes 2-pt shot from 19 ft,2,61-67,,
3:00.0,,,61-69,2,D. West makes 2-pt shot from 1 ft (assist by R. Stuckey)
2:46.0,P. Mills misses 2-pt shot from 21 ft,,61-69,,
2:45.0,,,61-69,,Defensive rebound by R. Stuckey
2:36.0,,,61-71,2,L. Scola makes 2-pt shot at rim
2:17.0,B. Diaw makes 2-pt shot from 1 ft,2,63-71,,
2:06.0,,,63-71,,R. Stuckey misses 2-pt shot from 11 ft
2:05.0,,,63-71,,Offensive rebound by D. West
2:01.0,,,63-74,3,S. Hill makes 3-pt shot from 26 ft (assist by D. West)
1:40.0,T. Splitter misses 2-pt shot from 12 ft,,63-74,,
1:39.0,,,63-74,,Defensive rebound by S. Hill
1:32.0,,,63-76,2,S. Hill makes 2-pt shot from 1 ft
1:13.0,P. Mills makes 2-pt shot from 17 ft (assist by M. Belinelli),2,65-76,,
1:03.0,,,65-76,,Indiana full timeout
1:03.0,A. Baynes enters the game for T. Splitter,,65-76,,
1:03.0,,,65-76,,S. Whittington enters the game for D. West
0:56.0,,,65-79,3,C. Watson makes 3-pt shot from 23 ft (assist by R. Stuckey)
0:40.0,B. Diaw misses 2-pt shot from 10 ft,,65-79,,
0:39.0,,,65-79,,Defensive rebound by L. Scola
0:31.0,,,65-79,,S. Whittington misses 2-pt shot from 15 ft
0:30.0,Defensive rebound by D. Green,,65-79,,
0:12.0,P. Mills misses 3-pt shot from 25 ft,,65-79,,
0:10.0,,,65-79,,Defensive rebound by Team
0:10.0,,,65-79,,D. Rudez enters the game for S. Whittington
0:01.0,,,65-79,,R. Stuckey misses 2-pt shot at rim
0:00.0,Defensive rebound by A. Baynes,,65-79,,
0:00.0,End of 3rd quarter,,,,End of 3rd quarter
12:00.0,Start of 4th quarter,,,,Start of 4th quarter
11:44.0,M. Belinelli makes 3-pt shot from 26 ft (assist by B. Diaw),3,68-79,,
11:27.0,,,68-79,,Turnover by L. Scola (bad pass; steal by B. Diaw)
11:15.0,P. Mills misses 3-pt shot from 26 ft,,68-79,,
11:14.0,,,68-79,,Defensive rebound by C. Watson
11:08.0,,,68-79,,D. Rudez misses 3-pt shot from 23 ft
11:07.0,Defensive rebound by A. Baynes,,68-79,,
10:59.0,Shooting foul by D. Rudez (drawn by M. Belinelli),,68-79,,
10:59.0,M. Belinelli makes free throw 1 of 2,1,69-79,,
10:59.0,M. Belinelli makes free throw 2 of 2,1,70-79,,
10:42.0,,,70-79,,D. Rudez misses 3-pt shot from 26 ft
10:41.0,Defensive rebound by C. Joseph,,70-79,,
10:26.0,P. Mills misses 3-pt shot from 26 ft,,70-79,,
10:25.0,,,70-79,,Defensive rebound by C. Watson
10:07.0,,,70-79,,L. Scola misses 2-pt shot from 19 ft
10:06.0,,,70-79,,Offensive rebound by S. Whittington
10:04.0,,,70-81,2,S. Whittington makes 2-pt shot at rim
9:51.0,M. Belinelli misses 3-pt shot from 27 ft,,70-81,,
9:50.0,,,70-81,,Defensive rebound by C. Watson
9:40.0,,,70-81,,C. Watson misses 2-pt shot from 17 ft
9:38.0,Defensive rebound by P. Mills,,70-81,,
9:29.0,C. Joseph makes 2-pt shot at rim,2,72-81,,
9:06.0,,,72-83,2,S. Whittington makes 2-pt shot from 18 ft (assist by D. Rudez)
8:55.0,B. Diaw makes 3-pt shot from 28 ft (assist by M. Belinelli),3,75-83,,
8:32.0,Shooting block foul by P. Mills (drawn by S. Hill),,75-83,,
8:32.0,Official timeout,,75-83,,
8:32.0,,,75-83,,R. Hibbert enters the game for D. Rudez
8:32.0,,,75-83,,C. Miles enters the game for S. Whittington
8:32.0,,,75-84,1,S. Hill makes free throw 1 of 2
8:32.0,,,75-85,1,S. Hill makes free throw 2 of 2
8:18.0,M. Belinelli makes 2-pt shot from 12 ft,2,77-85,,
7:57.0,,,77-87,2,C. Watson makes 2-pt shot from 2 ft (assist by R. Hibbert)
7:43.0,,,77-87,,Personal foul by L. Scola (drawn by A. Baynes)
7:39.0,P. Mills misses 2-pt shot from 22 ft,,77-87,,
7:36.0,,,77-87,,Defensive rebound by C. Miles
7:24.0,,,77-87,,L. Scola misses 2-pt shot from 6 ft
7:23.0,Defensive rebound by M. Belinelli,,77-87,,
7:17.0,,,77-87,,Personal foul by C. Watson (drawn by M. Belinelli)
7:17.0,,,77-87,,G. Hill enters the game for C. Watson
7:12.0,A. Baynes makes 2-pt shot at rim (assist by M. Belinelli),2,79-87,,
6:46.0,,,79-89,2,R. Hibbert makes 2-pt shot from 6 ft
6:25.0,C. Joseph makes 2-pt shot from 20 ft,2,81-89,,
6:10.0,Personal foul by A. Baynes (drawn by R. Hibbert),,81-89,,
6:10.0,T. Parker enters the game for P. Mills,,81-89,,
6:10.0,T. Duncan enters the game for B. Diaw,,81-89,,
6:10.0,K. Leonard enters the game for C. Joseph,,81-89,,
6:10.0,D. Green enters the game for M. Belinelli,,81-89,,
6:02.0,,,81-89,,Turnover by L. Scola (bad pass)
6:02.0,,,81-89,,Technical foul by Team
6:02.0,D. Green makes technical free throw,1,82-89,,
5:54.0,K. Leonard misses 2-pt shot from 1 ft (block by C. Miles),,82-89,,
5:54.0,Offensive rebound by Team,,82-89,,
5:54.0,,,82-89,,Indiana full timeout
5:54.0,,,82-89,,R. Stuckey enters the game for S. Hill
5:54.0,,,82-89,,D. West enters the game for L. Scola
5:52.0,D. Green misses 3-pt shot from 23 ft,,82-89,,
5:51.0,,,82-89,,Defensive rebound by G. Hill
5:35.0,,,82-91,2,C. Miles makes 2-pt shot from 1 ft (assist by D. West)
5:17.0,A. Baynes misses 2-pt shot from 7 ft,,82-91,,
5:16.0,,,82-91,,Defensive rebound by D. West
4:55.0,,,82-91,,Turnover by D. West (lost ball; steal by D. Green)
4:50.0,D. Green makes 2-pt shot from 1 ft,2,84-91,,
4:25.0,,,84-91,,R. Stuckey misses 3-pt shot from 25 ft
4:23.0,Defensive rebound by K. Leonard,,84-91,,
4:20.0,K. Leonard makes 2-pt shot from 1 ft,2,86-91,,
4:20.0,Shooting foul by R. Stuckey (drawn by K. Leonard),,86-91,,
4:20.0,K. Leonard makes free throw 1 of 1,1,87-91,,
4:08.0,,,87-91,,D. West misses 2-pt shot from 8 ft
4:07.0,,,87-91,,Offensive rebound by R. Hibbert
4:07.0,,,87-91,,R. Hibbert misses 2-pt shot at rim
4:06.0,Defensive rebound by T. Duncan,,87-91,,
3:56.0,K. Leonard misses 3-pt shot from 26 ft,,87-91,,
3:55.0,Offensive rebound by T. Duncan,,87-91,,
3:44.0,T. Duncan makes 2-pt shot at rim (assist by T. Parker),2,89-91,,
3:22.0,,,89-91,,C. Miles misses 2-pt shot from 13 ft
3:20.0,Defensive rebound by D. Green,,89-91,,
3:13.0,,,89-91,,Personal block foul by C. Miles (drawn by T. Parker)
3:13.0,T. Parker makes free throw 1 of 2,1,90-91,,
3:13.0,T. Parker makes free throw 2 of 2,1,91-91,,
2:59.0,,,91-91,,R. Hibbert misses 2-pt shot from 3 ft
2:58.0,,,91-91,,Offensive rebound by D. West
2:55.0,,,91-91,,C. Miles misses 3-pt shot from 26 ft
2:54.0,,,91-91,,Offensive rebound by R. Hibbert
2:54.0,Loose ball foul by T. Parker (drawn by R. Hibbert),,91-91,,
2:54.0,San Antonio full timeout,,91-91,,
2:41.0,Personal foul by K. Leonard (drawn by D. West),,91-91,,
2:33.0,,,91-93,2,R. Stuckey makes 2-pt shot from 20 ft
2:16.0,D. Green misses 3-pt shot from 22 ft,,91-93,,
2:15.0,Offensive rebound by Team,,91-93,,
2:04.0,T. Parker misses 2-pt shot from 18 ft,,91-93,,
2:02.0,,,91-93,,Defensive rebound by R. Stuckey
1:53.0,,,91-93,,G. Hill misses 2-pt shot at rim (block by K. Leonard)
1:52.0,,,91-93,,Offensive rebound by Team
1:49.0,,,91-93,,C. Miles misses 2-pt shot from 16 ft
1:48.0,Defensive rebound by D. Green,,91-93,,
1:43.0,T. Parker misses 2-pt shot from 2 ft (block by C. Miles),,91-93,,
1:42.0,,,91-93,,Defensive rebound by D. West
1:40.0,,,91-93,,Turnover by D. West (lost ball; steal by D. Green)
1:35.0,D. Green misses 3-pt shot from 25 ft,,91-93,,
1:33.0,,,91-93,,Defensive rebound by D. West
1:19.0,,,91-93,,R. Hibbert misses 2-pt shot from 3 ft (block by T. Duncan)
1:18.0,Defensive rebound by T. Duncan,,91-93,,
1:12.0,T. Parker misses 2-pt shot at rim,,91-93,,
1:11.0,,,91-93,,Defensive rebound by D. West
1:06.0,,,91-93,,Offensive charge foul by R. Stuckey
1:06.0,,,91-93,,Turnover by R. Stuckey (offensive foul)
1:06.0,M. Belinelli enters the game for D. Green,,91-93,,
0:58.0,K. Leonard misses 2-pt shot from 15 ft,,91-93,,
0:57.0,Offensive rebound by A. Baynes,,91-93,,
0:57.0,A. Baynes makes 2-pt shot at rim,2,93-93,,
0:57.0,,,93-93,,Indiana full timeout
0:57.0,D. Green enters the game for M. Belinelli,,93-93,,
