time,Phoenix,pts.away,score,pts.home,Washington
8:22.0,,,5-8,,Defensive rebound by K. Humphries
8:15.0,,,5-8,,Shooting foul by A. Len (drawn by M. Gortat)
8:15.0,,,5-9,1,M. Gortat makes free throw 1 of 2
8:15.0,,,5-9,,M. Gortat misses free throw 2 of 2
8:14.0,Defensive rebound by P. Tucker,,5-9,,
7:57.0,M. Morris misses 2-pt shot from 7 ft,,5-9,,
7:56.0,,,5-9,,Defensive rebound by K. Humphries
7:51.0,,,5-11,2,B. Beal makes 2-pt shot at rim (assist by J. Wall)
7:37.0,E. Bledsoe misses 3-pt shot from 26 ft,,5-11,,
7:36.0,,,5-11,,Defensive rebound by M. Gortat
7:30.0,,,5-11,,Shooting foul by A. Len (drawn by P. Pierce)
7:30.0,,,5-12,1,P. Pierce makes free throw 1 of 2
7:30.0,,,5-13,1,P. Pierce makes free throw 2 of 2
7:14.0,E. Bledsoe makes 2-pt shot from 21 ft (assist by G. Dragic),2,7-13,,
7:05.0,,,7-13,,Turnover by M. Gortat (bad pass)
7:05.0,M. Plumlee enters the game for A. Len,,7-13,,
6:54.0,G. Dragic misses 2-pt shot from 12 ft (block by M. Gortat),,7-13,,
6:52.0,,,7-13,,Defensive rebound by P. Pierce
6:40.0,,,7-15,2,M. Gortat makes 2-pt shot at rim (assist by J. Wall)
6:21.0,M. Morris misses 3-pt shot from 24 ft,,7-15,,
6:20.0,,,7-15,,Defensive rebound by J. Wall
6:17.0,,,7-15,,Turnover by J. Wall (lost ball; steal by M. Plumlee)
6:17.0,,,7-15,,Clear path foul by K. Humphries
6:17.0,E. Bledsoe makes clear path free throw 1 of 2,1,8-15,,
6:17.0,E. Bledsoe misses clear path free throw 2 of 2,,8-15,,
6:17.0,Offensive rebound by Team,,8-15,,
5:58.0,M. Morris makes 2-pt shot from 14 ft (assist by E. Bledsoe),2,10-15,,
5:48.0,Personal foul by G. Dragic (drawn by B. Beal),,10-15,,
5:48.0,,,10-15,,Washington full timeout
5:43.0,,,10-15,,B. Beal misses 2-pt shot from 10 ft
5:43.0,,,10-15,,Offensive rebound by P. Pierce
5:38.0,Personal foul by E. Bledsoe (drawn by P. Pierce),,10-15,,
5:37.0,,,10-15,,M. Gortat misses 2-pt shot from 8 ft
5:36.0,Defensive rebound by E. Bledsoe,,10-15,,
5:34.0,,,10-15,,Personal foul by B. Beal (drawn by M. Morris)
5:34.0,,,10-15,,Personal foul by B. Beal (drawn by M. Morris)
5:34.0,G. Dragic makes free throw 1 of 2,1,11-15,,
5:34.0,,,11-15,,R. Butler enters the game for B. Beal
5:34.0,G. Dragic makes free throw 2 of 2,1,12-15,,
5:02.0,,,12-15,,J. Wall misses 2-pt shot from 2 ft (block by M. Plumlee)
5:01.0,Defensive rebound by M. Plumlee,,12-15,,
4:50.0,G. Dragic misses 2-pt shot from 12 ft,,12-15,,
4:48.0,Offensive rebound by Team,,12-15,,
4:32.0,P. Tucker makes 2-pt shot from 8 ft,2,14-15,,
4:14.0,,,14-17,2,P. Pierce makes 2-pt shot from 19 ft
3:49.0,E. Bledsoe misses 2-pt shot from 19 ft,,14-17,,
3:48.0,Offensive rebound by E. Bledsoe,,14-17,,
3:35.0,E. Bledsoe misses 2-pt shot from 2 ft,,14-17,,
3:35.0,,,14-17,,Defensive rebound by J. Wall
3:24.0,,,14-17,,P. Pierce misses 3-pt shot from 26 ft
3:21.0,,,14-17,,Offensive rebound by Team
3:21.0,Personal foul by M. Plumlee (drawn by M. Gortat),,14-17,,
3:21.0,,,14-18,1,M. Gortat makes free throw 1 of 2
3:21.0,,,14-18,,O. Porter enters the game for P. Pierce
3:21.0,M. Morris enters the game for P. Tucker,,14-18,,
3:21.0,G. Green enters the game for G. Dragic,,14-18,,
3:21.0,,,14-19,1,M. Gortat makes free throw 2 of 2
3:06.0,,,14-19,,Personal foul by K. Humphries (drawn by M. Morris)
3:06.0,M. Morris makes free throw 1 of 2,1,15-19,,
3:06.0,,,15-19,,N. Hilario enters the game for K. Humphries
3:06.0,M. Morris makes free throw 2 of 2,1,16-19,,
2:57.0,,,16-19,,J. Wall misses 2-pt shot from 18 ft (block by E. Bledsoe)
2:56.0,,,16-19,,Offensive rebound by J. Wall
2:54.0,,,16-19,,Offensive foul by J. Wall
2:54.0,,,16-19,,Turnover by J. Wall (offensive foul)
2:54.0,Phoenix full timeout,,16-19,,
2:54.0,,,16-19,,A. Miller enters the game for J. Wall
2:54.0,E. Bledsoe misses 3-pt shot from 23 ft,,16-19,,
2:53.0,Offensive rebound by M. Plumlee,,16-19,,
2:42.0,E. Bledsoe makes 2-pt shot from 20 ft,2,18-19,,
2:02.0,,,18-21,2,R. Butler makes 2-pt shot from 18 ft
1:44.0,M. Morris makes 2-pt shot at rim (assist by M. Morris),2,20-21,,
1:23.0,,,20-23,2,O. Porter makes 2-pt shot from 20 ft
1:09.0,M. Morris misses 2-pt shot from 18 ft,,20-23,,
1:09.0,,,20-23,,Defensive rebound by M. Gortat
0:56.0,,,20-23,,N. Hilario misses 2-pt shot from 15 ft
0:55.0,Defensive rebound by G. Green,,20-23,,
0:47.0,Turnover by G. Green (bad pass),,20-23,,
0:46.0,I. Thomas enters the game for E. Bledsoe,,20-23,,
0:46.0,S. Randolph enters the game for M. Morris,,20-23,,
0:46.0,,,20-23,,K. Seraphin enters the game for M. Gortat
0:20.0,,,20-23,,R. Butler misses 2-pt shot from 18 ft
0:18.0,Defensive rebound by S. Randolph,,20-23,,
0:00.0,I. Thomas makes 2-pt shot from 21 ft,2,22-23,,
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
12:00.0,G. Green makes 2-pt shot at rim,2,24-23,,
11:31.0,,,24-25,2,R. Butler makes 2-pt shot from 15 ft (assist by N. Hilario)
11:15.0,G. Green makes 3-pt shot from 26 ft,3,27-25,,
10:55.0,,,27-25,,N. Hilario misses 2-pt shot from 16 ft
10:54.0,Defensive rebound by M. Plumlee,,27-25,,
10:40.0,I. Thomas makes 2-pt shot from 16 ft,2,29-25,,
10:20.0,,,29-25,,K. Seraphin misses 2-pt shot from 16 ft
10:19.0,Defensive rebound by G. Green,,29-25,,
10:11.0,Turnover by G. Green (lost ball),,29-25,,
9:47.0,,,29-27,2,R. Butler makes 2-pt shot from 18 ft
9:31.0,G. Green misses 3-pt shot from 26 ft,,29-27,,
9:30.0,,,29-27,,Defensive rebound by N. Hilario
9:25.0,,,29-27,,Turnover by A. Miller (lost ball)
9:04.0,M. Plumlee makes 2-pt shot from 17 ft (assist by M. Morris),2,31-27,,
8:48.0,Personal foul by S. Randolph (drawn by A. Miller),,31-27,,
8:48.0,Official timeout,,31-27,,
8:36.0,,,31-27,,K. Seraphin misses 2-pt shot from 1 ft (block by S. Randolph)
8:31.0,,,31-27,,Offensive rebound by K. Seraphin
8:28.0,,,31-29,2,K. Seraphin makes 2-pt shot from 1 ft
8:23.0,Turnover by M. Morris (bad pass; steal by O. Porter),,31-29,,
8:09.0,,,31-31,2,K. Seraphin makes 2-pt shot from 13 ft
7:58.0,I. Thomas misses 2-pt shot from 22 ft,,31-31,,
7:57.0,,,31-31,,Defensive rebound by R. Butler
7:42.0,,,31-31,,K. Seraphin misses 2-pt shot from 8 ft
7:41.0,Defensive rebound by M. Plumlee,,31-31,,
7:34.0,G. Green makes 3-pt shot from 27 ft,3,34-31,,
7:10.0,,,34-33,2,K. Seraphin makes 2-pt shot from 8 ft
6:52.0,M. Morris makes 2-pt shot from 23 ft,2,36-33,,
6:40.0,,,36-33,,Offensive foul by N. Hilario
6:40.0,,,36-33,,Turnover by N. Hilario (offensive foul)
6:40.0,,,36-33,,B. Beal enters the game for O. Porter
6:40.0,A. Len enters the game for S. Randolph,,36-33,,
6:40.0,M. Morris enters the game for M. Plumlee,,36-33,,
6:25.0,Shooting foul by K. Seraphin (drawn by A. Len),,36-33,,
6:25.0,A. Len makes free throw 1 of 2,1,37-33,,
6:25.0,A. Len misses free throw 2 of 2,,37-33,,
6:23.0,Offensive rebound by G. Green,,37-33,,
6:18.0,Turnover by I. Thomas (lost ball; steal by R. Butler),,37-33,,
6:13.0,,,37-33,,A. Miller misses 2-pt shot from 1 ft (block by A. Len)
6:13.0,,,37-33,,Offensive rebound by K. Seraphin
6:13.0,,,37-33,,Shooting foul by M. Morris (drawn by K. Seraphin)
6:13.0,,,37-33,,K. Seraphin misses free throw 1 of 2
6:13.0,,,37-33,,Offensive rebound by Team
6:13.0,,,37-33,,J. Wall enters the game for A. Miller
6:13.0,,,37-34,1,K. Seraphin makes free throw 2 of 2
6:00.0,G. Green misses 2-pt shot from 5 ft,,37-34,,
5:59.0,Offensive rebound by A. Len,,37-34,,
5:55.0,M. Morris makes 3-pt shot from 24 ft (assist by A. Len),3,40-34,,
5:47.0,,,40-34,,Violation by B. Beal (kicked ball)
5:47.0,,,40-34,,Washington full timeout
5:36.0,Personal foul by G. Green (drawn by N. Hilario),,40-34,,
5:31.0,,,40-34,,N. Hilario misses 2-pt shot from 17 ft
5:30.0,Defensive rebound by I. Thomas,,40-34,,
5:20.0,,,40-34,,Personal foul by R. Butler (drawn by M. Morris)
5:20.0,,,40-34,,K. Humphries enters the game for N. Hilario
5:20.0,,,40-34,,P. Pierce enters the game for R. Butler
5:20.0,G. Dragic enters the game for G. Green,,40-34,,
5:13.0,M. Morris makes 2-pt shot from 11 ft (assist by I. Thomas),2,42-34,,
5:00.0,,,42-36,2,J. Wall makes 2-pt shot from 21 ft
4:36.0,M. Morris makes 2-pt shot from 14 ft,2,44-36,,
4:21.0,,,44-36,,B. Beal misses 2-pt shot from 19 ft
4:20.0,Defensive rebound by A. Len,,44-36,,
4:08.0,M. Morris misses 2-pt shot from 21 ft,,44-36,,
4:07.0,,,44-36,,Defensive rebound by B. Beal
4:00.0,,,44-36,,P. Pierce misses 2-pt shot from 1 ft
3:59.0,,,44-36,,Offensive rebound by K. Seraphin
3:57.0,,,44-38,2,K. Seraphin makes 2-pt shot at rim
3:44.0,I. Thomas misses 2-pt shot from 3 ft,,44-38,,
3:43.0,,,44-38,,Defensive rebound by P. Pierce
3:27.0,,,44-38,,J. Wall misses 2-pt shot from 17 ft
3:26.0,Defensive rebound by A. Len,,44-38,,
3:21.0,I. Thomas misses 2-pt shot from 2 ft (block by K. Seraphin),,44-38,,
3:21.0,Offensive rebound by Team,,44-38,,
3:21.0,E. Bledsoe enters the game for I. Thomas,,44-38,,
3:19.0,M. Morris misses 2-pt shot from 18 ft,,44-38,,
3:18.0,,,44-38,,Defensive rebound by B. Beal
3:17.0,Personal foul by E. Bledsoe (drawn by B. Beal),,44-38,,
2:58.0,,,44-41,3,P. Pierce makes 3-pt shot from 24 ft (assist by J. Wall)
2:54.0,Shooting foul by P. Pierce (drawn by M. Morris),,44-41,,
2:54.0,Phoenix full timeout,,44-41,,
2:54.0,M. Morris misses free throw 1 of 2,,44-41,,
2:54.0,Offensive rebound by Team,,44-41,,
2:54.0,M. Morris misses free throw 2 of 2,,44-41,,
2:52.0,Offensive rebound by A. Len,,44-41,,
2:50.0,A. Len makes 2-pt shot from 2 ft,2,46-41,,
2:29.0,Def 3 sec tech foul by M. Morris,,46-41,,
2:29.0,,,46-42,1,B. Beal makes technical free throw
2:14.0,,,46-42,,K. Seraphin misses 2-pt shot from 11 ft
2:13.0,Defensive rebound by E. Bledsoe,,46-42,,
2:03.0,E. Bledsoe misses 3-pt shot from 27 ft,,46-42,,
2:02.0,Offensive rebound by A. Len,,46-42,,
1:59.0,Turnover by A. Len (bad pass; steal by J. Wall),,46-42,,
1:55.0,,,46-44,2,J. Wall makes 2-pt shot at rim
1:42.0,M. Morris makes 2-pt shot from 21 ft,2,48-44,,
1:20.0,,,48-44,,J. Wall misses 3-pt shot from 26 ft
1:19.0,Defensive rebound by G. Dragic,,48-44,,
1:12.0,Turnover by G. Dragic (lost ball; steal by B. Beal),,48-44,,
1:11.0,Personal foul by M. Morris (drawn by B. Beal),,48-44,,
1:11.0,,,48-45,1,B. Beal makes free throw 1 of 2
1:11.0,,,48-45,,N. Hilario enters the game for K. Humphries
1:11.0,P. Tucker enters the game for M. Morris,,48-45,,
1:11.0,,,48-46,1,B. Beal makes free throw 2 of 2
0:55.0,Turnover by E. Bledsoe (lost ball; steal by N. Hilario),,48-46,,
0:52.0,,,48-46,,Shooting foul by E. Bledsoe (drawn by J. Wall)
0:52.0,,,48-47,1,J. Wall makes free throw 1 of 2
0:52.0,,,48-47,,R. Butler enters the game for B. Beal
0:52.0,I. Thomas enters the game for E. Bledsoe,,48-47,,
0:52.0,,,48-48,1,J. Wall makes free throw 2 of 2
0:38.0,M. Morris makes 2-pt shot at rim,2,50-48,,
0:34.0,Personal foul by P. Tucker (drawn by J. Wall),,50-48,,
0:34.0,,,50-49,1,J. Wall makes free throw 1 of 2
0:34.0,,,50-49,,G. Temple enters the game for P. Pierce
0:34.0,,,50-49,,J. Wall misses free throw 2 of 2
0:34.0,,,50-49,,Offensive rebound by K. Seraphin
0:31.0,,,50-49,,Shooting foul by A. Len (drawn by K. Seraphin)
0:31.0,,,50-49,,K. Seraphin misses free throw 1 of 2
0:31.0,,,50-49,,Offensive rebound by Team
0:31.0,G. Green enters the game for A. Len,,50-49,,
0:31.0,,,50-49,,O. Porter enters the game for N. Hilario
0:31.0,,,50-50,1,K. Seraphin makes free throw 2 of 2
0:16.0,Turnover by G. Dragic (bad pass; steal by G. Temple),,50-50,,
0:01.0,,,50-50,,J. Wall misses 2-pt shot from 12 ft
0:00.0,Defensive rebound by P. Tucker,,50-50,,
0:00.0,End of 2nd quarter,,,,End of 2nd quarter
12:00.0,Start of 3rd quarter,,,,Start of 3rd quarter
11:43.0,M. Morris misses 2-pt shot from 12 ft,,50-50,,
11:42.0,,,50-50,,Defensive rebound by M. Gortat
11:28.0,,,50-50,,Offensive foul by B. Beal
11:28.0,,,50-50,,Turnover by B. Beal (offensive foul)
11:06.0,G. Dragic misses 3-pt shot from 25 ft,,50-50,,
11:04.0,Offensive rebound by E. Bledsoe,,50-50,,
10:56.0,E. Bledsoe misses 2-pt shot from 19 ft,,50-50,,
10:55.0,,,50-50,,Defensive rebound by M. Gortat
10:47.0,,,50-52,2,P. Pierce makes 2-pt shot from 17 ft
10:36.0,Turnover by M. Morris (traveling),,50-52,,
10:27.0,,,50-52,,P. Pierce misses 3-pt shot from 26 ft
10:26.0,Defensive rebound by G. Dragic,,50-52,,
10:20.0,G. Dragic makes 2-pt shot at rim,2,52-52,,
10:04.0,,,52-52,,Turnover by J. Wall (bad pass; steal by E. Bledsoe)
10:01.0,E. Bledsoe makes 2-pt shot at rim,2,54-52,,
10:01.0,Shooting foul by K. Humphries (drawn by E. Bledsoe),,54-52,,
10:01.0,E. Bledsoe makes free throw 1 of 1,1,55-52,,
9:53.0,,,55-52,,P. Pierce misses 2-pt shot at rim (block by A. Len)
9:51.0,Defensive rebound by A. Len,,55-52,,
9:42.0,M. Morris misses 2-pt shot from 16 ft,,55-52,,
9:41.0,,,55-52,,Defensive rebound by B. Beal
9:23.0,,,55-54,2,M. Gortat makes 2-pt shot from 16 ft
9:12.0,M. Morris makes 2-pt shot from 16 ft (assist by E. Bledsoe),2,57-54,,
8:50.0,,,57-54,,J. Wall misses 3-pt shot from 23 ft
8:49.0,Defensive rebound by E. Bledsoe,,57-54,,
8:45.0,,,57-54,,Personal foul by P. Pierce (drawn by E. Bledsoe)
8:29.0,M. Morris makes 2-pt shot from 12 ft,2,59-54,,
8:08.0,,,59-54,,Turnover by B. Beal (traveling)
7:56.0,G. Dragic makes 2-pt shot from 12 ft (assist by E. Bledsoe),2,61-54,,
7:56.0,,,61-54,,Washington full timeout
7:36.0,,,61-54,,P. Pierce misses 2-pt shot from 1 ft (block by A. Len)
7:34.0,Defensive rebound by E. Bledsoe,,61-54,,
7:20.0,A. Len makes 2-pt shot at rim (assist by G. Dragic),2,63-54,,
7:01.0,,,63-56,2,B. Beal makes 2-pt shot from 16 ft
6:46.0,,,63-56,,Personal block foul by M. Gortat (drawn by E. Bledsoe)
6:36.0,Shooting foul by B. Beal (drawn by P. Tucker),,63-56,,
6:36.0,P. Tucker makes free throw 1 of 2,1,64-56,,
6:36.0,,,64-56,,R. Butler enters the game for B. Beal
6:36.0,P. Tucker makes free throw 2 of 2,1,65-56,,
6:24.0,Def 3 sec tech foul by A. Len,,65-56,,
6:24.0,,,65-57,1,J. Wall makes technical free throw
6:15.0,,,65-57,,Turnover by P. Pierce (bad pass; steal by G. Dragic)
6:10.0,G. Dragic makes 2-pt shot at rim,2,67-57,,
5:53.0,,,67-57,,K. Humphries misses 2-pt shot from 19 ft
5:52.0,Defensive rebound by P. Tucker,,67-57,,
5:51.0,Offensive foul by P. Tucker,,67-57,,
5:51.0,Turnover by P. Tucker (offensive foul),,67-57,,
5:48.0,,,67-57,,P. Pierce misses 2-pt shot from 3 ft (block by A. Len)
5:48.0,,,67-57,,Offensive rebound by Team
5:38.0,,,67-57,,J. Wall misses 2-pt shot from 8 ft
5:37.0,,,67-57,,Offensive rebound by J. Wall
5:28.0,,,67-57,,R. Butler misses 3-pt shot from 23 ft
5:27.0,Defensive rebound by M. Morris,,67-57,,
5:21.0,E. Bledsoe misses 2-pt shot from 1 ft,,67-57,,
5:19.0,,,67-57,,Defensive rebound by M. Gortat
5:12.0,,,67-59,2,M. Gortat makes 2-pt shot from 2 ft (assist by R. Butler)
4:51.0,Shooting foul by M. Gortat (drawn by A. Len),,67-59,,
4:51.0,A. Len misses free throw 1 of 2,,67-59,,
4:51.0,Offensive rebound by Team,,67-59,,
4:51.0,,,67-59,,N. Hilario enters the game for K. Humphries
4:51.0,A. Len misses free throw 2 of 2,,67-59,,
4:50.0,,,67-59,,Defensive rebound by M. Gortat
4:39.0,,,67-59,,J. Wall misses 2-pt shot from 12 ft
4:37.0,,,67-59,,Offensive rebound by M. Gortat
4:32.0,,,67-59,,N. Hilario misses 2-pt shot from 13 ft
4:31.0,Defensive rebound by E. Bledsoe,,67-59,,
4:29.0,Shooting foul by R. Butler (drawn by E. Bledsoe),,67-59,,
4:29.0,E. Bledsoe makes free throw 1 of 2,1,68-59,,
4:29.0,M. Plumlee enters the game for A. Len,,68-59,,
4:29.0,E. Bledsoe makes free throw 2 of 2,1,69-59,,
4:09.0,,,69-59,,P. Pierce misses 3-pt shot from 26 ft
4:08.0,,,69-59,,Offensive rebound by R. Butler
4:06.0,,,69-61,2,R. Butler makes 2-pt shot from 1 ft
3:41.0,P. Tucker makes 2-pt shot from 1 ft,2,71-61,,
3:16.0,,,71-61,,N. Hilario misses 2-pt shot from 14 ft
3:15.0,Defensive rebound by E. Bledsoe,,71-61,,
3:10.0,E. Bledsoe misses 2-pt shot from 18 ft,,71-61,,
3:08.0,,,71-61,,Defensive rebound by J. Wall
3:02.0,,,71-61,,Shooting foul by G. Dragic (drawn by R. Butler)
3:02.0,,,71-61,,R. Butler misses free throw 1 of 2
3:02.0,,,71-61,,Offensive rebound by Team
3:02.0,M. Morris enters the game for P. Tucker,,71-61,,
3:02.0,,,71-61,,O. Porter enters the game for P. Pierce
3:02.0,,,71-61,,K. Seraphin enters the game for M. Gortat
3:02.0,,,71-62,1,R. Butler makes free throw 2 of 2
2:41.0,G. Dragic makes 3-pt shot from 26 ft,3,74-62,,
2:21.0,,,74-64,2,K. Seraphin makes 2-pt shot from 5 ft (assist by J. Wall)
2:12.0,G. Dragic makes 3-pt shot from 26 ft,3,77-64,,
1:54.0,,,77-64,,N. Hilario misses 2-pt shot at rim (block by M. Plumlee)
1:52.0,,,77-64,,Offensive rebound by O. Porter
1:48.0,,,77-66,2,O. Porter makes 2-pt shot from 4 ft
1:44.0,Offensive foul by M. Morris,,77-66,,
1:44.0,Turnover by M. Morris (offensive foul),,77-66,,
1:44.0,Phoenix full timeout,,77-66,,
1:44.0,S. Randolph enters the game for M. Morris,,77-66,,
1:44.0,I. Thomas enters the game for E. Bledsoe,,77-66,,
1:30.0,,,77-66,,J. Wall misses 2-pt shot from 18 ft
1:30.0,Defensive rebound by Team,,77-66,,
1:30.0,,,77-66,,Loose ball foul by K. Seraphin (drawn by S. Randolph)
1:30.0,S. Randolph makes free throw 1 of 2,1,78-66,,
1:30.0,S. Randolph makes free throw 2 of 2,1,79-66,,
1:08.0,,,79-66,,R. Butler misses 2-pt shot from 22 ft
1:07.0,,,79-66,,Offensive rebound by N. Hilario
1:04.0,,,79-68,2,N. Hilario makes 2-pt shot at rim
0:43.0,S. Randolph misses 2-pt shot from 5 ft,,79-68,,
0:41.0,,,79-68,,Defensive rebound by N. Hilario
0:35.0,,,79-71,3,R. Butler makes 3-pt shot from 23 ft (assist by J. Wall)
0:13.0,M. Morris misses 3-pt shot from 22 ft,,79-71,,
0:12.0,,,79-71,,Defensive rebound by R. Butler
0:02.0,,,79-71,,J. Wall misses 2-pt shot from 20 ft
0:00.0,Defensive rebound by G. Dragic,,79-71,,
0:00.0,End of 3rd quarter,,,,End of 3rd quarter
12:00.0,Start of 4th quarter,,,,Start of 4th quarter
11:42.0,,,79-73,2,K. Seraphin makes 2-pt shot from 9 ft
11:25.0,Shooting foul by J. Wall (drawn by I. Thomas),,79-73,,
11:25.0,I. Thomas makes free throw 1 of 2,1,80-73,,
11:25.0,I. Thomas makes free throw 2 of 2,1,81-73,,
11:11.0,,,81-73,,O. Porter misses 2-pt shot from 18 ft
11:10.0,Defensive rebound by G. Green,,81-73,,
10:58.0,S. Randolph misses 2-pt shot from 5 ft,,81-73,,
10:57.0,,,81-73,,Defensive rebound by N. Hilario
10:50.0,,,81-73,,O. Porter misses 3-pt shot from 23 ft
10:49.0,,,81-73,,Offensive rebound by R. Butler
10:46.0,,,81-75,2,R. Butler makes 2-pt shot from 3 ft
10:23.0,I. Thomas misses 2-pt shot from 8 ft,,81-75,,
10:22.0,Offensive rebound by M. Plumlee,,81-75,,
10:19.0,M. Plumlee makes 2-pt shot from 2 ft,2,83-75,,
10:10.0,,,83-75,,R. Butler misses 3-pt shot from 23 ft
10:08.0,Defensive rebound by S. Randolph,,83-75,,
9:58.0,M. Morris misses 2-pt shot from 1 ft,,83-75,,
9:57.0,,,83-75,,Defensive rebound by N. Hilario
9:47.0,Personal foul by M. Plumlee (drawn by K. Seraphin),,83-75,,
9:47.0,A. Len enters the game for S. Randolph,,83-75,,
9:47.0,,,83-75,,B. Beal enters the game for O. Porter
9:33.0,,,83-77,2,J. Wall makes 2-pt shot from 18 ft
9:23.0,M. Morris makes 3-pt shot from 26 ft (assist by I. Thomas),3,86-77,,
9:10.0,Personal foul by G. Green (drawn by B. Beal),,86-77,,
8:58.0,,,86-77,,N. Hilario misses 2-pt shot from 18 ft
8:57.0,Defensive rebound by A. Len,,86-77,,
8:42.0,I. Thomas makes 2-pt shot from 2 ft,2,88-77,,
8:28.0,,,88-79,2,K. Seraphin makes 2-pt shot from 2 ft (assist by N. Hilario)
8:13.0,I. Thomas misses 2-pt shot from 3 ft,,88-79,,
8:12.0,Offensive rebound by I. Thomas,,88-79,,
7:51.0,Turnover by M. Plumlee (lost ball; steal by J. Wall),,88-79,,
7:35.0,,,88-79,,R. Butler misses 3-pt shot from 24 ft
7:34.0,Defensive rebound by M. Plumlee,,88-79,,
7:27.0,I. Thomas misses 2-pt shot from 12 ft,,88-79,,
7:27.0,,,88-79,,Defensive rebound by Team
7:27.0,Loose ball foul by A. Len (drawn by K. Seraphin),,88-79,,
7:27.0,Official timeout,,88-79,,
7:27.0,M. Morris enters the game for M. Plumlee,,88-79,,
7:11.0,,,88-82,3,B. Beal makes 3-pt shot from 25 ft
6:54.0,,,88-82,,Personal foul by J. Wall (drawn by I. Thomas)
6:44.0,M. Morris misses 3-pt shot from 25 ft,,88-82,,
6:43.0,,,88-82,,Defensive rebound by B. Beal
6:33.0,Personal foul by G. Green (drawn by B. Beal),,88-82,,
6:19.0,,,88-82,,Turnover by Team (shot clock)
6:06.0,G. Green makes 2-pt shot from 17 ft,2,90-82,,
5:46.0,,,90-82,,Washington full timeout
5:46.0,,,90-82,,P. Pierce enters the game for N. Hilario
5:40.0,,,90-82,,B. Beal misses 2-pt shot from 1 ft
5:40.0,,,90-82,,Offensive rebound by K. Seraphin
5:40.0,,,90-82,,Turnover by Team (shot clock)
5:29.0,G. Green makes 2-pt shot from 18 ft,2,92-82,,
5:29.0,Shooting foul by B. Beal (drawn by G. Green),,92-82,,
5:29.0,G. Green makes free throw 1 of 1,1,93-82,,
5:14.0,,,93-82,,Shooting foul by A. Len (drawn by B. Beal)
5:14.0,,,93-82,,B. Beal misses free throw 1 of 2
5:14.0,,,93-82,,Offensive rebound by Team
5:14.0,,,93-83,1,B. Beal makes free throw 2 of 2
4:59.0,Turnover by G. Green (bad pass; steal by B. Beal),,93-83,,
4:49.0,,,93-83,,Shooting foul by G. Green (drawn by P. Pierce)
4:49.0,,,93-83,,P. Pierce misses free throw 1 of 2
4:49.0,,,93-83,,Offensive rebound by Team
4:49.0,E. Bledsoe enters the game for G. Green,,93-83,,
4:49.0,G. Dragic enters the game for A. Len,,93-83,,
4:49.0,,,93-84,1,P. Pierce makes free throw 2 of 2
4:33.0,M. Morris misses 2-pt shot from 18 ft,,93-84,,
4:32.0,,,93-84,,Defensive rebound by B. Beal
4:20.0,,,93-86,2,J. Wall makes 2-pt shot from 18 ft
4:00.0,I. Thomas misses 2-pt shot from 16 ft,,93-86,,
3:59.0,,,93-86,,Defensive rebound by B. Beal
3:44.0,,,93-86,,B. Beal misses 2-pt shot from 12 ft
3:43.0,,,93-86,,Offensive rebound by R. Butler
3:37.0,,,93-86,,Shooting foul by I. Thomas (drawn by B. Beal)
