time,Boston,pts.away,score,pts.home,Brooklyn
6:10.0,,,6-10,,Shooting foul by E. Turner (drawn by J. Johnson)
6:10.0,,,6-11,1,J. Johnson makes free throw 1 of 2
6:10.0,,,6-12,1,J. Johnson makes free throw 2 of 2
5:50.0,A. Bradley makes 3-pt shot from 24 ft (assist by T. Zeller),3,9-12,,
5:30.0,,,9-14,2,M. Plumlee makes 2-pt shot from 6 ft (assist by S. Karasev)
5:19.0,T. Zeller makes 2-pt shot from 6 ft (assist by E. Turner),2,11-14,,
5:05.0,Personal foul by A. Bradley (drawn by J. Jack),,11-14,,
5:05.0,K. Olynyk enters the game for T. Zeller,,11-14,,
4:58.0,,,11-14,,K. Garnett misses 2-pt shot from 17 ft
4:57.0,Defensive rebound by J. Sullinger,,11-14,,
4:40.0,E. Turner misses 3-pt shot from 24 ft,,11-14,,
4:39.0,,,11-14,,Defensive rebound by K. Garnett
4:30.0,,,11-17,3,J. Jack makes 3-pt shot from 25 ft (assist by J. Johnson)
4:16.0,A. Bradley misses 2-pt shot from 18 ft,,11-17,,
4:15.0,Offensive rebound by J. Sullinger,,11-17,,
4:11.0,J. Sullinger misses 2-pt shot from 7 ft,,11-17,,
4:10.0,,,11-17,,Defensive rebound by J. Johnson
4:01.0,,,11-17,,Turnover by K. Garnett (bad pass; steal by J. Sullinger)
3:56.0,J. Green misses 3-pt shot from 24 ft,,11-17,,
3:55.0,,,11-17,,Defensive rebound by S. Karasev
3:50.0,,,11-17,,Brooklyn full timeout
3:50.0,,,11-17,,M. Teletovic enters the game for K. Garnett
3:50.0,,,11-17,,A. Anderson enters the game for J. Johnson
3:50.0,M. Smart enters the game for E. Turner,,11-17,,
3:50.0,B. Bass enters the game for J. Sullinger,,11-17,,
3:35.0,,,11-19,2,S. Karasev makes 2-pt shot from 2 ft (assist by J. Jack)
3:14.0,Turnover by J. Green (traveling),,11-19,,
3:04.0,,,11-19,,Turnover by S. Karasev (traveling)
2:41.0,A. Bradley misses 2-pt shot from 20 ft,,11-19,,
2:40.0,,,11-19,,Defensive rebound by M. Teletovic
2:33.0,J. Crowder enters the game for J. Green,,11-19,,
2:33.0,,,11-19,,B. Lopez enters the game for M. Plumlee
2:31.0,,,11-19,,J. Jack misses 2-pt shot from 11 ft
2:30.0,,,11-19,,Offensive rebound by Team
2:28.0,,,11-21,2,B. Lopez makes 2-pt shot from 1 ft (assist by S. Karasev)
2:28.0,,,11-21,,Shooting foul by K. Olynyk (drawn by B. Lopez)
2:28.0,,,11-21,,D. Williams enters the game for J. Jack
2:28.0,,,11-21,,B. Lopez misses free throw 1 of 1
2:27.0,Defensive rebound by K. Olynyk,,11-21,,
2:18.0,Shooting foul by A. Anderson (drawn by A. Bradley),,11-21,,
2:18.0,A. Bradley makes free throw 1 of 2,1,12-21,,
2:18.0,A. Bradley makes free throw 2 of 2,1,13-21,,
1:56.0,,,13-21,,A. Anderson misses 2-pt shot from 7 ft
1:55.0,Defensive rebound by B. Bass,,13-21,,
1:48.0,K. Olynyk misses 2-pt shot from 19 ft,,13-21,,
1:47.0,,,13-21,,Defensive rebound by M. Teletovic
1:36.0,,,13-21,,S. Karasev misses 2-pt shot from 10 ft
1:35.0,Defensive rebound by J. Crowder,,13-21,,
1:19.0,B. Bass makes 2-pt shot from 2 ft,2,15-21,,
1:04.0,Personal foul by J. Crowder (drawn by S. Karasev),,15-21,,
1:04.0,,,15-22,1,S. Karasev makes free throw 1 of 2
1:04.0,M. Thornton enters the game for A. Bradley,,15-22,,
1:04.0,,,15-23,1,S. Karasev makes free throw 2 of 2
0:52.0,B. Bass makes 2-pt shot from 18 ft (assist by M. Smart),2,17-23,,
0:38.0,Personal foul by M. Thornton (drawn by A. Anderson),,17-23,,
0:38.0,,,17-24,1,A. Anderson makes free throw 1 of 2
0:38.0,,,17-25,1,A. Anderson makes free throw 2 of 2
0:27.0,K. Olynyk makes 2-pt shot from 2 ft,2,19-25,,
0:05.0,,,19-25,,B. Lopez misses 2-pt shot from 20 ft
0:04.0,Defensive rebound by M. Thornton,,19-25,,
0:01.0,M. Smart misses 3-pt shot from 27 ft,,19-25,,
0:00.0,Offensive rebound by Team,,19-25,,
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:40.0,,,19-25,,A. Anderson misses 2-pt shot from 14 ft
11:38.0,Defensive rebound by M. Smart,,19-25,,
11:33.0,M. Thornton misses 2-pt shot from 1 ft (block by B. Lopez),,19-25,,
11:32.0,,,19-25,,Defensive rebound by D. Williams
11:25.0,,,19-25,,D. Williams misses 2-pt shot from 14 ft
11:24.0,,,19-25,,Offensive rebound by Team
11:24.0,Loose ball foul by K. Olynyk (drawn by B. Lopez),,19-25,,
11:15.0,,,19-25,,Turnover by A. Anderson (bad pass; steal by K. Olynyk)
11:03.0,B. Bass misses 2-pt shot from 1 ft (block by B. Lopez),,19-25,,
11:02.0,,,19-25,,Defensive rebound by B. Lopez
10:55.0,,,19-25,,S. Karasev misses 3-pt shot from 24 ft
10:54.0,Defensive rebound by K. Olynyk,,19-25,,
10:39.0,M. Thornton misses 2-pt shot from 16 ft,,19-25,,
10:38.0,,,19-25,,Defensive rebound by S. Karasev
10:26.0,,,19-25,,Turnover by D. Williams (bad pass; steal by J. Crowder)
10:22.0,J. Crowder misses 2-pt shot from 1 ft,,19-25,,
10:21.0,,,19-25,,Defensive rebound by M. Teletovic
10:21.0,Personal foul by J. Crowder (drawn by M. Teletovic),,19-25,,
10:21.0,,,19-25,,J. Jack enters the game for D. Williams
9:58.0,,,19-28,3,M. Teletovic makes 3-pt shot from 24 ft (assist by S. Karasev)
9:41.0,Shooting foul by A. Anderson (drawn by B. Bass),,19-28,,
9:41.0,B. Bass misses free throw 1 of 2,,19-28,,
9:41.0,Offensive rebound by Team,,19-28,,
9:41.0,T. Zeller enters the game for K. Olynyk,,19-28,,
9:41.0,B. Bass misses free throw 2 of 2,,19-28,,
9:40.0,,,19-28,,Defensive rebound by M. Teletovic
9:30.0,,,19-30,2,J. Jack makes 2-pt shot from 14 ft
9:12.0,B. Bass misses 2-pt shot from 16 ft,,19-30,,
9:11.0,,,19-30,,Defensive rebound by B. Lopez
9:01.0,Personal foul by M. Smart (drawn by M. Teletovic),,19-30,,
8:58.0,,,19-30,,Turnover by M. Teletovic (bad pass)
8:58.0,Official timeout,,19-30,,
8:58.0,J. Sullinger enters the game for B. Bass,,19-30,,
8:44.0,M. Thornton misses 3-pt shot from 24 ft,,19-30,,
8:43.0,,,19-30,,Defensive rebound by M. Teletovic
8:36.0,,,19-30,,Turnover by B. Lopez (offensive foul)
8:36.0,,,19-30,,Offensive foul by B. Lopez
8:22.0,,,19-30,,Personal foul by A. Anderson (drawn by T. Zeller)
8:22.0,,,19-30,,B. Bogdanovic enters the game for S. Karasev
8:22.0,,,19-30,,J. Johnson enters the game for A. Anderson
8:16.0,T. Zeller makes 2-pt shot from 2 ft (assist by M. Thornton),2,21-30,,
8:01.0,,,21-30,,Shooting foul by T. Zeller (drawn by M. Teletovic)
8:01.0,,,21-30,,M. Teletovic misses free throw 1 of 2
8:01.0,,,21-30,,Offensive rebound by Team
8:01.0,,,21-31,1,M. Teletovic makes free throw 2 of 2
7:49.0,,,21-31,,Personal foul by M. Teletovic (drawn by J. Sullinger)
7:49.0,A. Bradley enters the game for M. Thornton,,21-31,,
7:39.0,J. Crowder misses 2-pt shot from 7 ft,,21-31,,
7:38.0,Offensive rebound by Team,,21-31,,
7:30.0,M. Smart makes 3-pt shot from 24 ft (assist by J. Sullinger),3,24-31,,
7:17.0,,,24-31,,M. Teletovic misses 2-pt shot at rim
7:15.0,Defensive rebound by A. Bradley,,24-31,,
6:59.0,M. Smart makes 3-pt shot from 27 ft (assist by J. Sullinger),3,27-31,,
6:41.0,Violation by J. Crowder (kicked ball),,27-31,,
6:41.0,J. Green enters the game for J. Crowder,,27-31,,
6:41.0,,,27-31,,M. Plumlee enters the game for B. Lopez
6:41.0,,,27-31,,K. Garnett enters the game for M. Teletovic
6:32.0,,,27-31,,K. Garnett misses 2-pt shot from 18 ft
6:31.0,,,27-31,,Offensive rebound by K. Garnett
6:20.0,,,27-31,,J. Johnson misses 3-pt shot from 23 ft
6:19.0,Defensive rebound by T. Zeller,,27-31,,
6:08.0,T. Zeller misses 2-pt shot from 1 ft (block by M. Plumlee),,27-31,,
6:07.0,,,27-31,,Defensive rebound by B. Bogdanovic
5:55.0,,,27-31,,J. Jack misses 2-pt shot from 4 ft
5:54.0,,,27-31,,Offensive rebound by M. Plumlee
5:53.0,,,27-33,2,M. Plumlee makes 2-pt shot at rim
5:35.0,,,27-33,,Personal foul by J. Johnson (drawn by J. Green)
5:35.0,,,27-33,,Brooklyn full timeout
5:23.0,J. Green misses 3-pt shot from 24 ft,,27-33,,
5:22.0,,,27-33,,Defensive rebound by J. Jack
5:00.0,,,27-33,,M. Plumlee misses 2-pt shot from 7 ft
4:59.0,Defensive rebound by T. Zeller,,27-33,,
4:50.0,,,27-33,,Personal foul by J. Jack (drawn by A. Bradley)
4:50.0,A. Bradley makes free throw 1 of 2,1,28-33,,
4:50.0,E. Turner enters the game for M. Smart,,28-33,,
4:50.0,A. Bradley makes free throw 2 of 2,1,29-33,,
4:25.0,,,29-33,,B. Bogdanovic misses 3-pt shot from 23 ft
4:24.0,Defensive rebound by J. Sullinger,,29-33,,
4:13.0,A. Bradley makes 3-pt shot from 24 ft (assist by J. Green),3,32-33,,
3:53.0,,,32-35,2,K. Garnett makes 2-pt shot from 19 ft (assist by B. Bogdanovic)
3:43.0,E. Turner misses 2-pt shot from 1 ft (block by K. Garnett),,32-35,,
3:42.0,,,32-35,,Defensive rebound by B. Bogdanovic
3:31.0,,,32-37,2,K. Garnett makes 2-pt shot from 1 ft (assist by M. Plumlee)
3:10.0,J. Sullinger misses 2-pt shot from 2 ft,,32-37,,
3:09.0,,,32-37,,Defensive rebound by K. Garnett
3:08.0,Personal foul by J. Sullinger (drawn by K. Garnett),,32-37,,
3:08.0,,,32-38,1,K. Garnett makes free throw 1 of 2
3:08.0,,,32-39,1,K. Garnett makes free throw 2 of 2
2:52.0,T. Zeller misses 2-pt shot from 4 ft,,32-39,,
2:52.0,,,32-39,,Defensive rebound by K. Garnett
2:46.0,Boston full timeout,,32-39,,
2:46.0,K. Olynyk enters the game for J. Sullinger,,32-39,,
2:30.0,,,32-39,,Personal foul by K. Garnett (drawn by T. Zeller)
2:30.0,T. Zeller makes free throw 1 of 2,1,33-39,,
2:30.0,T. Zeller makes free throw 2 of 2,1,34-39,,
2:15.0,,,34-39,,Turnover by B. Bogdanovic (traveling)
1:59.0,T. Zeller makes 2-pt shot from 9 ft,2,36-39,,
1:46.0,,,36-39,,K. Garnett misses 2-pt shot from 19 ft
1:45.0,Defensive rebound by A. Bradley,,36-39,,
1:35.0,A. Bradley makes 2-pt shot from 2 ft (assist by E. Turner),2,38-39,,
1:13.0,,,38-39,,Turnover by J. Jack (bad pass; steal by E. Turner)
1:08.0,K. Olynyk misses 2-pt shot from 1 ft,,38-39,,
1:07.0,,,38-39,,Defensive rebound by M. Plumlee
0:56.0,,,38-39,,K. Garnett misses 2-pt shot from 19 ft
0:55.0,Defensive rebound by E. Turner,,38-39,,
0:40.0,A. Bradley misses 3-pt shot from 24 ft,,38-39,,
0:39.0,,,38-39,,Defensive rebound by Team
0:39.0,B. Bass enters the game for K. Olynyk,,38-39,,
0:39.0,,,38-39,,S. Karasev enters the game for B. Bogdanovic
0:31.0,,,38-39,,Turnover by J. Jack (bad pass; steal by J. Green)
0:27.0,E. Turner makes 2-pt shot from 2 ft,2,40-39,,
0:05.0,,,40-39,,J. Jack misses 2-pt shot from 12 ft
0:03.0,,,40-39,,Offensive rebound by J. Johnson
0:03.0,,,40-39,,J. Johnson misses 3-pt shot from 24 ft
0:00.0,,,40-39,,Offensive rebound by Team
0:00.0,End of 2nd quarter,,,,End of 2nd quarter
12:00.0,Start of 3rd quarter,,,,Start of 3rd quarter
11:38.0,,,40-39,,M. Plumlee misses 2-pt shot from 5 ft (block by T. Zeller)
11:37.0,Defensive rebound by E. Turner,,40-39,,
11:32.0,E. Turner misses 2-pt shot from 1 ft (block by J. Johnson),,40-39,,
11:30.0,,,40-39,,Defensive rebound by J. Johnson
11:14.0,,,40-41,2,J. Johnson makes 2-pt shot from 2 ft (assist by K. Garnett)
11:01.0,Shooting foul by M. Plumlee (drawn by T. Zeller),,40-41,,
11:01.0,T. Zeller makes free throw 1 of 2,1,41-41,,
11:01.0,T. Zeller makes free throw 2 of 2,1,42-41,,
10:50.0,,,42-43,2,J. Johnson makes 2-pt shot from 12 ft
10:34.0,,,42-43,,Personal foul by K. Garnett (drawn by J. Sullinger)
10:27.0,J. Sullinger makes 2-pt shot from 2 ft (assist by T. Zeller),2,44-43,,
10:09.0,,,44-46,3,J. Johnson makes 3-pt shot from 24 ft (assist by M. Plumlee)
9:53.0,T. Zeller makes 2-pt shot at rim (assist by E. Turner),2,46-46,,
9:35.0,,,46-46,,J. Johnson misses 2-pt shot from 8 ft
9:34.0,Defensive rebound by E. Turner,,46-46,,
9:29.0,A. Bradley makes 2-pt shot from 17 ft (assist by E. Turner),2,48-46,,
9:04.0,,,48-48,2,K. Garnett makes 2-pt shot from 20 ft (assist by J. Johnson)
8:42.0,J. Sullinger misses 3-pt shot from 24 ft,,48-48,,
8:41.0,Offensive rebound by E. Turner,,48-48,,
8:39.0,T. Zeller misses 2-pt shot from 1 ft,,48-48,,
8:37.0,Offensive rebound by T. Zeller,,48-48,,
8:36.0,T. Zeller makes 2-pt shot from 1 ft,2,50-48,,
8:30.0,Personal foul by A. Bradley (drawn by J. Johnson),,50-48,,
8:18.0,,,50-50,2,M. Plumlee makes 2-pt shot at rim (assist by K. Garnett)
7:54.0,A. Bradley makes 3-pt shot from 24 ft (assist by E. Turner),3,53-50,,
7:42.0,,,53-50,,Turnover by J. Johnson (bad pass)
7:32.0,E. Turner makes 2-pt shot at rim,2,55-50,,
7:27.0,,,55-50,,Brooklyn full timeout
7:27.0,,,55-50,,B. Lopez enters the game for M. Plumlee
7:10.0,,,55-50,,B. Lopez misses 2-pt shot from 6 ft
7:09.0,Defensive rebound by E. Turner,,55-50,,
6:44.0,Turnover by Team (shot clock),,55-50,,
6:25.0,,,55-50,,B. Lopez misses 2-pt shot from 16 ft
6:24.0,Defensive rebound by E. Turner,,55-50,,
6:19.0,E. Turner misses 2-pt shot from 3 ft,,55-50,,
6:18.0,Offensive rebound by T. Zeller,,55-50,,
6:17.0,T. Zeller misses 2-pt shot at rim,,55-50,,
6:16.0,,,55-50,,Defensive rebound by K. Garnett
6:10.0,,,55-52,2,J. Jack makes 2-pt shot from 1 ft
5:54.0,A. Bradley makes 2-pt shot from 19 ft (assist by T. Zeller),2,57-52,,
5:36.0,,,57-52,,Shooting foul by E. Turner (drawn by S. Karasev)
5:36.0,,,57-52,,S. Karasev misses free throw 1 of 2
5:36.0,,,57-52,,Offensive rebound by Team
5:36.0,,,57-53,1,S. Karasev makes free throw 2 of 2
5:30.0,,,57-53,,Personal foul by S. Karasev (drawn by T. Zeller)
5:30.0,,,57-53,,A. Anderson enters the game for S. Karasev
5:30.0,K. Olynyk enters the game for J. Sullinger,,57-53,,
5:26.0,,,57-53,,Personal foul by K. Garnett (drawn by T. Zeller)
5:21.0,Turnover by K. Olynyk (bad pass; steal by K. Garnett),,57-53,,
5:10.0,,,57-53,,Turnover by J. Jack (lost ball; steal by E. Turner)
5:06.0,J. Green makes 2-pt shot at rim (assist by A. Bradley),2,59-53,,
4:41.0,,,59-55,2,J. Johnson makes 2-pt shot from 1 ft
4:20.0,A. Bradley makes 2-pt shot at rim (assist by E. Turner),2,61-55,,
4:04.0,,,61-55,,Turnover by B. Lopez (lost ball; steal by T. Zeller)
3:59.0,Turnover by A. Bradley (bad pass),,61-55,,
3:59.0,,,61-55,,M. Plumlee enters the game for K. Garnett
3:46.0,,,61-55,,J. Johnson misses 2-pt shot from 18 ft
3:45.0,,,61-55,,Offensive rebound by Team
3:45.0,Loose ball foul by K. Olynyk (drawn by M. Plumlee),,61-55,,
3:45.0,M. Smart enters the game for E. Turner,,61-55,,
3:29.0,,,61-55,,A. Anderson misses 3-pt shot from 25 ft
3:28.0,Defensive rebound by J. Green,,61-55,,
3:20.0,K. Olynyk makes 2-pt shot from 5 ft (assist by M. Smart),2,63-55,,
3:12.0,,,63-55,,Brooklyn full timeout
2:59.0,,,63-55,,J. Johnson misses 2-pt shot from 4 ft
2:58.0,,,63-55,,Offensive rebound by B. Lopez
2:57.0,,,63-55,,Shooting foul by T. Zeller (drawn by B. Lopez)
2:57.0,Boston full timeout,,63-55,,
2:57.0,,,63-56,1,B. Lopez makes free throw 1 of 2
2:57.0,,,63-57,1,B. Lopez makes free throw 2 of 2
2:34.0,J. Green misses 2-pt shot from 18 ft,,63-57,,
2:33.0,,,63-57,,Defensive rebound by A. Anderson
2:16.0,,,63-57,,J. Jack misses 3-pt shot from 25 ft
2:15.0,Defensive rebound by Team,,63-57,,
2:15.0,M. Thornton enters the game for A. Bradley,,63-57,,
2:01.0,K. Olynyk makes 2-pt shot from 14 ft (assist by J. Green),2,65-57,,
1:37.0,,,65-59,2,B. Lopez makes 2-pt shot from 18 ft (assist by J. Johnson)
1:16.0,M. Smart makes 2-pt shot from 18 ft (assist by T. Zeller),2,67-59,,
0:58.0,Personal foul by K. Olynyk (drawn by M. Plumlee),,67-59,,
0:58.0,,,67-59,,M. Plumlee misses free throw 1 of 2
0:58.0,,,67-59,,Offensive rebound by Team
0:58.0,,,67-59,,D. Morris enters the game for J. Jack
0:58.0,J. Crowder enters the game for J. Green,,67-59,,
0:58.0,,,67-60,1,M. Plumlee makes free throw 2 of 2
0:45.0,K. Olynyk misses 3-pt shot from 24 ft,,67-60,,
0:44.0,,,67-60,,Defensive rebound by B. Lopez
0:30.0,,,67-60,,Turnover by J. Johnson (bad pass; steal by J. Crowder)
0:29.0,,,67-60,,Personal foul by D. Morris (drawn by J. Crowder)
0:29.0,J. Crowder makes free throw 1 of 2,1,68-60,,
0:29.0,J. Crowder makes free throw 2 of 2,1,69-60,,
0:11.0,,,69-62,2,D. Morris makes 2-pt shot from 15 ft
0:03.0,M. Smart misses 3-pt shot from 24 ft,,69-62,,
0:02.0,,,69-62,,Defensive rebound by A. Anderson
0:00.0,End of 3rd quarter,,,,End of 3rd quarter
12:00.0,Start of 4th quarter,,,,Start of 4th quarter
11:45.0,M. Thornton makes 2-pt shot from 18 ft,2,71-62,,
11:23.0,,,71-62,,B. Lopez misses 2-pt shot from 15 ft
11:22.0,Defensive rebound by M. Thornton,,71-62,,
11:17.0,J. Crowder misses 2-pt shot from 2 ft,,71-62,,
11:16.0,,,71-62,,Defensive rebound by B. Lopez
11:06.0,,,71-62,,B. Lopez misses 2-pt shot from 3 ft
11:05.0,Defensive rebound by M. Smart,,71-62,,
10:58.0,K. Olynyk misses 3-pt shot from 24 ft,,71-62,,
10:57.0,Offensive rebound by J. Crowder,,71-62,,
10:56.0,J. Crowder makes 2-pt shot from 1 ft,2,73-62,,
10:36.0,,,73-64,2,A. Anderson makes 2-pt shot at rim (assist by D. Morris)
10:14.0,M. Thornton misses 2-pt shot from 18 ft,,73-64,,
10:13.0,,,73-64,,Defensive rebound by B. Bogdanovic
10:01.0,,,73-64,,M. Plumlee misses 2-pt shot from 3 ft (block by B. Bass)
10:00.0,,,73-64,,Offensive rebound by M. Plumlee
9:54.0,,,73-64,,A. Anderson misses 2-pt shot from 16 ft
9:53.0,Defensive rebound by J. Crowder,,73-64,,
9:52.0,,,73-64,,Personal foul by M. Plumlee (drawn by J. Crowder)
9:52.0,,,73-64,,M. Teletovic enters the game for B. Lopez
9:36.0,M. Thornton makes 2-pt shot from 2 ft (assist by M. Smart),2,75-64,,
9:36.0,Shooting foul by A. Anderson (drawn by M. Thornton),,75-64,,
9:36.0,M. Thornton makes free throw 1 of 1,1,76-64,,
9:28.0,Personal foul by M. Smart (drawn by D. Morris),,76-64,,
9:21.0,,,76-64,,D. Morris misses 2-pt shot from 12 ft
9:20.0,,,76-64,,Offensive rebound by Team
9:20.0,Loose ball foul by M. Smart (drawn by M. Plumlee),,76-64,,
9:01.0,,,76-64,,B. Bogdanovic misses 3-pt shot from 23 ft
9:00.0,Defensive rebound by M. Thornton,,76-64,,
8:49.0,B. Bass misses 2-pt shot from 14 ft,,76-64,,
8:48.0,,,76-64,,Defensive rebound by B. Bogdanovic
8:27.0,,,76-64,,M. Plumlee misses 2-pt shot from 4 ft
8:26.0,,,76-64,,Offensive rebound by M. Plumlee
8:25.0,,,76-64,,Turnover by Team (shot clock)
8:25.0,Official timeout,,76-64,,
8:25.0,,,76-64,,J. Jack enters the game for D. Morris
8:25.0,,,76-64,,J. Johnson enters the game for B. Bogdanovic
8:16.0,B. Bass misses 2-pt shot from 1 ft (block by M. Plumlee),,76-64,,
8:15.0,Offensive rebound by J. Crowder,,76-64,,
8:14.0,J. Crowder misses 2-pt shot from 2 ft,,76-64,,
8:13.0,Offensive rebound by J. Crowder,,76-64,,
8:12.0,J. Crowder misses 2-pt shot from 2 ft,,76-64,,
8:11.0,Offensive rebound by Team,,76-64,,
8:08.0,K. Olynyk misses 2-pt shot from 2 ft,,76-64,,
8:06.0,,,76-64,,Defensive rebound by A. Anderson
8:03.0,Personal foul by M. Thornton (drawn by A. Anderson),,76-64,,
7:57.0,,,76-64,,Turnover by J. Jack (lost ball)
7:46.0,M. Thornton misses 2-pt shot from 10 ft,,76-64,,
7:45.0,,,76-64,,Defensive rebound by M. Plumlee
7:41.0,,,76-66,2,M. Teletovic makes 2-pt shot from 23 ft (assist by M. Plumlee)
7:20.0,B. Bass makes 2-pt shot from 13 ft,2,78-66,,
7:02.0,,,78-68,2,J. Jack makes 2-pt shot from 7 ft
6:45.0,Shooting foul by M. Plumlee (drawn by B. Bass),,78-68,,
6:45.0,B. Bass makes free throw 1 of 2,1,79-68,,
6:45.0,B. Bass makes free throw 2 of 2,1,80-68,,
6:36.0,Personal foul by M. Smart (drawn by J. Jack),,80-68,,
6:29.0,,,80-68,,J. Jack misses 2-pt shot from 19 ft
6:28.0,,,80-68,,Offensive rebound by M. Plumlee
6:27.0,Personal foul by J. Crowder (drawn by M. Plumlee),,80-68,,
6:27.0,,,80-68,,M. Plumlee misses free throw 1 of 2
6:27.0,,,80-68,,Offensive rebound by Team
6:27.0,,,80-68,,Turnover by M. Teletovic (lane violation.)
6:19.0,B. Bass misses 2-pt shot from 19 ft,,80-68,,
6:17.0,,,80-68,,Defensive rebound by M. Teletovic
6:06.0,,,80-68,,Turnover by J. Johnson (bad pass)
6:03.0,J. Crowder makes 2-pt shot at rim (assist by M. Thornton),2,82-68,,
5:46.0,,,82-68,,J. Johnson misses 3-pt shot from 24 ft
5:45.0,,,82-68,,Offensive rebound by M. Plumlee
5:43.0,,,82-68,,M. Plumlee misses 2-pt shot from 2 ft
5:41.0,,,82-68,,Offensive rebound by M. Plumlee
5:40.0,,,82-68,,Shooting foul by K. Olynyk (drawn by M. Plumlee)
5:40.0,,,82-68,,Brooklyn full timeout
5:40.0,A. Bradley enters the game for M. Thornton,,82-68,,
5:40.0,J. Sullinger enters the game for J. Crowder,,82-68,,
5:40.0,J. Green enters the game for K. Olynyk,,82-68,,
5:40.0,,,82-69,1,M. Plumlee makes free throw 1 of 2
5:40.0,,,82-70,1,M. Plumlee makes free throw 2 of 2
5:17.0,A. Bradley misses 3-pt shot from 25 ft,,82-70,,
5:15.0,,,82-70,,Defensive rebound by J. Jack
5:11.0,,,82-70,,Shooting foul by J. Sullinger (drawn by M. Plumlee)
5:11.0,,,82-71,1,M. Plumlee makes free throw 1 of 2
5:11.0,E. Turner enters the game for M. Smart,,82-71,,
5:11.0,,,82-72,1,M. Plumlee makes free throw 2 of 2
4:53.0,E. Turner misses 3-pt shot from 24 ft,,82-72,,
4:52.0,,,82-72,,Defensive rebound by M. Plumlee
4:32.0,,,82-72,,J. Jack misses 2-pt shot from 12 ft
4:30.0,Defensive rebound by B. Bass,,82-72,,
4:09.0,J. Green misses 2-pt shot from 7 ft,,82-72,,
4:08.0,Offensive rebound by Team,,82-72,,
4:01.0,Shooting foul by M. Plumlee (drawn by B. Bass),,82-72,,
4:01.0,B. Bass makes free throw 1 of 2,1,83-72,,
4:01.0,B. Bass misses free throw 2 of 2,,83-72,,
4:00.0,,,83-72,,Defensive rebound by M. Plumlee
3:45.0,,,83-74,2,J. Johnson makes 2-pt shot from 17 ft
3:23.0,E. Turner misses 2-pt shot from 9 ft,,83-74,,
3:22.0,Offensive rebound by J. Sullinger,,83-74,,
3:21.0,J. Sullinger misses 2-pt shot at rim,,83-74,,
3:18.0,Offensive rebound by J. Sullinger,,83-74,,
3:17.0,Boston full timeout,,83-74,,
3:09.0,J. Sullinger misses 2-pt shot from 6 ft,,83-74,,
3:08.0,,,83-74,,Defensive rebound by J. Jack
2:52.0,,,83-74,,J. Johnson misses 3-pt shot from 24 ft
