time,Brooklyn,pts.away,score,pts.home,LA Lakers
5:29.0,,,76-67,,J. Hill misses 2-pt shot from 6 ft
5:27.0,,,76-67,,Offensive rebound by J. Clarkson
5:24.0,,,76-69,2,J. Clarkson makes 2-pt shot at rim
5:10.0,J. Johnson makes 3-pt shot from 25 ft (assist by A. Anderson),3,79-69,,
4:48.0,,,79-71,2,J. Hill makes 2-pt shot from 20 ft
4:33.0,B. Lopez misses 2-pt shot from 10 ft,,79-71,,
4:32.0,,,79-71,,Defensive rebound by E. Davis
4:20.0,,,79-73,2,J. Hill makes 2-pt shot from 18 ft (assist by E. Davis)
4:02.0,B. Bogdanovic makes 2-pt shot from 1 ft (assist by D. Williams),2,81-73,,
3:51.0,,,81-73,,R. Price misses 2-pt shot from 19 ft
3:50.0,Defensive rebound by Team,,81-73,,
3:50.0,,,81-73,,N. Young enters the game for R. Kelly
3:50.0,Brooklyn full timeout,,81-73,,
3:37.0,D. Williams makes 2-pt shot from 17 ft,2,83-73,,
3:26.0,Personal foul by J. Johnson (drawn by E. Davis),,83-73,,
3:26.0,,,83-73,,J. Lin enters the game for J. Clarkson
3:14.0,,,83-75,2,J. Lin makes 2-pt shot from 2 ft (assist by R. Price)
2:55.0,B. Lopez misses 2-pt shot from 3 ft,,83-75,,
2:54.0,Offensive rebound by B. Lopez,,83-75,,
2:53.0,B. Lopez misses 2-pt shot from 2 ft (block by J. Hill),,83-75,,
2:53.0,Offensive rebound by B. Lopez,,83-75,,
2:53.0,Shooting foul by E. Davis (drawn by B. Lopez),,83-75,,
2:53.0,B. Lopez makes free throw 1 of 2,1,84-75,,
2:53.0,B. Lopez makes free throw 2 of 2,1,85-75,,
2:37.0,,,85-75,,N. Young misses 2-pt shot from 19 ft
2:35.0,Defensive rebound by J. Johnson,,85-75,,
2:17.0,D. Williams makes 2-pt shot from 16 ft,2,87-75,,
1:54.0,,,87-75,,J. Hill misses 2-pt shot from 13 ft
1:52.0,Defensive rebound by B. Lopez,,87-75,,
1:44.0,B. Lopez makes 2-pt shot from 9 ft (assist by D. Williams),2,89-75,,
1:32.0,,,89-75,,Turnover by R. Price (bad pass; steal by D. Williams)
1:23.0,Shooting foul by R. Price (drawn by J. Johnson),,89-75,,
1:23.0,J. Johnson makes free throw 1 of 2,1,90-75,,
1:23.0,M. Brown enters the game for B. Bogdanovic,,90-75,,
1:23.0,J. Johnson misses free throw 2 of 2,,90-75,,
1:22.0,,,90-75,,Defensive rebound by J. Hill
1:05.0,,,90-77,2,E. Davis makes 2-pt shot from 1 ft (assist by J. Lin)
0:51.0,D. Williams makes 2-pt shot from 16 ft,2,92-77,,
0:43.0,,,92-77,,R. Price misses 2-pt shot from 10 ft
0:41.0,Defensive rebound by M. Brown,,92-77,,
0:34.0,J. Johnson makes 3-pt shot from 25 ft (assist by D. Williams),3,95-77,,
0:09.0,,,95-77,,R. Price misses 2-pt shot from 4 ft
0:08.0,Defensive rebound by B. Lopez,,95-77,,
0:02.0,Shooting foul by J. Hill (drawn by M. Brown),,95-77,,
0:02.0,M. Brown misses free throw 1 of 2,,95-77,,
0:02.0,Offensive rebound by Team,,95-77,,
0:02.0,D. Morris enters the game for D. Williams,,95-77,,
0:02.0,C. Jefferson enters the game for J. Johnson,,95-77,,
0:02.0,M. Brown makes free throw 2 of 2,1,96-77,,
0:00.0,End of 3rd quarter,,,,End of 3rd quarter
12:00.0,Start of 4th quarter,,,,Start of 4th quarter
11:35.0,,,96-77,,J. Lin misses 3-pt shot from 24 ft
11:33.0,,,96-77,,Offensive rebound by J. Hill
11:31.0,,,96-77,,J. Hill misses 2-pt shot from 1 ft (block by B. Lopez)
11:31.0,,,96-77,,Offensive rebound by Team
11:29.0,,,96-77,,Shooting foul by C. Jefferson (drawn by J. Lin)
11:29.0,,,96-77,,J. Lin misses free throw 1 of 2
11:29.0,,,96-77,,Offensive rebound by Team
11:29.0,,,96-78,1,J. Lin makes free throw 2 of 2
11:16.0,M. Brown makes 2-pt shot from 7 ft,2,98-78,,
11:06.0,,,98-78,,Shooting foul by M. Brown (drawn by J. Lin)
11:06.0,,,98-79,1,J. Lin makes free throw 1 of 2
11:06.0,,,98-79,,J. Lin misses free throw 2 of 2
11:05.0,Defensive rebound by B. Lopez,,98-79,,
