time,Orlando,pts.away,score,pts.home,Golden State
7:28.0,,,36-38,2,M. Speights makes 2-pt shot from 18 ft (assist by K. Thompson)
7:05.0,,,36-38,,Personal foul by S. Livingston (drawn by T. Harris)
7:05.0,T. Harris makes free throw 1 of 2,1,37-38,,
7:05.0,T. Harris makes free throw 2 of 2,1,38-38,,
6:59.0,,,38-38,,Turnover by D. Green (bad pass)
6:44.0,E. Payton misses 2-pt shot from 10 ft,,38-38,,
6:43.0,Offensive rebound by T. Harris,,38-38,,
6:41.0,T. Harris misses 2-pt shot from 3 ft,,38-38,,
6:39.0,Offensive rebound by K. O'Quinn,,38-38,,
6:35.0,E. Fournier misses 3-pt shot from 26 ft,,38-38,,
6:34.0,,,38-38,,Defensive rebound by S. Livingston
6:31.0,Personal foul by E. Payton (drawn by S. Livingston),,38-38,,
6:24.0,,,38-38,,Turnover by M. Speights (lost ball; steal by V. Oladipo)
6:24.0,Jump ball: V. Oladipo vs. M. Speights (K. O'Quinn gains possession),,,,Jump ball: V. Oladipo vs. M. Speights (K. O'Quinn gains possession)
6:18.0,T. Harris makes 2-pt shot at rim (assist by K. O'Quinn),2,40-38,,
6:07.0,,,40-38,,Golden State full timeout
6:07.0,,,40-38,,S. Curry enters the game for A. Iguodala
6:07.0,,,40-38,,H. Barnes enters the game for M. Speights
6:07.0,,,40-38,,A. Bogut enters the game for S. Livingston
6:07.0,W. Green enters the game for E. Payton,,40-38,,
5:59.0,,,40-38,,Turnover by S. Curry (bad pass; steal by K. O'Quinn)
5:38.0,Turnover by E. Fournier (lost ball; steal by H. Barnes),,40-38,,
5:19.0,,,40-38,,A. Bogut misses 2-pt shot from 7 ft
5:18.0,Defensive rebound by K. O'Quinn,,40-38,,
5:00.0,W. Green makes 2-pt shot from 11 ft,2,42-38,,
4:49.0,,,42-40,2,A. Bogut makes 2-pt shot at rim (assist by S. Curry)
4:32.0,E. Fournier misses 3-pt shot from 22 ft,,42-40,,
4:31.0,,,42-40,,Defensive rebound by H. Barnes
4:22.0,,,42-40,,K. Thompson misses 2-pt shot from 7 ft
4:21.0,,,42-40,,Offensive rebound by A. Bogut
4:21.0,,,42-42,2,A. Bogut makes 2-pt shot at rim
4:14.0,Orlando full timeout,,42-42,,
4:14.0,C. Frye enters the game for K. O'Quinn,,42-42,,
3:56.0,W. Green misses 2-pt shot from 18 ft,,42-42,,
3:55.0,,,42-42,,Defensive rebound by H. Barnes
3:38.0,,,42-44,2,H. Barnes makes 2-pt shot from 17 ft
3:20.0,T. Harris misses 2-pt shot from 2 ft,,42-44,,
3:19.0,,,42-44,,Defensive rebound by A. Bogut
3:05.0,,,42-47,3,H. Barnes makes 3-pt shot from 26 ft (assist by D. Green)
2:48.0,E. Fournier misses 2-pt shot from 1 ft (block by A. Bogut),,42-47,,
2:46.0,,,42-47,,Defensive rebound by D. Green
2:45.0,Personal take foul by W. Green (drawn by S. Curry),,42-47,,
2:45.0,Official timeout,,42-47,,
2:37.0,,,42-47,,A. Bogut misses 2-pt shot from 8 ft
2:36.0,Defensive rebound by C. Frye,,42-47,,
2:20.0,Turnover by T. Harris (step out of bounds),,42-47,,
2:03.0,,,42-49,2,K. Thompson makes 2-pt shot from 18 ft (assist by D. Green)
1:44.0,V. Oladipo makes 2-pt shot from 19 ft,2,44-49,,
1:32.0,,,44-51,2,D. Green makes 2-pt shot from 1 ft (assist by S. Curry)
1:12.0,W. Green misses 3-pt shot from 24 ft,,44-51,,
1:11.0,,,44-51,,Defensive rebound by K. Thompson
1:03.0,,,44-53,2,K. Thompson makes 2-pt shot from 19 ft
0:40.0,E. Fournier misses 2-pt shot from 2 ft,,44-53,,
0:39.0,,,44-53,,Defensive rebound by D. Green
0:36.0,Personal take foul by C. Frye (drawn by S. Curry),,44-53,,
0:36.0,,,44-53,,Golden State full timeout
0:36.0,,,44-53,,A. Iguodala enters the game for A. Bogut
0:32.0,,,44-56,3,S. Curry makes 3-pt shot from 29 ft (assist by D. Green)
0:22.0,E. Fournier misses 3-pt shot from 23 ft,,44-56,,
0:20.0,,,44-56,,Defensive rebound by D. Green
0:17.0,,,44-56,,Turnover by S. Curry (lost ball; steal by E. Fournier)
0:17.0,,,44-56,,Personal foul by S. Curry (drawn by E. Fournier)
0:02.0,V. Oladipo makes 2-pt shot from 6 ft,2,46-56,,
0:00.0,End of 2nd quarter,,,,End of 2nd quarter
12:00.0,Start of 3rd quarter,,,,Start of 3rd quarter
11:40.0,K. O'Quinn misses 2-pt shot from 18 ft,,46-56,,
11:39.0,,,46-56,,Defensive rebound by H. Barnes
11:21.0,,,46-56,,H. Barnes misses 2-pt shot from 19 ft
11:20.0,Defensive rebound by V. Oladipo,,46-56,,
11:13.0,V. Oladipo misses 2-pt shot from 2 ft,,46-56,,
11:12.0,,,46-56,,Defensive rebound by A. Bogut
11:02.0,,,46-56,,K. Thompson misses 3-pt shot from 26 ft
11:01.0,Defensive rebound by C. Frye,,46-56,,
10:46.0,K. O'Quinn makes 2-pt shot from 19 ft (assist by V. Oladipo),2,48-56,,
10:29.0,,,48-58,2,S. Curry makes 2-pt shot from 2 ft (assist by A. Bogut)
10:06.0,K. O'Quinn misses 2-pt shot from 8 ft,,48-58,,
10:05.0,,,48-58,,Defensive rebound by A. Bogut
9:48.0,Personal foul by T. Harris (drawn by K. Thompson),,48-58,,
9:41.0,,,48-58,,Turnover by K. Thompson (bad pass; steal by K. O'Quinn)
9:35.0,C. Frye makes 3-pt shot from 26 ft (assist by E. Fournier),3,51-58,,
9:19.0,,,51-58,,D. Green misses 3-pt shot from 25 ft
9:18.0,Defensive rebound by V. Oladipo,,51-58,,
9:12.0,K. O'Quinn makes 2-pt shot from 2 ft (assist by T. Harris),2,53-58,,
8:52.0,,,53-58,,H. Barnes misses 2-pt shot from 2 ft
8:51.0,Defensive rebound by C. Frye,,53-58,,
8:47.0,E. Fournier misses 3-pt shot from 27 ft,,53-58,,
8:46.0,,,53-58,,Defensive rebound by H. Barnes
8:37.0,,,53-60,2,S. Curry makes 2-pt shot from 6 ft
8:37.0,,,53-60,,Shooting foul by C. Frye (drawn by S. Curry)
8:37.0,,,53-61,1,S. Curry makes free throw 1 of 1
8:25.0,V. Oladipo misses 2-pt shot from 2 ft (block by A. Bogut),,53-61,,
8:23.0,,,53-61,,Defensive rebound by A. Bogut
8:19.0,,,53-63,2,K. Thompson makes 2-pt shot at rim (assist by H. Barnes)
8:17.0,Orlando full timeout,,53-63,,
7:57.0,K. O'Quinn misses 2-pt shot from 17 ft,,53-63,,
7:56.0,Offensive rebound by K. O'Quinn,,53-63,,
7:44.0,Turnover by V. Oladipo (bad pass; steal by K. Thompson),,53-63,,
7:40.0,,,53-63,,Shooting foul by C. Frye (drawn by D. Green)
7:40.0,,,53-64,1,D. Green makes free throw 1 of 2
7:40.0,,,53-65,1,D. Green makes free throw 2 of 2
7:22.0,T. Harris misses 2-pt shot from 5 ft (block by A. Bogut),,53-65,,
7:19.0,Offensive rebound by K. O'Quinn,,53-65,,
7:14.0,Turnover by V. Oladipo (bad pass; steal by A. Bogut),,53-65,,
7:13.0,,,53-65,,Turnover by A. Bogut (bad pass; steal by V. Oladipo)
7:11.0,V. Oladipo misses 2-pt shot from 14 ft,,53-65,,
7:09.0,,,53-65,,Defensive rebound by K. Thompson
7:04.0,,,53-65,,K. Thompson misses 2-pt shot from 6 ft (block by C. Frye)
7:03.0,Defensive rebound by E. Fournier,,53-65,,
6:53.0,K. O'Quinn misses 2-pt shot from 7 ft,,53-65,,
6:53.0,Offensive rebound by Team,,53-65,,
6:43.0,C. Frye misses 2-pt shot from 9 ft,,53-65,,
6:42.0,,,53-65,,Defensive rebound by D. Green
6:28.0,,,53-65,,A. Bogut misses 2-pt shot from 8 ft
6:27.0,Defensive rebound by E. Fournier,,53-65,,
6:21.0,E. Fournier makes 2-pt shot from 1 ft,2,55-65,,
6:12.0,,,55-65,,S. Curry misses 2-pt shot from 19 ft
6:11.0,Defensive rebound by T. Harris,,55-65,,
5:56.0,E. Fournier makes 2-pt shot from 18 ft (assist by V. Oladipo),2,57-65,,
5:45.0,,,57-65,,D. Green misses 3-pt shot from 25 ft
5:44.0,,,57-65,,Offensive rebound by S. Curry
5:40.0,,,57-65,,S. Curry misses 2-pt shot from 5 ft
5:38.0,Defensive rebound by V. Oladipo,,57-65,,
5:34.0,T. Harris makes 2-pt shot from 1 ft (assist by V. Oladipo),2,59-65,,
5:34.0,,,59-65,,Golden State full timeout
5:34.0,E. Payton enters the game for K. O'Quinn,,59-65,,
5:34.0,,,59-65,,A. Iguodala enters the game for H. Barnes
5:18.0,,,59-65,,D. Green misses 2-pt shot from 2 ft (block by C. Frye)
5:18.0,Defensive rebound by E. Payton,,59-65,,
5:18.0,,,59-65,,Personal foul by A. Bogut (drawn by E. Payton)
5:18.0,,,59-65,,M. Speights enters the game for A. Bogut
5:04.0,V. Oladipo makes 3-pt shot from 26 ft (assist by T. Harris),3,62-65,,
4:49.0,,,62-65,,K. Thompson misses 2-pt shot from 19 ft
4:49.0,Defensive rebound by T. Harris,,62-65,,
4:41.0,E. Fournier misses 2-pt shot from 1 ft,,62-65,,
4:39.0,,,62-65,,Defensive rebound by M. Speights
4:29.0,,,62-65,,K. Thompson misses 3-pt shot from 23 ft
4:28.0,Defensive rebound by E. Payton,,62-65,,
4:10.0,V. Oladipo makes 2-pt shot at rim,2,64-65,,
3:47.0,,,64-65,,D. Green misses 2-pt shot from 1 ft
3:46.0,Defensive rebound by C. Frye,,64-65,,
3:41.0,Orlando full timeout,,64-65,,
3:41.0,B. Gordon enters the game for V. Oladipo,,64-65,,
3:41.0,,,64-65,,L. Barbosa enters the game for K. Thompson
3:29.0,E. Payton misses 2-pt shot from 6 ft,,64-65,,
3:28.0,,,64-65,,Defensive rebound by M. Speights
3:21.0,,,64-67,2,M. Speights makes 2-pt shot from 1 ft (assist by A. Iguodala)
2:59.0,B. Gordon makes 2-pt shot from 20 ft (assist by C. Frye),2,66-67,,
2:47.0,,,66-69,2,S. Curry makes 2-pt shot from 1 ft
2:21.0,B. Gordon makes 2-pt shot from 7 ft,2,68-69,,
2:04.0,,,68-69,,M. Speights misses 2-pt shot from 6 ft
2:03.0,Defensive rebound by T. Harris,,68-69,,
1:57.0,T. Harris makes 2-pt shot from 1 ft,2,70-69,,
1:57.0,Shooting foul by M. Speights (drawn by T. Harris),,70-69,,
1:57.0,W. Green enters the game for E. Fournier,,70-69,,
1:57.0,K. O'Quinn enters the game for C. Frye,,70-69,,
1:57.0,,,70-69,,H. Barnes enters the game for D. Green
1:57.0,T. Harris makes free throw 1 of 1,1,71-69,,
1:38.0,,,71-69,,M. Speights misses 2-pt shot from 19 ft
1:37.0,,,71-69,,Offensive rebound by L. Barbosa
1:32.0,,,71-69,,Turnover by L. Barbosa (lost ball; steal by E. Payton)
1:25.0,Turnover by B. Gordon (bad pass),,71-69,,
1:15.0,,,71-71,2,S. Curry makes 2-pt shot from 12 ft
0:57.0,K. O'Quinn makes 2-pt shot at rim (assist by E. Payton),2,73-71,,
0:50.0,,,73-71,,S. Curry misses 3-pt shot from 26 ft
0:49.0,,,73-71,,Offensive rebound by L. Barbosa
0:47.0,,,73-71,,Shooting foul by K. O'Quinn (drawn by M. Speights)
0:47.0,,,73-72,1,M. Speights makes free throw 1 of 2
0:47.0,,,73-72,,S. Livingston enters the game for S. Curry
0:47.0,,,73-73,1,M. Speights makes free throw 2 of 2
0:24.0,T. Harris misses 3-pt shot from 23 ft,,73-73,,
0:24.0,Offensive rebound by K. O'Quinn,,73-73,,
0:24.0,Shooting foul by M. Speights (drawn by K. O'Quinn),,73-73,,
0:24.0,K. O'Quinn makes free throw 1 of 2,1,74-73,,
0:24.0,E. Fournier enters the game for T. Harris,,74-73,,
0:24.0,K. O'Quinn makes free throw 2 of 2,1,75-73,,
0:04.0,,,75-73,,M. Speights misses 2-pt shot from 18 ft
0:02.0,Defensive rebound by B. Gordon,,75-73,,
0:00.0,End of 3rd quarter,,,,End of 3rd quarter
12:00.0,Start of 4th quarter,,,,Start of 4th quarter
11:49.0,,,75-75,2,A. Iguodala makes 2-pt shot from 19 ft (assist by A. Bogut)
11:24.0,B. Gordon misses 2-pt shot from 10 ft,,75-75,,
11:22.0,,,75-75,,Defensive rebound by H. Barnes
11:11.0,,,75-75,,A. Iguodala misses 2-pt shot from 18 ft
11:11.0,Defensive rebound by K. O'Quinn,,75-75,,
10:50.0,Turnover by K. O'Quinn (lost ball; steal by L. Barbosa),,75-75,,
10:47.0,,,75-75,,Turnover by A. Iguodala (lost ball; steal by E. Payton)
10:43.0,E. Payton misses 2-pt shot from 2 ft (block by A. Bogut),,75-75,,
10:43.0,Offensive rebound by Team,,75-75,,
10:34.0,K. O'Quinn misses 2-pt shot from 3 ft (block by A. Bogut),,75-75,,
10:34.0,Offensive rebound by Team,,75-75,,
10:31.0,K. O'Quinn makes 2-pt shot from 19 ft (assist by E. Payton),2,77-75,,
10:14.0,,,77-75,,L. Barbosa misses 3-pt shot from 26 ft
10:13.0,Defensive rebound by K. O'Quinn,,77-75,,
9:59.0,K. O'Quinn makes 2-pt shot from 10 ft,2,79-75,,
9:40.0,,,79-75,,H. Barnes misses 2-pt shot from 4 ft (block by K. O'Quinn)
9:38.0,Defensive rebound by E. Fournier,,79-75,,
9:25.0,E. Fournier misses 2-pt shot from 16 ft,,79-75,,
9:24.0,,,79-75,,Defensive rebound by A. Bogut
9:18.0,Violation by K. O'Quinn (def goaltending),,79-75,,
9:18.0,,,79-77,2,A. Iguodala makes 2-pt shot from 2 ft
9:05.0,E. Fournier makes 3-pt shot from 23 ft (assist by E. Payton),3,82-77,,
8:45.0,,,82-77,,A. Iguodala misses 3-pt shot from 25 ft
8:44.0,,,82-77,,Offensive rebound by H. Barnes
8:31.0,,,82-77,,L. Barbosa misses 3-pt shot from 25 ft
8:30.0,Defensive rebound by K. O'Quinn,,82-77,,
8:22.0,Orlando full timeout,,82-77,,
8:22.0,,,82-77,,K. Thompson enters the game for L. Barbosa
8:22.0,,,82-77,,S. Curry enters the game for S. Livingston
8:22.0,C. Frye enters the game for K. O'Quinn,,82-77,,
8:22.0,T. Harris enters the game for E. Fournier,,82-77,,
8:05.0,W. Green misses 2-pt shot from 21 ft,,82-77,,
8:02.0,Offensive rebound by E. Payton,,82-77,,
7:42.0,E. Payton makes 2-pt shot from 20 ft,2,84-77,,
7:24.0,,,84-77,,Shooting foul by C. Frye (drawn by H. Barnes)
7:24.0,,,84-77,,H. Barnes misses free throw 1 of 2
7:24.0,,,84-77,,Offensive rebound by Team
7:24.0,V. Oladipo enters the game for W. Green,,84-77,,
7:24.0,,,84-78,1,H. Barnes makes free throw 2 of 2
7:07.0,T. Harris misses 2-pt shot from 5 ft,,84-78,,
7:06.0,,,84-78,,Defensive rebound by A. Bogut
6:49.0,,,84-78,,K. Thompson misses 2-pt shot from 4 ft
6:48.0,Defensive rebound by C. Frye,,84-78,,
6:48.0,Jump ball: C. Frye vs. K. Thompson (V. Oladipo gains possession),,,,Jump ball: C. Frye vs. K. Thompson (V. Oladipo gains possession)
6:27.0,Turnover by V. Oladipo (lost ball; steal by A. Bogut),,84-78,,
6:12.0,,,84-80,2,K. Thompson makes 2-pt shot from 9 ft
6:01.0,,,84-80,,Personal foul by S. Curry (drawn by E. Payton)
6:01.0,,,84-80,,D. Green enters the game for H. Barnes
6:01.0,E. Fournier enters the game for B. Gordon,,84-80,,
5:54.0,,,84-80,,Personal foul by D. Green (drawn by T. Harris)
5:54.0,Official timeout,,84-80,,
5:54.0,T. Harris makes free throw 1 of 2,1,85-80,,
5:54.0,T. Harris makes free throw 2 of 2,1,86-80,,
5:45.0,Personal foul by E. Payton (drawn by S. Curry),,86-80,,
5:36.0,,,86-83,3,K. Thompson makes 3-pt shot from 27 ft
5:12.0,V. Oladipo makes 2-pt shot from 11 ft (assist by T. Harris),2,88-83,,
4:52.0,,,88-83,,S. Curry misses 3-pt shot from 26 ft
4:51.0,Defensive rebound by T. Harris,,88-83,,
4:37.0,E. Payton makes 2-pt shot from 1 ft,2,90-83,,
4:27.0,,,90-83,,Shooting foul by C. Frye (drawn by D. Green)
4:27.0,,,90-83,,D. Green misses free throw 1 of 2
4:27.0,,,90-83,,Offensive rebound by Team
4:27.0,,,90-84,1,D. Green makes free throw 2 of 2
4:11.0,V. Oladipo makes 3-pt shot from 25 ft (assist by E. Payton),3,93-84,,
4:05.0,,,93-84,,Golden State full timeout
4:05.0,,,93-84,,M. Speights enters the game for A. Bogut
4:00.0,,,93-87,3,S. Curry makes 3-pt shot from 27 ft (assist by K. Thompson)
3:37.0,Turnover by V. Oladipo (lost ball; steal by A. Iguodala),,93-87,,
3:36.0,Personal foul by C. Frye (drawn by A. Iguodala),,93-87,,
3:36.0,K. O'Quinn enters the game for C. Frye,,93-87,,
3:36.0,,,93-87,,A. Bogut enters the game for M. Speights
3:28.0,,,93-87,,Turnover by D. Green (bad pass; steal by E. Fournier)
3:05.0,T. Harris misses 2-pt shot from 16 ft,,93-87,,
3:04.0,,,93-87,,Defensive rebound by K. Thompson
2:56.0,,,93-90,3,K. Thompson makes 3-pt shot from 30 ft
2:36.0,K. O'Quinn misses 2-pt shot from 1 ft,,93-90,,
2:35.0,,,93-90,,Defensive rebound by A. Bogut
2:18.0,,,93-93,3,K. Thompson makes 3-pt shot from 24 ft (assist by D. Green)
1:57.0,,,93-93,,Personal foul by D. Green (drawn by T. Harris)
1:57.0,,,93-93,,H. Barnes enters the game for D. Green
1:50.0,K. O'Quinn makes 2-pt shot from 11 ft (assist by E. Payton),2,95-93,,
1:38.0,,,95-93,,Shooting foul by K. O'Quinn (drawn by S. Curry)
1:38.0,,,95-94,1,S. Curry makes free throw 1 of 2
1:38.0,,,95-94,,D. Green enters the game for H. Barnes
1:38.0,,,95-95,1,S. Curry makes free throw 2 of 2
1:22.0,E. Payton misses 2-pt shot from 9 ft,,95-95,,
1:20.0,,,95-95,,Defensive rebound by S. Curry
