time,New Orleans,pts.away,score,pts.home,Charlotte
7:08.0,,,35-29,2,G. Henderson makes 2-pt shot from 17 ft
6:52.0,Shooting foul by M. Williams (drawn by R. Anderson),,35-29,,
6:52.0,R. Anderson makes free throw 1 of 2,1,36-29,,
6:52.0,,,36-29,,M. Kidd-Gilchrist enters the game for P. Hairston
6:52.0,J. Holiday enters the game for J. Fredette,,36-29,,
6:52.0,R. Anderson makes free throw 2 of 2,1,37-29,,
6:37.0,,,37-31,2,C. Zeller makes 2-pt shot from 18 ft (assist by G. Henderson)
6:23.0,D. Cunningham misses 2-pt shot from 19 ft,,37-31,,
6:22.0,,,37-31,,Defensive rebound by G. Henderson
6:15.0,,,37-33,2,G. Henderson makes 2-pt shot from 1 ft
6:15.0,New Orleans full timeout,,37-33,,
6:15.0,,,37-33,,K. Walker enters the game for B. Roberts
6:01.0,R. Anderson misses 2-pt shot from 10 ft,,37-33,,
5:59.0,,,37-33,,Defensive rebound by G. Henderson
5:40.0,,,37-33,,M. Kidd-Gilchrist misses 2-pt shot from 5 ft (block by E. Gordon)
5:40.0,Defensive rebound by Team,,37-33,,
5:30.0,J. Holiday misses 2-pt shot from 10 ft,,37-33,,
5:29.0,,,37-33,,Defensive rebound by M. Kidd-Gilchrist
5:12.0,,,37-33,,C. Zeller misses 2-pt shot from 1 ft (block by A. Davis)
5:11.0,Defensive rebound by D. Cunningham,,37-33,,
4:53.0,R. Anderson misses 2-pt shot from 9 ft,,37-33,,
4:51.0,,,37-33,,Defensive rebound by C. Zeller
4:42.0,,,37-33,,K. Walker misses 2-pt shot from 15 ft
4:41.0,Defensive rebound by A. Davis,,37-33,,
4:31.0,O. Asik enters the game for R. Anderson,,37-33,,
4:31.0,T. Evans enters the game for D. Cunningham,,37-33,,
4:31.0,,,37-33,,B. Biyombo enters the game for M. Williams
4:23.0,J. Holiday makes 3-pt shot from 25 ft (assist by E. Gordon),3,40-33,,
4:08.0,Def 3 sec tech foul by O. Asik,,40-33,,
4:08.0,,,40-34,1,K. Walker makes technical free throw
3:54.0,,,40-36,2,C. Zeller makes 2-pt shot at rim (assist by G. Henderson)
3:39.0,A. Davis misses 2-pt shot from 7 ft (block by C. Zeller),,40-36,,
3:37.0,Offensive rebound by A. Davis,,40-36,,
3:35.0,A. Davis makes 2-pt shot from 1 ft,2,42-36,,
3:17.0,,,42-36,,G. Henderson misses 2-pt shot from 7 ft
3:16.0,Defensive rebound by J. Holiday,,42-36,,
3:07.0,J. Holiday makes 2-pt shot from 2 ft,2,44-36,,
2:41.0,,,44-36,,C. Zeller misses 2-pt shot from 19 ft (block by A. Davis)
2:41.0,,,44-36,,Offensive rebound by Team
2:41.0,,,44-36,,Turnover by Team (shot clock)
2:41.0,Official timeout,,44-36,,
2:24.0,A. Davis makes 2-pt shot from 14 ft,2,46-36,,
2:15.0,Personal foul by E. Gordon (drawn by G. Henderson),,46-36,,
1:57.0,,,46-36,,G. Henderson misses 2-pt shot from 14 ft
1:57.0,,,46-36,,Offensive rebound by Team
1:57.0,,,46-36,,Turnover by Team (shot clock)
1:41.0,O. Asik misses 2-pt shot at rim,,46-36,,
1:39.0,,,46-36,,Defensive rebound by C. Zeller
1:36.0,,,46-38,2,K. Walker makes 2-pt shot at rim
1:36.0,,,46-38,,Shooting foul by J. Holiday (drawn by K. Walker)
1:36.0,,,46-39,1,K. Walker makes free throw 1 of 1
1:11.0,E. Gordon misses 2-pt shot from 9 ft,,46-39,,
1:09.0,Offensive rebound by J. Holiday,,46-39,,
1:01.0,T. Evans makes 2-pt shot from 17 ft,2,48-39,,
0:49.0,,,48-41,2,K. Walker makes 2-pt shot from 18 ft (assist by M. Kidd-Gilchrist)
0:42.0,Turnover by A. Davis (traveling),,48-41,,
0:42.0,R. Anderson enters the game for O. Asik,,48-41,,
0:42.0,D. Cunningham enters the game for J. Holiday,,48-41,,
0:34.0,,,48-41,,K. Walker misses 2-pt shot from 12 ft
0:33.0,Defensive rebound by A. Davis,,48-41,,
0:27.0,Turnover by T. Evans (bad pass),,48-41,,
0:27.0,,,48-41,,M. Williams enters the game for B. Biyombo
0:04.0,,,48-41,,M. Williams misses 2-pt shot from 8 ft (block by E. Gordon)
0:04.0,Defensive rebound by Team,,48-41,,
0:00.0,T. Evans misses 3-pt shot from 34 ft,,48-41,,
0:00.0,Offensive rebound by Team,,48-41,,
0:00.0,End of 2nd quarter,,,,End of 2nd quarter
12:00.0,Start of 3rd quarter,,,,Start of 3rd quarter
11:44.0,A. Davis makes 2-pt shot from 15 ft (assist by J. Holiday),2,50-41,,
11:32.0,,,50-41,,Turnover by K. Walker (lost ball; steal by J. Holiday)
11:27.0,J. Holiday makes 2-pt shot from 1 ft,2,52-41,,
11:14.0,,,52-41,,C. Zeller misses 2-pt shot from 1 ft
11:13.0,Defensive rebound by T. Evans,,52-41,,
11:08.0,E. Gordon misses 2-pt shot from 3 ft (block by G. Henderson),,52-41,,
11:06.0,,,52-41,,Defensive rebound by M. Kidd-Gilchrist
11:03.0,,,52-43,2,C. Zeller makes 2-pt shot at rim (assist by M. Kidd-Gilchrist)
10:40.0,J. Holiday misses 2-pt shot from 15 ft,,52-43,,
10:39.0,,,52-43,,Defensive rebound by M. Kidd-Gilchrist
10:28.0,,,52-43,,Shooting foul by A. Davis (drawn by M. Kidd-Gilchrist)
10:28.0,,,52-44,1,M. Kidd-Gilchrist makes free throw 1 of 2
10:28.0,,,52-45,1,M. Kidd-Gilchrist makes free throw 2 of 2
10:15.0,A. Davis makes 2-pt shot from 1 ft,2,54-45,,
10:04.0,Personal foul by J. Holiday (drawn by G. Henderson),,54-45,,
10:01.0,,,54-45,,Offensive foul by B. Biyombo
10:01.0,,,54-45,,Turnover by B. Biyombo (offensive foul)
9:40.0,Turnover by J. Holiday (bad pass; steal by C. Zeller),,54-45,,
9:36.0,Personal block foul by A. Davis (drawn by K. Walker),,54-45,,
9:31.0,,,54-45,,G. Henderson misses 2-pt shot from 17 ft
9:29.0,Defensive rebound by O. Asik,,54-45,,
9:20.0,A. Davis misses 2-pt shot from 17 ft,,54-45,,
9:19.0,Offensive rebound by O. Asik,,54-45,,
9:16.0,O. Asik makes 2-pt shot from 1 ft,2,56-45,,
9:01.0,,,56-47,2,K. Walker makes 2-pt shot from 18 ft (assist by M. Kidd-Gilchrist)
8:42.0,T. Evans misses 2-pt shot from 2 ft,,56-47,,
8:42.0,Offensive rebound by O. Asik,,56-47,,
8:42.0,Shooting foul by M. Kidd-Gilchrist (drawn by O. Asik),,56-47,,
8:42.0,O. Asik misses free throw 1 of 2,,56-47,,
8:42.0,Offensive rebound by Team,,56-47,,
8:42.0,O. Asik misses free throw 2 of 2,,56-47,,
8:41.0,,,56-47,,Defensive rebound by M. Kidd-Gilchrist
8:27.0,,,56-47,,K. Walker misses 2-pt shot from 1 ft
8:26.0,,,56-47,,Offensive rebound by B. Biyombo
8:26.0,,,56-49,2,B. Biyombo makes 2-pt shot at rim
8:12.0,J. Holiday makes 2-pt shot from 1 ft,2,58-49,,
7:58.0,,,58-51,2,M. Kidd-Gilchrist makes 2-pt shot from 1 ft (assist by C. Zeller)
7:39.0,J. Holiday makes 3-pt shot from 26 ft (assist by A. Davis),3,61-51,,
7:21.0,,,61-53,2,M. Kidd-Gilchrist makes 2-pt shot from 13 ft (assist by G. Henderson)
6:59.0,A. Davis makes 2-pt shot from 7 ft (assist by J. Holiday),2,63-53,,
6:45.0,,,63-53,,C. Zeller misses 2-pt shot from 18 ft
6:44.0,Defensive rebound by O. Asik,,63-53,,
6:35.0,E. Gordon makes 3-pt shot from 25 ft (assist by T. Evans),3,66-53,,
6:28.0,,,66-53,,Charlotte full timeout
6:14.0,,,66-53,,M. Kidd-Gilchrist misses 2-pt shot from 2 ft
6:13.0,,,66-53,,Offensive rebound by C. Zeller
6:09.0,,,66-55,2,G. Henderson makes 2-pt shot from 14 ft (assist by C. Zeller)
5:40.0,J. Holiday misses 2-pt shot from 17 ft,,66-55,,
5:39.0,,,66-55,,Defensive rebound by G. Henderson
5:31.0,,,66-57,2,G. Henderson makes 2-pt shot from 7 ft
5:12.0,E. Gordon misses 2-pt shot from 2 ft (block by M. Kidd-Gilchrist),,66-57,,
5:10.0,Offensive rebound by T. Evans,,66-57,,
5:06.0,T. Evans misses 2-pt shot from 1 ft,,66-57,,
5:05.0,,,66-57,,Defensive rebound by B. Biyombo
4:50.0,,,66-57,,Turnover by M. Kidd-Gilchrist (dbl dribble)
4:50.0,R. Anderson enters the game for O. Asik,,66-57,,
4:50.0,D. Cunningham enters the game for E. Gordon,,66-57,,
4:38.0,Turnover by T. Evans (lost ball; steal by C. Zeller),,66-57,,
4:38.0,Personal foul by T. Evans (drawn by C. Zeller),,66-57,,
4:38.0,,,66-57,,M. Williams enters the game for C. Zeller
4:24.0,,,66-59,2,G. Henderson makes 2-pt shot at rim (assist by K. Walker)
4:04.0,T. Evans misses 3-pt shot from 25 ft,,66-59,,
4:03.0,,,66-59,,Defensive rebound by G. Henderson
3:52.0,,,66-59,,Turnover by G. Henderson (bad pass; steal by T. Evans)
3:33.0,D. Cunningham misses 2-pt shot from 17 ft,,66-59,,
3:32.0,,,66-59,,Defensive rebound by M. Kidd-Gilchrist
3:23.0,,,66-61,2,K. Walker makes 2-pt shot from 6 ft
3:00.0,J. Holiday misses 3-pt shot from 25 ft,,66-61,,
2:58.0,,,66-61,,Defensive rebound by B. Biyombo
2:48.0,,,66-63,2,G. Henderson makes 2-pt shot at rim
2:33.0,A. Davis makes 2-pt shot at rim (assist by J. Holiday),2,68-63,,
2:19.0,,,68-63,,K. Walker misses 3-pt shot from 25 ft
2:18.0,Defensive rebound by A. Davis,,68-63,,
2:00.0,D. Cunningham makes 2-pt shot from 20 ft (assist by T. Evans),2,70-63,,
1:39.0,,,70-63,,M. Kidd-Gilchrist misses 2-pt shot from 18 ft
1:38.0,Defensive rebound by T. Evans,,70-63,,
1:36.0,,,70-63,,Personal foul by B. Biyombo (drawn by A. Davis)
1:36.0,New Orleans full timeout,,70-63,,
1:36.0,,,70-63,,G. Neal enters the game for B. Biyombo
1:36.0,,,70-63,,J. Maxiell enters the game for G. Henderson
1:18.0,J. Holiday misses 2-pt shot from 6 ft,,70-63,,
1:17.0,,,70-63,,Defensive rebound by M. Kidd-Gilchrist
1:10.0,,,70-65,2,K. Walker makes 2-pt shot from 1 ft
0:45.0,T. Evans misses 3-pt shot from 25 ft,,70-65,,
0:43.0,,,70-65,,Defensive rebound by Team
0:23.0,,,70-67,2,K. Walker makes 2-pt shot at rim (assist by M. Williams)
0:03.0,A. Davis misses 2-pt shot from 17 ft,,70-67,,
0:01.0,Offensive rebound by J. Holiday,,70-67,,
0:01.0,J. Holiday misses 2-pt shot from 2 ft,,70-67,,
0:00.0,,,70-67,,Defensive rebound by K. Walker
0:00.0,End of 3rd quarter,,,,End of 3rd quarter
12:00.0,Start of 4th quarter,,,,Start of 4th quarter
11:44.0,,,70-70,3,B. Roberts makes 3-pt shot from 25 ft (assist by G. Neal)
11:21.0,A. Davis makes 2-pt shot at rim (assist by E. Gordon),2,72-70,,
11:02.0,,,72-70,,G. Neal misses 2-pt shot from 20 ft
11:02.0,,,72-70,,Offensive rebound by M. Kidd-Gilchrist
11:02.0,Personal foul by A. Davis (drawn by M. Kidd-Gilchrist),,72-70,,
11:02.0,J. Fredette enters the game for J. Holiday,,72-70,,
10:51.0,,,72-70,,G. Neal misses 3-pt shot from 28 ft
10:50.0,Defensive rebound by D. Cunningham,,72-70,,
10:40.0,J. Fredette misses 3-pt shot from 26 ft,,72-70,,
10:38.0,,,72-70,,Defensive rebound by B. Roberts
10:24.0,,,72-70,,Shooting foul by E. Gordon (drawn by M. Kidd-Gilchrist)
10:24.0,,,72-71,1,M. Kidd-Gilchrist makes free throw 1 of 2
10:24.0,,,72-72,1,M. Kidd-Gilchrist makes free throw 2 of 2
10:11.0,A. Davis makes 2-pt shot from 16 ft (assist by J. Fredette),2,74-72,,
9:53.0,,,74-72,,M. Williams misses 2-pt shot from 2 ft (block by A. Davis)
9:53.0,,,74-72,,Offensive rebound by J. Maxiell
9:53.0,,,74-74,2,J. Maxiell makes 2-pt shot at rim
9:53.0,,,74-74,,Shooting foul by D. Cunningham (drawn by J. Maxiell)
9:53.0,,,74-74,,J. Maxiell misses free throw 1 of 1
9:51.0,Defensive rebound by A. Davis,,74-74,,
9:40.0,A. Davis misses 2-pt shot from 8 ft,,74-74,,
9:39.0,,,74-74,,Defensive rebound by M. Kidd-Gilchrist
9:33.0,,,74-74,,M. Kidd-Gilchrist misses 2-pt shot from 1 ft
9:31.0,,,74-74,,Offensive rebound by J. Maxiell
9:21.0,,,74-74,,G. Neal misses 2-pt shot from 1 ft
9:20.0,Defensive rebound by D. Cunningham,,74-74,,
9:09.0,Turnover by J. Fredette (bad pass; steal by M. Williams),,74-74,,
9:00.0,,,74-74,,Shooting foul by J. Fredette (drawn by B. Roberts)
9:00.0,,,74-75,1,B. Roberts makes free throw 1 of 2
9:00.0,,,74-75,,G. Henderson enters the game for M. Kidd-Gilchrist
9:00.0,,,74-76,1,B. Roberts makes free throw 2 of 2
8:45.0,J. Fredette makes 3-pt shot from 23 ft (assist by E. Gordon),3,77-76,,
8:31.0,,,77-76,,B. Roberts misses 3-pt shot from 25 ft
8:30.0,Defensive rebound by J. Fredette,,77-76,,
8:09.0,A. Davis misses 2-pt shot from 18 ft,,77-76,,
8:08.0,,,77-76,,Defensive rebound by M. Williams
8:02.0,Violation by A. Davis (kicked ball),,77-76,,
8:02.0,Official timeout,,77-76,,
8:02.0,O. Asik enters the game for A. Davis,,77-76,,
8:02.0,J. Holiday enters the game for D. Cunningham,,77-76,,
7:58.0,,,77-76,,Shooting foul by E. Gordon (drawn by G. Henderson)
7:58.0,,,77-77,1,G. Henderson makes free throw 1 of 2
7:58.0,,,77-78,1,G. Henderson makes free throw 2 of 2
7:45.0,Turnover by J. Fredette (bad pass; steal by M. Williams),,77-78,,
7:37.0,,,77-78,,J. Maxiell misses 2-pt shot from 5 ft
7:35.0,Defensive rebound by J. Holiday,,77-78,,
7:26.0,R. Anderson makes 2-pt shot at rim (assist by J. Holiday),2,79-78,,
7:13.0,,,79-81,3,G. Neal makes 3-pt shot from 25 ft (assist by G. Henderson)
7:01.0,R. Anderson misses 3-pt shot from 25 ft,,79-81,,
7:00.0,,,79-81,,Defensive rebound by J. Maxiell
6:51.0,,,79-81,,M. Williams misses 3-pt shot from 25 ft
6:51.0,,,79-81,,Offensive rebound by Team
6:51.0,Loose ball foul by O. Asik (drawn by J. Maxiell),,79-81,,
6:51.0,,,79-81,,J. Maxiell misses free throw 1 of 2
6:51.0,,,79-81,,Offensive rebound by Team
6:51.0,T. Evans enters the game for J. Fredette,,79-81,,
6:51.0,,,79-81,,K. Walker enters the game for B. Roberts
6:51.0,,,79-82,1,J. Maxiell makes free throw 2 of 2
6:36.0,E. Gordon misses 3-pt shot from 25 ft,,79-82,,
6:35.0,,,79-82,,Defensive rebound by K. Walker
6:25.0,,,79-84,2,J. Maxiell makes 2-pt shot from 15 ft (assist by K. Walker)
6:07.0,E. Gordon makes 2-pt shot from 20 ft,2,81-84,,
5:55.0,,,81-84,,M. Williams misses 3-pt shot from 25 ft
5:55.0,,,81-84,,Offensive rebound by Team
5:55.0,Loose ball foul by O. Asik (drawn by J. Maxiell),,81-84,,
5:55.0,,,81-84,,Charlotte full timeout
5:55.0,A. Davis enters the game for O. Asik,,81-84,,
5:55.0,,,81-84,,C. Zeller enters the game for M. Williams
5:55.0,,,81-85,1,J. Maxiell makes free throw 1 of 2
5:55.0,,,81-86,1,J. Maxiell makes free throw 2 of 2
5:38.0,A. Davis misses 2-pt shot from 6 ft (block by J. Maxiell),,81-86,,
5:38.0,Offensive rebound by Team,,81-86,,
5:38.0,,,81-86,,Loose ball foul by C. Zeller (drawn by A. Davis)
5:38.0,,,81-86,,B. Biyombo enters the game for J. Maxiell
5:38.0,,,81-86,,M. Kidd-Gilchrist enters the game for G. Neal
5:31.0,Shooting foul by K. Walker (drawn by J. Holiday),,81-86,,
5:31.0,J. Holiday misses free throw 1 of 2,,81-86,,
5:31.0,Offensive rebound by Team,,81-86,,
5:31.0,J. Holiday makes free throw 2 of 2,1,82-86,,
5:15.0,,,82-88,2,C. Zeller makes 2-pt shot from 1 ft (assist by K. Walker)
4:57.0,R. Anderson misses 2-pt shot at rim,,82-88,,
4:56.0,,,82-88,,Defensive rebound by M. Kidd-Gilchrist
4:43.0,,,82-88,,G. Henderson misses 2-pt shot from 7 ft
4:43.0,Defensive rebound by Team,,82-88,,
4:43.0,,,82-88,,Loose ball foul by B. Biyombo (drawn by A. Davis)
4:28.0,E. Gordon misses 3-pt shot from 27 ft,,82-88,,
4:27.0,,,82-88,,Defensive rebound by M. Kidd-Gilchrist
4:12.0,,,82-88,,Shooting foul by T. Evans (drawn by K. Walker)
4:12.0,,,82-89,1,K. Walker makes free throw 1 of 2
4:12.0,,,82-90,1,K. Walker makes free throw 2 of 2
4:00.0,A. Davis makes 2-pt shot from 1 ft (assist by J. Holiday),2,84-90,,
3:40.0,,,84-90,,K. Walker misses 2-pt shot from 2 ft (block by J. Holiday)
3:39.0,Defensive rebound by J. Holiday,,84-90,,
