time,Milwaukee,pts.away,score,pts.home,Cleveland
4:59.0,Defensive rebound by J. Parker,,12-16,,
4:47.0,J. Parker misses 2-pt shot from 5 ft,,12-16,,
4:44.0,,,12-16,,Defensive rebound by T. Thompson
4:32.0,,,12-16,,Turnover by K. Irving (bad pass)
4:14.0,O. Mayo misses 3-pt shot from 26 ft,,12-16,,
4:13.0,,,12-16,,Defensive rebound by T. Thompson
3:58.0,,,12-19,3,K. Love makes 3-pt shot from 23 ft (assist by K. Irving)
3:40.0,,,12-19,,D. Waiters enters the game for K. Irving
3:20.0,,,12-21,2,K. Love makes 2-pt shot from 9 ft
3:12.0,,,12-21,,Personal foul by D. Waiters (drawn by B. Knight)
3:00.0,J. Parker makes 2-pt shot from 10 ft,2,14-21,,
2:48.0,,,14-24,3,K. Love makes 3-pt shot from 24 ft (assist by L. James)
2:29.0,O. Mayo makes 2-pt shot from 3 ft (assist by B. Knight),2,16-24,,
2:14.0,,,16-26,2,T. Thompson makes 2-pt shot at rim (assist by D. Waiters)
1:55.0,B. Knight misses 2-pt shot from 17 ft,,16-26,,
1:54.0,Offensive rebound by Z. Pachulia,,16-26,,
1:51.0,B. Knight makes 2-pt shot at rim (assist by Z. Pachulia),2,18-26,,
1:46.0,,,18-26,,Shooting foul by J. Dudley (drawn by K. Love)
1:46.0,Milwaukee full timeout,,18-26,,
1:46.0,,,18-26,,J. Harris enters the game for S. Marion
1:46.0,K. Middleton enters the game for O. Mayo,,18-26,,
1:46.0,,,18-27,1,K. Love makes free throw 1 of 2
1:46.0,,,18-27,,K. Love misses free throw 2 of 2
1:45.0,Defensive rebound by J. Parker,,18-27,,
1:25.0,J. Dudley makes 2-pt shot from 12 ft (assist by J. Parker),2,20-27,,
1:00.0,,,20-27,,L. James misses 2-pt shot from 21 ft
0:59.0,Defensive rebound by B. Knight,,20-27,,
0:53.0,Z. Pachulia misses 2-pt shot from 16 ft,,20-27,,
0:52.0,Offensive rebound by J. Parker,,20-27,,
0:44.0,B. Knight makes 3-pt shot from 22 ft (assist by J. Dudley),3,23-27,,
0:28.0,,,23-30,3,K. Love makes 3-pt shot from 25 ft (assist by J. Harris)
0:06.0,Z. Pachulia misses 2-pt shot from 13 ft,,23-30,,
0:04.0,,,23-30,,Defensive rebound by L. James
0:00.0,,,23-30,,L. James misses 2-pt shot from 13 ft
0:00.0,,,23-30,,Offensive rebound by Team
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:38.0,,,23-30,,T. Thompson misses 2-pt shot from 4 ft (block by Z. Pachulia)
11:38.0,Defensive rebound by Team,,23-30,,
11:21.0,J. Bayless makes 2-pt shot from 7 ft,2,25-30,,
11:05.0,,,25-32,2,A. Varejao makes 2-pt shot from 16 ft (assist by K. Irving)
10:34.0,K. Middleton misses 3-pt shot from 25 ft,,25-32,,
10:33.0,,,25-32,,Defensive rebound by A. Varejao
10:23.0,,,25-32,,A. Varejao misses 2-pt shot from 18 ft
10:22.0,Defensive rebound by J. Dudley,,25-32,,
10:11.0,E. Ilyasova makes 3-pt shot from 25 ft (assist by J. Dudley),3,28-32,,
9:53.0,,,28-32,,A. Varejao misses 2-pt shot from 15 ft
9:51.0,Defensive rebound by K. Middleton,,28-32,,
9:42.0,K. Middleton makes 3-pt shot from 25 ft (assist by E. Ilyasova),3,31-32,,
9:34.0,,,31-32,,Cleveland full timeout
9:34.0,,,31-32,,S. Marion enters the game for T. Thompson
9:28.0,,,31-32,,Turnover by D. Waiters (bad pass; steal by K. Middleton)
9:20.0,E. Ilyasova misses 3-pt shot from 25 ft,,31-32,,
9:18.0,Offensive rebound by Z. Pachulia,,31-32,,
9:07.0,E. Ilyasova misses 2-pt shot from 2 ft,,31-32,,
9:07.0,Offensive rebound by E. Ilyasova,,31-32,,
9:07.0,Shooting foul by K. Irving (drawn by E. Ilyasova),,31-32,,
9:07.0,E. Ilyasova makes free throw 1 of 2,1,32-32,,
9:07.0,E. Ilyasova makes free throw 2 of 2,1,33-32,,
8:54.0,,,33-34,2,K. Irving makes 2-pt shot from 1 ft (assist by J. Harris)
8:37.0,Z. Pachulia makes 2-pt shot from 14 ft (assist by K. Middleton),2,35-34,,
8:21.0,Personal foul by K. Middleton (drawn by D. Waiters),,35-34,,
8:06.0,,,35-34,,D. Waiters misses 2-pt shot from 20 ft
8:05.0,Defensive rebound by E. Ilyasova,,35-34,,
7:47.0,E. Ilyasova makes 2-pt shot from 6 ft (assist by K. Middleton),2,37-34,,
7:27.0,,,37-34,,S. Marion misses 3-pt shot from 23 ft
7:26.0,Defensive rebound by J. Dudley,,37-34,,
7:21.0,Shooting foul by D. Waiters (drawn by Z. Pachulia),,37-34,,
7:21.0,Z. Pachulia misses free throw 1 of 2,,37-34,,
7:21.0,Offensive rebound by Team,,37-34,,
7:21.0,,,37-34,,K. Love enters the game for D. Waiters
7:21.0,,,37-34,,L. James enters the game for J. Harris
7:21.0,Z. Pachulia makes free throw 2 of 2,1,38-34,,
6:57.0,,,38-36,2,L. James makes 2-pt shot from 5 ft
6:46.0,J. Bayless makes 2-pt shot from 19 ft,2,40-36,,
6:37.0,Personal foul by Z. Pachulia (drawn by L. James),,40-36,,
6:37.0,L. Sanders enters the game for Z. Pachulia,,40-36,,
6:24.0,,,40-36,,A. Varejao misses 2-pt shot from 2 ft (block by E. Ilyasova)
6:22.0,Defensive rebound by J. Dudley,,40-36,,
6:12.0,J. Bayless misses 2-pt shot from 17 ft,,40-36,,
6:11.0,,,40-36,,Defensive rebound by A. Varejao
6:02.0,,,40-38,2,K. Irving makes 2-pt shot from 19 ft
5:43.0,E. Ilyasova misses 3-pt shot from 24 ft,,40-38,,
5:42.0,Offensive rebound by L. Sanders,,40-38,,
5:40.0,L. Sanders misses 2-pt shot from 1 ft,,40-38,,
5:38.0,,,40-38,,Defensive rebound by L. James
5:35.0,,,40-38,,Turnover by L. James (bad pass; steal by K. Middleton)
5:34.0,,,40-38,,Personal foul by K. Irving (drawn by K. Middleton)
5:34.0,Official timeout,,40-38,,
5:34.0,J. Parker enters the game for J. Dudley,,40-38,,
5:08.0,J. Bayless misses 2-pt shot from 3 ft (block by S. Marion),,40-38,,
5:05.0,,,40-38,,Defensive rebound by A. Varejao
4:59.0,,,40-40,2,S. Marion makes 2-pt shot at rim (assist by L. James)
4:42.0,J. Parker makes 2-pt shot at rim,2,42-40,,
4:27.0,,,42-40,,Shooting foul by L. Sanders (drawn by K. Love)
4:27.0,,,42-41,1,K. Love makes free throw 1 of 2
4:27.0,O. Mayo enters the game for K. Middleton,,42-41,,
4:27.0,B. Knight enters the game for J. Bayless,,42-41,,
4:27.0,,,42-41,,K. Love misses free throw 2 of 2
4:26.0,Defensive rebound by E. Ilyasova,,42-41,,
4:10.0,E. Ilyasova misses 2-pt shot from 18 ft,,42-41,,
4:09.0,,,42-41,,Defensive rebound by A. Varejao
4:02.0,,,42-41,,L. James misses 3-pt shot from 24 ft
4:01.0,Defensive rebound by O. Mayo,,42-41,,
3:57.0,J. Parker makes 2-pt shot at rim (assist by O. Mayo),2,44-41,,
3:50.0,,,44-41,,Turnover by K. Love (bad pass; steal by B. Knight)
3:44.0,J. Parker makes 2-pt shot at rim (assist by B. Knight),2,46-41,,
3:21.0,,,46-41,,Shooting foul by L. Sanders (drawn by L. James)
3:21.0,,,46-41,,L. James misses free throw 1 of 2
3:21.0,,,46-41,,Offensive rebound by Team
3:21.0,,,46-41,,T. Thompson enters the game for A. Varejao
3:21.0,,,46-42,1,L. James makes free throw 2 of 2
3:13.0,B. Knight misses 2-pt shot from 4 ft,,46-42,,
3:12.0,,,46-42,,Defensive rebound by K. Love
3:08.0,Violation by L. Sanders (def goaltending),,46-42,,
3:08.0,,,46-44,2,K. Irving makes 2-pt shot from 2 ft
2:57.0,J. Parker makes 2-pt shot at rim (assist by O. Mayo),2,48-44,,
2:37.0,Milwaukee full timeout,,48-44,,
2:31.0,,,48-46,2,S. Marion makes 2-pt shot from 5 ft (assist by L. James)
2:09.0,O. Mayo misses 2-pt shot from 12 ft,,48-46,,
2:08.0,,,48-46,,Defensive rebound by S. Marion
2:05.0,,,48-46,,Turnover by S. Marion (bad pass; steal by L. Sanders)
1:54.0,E. Ilyasova makes 2-pt shot from 16 ft (assist by O. Mayo),2,50-46,,
1:36.0,,,50-46,,K. Love misses 2-pt shot from 19 ft
1:35.0,Defensive rebound by O. Mayo,,50-46,,
1:32.0,Turnover by B. Knight (bad pass),,50-46,,
1:25.0,,,50-46,,Turnover by L. James (bad pass; steal by B. Knight)
1:12.0,Turnover by O. Mayo (lost ball; steal by T. Thompson),,50-46,,
1:09.0,,,50-48,2,L. James makes 2-pt shot at rim
1:09.0,,,50-48,,Shooting foul by E. Ilyasova (drawn by L. James)
1:09.0,,,50-49,1,L. James makes free throw 1 of 1
1:00.0,B. Knight makes 2-pt shot at rim,2,52-49,,
0:52.0,,,52-49,,Shooting foul by B. Knight (drawn by K. Irving)
0:52.0,,,52-49,,K. Irving misses free throw 1 of 2
0:52.0,,,52-49,,Offensive rebound by Team
0:52.0,,,52-50,1,K. Irving makes free throw 2 of 2
0:41.0,Turnover by O. Mayo (bad pass; steal by S. Marion),,52-50,,
0:35.0,,,52-50,,L. James misses 2-pt shot from 1 ft
0:34.0,Defensive rebound by Team,,52-50,,
0:34.0,,,52-50,,Loose ball foul by T. Thompson (drawn by E. Ilyasova)
0:34.0,,,52-50,,J. Harris enters the game for K. Irving
0:34.0,,,52-50,,D. Waiters enters the game for S. Marion
0:34.0,Z. Pachulia enters the game for L. Sanders,,52-50,,
0:26.0,O. Mayo makes 2-pt shot from 1 ft,2,54-50,,
0:06.0,,,54-50,,L. James misses 3-pt shot from 25 ft
0:04.0,,,54-50,,Offensive rebound by T. Thompson
0:04.0,,,54-50,,Turnover by T. Thompson (bad pass; steal by J. Parker)
0:04.0,Turnover by J. Parker (step out of bounds),,54-50,,
0:04.0,,,54-50,,Cleveland full timeout
0:04.0,J. Bayless enters the game for B. Knight,,54-50,,
0:04.0,,,54-50,,K. Irving enters the game for J. Harris
0:01.0,,,54-50,,K. Irving misses 2-pt shot from 14 ft
0:00.0,,,54-50,,Offensive rebound by K. Love
0:00.0,,,54-52,2,K. Love makes 2-pt shot at rim
0:00.0,End of 2nd quarter,,,,End of 2nd quarter
12:00.0,Start of 3rd quarter,,,,Start of 3rd quarter
11:47.0,,,54-52,,K. Love misses 2-pt shot from 2 ft
11:44.0,Defensive rebound by J. Parker,,54-52,,
11:27.0,O. Mayo makes 2-pt shot from 6 ft,2,56-52,,
11:11.0,,,56-54,2,K. Love makes 2-pt shot from 4 ft
10:53.0,G. Antetokounmpo makes 2-pt shot from 5 ft (assist by O. Mayo),2,58-54,,
10:35.0,,,58-56,2,L. James makes 2-pt shot from 6 ft
10:18.0,O. Mayo misses 3-pt shot from 23 ft,,58-56,,
10:17.0,Offensive rebound by G. Antetokounmpo,,58-56,,
10:08.0,Turnover by B. Knight (bad pass; steal by A. Varejao),,58-56,,
9:57.0,Personal foul by G. Antetokounmpo (drawn by K. Love),,58-56,,
9:48.0,Def 3 sec tech foul by L. Sanders,,58-56,,
9:48.0,,,58-57,1,K. Irving makes technical free throw
9:42.0,,,58-59,2,K. Irving makes 2-pt shot from 13 ft
9:28.0,Turnover by J. Parker (bad pass; steal by A. Varejao),,58-59,,
9:16.0,,,58-59,,K. Irving misses 3-pt shot from 27 ft
9:15.0,Defensive rebound by Team,,58-59,,
9:04.0,B. Knight makes 3-pt shot from 25 ft (assist by G. Antetokounmpo),3,61-59,,
8:40.0,,,61-61,2,A. Varejao makes 2-pt shot at rim (assist by L. James)
8:30.0,G. Antetokounmpo makes 2-pt shot at rim (assist by B. Knight),2,63-61,,
8:12.0,,,63-61,,Offensive foul by K. Love
8:12.0,,,63-61,,Turnover by K. Love (offensive foul)
8:07.0,Shooting foul by S. Marion (drawn by O. Mayo),,63-61,,
8:07.0,O. Mayo misses free throw 1 of 2,,63-61,,
8:07.0,Offensive rebound by Team,,63-61,,
8:07.0,O. Mayo makes free throw 2 of 2,1,64-61,,
7:49.0,,,64-61,,Turnover by K. Love (step out of bounds)
7:49.0,,,64-61,,Violation by Team (delay of game)
7:37.0,B. Knight makes 3-pt shot from 25 ft (assist by G. Antetokounmpo),3,67-61,,
7:13.0,,,67-61,,Shooting foul by L. Sanders (drawn by S. Marion)
7:13.0,,,67-62,1,S. Marion makes free throw 1 of 2
7:13.0,,,67-63,1,S. Marion makes free throw 2 of 2
7:00.0,O. Mayo makes 2-pt shot at rim (assist by B. Knight),2,69-63,,
7:00.0,Shooting foul by S. Marion (drawn by O. Mayo),,69-63,,
7:00.0,O. Mayo makes free throw 1 of 1,1,70-63,,
6:45.0,,,70-63,,Turnover by K. Love (3 sec)
6:45.0,,,70-63,,M. Miller enters the game for S. Marion
6:25.0,J. Parker makes 2-pt shot from 13 ft (assist by G. Antetokounmpo),2,72-63,,
6:18.0,,,72-63,,Turnover by L. James (bad pass; steal by O. Mayo)
6:16.0,O. Mayo makes 2-pt shot at rim,2,74-63,,
6:16.0,,,74-63,,Cleveland full timeout
6:08.0,,,74-63,,Turnover by L. James (bad pass)
5:52.0,L. Sanders misses 2-pt shot at rim,,74-63,,
5:50.0,,,74-63,,Defensive rebound by K. Irving
5:45.0,,,74-66,3,M. Miller makes 3-pt shot from 25 ft (assist by K. Irving)
5:31.0,Turnover by G. Antetokounmpo (lost ball; steal by K. Irving),,74-66,,
5:30.0,,,74-68,2,K. Irving makes 2-pt shot at rim
5:30.0,,,74-68,,Shooting foul by G. Antetokounmpo (drawn by K. Irving)
5:30.0,,,74-69,1,K. Irving makes free throw 1 of 1
5:16.0,J. Parker misses 2-pt shot from 2 ft (block by K. Love),,74-69,,
5:15.0,,,74-69,,Defensive rebound by M. Miller
5:12.0,K. Middleton enters the game for G. Antetokounmpo,,74-69,,
5:08.0,,,74-69,,Shooting foul by L. Sanders (drawn by L. James)
5:08.0,,,74-69,,L. James misses free throw 1 of 2
5:08.0,,,74-69,,Offensive rebound by Team
5:08.0,Z. Pachulia enters the game for L. Sanders,,74-69,,
5:08.0,,,74-70,1,L. James makes free throw 2 of 2
4:54.0,O. Mayo misses 3-pt shot from 24 ft,,74-70,,
4:53.0,,,74-70,,Defensive rebound by K. Irving
4:46.0,,,74-72,2,K. Irving makes 2-pt shot from 1 ft
4:45.0,Milwaukee full timeout,,74-72,,
4:45.0,J. Dudley enters the game for O. Mayo,,74-72,,
4:36.0,Turnover by K. Middleton (traveling),,74-72,,
4:15.0,,,74-72,,L. James misses 2-pt shot from 7 ft
4:12.0,Defensive rebound by B. Knight,,74-72,,
4:08.0,,,74-72,,Personal foul by M. Miller (drawn by B. Knight)
4:02.0,B. Knight misses 3-pt shot from 26 ft,,74-72,,
4:00.0,,,74-72,,Defensive rebound by K. Love
3:38.0,,,74-72,,Turnover by L. James (bad pass; steal by J. Parker)
3:27.0,B. Knight makes 3-pt shot from 25 ft (assist by J. Parker),3,77-72,,
3:03.0,,,77-74,2,K. Love makes 2-pt shot from 9 ft (assist by L. James)
2:48.0,J. Parker makes 2-pt shot at rim (assist by J. Dudley),2,79-74,,
2:36.0,,,79-76,2,K. Irving makes 2-pt shot at rim
2:08.0,J. Dudley misses 3-pt shot from 26 ft,,79-76,,
2:07.0,,,79-76,,Defensive rebound by A. Varejao
1:54.0,,,79-78,2,A. Varejao makes 2-pt shot at rim (assist by L. James)
1:39.0,Turnover by B. Knight (lost ball),,79-78,,
1:39.0,,,79-78,,T. Thompson enters the game for A. Varejao
1:17.0,,,79-78,,K. Love misses 3-pt shot from 23 ft
1:16.0,Defensive rebound by K. Middleton,,79-78,,
1:12.0,,,79-78,,S. Marion enters the game for K. Irving
1:06.0,Turnover by J. Parker (offensive foul),,79-78,,
1:06.0,Offensive charge foul by J. Parker,,79-78,,
0:55.0,,,79-78,,M. Miller misses 3-pt shot from 25 ft
0:54.0,,,79-78,,Offensive rebound by L. James
0:42.0,Violation by Z. Pachulia (kicked ball),,79-78,,
0:34.0,,,79-78,,Turnover by L. James (bad pass)
0:25.0,K. Middleton misses 2-pt shot from 8 ft,,79-78,,
0:23.0,,,79-78,,Defensive rebound by M. Miller
0:21.0,,,79-78,,Shooting foul by K. Middleton (drawn by L. James)
0:21.0,,,79-78,,L. James misses free throw 1 of 2
0:21.0,,,79-78,,Offensive rebound by Team
0:21.0,,,79-78,,A. Varejao enters the game for K. Love
0:21.0,,,79-79,1,L. James makes free throw 2 of 2
0:03.0,K. Middleton misses 3-pt shot from 25 ft,,79-79,,
0:03.0,,,79-79,,Defensive rebound by A. Varejao
0:00.0,,,79-79,,S. Marion misses 2-pt shot from 20 ft
0:00.0,,,79-79,,Offensive rebound by Team
0:00.0,End of 3rd quarter,,,,End of 3rd quarter
12:00.0,Start of 4th quarter,,,,Start of 4th quarter
11:42.0,Shooting foul by M. Miller (drawn by G. Antetokounmpo),,79-79,,
11:42.0,G. Antetokounmpo makes free throw 1 of 2,1,80-79,,
11:42.0,G. Antetokounmpo makes free throw 2 of 2,1,81-79,,
11:24.0,,,81-81,2,L. James makes 2-pt shot from 16 ft
10:54.0,Z. Pachulia misses 2-pt shot at rim,,81-81,,
10:53.0,,,81-81,,Defensive rebound by A. Varejao
10:30.0,,,81-81,,Turnover by T. Thompson (3 sec)
10:19.0,K. Middleton misses 2-pt shot from 16 ft,,81-81,,
10:17.0,,,81-81,,Defensive rebound by M. Miller
10:03.0,,,81-81,,L. James misses 3-pt shot from 25 ft
10:02.0,Defensive rebound by J. Bayless,,81-81,,
9:54.0,Turnover by J. Dudley (bad pass),,81-81,,
9:54.0,,,81-81,,K. Irving enters the game for S. Marion
9:54.0,,,81-81,,K. Love enters the game for A. Varejao
9:36.0,,,81-81,,K. Irving misses 2-pt shot from 15 ft
9:35.0,Defensive rebound by G. Antetokounmpo,,81-81,,
9:18.0,J. Dudley misses 2-pt shot from 16 ft,,81-81,,
9:17.0,,,81-81,,Defensive rebound by K. Love
9:03.0,,,81-81,,M. Miller misses 3-pt shot from 22 ft
9:01.0,Defensive rebound by G. Antetokounmpo,,81-81,,
9:00.0,Turnover by G. Antetokounmpo (traveling),,81-81,,
8:46.0,Def 3 sec tech foul by Z. Pachulia,,81-81,,
8:46.0,Official timeout,,81-81,,
8:46.0,,,81-81,,S. Marion enters the game for L. James
8:46.0,J. Parker enters the game for J. Dudley,,81-81,,
8:46.0,B. Knight enters the game for K. Middleton,,81-81,,
8:46.0,,,81-82,1,K. Irving makes technical free throw
8:29.0,,,81-82,,K. Irving misses 3-pt shot from 29 ft
8:28.0,,,81-82,,Offensive rebound by M. Miller
8:23.0,,,81-82,,K. Love misses 3-pt shot from 22 ft
8:21.0,,,81-82,,Offensive rebound by K. Love
8:20.0,,,81-82,,Turnover by K. Love (lost ball; steal by Z. Pachulia)
8:03.0,B. Knight misses 3-pt shot from 25 ft,,81-82,,
8:02.0,Offensive rebound by J. Parker,,81-82,,
7:58.0,B. Knight misses 3-pt shot from 22 ft,,81-82,,
7:57.0,Offensive rebound by Z. Pachulia,,81-82,,
7:40.0,J. Parker makes 2-pt shot from 17 ft (assist by J. Bayless),2,83-82,,
7:17.0,,,83-84,2,K. Irving makes 2-pt shot from 14 ft
6:51.0,G. Antetokounmpo misses 2-pt shot from 12 ft,,83-84,,
6:50.0,Offensive rebound by G. Antetokounmpo,,83-84,,
6:47.0,G. Antetokounmpo makes 2-pt shot at rim,2,85-84,,
6:32.0,,,85-84,,K. Irving misses 3-pt shot from 26 ft
6:31.0,Defensive rebound by Z. Pachulia,,85-84,,
6:30.0,,,85-84,,Personal foul by K. Irving (drawn by B. Knight)
6:30.0,,,85-84,,L. James enters the game for M. Miller
6:10.0,Z. Pachulia misses 2-pt shot from 12 ft,,85-84,,
6:08.0,,,85-84,,Defensive rebound by S. Marion
5:54.0,,,85-84,,S. Marion misses 3-pt shot from 23 ft
5:52.0,Defensive rebound by B. Knight,,85-84,,
5:42.0,J. Parker makes 2-pt shot from 1 ft (assist by B. Knight),2,87-84,,
5:33.0,,,87-84,,Cleveland full timeout
5:33.0,,,87-84,,M. Miller enters the game for S. Marion
5:26.0,,,87-86,2,L. James makes 2-pt shot from 1 ft (assist by K. Irving)
5:05.0,J. Bayless makes 2-pt shot from 20 ft,2,89-86,,
4:44.0,,,89-89,3,K. Love makes 3-pt shot from 23 ft (assist by M. Miller)
4:26.0,G. Antetokounmpo misses 2-pt shot from 7 ft (block by M. Miller),,89-89,,
4:24.0,,,89-89,,Defensive rebound by M. Miller
4:16.0,,,89-91,2,K. Irving makes 2-pt shot at rim (assist by T. Thompson)
4:16.0,,,89-91,,Shooting foul by Z. Pachulia (drawn by K. Irving)
4:16.0,L. Sanders enters the game for Z. Pachulia,,89-91,,
4:16.0,,,89-92,1,K. Irving makes free throw 1 of 1
3:57.0,J. Parker misses 2-pt shot from 18 ft,,89-92,,
3:55.0,,,89-92,,Defensive rebound by L. James
3:48.0,,,89-94,2,L. James makes 2-pt shot at rim
3:48.0,Milwaukee full timeout,,89-94,,
3:48.0,O. Mayo enters the game for J. Bayless,,89-94,,
3:35.0,B. Knight misses 3-pt shot from 26 ft,,89-94,,
3:34.0,Offensive rebound by B. Knight,,89-94,,
3:26.0,G. Antetokounmpo misses 2-pt shot from 17 ft,,89-94,,
3:26.0,Offensive rebound by Team,,89-94,,
3:26.0,,,89-94,,Loose ball foul by K. Love (drawn by L. Sanders)
3:20.0,B. Knight makes 2-pt shot at rim (assist by L. Sanders),2,91-94,,
3:00.0,,,91-97,3,M. Miller makes 3-pt shot from 25 ft (assist by K. Irving)
2:47.0,,,91-97,,Personal foul by K. Irving (drawn by B. Knight)
2:41.0,Shooting foul by T. Thompson (drawn by B. Knight),,91-97,,
2:41.0,B. Knight makes free throw 1 of 2,1,92-97,,
2:41.0,B. Knight makes free throw 2 of 2,1,93-97,,
2:30.0,,,93-99,2,T. Thompson makes 2-pt shot at rim (assist by L. James)
2:13.0,G. Antetokounmpo misses 2-pt shot from 8 ft (block by T. Thompson),,93-99,,
2:12.0,,,93-99,,Defensive rebound by M. Miller
2:10.0,,,93-99,,Shooting foul by O. Mayo (drawn by L. James)
2:10.0,,,93-100,1,L. James makes free throw 1 of 2
2:10.0,,,93-100,,L. James misses free throw 2 of 2
2:09.0,Defensive rebound by L. Sanders,,93-100,,
1:58.0,J. Parker makes 2-pt shot from 9 ft (assist by B. Knight),2,95-100,,
1:44.0,,,95-102,2,T. Thompson makes 2-pt shot at rim (assist by L. James)
1:44.0,Technical foul by L. Sanders,,95-102,,
1:44.0,,,95-103,1,K. Irving makes technical free throw
1:35.0,B. Knight makes 2-pt shot from 22 ft,2,97-103,,
1:10.0,,,97-103,,K. Love misses 3-pt shot from 22 ft
1:09.0,Defensive rebound by J. Parker,,97-103,,
1:07.0,Shooting foul by M. Miller (drawn by L. Sanders),,97-103,,
1:07.0,L. Sanders makes free throw 1 of 2,1,98-103,,
