time,Oklahoma City,pts.away,score,pts.home,Washington
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:46.0,,,26-31,,Shooting foul by K. Perkins (drawn by K. Humphries)
11:46.0,,,26-32,1,K. Humphries makes free throw 1 of 2
11:46.0,,,26-33,1,K. Humphries makes free throw 2 of 2
11:33.0,A. Morrow misses 2-pt shot from 15 ft,,26-33,,
11:32.0,,,26-33,,Defensive rebound by K. Humphries
11:21.0,,,26-33,,B. Beal misses 2-pt shot from 6 ft (block by R. Jackson)
11:19.0,Defensive rebound by K. Durant,,26-33,,
11:14.0,R. Jackson misses 3-pt shot from 26 ft,,26-33,,
11:12.0,Offensive rebound by D. Waiters,,26-33,,
11:06.0,D. Waiters misses 3-pt shot from 22 ft,,26-33,,
11:05.0,,,26-33,,Defensive rebound by K. Humphries
10:59.0,,,26-33,,A. Miller misses 2-pt shot at rim
10:57.0,Defensive rebound by K. Perkins,,26-33,,
10:53.0,Turnover by D. Waiters (bad pass),,26-33,,
10:37.0,,,26-33,,B. Beal misses 2-pt shot at rim
10:36.0,Defensive rebound by K. Perkins,,26-33,,
10:27.0,R. Jackson misses 2-pt shot from 11 ft,,26-33,,
10:26.0,Offensive rebound by Team,,26-33,,
10:24.0,K. Durant misses 2-pt shot from 16 ft,,26-33,,
10:22.0,,,26-33,,Defensive rebound by A. Miller
10:10.0,,,26-33,,Shooting foul by K. Perkins (drawn by K. Seraphin)
10:10.0,,,26-34,1,K. Seraphin makes free throw 1 of 2
10:10.0,S. Adams enters the game for K. Perkins,,26-34,,
10:10.0,,,26-34,,Turnover by K. Humphries (lane violation.)
10:10.0,Oklahoma City full timeout,,26-34,,
10:06.0,,,26-34,,Personal foul by R. Butler (drawn by K. Durant)
9:52.0,R. Jackson misses 2-pt shot from 20 ft,,26-34,,
9:51.0,,,26-34,,Defensive rebound by K. Humphries
9:34.0,,,26-34,,K. Seraphin misses 2-pt shot from 8 ft
9:33.0,Defensive rebound by R. Jackson,,26-34,,
9:26.0,S. Adams makes 2-pt shot at rim (assist by R. Jackson),2,28-34,,
9:26.0,Shooting foul by K. Seraphin (drawn by S. Adams),,28-34,,
9:26.0,S. Adams misses free throw 1 of 1,,28-34,,
9:25.0,,,28-34,,Defensive rebound by K. Humphries
9:12.0,,,28-34,,R. Butler misses 2-pt shot from 14 ft
9:11.0,Defensive rebound by S. Adams,,28-34,,
9:04.0,R. Jackson misses 2-pt shot from 17 ft,,28-34,,
9:03.0,,,28-34,,Defensive rebound by B. Beal
8:49.0,,,28-36,2,K. Humphries makes 2-pt shot from 18 ft (assist by A. Miller)
8:41.0,Oklahoma City full timeout,,28-36,,
8:41.0,R. Westbrook enters the game for R. Jackson,,28-36,,
8:24.0,A. Morrow misses 2-pt shot from 22 ft,,28-36,,
8:22.0,,,28-36,,Defensive rebound by R. Butler
8:03.0,,,28-36,,K. Humphries misses 2-pt shot from 8 ft
8:01.0,,,28-36,,Offensive rebound by B. Beal
7:44.0,,,28-36,,A. Miller misses 2-pt shot at rim (block by S. Adams)
7:42.0,Defensive rebound by K. Durant,,28-36,,
7:40.0,Shooting foul by K. Humphries (drawn by K. Durant),,28-36,,
7:40.0,K. Durant makes free throw 1 of 2,1,29-36,,
7:40.0,,,29-36,,N. Hilario enters the game for K. Humphries
7:40.0,K. Durant makes free throw 2 of 2,1,30-36,,
7:17.0,,,30-36,,R. Butler misses 2-pt shot from 8 ft
7:16.0,Defensive rebound by K. Durant,,30-36,,
7:10.0,K. Durant misses 3-pt shot from 28 ft,,30-36,,
7:09.0,Offensive rebound by S. Adams,,30-36,,
7:03.0,A. Morrow misses 3-pt shot from 25 ft,,30-36,,
7:02.0,,,30-36,,Defensive rebound by A. Miller
6:55.0,,,30-36,,K. Seraphin misses 2-pt shot from 6 ft
6:53.0,Defensive rebound by S. Adams,,30-36,,
6:43.0,R. Westbrook misses 2-pt shot from 10 ft,,30-36,,
6:42.0,,,30-36,,Defensive rebound by A. Miller
6:36.0,,,30-36,,Turnover by R. Butler (lost ball; steal by R. Westbrook)
6:31.0,Shooting foul by K. Seraphin (drawn by K. Durant),,30-36,,
6:31.0,K. Durant makes free throw 1 of 2,1,31-36,,
6:31.0,,,31-36,,J. Wall enters the game for A. Miller
6:31.0,,,31-36,,M. Gortat enters the game for K. Seraphin
6:31.0,,,31-36,,P. Pierce enters the game for R. Butler
6:31.0,K. Durant makes free throw 2 of 2,1,32-36,,
6:21.0,,,32-36,,B. Beal misses 2-pt shot from 20 ft
6:20.0,Defensive rebound by S. Adams,,32-36,,
6:06.0,R. Westbrook misses 2-pt shot from 19 ft,,32-36,,
6:04.0,,,32-36,,Defensive rebound by P. Pierce
5:49.0,,,32-38,2,N. Hilario makes 2-pt shot at rim
5:34.0,K. Durant misses 3-pt shot from 24 ft,,32-38,,
5:34.0,,,32-38,,Defensive rebound by Team
5:34.0,Loose ball foul by S. Adams (drawn by M. Gortat),,32-38,,
5:34.0,Official timeout,,32-38,,
5:34.0,S. Ibaka enters the game for A. Morrow,,32-38,,
5:16.0,,,32-38,,B. Beal misses 2-pt shot from 4 ft
5:14.0,Defensive rebound by S. Adams,,32-38,,
5:00.0,Turnover by R. Westbrook (lost ball; steal by B. Beal),,32-38,,
4:56.0,,,32-40,2,J. Wall makes 2-pt shot at rim (assist by B. Beal)
4:34.0,S. Ibaka misses 2-pt shot from 8 ft,,32-40,,
4:33.0,,,32-40,,Defensive rebound by Team
4:15.0,,,32-40,,Turnover by B. Beal (lost ball; steal by D. Waiters)
4:03.0,D. Waiters makes 2-pt shot from 20 ft (assist by R. Westbrook),2,34-40,,
3:41.0,,,34-40,,N. Hilario misses 2-pt shot from 3 ft
3:40.0,Defensive rebound by S. Adams,,34-40,,
3:34.0,S. Ibaka misses 3-pt shot from 26 ft,,34-40,,
3:32.0,,,34-40,,Defensive rebound by J. Wall
3:26.0,,,34-43,3,B. Beal makes 3-pt shot from 26 ft (assist by J. Wall)
3:08.0,S. Ibaka misses 3-pt shot from 25 ft,,34-43,,
3:07.0,,,34-43,,Defensive rebound by P. Pierce
3:00.0,,,34-43,,P. Pierce misses 3-pt shot from 26 ft
2:59.0,Defensive rebound by S. Adams,,34-43,,
2:38.0,K. Durant makes 2-pt shot at rim (assist by S. Ibaka),2,36-43,,
2:16.0,,,36-43,,J. Wall misses 3-pt shot from 22 ft
2:15.0,Defensive rebound by D. Waiters,,36-43,,
2:08.0,Offensive foul by K. Durant,,36-43,,
2:08.0,Turnover by K. Durant (offensive foul),,36-43,,
2:08.0,,,36-43,,Washington full timeout
1:58.0,,,36-46,3,B. Beal makes 3-pt shot from 25 ft (assist by N. Hilario)
1:39.0,D. Waiters misses 2-pt shot from 22 ft,,36-46,,
1:38.0,,,36-46,,Defensive rebound by P. Pierce
1:33.0,,,36-48,2,N. Hilario makes 2-pt shot at rim (assist by J. Wall)
1:11.0,S. Ibaka misses 2-pt shot from 2 ft,,36-48,,
1:10.0,,,36-48,,Defensive rebound by M. Gortat
0:54.0,,,36-48,,P. Pierce misses 3-pt shot from 28 ft
0:53.0,Defensive rebound by R. Westbrook,,36-48,,
0:40.0,Turnover by S. Ibaka (bad pass; steal by J. Wall),,36-48,,
0:35.0,,,36-48,,B. Beal misses 3-pt shot from 27 ft
0:33.0,,,36-48,,Offensive rebound by P. Pierce
0:31.0,,,36-50,2,B. Beal makes 2-pt shot at rim (assist by P. Pierce)
0:10.0,R. Westbrook makes 2-pt shot from 10 ft,2,38-50,,
0:02.0,Personal take foul by R. Westbrook (drawn by J. Wall),,38-50,,
0:02.0,,,38-50,,K. Humphries enters the game for N. Hilario
0:02.0,,,38-50,,Washington full timeout
0:02.0,A. Roberson enters the game for S. Adams,,38-50,,
0:01.0,,,38-50,,B. Beal misses 3-pt shot from 27 ft (block by K. Durant)
0:01.0,,,38-50,,Offensive rebound by B. Beal
0:00.0,End of 2nd quarter,,,,End of 2nd quarter
12:00.0,Start of 3rd quarter,,,,Start of 3rd quarter
11:44.0,,,38-50,,B. Beal misses 2-pt shot from 18 ft
11:43.0,Defensive rebound by S. Adams,,38-50,,
11:29.0,K. Durant misses 2-pt shot from 16 ft,,38-50,,
11:29.0,,,38-50,,Defensive rebound by Team
11:29.0,Loose ball foul by S. Adams (drawn by B. Beal),,38-50,,
11:29.0,,,38-50,,Technical foul by Team
11:29.0,Technical foul by R. Westbrook,,38-50,,
11:14.0,,,38-50,,Turnover by J. Wall (bad pass; steal by A. Roberson)
11:07.0,S. Ibaka misses 2-pt shot from 18 ft,,38-50,,
11:06.0,,,38-50,,Defensive rebound by M. Gortat
10:46.0,,,38-50,,M. Gortat misses 2-pt shot from 17 ft
10:45.0,Defensive rebound by S. Ibaka,,38-50,,
10:31.0,S. Ibaka makes 2-pt shot from 11 ft (assist by R. Westbrook),2,40-50,,
10:14.0,,,40-50,,J. Wall misses 2-pt shot from 13 ft
10:12.0,Defensive rebound by K. Durant,,40-50,,
9:56.0,S. Ibaka misses 2-pt shot from 13 ft,,40-50,,
9:55.0,,,40-50,,Defensive rebound by P. Pierce
9:50.0,,,40-50,,Turnover by J. Wall (bad pass)
9:26.0,R. Westbrook misses 3-pt shot from 27 ft,,40-50,,
9:24.0,,,40-50,,Defensive rebound by B. Beal
9:09.0,,,40-50,,B. Beal misses 3-pt shot from 23 ft
9:08.0,Defensive rebound by A. Roberson,,40-50,,
9:00.0,K. Durant misses 2-pt shot from 2 ft,,40-50,,
9:00.0,Offensive rebound by Team,,40-50,,
9:00.0,,,40-50,,Loose ball foul by P. Pierce (drawn by S. Adams)
8:54.0,R. Westbrook misses 2-pt shot from 14 ft,,40-50,,
8:54.0,,,40-50,,Defensive rebound by M. Gortat
8:43.0,,,40-50,,B. Beal misses 3-pt shot from 23 ft
8:42.0,Defensive rebound by S. Adams,,40-50,,
8:38.0,R. Westbrook makes 2-pt shot from 6 ft,2,42-50,,
8:38.0,Shooting foul by J. Wall (drawn by R. Westbrook),,42-50,,
8:38.0,R. Westbrook makes free throw 1 of 1,1,43-50,,
8:20.0,,,43-52,2,B. Beal makes 2-pt shot from 13 ft (assist by N. Hilario)
8:09.0,K. Durant makes 3-pt shot from 27 ft,3,46-52,,
7:47.0,Violation by S. Ibaka (def goaltending),,46-52,,
7:47.0,,,46-54,2,N. Hilario makes 2-pt shot from 1 ft
7:35.0,S. Ibaka misses 2-pt shot from 17 ft,,46-54,,
7:34.0,Offensive rebound by S. Adams,,46-54,,
7:22.0,R. Westbrook makes 2-pt shot at rim (assist by K. Durant),2,48-54,,
7:07.0,,,48-54,,N. Hilario misses 2-pt shot from 12 ft
7:06.0,Defensive rebound by S. Ibaka,,48-54,,
6:58.0,S. Ibaka makes 3-pt shot from 25 ft (assist by R. Westbrook),3,51-54,,
6:57.0,,,51-54,,Washington full timeout
6:33.0,,,51-54,,Turnover by Team (shot clock)
6:14.0,R. Westbrook misses 3-pt shot from 26 ft,,51-54,,
6:12.0,Offensive rebound by S. Ibaka,,51-54,,
5:59.0,K. Durant misses 2-pt shot from 2 ft (block by M. Gortat),,51-54,,
5:59.0,Offensive rebound by Team,,51-54,,
5:57.0,Turnover by A. Roberson (bad pass; steal by J. Wall),,51-54,,
5:52.0,,,51-54,,J. Wall misses 2-pt shot at rim
5:50.0,Defensive rebound by S. Adams,,51-54,,
5:30.0,Turnover by K. Durant (lost ball; steal by P. Pierce),,51-54,,
5:11.0,,,51-54,,M. Gortat misses 2-pt shot from 2 ft
5:09.0,Defensive rebound by R. Westbrook,,51-54,,
5:04.0,R. Westbrook misses 2-pt shot from 21 ft,,51-54,,
5:02.0,,,51-54,,Defensive rebound by M. Gortat
4:55.0,,,51-54,,Shooting foul by R. Westbrook (drawn by J. Wall)
4:55.0,,,51-55,1,J. Wall makes free throw 1 of 2
4:55.0,N. Collison enters the game for S. Ibaka,,51-55,,
4:55.0,A. Morrow enters the game for K. Durant,,51-55,,
4:55.0,,,51-55,,K. Humphries enters the game for N. Hilario
4:55.0,,,51-56,1,J. Wall makes free throw 2 of 2
4:36.0,N. Collison makes 2-pt shot from 3 ft (assist by R. Westbrook),2,53-56,,
4:16.0,,,53-56,,Turnover by B. Beal (bad pass; steal by A. Morrow)
4:06.0,R. Westbrook makes 2-pt shot from 5 ft,2,55-56,,
3:52.0,,,55-56,,R. Butler enters the game for B. Beal
3:44.0,,,55-56,,J. Wall misses 2-pt shot from 19 ft
3:43.0,,,55-56,,Offensive rebound by P. Pierce
3:40.0,,,55-58,2,P. Pierce makes 2-pt shot from 2 ft
3:26.0,R. Westbrook makes 2-pt shot from 14 ft,2,57-58,,
3:26.0,Shooting foul by J. Wall (drawn by R. Westbrook),,57-58,,
3:26.0,D. Waiters enters the game for A. Roberson,,57-58,,
3:26.0,Violation by Team (delay of game),,57-58,,
3:26.0,R. Westbrook makes free throw 1 of 1,1,58-58,,
3:09.0,,,58-60,2,P. Pierce makes 2-pt shot from 2 ft
2:56.0,R. Westbrook misses 2-pt shot from 21 ft,,58-60,,
2:55.0,,,58-60,,Defensive rebound by J. Wall
2:45.0,,,58-62,2,M. Gortat makes 2-pt shot at rim (assist by J. Wall)
2:45.0,Oklahoma City full timeout,,58-62,,
2:45.0,K. Perkins enters the game for S. Adams,,58-62,,
2:32.0,D. Waiters misses 2-pt shot from 1 ft,,58-62,,
2:31.0,,,58-62,,Defensive rebound by R. Butler
2:25.0,,,58-62,,P. Pierce misses 3-pt shot from 23 ft
2:25.0,Defensive rebound by Team,,58-62,,
2:14.0,R. Westbrook makes 2-pt shot from 11 ft,2,60-62,,
1:57.0,,,60-62,,Turnover by R. Butler (lost ball; steal by N. Collison)
1:51.0,R. Westbrook makes 2-pt shot from 14 ft,2,62-62,,
1:32.0,,,62-65,3,R. Butler makes 3-pt shot from 22 ft (assist by J. Wall)
1:14.0,N. Collison misses 3-pt shot from 22 ft,,62-65,,
1:13.0,Offensive rebound by R. Westbrook,,62-65,,
1:13.0,Shooting foul by M. Gortat (drawn by R. Westbrook),,62-65,,
1:13.0,R. Westbrook makes free throw 1 of 2,1,63-65,,
1:13.0,,,63-65,,O. Porter enters the game for P. Pierce
1:13.0,R. Westbrook makes free throw 2 of 2,1,64-65,,
1:00.0,,,64-65,,O. Porter misses 3-pt shot from 23 ft
0:59.0,Defensive rebound by N. Collison,,64-65,,
0:54.0,R. Westbrook misses 2-pt shot from 17 ft,,64-65,,
0:52.0,,,64-65,,Defensive rebound by K. Humphries
0:48.0,,,64-67,2,M. Gortat makes 2-pt shot at rim (assist by J. Wall)
0:39.0,K. Perkins makes 2-pt shot from 6 ft (assist by R. Westbrook),2,66-67,,
0:31.0,,,66-70,3,J. Wall makes 3-pt shot from 26 ft
0:13.0,,,66-70,,Violation by J. Wall (kicked ball)
0:13.0,K. Durant enters the game for N. Collison,,66-70,,
0:03.0,R. Westbrook misses 3-pt shot from 27 ft,,66-70,,
0:02.0,,,66-70,,Defensive rebound by K. Humphries
0:01.0,,,66-70,,J. Wall misses 3-pt shot from 55 ft
0:00.0,,,66-70,,Offensive rebound by Team
0:00.0,End of 3rd quarter,,,,End of 3rd quarter
12:00.0,Start of 4th quarter,,,,Start of 4th quarter
11:43.0,D. Waiters misses 2-pt shot from 7 ft,,66-70,,
11:41.0,,,66-70,,Defensive rebound by R. Butler
11:26.0,,,66-70,,K. Seraphin misses 2-pt shot from 5 ft
11:25.0,,,66-70,,Offensive rebound by K. Humphries
11:19.0,,,66-70,,A. Miller misses 2-pt shot from 4 ft
11:17.0,,,66-70,,Offensive rebound by Team
11:10.0,,,66-70,,R. Butler misses 2-pt shot from 16 ft
11:09.0,Defensive rebound by K. Durant,,66-70,,
11:03.0,Shooting foul by K. Seraphin (drawn by K. Durant),,66-70,,
11:03.0,K. Durant misses free throw 1 of 2,,66-70,,
11:03.0,Offensive rebound by Team,,66-70,,
11:03.0,K. Durant makes free throw 2 of 2,1,67-70,,
10:46.0,,,67-72,2,K. Seraphin makes 2-pt shot from 12 ft
10:29.0,K. Durant makes 3-pt shot from 28 ft (assist by D. Waiters),3,70-72,,
10:02.0,,,70-72,,K. Seraphin misses 2-pt shot from 10 ft (block by K. Perkins)
10:00.0,Defensive rebound by K. Perkins,,70-72,,
9:52.0,D. Waiters misses 3-pt shot from 26 ft,,70-72,,
9:50.0,,,70-72,,Defensive rebound by A. Miller
9:46.0,,,70-74,2,K. Seraphin makes 2-pt shot at rim (assist by A. Miller)
9:38.0,A. Morrow makes 2-pt shot from 5 ft (assist by R. Jackson),2,72-74,,
9:38.0,Shooting foul by K. Humphries (drawn by A. Morrow),,72-74,,
9:38.0,,,72-74,,B. Beal enters the game for O. Porter
9:38.0,A. Morrow makes free throw 1 of 1,1,73-74,,
9:15.0,,,73-74,,A. Miller misses 2-pt shot from 16 ft
9:14.0,Defensive rebound by K. Durant,,73-74,,
9:10.0,D. Waiters makes 2-pt shot at rim (assist by K. Durant),2,75-74,,
8:50.0,,,75-74,,Shooting foul by K. Perkins (drawn by A. Miller)
8:50.0,Official timeout,,75-74,,
8:50.0,,,75-74,,N. Hilario enters the game for K. Humphries
8:50.0,,,75-74,,A. Miller misses free throw 1 of 2
8:50.0,,,75-74,,Offensive rebound by Team
8:50.0,,,75-74,,A. Miller misses free throw 2 of 2
8:49.0,Defensive rebound by A. Morrow,,75-74,,
8:40.0,K. Durant makes 3-pt shot from 26 ft (assist by R. Jackson),3,78-74,,
8:20.0,,,78-74,,Shooting foul by R. Jackson (drawn by B. Beal)
8:20.0,,,78-75,1,B. Beal makes free throw 1 of 2
8:20.0,,,78-75,,J. Wall enters the game for A. Miller
8:20.0,,,78-76,1,B. Beal makes free throw 2 of 2
8:06.0,K. Durant makes 2-pt shot from 1 ft,2,80-76,,
7:51.0,,,80-78,2,K. Seraphin makes 2-pt shot from 11 ft
7:34.0,D. Waiters misses 3-pt shot from 25 ft,,80-78,,
7:33.0,Offensive rebound by K. Perkins,,80-78,,
7:32.0,,,80-78,,M. Gortat enters the game for K. Seraphin
7:24.0,K. Perkins makes 2-pt shot from 11 ft (assist by R. Jackson),2,82-78,,
7:03.0,,,82-78,,B. Beal misses 2-pt shot from 3 ft
7:02.0,Defensive rebound by K. Perkins,,82-78,,
6:47.0,A. Morrow misses 3-pt shot from 23 ft,,82-78,,
6:46.0,,,82-78,,Defensive rebound by B. Beal
6:36.0,,,82-80,2,M. Gortat makes 2-pt shot from 1 ft (assist by J. Wall)
6:34.0,Oklahoma City full timeout,,82-80,,
6:34.0,R. Westbrook enters the game for D. Waiters,,82-80,,
6:34.0,,,82-80,,P. Pierce enters the game for R. Butler
6:18.0,Shooting foul by M. Gortat (drawn by K. Durant),,82-80,,
6:18.0,K. Durant makes free throw 1 of 2,1,83-80,,
6:18.0,K. Durant makes free throw 2 of 2,1,84-80,,
6:06.0,,,84-80,,N. Hilario misses 3-pt shot from 24 ft
6:05.0,Defensive rebound by R. Westbrook,,84-80,,
5:41.0,A. Morrow makes 3-pt shot from 26 ft (assist by R. Jackson),3,87-80,,
5:30.0,,,87-80,,Shooting foul by K. Perkins (drawn by N. Hilario)
5:30.0,,,87-80,,N. Hilario misses free throw 1 of 2
5:30.0,,,87-80,,Offensive rebound by Team
5:30.0,S. Adams enters the game for K. Perkins,,87-80,,
5:30.0,,,87-80,,N. Hilario misses free throw 2 of 2
5:28.0,,,87-80,,Offensive rebound by P. Pierce
