time,Detroit,pts.away,score,pts.home,Portland
0:49.0,T. Prince misses 2-pt shot from 20 ft,,24-32,,
0:48.0,Offensive rebound by A. Drummond,,24-32,,
0:44.0,A. Drummond misses 2-pt shot from 9 ft,,24-32,,
0:42.0,,,24-32,,Defensive rebound by L. Aldridge
0:33.0,S. Dinwiddie enters the game for R. Jackson,,24-32,,
0:30.0,,,24-32,,C. McCollum misses 3-pt shot from 26 ft
0:29.0,,,24-32,,Offensive rebound by C. Kaman
0:15.0,,,24-32,,L. Aldridge misses 2-pt shot from 4 ft
0:14.0,,,24-32,,Offensive rebound by C. Kaman
0:05.0,,,24-32,,D. Lillard misses 2-pt shot from 7 ft
0:04.0,,,24-32,,Offensive rebound by L. Aldridge
0:04.0,,,24-34,2,L. Aldridge makes 2-pt shot from 1 ft
0:04.0,,,24-34,,Shooting foul by A. Tolliver (drawn by L. Aldridge)
0:04.0,,,24-34,,S. Blake enters the game for D. Lillard
0:04.0,,,24-35,1,L. Aldridge makes free throw 1 of 1
0:00.0,S. Dinwiddie misses 3-pt shot from 26 ft,,24-35,,
0:00.0,Offensive rebound by Team,,24-35,,
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:40.0,,,24-35,,C. Kaman misses 2-pt shot from 7 ft
11:38.0,Defensive rebound by S. Dinwiddie,,24-35,,
11:25.0,J. Meeks misses 2-pt shot from 20 ft,,24-35,,
11:24.0,,,24-35,,Defensive rebound by D. Wright
11:09.0,,,24-35,,D. Wright misses 3-pt shot from 23 ft
11:08.0,Defensive rebound by S. Dinwiddie,,24-35,,
10:58.0,S. Dinwiddie makes 3-pt shot from 25 ft,3,27-35,,
10:43.0,,,27-35,,C. McCollum misses 2-pt shot from 5 ft
10:42.0,Defensive rebound by S. Dinwiddie,,27-35,,
10:35.0,S. Dinwiddie misses 2-pt shot from 6 ft,,27-35,,
10:33.0,,,27-35,,Defensive rebound by M. Leonard
10:28.0,,,27-37,2,C. Kaman makes 2-pt shot from 1 ft (assist by S. Blake)
10:28.0,,,27-37,,Shooting foul by T. Prince (drawn by C. Kaman)
10:28.0,,,27-37,,C. Kaman misses free throw 1 of 1
10:27.0,Defensive rebound by A. Tolliver,,27-37,,
10:12.0,J. Meeks makes 3-pt shot from 25 ft (assist by S. Dinwiddie),3,30-37,,
9:59.0,Personal foul by J. Meeks (drawn by S. Blake),,30-37,,
9:51.0,,,30-37,,Shooting foul by A. Tolliver (drawn by M. Leonard)
9:51.0,,,30-39,2,M. Leonard makes 2-pt shot from 11 ft
9:51.0,,,30-40,1,M. Leonard makes free throw 1 of 1
9:30.0,G. Monroe makes 2-pt shot from 14 ft,2,32-40,,
9:16.0,,,32-40,,C. Kaman misses 2-pt shot from 13 ft
9:16.0,Defensive rebound by Team,,32-40,,
9:16.0,,,32-40,,Loose ball foul by M. Leonard (drawn by A. Tolliver)
8:53.0,A. Tolliver makes 2-pt shot from 19 ft (assist by T. Prince),2,34-40,,
8:42.0,Violation by J. Meeks (kicked ball),,34-40,,
8:42.0,Official timeout,,34-40,,
8:42.0,,,34-40,,N. Batum enters the game for C. McCollum
8:42.0,,,34-40,,A. Afflalo enters the game for D. Wright
8:28.0,,,34-42,2,C. Kaman makes 2-pt shot from 18 ft (assist by S. Blake)
7:57.0,,,34-45,3,M. Leonard makes 3-pt shot from 22 ft (assist by N. Batum)
7:30.0,T. Prince misses 2-pt shot from 14 ft,,34-45,,
7:29.0,,,34-45,,Defensive rebound by M. Leonard
7:25.0,,,34-45,,Offensive foul by A. Afflalo
7:25.0,,,34-45,,Turnover by A. Afflalo (offensive foul)
7:05.0,G. Monroe misses 2-pt shot from 6 ft,,34-45,,
7:03.0,,,34-45,,Defensive rebound by M. Leonard
6:53.0,,,34-47,2,C. Kaman makes 2-pt shot from 5 ft
6:34.0,S. Dinwiddie misses 3-pt shot from 26 ft,,34-47,,
6:32.0,Offensive rebound by G. Monroe,,34-47,,
6:32.0,G. Monroe makes 2-pt shot at rim,2,36-47,,
6:13.0,,,36-47,,A. Afflalo misses 2-pt shot from 12 ft
6:12.0,Defensive rebound by A. Tolliver,,36-47,,
6:05.0,A. Tolliver misses 3-pt shot from 26 ft,,36-47,,
6:04.0,,,36-47,,Defensive rebound by C. Kaman
5:42.0,,,36-49,2,M. Leonard makes 2-pt shot from 5 ft (assist by C. Kaman)
5:36.0,Detroit full timeout,,36-49,,
5:36.0,,,36-49,,R. Lopez enters the game for C. Kaman
5:36.0,A. Drummond enters the game for T. Prince,,36-49,,
5:36.0,K. Caldwell-Pope enters the game for A. Tolliver,,36-49,,
5:36.0,R. Jackson enters the game for S. Dinwiddie,,36-49,,
5:26.0,G. Monroe makes 2-pt shot from 1 ft,2,38-49,,
5:03.0,,,38-51,2,R. Lopez makes 2-pt shot from 8 ft
4:41.0,G. Monroe misses 2-pt shot from 15 ft,,38-51,,
4:40.0,,,38-51,,Defensive rebound by A. Afflalo
4:27.0,,,38-53,2,R. Lopez makes 2-pt shot at rim (assist by S. Blake)
4:27.0,,,38-53,,Shooting foul by K. Caldwell-Pope (drawn by R. Lopez)
4:27.0,,,38-53,,L. Aldridge enters the game for M. Leonard
4:27.0,,,38-53,,D. Lillard enters the game for S. Blake
4:27.0,,,38-54,1,R. Lopez makes free throw 1 of 1
4:13.0,A. Drummond misses 2-pt shot from 3 ft,,38-54,,
4:11.0,,,38-54,,Defensive rebound by A. Afflalo
4:06.0,Personal foul by R. Jackson (drawn by A. Afflalo),,38-54,,
4:06.0,,,38-55,1,A. Afflalo makes free throw 1 of 2
4:06.0,,,38-56,1,A. Afflalo makes free throw 2 of 2
3:58.0,R. Jackson misses 2-pt shot from 13 ft,,38-56,,
3:57.0,,,38-56,,Defensive rebound by N. Batum
3:46.0,,,38-56,,Turnover by N. Batum (bad pass; steal by G. Monroe)
3:40.0,K. Caldwell-Pope makes 2-pt shot at rim,2,40-56,,
3:24.0,,,40-56,,L. Aldridge misses 2-pt shot from 18 ft
3:23.0,Defensive rebound by K. Caldwell-Pope,,40-56,,
3:17.0,A. Drummond makes 2-pt shot from 1 ft (assist by R. Jackson),2,42-56,,
2:53.0,,,42-56,,R. Lopez misses 2-pt shot from 8 ft
2:51.0,Defensive rebound by G. Monroe,,42-56,,
2:44.0,R. Jackson misses 3-pt shot from 26 ft,,42-56,,
2:43.0,,,42-56,,Defensive rebound by N. Batum
2:31.0,,,42-58,2,A. Afflalo makes 2-pt shot from 5 ft
2:17.0,Shooting foul by L. Aldridge (drawn by G. Monroe),,42-58,,
2:17.0,,,42-58,,Portland full timeout
2:17.0,C. Butler enters the game for J. Meeks,,42-58,,
2:17.0,G. Monroe makes free throw 1 of 2,1,43-58,,
2:17.0,G. Monroe makes free throw 2 of 2,1,44-58,,
1:56.0,,,44-60,2,L. Aldridge makes 2-pt shot from 13 ft
1:35.0,R. Jackson misses 2-pt shot from 7 ft,,44-60,,
1:34.0,,,44-60,,Defensive rebound by L. Aldridge
1:23.0,,,44-62,2,R. Lopez makes 2-pt shot at rim (assist by D. Lillard)
0:54.0,G. Monroe misses 2-pt shot from 1 ft,,44-62,,
0:53.0,Offensive rebound by A. Drummond,,44-62,,
0:53.0,A. Drummond makes 2-pt shot at rim,2,46-62,,
0:39.0,,,46-62,,L. Aldridge misses 2-pt shot from 13 ft
0:38.0,Defensive rebound by A. Drummond,,46-62,,
0:23.0,K. Caldwell-Pope misses 2-pt shot from 4 ft (block by R. Lopez),,46-62,,
0:22.0,Offensive rebound by A. Drummond,,46-62,,
0:19.0,A. Drummond misses 2-pt shot from 8 ft,,46-62,,
0:17.0,,,46-62,,Defensive rebound by L. Aldridge
0:00.0,,,46-62,,Shooting foul by A. Drummond (drawn by D. Lillard)
0:00.0,,,46-63,1,D. Lillard makes free throw 1 of 2
0:00.0,,,46-64,1,D. Lillard makes free throw 2 of 2
0:00.0,R. Jackson misses 3-pt shot from 53 ft,,46-64,,
0:00.0,Offensive rebound by Team,,46-64,,
0:00.0,End of 2nd quarter,,,,End of 2nd quarter
12:00.0,Start of 3rd quarter,,,,Start of 3rd quarter
11:46.0,,,46-64,,A. Afflalo misses 3-pt shot from 24 ft
11:45.0,Defensive rebound by A. Drummond,,46-64,,
11:37.0,Shooting foul by L. Aldridge (drawn by G. Monroe),,46-64,,
11:37.0,G. Monroe makes free throw 1 of 2,1,47-64,,
11:37.0,G. Monroe makes free throw 2 of 2,1,48-64,,
11:22.0,,,48-64,,A. Afflalo misses 3-pt shot from 25 ft
11:21.0,Defensive rebound by A. Drummond,,48-64,,
11:11.0,R. Jackson makes 2-pt shot from 5 ft,2,50-64,,
10:47.0,,,50-66,2,L. Aldridge makes 2-pt shot from 12 ft (assist by A. Afflalo)
10:32.0,R. Jackson misses 2-pt shot from 2 ft,,50-66,,
10:31.0,,,50-66,,Defensive rebound by D. Lillard
10:20.0,,,50-68,2,A. Afflalo makes 2-pt shot from 14 ft (assist by L. Aldridge)
9:55.0,K. Caldwell-Pope makes 2-pt shot from 1 ft (assist by G. Monroe),2,52-68,,
9:32.0,,,52-70,2,L. Aldridge makes 2-pt shot from 11 ft (assist by D. Lillard)
9:16.0,C. Butler makes 2-pt shot from 13 ft,2,54-70,,
8:54.0,,,54-72,2,L. Aldridge makes 2-pt shot from 14 ft
8:30.0,A. Drummond misses 2-pt shot from 6 ft,,54-72,,
8:28.0,,,54-72,,Defensive rebound by L. Aldridge
8:19.0,,,54-72,,Shooting foul by G. Monroe (drawn by L. Aldridge)
8:19.0,,,54-73,1,L. Aldridge makes free throw 1 of 2
8:19.0,,,54-74,1,L. Aldridge makes free throw 2 of 2
8:03.0,R. Jackson makes 2-pt shot from 14 ft,2,56-74,,
7:46.0,,,56-74,,N. Batum misses 2-pt shot from 11 ft
7:43.0,Defensive rebound by C. Butler,,56-74,,
7:38.0,Turnover by R. Jackson (bad pass; steal by R. Lopez),,56-74,,
7:29.0,,,56-76,2,D. Lillard makes 2-pt shot from 1 ft
7:29.0,Detroit full timeout,,56-76,,
7:12.0,K. Caldwell-Pope misses 3-pt shot from 25 ft,,56-76,,
7:11.0,,,56-76,,Defensive rebound by N. Batum
7:03.0,,,56-76,,Shooting foul by A. Drummond (drawn by D. Lillard)
7:03.0,,,56-76,,D. Lillard misses free throw 1 of 2
7:03.0,,,56-76,,Offensive rebound by Team
7:03.0,,,56-77,1,D. Lillard makes free throw 2 of 2
6:45.0,A. Drummond makes 2-pt shot from 6 ft,2,58-77,,
6:32.0,,,58-79,2,N. Batum makes 2-pt shot from 2 ft (assist by D. Lillard)
6:12.0,K. Caldwell-Pope makes 2-pt shot from 20 ft (assist by G. Monroe),2,60-79,,
5:57.0,,,60-79,,Shooting foul by R. Jackson (drawn by D. Lillard)
5:57.0,,,60-80,1,D. Lillard makes free throw 1 of 2
5:57.0,,,60-81,1,D. Lillard makes free throw 2 of 2
5:41.0,R. Jackson makes 3-pt shot from 26 ft,3,63-81,,
5:20.0,,,63-81,,Turnover by L. Aldridge (traveling)
5:11.0,G. Monroe makes 2-pt shot from 7 ft (assist by R. Jackson),2,65-81,,
4:49.0,,,65-83,2,R. Lopez makes 2-pt shot at rim (assist by D. Lillard)
4:27.0,K. Caldwell-Pope misses 2-pt shot from 14 ft,,65-83,,
4:25.0,,,65-83,,Defensive rebound by A. Afflalo
4:16.0,,,65-86,3,A. Afflalo makes 3-pt shot from 24 ft (assist by D. Lillard)
4:02.0,C. Butler makes 3-pt shot from 26 ft (assist by G. Monroe),3,68-86,,
3:45.0,,,68-86,,L. Aldridge misses 2-pt shot from 15 ft
3:45.0,Defensive rebound by Team,,68-86,,
3:45.0,,,68-86,,C. Kaman enters the game for R. Lopez
3:45.0,,,68-86,,C. McCollum enters the game for A. Afflalo
3:45.0,J. Meeks enters the game for G. Monroe,,68-86,,
3:45.0,A. Tolliver enters the game for K. Caldwell-Pope,,68-86,,
3:35.0,C. Butler makes 3-pt shot from 25 ft (assist by R. Jackson),3,71-86,,
3:16.0,,,71-86,,D. Lillard misses 3-pt shot from 26 ft
3:15.0,Defensive rebound by A. Drummond,,71-86,,
2:53.0,R. Jackson misses 2-pt shot from 15 ft,,71-86,,
2:51.0,,,71-86,,Defensive rebound by L. Aldridge
2:39.0,,,71-86,,C. McCollum misses 2-pt shot from 16 ft
2:37.0,,,71-86,,Offensive rebound by L. Aldridge
2:37.0,,,71-86,,L. Aldridge misses 2-pt shot at rim
2:36.0,Defensive rebound by A. Drummond,,71-86,,
2:29.0,J. Meeks makes 2-pt shot from 6 ft (assist by R. Jackson),2,73-86,,
2:29.0,Shooting foul by C. McCollum (drawn by J. Meeks),,73-86,,
2:29.0,,,73-86,,Portland full timeout
2:29.0,S. Dinwiddie enters the game for A. Drummond,,73-86,,
2:29.0,T. Prince enters the game for R. Jackson,,73-86,,
2:29.0,,,73-86,,D. Wright enters the game for N. Batum
2:29.0,,,73-86,,S. Blake enters the game for D. Lillard
2:29.0,A. Drummond enters the game for C. Butler,,73-86,,
2:29.0,J. Meeks makes free throw 1 of 1,1,74-86,,
2:08.0,,,74-88,2,L. Aldridge makes 2-pt shot from 2 ft
1:48.0,Turnover by S. Dinwiddie (back court),,74-88,,
1:31.0,,,74-91,3,C. McCollum makes 3-pt shot from 25 ft (assist by S. Blake)
1:18.0,J. Meeks makes 2-pt shot from 1 ft (assist by T. Prince),2,76-91,,
0:58.0,,,76-93,2,C. Kaman makes 2-pt shot from 1 ft (assist by S. Blake)
0:38.0,S. Dinwiddie misses 3-pt shot from 26 ft,,76-93,,
0:37.0,,,76-93,,Defensive rebound by D. Wright
0:27.0,,,76-95,2,D. Wright makes 2-pt shot from 1 ft
0:06.0,A. Tolliver misses 3-pt shot from 24 ft,,76-95,,
0:04.0,Offensive rebound by A. Drummond,,76-95,,
0:04.0,A. Drummond misses 2-pt shot from 1 ft,,76-95,,
0:04.0,Offensive rebound by A. Drummond,,76-95,,
0:04.0,A. Drummond makes 2-pt shot from 1 ft,2,78-95,,
0:00.0,,,78-95,,C. McCollum misses 2-pt shot from 16 ft (block by T. Prince)
0:00.0,,,78-95,,Offensive rebound by Team
0:00.0,End of 3rd quarter,,,,End of 3rd quarter
12:00.0,Start of 4th quarter,,,,Start of 4th quarter
11:45.0,A. Drummond makes 2-pt shot at rim (assist by T. Prince),2,80-95,,
11:27.0,,,80-95,,Turnover by C. Kaman (3 sec)
11:07.0,A. Tolliver misses 3-pt shot from 23 ft,,80-95,,
11:06.0,,,80-95,,Defensive rebound by D. Wright
10:57.0,,,80-97,2,C. Kaman makes 2-pt shot from 14 ft (assist by C. McCollum)
10:31.0,T. Prince makes 2-pt shot from 6 ft,2,82-97,,
10:06.0,,,82-99,2,C. Kaman makes 2-pt shot from 16 ft (assist by S. Blake)
9:45.0,S. Dinwiddie makes 2-pt shot from 14 ft (assist by J. Meeks),2,84-99,,
9:30.0,,,84-101,2,C. Kaman makes 2-pt shot from 17 ft (assist by S. Blake)
9:06.0,T. Prince misses 2-pt shot from 20 ft,,84-101,,
9:05.0,,,84-101,,Defensive rebound by C. Kaman
8:54.0,,,84-101,,C. Kaman misses 2-pt shot from 1 ft
8:53.0,Defensive rebound by A. Drummond,,84-101,,
8:45.0,T. Prince makes 3-pt shot from 23 ft (assist by S. Dinwiddie),3,87-101,,
8:45.0,Loose ball foul by A. Drummond (drawn by C. McCollum),,87-101,,
8:45.0,Official timeout,,87-101,,
8:45.0,G. Monroe enters the game for A. Drummond,,87-101,,
8:36.0,Personal foul by S. Dinwiddie (drawn by D. Wright),,87-101,,
8:36.0,,,87-101,,R. Lopez enters the game for C. Kaman
8:29.0,,,87-101,,C. McCollum misses 3-pt shot from 27 ft
8:28.0,,,87-101,,Offensive rebound by R. Lopez
8:16.0,,,87-101,,M. Leonard misses 3-pt shot from 26 ft
8:15.0,Defensive rebound by J. Meeks,,87-101,,
7:54.0,G. Monroe misses 2-pt shot from 1 ft,,87-101,,
7:53.0,,,87-101,,Defensive rebound by M. Leonard
7:46.0,,,87-101,,Offensive foul by C. McCollum
7:46.0,,,87-101,,Turnover by C. McCollum (offensive foul)
7:46.0,,,87-101,,D. Lillard enters the game for D. Wright
7:46.0,,,87-101,,N. Batum enters the game for S. Blake
7:34.0,Shooting foul by C. McCollum (drawn by J. Meeks),,87-101,,
7:34.0,J. Meeks makes free throw 1 of 2,1,88-101,,
7:34.0,J. Meeks makes free throw 2 of 2,1,89-101,,
7:19.0,,,89-103,2,M. Leonard makes 2-pt shot at rim (assist by R. Lopez)
6:59.0,G. Monroe misses 2-pt shot from 1 ft (block by R. Lopez),,89-103,,
6:57.0,,,89-103,,Defensive rebound by R. Lopez
6:46.0,,,89-103,,N. Batum misses 3-pt shot from 23 ft
6:45.0,,,89-103,,Offensive rebound by R. Lopez
6:41.0,,,89-103,,Turnover by R. Lopez (lost ball; steal by G. Monroe)
6:33.0,J. Meeks misses 3-pt shot from 25 ft,,89-103,,
6:32.0,,,89-103,,Defensive rebound by N. Batum
6:20.0,,,89-106,3,D. Lillard makes 3-pt shot from 22 ft
6:01.0,J. Meeks misses 2-pt shot from 19 ft,,89-106,,
6:00.0,,,89-106,,Defensive rebound by M. Leonard
5:49.0,,,89-109,3,D. Lillard makes 3-pt shot from 26 ft
5:47.0,Detroit full timeout,,89-109,,
5:47.0,A. Drummond enters the game for G. Monroe,,89-109,,
5:47.0,R. Jackson enters the game for S. Dinwiddie,,89-109,,
5:47.0,,,89-109,,A. Afflalo enters the game for C. McCollum
5:37.0,R. Jackson misses 2-pt shot from 9 ft,,89-109,,
5:35.0,Offensive rebound by A. Drummond,,89-109,,
5:23.0,A. Tolliver misses 2-pt shot from 19 ft,,89-109,,
5:22.0,,,89-109,,Defensive rebound by N. Batum
5:06.0,,,89-111,2,D. Lillard makes 2-pt shot from 21 ft
4:46.0,A. Tolliver misses 3-pt shot from 26 ft,,89-111,,
4:45.0,,,89-111,,Defensive rebound by D. Lillard
4:42.0,,,89-111,,Turnover by D. Lillard (bad pass; steal by A. Tolliver)
4:35.0,Shooting foul by M. Leonard (drawn by J. Meeks),,89-111,,
4:35.0,J. Meeks makes free throw 1 of 2,1,90-111,,
4:35.0,S. Williams enters the game for T. Prince,,90-111,,
4:35.0,C. Martin enters the game for A. Tolliver,,90-111,,
4:35.0,J. Meeks makes free throw 2 of 2,1,91-111,,
4:27.0,,,91-111,,Offensive foul by M. Leonard
4:27.0,,,91-111,,Turnover by M. Leonard (offensive foul)
4:27.0,K. Caldwell-Pope enters the game for J. Meeks,,91-111,,
4:15.0,S. Williams misses 3-pt shot from 23 ft,,91-111,,
4:14.0,Offensive rebound by A. Drummond,,91-111,,
4:13.0,,,91-111,,Personal foul by R. Lopez (drawn by A. Drummond)
4:13.0,J. Lucas III enters the game for R. Jackson,,91-111,,
4:13.0,J. Anthony enters the game for A. Drummond,,91-111,,
4:13.0,,,91-111,,A. Crabbe enters the game for N. Batum
4:13.0,,,91-111,,J. Freeland enters the game for R. Lopez
4:13.0,,,91-111,,C. McCollum enters the game for D. Lillard
4:02.0,C. Martin makes 2-pt shot from 19 ft,2,93-111,,
3:46.0,,,93-113,2,M. Leonard makes 2-pt shot at rim (assist by C. McCollum)
3:27.0,C. Martin makes 2-pt shot from 1 ft (assist by J. Lucas III),2,95-113,,
3:11.0,,,95-116,3,M. Leonard makes 3-pt shot from 26 ft (assist by A. Crabbe)
2:48.0,K. Caldwell-Pope misses 2-pt shot from 16 ft,,95-116,,
2:47.0,,,95-116,,Defensive rebound by M. Leonard
2:47.0,,,95-116,,Portland full timeout
2:47.0,,,95-116,,D. Wright enters the game for A. Afflalo
2:25.0,,,95-116,,A. Crabbe misses 3-pt shot from 28 ft
2:24.0,Defensive rebound by C. Martin,,95-116,,
2:14.0,Turnover by S. Williams (bad pass; steal by D. Wright),,95-116,,
2:10.0,,,95-118,2,D. Wright makes 2-pt shot from 1 ft
1:54.0,C. Martin misses 3-pt shot from 25 ft,,95-118,,
1:53.0,,,95-118,,Defensive rebound by M. Leonard
1:36.0,,,95-118,,J. Freeland misses 2-pt shot from 15 ft
1:34.0,Defensive rebound by J. Lucas III,,95-118,,
1:20.0,C. Martin misses 3-pt shot from 25 ft,,95-118,,
1:18.0,,,95-118,,Defensive rebound by A. Crabbe
1:09.0,,,95-118,,Turnover by C. McCollum (bad pass; steal by S. Williams)
1:05.0,K. Caldwell-Pope makes 2-pt shot from 2 ft (assist by S. Williams),2,97-118,,
1:05.0,,,97-118,,J. Freeland ejected from game
1:05.0,,,97-118,,S. Blake enters the game for J. Freeland
1:05.0,S. Williams ejected from game,,97-118,,
1:05.0,A. Tolliver enters the game for S. Williams,,97-118,,
0:51.0,,,97-118,,C. McCollum misses 2-pt shot from 2 ft (block by J. Anthony)
0:50.0,Defensive rebound by K. Caldwell-Pope,,97-118,,
0:46.0,K. Caldwell-Pope makes 2-pt shot from 21 ft,2,99-118,,
0:30.0,,,99-118,,C. McCollum misses 2-pt shot from 19 ft
0:29.0,Defensive rebound by C. Martin,,99-118,,
0:12.0,K. Caldwell-Pope misses 3-pt shot from 26 ft,,99-118,,
0:11.0,,,99-118,,Defensive rebound by Team
0:00.0,End of 4th quarter,,,,End of 4th quarter
