time,Milwaukee,pts.away,score,pts.home,Golden State
5:10.0,,,81-91,,Offensive rebound by D. Green
5:10.0,,,81-93,2,D. Green makes 2-pt shot from 1 ft
4:59.0,M. Carter-Williams makes 2-pt shot from 20 ft,2,83-93,,
4:37.0,,,83-93,,Turnover by A. Iguodala (bad pass; steal by E. Ilyasova)
4:27.0,Turnover by K. Middleton (lost ball; steal by A. Iguodala),,83-93,,
4:11.0,,,83-93,,S. Livingston misses 2-pt shot from 8 ft
4:10.0,Defensive rebound by K. Middleton,,83-93,,
3:56.0,M. Carter-Williams misses 3-pt shot from 24 ft,,83-93,,
3:54.0,,,83-93,,Defensive rebound by D. Green
3:43.0,,,83-93,,Shooting foul by G. Antetokounmpo (drawn by A. Iguodala)
3:43.0,,,83-94,1,A. Iguodala makes free throw 1 of 2
3:43.0,,,83-95,1,A. Iguodala makes free throw 2 of 2
3:22.0,K. Middleton misses 3-pt shot from 25 ft (block by A. Iguodala),,83-95,,
3:21.0,Offensive rebound by G. Antetokounmpo,,83-95,,
3:15.0,G. Antetokounmpo makes 2-pt shot from 19 ft,2,85-95,,
3:10.0,,,85-95,,Golden State full timeout
2:50.0,,,85-95,,K. Thompson misses 3-pt shot from 25 ft
2:50.0,Defensive rebound by E. Ilyasova,,85-95,,
2:33.0,E. Ilyasova makes 2-pt shot from 2 ft (assist by G. Antetokounmpo),2,87-95,,
2:19.0,,,87-97,2,S. Livingston makes 2-pt shot at rim (assist by D. Green)
2:01.0,Turnover by G. Antetokounmpo (bad pass; steal by K. Thompson),,87-97,,
1:56.0,,,87-100,3,S. Curry makes 3-pt shot from 25 ft (assist by D. Green)
1:39.0,G. Antetokounmpo makes 2-pt shot from 23 ft (assist by M. Carter-Williams),2,89-100,,
1:24.0,,,89-100,,K. Thompson misses 2-pt shot from 2 ft
1:23.0,Defensive rebound by K. Middleton,,89-100,,
1:16.0,Shooting foul by D. Green (drawn by K. Middleton),,89-100,,
1:16.0,K. Middleton makes free throw 1 of 2,1,90-100,,
1:16.0,K. Middleton makes free throw 2 of 2,1,91-100,,
0:59.0,,,91-100,,K. Thompson misses 3-pt shot from 23 ft
0:58.0,Defensive rebound by M. Carter-Williams,,91-100,,
0:51.0,G. Antetokounmpo misses 2-pt shot from 20 ft,,91-100,,
0:50.0,,,91-100,,Defensive rebound by D. Green
0:31.0,,,91-102,2,S. Livingston makes 2-pt shot at rim (assist by K. Thompson)
0:14.0,E. Ilyasova makes 2-pt shot at rim,2,93-102,,
0:14.0,Shooting foul by A. Iguodala (drawn by E. Ilyasova),,93-102,,
0:14.0,E. Ilyasova misses free throw 1 of 1,,93-102,,
0:13.0,,,93-102,,Defensive rebound by D. Green
0:00.0,End of 4th quarter,,,,End of 4th quarter
