time,Detroit,pts.away,score,pts.home,New Orleans
4:30.0,Defensive rebound by A. Drummond,,73-79,,
4:27.0,,,73-79,,Personal foul by A. Ajinca (drawn by T. Prince)
4:27.0,Violation by Team (delay of game),,73-79,,
4:27.0,T. Prince makes free throw 1 of 2,1,74-79,,
4:27.0,,,74-79,,T. Evans enters the game for Q. Pondexter
4:27.0,,,74-79,,O. Asik enters the game for A. Ajinca
4:27.0,T. Prince makes free throw 2 of 2,1,75-79,,
4:04.0,,,75-79,,A. Davis misses 2-pt shot from 14 ft
4:03.0,Defensive rebound by A. Drummond,,75-79,,
3:58.0,R. Jackson makes 2-pt shot at rim,2,77-79,,
3:40.0,,,77-79,,O. Asik misses 2-pt shot at rim (block by A. Drummond)
3:38.0,Defensive rebound by T. Prince,,77-79,,
3:33.0,A. Drummond misses 2-pt shot from 2 ft (block by N. Cole),,77-79,,
3:25.0,,,77-79,,Defensive rebound by A. Davis
3:22.0,,,77-81,2,O. Asik makes 2-pt shot at rim (assist by T. Evans)
3:11.0,Turnover by R. Jackson (bad pass),,77-81,,
3:00.0,,,77-81,,Turnover by T. Evans (lost ball)
3:00.0,,,77-81,,Loose ball foul by T. Evans (drawn by A. Drummond)
2:50.0,G. Monroe misses 2-pt shot from 1 ft (block by A. Davis),,77-81,,
2:50.0,,,77-81,,Defensive rebound by Team
2:50.0,Official timeout,,77-81,,
2:50.0,,,77-81,,A. Ajinca enters the game for O. Asik
2:50.0,K. Caldwell-Pope enters the game for T. Prince,,77-81,,
2:31.0,Personal foul by R. Jackson (drawn by A. Davis),,77-81,,
2:18.0,,,77-81,,E. Gordon misses 3-pt shot from 24 ft
2:16.0,Defensive rebound by R. Jackson,,77-81,,
2:11.0,R. Jackson makes 2-pt shot from 19 ft,2,79-81,,
1:45.0,,,79-81,,T. Evans misses 2-pt shot from 18 ft
1:43.0,Defensive rebound by K. Caldwell-Pope,,79-81,,
1:31.0,,,79-81,,Violation by A. Davis (kicked ball)
1:31.0,,,79-81,,O. Asik enters the game for A. Ajinca
1:31.0,,,79-81,,Q. Pondexter enters the game for E. Gordon
1:24.0,R. Jackson makes 2-pt shot from 2 ft,2,81-81,,
1:24.0,,,81-81,,New Orleans full timeout
1:24.0,,,81-81,,E. Gordon enters the game for Q. Pondexter
1:14.0,,,81-83,2,A. Davis makes 2-pt shot from 15 ft (assist by T. Evans)
0:58.0,K. Caldwell-Pope misses 3-pt shot from 25 ft,,81-83,,
0:56.0,,,81-83,,Defensive rebound by A. Davis
0:41.0,,,81-85,2,T. Evans makes 2-pt shot from 2 ft
0:41.0,Detroit full timeout,,81-85,,
0:35.0,G. Monroe makes 2-pt shot from 1 ft (assist by A. Drummond),2,83-85,,
0:18.0,,,83-87,2,A. Davis makes 2-pt shot from 17 ft (assist by T. Evans)
0:18.0,Detroit full timeout,,83-87,,
0:18.0,,,83-87,,D. Cunningham enters the game for O. Asik
0:18.0,,,83-87,,Q. Pondexter enters the game for E. Gordon
0:15.0,J. Meeks makes 2-pt shot from 18 ft (assist by G. Monroe),2,85-87,,
0:15.0,,,85-87,,New Orleans full timeout
0:15.0,,,85-87,,L. Babbitt enters the game for Q. Pondexter
0:15.0,,,85-87,,E. Gordon enters the game for D. Cunningham
0:15.0,T. Prince enters the game for G. Monroe,,85-87,,
0:13.0,Personal take foul by A. Drummond (drawn by A. Davis),,85-87,,
0:13.0,,,85-87,,J. Fredette enters the game for L. Babbitt
0:10.0,Personal take foul by R. Jackson (drawn by T. Evans),,85-87,,
0:10.0,,,85-87,,T. Evans misses free throw 1 of 2
0:10.0,,,85-87,,Offensive rebound by Team
0:10.0,,,85-87,,Q. Pondexter enters the game for J. Fredette
0:10.0,,,85-87,,D. Cunningham enters the game for E. Gordon
0:10.0,,,85-88,1,T. Evans makes free throw 2 of 2
0:04.0,R. Jackson misses 3-pt shot from 25 ft,,85-88,,
0:02.0,,,85-88,,Defensive rebound by N. Cole
0:00.0,End of 4th quarter,,,,End of 4th quarter
