time,Milwaukee,pts.away,score,pts.home,Charlotte
8:06.0,,,9-9,,Turnover by M. Kidd-Gilchrist (lost ball; steal by L. Sanders)
7:53.0,B. Knight misses 3-pt shot from 25 ft,,9-9,,
7:51.0,,,9-9,,Defensive rebound by A. Jefferson
7:44.0,,,9-9,,Shooting foul by L. Sanders (drawn by K. Walker)
7:44.0,,,9-9,,K. Walker misses free throw 1 of 2
7:44.0,,,9-9,,Offensive rebound by Team
7:44.0,Z. Pachulia enters the game for L. Sanders,,9-9,,
7:44.0,,,9-10,1,K. Walker makes free throw 2 of 2
7:32.0,Turnover by Z. Pachulia (bad pass; steal by A. Jefferson),,9-10,,
7:25.0,,,9-10,,K. Walker misses 3-pt shot from 26 ft
7:23.0,,,9-10,,Offensive rebound by L. Stephenson
7:18.0,,,9-10,,A. Jefferson misses 2-pt shot from 18 ft
7:17.0,Defensive rebound by Z. Pachulia,,9-10,,
7:11.0,K. Middleton misses 2-pt shot from 2 ft (block by A. Jefferson),,9-10,,
7:08.0,,,9-10,,Defensive rebound by A. Jefferson
7:04.0,,,9-10,,K. Walker misses 2-pt shot at rim
7:02.0,Defensive rebound by J. Parker,,9-10,,
6:59.0,J. Parker makes 2-pt shot at rim,2,11-10,,
6:32.0,,,11-12,2,K. Walker makes 2-pt shot from 19 ft
6:32.0,,,11-12,,Technical foul by K. Walker
6:32.0,B. Knight makes technical free throw,1,12-12,,
6:15.0,B. Knight misses 2-pt shot from 1 ft,,12-12,,
6:13.0,,,12-12,,Defensive rebound by A. Jefferson
6:08.0,,,12-15,3,M. Williams makes 3-pt shot from 25 ft (assist by K. Walker)
5:52.0,,,12-15,,Personal foul by M. Kidd-Gilchrist (drawn by J. Dudley)
5:52.0,,,12-15,,Charlotte full timeout
5:44.0,K. Middleton makes 2-pt shot from 18 ft (assist by B. Knight),2,14-15,,
5:26.0,,,14-17,2,M. Kidd-Gilchrist makes 2-pt shot from 18 ft (assist by L. Stephenson)
5:13.0,K. Middleton makes 2-pt shot from 17 ft (assist by B. Knight),2,16-17,,
4:55.0,,,16-17,,K. Walker misses 3-pt shot from 26 ft
4:53.0,,,16-17,,Offensive rebound by M. Kidd-Gilchrist
4:53.0,,,16-17,,M. Kidd-Gilchrist misses 2-pt shot at rim (block by Z. Pachulia)
4:50.0,,,16-17,,Offensive rebound by L. Stephenson
4:48.0,Violation by B. Knight (kicked ball),,16-17,,
4:48.0,G. Antetokounmpo enters the game for J. Dudley,,16-17,,
4:48.0,,,16-17,,C. Zeller enters the game for M. Williams
4:41.0,,,16-17,,Turnover by L. Stephenson (bad pass; steal by J. Parker)
4:37.0,Shooting foul by M. Kidd-Gilchrist (drawn by B. Knight),,16-17,,
4:37.0,B. Knight makes free throw 1 of 2,1,17-17,,
4:37.0,,,17-17,,G. Henderson enters the game for M. Kidd-Gilchrist
4:37.0,B. Knight makes free throw 2 of 2,1,18-17,,
4:22.0,,,18-17,,Turnover by A. Jefferson (lost ball; steal by Z. Pachulia)
4:16.0,G. Antetokounmpo makes 2-pt shot from 1 ft (assist by B. Knight),2,20-17,,
3:56.0,,,20-17,,A. Jefferson misses 2-pt shot from 13 ft
3:53.0,Defensive rebound by B. Knight,,20-17,,
3:46.0,Z. Pachulia misses 2-pt shot from 13 ft,,20-17,,
3:45.0,,,20-17,,Defensive rebound by L. Stephenson
3:41.0,,,20-17,,Shooting foul by K. Middleton (drawn by C. Zeller)
3:41.0,,,20-19,2,C. Zeller makes 2-pt shot from 1 ft (assist by L. Stephenson)
3:41.0,,,20-19,,G. Neal enters the game for L. Stephenson
3:41.0,O. Mayo enters the game for K. Middleton,,20-19,,
3:41.0,,,20-20,1,C. Zeller makes free throw 1 of 1
3:22.0,Turnover by B. Knight (bad pass),,20-20,,
3:07.0,,,20-20,,G. Henderson misses 2-pt shot from 18 ft
3:06.0,Defensive rebound by Team,,20-20,,
2:50.0,Z. Pachulia misses 2-pt shot from 17 ft,,20-20,,
2:49.0,,,20-20,,Defensive rebound by A. Jefferson
2:29.0,,,20-20,,G. Henderson misses 2-pt shot from 10 ft
2:28.0,Defensive rebound by B. Knight,,20-20,,
2:20.0,G. Antetokounmpo misses 2-pt shot from 15 ft,,20-20,,
2:18.0,,,20-20,,Defensive rebound by K. Walker
2:08.0,,,20-20,,K. Walker misses 2-pt shot from 2 ft (block by O. Mayo)
2:06.0,Defensive rebound by B. Knight,,20-20,,
1:59.0,B. Knight misses 3-pt shot from 23 ft,,20-20,,
1:57.0,,,20-20,,Defensive rebound by G. Neal
1:50.0,,,20-20,,Turnover by G. Henderson (bad pass; steal by Z. Pachulia)
1:46.0,Milwaukee full timeout,,20-20,,
1:46.0,,,20-20,,J. Maxiell enters the game for A. Jefferson
1:29.0,J. Parker misses 2-pt shot from 19 ft,,20-20,,
1:28.0,,,20-20,,Defensive rebound by G. Neal
1:16.0,,,20-22,2,K. Walker makes 2-pt shot from 18 ft (assist by G. Neal)
0:59.0,Z. Pachulia misses 2-pt shot from 18 ft,,20-22,,
0:58.0,,,20-22,,Defensive rebound by C. Zeller
0:49.0,,,20-22,,Shooting foul by G. Antetokounmpo (drawn by G. Neal)
0:49.0,,,20-23,1,G. Neal makes free throw 1 of 2
0:49.0,E. Ilyasova enters the game for J. Parker,,20-23,,
0:49.0,,,20-24,1,G. Neal makes free throw 2 of 2
0:37.0,O. Mayo makes 2-pt shot from 18 ft (assist by B. Knight),2,22-24,,
0:30.0,,,22-24,,Shooting foul by E. Ilyasova (drawn by K. Walker)
0:30.0,,,22-24,,K. Walker misses free throw 1 of 2
0:30.0,,,22-24,,Offensive rebound by Team
0:30.0,J. Henson enters the game for Z. Pachulia,,22-24,,
0:30.0,,,22-25,1,K. Walker makes free throw 2 of 2
0:21.0,E. Ilyasova makes 2-pt shot from 18 ft (assist by B. Knight),2,24-25,,
0:02.0,,,24-25,,K. Walker misses 3-pt shot from 26 ft
0:00.0,,,24-25,,Offensive rebound by G. Henderson
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:43.0,G. Antetokounmpo misses 2-pt shot from 1 ft (block by J. Maxiell),,24-25,,
11:40.0,Offensive rebound by O. Mayo,,24-25,,
11:40.0,O. Mayo makes 2-pt shot from 1 ft,2,26-25,,
11:23.0,,,26-25,,G. Neal misses 2-pt shot from 10 ft
11:22.0,Defensive rebound by G. Antetokounmpo,,26-25,,
11:02.0,E. Ilyasova makes 2-pt shot from 2 ft,2,28-25,,
10:41.0,,,28-27,2,J. Maxiell makes 2-pt shot from 18 ft (assist by G. Henderson)
10:24.0,Shooting foul by G. Henderson (drawn by G. Antetokounmpo),,28-27,,
10:24.0,G. Antetokounmpo makes free throw 1 of 2,1,29-27,,
10:24.0,G. Antetokounmpo makes free throw 2 of 2,1,30-27,,
10:02.0,,,30-27,,J. Maxiell misses 2-pt shot from 12 ft
9:59.0,,,30-27,,Offensive rebound by C. Zeller
9:54.0,,,30-27,,Turnover by C. Zeller (bad pass; steal by E. Ilyasova)
9:51.0,Shooting foul by J. Maxiell (drawn by J. Henson),,30-27,,
9:51.0,J. Henson misses free throw 1 of 2,,30-27,,
9:51.0,Offensive rebound by Team,,30-27,,
9:51.0,J. Henson makes free throw 2 of 2,1,31-27,,
9:41.0,,,31-27,,Shooting foul by E. Ilyasova (drawn by C. Zeller)
9:41.0,,,31-28,1,C. Zeller makes free throw 1 of 2
9:41.0,,,31-29,1,C. Zeller makes free throw 2 of 2
9:25.0,E. Ilyasova makes 2-pt shot from 17 ft (assist by G. Antetokounmpo),2,33-29,,
9:11.0,,,33-31,2,B. Roberts makes 2-pt shot from 18 ft (assist by G. Neal)
8:58.0,O. Mayo makes 3-pt shot from 23 ft (assist by J. Bayless),3,36-31,,
8:48.0,Personal foul by O. Mayo (drawn by G. Henderson),,36-31,,
8:48.0,Official timeout,,36-31,,
8:40.0,,,36-31,,B. Roberts misses 2-pt shot from 18 ft
8:38.0,Defensive rebound by O. Mayo,,36-31,,
8:20.0,G. Antetokounmpo makes 2-pt shot from 2 ft (assist by O. Mayo),2,38-31,,
8:20.0,Shooting foul by C. Zeller (drawn by G. Antetokounmpo),,38-31,,
8:20.0,,,38-31,,L. Stephenson enters the game for G. Henderson
8:20.0,G. Antetokounmpo makes free throw 1 of 1,1,39-31,,
8:04.0,,,39-31,,L. Stephenson misses 3-pt shot from 25 ft
8:02.0,,,39-31,,Offensive rebound by Team
8:02.0,Loose ball foul by E. Ilyasova (drawn by C. Zeller),,39-31,,
8:02.0,K. Middleton enters the game for E. Ilyasova,,39-31,,
7:49.0,,,39-31,,C. Zeller misses 2-pt shot from 18 ft
7:46.0,Defensive rebound by G. Antetokounmpo,,39-31,,
7:23.0,J. Bayless misses 2-pt shot from 18 ft,,39-31,,
7:22.0,,,39-31,,Defensive rebound by L. Stephenson
7:07.0,,,39-31,,J. Maxiell misses 2-pt shot from 14 ft
7:06.0,Defensive rebound by Team,,39-31,,
7:06.0,,,39-31,,Loose ball foul by C. Zeller (drawn by G. Antetokounmpo)
7:06.0,,,39-31,,M. Williams enters the game for C. Zeller
7:06.0,,,39-31,,A. Jefferson enters the game for J. Maxiell
6:56.0,J. Henson makes 2-pt shot at rim (assist by O. Mayo),2,41-31,,
6:41.0,,,41-31,,G. Neal misses 3-pt shot from 27 ft
6:40.0,Defensive rebound by K. Middleton,,41-31,,
6:34.0,O. Mayo makes 3-pt shot from 25 ft (assist by K. Middleton),3,44-31,,
6:29.0,,,44-31,,Charlotte full timeout
6:29.0,,,44-31,,M. Kidd-Gilchrist enters the game for G. Neal
6:07.0,,,44-33,2,M. Williams makes 2-pt shot from 19 ft (assist by M. Kidd-Gilchrist)
5:56.0,Turnover by J. Bayless (bad pass; steal by A. Jefferson),,44-33,,
5:51.0,,,44-35,2,M. Kidd-Gilchrist makes 2-pt shot at rim
5:38.0,,,44-35,,Personal foul by L. Stephenson (drawn by K. Middleton)
5:38.0,K. Middleton misses free throw 1 of 2,,44-35,,
5:38.0,Offensive rebound by Team,,44-35,,
5:38.0,L. Sanders enters the game for J. Henson,,44-35,,
5:38.0,K. Middleton makes free throw 2 of 2,1,45-35,,
5:16.0,,,45-35,,A. Jefferson misses 2-pt shot from 9 ft
5:15.0,,,45-35,,Offensive rebound by M. Williams
5:07.0,,,45-35,,M. Williams misses 3-pt shot from 23 ft
5:06.0,Defensive rebound by K. Middleton,,45-35,,
4:59.0,Turnover by K. Middleton (lost ball; steal by B. Roberts),,45-35,,
4:51.0,,,45-35,,L. Stephenson misses 2-pt shot from 13 ft
4:49.0,Defensive rebound by G. Antetokounmpo,,45-35,,
4:38.0,O. Mayo makes 3-pt shot from 23 ft (assist by J. Bayless),3,48-35,,
4:14.0,,,48-35,,B. Roberts misses 3-pt shot from 23 ft
4:13.0,Defensive rebound by O. Mayo,,48-35,,
4:08.0,O. Mayo misses 3-pt shot from 25 ft,,48-35,,
4:06.0,,,48-35,,Defensive rebound by M. Kidd-Gilchrist
3:58.0,Personal foul by J. Bayless (drawn by B. Roberts),,48-35,,
3:58.0,,,48-35,,K. Walker enters the game for B. Roberts
3:58.0,J. Dudley enters the game for G. Antetokounmpo,,48-35,,
3:58.0,B. Knight enters the game for J. Bayless,,48-35,,
3:44.0,,,48-35,,K. Walker misses 2-pt shot from 18 ft
3:42.0,Defensive rebound by Team,,48-35,,
3:42.0,J. Parker enters the game for O. Mayo,,48-35,,
3:26.0,K. Middleton misses 2-pt shot from 15 ft,,48-35,,
3:24.0,Offensive rebound by K. Middleton,,48-35,,
3:19.0,K. Middleton misses 2-pt shot from 13 ft,,48-35,,
3:18.0,,,48-35,,Defensive rebound by M. Kidd-Gilchrist
2:55.0,,,48-37,2,A. Jefferson makes 2-pt shot from 15 ft (assist by M. Williams)
2:32.0,K. Middleton makes 2-pt shot from 1 ft,2,50-37,,
2:32.0,Shooting foul by L. Stephenson (drawn by K. Middleton),,50-37,,
2:32.0,Milwaukee full timeout,,50-37,,
2:32.0,K. Middleton makes free throw 1 of 1,1,51-37,,
2:17.0,,,51-37,,A. Jefferson misses 2-pt shot from 16 ft
2:16.0,Defensive rebound by J. Parker,,51-37,,
2:01.0,B. Knight misses 2-pt shot from 2 ft,,51-37,,
2:00.0,,,51-37,,Defensive rebound by Team
1:44.0,,,51-37,,Shooting foul by L. Sanders (drawn by A. Jefferson)
1:44.0,,,51-39,2,A. Jefferson makes 2-pt shot from 2 ft
1:44.0,,,51-40,1,A. Jefferson makes free throw 1 of 1
1:24.0,L. Sanders makes 2-pt shot from 1 ft (assist by K. Middleton),2,53-40,,
1:05.0,,,53-43,3,K. Walker makes 3-pt shot from 25 ft (assist by M. Williams)
0:53.0,B. Knight misses 2-pt shot from 22 ft,,53-43,,
0:52.0,,,53-43,,Defensive rebound by L. Stephenson
0:48.0,,,53-45,2,M. Kidd-Gilchrist makes 2-pt shot at rim (assist by L. Stephenson)
0:35.0,K. Middleton makes 2-pt shot from 18 ft,2,55-45,,
0:25.0,,,55-45,,Shooting foul by L. Sanders (drawn by A. Jefferson)
0:25.0,,,55-46,1,A. Jefferson makes free throw 1 of 2
0:25.0,,,55-46,,G. Neal enters the game for L. Stephenson
0:25.0,,,55-46,,G. Henderson enters the game for M. Kidd-Gilchrist
0:25.0,E. Ilyasova enters the game for L. Sanders,,55-46,,
0:25.0,,,55-46,,A. Jefferson misses free throw 2 of 2
0:24.0,Defensive rebound by E. Ilyasova,,55-46,,
0:07.0,,,55-46,,Personal foul by A. Jefferson (drawn by B. Knight)
0:07.0,B. Knight makes free throw 1 of 2,1,56-46,,
0:07.0,Z. Pachulia enters the game for E. Ilyasova,,56-46,,
0:07.0,B. Knight makes free throw 2 of 2,1,57-46,,
0:00.0,,,57-46,,K. Walker misses 2-pt shot from 11 ft
0:00.0,,,57-46,,Offensive rebound by Team
0:00.0,End of 2nd quarter,,,,End of 2nd quarter
12:00.0,Start of 3rd quarter,,,,Start of 3rd quarter
11:44.0,K. Middleton misses 2-pt shot at rim,,57-46,,
11:43.0,,,57-46,,Defensive rebound by K. Walker
11:35.0,,,57-46,,K. Walker misses 2-pt shot from 1 ft
11:35.0,,,57-46,,Offensive rebound by A. Jefferson
11:35.0,,,57-46,,Turnover by A. Jefferson (traveling)
11:13.0,Turnover by K. Middleton (bad pass; steal by M. Williams),,57-46,,
11:01.0,,,57-46,,Turnover by M. Williams (bad pass; steal by L. Sanders)
10:55.0,L. Sanders makes 2-pt shot at rim (assist by J. Parker),2,59-46,,
10:42.0,,,59-46,,Charlotte full timeout
10:30.0,,,59-48,2,M. Williams makes 2-pt shot from 11 ft (assist by M. Kidd-Gilchrist)
10:07.0,J. Parker makes 2-pt shot from 17 ft (assist by B. Knight),2,61-48,,
9:51.0,,,61-48,,Shooting foul by J. Parker (drawn by M. Kidd-Gilchrist)
9:51.0,,,61-49,1,M. Kidd-Gilchrist makes free throw 1 of 2
9:51.0,,,61-50,1,M. Kidd-Gilchrist makes free throw 2 of 2
9:38.0,K. Middleton misses 3-pt shot from 25 ft,,61-50,,
9:37.0,,,61-50,,Defensive rebound by A. Jefferson
9:26.0,,,61-50,,L. Stephenson misses 2-pt shot from 1 ft
9:26.0,Defensive rebound by B. Knight,,61-50,,
9:15.0,J. Dudley makes 3-pt shot from 26 ft (assist by B. Knight),3,64-50,,
9:01.0,,,64-50,,A. Jefferson misses 2-pt shot from 2 ft
9:01.0,Defensive rebound by J. Dudley,,64-50,,
9:01.0,,,64-50,,Personal foul by L. Stephenson (drawn by J. Dudley)
9:01.0,Technical foul by J. Dudley,,64-50,,
9:01.0,,,64-50,,K. Walker misses technical free throw
9:01.0,Offensive rebound by Team,,64-50,,
8:43.0,L. Sanders makes 2-pt shot from 1 ft,2,66-50,,
8:23.0,,,66-50,,L. Stephenson misses 2-pt shot from 2 ft (block by J. Dudley)
8:21.0,Defensive rebound by J. Parker,,66-50,,
8:18.0,J. Parker makes 2-pt shot at rim,2,68-50,,
8:18.0,,,68-50,,Charlotte full timeout
8:03.0,,,68-50,,K. Walker misses 3-pt shot from 25 ft
8:01.0,,,68-50,,Offensive rebound by M. Kidd-Gilchrist
7:48.0,,,68-50,,M. Kidd-Gilchrist misses 2-pt shot from 19 ft
7:47.0,Defensive rebound by J. Dudley,,68-50,,
7:32.0,L. Sanders misses 2-pt shot from 6 ft (block by A. Jefferson),,68-50,,
7:31.0,,,68-50,,Defensive rebound by K. Walker
7:31.0,Personal foul by J. Dudley (drawn by M. Kidd-Gilchrist),,68-50,,
7:21.0,,,68-50,,Turnover by M. Williams (lost ball; steal by J. Dudley)
7:14.0,B. Knight makes 3-pt shot from 26 ft (assist by J. Dudley),3,71-50,,
6:54.0,,,71-50,,K. Walker misses 2-pt shot from 3 ft
6:53.0,Defensive rebound by B. Knight,,71-50,,
6:48.0,B. Knight misses 2-pt shot from 1 ft (block by M. Kidd-Gilchrist),,71-50,,
6:45.0,,,71-50,,Defensive rebound by L. Stephenson
6:44.0,,,71-50,,Turnover by L. Stephenson (bad pass; steal by J. Dudley)
6:43.0,B. Knight makes 3-pt shot from 23 ft (assist by J. Dudley),3,74-50,,
6:43.0,,,74-50,,Charlotte full timeout
6:34.0,Violation by B. Knight (kicked ball),,74-50,,
6:19.0,,,74-52,2,M. Williams makes 2-pt shot from 15 ft (assist by L. Stephenson)
6:03.0,K. Middleton misses 2-pt shot from 16 ft,,74-52,,
6:02.0,,,74-52,,Defensive rebound by M. Williams
5:49.0,,,74-54,2,L. Stephenson makes 2-pt shot from 1 ft
5:26.0,L. Sanders makes 2-pt shot at rim (assist by B. Knight),2,76-54,,
5:02.0,,,76-54,,Shooting foul by B. Knight (drawn by K. Walker)
5:02.0,,,76-54,,K. Walker misses free throw 1 of 2
5:02.0,,,76-54,,Offensive rebound by Team
5:02.0,,,76-54,,C. Zeller enters the game for M. Williams
5:02.0,G. Antetokounmpo enters the game for J. Dudley,,76-54,,
5:02.0,,,76-55,1,K. Walker makes free throw 2 of 2
4:44.0,B. Knight misses 2-pt shot from 16 ft,,76-55,,
4:43.0,,,76-55,,Defensive rebound by A. Jefferson
4:34.0,,,76-57,2,C. Zeller makes 2-pt shot from 19 ft (assist by K. Walker)
4:16.0,J. Parker misses 2-pt shot from 15 ft,,76-57,,
4:14.0,,,76-57,,Defensive rebound by M. Kidd-Gilchrist
3:55.0,,,76-57,,K. Walker misses 3-pt shot from 25 ft
3:54.0,,,76-57,,Offensive rebound by A. Jefferson
3:49.0,,,76-59,2,L. Stephenson makes 2-pt shot at rim (assist by A. Jefferson)
3:20.0,B. Knight misses 2-pt shot from 16 ft,,76-59,,
3:19.0,Offensive rebound by L. Sanders,,76-59,,
3:19.0,L. Sanders misses 2-pt shot at rim (block by M. Kidd-Gilchrist),,76-59,,
3:17.0,,,76-59,,Defensive rebound by M. Kidd-Gilchrist
3:15.0,,,76-61,2,K. Walker makes 2-pt shot from 1 ft (assist by M. Kidd-Gilchrist)
3:15.0,,,76-61,,Shooting foul by B. Knight (drawn by K. Walker)
3:15.0,Milwaukee full timeout,,76-61,,
3:15.0,O. Mayo enters the game for K. Middleton,,76-61,,
3:15.0,Z. Pachulia enters the game for J. Parker,,76-61,,
3:15.0,E. Ilyasova enters the game for L. Sanders,,76-61,,
3:15.0,,,76-61,,G. Neal enters the game for M. Kidd-Gilchrist
3:15.0,,,76-61,,K. Walker misses free throw 1 of 1
3:12.0,Defensive rebound by G. Antetokounmpo,,76-61,,
2:51.0,G. Antetokounmpo makes 3-pt shot from 24 ft (assist by B. Knight),3,79-61,,
2:35.0,,,79-61,,A. Jefferson misses 2-pt shot from 11 ft
2:35.0,Defensive rebound by Team,,79-61,,
2:35.0,,,79-61,,Loose ball foul by C. Zeller (drawn by G. Antetokounmpo)
2:21.0,Turnover by B. Knight (bad pass; steal by C. Zeller),,79-61,,
2:07.0,,,79-63,2,A. Jefferson makes 2-pt shot from 6 ft
1:50.0,Z. Pachulia makes 2-pt shot from 18 ft (assist by B. Knight),2,81-63,,
1:33.0,,,81-63,,G. Neal misses 2-pt shot from 18 ft
1:33.0,,,81-63,,Offensive rebound by Team
1:33.0,Loose ball foul by E. Ilyasova (drawn by C. Zeller),,81-63,,
1:33.0,,,81-64,1,C. Zeller makes free throw 1 of 2
1:33.0,,,81-64,,J. Maxiell enters the game for A. Jefferson
1:33.0,,,81-65,1,C. Zeller makes free throw 2 of 2
1:19.0,G. Antetokounmpo misses 2-pt shot from 1 ft,,81-65,,
1:16.0,,,81-65,,Defensive rebound by L. Stephenson
1:00.0,,,81-65,,L. Stephenson misses 2-pt shot from 16 ft
1:00.0,Defensive rebound by B. Knight,,81-65,,
0:43.0,Turnover by Z. Pachulia (traveling),,81-65,,
0:36.0,,,81-65,,C. Zeller misses 2-pt shot from 18 ft
0:34.0,Defensive rebound by G. Antetokounmpo,,81-65,,
0:14.0,B. Knight makes 2-pt shot from 16 ft,2,83-65,,
0:03.0,,,83-67,2,K. Walker makes 2-pt shot from 2 ft
0:03.0,,,83-67,,Shooting foul by B. Knight (drawn by K. Walker)
0:03.0,J. Bayless enters the game for B. Knight,,83-67,,
0:03.0,,,83-68,1,K. Walker makes free throw 1 of 1
0:00.0,O. Mayo misses 3-pt shot from 33 ft,,83-68,,
0:00.0,Offensive rebound by Team,,83-68,,
0:00.0,End of 3rd quarter,,,,End of 3rd quarter
12:00.0,Start of 4th quarter,,,,Start of 4th quarter
11:48.0,Personal foul by J. Bayless (drawn by L. Stephenson),,83-68,,
11:34.0,,,83-70,2,G. Neal makes 2-pt shot from 8 ft
11:21.0,Turnover by O. Mayo (bad pass; steal by G. Neal),,83-70,,
11:21.0,Personal foul by O. Mayo (drawn by J. Maxiell),,83-70,,
11:03.0,,,83-70,,G. Neal misses 2-pt shot from 2 ft
11:02.0,,,83-70,,Offensive rebound by Team
10:54.0,,,83-70,,J. Maxiell misses 2-pt shot from 5 ft (block by E. Ilyasova)
10:54.0,,,83-70,,Offensive rebound by Team
10:47.0,,,83-72,2,L. Stephenson makes 2-pt shot from 10 ft (assist by B. Roberts)
10:34.0,,,83-72,,Personal foul by J. Maxiell (drawn by Z. Pachulia)
10:27.0,Z. Pachulia makes 2-pt shot at rim,2,85-72,,
10:12.0,,,85-72,,G. Neal misses 3-pt shot from 26 ft
10:12.0,,,85-72,,Offensive rebound by Team
10:12.0,Loose ball foul by Z. Pachulia (drawn by J. Maxiell),,85-72,,
10:07.0,,,85-74,2,B. Roberts makes 2-pt shot from 17 ft
9:46.0,O. Mayo misses 3-pt shot from 24 ft,,85-74,,
9:45.0,,,85-74,,Defensive rebound by J. Maxiell
9:36.0,,,85-76,2,C. Zeller makes 2-pt shot at rim (assist by L. Stephenson)
9:24.0,,,85-76,,Personal foul by B. Roberts (drawn by J. Bayless)
9:24.0,,,85-76,,M. Kidd-Gilchrist enters the game for L. Stephenson
9:20.0,Turnover by Z. Pachulia (bad pass),,85-76,,
9:05.0,,,85-76,,Turnover by C. Zeller (bad pass; steal by E. Ilyasova)
9:00.0,J. Bayless makes 2-pt shot at rim,2,87-76,,
8:42.0,,,87-76,,G. Neal misses 2-pt shot from 13 ft
8:41.0,,,87-76,,Offensive rebound by J. Maxiell
8:34.0,Personal foul by E. Ilyasova (drawn by B. Roberts),,87-76,,
8:34.0,Official timeout,,87-76,,
8:34.0,J. Henson enters the game for Z. Pachulia,,87-76,,
8:34.0,J. Parker enters the game for E. Ilyasova,,87-76,,
8:21.0,,,87-78,2,J. Maxiell makes 2-pt shot at rim (assist by B. Roberts)
8:04.0,J. Bayless makes 2-pt shot from 17 ft,2,89-78,,
7:42.0,,,89-78,,G. Neal misses 2-pt shot from 1 ft (block by J. Henson)
7:42.0,Defensive rebound by Team,,89-78,,
7:42.0,,,89-78,,A. Jefferson enters the game for J. Maxiell
7:32.0,J. Henson makes 2-pt shot from 8 ft (assist by O. Mayo),2,91-78,,
7:11.0,,,91-78,,C. Zeller misses 2-pt shot from 19 ft
7:10.0,,,91-78,,Offensive rebound by M. Kidd-Gilchrist
7:10.0,,,91-80,2,M. Kidd-Gilchrist makes 2-pt shot at rim
6:55.0,Shooting foul by A. Jefferson (drawn by O. Mayo),,91-80,,
6:55.0,O. Mayo makes free throw 1 of 2,1,92-80,,
6:55.0,,,92-80,,M. Williams enters the game for C. Zeller
6:55.0,O. Mayo makes free throw 2 of 2,1,93-80,,
6:41.0,,,93-82,2,A. Jefferson makes 2-pt shot from 1 ft (assist by B. Roberts)
6:19.0,O. Mayo misses 2-pt shot from 15 ft,,93-82,,
6:18.0,,,93-82,,Defensive rebound by M. Kidd-Gilchrist
6:03.0,,,93-82,,M. Williams misses 2-pt shot from 3 ft (block by G. Antetokounmpo)
6:01.0,Defensive rebound by Team,,93-82,,
6:01.0,,,93-82,,K. Walker enters the game for B. Roberts
6:01.0,,,93-82,,L. Stephenson enters the game for G. Neal
5:52.0,,,93-82,,Personal foul by M. Kidd-Gilchrist (drawn by O. Mayo)
5:52.0,,,93-82,,Charlotte full timeout
5:52.0,B. Knight enters the game for G. Antetokounmpo,,93-82,,
5:52.0,K. Middleton enters the game for J. Bayless,,93-82,,
5:45.0,Turnover by B. Knight (bad pass),,93-82,,
5:23.0,,,93-82,,A. Jefferson misses 2-pt shot from 6 ft
5:21.0,Defensive rebound by B. Knight,,93-82,,
5:09.0,O. Mayo makes 2-pt shot from 10 ft (assist by B. Knight),2,95-82,,
4:45.0,,,95-82,,Shooting foul by O. Mayo (drawn by M. Kidd-Gilchrist)
4:45.0,,,95-83,1,M. Kidd-Gilchrist makes free throw 1 of 2
4:45.0,,,95-84,1,M. Kidd-Gilchrist makes free throw 2 of 2
4:24.0,K. Middleton misses 2-pt shot from 13 ft,,95-84,,
4:23.0,,,95-84,,Defensive rebound by L. Stephenson
