time,Washington,pts.away,score,pts.home,Detroit
0:16.0,,,52-47,3,R. Jackson makes 3-pt shot from 30 ft
0:01.0,R. Butler misses 3-pt shot from 24 ft,,52-47,,
0:00.0,Offensive rebound by Team,,52-47,,
0:00.0,End of 2nd quarter,,,,End of 2nd quarter
12:00.0,Start of 3rd quarter,,,,Start of 3rd quarter
11:38.0,G. Temple makes 3-pt shot from 25 ft (assist by N. Hilario),3,55-47,,
11:12.0,,,55-47,,G. Monroe misses 2-pt shot at rim
11:09.0,,,55-47,,Offensive rebound by G. Monroe
10:56.0,,,55-47,,Turnover by G. Monroe (bad pass; steal by N. Hilario)
10:49.0,P. Pierce misses 3-pt shot from 25 ft,,55-47,,
10:48.0,,,55-47,,Defensive rebound by G. Monroe
10:38.0,,,55-47,,K. Caldwell-Pope misses 2-pt shot from 11 ft
10:37.0,,,55-47,,Offensive rebound by K. Caldwell-Pope
10:36.0,,,55-49,2,K. Caldwell-Pope makes 2-pt shot at rim
10:19.0,M. Gortat misses 2-pt shot from 9 ft,,55-49,,
10:18.0,,,55-49,,Defensive rebound by C. Butler
10:14.0,,,55-51,2,A. Drummond makes 2-pt shot at rim (assist by R. Jackson)
10:00.0,M. Gortat misses 2-pt shot at rim,,55-51,,
9:59.0,,,55-51,,Defensive rebound by G. Monroe
9:54.0,,,55-53,2,R. Jackson makes 2-pt shot from 1 ft (assist by C. Butler)
9:31.0,M. Gortat makes 2-pt shot from 4 ft (assist by N. Hilario),2,57-53,,
9:17.0,,,57-55,2,R. Jackson makes 2-pt shot from 5 ft
9:12.0,Turnover by J. Wall (bad pass; steal by G. Monroe),,57-55,,
9:06.0,,,57-55,,G. Monroe misses 2-pt shot at rim
9:05.0,,,57-55,,Offensive rebound by G. Monroe
9:04.0,,,57-55,,G. Monroe misses 2-pt shot from 1 ft
9:03.0,,,57-55,,Offensive rebound by Team
8:52.0,,,57-55,,R. Jackson misses 3-pt shot from 23 ft
8:51.0,Defensive rebound by G. Temple,,57-55,,
8:39.0,G. Temple misses 3-pt shot from 25 ft,,57-55,,
8:38.0,,,57-55,,Defensive rebound by A. Drummond
8:29.0,,,57-55,,R. Jackson misses 2-pt shot at rim
8:27.0,Defensive rebound by M. Gortat,,57-55,,
8:19.0,J. Wall makes 2-pt shot from 20 ft,2,59-55,,
8:02.0,,,59-55,,Shooting foul by P. Pierce (drawn by C. Butler)
8:02.0,,,59-56,1,C. Butler makes free throw 1 of 3
8:02.0,,,59-57,1,C. Butler makes free throw 2 of 3
8:02.0,,,59-58,1,C. Butler makes free throw 3 of 3
7:41.0,P. Pierce makes 3-pt shot from 25 ft (assist by M. Gortat),3,62-58,,
7:23.0,,,62-58,,K. Caldwell-Pope misses 2-pt shot from 9 ft
7:22.0,,,62-58,,Offensive rebound by A. Drummond
7:20.0,,,62-60,2,A. Drummond makes 2-pt shot at rim
7:12.0,J. Wall makes 2-pt shot from 16 ft,2,64-60,,
6:59.0,,,64-62,2,R. Jackson makes 2-pt shot at rim
6:52.0,J. Wall misses 2-pt shot from 13 ft,,64-62,,
6:51.0,,,64-62,,Defensive rebound by A. Drummond
6:45.0,,,64-65,3,C. Butler makes 3-pt shot from 26 ft (assist by R. Jackson)
6:27.0,,,64-65,,Personal foul by A. Drummond (drawn by N. Hilario)
6:15.0,N. Hilario misses 2-pt shot from 7 ft,,64-65,,
6:12.0,,,64-65,,Defensive rebound by A. Drummond
6:01.0,,,64-65,,Turnover by R. Jackson (bad pass)
5:50.0,N. Hilario misses 2-pt shot from 18 ft,,64-65,,
5:48.0,Offensive rebound by M. Gortat,,64-65,,
5:47.0,,,64-65,,Detroit full timeout
5:32.0,M. Gortat misses 2-pt shot from 19 ft,,64-65,,
5:31.0,,,64-65,,Defensive rebound by R. Jackson
5:22.0,,,64-67,2,R. Jackson makes 2-pt shot at rim
5:04.0,N. Hilario misses 2-pt shot from 5 ft,,64-67,,
5:03.0,Offensive rebound by M. Gortat,,64-67,,
5:01.0,M. Gortat misses 2-pt shot at rim,,64-67,,
5:00.0,,,64-67,,Defensive rebound by R. Jackson
4:56.0,,,64-67,,Turnover by R. Jackson (bad pass; steal by N. Hilario)
4:44.0,J. Wall misses 2-pt shot at rim,,64-67,,
4:43.0,,,64-67,,Defensive rebound by A. Drummond
4:32.0,,,64-67,,Shooting foul by P. Pierce (drawn by G. Monroe)
4:32.0,,,64-67,,G. Monroe misses free throw 1 of 2
4:32.0,,,64-67,,Offensive rebound by Team
4:32.0,,,64-67,,S. Dinwiddie enters the game for R. Jackson
4:32.0,K. Seraphin enters the game for N. Hilario,,64-67,,
4:32.0,,,64-68,1,G. Monroe makes free throw 2 of 2
4:22.0,M. Gortat makes 2-pt shot at rim (assist by J. Wall),2,66-68,,
4:03.0,,,66-71,3,K. Caldwell-Pope makes 3-pt shot from 25 ft (assist by C. Butler)
3:51.0,M. Gortat misses 2-pt shot from 2 ft (block by A. Drummond),,66-71,,
3:50.0,Offensive rebound by K. Seraphin,,66-71,,
3:48.0,P. Pierce misses 3-pt shot from 26 ft,,66-71,,
3:47.0,,,66-71,,Defensive rebound by G. Monroe
3:47.0,Personal foul by K. Seraphin (drawn by G. Monroe),,66-71,,
3:47.0,O. Porter enters the game for P. Pierce,,66-71,,
3:47.0,,,66-71,,A. Tolliver enters the game for G. Monroe
3:38.0,,,66-71,,Offensive foul by S. Dinwiddie
3:38.0,,,66-71,,Turnover by S. Dinwiddie (offensive foul)
3:22.0,G. Temple makes 3-pt shot from 25 ft (assist by J. Wall),3,69-71,,
3:08.0,,,69-71,,S. Dinwiddie misses 3-pt shot from 25 ft
3:07.0,Defensive rebound by G. Temple,,69-71,,
3:01.0,J. Wall makes 2-pt shot from 17 ft,2,71-71,,
2:45.0,,,71-73,2,A. Drummond makes 2-pt shot at rim (assist by A. Tolliver)
2:45.0,,,71-73,,Shooting foul by O. Porter (drawn by A. Drummond)
2:45.0,Washington full timeout,,71-73,,
2:45.0,K. Humphries enters the game for M. Gortat,,71-73,,
2:45.0,R. Sessions enters the game for J. Wall,,71-73,,
2:45.0,,,71-74,1,A. Drummond makes free throw 1 of 1
2:31.0,O. Porter misses 2-pt shot from 20 ft,,71-74,,
2:30.0,,,71-74,,Defensive rebound by A. Drummond
2:16.0,,,71-77,3,K. Caldwell-Pope makes 3-pt shot from 23 ft (assist by S. Dinwiddie)
2:02.0,K. Seraphin misses 2-pt shot from 5 ft,,71-77,,
1:59.0,,,71-77,,Defensive rebound by A. Drummond
1:45.0,,,71-77,,K. Caldwell-Pope misses 3-pt shot from 26 ft
1:44.0,Defensive rebound by O. Porter,,71-77,,
1:32.0,,,71-77,,Personal foul by A. Tolliver (drawn by K. Humphries)
1:32.0,,,71-77,,C. Martin enters the game for C. Butler
1:32.0,R. Butler enters the game for G. Temple,,71-77,,
1:23.0,Turnover by K. Seraphin (bad pass; steal by K. Caldwell-Pope),,71-77,,
1:19.0,,,71-79,2,K. Caldwell-Pope makes 2-pt shot at rim
0:56.0,K. Humphries misses 2-pt shot from 17 ft,,71-79,,
0:54.0,,,71-79,,Defensive rebound by A. Drummond
0:44.0,,,71-82,3,K. Caldwell-Pope makes 3-pt shot from 22 ft (assist by S. Dinwiddie)
0:44.0,Washington full timeout,,71-82,,
0:44.0,,,71-82,,J. Meeks enters the game for K. Caldwell-Pope
0:30.0,O. Porter misses 2-pt shot from 16 ft,,71-82,,
0:29.0,,,71-82,,Defensive rebound by S. Dinwiddie
0:22.0,,,71-82,,S. Dinwiddie misses 2-pt shot from 10 ft
0:20.0,,,71-82,,Offensive rebound by A. Drummond
0:08.0,,,71-82,,S. Dinwiddie misses 2-pt shot at rim
0:07.0,,,71-82,,Offensive rebound by Team
0:05.0,,,71-82,,Offensive foul by A. Tolliver
0:05.0,,,71-82,,Turnover by A. Tolliver (offensive foul)
0:05.0,J. Wall enters the game for O. Porter,,71-82,,
0:01.0,J. Wall misses 2-pt shot at rim,,71-82,,
0:00.0,Offensive rebound by Team,,71-82,,
0:00.0,End of 3rd quarter,,,,End of 3rd quarter
12:00.0,Start of 4th quarter,,,,Start of 4th quarter
11:45.0,,,71-85,3,J. Meeks makes 3-pt shot from 26 ft (assist by S. Dinwiddie)
11:29.0,R. Sessions misses 2-pt shot from 7 ft,,71-85,,
11:28.0,Offensive rebound by N. Hilario,,71-85,,
11:23.0,R. Sessions misses 2-pt shot at rim,,71-85,,
11:22.0,,,71-85,,Defensive rebound by A. Drummond
11:17.0,,,71-85,,Turnover by S. Dinwiddie (palming)
11:00.0,N. Hilario misses 2-pt shot from 1 ft,,71-85,,
10:59.0,,,71-85,,Defensive rebound by A. Drummond
10:45.0,,,71-85,,C. Martin misses 3-pt shot from 26 ft
10:44.0,Defensive rebound by N. Hilario,,71-85,,
10:39.0,Shooting foul by C. Martin (drawn by R. Butler),,71-85,,
10:39.0,R. Butler makes free throw 1 of 2,1,72-85,,
10:39.0,R. Butler makes free throw 2 of 2,1,73-85,,
10:23.0,Personal foul by K. Humphries (drawn by J. Meeks),,73-85,,
10:23.0,,,73-86,1,J. Meeks makes free throw 1 of 2
10:23.0,,,73-87,1,J. Meeks makes free throw 2 of 2
10:06.0,Shooting foul by A. Drummond (drawn by N. Hilario),,73-87,,
10:06.0,N. Hilario misses free throw 1 of 2,,73-87,,
10:06.0,Offensive rebound by Team,,73-87,,
10:06.0,J. Wall enters the game for O. Porter,,73-87,,
10:06.0,N. Hilario misses free throw 2 of 2,,73-87,,
10:06.0,,,73-87,,Defensive rebound by C. Martin
9:52.0,,,73-87,,J. Meeks misses 2-pt shot from 18 ft
9:51.0,Defensive rebound by R. Butler,,73-87,,
9:39.0,R. Butler misses 3-pt shot from 26 ft,,73-87,,
9:38.0,,,73-87,,Defensive rebound by Team
9:21.0,,,73-87,,J. Meeks misses 2-pt shot from 1 ft
9:20.0,Defensive rebound by R. Sessions,,73-87,,
9:15.0,G. Temple enters the game for R. Butler,,73-87,,
9:08.0,G. Temple makes 3-pt shot from 26 ft (assist by J. Wall),3,76-87,,
8:51.0,,,76-87,,Shooting foul by N. Hilario (drawn by A. Tolliver)
8:51.0,Official timeout,,76-87,,
8:51.0,,,76-87,,G. Monroe enters the game for A. Drummond
8:51.0,,,76-88,1,A. Tolliver makes free throw 1 of 2
8:51.0,,,76-89,1,A. Tolliver makes free throw 2 of 2
8:29.0,N. Hilario makes 2-pt shot from 1 ft (assist by J. Wall),2,78-89,,
8:12.0,,,78-89,,Shooting foul by G. Temple (drawn by J. Meeks)
8:12.0,,,78-90,1,J. Meeks makes free throw 1 of 2
8:12.0,,,78-91,1,J. Meeks makes free throw 2 of 2
8:05.0,Turnover by N. Hilario (lost ball; steal by G. Monroe),,78-91,,
7:58.0,,,78-94,3,A. Tolliver makes 3-pt shot from 28 ft (assist by S. Dinwiddie)
7:41.0,R. Sessions makes 3-pt shot from 23 ft (assist by N. Hilario),3,81-94,,
7:28.0,,,81-94,,Shooting foul by R. Sessions (drawn by G. Monroe)
7:28.0,,,81-95,1,G. Monroe makes free throw 1 of 2
7:28.0,P. Pierce enters the game for K. Humphries,,81-95,,
7:28.0,,,81-95,,G. Monroe misses free throw 2 of 2
7:28.0,Defensive rebound by N. Hilario,,81-95,,
7:11.0,Turnover by P. Pierce (step out of bounds),,81-95,,
6:58.0,,,81-97,2,G. Monroe makes 2-pt shot at rim (assist by S. Dinwiddie)
6:42.0,Shooting foul by C. Martin (drawn by R. Sessions),,81-97,,
6:42.0,R. Sessions makes free throw 1 of 2,1,82-97,,
6:42.0,M. Gortat enters the game for N. Hilario,,82-97,,
