time,Cleveland,pts.away,score,pts.home,Denver
5:34.0,S. Marion makes 3-pt shot from 23 ft (assist by L. James),3,17-7,,
5:13.0,,,17-7,,J. McGee misses 2-pt shot from 3 ft (block by A. Varejao)
5:09.0,Defensive rebound by L. James,,17-7,,
5:06.0,S. Marion makes 2-pt shot from 2 ft (assist by L. James),2,19-7,,
5:06.0,,,19-7,,Denver full timeout
5:06.0,D. Waiters enters the game for K. Irving,,19-7,,
5:06.0,,,19-7,,D. Arthur enters the game for K. Faried
5:06.0,,,19-7,,R. Foye enters the game for N. Robinson
4:52.0,,,19-7,,D. Arthur misses 3-pt shot from 24 ft
4:50.0,Defensive rebound by D. Waiters,,19-7,,
4:42.0,A. Varejao makes 2-pt shot from 4 ft (assist by K. Love),2,21-7,,
4:25.0,,,21-7,,Turnover by W. Chandler (lost ball; steal by D. Waiters)
4:22.0,,,21-7,,Personal foul by R. Foye (drawn by L. James)
4:22.0,L. James makes free throw 1 of 2,1,22-7,,
4:22.0,M. Miller enters the game for S. Marion,,22-7,,
4:22.0,T. Thompson enters the game for A. Varejao,,22-7,,
4:22.0,L. James makes free throw 2 of 2,1,23-7,,
4:10.0,,,23-9,2,R. Foye makes 2-pt shot from 18 ft
3:55.0,K. Love misses 2-pt shot from 1 ft (block by J. McGee),,23-9,,
3:54.0,Offensive rebound by T. Thompson,,23-9,,
3:54.0,T. Thompson misses 2-pt shot from 1 ft,,23-9,,
3:53.0,Offensive rebound by Team,,23-9,,
3:53.0,,,23-9,,Personal foul by A. Afflalo (drawn by T. Thompson)
3:53.0,T. Thompson makes free throw 1 of 2,1,24-9,,
3:53.0,T. Thompson misses free throw 2 of 2,,24-9,,
3:51.0,,,24-9,,Defensive rebound by J. McGee
3:43.0,,,24-12,3,R. Foye makes 3-pt shot from 24 ft
3:30.0,M. Miller misses 3-pt shot from 24 ft,,24-12,,
3:28.0,,,24-12,,Defensive rebound by D. Arthur
3:18.0,,,24-12,,R. Foye misses 3-pt shot from 24 ft
3:15.0,Defensive rebound by M. Miller,,24-12,,
3:11.0,T. Thompson makes 2-pt shot at rim (assist by L. James),2,26-12,,
2:47.0,,,26-14,2,W. Chandler makes 2-pt shot from 4 ft
2:40.0,D. Waiters makes 2-pt shot from 6 ft (assist by L. James),2,28-14,,
2:30.0,,,28-14,,D. Arthur misses 2-pt shot from 19 ft
2:29.0,Defensive rebound by K. Love,,28-14,,
2:17.0,D. Waiters misses 3-pt shot from 25 ft,,28-14,,
2:16.0,,,28-14,,Defensive rebound by W. Chandler
2:08.0,,,28-17,3,W. Chandler makes 3-pt shot from 24 ft (assist by A. Afflalo)
2:07.0,Cleveland full timeout,,28-17,,
2:07.0,S. Marion enters the game for L. James,,28-17,,
2:07.0,K. Irving enters the game for K. Love,,28-17,,
2:07.0,,,28-17,,D. Gallinari enters the game for W. Chandler
1:59.0,M. Miller misses 2-pt shot from 21 ft,,28-17,,
1:57.0,,,28-17,,Defensive rebound by J. McGee
1:46.0,,,28-17,,R. Foye misses 3-pt shot from 23 ft
1:43.0,Defensive rebound by D. Waiters,,28-17,,
1:39.0,Shooting foul by J. McGee (drawn by T. Thompson),,28-17,,
1:39.0,T. Thompson makes free throw 1 of 2,1,29-17,,
1:39.0,,,29-17,,A. Gee enters the game for A. Afflalo
1:39.0,T. Thompson makes free throw 2 of 2,1,30-17,,
1:18.0,,,30-17,,Turnover by J. McGee (bad pass)
0:59.0,D. Waiters makes 2-pt shot from 20 ft,2,32-17,,
0:38.0,,,32-19,2,R. Foye makes 2-pt shot from 2 ft
0:38.0,Shooting block foul by K. Irving (drawn by R. Foye),,32-19,,
0:38.0,,,32-20,1,R. Foye makes free throw 1 of 1
0:29.0,D. Waiters misses 2-pt shot from 1 ft (block by J. McGee),,32-20,,
0:29.0,Offensive rebound by S. Marion,,32-20,,
0:29.0,S. Marion makes 2-pt shot at rim,2,34-20,,
0:08.0,,,34-20,,R. Foye misses 2-pt shot from 1 ft
0:06.0,Defensive rebound by S. Marion,,34-20,,
0:04.0,D. Waiters makes 2-pt shot from 1 ft (assist by S. Marion),2,36-20,,
0:04.0,,,36-20,,K. Faried enters the game for D. Arthur
0:04.0,D. Waiters misses flagrant free throw 1 of 2,,36-20,,
0:04.0,Offensive rebound by Team,,36-20,,
0:04.0,D. Waiters makes flagrant free throw 2 of 2,1,37-20,,
0:01.0,Shooting foul by D. Gallinari (drawn by D. Waiters),,37-20,,
0:01.0,D. Waiters misses free throw 1 of 2,,37-20,,
0:01.0,Offensive rebound by Team,,37-20,,
0:01.0,D. Waiters makes free throw 2 of 2,1,38-20,,
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:47.0,Turnover by A. Varejao (dbl dribble),,38-20,,
11:36.0,,,38-22,2,R. Foye makes 2-pt shot from 2 ft
11:22.0,D. Waiters misses 3-pt shot from 24 ft,,38-22,,
11:20.0,,,38-22,,Defensive rebound by K. Faried
11:06.0,,,38-25,3,D. Gallinari makes 3-pt shot from 23 ft (assist by N. Robinson)
10:49.0,T. Thompson makes 2-pt shot from 3 ft,2,40-25,,
10:28.0,,,40-27,2,N. Robinson makes 2-pt shot from 20 ft
10:01.0,A. Varejao makes 2-pt shot at rim (assist by K. Irving),2,42-27,,
9:37.0,,,42-27,,N. Robinson misses 2-pt shot from 9 ft
9:34.0,Defensive rebound by T. Thompson,,42-27,,
9:21.0,S. Marion misses 3-pt shot from 22 ft,,42-27,,
9:20.0,,,42-27,,Defensive rebound by K. Faried
9:12.0,,,42-27,,R. Foye misses 3-pt shot from 25 ft
9:10.0,Defensive rebound by A. Varejao,,42-27,,
9:03.0,K. Irving misses 3-pt shot from 24 ft,,42-27,,
9:03.0,Offensive rebound by Team,,42-27,,
9:03.0,,,42-27,,Loose ball foul by D. Gallinari (drawn by T. Thompson)
9:03.0,,,42-27,,W. Chandler enters the game for R. Foye
9:03.0,L. James enters the game for S. Marion,,42-27,,
8:57.0,D. Waiters misses 2-pt shot from 18 ft,,42-27,,
8:56.0,,,42-27,,Defensive rebound by W. Chandler
8:46.0,,,42-27,,K. Faried misses 2-pt shot from 1 ft
8:44.0,Defensive rebound by K. Irving,,42-27,,
8:36.0,D. Waiters makes 3-pt shot from 23 ft (assist by L. James),3,45-27,,
8:16.0,,,45-27,,Shooting foul by T. Thompson (drawn by D. Gallinari)
8:16.0,Official timeout,,45-27,,
8:16.0,W. Cherry enters the game for K. Irving,,45-27,,
8:16.0,,,45-27,,T. Mozgov enters the game for K. Faried
8:16.0,,,45-28,1,D. Gallinari makes free throw 1 of 2
8:16.0,,,45-29,1,D. Gallinari makes free throw 2 of 2
7:58.0,Shooting foul by W. Chandler (drawn by L. James),,45-29,,
7:58.0,L. James makes free throw 1 of 2,1,46-29,,
7:58.0,L. James misses free throw 2 of 2,,46-29,,
7:54.0,,,46-29,,Defensive rebound by W. Chandler
7:45.0,,,46-29,,N. Robinson misses 3-pt shot from 26 ft
7:43.0,Defensive rebound by W. Cherry,,46-29,,
7:23.0,L. James misses 2-pt shot from 15 ft,,46-29,,
7:21.0,,,46-29,,Defensive rebound by T. Mozgov
7:12.0,,,46-29,,A. Gee misses 2-pt shot from 15 ft
7:11.0,Defensive rebound by A. Varejao,,46-29,,
7:00.0,T. Thompson makes 2-pt shot from 6 ft (assist by L. James),2,48-29,,
6:34.0,,,48-32,3,N. Robinson makes 3-pt shot from 26 ft
6:08.0,D. Waiters misses 2-pt shot from 17 ft,,48-32,,
6:07.0,,,48-32,,Defensive rebound by W. Chandler
6:02.0,,,48-34,2,W. Chandler makes 2-pt shot at rim
5:39.0,L. James misses 3-pt shot from 25 ft,,48-34,,
5:37.0,,,48-34,,Defensive rebound by W. Chandler
5:33.0,,,48-34,,Turnover by W. Chandler (discontinued dribble)
5:33.0,,,48-34,,Denver full timeout
5:33.0,,,48-34,,A. Afflalo enters the game for A. Gee
5:33.0,K. Love enters the game for D. Waiters,,48-34,,
5:33.0,K. Irving enters the game for T. Thompson,,48-34,,
5:33.0,S. Marion enters the game for W. Cherry,,48-34,,
5:11.0,L. James misses 2-pt shot from 20 ft,,48-34,,
5:10.0,Offensive rebound by Team,,48-34,,
5:06.0,L. James misses 2-pt shot from 9 ft,,48-34,,
5:04.0,,,48-34,,Defensive rebound by A. Afflalo
4:53.0,Personal foul by A. Varejao (drawn by D. Gallinari),,48-34,,
4:40.0,,,48-34,,D. Gallinari misses 2-pt shot from 16 ft
4:38.0,,,48-34,,Offensive rebound by T. Mozgov
4:38.0,,,48-36,2,T. Mozgov makes 2-pt shot from 1 ft
4:21.0,K. Love misses 2-pt shot from 8 ft,,48-36,,
4:20.0,,,48-36,,Defensive rebound by A. Afflalo
4:13.0,,,48-36,,A. Afflalo misses 2-pt shot from 17 ft
4:09.0,,,48-36,,Offensive rebound by W. Chandler
3:59.0,,,48-36,,D. Gallinari misses 2-pt shot from 17 ft
3:55.0,Defensive rebound by L. James,,48-36,,
3:51.0,A. Varejao makes 2-pt shot at rim (assist by K. Irving),2,50-36,,
3:36.0,,,50-39,3,D. Gallinari makes 3-pt shot from 24 ft (assist by N. Robinson)
3:29.0,Cleveland full timeout,,50-39,,
3:29.0,T. Thompson enters the game for A. Varejao,,50-39,,
3:29.0,,,50-39,,K. Faried enters the game for D. Gallinari
3:10.0,K. Love misses 2-pt shot from 17 ft,,50-39,,
3:09.0,Offensive rebound by Team,,50-39,,
2:51.0,L. James misses 2-pt shot from 1 ft,,50-39,,
2:50.0,Offensive rebound by K. Love,,50-39,,
2:49.0,Shooting foul by W. Chandler (drawn by K. Love),,50-39,,
2:49.0,K. Love makes free throw 1 of 2,1,51-39,,
2:49.0,,,51-39,,R. Foye enters the game for W. Chandler
2:49.0,J. Harris enters the game for S. Marion,,51-39,,
2:49.0,K. Love misses free throw 2 of 2,,51-39,,
2:47.0,,,51-39,,Defensive rebound by A. Afflalo
2:37.0,,,51-39,,Offensive foul by T. Mozgov
2:37.0,,,51-39,,Turnover by T. Mozgov (offensive foul)
2:37.0,,,51-39,,J. McGee enters the game for T. Mozgov
2:22.0,J. Harris misses 2-pt shot from 2 ft (block by R. Foye),,51-39,,
2:20.0,,,51-39,,Defensive rebound by A. Afflalo
2:14.0,,,51-42,3,N. Robinson makes 3-pt shot from 23 ft (assist by R. Foye)
1:56.0,K. Irving misses 2-pt shot from 20 ft,,51-42,,
1:54.0,,,51-42,,Defensive rebound by K. Faried
1:48.0,,,51-42,,N. Robinson misses 3-pt shot from 23 ft
1:47.0,Defensive rebound by J. Harris,,51-42,,
1:41.0,L. James makes 2-pt shot at rim,2,53-42,,
1:36.0,,,53-42,,Turnover by J. McGee (bad pass; steal by J. Harris)
1:30.0,L. James makes 3-pt shot from 24 ft (assist by J. Harris),3,56-42,,
1:09.0,,,56-42,,J. McGee misses 2-pt shot from 5 ft
1:09.0,Defensive rebound by K. Love,,56-42,,
0:58.0,T. Thompson makes 2-pt shot from 7 ft (assist by K. Irving),2,58-42,,
0:42.0,,,58-44,2,R. Foye makes 2-pt shot at rim
0:42.0,,,58-44,,Shooting foul by T. Thompson (drawn by R. Foye)
0:42.0,,,58-45,1,R. Foye makes free throw 1 of 1
0:22.0,T. Thompson misses 2-pt shot from 15 ft (block by J. McGee),,58-45,,
0:22.0,Offensive rebound by Team,,58-45,,
0:22.0,,,58-45,,Loose ball foul by A. Afflalo (drawn by K. Irving)
0:22.0,S. Marion enters the game for J. Harris,,58-45,,
0:22.0,Cleveland full timeout,,58-45,,
0:22.0,M. Miller enters the game for T. Thompson,,58-45,,
0:05.0,K. Love misses 3-pt shot from 26 ft,,58-45,,
0:04.0,,,58-45,,Defensive rebound by Team
0:00.0,,,58-45,,N. Robinson misses 3-pt shot from 23 ft
0:00.0,,,58-45,,Offensive rebound by Team
0:00.0,End of 2nd quarter,,,,End of 2nd quarter
12:00.0,Start of 3rd quarter,,,,Start of 3rd quarter
11:39.0,K. Irving makes 3-pt shot from 22 ft,3,61-45,,
11:30.0,Personal foul by A. Varejao (drawn by A. Afflalo),,61-45,,
11:21.0,Personal foul by L. James (drawn by K. Faried),,61-45,,
11:13.0,,,61-45,,Offensive foul by W. Chandler
11:13.0,,,61-45,,Turnover by W. Chandler (offensive foul)
10:59.0,K. Love misses 2-pt shot from 5 ft,,61-45,,
10:57.0,,,61-45,,Defensive rebound by T. Mozgov
10:51.0,,,61-47,2,K. Faried makes 2-pt shot from 1 ft (assist by N. Robinson)
10:24.0,L. James misses 3-pt shot from 24 ft,,61-47,,
10:22.0,,,61-47,,Defensive rebound by K. Faried
10:15.0,,,61-49,2,N. Robinson makes 2-pt shot from 4 ft (assist by K. Faried)
10:06.0,K. Irving makes 3-pt shot from 25 ft (assist by L. James),3,64-49,,
10:06.0,,,64-49,,Denver full timeout
9:50.0,,,64-49,,T. Mozgov misses 3-pt shot from 23 ft
9:48.0,Defensive rebound by K. Irving,,64-49,,
9:40.0,K. Love misses 3-pt shot from 23 ft,,64-49,,
9:39.0,,,64-49,,Defensive rebound by T. Mozgov
9:33.0,,,64-49,,W. Chandler misses 3-pt shot from 23 ft
9:32.0,Defensive rebound by L. James,,64-49,,
9:26.0,S. Marion makes 2-pt shot at rim (assist by L. James),2,66-49,,
9:07.0,,,66-49,,W. Chandler misses 3-pt shot from 24 ft
9:06.0,Defensive rebound by K. Irving,,66-49,,
8:49.0,K. Love makes 2-pt shot from 5 ft (assist by L. James),2,68-49,,
8:38.0,,,68-49,,Shooting foul by K. Love (drawn by T. Mozgov)
8:38.0,,,68-50,1,T. Mozgov makes free throw 1 of 2
8:38.0,,,68-50,,R. Foye enters the game for W. Chandler
8:38.0,,,68-50,,T. Mozgov misses free throw 2 of 2
8:36.0,Defensive rebound by A. Varejao,,68-50,,
8:24.0,A. Varejao makes 2-pt shot from 1 ft (assist by K. Irving),2,70-50,,
8:01.0,,,70-50,,N. Robinson misses 3-pt shot from 27 ft
8:00.0,Defensive rebound by S. Marion,,70-50,,
7:38.0,S. Marion misses 2-pt shot at rim (block by K. Faried),,70-50,,
7:34.0,,,70-50,,Defensive rebound by R. Foye
7:31.0,,,70-52,2,N. Robinson makes 2-pt shot from 1 ft (assist by R. Foye)
7:21.0,Turnover by K. Irving (bad pass; steal by N. Robinson),,70-52,,
7:17.0,,,70-54,2,K. Faried makes 2-pt shot at rim (assist by N. Robinson)
7:17.0,Cleveland full timeout,,70-54,,
7:04.0,K. Love makes 2-pt shot from 1 ft (assist by A. Varejao),2,72-54,,
6:39.0,,,72-56,2,T. Mozgov makes 2-pt shot at rim (assist by R. Foye)
6:23.0,,,72-56,,Def 3 sec tech foul by K. Faried
6:23.0,L. James makes technical free throw,1,73-56,,
6:10.0,L. James misses 2-pt shot from 20 ft,,73-56,,
6:08.0,,,73-56,,Defensive rebound by T. Mozgov
5:46.0,,,73-56,,N. Robinson misses 2-pt shot from 5 ft
5:44.0,Defensive rebound by K. Love,,73-56,,
5:37.0,K. Irving makes 2-pt shot from 1 ft,2,75-56,,
5:19.0,,,75-58,2,K. Faried makes 2-pt shot from 4 ft (assist by R. Foye)
5:05.0,Shooting foul by K. Faried (drawn by K. Love),,75-58,,
5:05.0,K. Love makes free throw 1 of 2,1,76-58,,
5:05.0,D. Waiters enters the game for K. Irving,,76-58,,
5:05.0,,,76-58,,D. Gallinari enters the game for N. Robinson
5:05.0,K. Love makes free throw 2 of 2,1,77-58,,
4:53.0,,,77-58,,Turnover by K. Faried (bad pass; steal by A. Varejao)
4:45.0,D. Waiters misses 2-pt shot from 2 ft,,77-58,,
4:44.0,Offensive rebound by K. Love,,77-58,,
4:44.0,K. Love misses 2-pt shot at rim,,77-58,,
4:41.0,,,77-58,,Defensive rebound by K. Faried
4:35.0,Violation by K. Love (kicked ball),,77-58,,
4:35.0,M. Miller enters the game for S. Marion,,77-58,,
4:35.0,,,77-58,,J. Nurkic enters the game for K. Faried
4:35.0,T. Thompson enters the game for A. Varejao,,77-58,,
4:20.0,,,77-60,2,J. Nurkic makes 2-pt shot from 2 ft (assist by R. Foye)
4:01.0,D. Waiters misses 2-pt shot from 20 ft,,77-60,,
4:00.0,,,77-60,,Defensive rebound by A. Afflalo
3:48.0,,,77-60,,R. Foye misses 3-pt shot from 27 ft
3:46.0,,,77-60,,Offensive rebound by D. Gallinari
3:39.0,,,77-60,,Shooting foul by T. Thompson (drawn by R. Foye)
3:39.0,,,77-61,1,R. Foye makes free throw 1 of 2
3:39.0,,,77-61,,R. Foye misses free throw 2 of 2
3:36.0,Defensive rebound by K. Love,,77-61,,
3:23.0,Turnover by L. James (bad pass; steal by A. Afflalo),,77-61,,
3:19.0,,,77-61,,Turnover by R. Foye (lost ball)
3:16.0,L. James makes 2-pt shot from 5 ft,2,79-61,,
3:16.0,Shooting foul by D. Gallinari (drawn by L. James),,79-61,,
3:16.0,L. James makes free throw 1 of 1,1,80-61,,
2:57.0,,,80-61,,T. Mozgov misses 2-pt shot from 16 ft
2:55.0,Defensive rebound by T. Thompson,,80-61,,
2:47.0,L. James makes 2-pt shot from 4 ft,2,82-61,,
2:39.0,,,82-61,,R. Foye misses 2-pt shot from 18 ft
2:37.0,Defensive rebound by T. Thompson,,82-61,,
2:29.0,K. Love misses 3-pt shot from 23 ft,,82-61,,
2:27.0,,,82-61,,Defensive rebound by D. Gallinari
2:17.0,,,82-63,2,D. Gallinari makes 2-pt shot at rim
1:57.0,Shooting foul by R. Foye (drawn by T. Thompson),,82-63,,
1:57.0,,,82-63,,Denver full timeout
1:57.0,K. Irving enters the game for L. James,,82-63,,
1:57.0,S. Marion enters the game for K. Love,,82-63,,
1:57.0,,,82-63,,A. Gee enters the game for A. Afflalo
1:57.0,T. Thompson misses free throw 1 of 2,,82-63,,
1:57.0,Offensive rebound by Team,,82-63,,
1:57.0,,,82-63,,E. Green enters the game for T. Mozgov
1:57.0,T. Thompson makes free throw 2 of 2,1,83-63,,
1:37.0,,,83-63,,R. Foye misses 2-pt shot from 4 ft
1:35.0,Defensive rebound by T. Thompson,,83-63,,
1:29.0,K. Irving misses 2-pt shot from 1 ft,,83-63,,
1:27.0,,,83-63,,Defensive rebound by R. Foye
1:11.0,,,83-65,2,J. Nurkic makes 2-pt shot at rim (assist by D. Gallinari)
0:45.0,,,83-65,,Personal foul by E. Green (drawn by D. Waiters)
0:45.0,D. Waiters makes free throw 1 of 2,1,84-65,,
0:45.0,D. Waiters makes free throw 2 of 2,1,85-65,,
0:39.0,,,85-68,3,R. Foye makes 3-pt shot from 24 ft (assist by A. Gee)
0:23.0,D. Waiters misses 2-pt shot from 6 ft,,85-68,,
0:21.0,,,85-68,,Defensive rebound by A. Gee
0:17.0,,,85-71,3,R. Foye makes 3-pt shot from 24 ft (assist by A. Gee)
0:01.0,K. Irving misses 2-pt shot from 3 ft,,85-71,,
0:00.0,,,85-71,,Defensive rebound by Team
0:00.0,End of 3rd quarter,,,,End of 3rd quarter
12:00.0,Start of 4th quarter,,,,Start of 4th quarter
11:42.0,,,85-73,2,E. Green makes 2-pt shot from 21 ft (assist by D. Gallinari)
11:25.0,M. Miller makes 3-pt shot from 24 ft (assist by D. Waiters),3,88-73,,
11:18.0,,,88-73,,Shooting foul by S. Marion (drawn by A. Gee)
11:18.0,,,88-73,,A. Gee misses free throw 1 of 2
11:18.0,,,88-73,,Offensive rebound by Team
11:18.0,,,88-74,1,A. Gee makes free throw 2 of 2
10:57.0,K. Irving misses 2-pt shot at rim,,88-74,,
10:56.0,Offensive rebound by S. Marion,,88-74,,
10:52.0,M. Miller misses 3-pt shot from 25 ft,,88-74,,
10:51.0,,,88-74,,Defensive rebound by J. Nurkic
10:39.0,,,88-76,2,A. Gee makes 2-pt shot from 2 ft (assist by E. Green)
10:39.0,,,88-76,,Shooting foul by M. Miller (drawn by A. Gee)
10:39.0,L. James enters the game for S. Marion,,88-76,,
10:39.0,K. Love enters the game for D. Waiters,,88-76,,
10:39.0,,,88-77,1,A. Gee makes free throw 1 of 1
10:18.0,Turnover by T. Thompson (lost ball; steal by J. Nurkic),,88-77,,
10:17.0,Personal block foul by M. Miller (drawn by R. Foye),,88-77,,
10:08.0,,,88-79,2,J. Nurkic makes 2-pt shot from 3 ft (assist by R. Foye)
9:41.0,Turnover by Team (shot clock),,88-79,,
9:30.0,,,88-79,,Turnover by J. Nurkic (offensive goaltending)
9:30.0,Cleveland full timeout,,88-79,,
9:30.0,A. Varejao enters the game for T. Thompson,,88-79,,
9:13.0,L. James makes 2-pt shot from 16 ft (assist by M. Miller),2,90-79,,
8:58.0,,,90-79,,D. Gallinari misses 2-pt shot from 6 ft
8:56.0,Defensive rebound by L. James,,90-79,,
8:41.0,L. James makes 2-pt shot from 1 ft,2,92-79,,
8:23.0,,,92-81,2,E. Green makes 2-pt shot from 21 ft
7:59.0,L. James misses 2-pt shot from 17 ft,,92-81,,
7:58.0,Offensive rebound by A. Varejao,,92-81,,
7:54.0,K. Love misses 3-pt shot from 22 ft,,92-81,,
7:53.0,,,92-81,,Defensive rebound by E. Green
7:46.0,,,92-83,2,E. Green makes 2-pt shot from 15 ft (assist by R. Foye)
7:28.0,,,92-83,,W. Chandler enters the game for D. Gallinari
7:18.0,K. Irving makes 2-pt shot from 1 ft (assist by A. Varejao),2,94-83,,
7:00.0,,,94-86,3,R. Foye makes 3-pt shot from 24 ft
6:41.0,K. Love makes 2-pt shot from 2 ft (assist by K. Irving),2,96-86,,
6:25.0,,,96-86,,R. Foye misses 3-pt shot from 27 ft
6:23.0,Defensive rebound by A. Varejao,,96-86,,
6:18.0,M. Miller misses 3-pt shot from 25 ft,,96-86,,
6:16.0,,,96-86,,Defensive rebound by W. Chandler
6:12.0,,,96-86,,Denver full timeout
6:12.0,D. Waiters enters the game for M. Miller,,96-86,,
6:02.0,,,96-88,2,R. Foye makes 2-pt shot from 2 ft (assist by W. Chandler)
5:50.0,Offensive foul by K. Love,,96-88,,
5:50.0,Turnover by K. Love (offensive foul),,96-88,,
5:32.0,,,96-88,,W. Chandler misses 3-pt shot from 25 ft
5:30.0,Defensive rebound by K. Love,,96-88,,
5:22.0,Shooting foul by J. Nurkic (drawn by K. Love),,96-88,,
5:22.0,K. Love makes free throw 1 of 2,1,97-88,,
5:22.0,,,97-88,,A. Afflalo enters the game for E. Green
5:22.0,S. Marion enters the game for A. Varejao,,97-88,,
5:22.0,K. Love makes free throw 2 of 2,1,98-88,,
5:03.0,,,98-88,,Shooting foul by K. Love (drawn by W. Chandler)
5:03.0,,,98-89,1,W. Chandler makes free throw 1 of 2
5:03.0,,,98-90,1,W. Chandler makes free throw 2 of 2
4:43.0,L. James misses 3-pt shot from 25 ft,,98-90,,
4:41.0,,,98-90,,Defensive rebound by A. Gee
4:30.0,,,98-92,2,W. Chandler makes 2-pt shot from 4 ft
4:09.0,Turnover by K. Love (lost ball),,98-92,,
3:48.0,,,98-92,,Turnover by W. Chandler (bad pass; steal by D. Waiters)
3:43.0,D. Waiters makes 2-pt shot at rim,2,100-92,,
3:31.0,,,100-92,,R. Foye misses 2-pt shot from 6 ft
3:29.0,,,100-92,,Offensive rebound by Team
3:20.0,,,100-92,,Turnover by J. Nurkic (lost ball)
3:06.0,D. Waiters makes 2-pt shot from 20 ft,2,102-92,,
3:04.0,,,102-92,,Denver full timeout
2:45.0,,,102-92,,A. Gee misses 2-pt shot from 1 ft
2:44.0,,,102-92,,Offensive rebound by J. Nurkic
2:44.0,,,102-92,,J. Nurkic misses 2-pt shot at rim
2:43.0,,,102-92,,Offensive rebound by J. Nurkic
2:42.0,,,102-92,,Shooting foul by K. Love (drawn by J. Nurkic)
2:42.0,,,102-92,,J. Nurkic misses free throw 1 of 2
2:42.0,,,102-92,,Offensive rebound by Team
2:42.0,,,102-92,,J. Nurkic misses free throw 2 of 2
2:40.0,Defensive rebound by S. Marion,,102-92,,
