time,Toronto,pts.away,score,pts.home,Detroit
3:12.0,Defensive rebound by D. DeRozan,,44-51,,
2:56.0,J. Valanciunas misses 2-pt shot at rim,,44-51,,
2:55.0,Offensive rebound by J. Valanciunas,,44-51,,
2:55.0,J. Valanciunas makes 2-pt shot at rim,2,46-51,,
2:36.0,,,46-53,2,K. Caldwell-Pope makes 2-pt shot from 9 ft (assist by R. Jackson)
2:10.0,J. Valanciunas misses 2-pt shot from 4 ft,,46-53,,
2:08.0,,,46-53,,Defensive rebound by R. Jackson
1:55.0,,,46-56,3,R. Jackson makes 3-pt shot from 25 ft (assist by K. Caldwell-Pope)
1:53.0,Toronto full timeout,,46-56,,
1:53.0,Official timeout,,46-56,,
1:53.0,,,46-56,,J. Anthony enters the game for A. Drummond
1:53.0,,,46-56,,A. Tolliver enters the game for S. Williams
1:53.0,A. Johnson enters the game for P. Patterson,,46-56,,
1:33.0,Turnover by J. Valanciunas (kicked ball),,46-56,,
1:13.0,,,46-58,2,K. Caldwell-Pope makes 2-pt shot from 17 ft (assist by T. Prince)
0:56.0,T. Ross misses 3-pt shot from 26 ft,,46-58,,
0:54.0,,,46-58,,Defensive rebound by R. Jackson
0:51.0,Personal foul by G. Vasquez (drawn by R. Jackson),,46-58,,
0:43.0,,,46-58,,Shooting foul by T. Ross (drawn by R. Jackson)
0:43.0,,,46-59,1,R. Jackson makes free throw 1 of 2
0:43.0,L. Williams enters the game for T. Ross,,46-59,,
0:43.0,,,46-60,1,R. Jackson makes free throw 2 of 2
0:32.0,D. DeRozan makes 2-pt shot from 18 ft,2,48-60,,
0:16.0,,,48-60,,T. Prince misses 3-pt shot from 25 ft
0:14.0,Defensive rebound by A. Johnson,,48-60,,
0:02.0,,,48-60,,Personal take foul by T. Prince (drawn by D. DeRozan)
0:00.0,D. DeRozan misses 2-pt shot from 18 ft,,48-60,,
0:00.0,Offensive rebound by Team,,48-60,,
0:00.0,End of 2nd quarter,,,,End of 2nd quarter
12:00.0,Start of 3rd quarter,,,,Start of 3rd quarter
11:46.0,Shooting foul by K. Caldwell-Pope (drawn by D. DeRozan),,48-60,,
11:46.0,D. DeRozan makes free throw 1 of 2,1,49-60,,
11:46.0,D. DeRozan makes free throw 2 of 2,1,50-60,,
11:35.0,,,50-60,,Shooting foul by J. Valanciunas (drawn by R. Jackson)
11:35.0,,,50-61,1,R. Jackson makes free throw 1 of 2
11:35.0,,,50-62,1,R. Jackson makes free throw 2 of 2
11:21.0,Shooting foul by K. Caldwell-Pope (drawn by D. DeRozan),,50-62,,
11:21.0,D. DeRozan makes free throw 1 of 2,1,51-62,,
11:21.0,D. DeRozan makes free throw 2 of 2,1,52-62,,
11:01.0,,,52-64,2,A. Drummond makes 2-pt shot from 5 ft (assist by K. Caldwell-Pope)
10:47.0,D. DeRozan misses 2-pt shot from 17 ft,,52-64,,
10:46.0,,,52-64,,Defensive rebound by A. Drummond
10:44.0,,,52-64,,Detroit full timeout
10:44.0,,,52-64,,J. Meeks enters the game for K. Caldwell-Pope
10:27.0,,,52-66,2,A. Drummond makes 2-pt shot at rim (assist by R. Jackson)
10:01.0,Turnover by Team (shot clock),,52-66,,
9:50.0,,,52-66,,A. Tolliver misses 3-pt shot from 26 ft
9:49.0,Defensive rebound by G. Vasquez,,52-66,,
9:42.0,Turnover by G. Vasquez (bad pass; steal by A. Drummond),,52-66,,
9:25.0,,,52-68,2,R. Jackson makes 2-pt shot at rim (assist by A. Drummond)
9:03.0,D. DeRozan misses 2-pt shot from 6 ft,,52-68,,
9:02.0,Offensive rebound by J. Valanciunas,,52-68,,
8:59.0,J. Valanciunas misses 2-pt shot from 4 ft,,52-68,,
8:58.0,Offensive rebound by Team,,52-68,,
8:49.0,Offensive foul by A. Johnson,,52-68,,
8:49.0,Turnover by A. Johnson (offensive foul),,52-68,,
8:37.0,,,52-68,,R. Jackson misses 2-pt shot from 18 ft
8:36.0,Defensive rebound by J. Valanciunas,,52-68,,
8:29.0,Shooting foul by A. Drummond (drawn by D. DeRozan),,52-68,,
8:29.0,D. DeRozan makes free throw 1 of 2,1,53-68,,
8:29.0,L. Williams enters the game for G. Vasquez,,53-68,,
8:29.0,D. DeRozan makes free throw 2 of 2,1,54-68,,
8:19.0,,,54-68,,J. Meeks misses 3-pt shot from 26 ft
8:18.0,Defensive rebound by A. Johnson,,54-68,,
8:10.0,Shooting foul by A. Tolliver (drawn by A. Johnson),,54-68,,
8:10.0,A. Johnson misses free throw 1 of 2,,54-68,,
8:10.0,Offensive rebound by Team,,54-68,,
8:10.0,A. Johnson makes free throw 2 of 2,1,55-68,,
7:50.0,,,55-70,2,A. Drummond makes 2-pt shot from 4 ft (assist by J. Meeks)
7:40.0,D. DeRozan makes 2-pt shot at rim (assist by J. Valanciunas),2,57-70,,
7:35.0,Clear path foul by J. Valanciunas,,57-70,,
7:35.0,,,57-70,,T. Prince enters the game for C. Butler
7:35.0,,,57-71,1,A. Drummond makes clear path free throw 1 of 2
7:35.0,,,57-72,1,A. Drummond makes clear path free throw 2 of 2
7:28.0,,,57-72,,R. Jackson misses 2-pt shot from 12 ft
7:27.0,,,57-72,,Offensive rebound by R. Jackson
7:22.0,,,57-72,,A. Drummond misses 2-pt shot from 1 ft
7:21.0,Defensive rebound by D. DeRozan,,57-72,,
7:12.0,D. DeRozan misses 2-pt shot from 13 ft,,57-72,,
7:10.0,Offensive rebound by J. Valanciunas,,57-72,,
6:57.0,Turnover by L. Williams (bad pass),,57-72,,
6:35.0,,,57-75,3,R. Jackson makes 3-pt shot from 26 ft (assist by A. Drummond)
6:12.0,A. Johnson makes 2-pt shot from 5 ft (assist by T. Ross),2,59-75,,
5:58.0,,,59-75,,A. Drummond misses 2-pt shot from 5 ft
5:56.0,Defensive rebound by J. Valanciunas,,59-75,,
5:49.0,Shooting foul by A. Tolliver (drawn by J. Valanciunas),,59-75,,
5:49.0,J. Valanciunas makes free throw 1 of 2,1,60-75,,
5:49.0,P. Patterson enters the game for A. Johnson,,60-75,,
5:49.0,J. Valanciunas makes free throw 2 of 2,1,61-75,,
5:29.0,,,61-77,2,R. Jackson makes 2-pt shot from 5 ft
5:10.0,Shooting foul by R. Jackson (drawn by L. Williams),,61-77,,
5:10.0,L. Williams makes free throw 1 of 2,1,62-77,,
5:10.0,G. Vasquez enters the game for T. Ross,,62-77,,
5:10.0,L. Williams misses free throw 2 of 2,,62-77,,
5:09.0,,,62-77,,Defensive rebound by A. Drummond
4:52.0,,,62-77,,A. Drummond misses 2-pt shot from 5 ft (block by J. Valanciunas)
4:52.0,Jump ball: A. Drummond vs. J. Valanciunas (R. Jackson gains possession),,,,Jump ball: A. Drummond vs. J. Valanciunas (R. Jackson gains possession)
4:52.0,,,62-77,,Offensive rebound by Team
4:44.0,,,62-77,,R. Jackson misses 2-pt shot from 11 ft
4:44.0,,,62-77,,Offensive rebound by A. Drummond
4:44.0,,,62-77,,A. Drummond misses 2-pt shot from 2 ft
4:44.0,,,62-77,,Offensive rebound by A. Drummond
4:43.0,,,62-77,,A. Drummond misses 2-pt shot from 2 ft
4:43.0,,,62-77,,Offensive rebound by A. Drummond
4:43.0,,,62-77,,A. Drummond misses 2-pt shot from 2 ft
4:43.0,Defensive rebound by Team,,62-77,,
4:43.0,,,62-77,,Loose ball foul by A. Tolliver (drawn by P. Patterson)
4:43.0,P. Patterson makes free throw 1 of 2,1,63-77,,
4:43.0,,,63-77,,S. Williams enters the game for A. Tolliver
4:43.0,P. Patterson makes free throw 2 of 2,1,64-77,,
4:12.0,,,64-77,,S. Williams misses 2-pt shot from 3 ft (block by J. Valanciunas)
4:11.0,Defensive rebound by G. Vasquez,,64-77,,
3:59.0,D. DeRozan misses 2-pt shot from 4 ft (block by S. Williams),,64-77,,
3:58.0,,,64-77,,Defensive rebound by T. Prince
3:54.0,,,64-79,2,R. Jackson makes 2-pt shot at rim (assist by T. Prince)
3:47.0,Toronto full timeout,,64-79,,
3:47.0,,,64-79,,K. Caldwell-Pope enters the game for J. Meeks
3:38.0,P. Patterson misses 2-pt shot from 6 ft (block by A. Drummond),,64-79,,
3:38.0,Offensive rebound by Team,,64-79,,
3:28.0,D. DeRozan makes 2-pt shot from 17 ft,2,66-79,,
3:05.0,,,66-79,,T. Prince misses 3-pt shot from 26 ft
3:04.0,Defensive rebound by Team,,66-79,,
2:47.0,L. Williams makes 3-pt shot from 26 ft,3,69-79,,
2:10.0,,,69-79,,A. Drummond misses 2-pt shot from 4 ft (block by J. Valanciunas)
2:09.0,,,69-79,,Offensive rebound by K. Caldwell-Pope
2:08.0,,,69-81,2,K. Caldwell-Pope makes 2-pt shot at rim
2:02.0,P. Patterson misses 3-pt shot from 26 ft,,69-81,,
2:01.0,,,69-81,,Defensive rebound by K. Caldwell-Pope
1:53.0,,,69-83,2,R. Jackson makes 2-pt shot from 1 ft
1:38.0,P. Patterson makes 3-pt shot from 27 ft (assist by G. Vasquez),3,72-83,,
1:18.0,,,72-83,,T. Prince misses 2-pt shot from 18 ft
1:18.0,Defensive rebound by J. Valanciunas,,72-83,,
1:10.0,Turnover by L. Williams (lost ball; steal by R. Jackson),,72-83,,
1:09.0,Personal foul by J. Valanciunas (drawn by R. Jackson),,72-83,,
1:09.0,,,72-83,,S. Dinwiddie enters the game for R. Jackson
1:06.0,A. Johnson enters the game for J. Valanciunas,,72-83,,
0:57.0,,,72-83,,K. Caldwell-Pope misses 3-pt shot from 25 ft
0:56.0,Defensive rebound by D. DeRozan,,72-83,,
0:45.0,Turnover by D. DeRozan (bad pass),,72-83,,
0:31.0,,,72-83,,Offensive foul by S. Dinwiddie
0:31.0,,,72-83,,Turnover by S. Dinwiddie (offensive foul)
0:11.0,L. Williams makes 3-pt shot from 27 ft,3,75-83,,
0:00.0,,,75-85,2,S. Dinwiddie makes 2-pt shot from 18 ft
0:00.0,End of 3rd quarter,,,,End of 3rd quarter
12:00.0,Start of 4th quarter,,,,Start of 4th quarter
11:49.0,,,75-85,,S. Dinwiddie misses 2-pt shot from 12 ft
11:48.0,Defensive rebound by D. DeRozan,,75-85,,
11:38.0,A. Johnson makes 2-pt shot at rim (assist by P. Patterson),2,77-85,,
11:16.0,,,77-85,,A. Drummond misses 2-pt shot from 4 ft
11:14.0,Defensive rebound by D. DeRozan,,77-85,,
11:07.0,G. Vasquez makes 3-pt shot from 25 ft (assist by D. DeRozan),3,80-85,,
11:06.0,,,80-85,,Detroit full timeout
10:42.0,,,80-85,,T. Prince misses 2-pt shot from 7 ft
10:40.0,,,80-85,,Offensive rebound by A. Drummond
10:37.0,,,80-85,,A. Drummond misses 2-pt shot from 5 ft
10:37.0,,,80-85,,Offensive rebound by A. Drummond
10:37.0,,,80-87,2,A. Drummond makes 2-pt shot from 5 ft
10:37.0,,,80-87,,Shooting foul by A. Johnson (drawn by A. Drummond)
10:37.0,,,80-87,,J. Meeks enters the game for S. Williams
10:37.0,,,80-87,,A. Drummond misses free throw 1 of 1
10:35.0,Defensive rebound by P. Patterson,,80-87,,
10:19.0,L. Williams misses 2-pt shot from 18 ft,,80-87,,
10:18.0,,,80-87,,Defensive rebound by A. Drummond
10:12.0,,,80-90,3,K. Caldwell-Pope makes 3-pt shot from 27 ft (assist by S. Dinwiddie)
9:58.0,G. Vasquez makes 2-pt shot from 9 ft,2,82-90,,
9:46.0,,,82-90,,J. Meeks misses 3-pt shot from 22 ft
9:45.0,,,82-90,,Offensive rebound by A. Drummond
9:37.0,,,82-90,,J. Meeks misses 2-pt shot from 5 ft
9:36.0,,,82-90,,Offensive rebound by A. Drummond
9:36.0,,,82-90,,A. Drummond misses 2-pt shot at rim
9:36.0,,,82-90,,Offensive rebound by Team
9:36.0,,,82-90,,J. Anthony enters the game for A. Drummond
9:25.0,,,82-90,,K. Caldwell-Pope misses 2-pt shot from 1 ft (block by A. Johnson)
9:23.0,Defensive rebound by G. Vasquez,,82-90,,
9:14.0,D. DeRozan misses 3-pt shot from 23 ft,,82-90,,
9:13.0,,,82-90,,Defensive rebound by K. Caldwell-Pope
9:06.0,Personal foul by G. Vasquez (drawn by S. Dinwiddie),,82-90,,
8:47.0,,,82-90,,Turnover by S. Dinwiddie (lost ball)
8:35.0,P. Patterson makes 3-pt shot from 25 ft (assist by D. DeRozan),3,85-90,,
8:22.0,Personal foul by D. DeRozan (drawn by J. Meeks),,85-90,,
8:08.0,,,85-90,,J. Meeks misses 3-pt shot from 25 ft
8:07.0,Defensive rebound by A. Johnson,,85-90,,
8:02.0,Jump ball: S. Dinwiddie vs. G. Vasquez,,,,Jump ball: S. Dinwiddie vs. G. Vasquez
8:02.0,Turnover by G. Vasquez (lost ball),,85-90,,
7:40.0,,,85-90,,Turnover by J. Meeks (bad pass; steal by P. Patterson)
7:34.0,G. Vasquez misses 3-pt shot from 25 ft,,85-90,,
7:33.0,Offensive rebound by D. DeRozan,,85-90,,
7:11.0,L. Williams makes 2-pt shot from 7 ft,2,87-90,,
7:02.0,,,87-90,,Detroit full timeout
7:02.0,T. Ross enters the game for G. Vasquez,,87-90,,
7:02.0,,,87-90,,R. Jackson enters the game for S. Dinwiddie
6:52.0,,,87-90,,R. Jackson misses 2-pt shot at rim
6:50.0,Defensive rebound by D. DeRozan,,87-90,,
6:43.0,Shooting foul by J. Meeks (drawn by D. DeRozan),,87-90,,
6:43.0,D. DeRozan makes free throw 1 of 2,1,88-90,,
6:43.0,,,88-90,,A. Tolliver enters the game for J. Meeks
6:43.0,D. DeRozan makes free throw 2 of 2,1,89-90,,
6:19.0,,,89-90,,T. Prince misses 2-pt shot from 4 ft
6:19.0,,,89-90,,Offensive rebound by Team
6:19.0,,,89-90,,A. Drummond enters the game for J. Anthony
6:19.0,J. Valanciunas enters the game for P. Patterson,,89-90,,
5:58.0,,,89-90,,R. Jackson misses 2-pt shot from 13 ft
5:57.0,,,89-90,,Offensive rebound by A. Tolliver
5:52.0,,,89-90,,A. Tolliver misses 3-pt shot from 27 ft
5:51.0,Defensive rebound by D. DeRozan,,89-90,,
5:49.0,,,89-90,,Personal foul by T. Prince (drawn by D. DeRozan)
5:49.0,Official timeout,,89-90,,
5:41.0,D. DeRozan makes 2-pt shot from 14 ft (assist by A. Johnson),2,91-90,,
5:12.0,,,91-92,2,A. Drummond makes 2-pt shot at rim (assist by R. Jackson)
4:56.0,T. Ross misses 3-pt shot from 26 ft,,91-92,,
4:55.0,,,91-92,,Defensive rebound by R. Jackson
4:43.0,,,91-95,3,K. Caldwell-Pope makes 3-pt shot from 26 ft (assist by R. Jackson)
4:24.0,,,91-95,,Personal foul by A. Tolliver (drawn by D. DeRozan)
4:01.0,,,91-97,2,R. Jackson makes 2-pt shot at rim
4:01.0,Toronto full timeout,,91-97,,
3:46.0,,,91-97,,Personal foul by R. Jackson (drawn by L. Williams)
3:46.0,L. Williams makes free throw 1 of 3,1,92-97,,
3:46.0,L. Williams makes free throw 2 of 3,1,93-97,,
3:46.0,P. Patterson enters the game for A. Johnson,,93-97,,
3:46.0,L. Williams makes free throw 3 of 3,1,94-97,,
3:34.0,,,94-97,,Shooting foul by L. Williams (drawn by A. Drummond)
3:34.0,,,94-97,,A. Drummond misses free throw 1 of 2
3:34.0,,,94-97,,Offensive rebound by Team
3:34.0,,,94-97,,A. Drummond misses free throw 2 of 2
3:33.0,Defensive rebound by L. Williams,,94-97,,
3:17.0,Shooting foul by A. Drummond (drawn by D. DeRozan),,94-97,,
3:17.0,D. DeRozan makes free throw 1 of 2,1,95-97,,
3:17.0,D. DeRozan makes free throw 2 of 2,1,96-97,,
