time,Portland,pts.away,score,pts.home,Atlanta
4:41.0,,,14-12,,D. Schroder misses 2-pt shot from 14 ft (block by D. Lillard)
4:39.0,Defensive rebound by M. Leonard,,14-12,,
4:32.0,D. Lillard makes 2-pt shot from 16 ft,2,16-12,,
4:20.0,,,16-12,,J. Teague misses 2-pt shot from 8 ft
4:20.0,,,16-12,,Offensive rebound by P. Antic
4:20.0,,,16-12,,Shooting foul by S. Blake (drawn by P. Antic)
4:20.0,,,16-14,2,P. Antic makes 2-pt shot at rim
4:20.0,,,16-15,1,P. Antic makes free throw 1 of 1
4:10.0,L. Aldridge makes 2-pt shot from 20 ft (assist by D. Lillard),2,18-15,,
3:48.0,,,18-15,,Offensive charge foul by D. Schroder
3:48.0,,,18-15,,Turnover by D. Schroder (offensive foul)
3:40.0,,,18-15,,Personal foul by J. Teague (drawn by D. Lillard)
3:29.0,N. Batum misses 2-pt shot from 18 ft,,18-15,,
3:27.0,,,18-15,,Defensive rebound by J. Teague
3:19.0,,,18-15,,P. Millsap misses 2-pt shot from 3 ft
3:19.0,,,18-15,,Offensive rebound by Team
3:19.0,Loose ball foul by M. Leonard (drawn by P. Antic),,18-15,,
3:19.0,Portland full timeout,,18-15,,
3:19.0,,,18-15,,K. Korver enters the game for J. Teague
3:19.0,W. Matthews enters the game for N. Batum,,18-15,,
3:19.0,,,18-16,1,P. Antic makes free throw 1 of 2
3:19.0,,,18-16,,P. Antic misses free throw 2 of 2
3:18.0,Defensive rebound by M. Leonard,,18-16,,
2:58.0,Turnover by D. Lillard (lost ball; steal by D. Schroder),,18-16,,
2:52.0,,,18-16,,D. Schroder misses 2-pt shot from 1 ft
2:51.0,Defensive rebound by M. Leonard,,18-16,,
2:39.0,D. Lillard misses 3-pt shot from 25 ft,,18-16,,
2:38.0,,,18-16,,Defensive rebound by K. Bazemore
2:31.0,,,18-18,2,K. Bazemore makes 2-pt shot from 2 ft
2:03.0,D. Lillard makes 3-pt shot from 24 ft (assist by S. Blake),3,21-18,,
1:49.0,,,21-21,3,P. Antic makes 3-pt shot from 25 ft (assist by D. Schroder)
1:35.0,Turnover by D. Lillard (bad pass; steal by P. Millsap),,21-21,,
1:27.0,,,21-23,2,K. Korver makes 2-pt shot from 13 ft (assist by P. Millsap)
1:09.0,W. Matthews makes 3-pt shot from 24 ft (assist by S. Blake),3,24-23,,
0:52.0,,,24-23,,Shooting foul by W. Matthews (drawn by K. Korver)
0:52.0,,,24-23,,K. Korver misses free throw 1 of 3
0:52.0,,,24-23,,Offensive rebound by Team
0:52.0,,,24-24,1,K. Korver makes free throw 2 of 3
0:52.0,,,24-24,,A. Horford enters the game for P. Millsap
0:52.0,D. Wright enters the game for D. Lillard,,24-24,,
0:52.0,,,24-25,1,K. Korver makes free throw 3 of 3
0:45.0,,,24-25,,Personal foul by D. Schroder (drawn by S. Blake)
0:34.0,L. Aldridge makes 2-pt shot from 19 ft (assist by S. Blake),2,26-25,,
0:13.0,,,26-27,2,K. Bazemore makes 2-pt shot from 1 ft (assist by D. Schroder)
0:13.0,,,26-27,,Shooting foul by L. Aldridge (drawn by K. Bazemore)
0:13.0,,,26-27,,K. Bazemore misses free throw 1 of 1
0:12.0,,,26-27,,Offensive rebound by Team
0:11.0,,,26-27,,Turnover by D. Schroder (step out of bounds)
0:00.0,S. Blake makes 3-pt shot from 24 ft,3,29-27,,
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:46.0,Turnover by N. Batum (traveling),,29-27,,
11:37.0,,,29-27,,Offensive foul by M. Scott
11:37.0,,,29-27,,Turnover by M. Scott (offensive foul)
11:25.0,N. Batum makes 3-pt shot from 24 ft (assist by W. Matthews),3,32-27,,
11:03.0,,,32-29,2,A. Horford makes 2-pt shot from 20 ft (assist by J. Teague)
10:53.0,W. Matthews makes 3-pt shot from 24 ft (assist by S. Blake),3,35-29,,
10:34.0,,,35-29,,J. Teague misses 2-pt shot from 2 ft
10:32.0,,,35-29,,Offensive rebound by J. Teague
10:32.0,,,35-31,2,J. Teague makes 2-pt shot at rim
10:23.0,Turnover by S. Blake (bad pass; steal by K. Bazemore),,35-31,,
10:18.0,,,35-33,2,K. Bazemore makes 2-pt shot at rim
10:09.0,C. Kaman misses 2-pt shot from 17 ft,,35-33,,
10:08.0,,,35-33,,Defensive rebound by J. Teague
10:04.0,Personal foul by D. Wright (drawn by M. Scott),,35-33,,
9:55.0,,,35-33,,Turnover by K. Korver (bad pass)
9:34.0,C. Kaman makes 2-pt shot at rim (assist by N. Batum),2,37-33,,
9:25.0,,,37-33,,Turnover by J. Teague (bad pass; steal by C. Kaman)
9:12.0,N. Batum misses 3-pt shot from 24 ft,,37-33,,
9:10.0,Offensive rebound by C. Kaman,,37-33,,
9:05.0,N. Batum misses 2-pt shot from 1 ft,,37-33,,
9:04.0,,,37-33,,Defensive rebound by J. Teague
8:55.0,,,37-36,3,M. Scott makes 3-pt shot from 24 ft (assist by K. Bazemore)
8:29.0,W. Matthews misses 3-pt shot from 22 ft,,37-36,,
8:27.0,,,37-36,,Defensive rebound by J. Teague
8:22.0,,,37-36,,J. Teague misses 2-pt shot at rim
8:21.0,Defensive rebound by C. Kaman,,37-36,,
8:18.0,D. Wright makes 2-pt shot at rim (assist by S. Blake),2,39-36,,
8:18.0,,,39-36,,Atlanta full timeout
8:18.0,,,39-36,,J. Jenkins enters the game for K. Bazemore
8:06.0,,,39-38,2,A. Horford makes 2-pt shot from 18 ft (assist by J. Teague)
7:46.0,W. Matthews misses 2-pt shot from 19 ft,,39-38,,
7:44.0,,,39-38,,Defensive rebound by M. Scott
7:37.0,,,39-38,,J. Teague misses 2-pt shot from 19 ft
7:36.0,Defensive rebound by N. Batum,,39-38,,
7:29.0,,,39-38,,Personal foul by A. Horford (drawn by N. Batum)
7:29.0,D. Lillard enters the game for W. Matthews,,39-38,,
7:20.0,D. Wright misses 3-pt shot from 25 ft,,39-38,,
7:19.0,,,39-38,,Defensive rebound by J. Jenkins
7:09.0,,,39-41,3,K. Korver makes 3-pt shot from 24 ft (assist by J. Teague)
6:49.0,Turnover by D. Wright (bad pass; steal by A. Horford),,39-41,,
6:45.0,,,39-41,,Shooting foul by D. Wright (drawn by M. Scott)
6:45.0,,,39-41,,M. Scott misses free throw 1 of 2
6:45.0,,,39-41,,Offensive rebound by Team
6:45.0,,,39-41,,K. Bazemore enters the game for K. Korver
6:45.0,,,39-41,,P. Millsap enters the game for A. Horford
6:45.0,L. Aldridge enters the game for C. Kaman,,39-41,,
6:45.0,,,39-41,,M. Scott misses free throw 2 of 2
6:43.0,Defensive rebound by D. Wright,,39-41,,
6:28.0,S. Blake misses 3-pt shot from 24 ft,,39-41,,
6:26.0,,,39-41,,Defensive rebound by M. Scott
6:14.0,,,39-43,2,J. Jenkins makes 2-pt shot from 19 ft
6:11.0,Portland full timeout,,39-43,,
6:11.0,,,39-43,,P. Antic enters the game for M. Scott
6:11.0,W. Barton enters the game for N. Batum,,39-43,,
6:11.0,M. Leonard enters the game for S. Blake,,39-43,,
6:11.0,W. Matthews enters the game for D. Wright,,39-43,,
5:52.0,D. Lillard misses 3-pt shot from 25 ft (block by J. Teague),,39-43,,
5:50.0,Offensive rebound by D. Lillard,,39-43,,
5:47.0,D. Lillard misses 2-pt shot from 13 ft,,39-43,,
5:46.0,,,39-43,,Defensive rebound by J. Jenkins
5:39.0,,,39-43,,Turnover by J. Teague (bad pass; steal by L. Aldridge)
5:26.0,Turnover by D. Lillard (lost ball),,39-43,,
5:10.0,,,39-43,,P. Antic misses 3-pt shot from 24 ft
5:08.0,Defensive rebound by D. Lillard,,39-43,,
4:59.0,D. Lillard makes 2-pt shot from 2 ft,2,41-43,,
4:41.0,,,41-43,,P. Antic misses 2-pt shot from 1 ft (block by L. Aldridge)
4:39.0,Defensive rebound by L. Aldridge,,41-43,,
4:37.0,,,41-43,,Personal block foul by J. Jenkins (drawn by M. Leonard)
4:37.0,,,41-43,,D. Schroder enters the game for J. Teague
4:24.0,W. Matthews misses 3-pt shot from 25 ft,,41-43,,
4:22.0,,,41-43,,Defensive rebound by P. Millsap
4:16.0,,,41-43,,P. Millsap misses 2-pt shot from 3 ft
4:14.0,,,41-43,,Offensive rebound by P. Antic
4:13.0,,,41-43,,P. Antic misses 2-pt shot at rim
4:12.0,,,41-43,,Offensive rebound by P. Antic
4:01.0,,,41-43,,P. Antic misses 2-pt shot from 18 ft
4:00.0,Defensive rebound by W. Barton,,41-43,,
3:50.0,Turnover by D. Lillard (lost ball; steal by D. Schroder),,41-43,,
3:43.0,,,41-43,,J. Jenkins misses 3-pt shot from 23 ft
3:41.0,Defensive rebound by L. Aldridge,,41-43,,
3:37.0,Turnover by D. Lillard (bad pass),,41-43,,
3:37.0,,,41-43,,A. Horford enters the game for P. Antic
3:37.0,,,41-43,,K. Korver enters the game for J. Jenkins
3:16.0,,,41-43,,P. Millsap misses 2-pt shot from 3 ft
3:14.0,Defensive rebound by M. Leonard,,41-43,,
2:55.0,W. Barton misses 2-pt shot from 7 ft,,41-43,,
2:55.0,Offensive rebound by Team,,41-43,,
2:55.0,,,41-43,,Loose ball foul by P. Millsap (drawn by M. Leonard)
2:55.0,Official timeout,,41-43,,
2:37.0,L. Aldridge makes 3-pt shot from 25 ft (assist by W. Matthews),3,44-43,,
2:25.0,,,44-43,,P. Millsap misses 3-pt shot from 24 ft
2:23.0,Defensive rebound by M. Leonard,,44-43,,
2:12.0,L. Aldridge makes 2-pt shot from 1 ft (assist by D. Lillard),2,46-43,,
1:54.0,,,46-45,2,P. Millsap makes 2-pt shot from 5 ft (assist by A. Horford)
1:54.0,,,46-45,,Shooting foul by M. Leonard (drawn by P. Millsap)
1:54.0,,,46-45,,J. Teague enters the game for D. Schroder
1:54.0,,,46-46,1,P. Millsap makes free throw 1 of 1
1:40.0,L. Aldridge makes 2-pt shot from 21 ft (assist by D. Lillard),2,48-46,,
1:27.0,,,48-46,,A. Horford misses 2-pt shot from 21 ft
1:26.0,Defensive rebound by D. Lillard,,48-46,,
1:12.0,Turnover by D. Lillard (bad pass; steal by P. Millsap),,48-46,,
0:59.0,,,48-48,2,A. Horford makes 2-pt shot from 2 ft (assist by J. Teague)
0:41.0,Shooting foul by A. Horford (drawn by L. Aldridge),,48-48,,
0:41.0,L. Aldridge makes 2-pt shot from 7 ft,2,50-48,,
0:41.0,L. Aldridge makes free throw 1 of 1,1,51-48,,
0:32.0,,,51-48,,J. Teague misses 2-pt shot from 1 ft
0:32.0,,,51-48,,Offensive rebound by A. Horford
0:32.0,,,51-50,2,A. Horford makes 2-pt shot at rim
0:13.0,W. Barton misses 2-pt shot from 4 ft,,51-50,,
0:11.0,,,51-50,,Defensive rebound by P. Millsap
0:00.0,,,51-50,,J. Teague misses 3-pt shot from 25 ft
0:00.0,,,51-50,,Offensive rebound by Team
0:00.0,End of 2nd quarter,,,,End of 2nd quarter
12:00.0,Start of 3rd quarter,,,,Start of 3rd quarter
11:43.0,W. Matthews misses 2-pt shot from 21 ft,,51-50,,
11:40.0,,,51-50,,Defensive rebound by K. Korver
11:32.0,,,51-52,2,K. Korver makes 2-pt shot from 17 ft (assist by J. Teague)
11:15.0,N. Batum misses 2-pt shot from 19 ft,,51-52,,
11:13.0,,,51-52,,Defensive rebound by P. Millsap
10:51.0,,,51-52,,J. Teague misses 2-pt shot from 8 ft
10:47.0,Defensive rebound by L. Aldridge,,51-52,,
10:41.0,Turnover by C. Kaman (lost ball; steal by A. Horford),,51-52,,
10:28.0,,,51-52,,K. Bazemore misses 3-pt shot from 22 ft
10:27.0,Defensive rebound by W. Matthews,,51-52,,
10:06.0,L. Aldridge misses 2-pt shot from 17 ft,,51-52,,
10:05.0,Offensive rebound by C. Kaman,,51-52,,
9:51.0,Turnover by L. Aldridge (lost ball; steal by K. Bazemore),,51-52,,
9:51.0,Personal foul by L. Aldridge (drawn by A. Horford),,51-52,,
9:29.0,,,51-52,,P. Millsap misses 2-pt shot from 2 ft
9:27.0,Defensive rebound by N. Batum,,51-52,,
9:19.0,D. Lillard misses 2-pt shot from 1 ft,,51-52,,
9:18.0,,,51-52,,Defensive rebound by P. Millsap
9:14.0,,,51-54,2,K. Bazemore makes 2-pt shot from 2 ft (assist by J. Teague)
8:58.0,W. Matthews misses 3-pt shot from 25 ft,,51-54,,
8:57.0,,,51-54,,Defensive rebound by A. Horford
8:53.0,,,51-54,,Shooting foul by W. Matthews (drawn by K. Bazemore)
8:53.0,,,51-54,,K. Bazemore misses free throw 1 of 2
8:53.0,,,51-54,,Offensive rebound by Team
8:53.0,,,51-55,1,K. Bazemore makes free throw 2 of 2
8:34.0,D. Lillard misses 2-pt shot from 17 ft,,51-55,,
8:32.0,,,51-55,,Defensive rebound by P. Millsap
8:23.0,,,51-55,,A. Horford misses 2-pt shot from 1 ft
8:21.0,Defensive rebound by L. Aldridge,,51-55,,
8:16.0,C. Kaman makes 2-pt shot from 1 ft (assist by D. Lillard),2,53-55,,
7:53.0,,,53-58,3,A. Horford makes 3-pt shot from 22 ft (assist by P. Millsap)
7:36.0,D. Lillard misses 3-pt shot from 27 ft,,53-58,,
7:34.0,,,53-58,,Defensive rebound by K. Bazemore
7:20.0,,,53-58,,A. Horford misses 2-pt shot from 4 ft
7:19.0,Defensive rebound by C. Kaman,,53-58,,
7:11.0,L. Aldridge makes 2-pt shot at rim,2,55-58,,
6:58.0,Personal foul by D. Lillard (drawn by J. Teague),,55-58,,
6:46.0,,,55-58,,J. Teague misses 2-pt shot from 18 ft
6:43.0,Defensive rebound by L. Aldridge,,55-58,,
6:34.0,D. Lillard makes 2-pt shot from 1 ft,2,57-58,,
6:33.0,Violation by Team (delay of game),,57-58,,
6:22.0,,,57-58,,Shooting foul by L. Aldridge (drawn by P. Millsap)
6:22.0,,,57-59,1,P. Millsap makes free throw 1 of 2
6:22.0,S. Blake enters the game for W. Matthews,,57-59,,
6:22.0,M. Leonard enters the game for C. Kaman,,57-59,,
6:22.0,,,57-59,,P. Antic enters the game for A. Horford
6:22.0,,,57-59,,D. Schroder enters the game for J. Teague
6:22.0,,,57-60,1,P. Millsap makes free throw 2 of 2
6:03.0,S. Blake makes 3-pt shot from 23 ft (assist by L. Aldridge),3,60-60,,
5:56.0,,,60-60,,Atlanta full timeout
5:47.0,,,60-60,,Shooting foul by D. Lillard (drawn by P. Millsap)
5:47.0,,,60-60,,P. Millsap misses free throw 1 of 2
5:47.0,,,60-60,,Offensive rebound by Team
5:47.0,,,60-61,1,P. Millsap makes free throw 2 of 2
5:32.0,L. Aldridge makes 2-pt shot from 20 ft (assist by D. Lillard),2,62-61,,
5:17.0,,,62-61,,P. Antic misses 3-pt shot from 25 ft
5:16.0,Defensive rebound by D. Lillard,,62-61,,
5:08.0,D. Lillard makes 2-pt shot from 15 ft,2,64-61,,
4:47.0,,,64-63,2,P. Millsap makes 2-pt shot from 18 ft
4:35.0,,,64-63,,Personal foul by P. Antic (drawn by D. Lillard)
4:35.0,,,64-63,,J. Teague enters the game for K. Bazemore
4:30.0,L. Aldridge misses 2-pt shot from 20 ft,,64-63,,
4:29.0,,,64-63,,Defensive rebound by J. Teague
4:12.0,,,64-63,,P. Millsap misses 3-pt shot from 24 ft
4:11.0,Defensive rebound by D. Lillard,,64-63,,
4:00.0,D. Lillard misses 3-pt shot from 26 ft,,64-63,,
3:58.0,,,64-63,,Defensive rebound by K. Korver
3:36.0,,,64-63,,P. Antic misses 3-pt shot from 24 ft
3:35.0,Defensive rebound by N. Batum,,64-63,,
3:27.0,D. Lillard misses 2-pt shot from 1 ft,,64-63,,
3:25.0,Offensive rebound by N. Batum,,64-63,,
3:25.0,N. Batum makes 2-pt shot at rim,2,66-63,,
3:11.0,,,66-63,,J. Teague misses 2-pt shot from 14 ft
3:09.0,Defensive rebound by M. Leonard,,66-63,,
2:56.0,L. Aldridge makes 2-pt shot from 11 ft,2,68-63,,
2:36.0,,,68-63,,Shooting foul by L. Aldridge (drawn by P. Millsap)
2:36.0,Portland full timeout,,68-63,,
2:36.0,,,68-63,,A. Horford enters the game for K. Korver
2:36.0,,,68-63,,K. Bazemore enters the game for P. Antic
2:36.0,W. Matthews enters the game for N. Batum,,68-63,,
2:36.0,C. Kaman enters the game for L. Aldridge,,68-63,,
2:36.0,,,68-64,1,P. Millsap makes free throw 1 of 2
2:36.0,,,68-65,1,P. Millsap makes free throw 2 of 2
2:31.0,,,68-65,,Personal foul by D. Schroder (drawn by S. Blake)
2:23.0,W. Matthews misses 3-pt shot from 23 ft,,68-65,,
2:23.0,,,68-65,,Defensive rebound by P. Millsap
2:23.0,Personal foul by C. Kaman (drawn by P. Millsap),,68-65,,
2:23.0,,,68-65,,P. Millsap misses free throw 1 of 2
2:23.0,,,68-65,,Offensive rebound by Team
2:23.0,,,68-66,1,P. Millsap makes free throw 2 of 2
2:06.0,D. Lillard misses 2-pt shot from 1 ft,,68-66,,
2:05.0,Offensive rebound by C. Kaman,,68-66,,
2:05.0,C. Kaman makes 2-pt shot at rim,2,70-66,,
1:37.0,,,70-69,3,K. Bazemore makes 3-pt shot from 25 ft (assist by D. Schroder)
1:16.0,D. Lillard misses 3-pt shot from 24 ft,,70-69,,
1:15.0,,,70-69,,Defensive rebound by J. Teague
1:08.0,,,70-69,,J. Teague misses 2-pt shot from 8 ft (block by M. Leonard)
1:06.0,Defensive rebound by S. Blake,,70-69,,
1:01.0,W. Matthews makes 2-pt shot at rim (assist by S. Blake),2,72-69,,
0:44.0,,,72-69,,D. Schroder misses 2-pt shot from 3 ft
0:42.0,Defensive rebound by M. Leonard,,72-69,,
0:37.0,S. Blake makes 2-pt shot from 1 ft,2,74-69,,
0:30.0,,,74-69,,J. Teague misses 2-pt shot from 8 ft
0:28.0,Defensive rebound by M. Leonard,,74-69,,
0:05.0,W. Matthews misses 3-pt shot from 24 ft (block by K. Bazemore),,74-69,,
0:03.0,,,74-69,,Defensive rebound by K. Bazemore
0:01.0,,,74-69,,Turnover by K. Bazemore (lost ball; steal by D. Lillard)
0:00.0,D. Lillard misses 3-pt shot from 69 ft,,74-69,,
0:00.0,Offensive rebound by Team,,74-69,,
0:00.0,End of 3rd quarter,,,,End of 3rd quarter
12:00.0,Start of 4th quarter,,,,Start of 4th quarter
11:45.0,,,74-71,2,D. Schroder makes 2-pt shot at rim
11:24.0,C. Kaman misses 2-pt shot from 2 ft (block by A. Horford),,74-71,,
11:22.0,Offensive rebound by C. Kaman,,74-71,,
11:21.0,C. Kaman misses 2-pt shot from 3 ft,,74-71,,
11:16.0,,,74-71,,Defensive rebound by A. Horford
11:08.0,,,74-71,,M. Scott misses 2-pt shot from 9 ft
11:07.0,Defensive rebound by D. Wright,,74-71,,
10:58.0,C. Kaman misses 2-pt shot from 15 ft,,74-71,,
10:57.0,,,74-71,,Defensive rebound by K. Korver
10:43.0,,,74-73,2,A. Horford makes 2-pt shot from 5 ft
10:25.0,Shooting foul by M. Scott (drawn by W. Matthews),,74-73,,
10:25.0,W. Matthews makes free throw 1 of 2,1,75-73,,
10:25.0,W. Matthews makes free throw 2 of 2,1,76-73,,
10:15.0,,,76-76,3,M. Scott makes 3-pt shot from 24 ft (assist by D. Schroder)
9:49.0,W. Barton misses 2-pt shot from 2 ft (block by A. Horford),,76-76,,
9:46.0,,,76-76,,Defensive rebound by K. Bazemore
9:44.0,,,76-78,2,M. Scott makes 2-pt shot at rim (assist by K. Bazemore)
9:43.0,Portland full timeout,,76-78,,
9:43.0,D. Lillard enters the game for C. Kaman,,76-78,,
9:43.0,L. Aldridge enters the game for S. Blake,,76-78,,
9:35.0,L. Aldridge misses 2-pt shot from 20 ft,,76-78,,
9:34.0,,,76-78,,Defensive rebound by A. Horford
9:26.0,,,76-81,3,K. Korver makes 3-pt shot from 25 ft (assist by D. Schroder)
9:03.0,D. Wright makes 3-pt shot from 24 ft (assist by D. Lillard),3,79-81,,
8:55.0,,,79-81,,D. Schroder misses 2-pt shot from 21 ft
8:52.0,Defensive rebound by D. Wright,,79-81,,
8:35.0,D. Wright misses 2-pt shot from 20 ft,,79-81,,
8:34.0,Offensive rebound by W. Barton,,79-81,,
8:33.0,W. Barton makes 2-pt shot at rim,2,81-81,,
8:12.0,,,81-83,2,K. Korver makes 2-pt shot from 21 ft (assist by D. Schroder)
7:52.0,Shooting foul by K. Korver (drawn by L. Aldridge),,81-83,,
7:52.0,L. Aldridge makes free throw 1 of 2,1,82-83,,
7:52.0,N. Batum enters the game for W. Matthews,,82-83,,
7:52.0,L. Aldridge makes free throw 2 of 2,1,83-83,,
7:41.0,,,83-85,2,D. Schroder makes 2-pt shot from 17 ft (assist by A. Horford)
7:24.0,L. Aldridge makes 2-pt shot from 19 ft (assist by D. Lillard),2,85-85,,
7:16.0,Personal foul by N. Batum (drawn by K. Korver),,85-85,,
7:08.0,,,85-85,,K. Korver misses 3-pt shot from 25 ft
7:06.0,Defensive rebound by D. Wright,,85-85,,
6:56.0,Turnover by D. Wright (bad pass; steal by A. Horford),,85-85,,
6:44.0,,,85-87,2,A. Horford makes 2-pt shot from 6 ft (assist by K. Korver)
6:19.0,L. Aldridge misses 2-pt shot from 19 ft,,85-87,,
6:16.0,Offensive rebound by N. Batum,,85-87,,
6:16.0,N. Batum misses 2-pt shot from 1 ft,,85-87,,
6:15.0,,,85-87,,Defensive rebound by K. Korver
6:04.0,,,85-87,,D. Schroder misses 2-pt shot from 3 ft
6:02.0,Defensive rebound by L. Aldridge,,85-87,,
5:47.0,D. Lillard misses 2-pt shot from 22 ft,,85-87,,
5:45.0,,,85-87,,Defensive rebound by A. Horford
5:37.0,,,85-87,,Atlanta full timeout
5:37.0,,,85-87,,J. Teague enters the game for A. Horford
5:37.0,,,85-87,,P. Millsap enters the game for K. Bazemore
5:37.0,W. Matthews enters the game for D. Wright,,85-87,,
5:37.0,C. Kaman enters the game for W. Barton,,85-87,,
5:37.0,D. Wright enters the game for C. Kaman,,85-87,,
5:26.0,,,85-89,2,J. Teague makes 2-pt shot from 2 ft
5:07.0,Shooting foul by J. Teague (drawn by W. Matthews),,85-89,,
5:07.0,W. Matthews misses free throw 1 of 2,,85-89,,
5:07.0,Offensive rebound by Team,,85-89,,
5:07.0,W. Matthews makes free throw 2 of 2,1,86-89,,
4:56.0,,,86-89,,Turnover by D. Schroder (bad pass; steal by D. Wright)
4:49.0,L. Aldridge makes 2-pt shot from 2 ft (assist by D. Lillard),2,88-89,,
4:34.0,,,88-92,3,M. Scott makes 3-pt shot from 24 ft (assist by D. Schroder)
4:12.0,W. Matthews makes 3-pt shot from 25 ft (assist by D. Lillard),3,91-92,,
3:55.0,,,91-94,2,D. Schroder makes 2-pt shot at rim
3:45.0,W. Matthews misses 2-pt shot from 6 ft,,91-94,,
3:44.0,,,91-94,,Defensive rebound by P. Millsap
3:36.0,,,91-97,3,P. Millsap makes 3-pt shot from 25 ft (assist by M. Scott)
3:34.0,Portland full timeout,,91-97,,
3:34.0,,,91-97,,A. Horford enters the game for K. Korver
3:34.0,,,91-97,,K. Bazemore enters the game for M. Scott
3:34.0,C. Kaman enters the game for D. Wright,,91-97,,
3:23.0,D. Lillard misses 3-pt shot from 25 ft,,91-97,,
3:21.0,,,91-97,,Defensive rebound by K. Bazemore
3:14.0,,,91-97,,Offensive charge foul by P. Millsap
3:14.0,,,91-97,,Turnover by P. Millsap (offensive foul)
2:57.0,Shooting foul by K. Bazemore (drawn by L. Aldridge),,91-97,,
2:57.0,L. Aldridge makes free throw 1 of 2,1,92-97,,
2:57.0,,,92-97,,K. Korver enters the game for D. Schroder
2:57.0,L. Aldridge makes free throw 2 of 2,1,93-97,,
2:41.0,,,93-97,,Turnover by K. Bazemore (bad pass; steal by L. Aldridge)
2:30.0,D. Lillard misses 3-pt shot from 23 ft,,93-97,,
2:27.0,Offensive rebound by L. Aldridge,,93-97,,
2:25.0,Turnover by C. Kaman (bad pass; steal by K. Korver),,93-97,,
2:19.0,,,93-99,2,J. Teague makes 2-pt shot from 1 ft (assist by A. Horford)
2:03.0,L. Aldridge makes 2-pt shot from 16 ft,2,95-99,,
1:45.0,,,95-99,,P. Millsap misses 3-pt shot from 24 ft
1:44.0,Defensive rebound by C. Kaman,,95-99,,
