time,Washington,pts.away,score,pts.home,Cleveland
6:32.0,,,31-42,1,T. Thompson makes free throw 1 of 2
6:32.0,B. Beal enters the game for O. Porter,,31-42,,
6:32.0,,,31-43,1,T. Thompson makes free throw 2 of 2
6:14.0,B. Beal makes 2-pt shot from 7 ft,2,33-43,,
6:00.0,,,33-43,,S. Marion misses 2-pt shot from 9 ft
5:57.0,Defensive rebound by K. Humphries,,33-43,,
5:52.0,R. Butler misses 2-pt shot from 1 ft,,33-43,,
5:50.0,,,33-43,,Defensive rebound by K. Love
5:50.0,Personal foul by A. Miller (drawn by L. James),,33-43,,
5:50.0,,,33-43,,Cleveland full timeout
5:50.0,M. Gortat enters the game for K. Seraphin,,33-43,,
5:50.0,J. Wall enters the game for A. Miller,,33-43,,
5:50.0,,,33-43,,A. Varejao enters the game for T. Thompson
5:50.0,,,33-44,1,L. James makes free throw 1 of 2
5:50.0,,,33-45,1,L. James makes free throw 2 of 2
5:34.0,M. Gortat makes 2-pt shot from 12 ft (assist by K. Humphries),2,35-45,,
5:21.0,P. Pierce enters the game for R. Butler,,35-45,,
5:14.0,,,35-47,2,K. Love makes 2-pt shot at rim (assist by L. James)
4:57.0,Turnover by P. Pierce (lost ball; steal by L. James),,35-47,,
4:35.0,Personal foul by P. Pierce (drawn by K. Love),,35-47,,
4:35.0,,,35-48,1,K. Love makes free throw 1 of 2
4:35.0,,,35-49,1,K. Love makes free throw 2 of 2
4:15.0,K. Humphries makes 2-pt shot from 18 ft (assist by P. Pierce),2,37-49,,
3:48.0,,,37-51,2,L. James makes 2-pt shot from 18 ft
3:34.0,,,37-51,,Personal foul by K. Love (drawn by K. Humphries)
3:29.0,,,37-51,,Personal foul by A. Varejao (drawn by M. Gortat)
3:29.0,,,37-51,,D. Waiters enters the game for K. Irving
3:17.0,B. Beal misses 2-pt shot from 21 ft,,37-51,,
3:16.0,,,37-51,,Defensive rebound by L. James
3:09.0,Personal foul by K. Humphries (drawn by K. Love),,37-51,,
3:09.0,,,37-51,,K. Love misses free throw 1 of 2
3:09.0,,,37-51,,Offensive rebound by Team
3:09.0,,,37-52,1,K. Love makes free throw 2 of 2
3:00.0,M. Gortat misses 2-pt shot from 2 ft,,37-52,,
2:57.0,,,37-52,,Defensive rebound by L. James
2:51.0,,,37-52,,D. Waiters misses 3-pt shot from 22 ft
2:50.0,Defensive rebound by K. Humphries,,37-52,,
2:47.0,Offensive foul by M. Gortat,,37-52,,
2:47.0,Turnover by M. Gortat (offensive foul),,37-52,,
2:47.0,Washington full timeout,,37-52,,
2:47.0,D. Blair enters the game for K. Humphries,,37-52,,
2:31.0,,,37-52,,D. Waiters misses 2-pt shot from 2 ft
2:30.0,,,37-52,,Offensive rebound by A. Varejao
2:30.0,,,37-54,2,A. Varejao makes 2-pt shot at rim
2:17.0,J. Wall misses 2-pt shot from 4 ft (block by K. Love),,37-54,,
2:16.0,,,37-54,,Defensive rebound by S. Marion
2:13.0,,,37-54,,Shooting foul by J. Wall (drawn by S. Marion)
2:13.0,,,37-55,1,S. Marion makes free throw 1 of 2
2:13.0,R. Butler enters the game for B. Beal,,37-55,,
2:13.0,,,37-55,,T. Thompson enters the game for K. Love
2:13.0,,,37-56,1,S. Marion makes free throw 2 of 2
1:57.0,P. Pierce makes 2-pt shot from 21 ft (assist by J. Wall),2,39-56,,
1:45.0,,,39-58,2,L. James makes 2-pt shot at rim
1:27.0,M. Gortat makes 2-pt shot from 4 ft (assist by J. Wall),2,41-58,,
1:21.0,,,41-58,,Turnover by L. James (bad pass; steal by M. Gortat)
1:07.0,M. Gortat misses 2-pt shot from 6 ft,,41-58,,
1:03.0,,,41-58,,Defensive rebound by A. Varejao
0:59.0,,,41-58,,L. James misses 3-pt shot from 25 ft
0:59.0,Defensive rebound by Team,,41-58,,
0:45.0,,,41-58,,Violation by A. Varejao (kicked ball)
0:31.0,Shooting foul by A. Varejao (drawn by M. Gortat),,41-58,,
0:31.0,M. Gortat makes free throw 1 of 2,1,42-58,,
0:31.0,M. Gortat makes free throw 2 of 2,1,43-58,,
0:26.0,,,43-58,,Cleveland full timeout
0:26.0,G. Temple enters the game for P. Pierce,,43-58,,
0:26.0,,,43-58,,J. Harris enters the game for T. Thompson
0:11.0,,,43-58,,D. Waiters misses 3-pt shot from 24 ft
0:10.0,Defensive rebound by J. Wall,,43-58,,
0:01.0,R. Butler makes 3-pt shot from 24 ft (assist by J. Wall),3,46-58,,
0:00.0,,,46-58,,L. James misses 3-pt shot from 43 ft
0:00.0,,,46-58,,Offensive rebound by Team
0:00.0,End of 2nd quarter,,,,End of 2nd quarter
12:00.0,Start of 3rd quarter,,,,Start of 3rd quarter
11:45.0,,,46-60,2,K. Love makes 2-pt shot from 2 ft (assist by K. Irving)
11:24.0,Turnover by J. Wall (bad pass; steal by K. Irving),,46-60,,
11:22.0,,,46-60,,Turnover by K. Love (bad pass; steal by B. Beal)
11:16.0,P. Pierce misses 3-pt shot from 25 ft,,46-60,,
11:13.0,,,46-60,,Defensive rebound by S. Marion
10:59.0,,,46-60,,K. Irving misses 2-pt shot from 12 ft
10:58.0,Defensive rebound by B. Beal,,46-60,,
10:39.0,P. Pierce makes 2-pt shot from 15 ft,2,48-60,,
10:16.0,,,48-60,,Turnover by A. Varejao (lost ball)
9:59.0,Turnover by M. Gortat (bad pass; steal by K. Irving),,48-60,,
9:48.0,,,48-60,,Offensive foul by K. Love
9:48.0,,,48-60,,Turnover by K. Love (offensive foul)
9:34.0,M. Gortat misses 2-pt shot from 18 ft,,48-60,,
9:33.0,Offensive rebound by Team,,48-60,,
9:26.0,B. Beal makes 2-pt shot from 19 ft (assist by J. Wall),2,50-60,,
9:07.0,,,50-60,,Turnover by L. James (bad pass)
8:57.0,Shooting foul by L. James (drawn by P. Pierce),,50-60,,
8:57.0,P. Pierce misses free throw 1 of 2,,50-60,,
8:57.0,Offensive rebound by Team,,50-60,,
8:57.0,,,50-60,,Violation by K. Love (lane)
8:57.0,P. Pierce makes free throw 2 of 2,1,51-60,,
8:57.0,,,51-60,,Cleveland full timeout
8:35.0,,,51-60,,Shooting foul by P. Pierce (drawn by S. Marion)
8:35.0,,,51-61,1,S. Marion makes free throw 1 of 2
8:35.0,,,51-62,1,S. Marion makes free throw 2 of 2
8:23.0,M. Gortat misses 2-pt shot from 10 ft,,51-62,,
8:21.0,,,51-62,,Defensive rebound by L. James
8:15.0,,,51-62,,K. Irving misses 3-pt shot from 26 ft
8:15.0,,,51-62,,Offensive rebound by Team
8:15.0,Loose ball foul by M. Gortat (drawn by A. Varejao),,51-62,,
7:56.0,,,51-62,,K. Love misses 2-pt shot from 9 ft
7:54.0,Defensive rebound by J. Wall,,51-62,,
7:50.0,Shooting foul by L. James (drawn by P. Pierce),,51-62,,
7:50.0,P. Pierce misses free throw 1 of 3,,51-62,,
7:50.0,Offensive rebound by Team,,51-62,,
7:50.0,P. Pierce misses free throw 2 of 3,,51-62,,
7:50.0,Offensive rebound by Team,,51-62,,
7:50.0,P. Pierce makes free throw 3 of 3,1,52-62,,
7:36.0,,,52-65,3,K. Irving makes 3-pt shot from 25 ft (assist by S. Marion)
7:19.0,K. Humphries misses 2-pt shot from 17 ft,,52-65,,
7:17.0,,,52-65,,Defensive rebound by S. Marion
7:08.0,,,52-68,3,K. Love makes 3-pt shot from 25 ft (assist by L. James)
6:53.0,K. Humphries misses 2-pt shot from 18 ft,,52-68,,
6:52.0,,,52-68,,Defensive rebound by A. Varejao
6:40.0,,,52-68,,K. Irving misses 2-pt shot from 1 ft
6:38.0,,,52-68,,Offensive rebound by A. Varejao
6:28.0,,,52-68,,S. Marion misses 3-pt shot from 26 ft
6:27.0,Defensive rebound by M. Gortat,,52-68,,
6:12.0,P. Pierce makes 2-pt shot from 15 ft,2,54-68,,
6:12.0,Shooting foul by K. Love (drawn by P. Pierce),,54-68,,
6:12.0,,,54-68,,T. Thompson enters the game for K. Love
6:12.0,P. Pierce makes free throw 1 of 1,1,55-68,,
5:57.0,,,55-68,,Turnover by K. Irving (lost ball; steal by B. Beal)
5:33.0,B. Beal makes 2-pt shot from 10 ft,2,57-68,,
5:15.0,,,57-68,,K. Irving misses 3-pt shot from 25 ft
5:13.0,,,57-68,,Offensive rebound by S. Marion
5:10.0,,,57-70,2,S. Marion makes 2-pt shot from 4 ft
4:53.0,Shooting foul by K. Irving (drawn by P. Pierce),,57-70,,
4:53.0,P. Pierce makes free throw 1 of 2,1,58-70,,
4:53.0,,,58-70,,D. Waiters enters the game for S. Marion
4:53.0,P. Pierce makes free throw 2 of 2,1,59-70,,
4:39.0,,,59-70,,L. James misses 2-pt shot from 10 ft (block by M. Gortat)
4:37.0,,,59-70,,Offensive rebound by L. James
4:33.0,,,59-70,,K. Irving misses 2-pt shot from 6 ft
4:30.0,Defensive rebound by B. Beal,,59-70,,
4:15.0,K. Humphries misses 2-pt shot from 4 ft (block by T. Thompson),,59-70,,
4:13.0,,,59-70,,Defensive rebound by L. James
4:09.0,,,59-70,,Shooting foul by B. Beal (drawn by L. James)
4:09.0,,,59-70,,Technical foul by T. Thompson
4:09.0,Technical foul by B. Beal (drawn by L. James),,59-70,,
4:09.0,,,59-70,,J. Harris enters the game for A. Varejao
4:09.0,,,59-71,1,L. James makes free throw 1 of 2
4:09.0,,,59-72,1,L. James makes free throw 2 of 2
3:52.0,J. Wall misses 3-pt shot from 24 ft,,59-72,,
3:51.0,,,59-72,,Defensive rebound by Team
3:51.0,Loose ball foul by M. Gortat (drawn by L. James),,59-72,,
3:33.0,,,59-74,2,L. James makes 2-pt shot from 1 ft (assist by K. Irving)
3:33.0,,,59-74,,Shooting foul by K. Humphries (drawn by L. James)
3:33.0,R. Butler enters the game for K. Humphries,,59-74,,
3:33.0,,,59-75,1,L. James makes free throw 1 of 1
3:21.0,Turnover by M. Gortat (traveling),,59-75,,
3:04.0,,,59-75,,Turnover by L. James (bad pass; steal by B. Beal)
2:50.0,M. Gortat makes 2-pt shot at rim (assist by P. Pierce),2,61-75,,
2:30.0,,,61-75,,J. Harris misses 3-pt shot from 26 ft
2:28.0,Defensive rebound by J. Wall,,61-75,,
2:13.0,Turnover by P. Pierce (bad pass; steal by D. Waiters),,61-75,,
2:09.0,Violation by J. Wall (def goaltending),,61-75,,
2:09.0,,,61-77,2,D. Waiters makes 2-pt shot from 1 ft
1:59.0,,,61-77,,Personal foul by L. James (drawn by P. Pierce)
1:59.0,Washington full timeout,,61-77,,
1:59.0,K. Seraphin enters the game for M. Gortat,,61-77,,
1:59.0,P. Pierce makes free throw 1 of 2,1,62-77,,
1:59.0,P. Pierce makes free throw 2 of 2,1,63-77,,
1:42.0,,,63-77,,Shooting foul by K. Seraphin (drawn by K. Irving)
1:42.0,,,63-77,,K. Irving misses free throw 1 of 2
1:42.0,,,63-77,,Offensive rebound by Team
1:42.0,,,63-77,,K. Irving misses free throw 2 of 2
1:41.0,Defensive rebound by P. Pierce,,63-77,,
