time,Philadelphia,pts.away,score,pts.home,Denver
7:14.0,,,8-3,,Offensive rebound by K. Faried
7:12.0,,,8-3,,K. Faried misses 2-pt shot at rim (block by N. Noel)
7:11.0,,,8-3,,Offensive rebound by K. Faried
7:10.0,,,8-3,,Shooting foul by J. Sampson (drawn by K. Faried)
7:10.0,,,8-3,,K. Faried misses free throw 1 of 2
7:10.0,,,8-3,,Offensive rebound by Team
7:10.0,T. Robinson enters the game for J. Grant,,8-3,,
7:10.0,,,8-4,1,K. Faried makes free throw 2 of 2
6:55.0,Philadelphia full timeout,,8-4,,
6:55.0,F. Aldemir enters the game for N. Noel,,8-4,,
6:55.0,I. Canaan enters the game for I. Smith,,8-4,,
6:54.0,Turnover by J. Richardson (bad pass),,8-4,,
6:45.0,,,8-6,2,T. Lawson makes 2-pt shot at rim
6:37.0,R. Covington enters the game for J. Richardson,,8-6,,
6:24.0,T. Robinson misses 2-pt shot from 7 ft,,8-6,,
6:23.0,,,8-6,,Defensive rebound by W. Chandler
6:10.0,,,8-8,2,D. Gallinari makes 2-pt shot from 2 ft
5:53.0,Shooting foul by W. Chandler (drawn by J. Sampson),,8-8,,
5:53.0,J. Sampson misses free throw 1 of 2,,8-8,,
5:53.0,Offensive rebound by Team,,8-8,,
5:53.0,J. Sampson makes free throw 2 of 2,1,9-8,,
5:40.0,,,9-11,3,W. Chandler makes 3-pt shot from 24 ft (assist by T. Lawson)
5:13.0,F. Aldemir misses 2-pt shot from 1 ft,,9-11,,
5:12.0,,,9-11,,Defensive rebound by T. Lawson
5:09.0,,,9-11,,Shooting foul by J. Sampson (drawn by T. Lawson)
5:09.0,,,9-12,1,T. Lawson makes free throw 1 of 2
5:09.0,H. Thompson enters the game for J. Sampson,,9-12,,
5:09.0,,,9-12,,W. Barton enters the game for R. Foye
5:09.0,,,9-12,,J. Hickson enters the game for K. Faried
5:09.0,,,9-13,1,T. Lawson makes free throw 2 of 2
4:56.0,I. Canaan makes 3-pt shot from 25 ft (assist by T. Robinson),3,12-13,,
4:50.0,Personal foul by F. Aldemir (drawn by T. Lawson),,12-13,,
4:48.0,Personal foul by I. Canaan (drawn by W. Chandler),,12-13,,
4:48.0,,,12-14,1,W. Chandler makes free throw 1 of 2
4:48.0,,,12-14,,J. Nurkic enters the game for D. Gallinari
4:48.0,,,12-15,1,W. Chandler makes free throw 2 of 2
4:34.0,R. Covington misses 3-pt shot from 26 ft,,12-15,,
4:33.0,,,12-15,,Defensive rebound by J. Hickson
4:20.0,,,12-15,,Offensive foul by J. Nurkic
4:20.0,,,12-15,,Turnover by J. Nurkic (offensive foul)
4:20.0,,,12-15,,J. Nelson enters the game for T. Lawson
4:06.0,R. Covington misses 2-pt shot from 3 ft,,12-15,,
4:05.0,Offensive rebound by R. Covington,,12-15,,
4:02.0,R. Covington makes 2-pt shot from 1 ft,2,14-15,,
3:53.0,,,14-15,,W. Chandler misses 3-pt shot from 24 ft
3:52.0,Defensive rebound by F. Aldemir,,14-15,,
3:37.0,R. Covington misses 3-pt shot from 24 ft,,14-15,,
3:36.0,Offensive rebound by F. Aldemir,,14-15,,
3:31.0,H. Thompson makes 3-pt shot from 25 ft (assist by F. Aldemir),3,17-15,,
3:17.0,,,17-15,,J. Nelson misses 3-pt shot from 24 ft
3:15.0,Defensive rebound by R. Covington,,17-15,,
3:04.0,R. Covington misses 2-pt shot from 4 ft,,17-15,,
3:03.0,,,17-15,,Defensive rebound by J. Nurkic
3:03.0,Loose ball foul by T. Robinson (drawn by J. Nurkic),,17-15,,
3:03.0,,,17-15,,J. Nurkic misses free throw 1 of 2
3:03.0,,,17-15,,Offensive rebound by Team
3:03.0,,,17-15,,J. Nurkic misses free throw 2 of 2
3:02.0,,,17-15,,Offensive rebound by W. Chandler
2:47.0,,,17-15,,W. Barton misses 3-pt shot from 24 ft
2:45.0,,,17-15,,Offensive rebound by J. Nurkic
2:43.0,,,17-15,,Turnover by J. Nurkic (lost ball; steal by R. Covington)
2:37.0,I. Canaan misses 3-pt shot from 23 ft,,17-15,,
2:36.0,,,17-15,,Defensive rebound by W. Barton
2:27.0,,,17-15,,J. Nelson misses 3-pt shot from 25 ft
2:26.0,Defensive rebound by F. Aldemir,,17-15,,
2:22.0,Philadelphia full timeout,,17-15,,
2:22.0,,,17-15,,D. Gallinari enters the game for W. Chandler
2:07.0,R. Covington makes 3-pt shot from 25 ft (assist by T. Robinson),3,20-15,,
1:53.0,,,20-15,,Turnover by D. Gallinari (bad pass; steal by F. Aldemir)
1:41.0,I. Canaan misses 2-pt shot from 2 ft (block by J. Hickson),,20-15,,
1:38.0,,,20-15,,Defensive rebound by J. Nelson
1:33.0,,,20-15,,W. Barton misses 2-pt shot from 3 ft (block by R. Covington)
1:30.0,Defensive rebound by T. Robinson,,20-15,,
1:23.0,H. Thompson misses 2-pt shot from 2 ft,,20-15,,
1:20.0,Offensive rebound by F. Aldemir,,20-15,,
1:20.0,F. Aldemir makes 2-pt shot at rim,2,22-15,,
1:01.0,,,22-17,2,J. Nelson makes 2-pt shot from 16 ft (assist by J. Nurkic)
0:49.0,I. Canaan misses 2-pt shot from 1 ft,,22-17,,
0:48.0,,,22-17,,Defensive rebound by J. Nelson
0:43.0,Shooting block foul by F. Aldemir (drawn by W. Barton),,22-17,,
0:43.0,,,22-18,1,W. Barton makes free throw 1 of 2
0:43.0,,,22-18,,K. Faried enters the game for J. Nurkic
0:43.0,,,22-19,1,W. Barton makes free throw 2 of 2
0:23.0,I. Canaan misses 2-pt shot from 17 ft,,22-19,,
0:22.0,,,22-19,,Defensive rebound by W. Barton
0:04.0,,,22-21,2,K. Faried makes 2-pt shot from 2 ft (assist by J. Nelson)
0:00.0,I. Canaan misses 3-pt shot from 34 ft,,22-21,,
0:00.0,Offensive rebound by Team,,22-21,,
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:46.0,,,22-23,2,J. Hickson makes 2-pt shot from 5 ft (assist by J. Nelson)
11:46.0,,,22-23,,Shooting foul by N. Noel (drawn by J. Hickson)
11:46.0,,,22-24,1,J. Hickson makes free throw 1 of 1
11:24.0,I. Smith makes 3-pt shot from 25 ft (assist by J. Grant),3,25-24,,
11:08.0,,,25-24,,K. Faried misses 2-pt shot at rim
11:04.0,,,25-24,,Offensive rebound by J. Hickson
11:04.0,,,25-24,,J. Hickson misses 2-pt shot from 1 ft
11:02.0,Defensive rebound by R. Covington,,25-24,,
10:53.0,N. Noel makes 2-pt shot from 1 ft,2,27-24,,
10:44.0,,,27-24,,J. Nelson misses 2-pt shot from 17 ft
10:43.0,Defensive rebound by Team,,27-24,,
10:28.0,N. Noel makes 2-pt shot from 3 ft,2,29-24,,
10:28.0,Shooting foul by J. Hickson (drawn by N. Noel),,29-24,,
10:28.0,N. Noel makes free throw 1 of 1,1,30-24,,
10:08.0,,,30-24,,D. Gallinari misses 2-pt shot from 7 ft
10:07.0,Defensive rebound by Team,,30-24,,
10:06.0,,,30-24,,Personal foul by J. Hickson (drawn by I. Smith)
10:06.0,,,30-24,,W. Chandler enters the game for J. Hickson
9:40.0,J. Richardson makes 3-pt shot from 26 ft (assist by N. Noel),3,33-24,,
9:22.0,,,33-24,,J. Nelson misses 2-pt shot from 18 ft
9:21.0,Defensive rebound by N. Noel,,33-24,,
9:06.0,N. Noel misses 2-pt shot from 6 ft,,33-24,,
9:05.0,,,33-24,,Defensive rebound by K. Faried
8:53.0,,,33-24,,D. Gallinari misses 3-pt shot from 25 ft
8:51.0,,,33-24,,Offensive rebound by W. Barton
8:46.0,,,33-24,,W. Barton misses 2-pt shot from 2 ft
8:45.0,Defensive rebound by N. Noel,,33-24,,
8:44.0,,,33-24,,Personal foul by K. Faried (drawn by N. Noel)
8:44.0,Official timeout,,33-24,,
8:30.0,N. Noel misses 2-pt shot from 4 ft,,33-24,,
8:28.0,,,33-24,,Defensive rebound by K. Faried
8:13.0,,,33-26,2,W. Barton makes 2-pt shot from 3 ft
7:50.0,J. Richardson makes 2-pt shot from 9 ft,2,35-26,,
7:44.0,,,35-26,,K. Faried misses 2-pt shot from 2 ft
7:42.0,,,35-26,,Offensive rebound by K. Faried
7:40.0,,,35-28,2,K. Faried makes 2-pt shot at rim
7:16.0,J. Richardson misses 3-pt shot from 29 ft,,35-28,,
7:13.0,,,35-28,,Defensive rebound by W. Chandler
7:00.0,,,35-28,,J. Nelson misses 3-pt shot from 25 ft
6:58.0,Defensive rebound by R. Covington,,35-28,,
6:52.0,I. Smith makes 2-pt shot from 1 ft,2,37-28,,
6:25.0,,,37-30,2,J. Nelson makes 2-pt shot from 2 ft
6:02.0,N. Noel makes 2-pt shot from 3 ft,2,39-30,,
5:47.0,,,39-30,,W. Barton misses 2-pt shot at rim (block by J. Grant)
5:46.0,Defensive rebound by Team,,39-30,,
5:46.0,,,39-30,,Denver full timeout
5:46.0,I. Canaan enters the game for I. Smith,,39-30,,
5:46.0,J. Sampson enters the game for R. Covington,,39-30,,
5:46.0,,,39-30,,T. Lawson enters the game for W. Barton
5:46.0,,,39-30,,R. Foye enters the game for J. Nelson
5:21.0,J. Richardson misses 2-pt shot from 17 ft,,39-30,,
5:19.0,,,39-30,,Defensive rebound by K. Faried
5:02.0,,,39-30,,T. Lawson misses 2-pt shot from 10 ft
5:01.0,Defensive rebound by J. Sampson,,39-30,,
4:54.0,,,39-30,,Personal foul by R. Foye (drawn by J. Grant)
4:54.0,H. Thompson enters the game for J. Richardson,,39-30,,
4:44.0,N. Noel misses 2-pt shot from 16 ft,,39-30,,
4:43.0,,,39-30,,Defensive rebound by D. Gallinari
4:38.0,,,39-30,,D. Gallinari misses 2-pt shot from 4 ft (block by N. Noel)
4:36.0,Defensive rebound by N. Noel,,39-30,,
4:30.0,Turnover by N. Noel (bad pass; steal by D. Gallinari),,39-30,,
4:27.0,,,39-30,,Shooting foul by H. Thompson (drawn by K. Faried)
4:27.0,,,39-31,1,K. Faried makes free throw 1 of 2
4:27.0,,,39-32,1,K. Faried makes free throw 2 of 2
4:08.0,Turnover by H. Thompson (bad pass),,39-32,,
3:59.0,,,39-35,3,R. Foye makes 3-pt shot from 25 ft
3:44.0,I. Canaan makes 2-pt shot from 4 ft (assist by J. Sampson),2,41-35,,
3:31.0,,,41-35,,Turnover by R. Foye (lost ball; steal by I. Canaan)
3:26.0,I. Canaan misses 2-pt shot from 2 ft (block by T. Lawson),,41-35,,
3:25.0,Offensive rebound by J. Sampson,,41-35,,
3:24.0,J. Sampson makes 2-pt shot from 1 ft,2,43-35,,
3:05.0,,,43-35,,Shooting foul by H. Thompson (drawn by W. Chandler)
3:05.0,,,43-36,1,W. Chandler makes free throw 1 of 2
3:05.0,T. Robinson enters the game for J. Grant,,43-36,,
3:05.0,,,43-37,1,W. Chandler makes free throw 2 of 2
3:05.0,Philadelphia full timeout,,43-37,,
2:51.0,Turnover by H. Thompson (bad pass; steal by T. Lawson),,43-37,,
2:46.0,Personal foul by H. Thompson (drawn by T. Lawson),,43-37,,
2:46.0,F. Aldemir enters the game for N. Noel,,43-37,,
2:46.0,G. Robinson enters the game for H. Thompson,,43-37,,
2:33.0,,,43-39,2,K. Faried makes 2-pt shot from 4 ft (assist by W. Chandler)
2:27.0,Offensive charge foul by J. Sampson,,43-39,,
2:27.0,Turnover by J. Sampson (offensive foul),,43-39,,
2:27.0,R. Covington enters the game for J. Sampson,,43-39,,
2:27.0,,,43-39,,W. Barton enters the game for K. Faried
2:15.0,,,43-39,,T. Lawson misses 2-pt shot from 2 ft
2:13.0,Defensive rebound by T. Robinson,,43-39,,
2:02.0,Turnover by G. Robinson (bad pass; steal by T. Lawson),,43-39,,
1:57.0,,,43-41,2,W. Barton makes 2-pt shot at rim (assist by T. Lawson)
1:40.0,I. Canaan makes 2-pt shot from 4 ft,2,45-41,,
1:33.0,,,45-41,,Shooting foul by I. Canaan (drawn by T. Lawson)
1:33.0,,,45-41,,T. Lawson misses free throw 1 of 2
1:33.0,,,45-41,,Offensive rebound by Team
1:33.0,,,45-42,1,T. Lawson makes free throw 2 of 2
1:27.0,Turnover by T. Robinson (lost ball),,45-42,,
1:08.0,,,45-42,,W. Chandler misses 2-pt shot from 3 ft (block by T. Robinson)
1:06.0,Defensive rebound by R. Covington,,45-42,,
0:55.0,R. Covington misses 2-pt shot from 14 ft,,45-42,,
0:53.0,Offensive rebound by F. Aldemir,,45-42,,
0:51.0,F. Aldemir misses 2-pt shot from 1 ft (block by W. Barton),,45-42,,
0:49.0,Offensive rebound by F. Aldemir,,45-42,,
0:47.0,T. Robinson makes 2-pt shot from 2 ft,2,47-42,,
0:35.0,,,47-45,3,W. Chandler makes 3-pt shot from 25 ft (assist by D. Gallinari)
0:15.0,T. Robinson makes 2-pt shot from 5 ft,2,49-45,,
0:14.0,,,49-45,,Denver full timeout
0:14.0,J. Sampson enters the game for F. Aldemir,,49-45,,
0:14.0,N. Noel enters the game for I. Canaan,,49-45,,
0:14.0,J. Grant enters the game for G. Robinson,,49-45,,
0:05.0,,,49-45,,Shooting foul by J. Sampson (drawn by D. Gallinari)
0:05.0,,,49-45,,D. Gallinari misses free throw 1 of 2
0:05.0,,,49-45,,Offensive rebound by Team
0:05.0,,,49-45,,G. Harris enters the game for T. Lawson
0:05.0,I. Smith enters the game for J. Sampson,,49-45,,
0:05.0,,,49-46,1,D. Gallinari makes free throw 2 of 2
0:00.0,End of 2nd quarter,,,,End of 2nd quarter
12:00.0,Start of 3rd quarter,,,,Start of 3rd quarter
11:45.0,,,49-46,,D. Gallinari misses 3-pt shot from 25 ft
11:44.0,Defensive rebound by N. Noel,,49-46,,
11:35.0,J. Richardson misses 3-pt shot from 24 ft,,49-46,,
11:33.0,Offensive rebound by N. Noel,,49-46,,
11:27.0,R. Covington makes 3-pt shot from 24 ft (assist by N. Noel),3,52-46,,
11:14.0,,,52-46,,T. Lawson misses 2-pt shot from 16 ft
11:14.0,,,52-46,,Offensive rebound by Team
11:08.0,Violation by J. Grant (def goaltending),,52-46,,
11:08.0,,,52-48,2,T. Lawson makes 2-pt shot at rim
10:44.0,J. Grant misses 3-pt shot from 25 ft,,52-48,,
10:42.0,,,52-48,,Defensive rebound by Team
10:22.0,,,52-48,,R. Foye misses 3-pt shot from 24 ft
10:18.0,Defensive rebound by N. Noel,,52-48,,
10:13.0,R. Covington makes 3-pt shot from 26 ft (assist by J. Grant),3,55-48,,
10:00.0,Personal foul by I. Smith (drawn by D. Gallinari),,55-48,,
9:52.0,,,55-50,2,T. Lawson makes 2-pt shot from 10 ft
9:29.0,I. Smith makes 2-pt shot from 1 ft,2,57-50,,
9:09.0,,,57-53,3,W. Chandler makes 3-pt shot from 25 ft (assist by T. Lawson)
8:52.0,R. Covington makes 3-pt shot from 25 ft,3,60-53,,
8:28.0,Personal foul by R. Covington (drawn by R. Foye),,60-53,,
8:22.0,,,60-55,2,R. Foye makes 2-pt shot from 11 ft
8:03.0,I. Smith misses 2-pt shot from 4 ft,,60-55,,
8:01.0,,,60-55,,Defensive rebound by D. Gallinari
7:56.0,,,60-55,,Shooting foul by R. Covington (drawn by T. Lawson)
7:56.0,,,60-56,1,T. Lawson makes free throw 1 of 2
7:56.0,,,60-57,1,T. Lawson makes free throw 2 of 2
7:43.0,R. Covington misses 3-pt shot from 26 ft,,60-57,,
7:41.0,,,60-57,,Defensive rebound by D. Gallinari
7:31.0,,,60-57,,W. Chandler misses 2-pt shot from 7 ft
7:31.0,Defensive rebound by Team,,60-57,,
7:31.0,,,60-57,,Loose ball foul by K. Faried (drawn by J. Grant)
7:24.0,,,60-57,,Personal foul by K. Faried (drawn by N. Noel)
7:24.0,,,60-57,,J. Hickson enters the game for K. Faried
7:08.0,Turnover by J. Grant (bad pass),,60-57,,
6:52.0,,,60-60,3,D. Gallinari makes 3-pt shot from 26 ft (assist by T. Lawson)
6:51.0,Philadelphia full timeout,,60-60,,
6:40.0,R. Covington makes 3-pt shot from 23 ft (assist by J. Richardson),3,63-60,,
6:22.0,,,63-62,2,J. Hickson makes 2-pt shot from 9 ft (assist by R. Foye)
6:00.0,J. Grant misses 3-pt shot from 25 ft,,63-62,,
5:58.0,Offensive rebound by N. Noel,,63-62,,
5:54.0,I. Smith misses 2-pt shot from 2 ft,,63-62,,
5:52.0,,,63-62,,Defensive rebound by T. Lawson
5:43.0,,,63-62,,Turnover by T. Lawson (bad pass; steal by N. Noel)
5:43.0,,,63-62,,Personal foul by J. Hickson (drawn by I. Smith)
5:43.0,H. Thompson enters the game for J. Grant,,63-62,,
5:30.0,I. Smith misses 2-pt shot from 5 ft,,63-62,,
5:29.0,,,63-62,,Defensive rebound by W. Chandler
5:17.0,,,63-62,,D. Gallinari misses 3-pt shot from 23 ft
5:15.0,Defensive rebound by I. Smith,,63-62,,
5:11.0,R. Covington makes 2-pt shot from 2 ft (assist by I. Smith),2,65-62,,
5:11.0,Shooting foul by D. Gallinari (drawn by R. Covington),,65-62,,
5:11.0,J. Sampson enters the game for J. Richardson,,65-62,,
5:11.0,,,65-62,,J. Nurkic enters the game for W. Chandler
5:11.0,R. Covington makes free throw 1 of 1,1,66-62,,
4:55.0,,,66-64,2,D. Gallinari makes 2-pt shot from 14 ft
4:46.0,R. Covington misses 3-pt shot from 25 ft,,66-64,,
4:45.0,,,66-64,,Defensive rebound by J. Hickson
4:39.0,,,66-64,,Turnover by T. Lawson (bad pass; steal by R. Covington)
4:33.0,R. Covington misses 3-pt shot from 25 ft,,66-64,,
4:30.0,,,66-64,,Defensive rebound by J. Hickson
4:21.0,,,66-64,,Shooting foul by R. Covington (drawn by J. Nurkic)
4:21.0,,,66-65,1,J. Nurkic makes free throw 1 of 2
4:21.0,T. Robinson enters the game for R. Covington,,66-65,,
4:21.0,,,66-66,1,J. Nurkic makes free throw 2 of 2
4:03.0,I. Smith misses 2-pt shot from 5 ft,,66-66,,
4:02.0,Offensive rebound by N. Noel,,66-66,,
4:01.0,,,66-66,,Personal foul by D. Gallinari (drawn by N. Noel)
4:01.0,N. Noel makes free throw 1 of 2,1,67-66,,
4:01.0,I. Canaan enters the game for I. Smith,,67-66,,
4:01.0,N. Noel misses free throw 2 of 2,,67-66,,
3:59.0,,,67-66,,Defensive rebound by R. Foye
3:43.0,,,67-66,,Turnover by D. Gallinari (bad pass; steal by T. Robinson)
3:25.0,Turnover by T. Robinson (bad pass),,67-66,,
3:10.0,,,67-66,,D. Gallinari misses 3-pt shot from 25 ft
3:09.0,Defensive rebound by Team,,67-66,,
2:54.0,H. Thompson misses 2-pt shot from 2 ft (block by J. Nurkic),,67-66,,
2:51.0,,,67-66,,Defensive rebound by J. Nurkic
2:43.0,,,67-66,,T. Lawson misses 2-pt shot from 17 ft
2:42.0,,,67-66,,Offensive rebound by J. Hickson
2:37.0,,,67-66,,T. Lawson misses 2-pt shot from 1 ft
2:36.0,Defensive rebound by J. Sampson,,67-66,,
2:27.0,J. Sampson makes 3-pt shot from 23 ft (assist by H. Thompson),3,70-66,,
2:12.0,,,70-69,3,T. Lawson makes 3-pt shot from 24 ft
2:05.0,Shooting foul by J. Nurkic (drawn by N. Noel),,70-69,,
2:05.0,,,70-69,,Denver full timeout
2:05.0,,,70-69,,J. Nelson enters the game for D. Gallinari
2:05.0,,,70-69,,W. Barton enters the game for J. Nurkic
2:05.0,N. Noel makes free throw 1 of 2,1,71-69,,
2:05.0,N. Noel makes free throw 2 of 2,1,72-69,,
1:46.0,,,72-69,,J. Hickson misses 2-pt shot from 6 ft
1:44.0,Defensive rebound by N. Noel,,72-69,,
1:26.0,J. Sampson misses 3-pt shot from 24 ft,,72-69,,
1:25.0,Offensive rebound by J. Sampson,,72-69,,
1:14.0,Turnover by H. Thompson (3 sec),,72-69,,
1:14.0,F. Aldemir enters the game for N. Noel,,72-69,,
1:14.0,,,72-69,,W. Chandler enters the game for R. Foye
0:59.0,,,72-71,2,J. Hickson makes 2-pt shot from 1 ft (assist by T. Lawson)
0:46.0,T. Robinson misses 2-pt shot from 9 ft,,72-71,,
0:43.0,Offensive rebound by J. Sampson,,72-71,,
0:37.0,Turnover by Team (shot clock),,72-71,,
0:30.0,,,72-74,3,T. Lawson makes 3-pt shot from 24 ft
0:09.0,Turnover by I. Canaan (bad pass; steal by J. Nelson),,72-74,,
0:06.0,,,72-76,2,J. Nelson makes 2-pt shot at rim
0:01.0,H. Thompson misses 3-pt shot from 24 ft,,72-76,,
0:00.0,Offensive rebound by Team,,72-76,,
0:00.0,End of 3rd quarter,,,,End of 3rd quarter
12:00.0,Start of 4th quarter,,,,Start of 4th quarter
11:45.0,J. Richardson misses 2-pt shot from 16 ft,,72-76,,
11:42.0,,,72-76,,Defensive rebound by T. Lawson
11:30.0,,,72-76,,J. Nelson misses 3-pt shot from 25 ft
11:28.0,Defensive rebound by J. Richardson,,72-76,,
11:23.0,Shooting foul by W. Chandler (drawn by J. Richardson),,72-76,,
11:23.0,J. Richardson makes free throw 1 of 2,1,73-76,,
11:23.0,J. Richardson misses free throw 2 of 2,,73-76,,
11:21.0,,,73-76,,Defensive rebound by W. Barton
11:08.0,,,73-76,,Turnover by J. Nelson (bad pass; steal by I. Smith)
11:08.0,,,73-76,,Personal take foul by T. Lawson (drawn by I. Smith)
10:56.0,F. Aldemir makes 2-pt shot from 2 ft (assist by J. Richardson),2,75-76,,
10:39.0,,,75-76,,T. Lawson misses 2-pt shot from 11 ft
10:38.0,Defensive rebound by H. Thompson,,75-76,,
10:31.0,H. Thompson misses 3-pt shot from 25 ft,,75-76,,
10:30.0,,,75-76,,Defensive rebound by J. Hickson
10:19.0,,,75-76,,Shooting foul by J. Grant (drawn by J. Hickson)
10:19.0,,,75-76,,J. Hickson misses free throw 1 of 2
10:19.0,,,75-76,,Offensive rebound by Team
10:19.0,,,75-76,,R. Foye enters the game for T. Lawson
10:19.0,,,75-77,1,J. Hickson makes free throw 2 of 2
9:59.0,J. Richardson misses 2-pt shot from 2 ft,,75-77,,
9:57.0,,,75-77,,Defensive rebound by W. Chandler
9:47.0,,,75-77,,Turnover by J. Nelson (bad pass; steal by F. Aldemir)
9:35.0,Turnover by H. Thompson (bad pass; steal by J. Nelson),,75-77,,
9:35.0,Personal foul by J. Grant (drawn by R. Foye),,75-77,,
9:20.0,,,75-77,,Shooting foul by F. Aldemir (drawn by J. Hickson)
9:20.0,,,75-77,,J. Hickson misses free throw 1 of 2
9:20.0,,,75-77,,Offensive rebound by Team
9:20.0,,,75-77,,J. Hickson misses free throw 2 of 2
9:18.0,Defensive rebound by J. Grant,,75-77,,
9:15.0,Philadelphia full timeout,,75-77,,
9:00.0,H. Thompson misses 2-pt shot from 2 ft,,75-77,,
8:59.0,,,75-77,,Defensive rebound by W. Chandler
8:56.0,Personal take foul by J. Richardson (drawn by W. Chandler),,75-77,,
8:56.0,N. Noel enters the game for F. Aldemir,,75-77,,
8:38.0,,,75-77,,W. Chandler misses 2-pt shot from 7 ft
8:37.0,,,75-77,,Offensive rebound by Team
8:27.0,,,75-77,,J. Hickson misses 2-pt shot at rim
8:25.0,Defensive rebound by J. Richardson,,75-77,,
8:19.0,J. Richardson misses 3-pt shot from 24 ft,,75-77,,
8:17.0,,,75-77,,Defensive rebound by W. Chandler
8:06.0,,,75-77,,R. Foye misses 3-pt shot from 23 ft
8:05.0,Defensive rebound by J. Grant,,75-77,,
7:53.0,J. Richardson misses 3-pt shot from 24 ft,,75-77,,
7:51.0,,,75-77,,Defensive rebound by W. Chandler
7:36.0,,,75-79,2,J. Nelson makes 2-pt shot from 16 ft
7:12.0,I. Smith makes 2-pt shot from 2 ft,2,77-79,,
6:56.0,,,77-79,,J. Nelson misses 2-pt shot from 2 ft
6:53.0,,,77-79,,Offensive rebound by W. Barton
6:50.0,,,77-79,,Turnover by J. Nelson (lost ball; steal by H. Thompson)
6:43.0,I. Smith misses 2-pt shot from 1 ft,,77-79,,
6:41.0,Offensive rebound by J. Richardson,,77-79,,
6:41.0,J. Richardson misses 2-pt shot from 1 ft,,77-79,,
6:39.0,,,77-79,,Defensive rebound by R. Foye
6:30.0,,,77-79,,J. Nelson misses 3-pt shot from 25 ft
6:29.0,Defensive rebound by J. Richardson,,77-79,,
6:20.0,J. Grant misses 3-pt shot from 22 ft,,77-79,,
6:19.0,Offensive rebound by N. Noel,,77-79,,
6:16.0,N. Noel makes 2-pt shot at rim,2,79-79,,
5:56.0,,,79-79,,Turnover by W. Barton (lost ball; steal by N. Noel)
5:55.0,,,79-79,,Personal take foul by J. Nelson (drawn by I. Smith)
5:55.0,Official timeout,,79-79,,
5:55.0,R. Covington enters the game for J. Richardson,,79-79,,
5:55.0,I. Canaan enters the game for I. Smith,,79-79,,
5:55.0,,,79-79,,K. Faried enters the game for W. Barton
5:55.0,,,79-79,,T. Lawson enters the game for J. Hickson
5:36.0,H. Thompson makes 2-pt shot from 16 ft,2,81-79,,
