time,Milwaukee,pts.away,score,pts.home,LA Clippers
5:16.0,,,13-20,,C. Paul misses 2-pt shot from 20 ft
5:14.0,Defensive rebound by O. Mayo,,13-20,,
5:02.0,Shooting foul by D. Jordan (drawn by G. Antetokounmpo),,13-20,,
5:02.0,G. Antetokounmpo makes free throw 1 of 2,1,14-20,,
5:02.0,Z. Pachulia enters the game for L. Sanders,,14-20,,
5:02.0,G. Antetokounmpo misses free throw 2 of 2,,14-20,,
5:01.0,,,14-20,,Defensive rebound by M. Barnes
4:42.0,,,14-22,2,B. Griffin makes 2-pt shot from 9 ft (assist by J. Redick)
4:29.0,,,14-22,,Personal foul by C. Paul (drawn by B. Knight)
4:19.0,,,14-22,,Personal foul by D. Jordan (drawn by B. Knight)
4:19.0,,,14-22,,G. Davis enters the game for D. Jordan
4:12.0,B. Knight makes 3-pt shot from 23 ft (assist by G. Antetokounmpo),3,17-22,,
3:59.0,,,17-22,,M. Barnes misses 3-pt shot from 23 ft
3:58.0,Defensive rebound by J. Dudley,,17-22,,
3:54.0,Offensive charge foul by B. Knight,,17-22,,
3:54.0,Turnover by B. Knight (offensive foul),,17-22,,
3:45.0,,,17-22,,J. Redick misses 2-pt shot from 20 ft
3:43.0,Defensive rebound by B. Knight,,17-22,,
3:33.0,B. Knight misses 3-pt shot from 26 ft,,17-22,,
3:32.0,Offensive rebound by B. Knight,,17-22,,
3:27.0,G. Antetokounmpo makes 2-pt shot at rim (assist by B. Knight),2,19-22,,
3:13.0,,,19-22,,Offensive foul by B. Griffin
3:13.0,,,19-22,,Turnover by B. Griffin (offensive foul)
3:00.0,J. Dudley misses 3-pt shot from 25 ft,,19-22,,
2:59.0,,,19-22,,Defensive rebound by J. Redick
2:52.0,Personal foul by B. Knight (drawn by C. Paul),,19-22,,
2:52.0,Milwaukee full timeout,,19-22,,
2:52.0,,,19-22,,J. Crawford enters the game for B. Griffin
2:52.0,,,19-22,,H. Turkoglu enters the game for J. Redick
2:52.0,J. Bayless enters the game for B. Knight,,19-22,,
2:46.0,Personal foul by J. Bayless (drawn by C. Paul),,19-22,,
2:46.0,,,19-23,1,C. Paul makes free throw 1 of 2
2:46.0,,,19-23,,C. Paul misses free throw 2 of 2
2:45.0,Defensive rebound by Z. Pachulia,,19-23,,
2:21.0,G. Antetokounmpo misses 2-pt shot from 18 ft,,19-23,,
2:19.0,,,19-23,,Defensive rebound by G. Davis
2:10.0,,,19-23,,G. Davis misses 2-pt shot from 1 ft
2:09.0,Defensive rebound by G. Antetokounmpo,,19-23,,
2:00.0,G. Antetokounmpo misses 2-pt shot from 1 ft,,19-23,,
1:57.0,Offensive rebound by G. Antetokounmpo,,19-23,,
1:57.0,G. Antetokounmpo makes 2-pt shot from 1 ft,2,21-23,,
1:48.0,,,21-23,,Turnover by J. Crawford (bad pass; steal by J. Dudley)
1:39.0,O. Mayo misses 3-pt shot from 25 ft,,21-23,,
1:38.0,Offensive rebound by Z. Pachulia,,21-23,,
1:31.0,O. Mayo misses 3-pt shot from 25 ft,,21-23,,
1:30.0,Offensive rebound by Z. Pachulia,,21-23,,
1:30.0,,,21-23,,Loose ball foul by H. Turkoglu (drawn by Z. Pachulia)
1:30.0,Z. Pachulia makes free throw 1 of 2,1,22-23,,
1:30.0,,,22-23,,R. Bullock enters the game for M. Barnes
1:30.0,Z. Pachulia misses free throw 2 of 2,,22-23,,
1:29.0,,,22-23,,Defensive rebound by H. Turkoglu
1:17.0,,,22-23,,C. Paul misses 2-pt shot from 17 ft
1:16.0,Defensive rebound by G. Antetokounmpo,,22-23,,
0:59.0,Turnover by Z. Pachulia (lost ball; steal by G. Davis),,22-23,,
0:53.0,,,22-26,3,J. Crawford makes 3-pt shot from 24 ft (assist by C. Paul)
0:43.0,J. Dudley makes 2-pt shot from 1 ft (assist by Z. Pachulia),2,24-26,,
0:28.0,,,24-28,2,C. Paul makes 2-pt shot at rim
0:05.0,J. Dudley misses 3-pt shot from 24 ft,,24-28,,
0:03.0,,,24-28,,Defensive rebound by G. Davis
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:43.0,J. Bayless makes 2-pt shot from 1 ft (assist by Z. Pachulia),2,26-28,,
11:31.0,,,26-28,,J. Crawford misses 2-pt shot from 17 ft
11:30.0,Defensive rebound by J. Dudley,,26-28,,
11:25.0,,,26-28,,Personal foul by J. Crawford (drawn by J. Bayless)
11:23.0,Z. Pachulia makes 2-pt shot at rim (assist by K. Middleton),2,28-28,,
11:12.0,,,28-28,,Turnover by J. Farmar (bad pass; steal by J. Dudley)
11:04.0,K. Marshall makes 3-pt shot from 24 ft (assist by J. Bayless),3,31-28,,
10:56.0,,,31-28,,LA Clippers full timeout
10:47.0,,,31-30,2,G. Davis makes 2-pt shot from 1 ft (assist by J. Crawford)
10:24.0,K. Middleton misses 2-pt shot from 1 ft,,31-30,,
10:23.0,,,31-30,,Defensive rebound by H. Turkoglu
10:07.0,,,31-32,2,J. Farmar makes 2-pt shot from 1 ft (assist by G. Davis)
9:56.0,J. Bayless misses 2-pt shot from 19 ft,,31-32,,
9:55.0,,,31-32,,Defensive rebound by G. Davis
9:45.0,,,31-34,2,R. Bullock makes 2-pt shot from 17 ft (assist by J. Farmar)
9:28.0,Z. Pachulia misses 2-pt shot from 2 ft,,31-34,,
9:26.0,,,31-34,,Defensive rebound by G. Davis
9:17.0,,,31-34,,J. Farmar misses 2-pt shot from 2 ft
9:16.0,Defensive rebound by Z. Pachulia,,31-34,,
9:08.0,K. Middleton makes 2-pt shot at rim (assist by K. Marshall),2,33-34,,
8:48.0,,,33-34,,Turnover by H. Turkoglu (bad pass)
8:48.0,,,33-34,,D. Jordan enters the game for G. Davis
8:48.0,L. Sanders enters the game for Z. Pachulia,,33-34,,
8:37.0,J. Dudley makes 2-pt shot from 20 ft (assist by K. Marshall),2,35-34,,
8:26.0,,,35-34,,Shooting foul by J. Bayless (drawn by J. Crawford)
8:26.0,,,35-35,1,J. Crawford makes free throw 1 of 2
8:26.0,,,35-35,,J. Redick enters the game for H. Turkoglu
8:26.0,,,35-36,1,J. Crawford makes free throw 2 of 2
8:15.0,K. Middleton misses 3-pt shot from 25 ft,,35-36,,
8:13.0,Offensive rebound by J. Dudley,,35-36,,
8:04.0,Turnover by J. Bayless (lost ball),,35-36,,
7:54.0,,,35-36,,J. Crawford misses 2-pt shot from 19 ft
7:53.0,Defensive rebound by K. Middleton,,35-36,,
7:45.0,J. Bayless misses 2-pt shot from 14 ft,,35-36,,
7:44.0,,,35-36,,Defensive rebound by D. Jordan
7:31.0,,,35-36,,J. Crawford misses 3-pt shot from 23 ft
7:30.0,Defensive rebound by K. Marshall,,35-36,,
7:20.0,L. Sanders makes 2-pt shot from 1 ft (assist by J. Dudley),2,37-36,,
7:00.0,,,37-38,2,D. Jordan makes 2-pt shot from 1 ft (assist by R. Bullock)
7:00.0,,,37-38,,Shooting foul by L. Sanders (drawn by D. Jordan)
7:00.0,,,37-38,,D. Jordan misses free throw 1 of 1
6:59.0,Defensive rebound by L. Sanders,,37-38,,
6:46.0,,,37-38,,C. Paul enters the game for J. Farmar
6:46.0,,,37-38,,B. Griffin enters the game for R. Bullock
6:42.0,K. Marshall makes 2-pt shot at rim (assist by L. Sanders),2,39-38,,
6:21.0,,,39-38,,Turnover by B. Griffin (lost ball; steal by L. Sanders)
6:13.0,J. Dudley misses 2-pt shot from 19 ft,,39-38,,
6:12.0,Offensive rebound by K. Middleton,,39-38,,
6:07.0,J. Bayless makes 3-pt shot from 24 ft (assist by K. Marshall),3,42-38,,
5:46.0,,,42-38,,J. Crawford misses 3-pt shot from 22 ft
5:45.0,,,42-38,,Offensive rebound by B. Griffin
5:41.0,,,42-38,,Offensive foul by B. Griffin
5:41.0,,,42-38,,Turnover by B. Griffin (offensive foul)
5:41.0,Official timeout,,42-38,,
5:41.0,,,42-38,,M. Barnes enters the game for B. Griffin
5:41.0,O. Mayo enters the game for J. Dudley,,42-38,,
5:41.0,G. Antetokounmpo enters the game for J. Bayless,,42-38,,
5:21.0,K. Marshall misses 3-pt shot from 26 ft,,42-38,,
5:20.0,,,42-38,,Defensive rebound by D. Jordan
5:14.0,,,42-38,,Turnover by C. Paul (lost ball; steal by K. Middleton)
5:08.0,K. Middleton makes 2-pt shot from 1 ft,2,44-38,,
4:48.0,,,44-40,2,J. Crawford makes 2-pt shot from 15 ft
4:22.0,Turnover by Team (shot clock),,44-40,,
4:11.0,,,44-40,,J. Redick misses 2-pt shot from 19 ft
4:10.0,Defensive rebound by L. Sanders,,44-40,,
4:03.0,L. Sanders misses 2-pt shot at rim,,44-40,,
4:02.0,,,44-40,,Defensive rebound by J. Redick
3:47.0,Personal foul by K. Middleton (drawn by M. Barnes),,44-40,,
3:42.0,,,44-40,,C. Paul misses 2-pt shot from 15 ft
3:41.0,,,44-40,,Offensive rebound by D. Jordan
3:41.0,,,44-40,,D. Jordan misses 2-pt shot from 1 ft
3:41.0,Defensive rebound by Team,,44-40,,
3:29.0,Turnover by K. Marshall (bad pass; steal by J. Crawford),,44-40,,
3:26.0,Personal foul by O. Mayo (drawn by J. Crawford),,44-40,,
3:16.0,,,44-40,,J. Crawford misses 3-pt shot from 24 ft
3:15.0,Defensive rebound by G. Antetokounmpo,,44-40,,
3:01.0,,,44-40,,Personal foul by J. Crawford (drawn by O. Mayo)
2:56.0,Shooting foul by C. Paul (drawn by K. Marshall),,44-40,,
2:56.0,Milwaukee full timeout,,44-40,,
2:56.0,Z. Pachulia enters the game for L. Sanders,,44-40,,
2:56.0,K. Marshall makes free throw 1 of 2,1,45-40,,
2:56.0,K. Marshall misses free throw 2 of 2,,45-40,,
2:55.0,,,45-40,,Defensive rebound by J. Crawford
2:32.0,,,45-40,,J. Crawford misses 2-pt shot from 3 ft
2:31.0,Defensive rebound by Z. Pachulia,,45-40,,
2:24.0,K. Middleton makes 3-pt shot from 22 ft (assist by O. Mayo),3,48-40,,
2:04.0,,,48-43,3,C. Paul makes 3-pt shot from 25 ft
1:41.0,K. Middleton makes 2-pt shot from 11 ft,2,50-43,,
1:22.0,,,50-43,,C. Paul misses 3-pt shot from 25 ft
1:21.0,Defensive rebound by Z. Pachulia,,50-43,,
1:12.0,K. Marshall makes 2-pt shot from 17 ft (assist by G. Antetokounmpo),2,52-43,,
1:03.0,,,52-45,2,D. Jordan makes 2-pt shot from 1 ft (assist by C. Paul)
1:03.0,,,52-45,,Shooting foul by O. Mayo (drawn by D. Jordan)
1:03.0,,,52-46,1,D. Jordan makes free throw 1 of 1
0:49.0,K. Middleton misses 3-pt shot from 23 ft,,52-46,,
0:47.0,,,52-46,,Defensive rebound by M. Barnes
0:39.0,,,52-48,2,C. Paul makes 2-pt shot from 2 ft
0:22.0,O. Mayo misses 2-pt shot from 1 ft (block by D. Jordan),,52-48,,
0:16.0,,,52-48,,Defensive rebound by J. Redick
0:16.0,Personal foul by O. Mayo (drawn by C. Paul),,52-48,,
0:16.0,,,52-49,1,C. Paul makes free throw 1 of 2
0:16.0,,,52-49,,G. Davis enters the game for D. Jordan
0:16.0,,,52-50,1,C. Paul makes free throw 2 of 2
0:05.0,Turnover by O. Mayo (bad pass; steal by G. Davis),,52-50,,
0:02.0,,,52-50,,R. Bullock enters the game for J. Crawford
0:02.0,,,52-50,,J. Farmar enters the game for C. Paul
0:02.0,Jump ball: G. Davis vs. Z. Pachulia (M. Barnes gains possession),,,,Jump ball: G. Davis vs. Z. Pachulia (M. Barnes gains possession)
0:00.0,End of 2nd quarter,,,,End of 2nd quarter
12:00.0,Start of 3rd quarter,,,,Start of 3rd quarter
11:39.0,B. Knight misses 2-pt shot from 21 ft,,52-50,,
11:36.0,Offensive rebound by Team,,52-50,,
11:36.0,Turnover by Team (shot clock),,52-50,,
11:24.0,,,52-50,,D. Jordan misses 2-pt shot from 1 ft
11:22.0,Defensive rebound by L. Sanders,,52-50,,
11:15.0,B. Knight makes 2-pt shot from 19 ft,2,54-50,,
11:05.0,Personal foul by B. Knight (drawn by C. Paul),,54-50,,
10:57.0,,,54-52,2,J. Redick makes 2-pt shot from 20 ft (assist by B. Griffin)
10:42.0,G. Antetokounmpo makes 2-pt shot from 20 ft (assist by L. Sanders),2,56-52,,
10:26.0,,,56-54,2,J. Redick makes 2-pt shot from 4 ft (assist by M. Barnes)
10:13.0,B. Knight misses 3-pt shot from 26 ft,,56-54,,
10:11.0,,,56-54,,Defensive rebound by D. Jordan
10:09.0,Personal foul by G. Antetokounmpo (drawn by B. Griffin),,56-54,,
10:04.0,,,56-56,2,D. Jordan makes 2-pt shot at rim (assist by B. Griffin)
9:51.0,O. Mayo makes 2-pt shot from 19 ft (assist by B. Knight),2,58-56,,
9:39.0,,,58-58,2,B. Griffin makes 2-pt shot at rim (assist by C. Paul)
9:19.0,J. O'Bryant makes 2-pt shot from 13 ft (assist by L. Sanders),2,60-58,,
9:05.0,,,60-60,2,B. Griffin makes 2-pt shot from 21 ft (assist by C. Paul)
8:44.0,Turnover by G. Antetokounmpo (traveling),,60-60,,
8:44.0,J. Dudley enters the game for J. O'Bryant,,60-60,,
8:26.0,,,60-60,,J. Redick misses 3-pt shot from 23 ft
8:25.0,Defensive rebound by J. Dudley,,60-60,,
8:20.0,J. Dudley makes 2-pt shot from 17 ft (assist by O. Mayo),2,62-60,,
8:12.0,Violation by J. Dudley (kicked ball),,62-60,,
8:03.0,,,62-60,,Turnover by D. Jordan (offensive goaltending)
7:50.0,J. Dudley misses 2-pt shot from 17 ft,,62-60,,
7:49.0,Offensive rebound by L. Sanders,,62-60,,
7:46.0,L. Sanders makes 2-pt shot from 1 ft,2,64-60,,
7:36.0,Personal foul by L. Sanders (drawn by B. Griffin),,64-60,,
7:28.0,,,64-60,,B. Griffin misses 2-pt shot from 3 ft
7:27.0,Defensive rebound by L. Sanders,,64-60,,
7:20.0,Offensive charge foul by G. Antetokounmpo,,64-60,,
7:20.0,Turnover by G. Antetokounmpo (offensive foul),,64-60,,
7:12.0,,,64-63,3,J. Redick makes 3-pt shot from 25 ft (assist by C. Paul)
7:02.0,Shooting foul by J. Redick (drawn by O. Mayo),,64-63,,
7:02.0,O. Mayo misses free throw 1 of 3,,64-63,,
7:02.0,Offensive rebound by Team,,64-63,,
7:02.0,O. Mayo makes free throw 2 of 3,1,65-63,,
7:02.0,O. Mayo misses free throw 3 of 3,,65-63,,
7:01.0,,,65-63,,Defensive rebound by D. Jordan
6:51.0,,,65-63,,J. Redick misses 2-pt shot from 1 ft (block by L. Sanders)
6:49.0,Defensive rebound by G. Antetokounmpo,,65-63,,
6:46.0,G. Antetokounmpo makes 2-pt shot from 1 ft,2,67-63,,
6:39.0,Personal foul by O. Mayo (drawn by C. Paul),,67-63,,
6:39.0,J. Bayless enters the game for O. Mayo,,67-63,,
6:32.0,,,67-63,,B. Griffin misses 2-pt shot from 1 ft
6:30.0,,,67-63,,Offensive rebound by B. Griffin
6:30.0,,,67-63,,B. Griffin misses 2-pt shot at rim
6:28.0,Defensive rebound by L. Sanders,,67-63,,
6:23.0,J. Bayless makes 3-pt shot from 22 ft (assist by G. Antetokounmpo),3,70-63,,
6:23.0,,,70-63,,LA Clippers full timeout
6:13.0,,,70-63,,B. Griffin misses 2-pt shot from 2 ft
6:10.0,,,70-63,,Offensive rebound by D. Jordan
6:10.0,,,70-63,,D. Jordan misses 2-pt shot at rim
6:08.0,Defensive rebound by B. Knight,,70-63,,
5:54.0,G. Antetokounmpo makes 2-pt shot at rim (assist by J. Dudley),2,72-63,,
5:43.0,,,72-65,2,B. Griffin makes 2-pt shot from 2 ft (assist by J. Redick)
5:24.0,J. Dudley makes 2-pt shot from 2 ft,2,74-65,,
5:06.0,,,74-68,3,C. Paul makes 3-pt shot from 24 ft (assist by M. Barnes)
4:46.0,J. Dudley misses 2-pt shot from 9 ft,,74-68,,
4:45.0,,,74-68,,Defensive rebound by D. Jordan
4:36.0,,,74-68,,M. Barnes misses 3-pt shot from 23 ft
4:32.0,,,74-68,,Offensive rebound by B. Griffin
4:32.0,,,74-70,2,B. Griffin makes 2-pt shot at rim
4:16.0,Offensive charge foul by G. Antetokounmpo,,74-70,,
4:16.0,Turnover by G. Antetokounmpo (offensive foul),,74-70,,
4:00.0,,,74-70,,C. Paul misses 2-pt shot from 16 ft
3:58.0,Defensive rebound by J. Dudley,,74-70,,
3:44.0,G. Antetokounmpo makes 2-pt shot from 2 ft (assist by J. Bayless),2,76-70,,
3:44.0,Shooting foul by D. Jordan (drawn by G. Antetokounmpo),,76-70,,
3:44.0,G. Antetokounmpo makes free throw 1 of 1,1,77-70,,
3:30.0,,,77-70,,C. Paul misses 2-pt shot from 3 ft
3:27.0,,,77-70,,Offensive rebound by D. Jordan
3:25.0,Personal foul by L. Sanders (drawn by C. Paul),,77-70,,
3:25.0,,,77-71,1,C. Paul makes free throw 1 of 2
3:25.0,Z. Pachulia enters the game for L. Sanders,,77-71,,
3:25.0,,,77-71,,J. Crawford enters the game for M. Barnes
3:25.0,,,77-72,1,C. Paul makes free throw 2 of 2
3:09.0,Shooting foul by J. Redick (drawn by Z. Pachulia),,77-72,,
3:09.0,Z. Pachulia makes free throw 1 of 2,1,78-72,,
3:09.0,Z. Pachulia makes free throw 2 of 2,1,79-72,,
2:49.0,,,79-75,3,J. Crawford makes 3-pt shot from 25 ft (assist by B. Griffin)
2:19.0,J. Bayless misses 2-pt shot from 2 ft (block by D. Jordan),,79-75,,
2:17.0,,,79-75,,Defensive rebound by J. Crawford
2:13.0,,,79-77,2,D. Jordan makes 2-pt shot at rim (assist by B. Griffin)
2:11.0,Milwaukee full timeout,,79-77,,
1:56.0,Turnover by B. Knight (bad pass; steal by C. Paul),,79-77,,
1:51.0,,,79-80,3,J. Redick makes 3-pt shot from 23 ft (assist by C. Paul)
1:24.0,J. Bayless makes 2-pt shot from 20 ft,2,81-80,,
1:01.0,,,81-80,,C. Paul misses 2-pt shot from 17 ft
1:00.0,Defensive rebound by J. Bayless,,81-80,,
0:53.0,B. Knight misses 2-pt shot from 1 ft (block by C. Paul),,81-80,,
0:52.0,,,81-80,,Defensive rebound by D. Jordan
0:46.0,,,81-80,,J. Crawford misses 3-pt shot from 26 ft
0:44.0,Defensive rebound by J. Dudley,,81-80,,
0:44.0,,,81-80,,Personal foul by C. Paul (drawn by J. Dudley)
0:44.0,,,81-80,,J. Farmar enters the game for C. Paul
0:44.0,,,81-80,,R. Bullock enters the game for J. Redick
0:22.0,J. Bayless makes 2-pt shot from 21 ft,2,83-80,,
0:21.0,,,83-80,,J. Redick enters the game for D. Jordan
0:21.0,K. Middleton enters the game for J. Dudley,,83-80,,
0:04.0,,,83-82,2,J. Redick makes 2-pt shot from 18 ft (assist by J. Crawford)
0:00.0,G. Antetokounmpo misses 3-pt shot from 25 ft,,83-82,,
0:00.0,Offensive rebound by Team,,83-82,,
0:00.0,End of 3rd quarter,,,,End of 3rd quarter
12:00.0,Start of 4th quarter,,,,Start of 4th quarter
11:41.0,,,83-84,2,J. Crawford makes 2-pt shot from 3 ft (assist by B. Griffin)
11:29.0,K. Marshall makes 2-pt shot from 6 ft,2,85-84,,
11:10.0,,,85-84,,Shooting foul by J. Bayless (drawn by J. Crawford)
11:10.0,,,85-84,,J. Crawford misses free throw 1 of 2
11:10.0,,,85-84,,Offensive rebound by Team
11:10.0,,,85-84,,J. Crawford misses free throw 2 of 2
11:09.0,Defensive rebound by G. Antetokounmpo,,85-84,,
11:01.0,,,85-84,,Personal foul by J. Farmar (drawn by K. Marshall)
10:44.0,G. Antetokounmpo makes 2-pt shot from 5 ft,2,87-84,,
10:22.0,,,87-84,,J. Farmar misses 3-pt shot from 23 ft
10:21.0,Defensive rebound by K. Middleton,,87-84,,
10:09.0,K. Marshall misses 3-pt shot from 22 ft,,87-84,,
10:08.0,Offensive rebound by J. Bayless,,87-84,,
9:56.0,K. Middleton misses 3-pt shot from 26 ft,,87-84,,
9:55.0,,,87-84,,Defensive rebound by Team
9:41.0,,,87-86,2,B. Griffin makes 2-pt shot from 3 ft
9:26.0,Jump ball: G. Davis vs. Z. Pachulia (J. Crawford gains possession),,,,Jump ball: G. Davis vs. Z. Pachulia (J. Crawford gains possession)
9:26.0,Turnover by Z. Pachulia (lost ball; steal by G. Davis),,87-86,,
9:10.0,,,87-86,,Shooting foul by Z. Pachulia (drawn by J. Crawford)
9:10.0,,,87-87,1,J. Crawford makes free throw 1 of 2
9:10.0,,,87-88,1,J. Crawford makes free throw 2 of 2
8:56.0,K. Middleton makes 2-pt shot from 8 ft,2,89-88,,
8:56.0,Shooting foul by J. Farmar (drawn by K. Middleton),,89-88,,
8:56.0,Official timeout,,89-88,,
8:56.0,K. Middleton makes free throw 1 of 1,1,90-88,,
8:36.0,,,90-88,,B. Griffin misses 2-pt shot from 19 ft
8:35.0,Defensive rebound by Z. Pachulia,,90-88,,
8:27.0,,,90-88,,Personal foul by J. Farmar (drawn by K. Marshall)
8:11.0,J. Bayless makes 2-pt shot from 3 ft (assist by G. Antetokounmpo),2,92-88,,
7:54.0,,,92-88,,J. Crawford misses 2-pt shot from 20 ft
7:52.0,Defensive rebound by G. Antetokounmpo,,92-88,,
7:40.0,Turnover by K. Marshall (bad pass),,92-88,,
7:24.0,,,92-90,2,B. Griffin makes 2-pt shot from 20 ft (assist by J. Farmar)
7:07.0,Z. Pachulia misses 2-pt shot from 4 ft,,92-90,,
7:06.0,,,92-90,,Defensive rebound by B. Griffin
6:58.0,,,92-93,3,J. Crawford makes 3-pt shot from 25 ft (assist by B. Griffin)
6:31.0,Turnover by K. Marshall (bad pass; steal by J. Crawford),,92-93,,
6:26.0,,,92-93,,J. Crawford misses 2-pt shot from 1 ft
6:26.0,Defensive rebound by Team,,92-93,,
6:26.0,L. Sanders enters the game for Z. Pachulia,,92-93,,
6:26.0,,,92-93,,C. Paul enters the game for J. Farmar
6:26.0,,,92-93,,D. Jordan enters the game for G. Davis
6:09.0,J. Bayless misses 3-pt shot from 25 ft (block by J. Crawford),,92-93,,
6:07.0,,,92-93,,Defensive rebound by D. Jordan
5:52.0,,,92-93,,Shooting foul by L. Sanders (drawn by B. Griffin)
5:52.0,,,92-93,,LA Clippers full timeout
5:52.0,B. Knight enters the game for G. Antetokounmpo,,92-93,,
5:52.0,J. Dudley enters the game for K. Marshall,,92-93,,
5:52.0,,,92-94,1,B. Griffin makes free throw 1 of 2
5:52.0,,,92-95,1,B. Griffin makes free throw 2 of 2
5:33.0,J. Bayless makes 2-pt shot from 19 ft,2,94-95,,
5:15.0,,,94-95,,J. Crawford misses 3-pt shot from 24 ft
5:13.0,Defensive rebound by K. Middleton,,94-95,,
5:05.0,L. Sanders makes 2-pt shot at rim (assist by K. Middleton),2,96-95,,
5:03.0,,,96-95,,LA Clippers full timeout
5:03.0,,,96-95,,J. Redick enters the game for R. Bullock
4:39.0,,,96-95,,J. Crawford misses 2-pt shot from 21 ft
4:37.0,Defensive rebound by J. Dudley,,96-95,,
4:26.0,J. Dudley makes 3-pt shot from 25 ft (assist by B. Knight),3,99-95,,
4:04.0,,,99-98,3,C. Paul makes 3-pt shot from 24 ft (assist by B. Griffin)
3:50.0,Turnover by J. Dudley (bad pass),,99-98,,
3:37.0,,,99-98,,Shooting foul by J. Dudley (drawn by C. Paul)
3:37.0,,,99-99,1,C. Paul makes free throw 1 of 2
3:37.0,,,99-100,1,C. Paul makes free throw 2 of 2
3:17.0,J. Bayless misses 2-pt shot from 20 ft,,99-100,,
3:16.0,,,99-100,,Defensive rebound by D. Jordan
