time,Philadelphia,pts.away,score,pts.home,San Antonio
2:59.0,,,6-18,2,A. Baynes makes 2-pt shot from 2 ft
2:35.0,N. Noel makes 2-pt shot from 12 ft,2,8-18,,
2:18.0,,,8-20,2,B. Diaw makes 2-pt shot at rim (assist by A. Daye)
2:01.0,H. Thompson misses 2-pt shot at rim,,8-20,,
2:00.0,,,8-20,,Defensive rebound by A. Baynes
1:40.0,,,8-20,,M. Ginobili misses 3-pt shot from 25 ft
1:39.0,Defensive rebound by N. Noel,,8-20,,
1:29.0,M. Carter-Williams makes 2-pt shot at rim,2,10-20,,
1:29.0,Shooting foul by A. Daye (drawn by M. Carter-Williams),,10-20,,
1:29.0,M. Carter-Williams misses free throw 1 of 1,,10-20,,
1:28.0,,,10-20,,Defensive rebound by C. Joseph
1:09.0,,,10-22,2,A. Baynes makes 2-pt shot at rim (assist by M. Ginobili)
0:52.0,N. Noel misses 2-pt shot from 2 ft,,10-22,,
0:51.0,,,10-22,,Defensive rebound by M. Ginobili
0:45.0,,,10-25,3,A. Daye makes 3-pt shot from 24 ft (assist by B. Diaw)
0:35.0,H. Thompson makes 3-pt shot from 22 ft (assist by M. Carter-Williams),3,13-25,,
0:31.0,,,13-25,,Shooting foul by N. Noel (drawn by M. Ginobili)
0:31.0,,,13-26,1,M. Ginobili makes free throw 1 of 2
0:31.0,,,13-27,1,M. Ginobili makes free throw 2 of 2
0:08.0,A. Shved misses 3-pt shot from 24 ft,,13-27,,
0:06.0,,,13-27,,Defensive rebound by C. Joseph
0:02.0,,,13-29,2,C. Joseph makes 2-pt shot from 1 ft
0:02.0,,,13-29,,Shooting foul by M. Carter-Williams (drawn by C. Joseph)
0:02.0,,,13-30,1,C. Joseph makes free throw 1 of 1
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:52.0,M. Carter-Williams misses 2-pt shot from 2 ft,,13-30,,
11:51.0,,,13-30,,Defensive rebound by Team
11:35.0,,,13-30,,Turnover by M. Ginobili (bad pass; steal by H. Thompson)
11:29.0,A. Shved misses 3-pt shot from 24 ft,,13-30,,
11:28.0,,,13-30,,Defensive rebound by A. Baynes
11:08.0,,,13-30,,K. Anderson misses 2-pt shot from 9 ft
11:07.0,Defensive rebound by M. Carter-Williams,,13-30,,
10:59.0,N. Noel misses 2-pt shot from 11 ft,,13-30,,
10:59.0,,,13-30,,Defensive rebound by K. Anderson
10:48.0,,,13-30,,A. Baynes misses 2-pt shot from 3 ft
10:47.0,Defensive rebound by N. Noel,,13-30,,
10:31.0,Shooting foul by A. Baynes (drawn by A. Shved),,13-30,,
10:31.0,A. Shved makes free throw 1 of 2,1,14-30,,
10:31.0,B. Davies enters the game for N. Noel,,14-30,,
10:31.0,H. Sims enters the game for H. Thompson,,14-30,,
10:31.0,A. Shved makes free throw 2 of 2,1,15-30,,
10:16.0,,,15-30,,A. Baynes misses 2-pt shot at rim
10:15.0,Defensive rebound by K. McDaniels,,15-30,,
10:04.0,A. Shved misses 3-pt shot from 25 ft,,15-30,,
10:02.0,,,15-30,,Defensive rebound by A. Daye
9:59.0,,,15-30,,Turnover by A. Daye (bad pass; steal by A. Shved)
9:54.0,A. Shved makes 2-pt shot at rim,2,17-30,,
9:54.0,,,17-30,,San Antonio full timeout
9:54.0,,,17-30,,K. Leonard enters the game for A. Daye
9:54.0,,,17-30,,D. Green enters the game for M. Ginobili
9:54.0,T. Wroten enters the game for K. McDaniels,,17-30,,
9:31.0,,,17-32,2,A. Baynes makes 2-pt shot at rim (assist by K. Leonard)
9:18.0,T. Wroten makes 2-pt shot from 3 ft (assist by H. Sims),2,19-32,,
9:06.0,,,19-34,2,A. Baynes makes 2-pt shot from 1 ft (assist by D. Green)
8:46.0,M. Carter-Williams misses 3-pt shot from 23 ft,,19-34,,
8:46.0,,,19-34,,Defensive rebound by Team
8:46.0,K. McDaniels enters the game for M. Carter-Williams,,19-34,,
8:46.0,,,19-34,,T. Parker enters the game for C. Joseph
8:46.0,,,19-34,,T. Duncan enters the game for A. Baynes
8:29.0,,,19-34,,T. Duncan misses 2-pt shot from 4 ft (block by K. McDaniels)
8:28.0,Defensive rebound by H. Sims,,19-34,,
8:14.0,H. Sims misses 2-pt shot from 17 ft,,19-34,,
8:13.0,,,19-34,,Defensive rebound by K. Leonard
7:50.0,,,19-34,,K. Leonard misses 2-pt shot from 13 ft
7:47.0,,,19-34,,Offensive rebound by K. Leonard
7:40.0,,,19-34,,Turnover by T. Duncan (lost ball; steal by B. Davies)
7:31.0,R. Covington enters the game for A. Shved,,19-34,,
7:31.0,Philadelphia full timeout,,19-34,,
7:28.0,T. Wroten makes 2-pt shot from 1 ft (assist by B. Davies),2,21-34,,
7:07.0,,,21-36,2,K. Anderson makes 2-pt shot at rim (assist by T. Parker)
7:01.0,B. Davies misses 2-pt shot from 2 ft,,21-36,,
7:00.0,,,21-36,,Defensive rebound by T. Duncan
6:53.0,,,21-36,,Turnover by T. Duncan (lost ball; steal by R. Covington)
6:48.0,T. Wroten makes 2-pt shot at rim (assist by R. Covington),2,23-36,,
6:20.0,,,23-39,3,T. Parker makes 3-pt shot from 23 ft (assist by K. Leonard)
6:05.0,R. Covington misses 3-pt shot from 25 ft,,23-39,,
6:04.0,,,23-39,,Defensive rebound by Team
5:49.0,Personal foul by R. Covington (drawn by K. Leonard),,23-39,,
5:40.0,,,23-39,,K. Leonard misses 3-pt shot from 25 ft
5:39.0,Defensive rebound by B. Davies,,23-39,,
5:27.0,R. Covington makes 2-pt shot at rim (assist by B. Davies),2,25-39,,
5:10.0,,,25-41,2,T. Duncan makes 2-pt shot from 8 ft
5:10.0,,,25-41,,Shooting foul by K. McDaniels (drawn by T. Duncan)
5:10.0,,,25-41,,C. Joseph enters the game for T. Parker
5:10.0,N. Noel enters the game for B. Davies,,25-41,,
5:10.0,,,25-41,,M. Ginobili enters the game for K. Leonard
5:10.0,L. Mbah a Moute enters the game for K. McDaniels,,25-41,,
5:10.0,,,25-42,1,T. Duncan makes free throw 1 of 1
4:55.0,R. Covington misses 2-pt shot from 4 ft,,25-42,,
4:54.0,,,25-42,,Defensive rebound by T. Duncan
4:50.0,,,25-42,,Turnover by D. Green (bad pass)
4:50.0,,,25-42,,J. Ayres enters the game for T. Duncan
4:35.0,T. Wroten misses 3-pt shot from 24 ft,,25-42,,
4:34.0,,,25-42,,Defensive rebound by Team
4:15.0,,,25-42,,D. Green misses 3-pt shot from 23 ft
4:14.0,Defensive rebound by R. Covington,,25-42,,
4:08.0,Turnover by T. Wroten (bad pass),,25-42,,
3:47.0,,,25-44,2,J. Ayres makes 2-pt shot at rim (assist by M. Ginobili)
3:34.0,Shooting foul by J. Ayres (drawn by L. Mbah a Moute),,25-44,,
3:34.0,L. Mbah a Moute makes free throw 1 of 2,1,26-44,,
3:34.0,,,26-44,,A. Daye enters the game for D. Green
3:34.0,,,26-44,,B. Diaw enters the game for K. Anderson
3:34.0,M. Carter-Williams enters the game for R. Covington,,26-44,,
3:34.0,L. Mbah a Moute makes free throw 2 of 2,1,27-44,,
3:21.0,,,27-44,,A. Daye misses 2-pt shot from 10 ft
3:20.0,Defensive rebound by N. Noel,,27-44,,
2:59.0,M. Carter-Williams makes 2-pt shot from 2 ft,2,29-44,,
2:51.0,,,29-44,,Shooting foul by H. Sims (drawn by C. Joseph)
2:51.0,Official timeout,,29-44,,
2:51.0,,,29-45,1,C. Joseph makes free throw 1 of 2
2:51.0,,,29-46,1,C. Joseph makes free throw 2 of 2
2:41.0,Turnover by L. Mbah a Moute (bad pass),,29-46,,
2:27.0,,,29-46,,C. Joseph misses 2-pt shot from 17 ft
2:26.0,Defensive rebound by M. Carter-Williams,,29-46,,
2:15.0,Shooting foul by B. Diaw (drawn by H. Sims),,29-46,,
2:15.0,H. Sims makes free throw 1 of 2,1,30-46,,
2:15.0,H. Sims misses free throw 2 of 2,,30-46,,
2:14.0,,,30-46,,Defensive rebound by J. Ayres
1:55.0,,,30-46,,J. Ayres misses 2-pt shot from 1 ft
1:54.0,Defensive rebound by N. Noel,,30-46,,
1:45.0,H. Sims misses 2-pt shot from 13 ft,,30-46,,
1:44.0,Offensive rebound by T. Wroten,,30-46,,
1:43.0,T. Wroten misses 2-pt shot at rim (block by A. Daye),,30-46,,
1:43.0,Offensive rebound by Team,,30-46,,
1:27.0,T. Wroten makes 2-pt shot from 2 ft,2,32-46,,
1:21.0,,,32-46,,M. Ginobili misses 2-pt shot from 1 ft
1:20.0,,,32-46,,Offensive rebound by C. Joseph
1:02.0,,,32-46,,A. Daye misses 2-pt shot from 8 ft
1:01.0,Defensive rebound by L. Mbah a Moute,,32-46,,
0:46.0,M. Carter-Williams makes 2-pt shot from 20 ft,2,34-46,,
0:28.0,,,34-46,,A. Daye misses 3-pt shot from 24 ft
0:27.0,Defensive rebound by H. Sims,,34-46,,
0:20.0,Philadelphia full timeout,,34-46,,
0:05.0,Turnover by H. Sims (lost ball),,34-46,,
0:05.0,Personal take foul by L. Mbah a Moute (drawn by C. Joseph),,34-46,,
0:05.0,H. Thompson enters the game for H. Sims,,34-46,,
0:00.0,End of 2nd quarter,,,,End of 2nd quarter
12:00.0,Start of 3rd quarter,,,,Start of 3rd quarter
11:37.0,L. Mbah a Moute makes 3-pt shot from 25 ft (assist by T. Wroten),3,37-46,,
11:25.0,,,37-48,2,T. Duncan makes 2-pt shot from 1 ft (assist by T. Parker)
11:13.0,Turnover by T. Wroten (traveling),,37-48,,
11:03.0,,,37-48,,T. Duncan misses 2-pt shot from 1 ft
11:02.0,Defensive rebound by L. Mbah a Moute,,37-48,,
10:55.0,H. Sims misses 2-pt shot from 20 ft,,37-48,,
10:54.0,,,37-48,,Defensive rebound by K. Leonard
10:29.0,,,37-48,,Turnover by Team (shot clock)
10:06.0,L. Mbah a Moute misses 2-pt shot from 21 ft,,37-48,,
10:05.0,,,37-48,,Defensive rebound by T. Duncan
9:52.0,,,37-51,3,D. Green makes 3-pt shot from 25 ft (assist by M. Bonner)
9:42.0,Turnover by H. Thompson (bad pass; steal by T. Parker),,37-51,,
9:26.0,,,37-51,,T. Parker misses 2-pt shot from 3 ft (block by L. Mbah a Moute)
9:25.0,,,37-51,,Offensive rebound by Team
9:23.0,,,37-53,2,K. Leonard makes 2-pt shot from 1 ft (assist by M. Bonner)
9:23.0,,,37-53,,Shooting foul by L. Mbah a Moute (drawn by K. Leonard)
9:23.0,,,37-54,1,K. Leonard makes free throw 1 of 1
9:09.0,T. Wroten misses 2-pt shot from 8 ft,,37-54,,
9:08.0,,,37-54,,Defensive rebound by T. Duncan
8:57.0,,,37-54,,Shooting foul by H. Sims (drawn by T. Duncan)
8:57.0,,,37-55,1,T. Duncan makes free throw 1 of 2
8:57.0,,,37-55,,T. Duncan misses free throw 2 of 2
8:56.0,Defensive rebound by B. Davies,,37-55,,
8:43.0,Shooting foul by K. Leonard (drawn by H. Sims),,37-55,,
8:43.0,H. Sims makes free throw 1 of 2,1,38-55,,
8:43.0,M. Carter-Williams enters the game for L. Mbah a Moute,,38-55,,
8:43.0,H. Sims makes free throw 2 of 2,1,39-55,,
8:30.0,,,39-58,3,M. Bonner makes 3-pt shot from 24 ft (assist by T. Duncan)
8:15.0,Turnover by H. Sims (lost ball; steal by D. Green),,39-58,,
7:57.0,,,39-58,,M. Bonner misses 3-pt shot from 24 ft
7:55.0,Defensive rebound by B. Davies,,39-58,,
7:40.0,H. Thompson misses 3-pt shot from 23 ft,,39-58,,
7:39.0,,,39-58,,Defensive rebound by K. Leonard
7:32.0,,,39-58,,K. Leonard misses 2-pt shot at rim
7:31.0,,,39-58,,Offensive rebound by T. Duncan
7:31.0,,,39-60,2,T. Duncan makes 2-pt shot from 2 ft
7:13.0,H. Sims makes 2-pt shot from 12 ft (assist by M. Carter-Williams),2,41-60,,
6:59.0,,,41-60,,Offensive charge foul by T. Duncan
6:59.0,,,41-60,,Turnover by T. Duncan (offensive foul)
6:59.0,N. Noel enters the game for B. Davies,,41-60,,
6:59.0,,,41-60,,A. Baynes enters the game for T. Duncan
6:46.0,Turnover by T. Wroten (bad pass; steal by K. Leonard),,41-60,,
6:34.0,,,41-62,2,M. Bonner makes 2-pt shot from 2 ft
6:33.0,Philadelphia full timeout,,41-62,,
6:33.0,R. Covington enters the game for H. Sims,,41-62,,
6:12.0,M. Carter-Williams makes 3-pt shot from 25 ft (assist by R. Covington),3,44-62,,
6:00.0,,,44-64,2,A. Baynes makes 2-pt shot from 3 ft (assist by T. Parker)
5:54.0,T. Wroten misses 2-pt shot from 2 ft (block by D. Green),,44-64,,
5:53.0,,,44-64,,Defensive rebound by D. Green
5:42.0,,,44-64,,Turnover by T. Parker (bad pass; steal by T. Wroten)
5:36.0,R. Covington misses 2-pt shot from 18 ft,,44-64,,
5:34.0,,,44-64,,Defensive rebound by T. Parker
5:27.0,Personal foul by M. Carter-Williams (drawn by K. Leonard),,44-64,,
5:27.0,K. McDaniels enters the game for T. Wroten,,44-64,,
5:27.0,,,44-64,,K. Anderson enters the game for K. Leonard
5:27.0,,,44-64,,C. Joseph enters the game for T. Parker
5:19.0,,,44-64,,A. Baynes misses 2-pt shot from 1 ft
5:19.0,Defensive rebound by K. McDaniels,,44-64,,
5:12.0,Shooting foul by A. Baynes (drawn by K. McDaniels),,44-64,,
5:12.0,K. McDaniels makes free throw 1 of 2,1,45-64,,
5:12.0,K. McDaniels makes free throw 2 of 2,1,46-64,,
4:56.0,,,46-64,,Turnover by K. Anderson (lost ball; steal by M. Carter-Williams)
4:45.0,K. McDaniels misses 2-pt shot from 2 ft (block by D. Green),,46-64,,
4:44.0,Offensive rebound by Team,,46-64,,
4:42.0,N. Noel misses 2-pt shot from 10 ft,,46-64,,
4:40.0,,,46-64,,Defensive rebound by M. Bonner
4:29.0,,,46-67,3,C. Joseph makes 3-pt shot from 24 ft (assist by D. Green)
4:09.0,M. Carter-Williams misses 3-pt shot from 25 ft,,46-67,,
4:08.0,Offensive rebound by N. Noel,,46-67,,
4:07.0,N. Noel misses 2-pt shot from 3 ft (block by K. Anderson),,46-67,,
4:06.0,Offensive rebound by H. Thompson,,46-67,,
4:06.0,Shooting foul by M. Bonner (drawn by H. Thompson),,46-67,,
4:06.0,H. Thompson makes free throw 1 of 2,1,47-67,,
4:06.0,H. Thompson misses free throw 2 of 2,,47-67,,
4:02.0,Offensive rebound by Team,,47-67,,
4:02.0,Jump ball: K. Anderson vs. N. Noel (H. Thompson gains possession),,,,Jump ball: K. Anderson vs. N. Noel (H. Thompson gains possession)
3:47.0,M. Carter-Williams misses 3-pt shot from 25 ft,,47-67,,
3:46.0,,,47-67,,Defensive rebound by A. Baynes
3:37.0,,,47-67,,Turnover by D. Green (bad pass; steal by R. Covington)
3:33.0,Shooting foul by D. Green (drawn by R. Covington),,47-67,,
3:33.0,R. Covington makes free throw 1 of 2,1,48-67,,
3:33.0,R. Covington makes free throw 2 of 2,1,49-67,,
3:22.0,,,49-69,2,C. Joseph makes 2-pt shot from 6 ft
3:08.0,N. Noel misses 2-pt shot from 3 ft,,49-69,,
3:07.0,,,49-69,,Defensive rebound by Team
2:57.0,,,49-69,,Turnover by C. Joseph (lost ball)
2:57.0,,,49-69,,San Antonio full timeout
2:57.0,,,49-69,,B. Diaw enters the game for M. Bonner
2:57.0,,,49-69,,A. Daye enters the game for D. Green
2:57.0,L. Mbah a Moute enters the game for H. Thompson,,49-69,,
2:41.0,K. McDaniels misses 3-pt shot from 24 ft,,49-69,,
2:40.0,,,49-69,,Defensive rebound by K. Anderson
2:25.0,,,49-69,,C. Joseph misses 3-pt shot from 23 ft
2:24.0,Defensive rebound by K. McDaniels,,49-69,,
2:13.0,M. Carter-Williams makes 2-pt shot from 4 ft,2,51-69,,
1:58.0,,,51-71,2,B. Diaw makes 2-pt shot from 3 ft (assist by C. Joseph)
1:39.0,K. McDaniels makes 2-pt shot at rim (assist by M. Carter-Williams),2,53-71,,
1:13.0,,,53-71,,A. Daye misses 2-pt shot from 16 ft
1:12.0,Defensive rebound by M. Carter-Williams,,53-71,,
1:00.0,K. McDaniels misses 3-pt shot from 22 ft,,53-71,,
0:59.0,,,53-71,,Defensive rebound by A. Baynes
0:49.0,,,53-71,,Shooting foul by N. Noel (drawn by A. Baynes)
0:49.0,,,53-72,1,A. Baynes makes free throw 1 of 2
0:49.0,,,53-73,1,A. Baynes makes free throw 2 of 2
0:38.0,M. Carter-Williams makes 2-pt shot from 6 ft,2,55-73,,
0:27.0,,,55-73,,K. Anderson misses 2-pt shot from 14 ft
0:26.0,Defensive rebound by K. McDaniels,,55-73,,
0:03.0,K. McDaniels makes 2-pt shot from 2 ft,2,57-73,,
0:00.0,,,57-73,,C. Joseph misses 3-pt shot from 37 ft
0:00.0,,,57-73,,Offensive rebound by Team
0:00.0,End of 3rd quarter,,,,End of 3rd quarter
12:00.0,Start of 4th quarter,,,,Start of 4th quarter
11:51.0,,,57-73,,K. Anderson misses 2-pt shot from 4 ft (block by L. Mbah a Moute)
11:50.0,Defensive rebound by H. Sims,,57-73,,
11:42.0,K. McDaniels misses 3-pt shot from 24 ft,,57-73,,
11:42.0,Offensive rebound by R. Covington,,57-73,,
11:42.0,Shooting foul by K. Anderson (drawn by R. Covington),,57-73,,
11:42.0,R. Covington makes free throw 1 of 2,1,58-73,,
11:42.0,R. Covington makes free throw 2 of 2,1,59-73,,
11:23.0,,,59-73,,C. Joseph misses 2-pt shot from 3 ft
11:21.0,Defensive rebound by M. Carter-Williams,,59-73,,
11:05.0,H. Sims makes 2-pt shot from 9 ft,2,61-73,,
10:53.0,,,61-73,,Shooting foul by R. Covington (drawn by C. Joseph)
10:53.0,,,61-73,,C. Joseph misses free throw 1 of 2
10:53.0,,,61-73,,Offensive rebound by Team
10:53.0,,,61-74,1,C. Joseph makes free throw 2 of 2
10:42.0,M. Carter-Williams misses 2-pt shot from 8 ft,,61-74,,
10:41.0,,,61-74,,Defensive rebound by C. Joseph
10:25.0,,,61-74,,K. Anderson misses 3-pt shot from 23 ft
10:24.0,Defensive rebound by M. Carter-Williams,,61-74,,
10:15.0,L. Mbah a Moute makes 3-pt shot from 25 ft (assist by M. Carter-Williams),3,64-74,,
10:02.0,,,64-74,,D. Green enters the game for C. Joseph
10:02.0,H. Thompson enters the game for K. McDaniels,,64-74,,
10:00.0,,,64-76,2,B. Diaw makes 2-pt shot from 1 ft (assist by J. Ayres)
9:40.0,H. Thompson misses 2-pt shot from 2 ft,,64-76,,
9:39.0,,,64-76,,Defensive rebound by B. Diaw
9:25.0,,,64-76,,Turnover by B. Diaw (lost ball; steal by H. Sims)
9:18.0,,,64-76,,Personal foul by D. Green (drawn by L. Mbah a Moute)
9:18.0,T. Wroten enters the game for M. Carter-Williams,,64-76,,
9:13.0,T. Wroten misses 2-pt shot at rim (block by J. Ayres),,64-76,,
9:12.0,Offensive rebound by Team,,64-76,,
9:12.0,,,64-76,,M. Bonner enters the game for K. Anderson
9:01.0,L. Mbah a Moute misses 2-pt shot from 18 ft,,64-76,,
9:00.0,Offensive rebound by Team,,64-76,,
9:00.0,Turnover by Team (shot clock),,64-76,,
9:00.0,,,64-76,,C. Joseph enters the game for A. Daye
8:42.0,,,64-79,3,M. Bonner makes 3-pt shot from 25 ft (assist by B. Diaw)
8:28.0,T. Wroten misses 2-pt shot at rim,,64-79,,
8:28.0,,,64-79,,Defensive rebound by J. Ayres
8:09.0,,,64-79,,C. Joseph misses 3-pt shot from 25 ft
8:07.0,Defensive rebound by R. Covington,,64-79,,
8:00.0,H. Thompson misses 3-pt shot from 22 ft,,64-79,,
7:59.0,,,64-79,,Defensive rebound by J. Ayres
7:42.0,,,64-79,,D. Green misses 3-pt shot from 26 ft
7:41.0,Defensive rebound by H. Sims,,64-79,,
7:34.0,Philadelphia full timeout,,64-79,,
7:29.0,Shooting foul by B. Diaw (drawn by L. Mbah a Moute),,64-79,,
7:29.0,L. Mbah a Moute makes free throw 1 of 2,1,65-79,,
7:29.0,L. Mbah a Moute misses free throw 2 of 2,,65-79,,
7:28.0,,,65-79,,Defensive rebound by C. Joseph
7:07.0,,,65-79,,Shooting foul by H. Thompson (drawn by C. Joseph)
7:07.0,,,65-79,,C. Joseph misses free throw 1 of 2
7:07.0,,,65-79,,Offensive rebound by Team
7:07.0,,,65-80,1,C. Joseph makes free throw 2 of 2
6:56.0,L. Mbah a Moute misses 3-pt shot from 26 ft,,65-80,,
6:56.0,,,65-80,,Defensive rebound by J. Ayres
6:56.0,Loose ball foul by H. Sims (drawn by J. Ayres),,65-80,,
6:56.0,M. Carter-Williams enters the game for L. Mbah a Moute,,65-80,,
6:56.0,N. Noel enters the game for H. Sims,,65-80,,
6:40.0,,,65-80,,Turnover by J. Ayres (bad pass; steal by N. Noel)
6:21.0,H. Thompson misses 3-pt shot from 25 ft,,65-80,,
6:20.0,,,65-80,,Defensive rebound by D. Green
6:03.0,,,65-80,,J. Ayres misses 2-pt shot from 9 ft
6:01.0,Defensive rebound by N. Noel,,65-80,,
5:53.0,R. Covington misses 2-pt shot from 9 ft,,65-80,,
5:52.0,,,65-80,,Defensive rebound by B. Diaw
5:52.0,Personal foul by R. Covington (drawn by B. Diaw),,65-80,,
5:52.0,Official timeout,,65-80,,
5:52.0,K. McDaniels enters the game for R. Covington,,65-80,,
5:33.0,,,65-83,3,M. Bonner makes 3-pt shot from 22 ft (assist by B. Diaw)
5:24.0,M. Carter-Williams misses 3-pt shot from 25 ft,,65-83,,
5:23.0,Offensive rebound by H. Thompson,,65-83,,
5:18.0,N. Noel makes 2-pt shot at rim (assist by T. Wroten),2,67-83,,
5:02.0,,,67-86,3,D. Green makes 3-pt shot from 26 ft (assist by B. Diaw)
4:46.0,H. Thompson misses 2-pt shot from 4 ft,,67-86,,
4:45.0,,,67-86,,Defensive rebound by J. Ayres
4:33.0,Personal block foul by K. McDaniels (drawn by B. Diaw),,67-86,,
4:33.0,,,67-87,1,B. Diaw makes free throw 1 of 2
4:33.0,,,67-87,,A. Daye enters the game for D. Green
4:33.0,,,67-87,,K. Anderson enters the game for M. Bonner
4:33.0,,,67-88,1,B. Diaw makes free throw 2 of 2
