time,San Antonio,pts.away,score,pts.home,Toronto
7:35.0,T. Parker misses 2-pt shot from 7 ft,,7-11,,
7:33.0,,,7-11,,Defensive rebound by J. Johnson
7:19.0,,,7-11,,Turnover by K. Lowry (bad pass)
7:02.0,T. Duncan misses 2-pt shot from 8 ft,,7-11,,
7:01.0,,,7-11,,Defensive rebound by J. Johnson
6:46.0,,,7-11,,J. Valanciunas misses 2-pt shot from 2 ft
6:45.0,Defensive rebound by A. Baynes,,7-11,,
6:39.0,T. Parker misses 2-pt shot from 1 ft,,7-11,,
6:38.0,,,7-11,,Defensive rebound by J. Valanciunas
6:33.0,Shooting block foul by A. Baynes (drawn by J. Johnson),,7-11,,
6:33.0,,,7-12,1,J. Johnson makes free throw 1 of 2
6:33.0,San Antonio full timeout,,7-12,,
6:33.0,B. Diaw enters the game for A. Baynes,,7-12,,
6:33.0,M. Ginobili enters the game for D. Green,,7-12,,
6:33.0,,,7-13,1,J. Johnson makes free throw 2 of 2
6:09.0,K. Leonard misses 3-pt shot from 25 ft,,7-13,,
6:07.0,Offensive rebound by B. Diaw,,7-13,,
5:52.0,M. Ginobili misses 3-pt shot from 24 ft,,7-13,,
5:50.0,,,7-13,,Defensive rebound by J. Valanciunas
5:39.0,,,7-15,2,J. Johnson makes 2-pt shot from 1 ft (assist by K. Lowry)
5:32.0,K. Leonard makes 2-pt shot from 2 ft (assist by M. Ginobili),2,9-15,,
5:12.0,,,9-17,2,P. Patterson makes 2-pt shot from 19 ft (assist by K. Lowry)
4:58.0,Shooting foul by J. Valanciunas (drawn by T. Duncan),,9-17,,
4:58.0,T. Duncan makes free throw 1 of 2,1,10-17,,
4:58.0,T. Duncan makes free throw 2 of 2,1,11-17,,
4:39.0,,,11-19,2,J. Johnson makes 2-pt shot from 2 ft (assist by D. DeRozan)
4:26.0,T. Duncan misses 2-pt shot from 6 ft,,11-19,,
4:24.0,Offensive rebound by B. Diaw,,11-19,,
4:18.0,Turnover by K. Leonard (lost ball; steal by P. Patterson),,11-19,,
4:13.0,,,11-19,,Shooting foul by M. Ginobili (drawn by D. DeRozan)
4:13.0,,,11-20,1,D. DeRozan makes free throw 1 of 2
4:13.0,C. Joseph enters the game for T. Parker,,11-20,,
4:13.0,T. Splitter enters the game for T. Duncan,,11-20,,
4:13.0,,,11-20,,G. Vasquez enters the game for K. Lowry
4:13.0,,,11-21,1,D. DeRozan makes free throw 2 of 2
3:58.0,T. Splitter makes 2-pt shot from 1 ft (assist by M. Ginobili),2,13-21,,
3:33.0,,,13-21,,Turnover by D. DeRozan (lost ball; steal by K. Leonard)
3:30.0,Turnover by K. Leonard (lost ball; steal by P. Patterson),,13-21,,
3:30.0,,,13-23,2,J. Valanciunas makes 2-pt shot from 3 ft (assist by P. Patterson)
3:16.0,Turnover by K. Leonard (step out of bounds),,13-23,,
2:58.0,,,13-23,,D. DeRozan misses 2-pt shot from 19 ft
2:57.0,Defensive rebound by T. Splitter,,13-23,,
2:51.0,K. Leonard makes 2-pt shot from 2 ft (assist by T. Splitter),2,15-23,,
2:42.0,,,15-23,,Toronto full timeout
2:42.0,,,15-23,,L. Williams enters the game for J. Valanciunas
2:42.0,D. Green enters the game for K. Leonard,,15-23,,
2:26.0,,,15-23,,G. Vasquez misses 2-pt shot from 7 ft
2:25.0,Defensive rebound by D. Green,,15-23,,
2:15.0,M. Ginobili misses 3-pt shot from 24 ft,,15-23,,
2:14.0,Offensive rebound by T. Splitter,,15-23,,
2:03.0,Offensive foul by C. Joseph,,15-23,,
2:03.0,Turnover by C. Joseph (offensive foul),,15-23,,
1:39.0,,,15-23,,J. Johnson misses 2-pt shot from 19 ft
1:39.0,,,15-23,,Offensive rebound by Team
1:39.0,,,15-23,,Turnover by Team (shot clock)
1:31.0,,,15-23,,Personal foul by G. Vasquez (drawn by M. Ginobili)
1:31.0,M. Ginobili makes free throw 1 of 2,1,16-23,,
1:31.0,,,16-23,,T. Hansbrough enters the game for J. Johnson
1:31.0,M. Ginobili makes free throw 2 of 2,1,17-23,,
1:18.0,,,17-25,2,D. DeRozan makes 2-pt shot from 3 ft
1:07.0,D. Green makes 3-pt shot from 22 ft (assist by B. Diaw),3,20-25,,
0:50.0,,,20-25,,D. DeRozan misses 2-pt shot from 7 ft
0:48.0,Defensive rebound by T. Splitter,,20-25,,
0:41.0,Shooting foul by T. Hansbrough (drawn by T. Splitter),,20-25,,
0:41.0,T. Splitter makes free throw 1 of 2,1,21-25,,
0:41.0,T. Splitter makes free throw 2 of 2,1,22-25,,
0:37.0,,,22-25,,L. Williams misses 3-pt shot from 24 ft
0:33.0,,,22-25,,Offensive rebound by T. Hansbrough
0:32.0,,,22-25,,T. Hansbrough misses 2-pt shot at rim
0:30.0,Defensive rebound by D. Green,,22-25,,
0:12.0,Turnover by C. Joseph (lost ball; steal by D. DeRozan),,22-25,,
0:06.0,,,22-28,3,G. Vasquez makes 3-pt shot from 24 ft (assist by D. DeRozan)
0:02.0,,,22-28,,Violation by G. Vasquez (kicked ball)
0:00.0,M. Ginobili makes 3-pt shot from 25 ft,3,25-28,,
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:49.0,,,25-28,,Turnover by T. Ross (step out of bounds)
11:33.0,M. Ginobili misses 2-pt shot from 2 ft,,25-28,,
11:32.0,,,25-28,,Defensive rebound by T. Ross
11:18.0,,,25-28,,G. Vasquez misses 3-pt shot from 24 ft
11:16.0,Defensive rebound by C. Joseph,,25-28,,
11:06.0,T. Splitter misses 2-pt shot from 5 ft,,25-28,,
11:04.0,Offensive rebound by T. Splitter,,25-28,,
10:58.0,C. Joseph makes 2-pt shot from 1 ft (assist by T. Splitter),2,27-28,,
10:44.0,,,27-30,2,A. Johnson makes 2-pt shot from 4 ft (assist by T. Ross)
10:25.0,T. Splitter misses 2-pt shot from 2 ft,,27-30,,
10:24.0,,,27-30,,Defensive rebound by T. Hansbrough
10:22.0,,,27-30,,Turnover by T. Hansbrough (bad pass; steal by C. Joseph)
10:18.0,D. Green misses 3-pt shot from 24 ft,,27-30,,
10:17.0,Offensive rebound by T. Splitter,,27-30,,
10:14.0,T. Splitter makes 2-pt shot from 1 ft,2,29-30,,
9:48.0,,,29-30,,A. Johnson misses 2-pt shot from 6 ft
9:47.0,Defensive rebound by D. Green,,29-30,,
9:34.0,T. Splitter misses 2-pt shot from 6 ft,,29-30,,
9:33.0,,,29-30,,Defensive rebound by G. Vasquez
9:19.0,,,29-30,,Turnover by A. Johnson (lost ball; steal by T. Splitter)
9:09.0,B. Diaw makes 2-pt shot from 2 ft (assist by M. Ginobili),2,31-30,,
9:09.0,,,31-30,,Toronto full timeout
9:09.0,,,31-30,,K. Lowry enters the game for G. Vasquez
9:09.0,,,31-30,,J. Valanciunas enters the game for T. Hansbrough
9:09.0,M. Belinelli enters the game for M. Ginobili,,31-30,,
9:09.0,A. Baynes enters the game for T. Splitter,,31-30,,
8:54.0,,,31-30,,L. Williams misses 3-pt shot from 24 ft
8:53.0,Defensive rebound by D. Green,,31-30,,
8:40.0,A. Baynes misses 2-pt shot from 14 ft,,31-30,,
8:39.0,,,31-30,,Defensive rebound by L. Williams
8:31.0,,,31-30,,L. Williams misses 2-pt shot from 10 ft
8:29.0,Defensive rebound by D. Green,,31-30,,
8:11.0,D. Green misses 3-pt shot from 24 ft,,31-30,,
8:09.0,,,31-30,,Defensive rebound by T. Ross
8:05.0,Shooting block foul by D. Green (drawn by K. Lowry),,31-30,,
8:05.0,,,31-30,,K. Lowry misses free throw 1 of 2
8:05.0,,,31-30,,Offensive rebound by Team
8:05.0,,,31-31,1,K. Lowry makes free throw 2 of 2
7:50.0,C. Joseph makes 2-pt shot from 20 ft (assist by D. Green),2,33-31,,
7:23.0,,,33-31,,K. Lowry misses 2-pt shot from 15 ft
7:22.0,Defensive rebound by B. Diaw,,33-31,,
7:10.0,B. Diaw makes 3-pt shot from 24 ft (assist by M. Belinelli),3,36-31,,
6:48.0,,,36-33,2,T. Ross makes 2-pt shot from 13 ft (assist by L. Williams)
6:29.0,M. Belinelli makes 2-pt shot from 2 ft (assist by B. Diaw),2,38-33,,
6:20.0,,,38-33,,L. Williams misses 2-pt shot from 2 ft (block by B. Diaw)
6:15.0,Defensive rebound by B. Diaw,,38-33,,
6:10.0,A. Baynes makes 2-pt shot from 1 ft (assist by C. Joseph),2,40-33,,
6:09.0,,,40-33,,Toronto full timeout
6:09.0,T. Duncan enters the game for D. Green,,40-33,,
6:09.0,K. Leonard enters the game for B. Diaw,,40-33,,
6:09.0,,,40-33,,D. DeRozan enters the game for L. Williams
5:48.0,,,40-33,,D. DeRozan misses 2-pt shot from 8 ft
5:47.0,Defensive rebound by T. Duncan,,40-33,,
5:47.0,,,40-33,,Personal foul by A. Johnson (drawn by T. Duncan)
5:47.0,Official timeout,,40-33,,
5:47.0,,,40-33,,P. Patterson enters the game for A. Johnson
5:30.0,M. Belinelli makes 2-pt shot from 2 ft (assist by T. Duncan),2,42-33,,
5:13.0,,,42-33,,T. Ross misses 2-pt shot from 2 ft
5:12.0,Defensive rebound by A. Baynes,,42-33,,
5:06.0,,,42-33,,Personal foul by K. Lowry (drawn by C. Joseph)
5:06.0,T. Parker enters the game for C. Joseph,,42-33,,
4:55.0,M. Belinelli misses 2-pt shot from 20 ft,,42-33,,
4:54.0,,,42-33,,Defensive rebound by T. Ross
4:45.0,,,42-35,2,D. DeRozan makes 2-pt shot from 14 ft
4:22.0,M. Belinelli makes 2-pt shot from 2 ft (assist by T. Duncan),2,44-35,,
3:57.0,,,44-35,,D. DeRozan misses 2-pt shot from 15 ft (block by T. Duncan)
3:55.0,Defensive rebound by K. Leonard,,44-35,,
3:45.0,K. Leonard misses 2-pt shot from 6 ft,,44-35,,
3:44.0,Offensive rebound by A. Baynes,,44-35,,
3:42.0,K. Leonard misses 2-pt shot from 4 ft,,44-35,,
3:40.0,,,44-35,,Defensive rebound by J. Valanciunas
3:28.0,,,44-37,2,K. Lowry makes 2-pt shot from 2 ft
3:28.0,San Antonio full timeout,,44-37,,
3:28.0,,,44-37,,J. Johnson enters the game for T. Ross
3:16.0,K. Leonard makes 2-pt shot from 1 ft (assist by T. Parker),2,46-37,,
2:58.0,Personal foul by T. Parker (drawn by K. Lowry),,46-37,,
2:58.0,M. Ginobili enters the game for M. Belinelli,,46-37,,
2:49.0,,,46-37,,Turnover by K. Lowry (bad pass)
2:35.0,T. Duncan misses 2-pt shot from 2 ft,,46-37,,
2:34.0,Offensive rebound by T. Duncan,,46-37,,
2:32.0,T. Duncan misses 2-pt shot from 4 ft (block by J. Valanciunas),,46-37,,
2:31.0,,,46-37,,Defensive rebound by P. Patterson
2:18.0,,,46-39,2,J. Johnson makes 2-pt shot from 1 ft (assist by P. Patterson)
2:01.0,M. Ginobili misses 2-pt shot from 1 ft,,46-39,,
1:59.0,Offensive rebound by A. Baynes,,46-39,,
1:57.0,A. Baynes misses 2-pt shot from 2 ft,,46-39,,
1:56.0,,,46-39,,Defensive rebound by D. DeRozan
1:50.0,,,46-39,,Shooting foul by A. Baynes (drawn by D. DeRozan)
1:50.0,,,46-40,1,D. DeRozan makes free throw 1 of 2
1:50.0,B. Diaw enters the game for A. Baynes,,46-40,,
1:50.0,,,46-40,,D. DeRozan misses free throw 2 of 2
1:49.0,Defensive rebound by T. Duncan,,46-40,,
1:37.0,T. Duncan misses 2-pt shot from 2 ft (block by J. Valanciunas),,46-40,,
1:35.0,,,46-40,,Defensive rebound by K. Lowry
1:29.0,,,46-43,3,P. Patterson makes 3-pt shot from 24 ft (assist by K. Lowry)
1:11.0,K. Leonard misses 3-pt shot from 24 ft,,46-43,,
1:10.0,,,46-43,,Defensive rebound by P. Patterson
0:57.0,,,46-43,,Shooting foul by M. Ginobili (drawn by D. DeRozan)
0:57.0,,,46-44,1,D. DeRozan makes free throw 1 of 2
0:57.0,,,46-45,1,D. DeRozan makes free throw 2 of 2
0:41.0,Turnover by B. Diaw (lost ball; steal by J. Valanciunas),,46-45,,
0:30.0,,,46-45,,K. Lowry misses 3-pt shot from 24 ft
0:29.0,Defensive rebound by M. Ginobili,,46-45,,
0:19.0,San Antonio full timeout,,46-45,,
0:19.0,M. Bonner enters the game for T. Parker,,46-45,,
0:19.0,D. Green enters the game for B. Diaw,,46-45,,
0:07.0,T. Duncan misses 2-pt shot from 2 ft (block by J. Valanciunas),,46-45,,
0:05.0,,,46-45,,Defensive rebound by J. Johnson
0:00.0,,,46-45,,D. DeRozan misses 2-pt shot from 16 ft
0:00.0,,,46-45,,Offensive rebound by Team
0:00.0,End of 2nd quarter,,,,End of 2nd quarter
12:00.0,Start of 3rd quarter,,,,Start of 3rd quarter
11:39.0,,,46-47,2,J. Johnson makes 2-pt shot at rim (assist by D. DeRozan)
11:17.0,K. Leonard misses 2-pt shot from 4 ft,,46-47,,
11:16.0,Offensive rebound by K. Leonard,,46-47,,
11:11.0,D. Green misses 3-pt shot from 24 ft,,46-47,,
11:10.0,,,46-47,,Defensive rebound by A. Johnson
11:02.0,,,46-47,,K. Lowry misses 2-pt shot from 19 ft
10:59.0,Defensive rebound by T. Duncan,,46-47,,
10:49.0,T. Parker makes 2-pt shot from 18 ft,2,48-47,,
10:22.0,,,48-47,,J. Johnson misses 2-pt shot from 15 ft
10:22.0,,,48-47,,Offensive rebound by Team
10:22.0,,,48-47,,Turnover by Team (shot clock)
10:03.0,K. Leonard makes 3-pt shot from 22 ft (assist by T. Duncan),3,51-47,,
9:45.0,,,51-47,,K. Lowry misses 2-pt shot from 5 ft
9:43.0,,,51-47,,Offensive rebound by J. Valanciunas
9:40.0,,,51-47,,J. Valanciunas misses 2-pt shot from 1 ft
9:39.0,,,51-47,,Offensive rebound by J. Valanciunas
9:38.0,,,51-47,,Turnover by J. Valanciunas (lost ball; steal by D. Green)
9:27.0,T. Parker makes 2-pt shot from 5 ft (assist by K. Leonard),2,53-47,,
9:06.0,,,53-47,,D. DeRozan misses 2-pt shot from 15 ft
9:05.0,Defensive rebound by D. Green,,53-47,,
8:54.0,T. Duncan makes 2-pt shot from 3 ft (assist by D. Green),2,55-47,,
8:45.0,,,55-47,,Toronto full timeout
8:37.0,,,55-49,2,A. Johnson makes 2-pt shot from 18 ft (assist by K. Lowry)
8:16.0,T. Parker misses 3-pt shot from 22 ft,,55-49,,
8:15.0,,,55-49,,Defensive rebound by J. Valanciunas
8:02.0,,,55-51,2,A. Johnson makes 2-pt shot from 9 ft (assist by K. Lowry)
7:40.0,D. Green misses 2-pt shot from 19 ft,,55-51,,
7:39.0,Offensive rebound by D. Green,,55-51,,
7:33.0,T. Parker misses 3-pt shot from 24 ft,,55-51,,
7:31.0,,,55-51,,Defensive rebound by A. Johnson
7:17.0,,,55-51,,J. Valanciunas misses 2-pt shot from 2 ft
7:16.0,Defensive rebound by T. Splitter,,55-51,,
7:00.0,K. Leonard misses 2-pt shot from 19 ft,,55-51,,
6:59.0,,,55-51,,Defensive rebound by J. Valanciunas
6:39.0,,,55-51,,K. Lowry misses 2-pt shot from 21 ft
6:37.0,,,55-51,,Offensive rebound by J. Valanciunas
6:33.0,Personal foul by D. Green (drawn by J. Johnson),,55-51,,
6:33.0,M. Ginobili enters the game for D. Green,,55-51,,
6:33.0,B. Diaw enters the game for T. Splitter,,55-51,,
6:14.0,,,55-53,2,J. Valanciunas makes 2-pt shot from 4 ft (assist by K. Lowry)
5:57.0,T. Parker misses 2-pt shot from 16 ft,,55-53,,
5:56.0,,,55-53,,Defensive rebound by A. Johnson
5:48.0,,,55-53,,Shooting foul by T. Parker (drawn by D. DeRozan)
5:48.0,,,55-54,1,D. DeRozan makes free throw 1 of 2
5:48.0,,,55-55,1,D. DeRozan makes free throw 2 of 2
5:30.0,T. Duncan misses 2-pt shot from 4 ft (block by A. Johnson),,55-55,,
5:29.0,,,55-55,,Defensive rebound by A. Johnson
5:11.0,,,55-55,,K. Lowry misses 3-pt shot from 24 ft
5:09.0,Defensive rebound by T. Duncan,,55-55,,
5:07.0,Turnover by T. Duncan (bad pass; steal by K. Lowry),,55-55,,
4:51.0,,,55-55,,D. DeRozan misses 2-pt shot from 12 ft
4:50.0,Defensive rebound by T. Duncan,,55-55,,
4:38.0,Turnover by T. Parker (lost ball; steal by D. DeRozan),,55-55,,
4:21.0,,,55-57,2,J. Valanciunas makes 2-pt shot from 3 ft
4:20.0,San Antonio full timeout,,55-57,,
4:07.0,M. Ginobili misses 3-pt shot from 24 ft,,55-57,,
4:05.0,,,55-57,,Defensive rebound by A. Johnson
3:56.0,,,55-57,,D. DeRozan misses 2-pt shot from 14 ft
3:55.0,Defensive rebound by T. Duncan,,55-57,,
3:49.0,M. Ginobili misses 2-pt shot from 2 ft (block by D. DeRozan),,55-57,,
3:47.0,Offensive rebound by T. Duncan,,55-57,,
3:47.0,T. Duncan misses 2-pt shot from 1 ft,,55-57,,
3:46.0,,,55-57,,Defensive rebound by J. Valanciunas
3:40.0,,,55-57,,Turnover by K. Lowry (bad pass; steal by T. Duncan)
3:34.0,M. Ginobili misses 2-pt shot from 2 ft,,55-57,,
3:31.0,Offensive rebound by M. Ginobili,,55-57,,
3:26.0,T. Duncan misses 2-pt shot from 5 ft (block by J. Valanciunas),,55-57,,
3:26.0,,,55-57,,Defensive rebound by Team
3:26.0,,,55-57,,P. Patterson enters the game for A. Johnson
3:06.0,,,55-57,,P. Patterson misses 3-pt shot from 24 ft
3:05.0,Defensive rebound by K. Leonard,,55-57,,
2:56.0,Shooting foul by D. DeRozan (drawn by B. Diaw),,55-57,,
2:56.0,B. Diaw makes free throw 1 of 2,1,56-57,,
2:56.0,P. Mills enters the game for T. Parker,,56-57,,
2:56.0,B. Diaw misses free throw 2 of 2,,56-57,,
2:54.0,,,56-57,,Defensive rebound by J. Valanciunas
2:43.0,,,56-59,2,J. Johnson makes 2-pt shot from 2 ft
2:35.0,Turnover by P. Mills (bad pass; steal by K. Lowry),,56-59,,
2:30.0,,,56-61,2,K. Lowry makes 2-pt shot from 2 ft
2:18.0,K. Leonard makes 2-pt shot from 7 ft,2,58-61,,
1:59.0,,,58-61,,Shooting foul by B. Diaw (drawn by D. DeRozan)
1:59.0,,,58-61,,D. DeRozan misses free throw 1 of 2
1:59.0,,,58-61,,Offensive rebound by Team
1:59.0,,,58-61,,L. Williams enters the game for J. Johnson
1:59.0,T. Splitter enters the game for T. Duncan,,58-61,,
1:59.0,,,58-62,1,D. DeRozan makes free throw 2 of 2
1:38.0,T. Splitter misses 2-pt shot from 2 ft,,58-62,,
1:37.0,,,58-62,,Defensive rebound by K. Lowry
1:21.0,,,58-62,,Turnover by K. Lowry (bad pass; steal by B. Diaw)
1:15.0,P. Mills misses 3-pt shot from 23 ft,,58-62,,
1:14.0,,,58-62,,Defensive rebound by J. Valanciunas
1:14.0,Personal foul by M. Ginobili (drawn by J. Valanciunas),,58-62,,
1:14.0,,,58-63,1,J. Valanciunas makes free throw 1 of 2
1:14.0,,,58-64,1,J. Valanciunas makes free throw 2 of 2
0:56.0,K. Leonard misses 3-pt shot from 24 ft,,58-64,,
0:54.0,,,58-64,,Defensive rebound by P. Patterson
0:38.0,,,58-64,,L. Williams misses 2-pt shot from 15 ft
0:37.0,Defensive rebound by M. Ginobili,,58-64,,
0:30.0,M. Ginobili misses 3-pt shot from 24 ft,,58-64,,
0:29.0,,,58-64,,Defensive rebound by K. Lowry
0:07.0,,,58-64,,K. Lowry misses 2-pt shot from 1 ft (block by T. Splitter)
0:07.0,,,58-64,,Offensive rebound by Team
0:06.0,,,58-64,,Turnover by Team (shot clock)
0:03.0,,,58-64,,Personal foul by D. DeRozan (drawn by K. Leonard)
0:01.0,M. Ginobili misses 3-pt shot from 24 ft,,58-64,,
0:00.0,,,58-64,,Defensive rebound by J. Valanciunas
0:00.0,End of 3rd quarter,,,,End of 3rd quarter
12:00.0,Start of 4th quarter,,,,Start of 4th quarter
11:49.0,M. Ginobili makes 2-pt shot from 1 ft (assist by P. Mills),2,60-64,,
11:39.0,Personal foul by P. Mills (drawn by L. Williams),,60-64,,
11:24.0,,,60-66,2,A. Johnson makes 2-pt shot at rim (assist by G. Vasquez)
11:13.0,Turnover by B. Diaw (bad pass; steal by A. Johnson),,60-66,,
11:10.0,,,60-66,,Offensive charge foul by L. Williams
11:10.0,,,60-66,,Turnover by L. Williams (offensive foul)
11:10.0,M. Belinelli enters the game for K. Leonard,,60-66,,
10:55.0,B. Diaw misses 2-pt shot from 4 ft,,60-66,,
10:54.0,,,60-66,,Defensive rebound by A. Johnson
10:46.0,,,60-68,2,G. Vasquez makes 2-pt shot from 15 ft
10:32.0,B. Diaw misses 3-pt shot from 24 ft,,60-68,,
10:30.0,,,60-68,,Defensive rebound by A. Johnson
10:22.0,,,60-68,,G. Vasquez misses 2-pt shot from 1 ft
10:21.0,Defensive rebound by B. Diaw,,60-68,,
9:58.0,M. Ginobili makes 2-pt shot from 2 ft (assist by M. Belinelli),2,62-68,,
9:41.0,Shooting block foul by T. Splitter (drawn by A. Johnson),,62-68,,
9:41.0,,,62-69,1,A. Johnson makes free throw 1 of 2
9:41.0,,,62-69,,A. Johnson misses free throw 2 of 2
9:41.0,Defensive rebound by M. Belinelli,,62-69,,
9:30.0,Turnover by T. Splitter (bad pass; steal by T. Ross),,62-69,,
9:25.0,,,62-69,,T. Ross misses 2-pt shot from 2 ft
9:23.0,Defensive rebound by M. Ginobili,,62-69,,
9:11.0,T. Splitter makes 2-pt shot from 2 ft,2,64-69,,
9:04.0,,,64-69,,Turnover by L. Williams (bad pass; steal by M. Ginobili)
8:56.0,M. Belinelli misses 3-pt shot from 24 ft,,64-69,,
8:55.0,Offensive rebound by B. Diaw,,64-69,,
8:53.0,B. Diaw misses 2-pt shot from 2 ft,,64-69,,
8:52.0,Offensive rebound by T. Splitter,,64-69,,
8:49.0,T. Splitter makes 2-pt shot from 2 ft,2,66-69,,
8:46.0,,,66-69,,Toronto full timeout
8:46.0,K. Leonard enters the game for B. Diaw,,66-69,,
8:46.0,D. Green enters the game for M. Ginobili,,66-69,,
8:33.0,,,66-69,,T. Ross misses 2-pt shot from 17 ft
8:32.0,,,66-69,,Offensive rebound by A. Johnson
8:28.0,,,66-69,,G. Vasquez misses 3-pt shot from 24 ft
8:27.0,Defensive rebound by Team,,66-69,,
8:27.0,T. Parker enters the game for P. Mills,,66-69,,
8:12.0,K. Leonard misses 2-pt shot from 15 ft,,66-69,,
8:11.0,,,66-69,,Defensive rebound by T. Ross
7:58.0,,,66-71,2,A. Johnson makes 2-pt shot from 4 ft
7:50.0,Shooting foul by L. Williams (drawn by T. Parker),,66-71,,
7:50.0,T. Parker makes free throw 1 of 2,1,67-71,,
7:50.0,,,67-71,,K. Lowry enters the game for L. Williams
7:50.0,T. Duncan enters the game for T. Splitter,,67-71,,
7:50.0,T. Parker misses free throw 2 of 2,,67-71,,
7:49.0,Offensive rebound by K. Leonard,,67-71,,
7:38.0,,,67-71,,Personal foul by G. Vasquez (drawn by M. Belinelli)
7:24.0,Turnover by T. Parker (bad pass; steal by T. Ross),,67-71,,
7:17.0,,,67-71,,K. Lowry misses 3-pt shot from 24 ft
7:16.0,Defensive rebound by M. Belinelli,,67-71,,
7:11.0,K. Leonard misses 2-pt shot from 2 ft (block by P. Patterson),,67-71,,
7:11.0,Offensive rebound by Team,,67-71,,
7:00.0,T. Duncan makes 2-pt shot from 2 ft (assist by T. Parker),2,69-71,,
6:40.0,,,69-73,2,P. Patterson makes 2-pt shot from 6 ft (assist by G. Vasquez)
6:24.0,D. Green misses 3-pt shot from 24 ft,,69-73,,
6:21.0,Offensive rebound by T. Parker,,69-73,,
6:17.0,M. Belinelli makes 3-pt shot from 24 ft (assist by T. Parker),3,72-73,,
5:53.0,,,72-73,,A. Johnson misses 2-pt shot from 1 ft (block by T. Duncan)
5:53.0,,,72-73,,Offensive rebound by Team
5:53.0,Official timeout,,72-73,,
5:53.0,,,72-73,,J. Valanciunas enters the game for A. Johnson
5:53.0,,,72-73,,J. Johnson enters the game for P. Patterson
5:53.0,,,72-73,,D. DeRozan enters the game for T. Ross
5:46.0,,,72-73,,Turnover by J. Johnson (bad pass; steal by D. Green)
5:33.0,D. Green misses 2-pt shot from 17 ft,,72-73,,
5:32.0,,,72-73,,Defensive rebound by J. Valanciunas
5:18.0,,,72-75,2,D. DeRozan makes 2-pt shot from 5 ft
5:02.0,T. Parker makes 3-pt shot from 22 ft (assist by M. Belinelli),3,75-75,,
4:34.0,,,75-75,,Turnover by Team (shot clock)
4:34.0,M. Ginobili enters the game for D. Green,,75-75,,
4:16.0,T. Parker misses 2-pt shot from 2 ft,,75-75,,
4:15.0,Offensive rebound by T. Duncan,,75-75,,
4:13.0,T. Duncan misses 2-pt shot from 1 ft,,75-75,,
4:12.0,,,75-75,,Defensive rebound by G. Vasquez
3:52.0,,,75-75,,D. DeRozan misses 3-pt shot from 23 ft
3:50.0,Defensive rebound by T. Duncan,,75-75,,
