time,New Orleans,pts.away,score,pts.home,Minnesota
2:19.0,N. Cole misses 3-pt shot from 25 ft,,18-15,,
2:18.0,Offensive rebound by A. Ajinca,,18-15,,
2:15.0,A. Ajinca misses 2-pt shot from 5 ft,,18-15,,
2:14.0,,,18-15,,Defensive rebound by C. Budinger
2:04.0,,,18-18,3,C. Budinger makes 3-pt shot from 26 ft (assist by A. Wiggins)
1:48.0,T. Evans makes 2-pt shot from 20 ft (assist by A. Ajinca),2,20-18,,
1:26.0,,,20-18,,Z. LaVine misses 2-pt shot from 19 ft
1:24.0,Defensive rebound by A. Davis,,20-18,,
1:15.0,Turnover by T. Evans (bad pass),,20-18,,
1:15.0,R. Anderson enters the game for A. Davis,,20-18,,
1:15.0,T. Douglas enters the game for T. Evans,,20-18,,
1:03.0,,,20-20,2,R. Hummel makes 2-pt shot from 20 ft (assist by Z. LaVine)
0:38.0,N. Cole misses 2-pt shot from 14 ft,,20-20,,
0:37.0,,,20-20,,Defensive rebound by Z. LaVine
0:28.0,,,20-20,,C. Budinger misses 2-pt shot from 1 ft (block by D. Cunningham)
0:26.0,Defensive rebound by D. Cunningham,,20-20,,
0:05.0,D. Cunningham makes 2-pt shot from 6 ft,2,22-20,,
0:00.0,,,22-20,,Z. LaVine misses 3-pt shot from 25 ft
0:00.0,,,22-20,,Offensive rebound by Team
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:35.0,,,22-20,,A. Wiggins misses 2-pt shot from 13 ft
11:34.0,Defensive rebound by R. Anderson,,22-20,,
11:25.0,,,22-20,,Personal foul by A. Wiggins (drawn by N. Cole)
11:25.0,,,22-20,,A. Onuaku enters the game for J. Hamilton
11:12.0,A. Ajinca misses 2-pt shot from 8 ft,,22-20,,
11:12.0,,,22-20,,Defensive rebound by A. Onuaku
11:02.0,,,22-20,,R. Hummel misses 2-pt shot from 20 ft
11:00.0,,,22-20,,Offensive rebound by A. Wiggins
10:47.0,,,22-20,,A. Wiggins misses 2-pt shot from 5 ft
10:46.0,Defensive rebound by A. Ajinca,,22-20,,
10:34.0,D. Cunningham makes 2-pt shot from 19 ft (assist by T. Douglas),2,24-20,,
10:34.0,,,24-20,,Away from play foul by A. Onuaku (drawn by A. Ajinca)
10:34.0,A. Ajinca makes free throw 1 of 1,1,25-20,,
10:21.0,,,25-20,,Turnover by L. Brown (bad pass)
10:01.0,R. Anderson misses 2-pt shot from 4 ft,,25-20,,
10:00.0,,,25-20,,Defensive rebound by R. Hummel
9:51.0,,,25-20,,Turnover by L. Brown (step out of bounds)
9:30.0,R. Anderson misses 2-pt shot from 3 ft (block by A. Onuaku),,25-20,,
9:28.0,,,25-20,,Defensive rebound by R. Hummel
9:09.0,,,25-22,2,A. Onuaku makes 2-pt shot from 6 ft (assist by C. Budinger)
9:03.0,,,25-22,,Personal foul by L. Brown (drawn by N. Cole)
9:03.0,,,25-22,,Z. LaVine enters the game for A. Wiggins
8:49.0,D. Cunningham misses 3-pt shot from 23 ft,,25-22,,
8:48.0,,,25-22,,Defensive rebound by L. Brown
8:42.0,,,25-22,,Z. LaVine misses 2-pt shot from 7 ft
8:40.0,Defensive rebound by A. Ajinca,,25-22,,
8:35.0,Shooting foul by R. Hummel (drawn by D. Cunningham),,25-22,,
8:35.0,New Orleans full timeout,,25-22,,
8:35.0,D. Cunningham makes free throw 1 of 2,1,26-22,,
8:35.0,D. Cunningham misses free throw 2 of 2,,26-22,,
8:34.0,,,26-22,,Defensive rebound by R. Hummel
8:23.0,,,26-24,2,Z. LaVine makes 2-pt shot from 2 ft
8:01.0,N. Cole misses 2-pt shot from 15 ft,,26-24,,
8:00.0,,,26-24,,Defensive rebound by A. Onuaku
7:41.0,,,26-24,,Shooting foul by N. Cole (drawn by Z. LaVine)
7:41.0,,,26-25,1,Z. LaVine makes free throw 1 of 2
7:41.0,,,26-26,1,Z. LaVine makes free throw 2 of 2
7:27.0,A. Ajinca misses 2-pt shot from 15 ft,,26-26,,
7:26.0,,,26-26,,Defensive rebound by Z. LaVine
7:24.0,A. Davis enters the game for A. Ajinca,,26-26,,
7:24.0,Q. Pondexter enters the game for D. Cunningham,,26-26,,
7:16.0,,,26-26,,Z. LaVine misses 2-pt shot from 7 ft
7:15.0,,,26-26,,Offensive rebound by Team
7:15.0,Loose ball foul by N. Cole (drawn by R. Hummel),,26-26,,
7:15.0,,,26-26,,A. Payne enters the game for A. Onuaku
7:15.0,,,26-26,,Minnesota full timeout
7:02.0,,,26-26,,L. Brown misses 3-pt shot from 25 ft
7:01.0,Defensive rebound by Team,,26-26,,
6:40.0,A. Davis makes 2-pt shot from 14 ft (assist by N. Cole),2,28-26,,
6:29.0,Personal foul by T. Douglas (drawn by Z. LaVine),,28-26,,
6:29.0,E. Gordon enters the game for T. Douglas,,28-26,,
6:29.0,,,28-26,,A. Wiggins enters the game for C. Budinger
6:16.0,,,28-26,,A. Wiggins misses 2-pt shot from 8 ft
6:15.0,Defensive rebound by A. Davis,,28-26,,
6:06.0,N. Cole makes 2-pt shot from 21 ft,2,30-26,,
5:44.0,,,30-26,,A. Payne misses 2-pt shot at rim
5:42.0,Defensive rebound by Q. Pondexter,,30-26,,
5:28.0,N. Cole makes 3-pt shot from 22 ft (assist by A. Davis),3,33-26,,
5:09.0,,,33-28,2,A. Wiggins makes 2-pt shot at rim
5:01.0,Turnover by N. Cole (offensive foul),,33-28,,
5:01.0,Offensive foul by N. Cole,,33-28,,
5:01.0,T. Evans enters the game for N. Cole,,33-28,,
4:50.0,,,33-30,2,R. Hummel makes 2-pt shot from 17 ft (assist by Z. LaVine)
4:36.0,E. Gordon makes 2-pt shot from 19 ft,2,35-30,,
4:24.0,,,35-30,,Z. LaVine misses 2-pt shot from 20 ft
4:23.0,,,35-30,,Offensive rebound by Team
4:23.0,Loose ball foul by R. Anderson (drawn by R. Hummel),,35-30,,
4:08.0,,,35-30,,Turnover by Z. LaVine (bad pass; steal by T. Evans)
4:01.0,Q. Pondexter misses 3-pt shot from 22 ft,,35-30,,
4:00.0,,,35-30,,Defensive rebound by R. Hummel
3:45.0,,,35-30,,A. Payne misses 2-pt shot from 11 ft
3:44.0,Defensive rebound by Q. Pondexter,,35-30,,
3:44.0,New Orleans full timeout,,35-30,,
3:44.0,O. Asik enters the game for R. Anderson,,35-30,,
3:30.0,E. Gordon makes 3-pt shot from 25 ft (assist by A. Davis),3,38-30,,
3:11.0,,,38-32,2,Z. LaVine makes 2-pt shot at rim
2:56.0,Turnover by T. Evans (bad pass),,38-32,,
2:56.0,,,38-32,,C. Budinger enters the game for L. Brown
2:44.0,,,38-32,,A. Wiggins misses 2-pt shot from 5 ft (block by A. Davis)
2:42.0,Defensive rebound by O. Asik,,38-32,,
2:39.0,Shooting foul by R. Hummel (drawn by T. Evans),,38-32,,
2:39.0,T. Evans makes free throw 1 of 2,1,39-32,,
2:39.0,,,39-32,,J. Hamilton enters the game for R. Hummel
2:39.0,T. Evans makes free throw 2 of 2,1,40-32,,
2:22.0,,,40-32,,A. Payne misses 2-pt shot at rim (block by A. Davis)
2:21.0,Defensive rebound by Team,,40-32,,
2:07.0,O. Asik misses 2-pt shot from 4 ft (block by J. Hamilton),,40-32,,
2:06.0,Offensive rebound by Team,,40-32,,
2:04.0,Shooting foul by A. Payne (drawn by A. Davis),,40-32,,
2:04.0,A. Davis makes free throw 1 of 2,1,41-32,,
2:04.0,A. Davis makes free throw 2 of 2,1,42-32,,
1:52.0,,,42-34,2,Z. LaVine makes 2-pt shot from 15 ft
1:30.0,Shooting foul by C. Budinger (drawn by E. Gordon),,42-34,,
1:30.0,E. Gordon makes free throw 1 of 2,1,43-34,,
1:30.0,,,43-34,,Minnesota full timeout
1:30.0,E. Gordon makes free throw 2 of 2,1,44-34,,
1:11.0,,,44-34,,J. Hamilton misses 3-pt shot from 25 ft
1:10.0,Defensive rebound by T. Evans,,44-34,,
1:04.0,E. Gordon misses 3-pt shot from 24 ft,,44-34,,
1:02.0,Offensive rebound by A. Davis,,44-34,,
0:52.0,O. Asik misses 2-pt shot from 1 ft,,44-34,,
0:51.0,Offensive rebound by A. Davis,,44-34,,
0:51.0,A. Davis makes 2-pt shot from 1 ft,2,46-34,,
0:38.0,,,46-34,,Turnover by Z. LaVine (bad pass; steal by A. Davis)
0:35.0,T. Evans makes 2-pt shot at rim,2,48-34,,
0:35.0,Shooting foul by Z. LaVine (drawn by T. Evans),,48-34,,
0:35.0,T. Evans makes free throw 1 of 1,1,49-34,,
0:12.0,,,49-34,,C. Budinger misses 3-pt shot from 23 ft
0:11.0,,,49-34,,Offensive rebound by Team
0:11.0,Loose ball foul by Q. Pondexter (drawn by J. Hamilton),,49-34,,
0:11.0,,,49-34,,J. Hamilton misses free throw 1 of 2
0:11.0,,,49-34,,Offensive rebound by Team
0:11.0,,,49-35,1,J. Hamilton makes free throw 2 of 2
0:01.0,Shooting foul by Z. LaVine (drawn by T. Evans),,49-35,,
0:01.0,T. Evans misses free throw 1 of 2,,49-35,,
0:01.0,Offensive rebound by Team,,49-35,,
0:01.0,T. Evans makes free throw 2 of 2,1,50-35,,
0:00.0,End of 2nd quarter,,,,End of 2nd quarter
12:00.0,Start of 3rd quarter,,,,Start of 3rd quarter
11:47.0,,,50-35,,A. Payne misses 2-pt shot from 15 ft
11:46.0,Defensive rebound by A. Davis,,50-35,,
11:22.0,T. Evans misses 2-pt shot from 20 ft,,50-35,,
11:21.0,,,50-35,,Defensive rebound by A. Payne
11:05.0,,,50-35,,Shooting foul by Q. Pondexter (drawn by C. Budinger)
11:05.0,,,50-36,1,C. Budinger makes free throw 1 of 2
11:05.0,,,50-37,1,C. Budinger makes free throw 2 of 2
10:54.0,T. Evans misses 2-pt shot from 4 ft,,50-37,,
10:53.0,,,50-37,,Defensive rebound by J. Hamilton
10:39.0,,,50-37,,Turnover by C. Budinger (bad pass; steal by A. Davis)
10:31.0,E. Gordon misses 3-pt shot from 24 ft,,50-37,,
10:30.0,Offensive rebound by T. Evans,,50-37,,
10:26.0,Q. Pondexter misses 3-pt shot from 24 ft,,50-37,,
10:26.0,,,50-37,,Defensive rebound by C. Budinger
10:14.0,,,50-39,2,A. Wiggins makes 2-pt shot from 7 ft (assist by Z. LaVine)
9:59.0,Shooting foul by A. Payne (drawn by A. Davis),,50-39,,
9:59.0,A. Davis makes free throw 1 of 2,1,51-39,,
9:59.0,A. Davis makes free throw 2 of 2,1,52-39,,
9:43.0,,,52-39,,A. Payne misses 2-pt shot from 6 ft
9:43.0,,,52-39,,Offensive rebound by Team
9:43.0,Loose ball foul by Q. Pondexter (drawn by A. Wiggins),,52-39,,
9:43.0,D. Cunningham enters the game for Q. Pondexter,,52-39,,
9:36.0,,,52-39,,Z. LaVine misses 3-pt shot from 24 ft
9:35.0,Defensive rebound by O. Asik,,52-39,,
9:26.0,Offensive foul by O. Asik,,52-39,,
9:26.0,Turnover by O. Asik (offensive foul),,52-39,,
9:14.0,,,52-39,,A. Wiggins misses 2-pt shot from 18 ft
9:11.0,Defensive rebound by A. Davis,,52-39,,
9:11.0,,,52-39,,Loose ball foul by A. Payne (drawn by A. Davis)
8:54.0,T. Evans makes 2-pt shot from 18 ft,2,54-39,,
8:45.0,,,54-39,,Minnesota full timeout
8:37.0,,,54-39,,Shooting foul by O. Asik (drawn by C. Budinger)
8:37.0,,,54-39,,C. Budinger misses free throw 1 of 2
8:37.0,,,54-39,,Offensive rebound by Team
8:37.0,,,54-40,1,C. Budinger makes free throw 2 of 2
8:24.0,E. Gordon makes 3-pt shot from 25 ft (assist by A. Davis),3,57-40,,
8:01.0,,,57-40,,J. Hamilton misses 2-pt shot at rim
8:00.0,,,57-40,,Offensive rebound by C. Budinger
7:59.0,,,57-42,2,C. Budinger makes 2-pt shot from 1 ft
7:40.0,A. Davis makes 2-pt shot at rim,2,59-42,,
7:29.0,,,59-42,,Turnover by A. Payne (offensive foul)
7:29.0,,,59-42,,Offensive foul by A. Payne
7:29.0,,,59-42,,R. Hummel enters the game for A. Payne
7:18.0,D. Cunningham misses 2-pt shot from 17 ft,,59-42,,
7:17.0,,,59-42,,Defensive rebound by C. Budinger
7:06.0,,,59-44,2,J. Hamilton makes 2-pt shot from 20 ft (assist by Z. LaVine)
6:43.0,O. Asik misses 2-pt shot from 2 ft (block by J. Hamilton),,59-44,,
6:42.0,,,59-44,,Defensive rebound by C. Budinger
6:28.0,,,59-46,2,Z. LaVine makes 2-pt shot from 19 ft
6:09.0,E. Gordon makes 3-pt shot from 22 ft (assist by T. Evans),3,62-46,,
5:58.0,,,62-46,,Z. LaVine misses 2-pt shot from 5 ft (block by A. Davis)
5:57.0,,,62-46,,Offensive rebound by Team
5:57.0,,,62-46,,Minnesota full timeout
5:49.0,,,62-46,,A. Wiggins misses 2-pt shot from 13 ft
5:48.0,Defensive rebound by D. Cunningham,,62-46,,
5:25.0,T. Evans makes 3-pt shot from 24 ft (assist by E. Gordon),3,65-46,,
5:07.0,,,65-46,,Shooting foul by A. Davis (drawn by C. Budinger)
5:07.0,,,65-47,1,C. Budinger makes free throw 1 of 2
5:07.0,,,65-48,1,C. Budinger makes free throw 2 of 2
4:53.0,Turnover by A. Davis (bad pass),,65-48,,
4:53.0,A. Ajinca enters the game for O. Asik,,65-48,,
4:45.0,,,65-48,,Z. LaVine misses 2-pt shot from 20 ft
4:41.0,Defensive rebound by D. Cunningham,,65-48,,
4:34.0,Turnover by T. Evans (lost ball; steal by J. Hamilton),,65-48,,
4:29.0,,,65-48,,Shooting foul by A. Ajinca (drawn by A. Wiggins)
4:29.0,,,65-49,1,A. Wiggins makes free throw 1 of 2
4:29.0,N. Cole enters the game for T. Evans,,65-49,,
4:29.0,,,65-50,1,A. Wiggins makes free throw 2 of 2
4:15.0,A. Davis makes 2-pt shot from 15 ft (assist by E. Gordon),2,67-50,,
3:59.0,,,67-50,,R. Hummel misses 2-pt shot from 19 ft
3:58.0,Defensive rebound by D. Cunningham,,67-50,,
3:48.0,N. Cole misses 2-pt shot from 18 ft,,67-50,,
3:47.0,Offensive rebound by A. Ajinca,,67-50,,
3:44.0,A. Ajinca misses 2-pt shot from 1 ft (block by J. Hamilton),,67-50,,
3:42.0,,,67-50,,Defensive rebound by C. Budinger
3:31.0,,,67-50,,Shooting foul by A. Ajinca (drawn by C. Budinger)
3:31.0,,,67-51,1,C. Budinger makes free throw 1 of 2
3:31.0,,,67-51,,L. Brown enters the game for A. Wiggins
3:31.0,T. Douglas enters the game for E. Gordon,,67-51,,
3:31.0,,,67-52,1,C. Budinger makes free throw 2 of 2
3:07.0,A. Davis misses 2-pt shot from 19 ft,,67-52,,
3:06.0,,,67-52,,Defensive rebound by Z. LaVine
3:00.0,,,67-52,,Z. LaVine misses 2-pt shot from 9 ft
2:58.0,,,67-52,,Offensive rebound by Team
2:58.0,New Orleans full timeout,,67-52,,
2:54.0,,,67-54,2,C. Budinger makes 2-pt shot from 16 ft (assist by J. Hamilton)
2:39.0,Shooting foul by R. Hummel (drawn by A. Davis),,67-54,,
2:39.0,A. Davis makes free throw 1 of 2,1,68-54,,
2:39.0,A. Davis makes free throw 2 of 2,1,69-54,,
2:25.0,,,69-54,,Shooting foul by D. Cunningham (drawn by C. Budinger)
2:25.0,,,69-55,1,C. Budinger makes free throw 1 of 2
2:25.0,R. Anderson enters the game for A. Davis,,69-55,,
2:25.0,,,69-56,1,C. Budinger makes free throw 2 of 2
2:24.0,,,69-56,,Personal take foul by L. Brown (drawn by N. Cole)
2:24.0,,,69-56,,A. Wiggins enters the game for C. Budinger
2:14.0,T. Douglas misses 3-pt shot from 24 ft,,69-56,,
2:13.0,,,69-56,,Defensive rebound by R. Hummel
1:57.0,,,69-56,,J. Hamilton misses 2-pt shot from 6 ft (block by A. Ajinca)
1:55.0,Defensive rebound by N. Cole,,69-56,,
1:47.0,N. Cole misses 3-pt shot from 25 ft,,69-56,,
1:46.0,,,69-56,,Defensive rebound by R. Hummel
1:40.0,,,69-56,,Shooting foul by T. Douglas (drawn by Z. LaVine)
1:40.0,,,69-57,1,Z. LaVine makes free throw 1 of 2
1:40.0,,,69-58,1,Z. LaVine makes free throw 2 of 2
1:28.0,T. Douglas makes 2-pt shot at rim,2,71-58,,
1:04.0,,,71-60,2,A. Wiggins makes 2-pt shot from 20 ft
0:48.0,A. Ajinca makes 2-pt shot from 7 ft,2,73-60,,
0:41.0,,,73-62,2,Z. LaVine makes 2-pt shot from 20 ft
0:27.0,Turnover by A. Ajinca (traveling),,73-62,,
0:07.0,,,73-62,,Z. LaVine misses 2-pt shot from 22 ft
0:05.0,Defensive rebound by R. Anderson,,73-62,,
0:00.0,T. Douglas misses 2-pt shot from 10 ft,,73-62,,
0:00.0,Offensive rebound by Team,,73-62,,
0:00.0,End of 3rd quarter,,,,End of 3rd quarter
12:00.0,Start of 4th quarter,,,,Start of 4th quarter
11:44.0,,,73-62,,Personal foul by R. Hummel (drawn by A. Ajinca)
11:34.0,R. Anderson makes 2-pt shot at rim,2,75-62,,
11:34.0,Shooting foul by L. Brown (drawn by R. Anderson),,75-62,,
11:34.0,R. Anderson makes free throw 1 of 1,1,76-62,,
11:22.0,,,76-62,,Z. LaVine misses 2-pt shot from 1 ft
11:21.0,Defensive rebound by A. Ajinca,,76-62,,
11:19.0,Offensive charge foul by T. Douglas,,76-62,,
11:19.0,Turnover by T. Douglas (offensive foul),,76-62,,
10:55.0,,,76-62,,A. Wiggins misses 3-pt shot from 24 ft
10:54.0,,,76-62,,Offensive rebound by L. Brown
10:53.0,,,76-62,,Turnover by A. Onuaku (offensive goaltending)
10:38.0,R. Anderson makes 2-pt shot from 1 ft,2,78-62,,
10:26.0,,,78-62,,Z. LaVine misses 2-pt shot from 4 ft
10:24.0,,,78-62,,Offensive rebound by R. Hummel
10:21.0,,,78-62,,Shooting foul by A. Ajinca (drawn by A. Wiggins)
10:21.0,,,78-62,,A. Wiggins misses free throw 1 of 2
10:21.0,,,78-62,,Offensive rebound by Team
10:21.0,,,78-63,1,A. Wiggins makes free throw 2 of 2
9:59.0,T. Douglas misses 3-pt shot from 24 ft,,78-63,,
9:58.0,,,78-63,,Defensive rebound by R. Hummel
9:48.0,,,78-63,,Turnover by A. Wiggins (lost ball; steal by T. Douglas)
9:43.0,T. Douglas makes 2-pt shot from 1 ft,2,80-63,,
9:29.0,,,80-65,2,R. Hummel makes 2-pt shot from 17 ft (assist by Z. LaVine)
9:08.0,R. Anderson misses 2-pt shot from 16 ft,,80-65,,
9:07.0,,,80-65,,Defensive rebound by Team
8:54.0,,,80-67,2,A. Onuaku makes 2-pt shot at rim (assist by Z. LaVine)
8:36.0,N. Cole makes 2-pt shot at rim,2,82-67,,
8:23.0,,,82-67,,Z. LaVine misses 2-pt shot from 15 ft
8:21.0,Defensive rebound by D. Cunningham,,82-67,,
8:09.0,R. Anderson misses 2-pt shot from 1 ft,,82-67,,
8:08.0,,,82-67,,Defensive rebound by A. Wiggins
8:04.0,,,82-69,2,L. Brown makes 2-pt shot at rim (assist by A. Wiggins)
8:04.0,New Orleans full timeout,,82-69,,
8:04.0,T. Evans enters the game for N. Cole,,82-69,,
8:04.0,A. Davis enters the game for A. Ajinca,,82-69,,
7:45.0,A. Davis makes 2-pt shot from 13 ft,2,84-69,,
7:28.0,,,84-72,3,Z. LaVine makes 3-pt shot from 24 ft (assist by L. Brown)
6:59.0,R. Anderson misses 3-pt shot from 22 ft,,84-72,,
6:58.0,,,84-72,,Defensive rebound by Z. LaVine
6:47.0,,,84-72,,L. Brown misses 2-pt shot from 14 ft
6:46.0,Defensive rebound by A. Davis,,84-72,,
6:37.0,,,84-72,,Personal foul by Z. LaVine (drawn by T. Douglas)
6:37.0,Q. Pondexter enters the game for D. Cunningham,,84-72,,
6:37.0,E. Gordon enters the game for T. Douglas,,84-72,,
6:29.0,T. Evans makes 2-pt shot from 1 ft,2,86-72,,
6:29.0,Shooting foul by A. Onuaku (drawn by T. Evans),,86-72,,
6:29.0,T. Evans makes free throw 1 of 1,1,87-72,,
6:13.0,,,87-74,2,A. Onuaku makes 2-pt shot from 5 ft (assist by L. Brown)
5:51.0,R. Anderson misses 3-pt shot from 25 ft,,87-74,,
5:50.0,,,87-74,,Defensive rebound by A. Onuaku
5:45.0,,,87-76,2,Z. LaVine makes 2-pt shot from 17 ft
5:43.0,New Orleans full timeout,,87-76,,
5:43.0,New Orleans full timeout,,87-76,,
5:43.0,O. Asik enters the game for R. Anderson,,87-76,,
5:20.0,Q. Pondexter misses 3-pt shot from 22 ft,,87-76,,
5:18.0,Offensive rebound by A. Davis,,87-76,,
5:17.0,A. Davis makes 2-pt shot at rim,2,89-76,,
4:59.0,,,89-76,,Turnover by A. Wiggins (lost ball)
4:45.0,A. Davis misses 2-pt shot from 3 ft,,89-76,,
4:44.0,Offensive rebound by O. Asik,,89-76,,
4:38.0,Shooting foul by A. Onuaku (drawn by A. Davis),,89-76,,
4:38.0,A. Davis makes free throw 1 of 2,1,90-76,,
4:38.0,A. Davis makes free throw 2 of 2,1,91-76,,
4:28.0,,,91-76,,Shooting foul by T. Evans (drawn by Z. LaVine)
4:28.0,,,91-77,1,Z. LaVine makes free throw 1 of 2
4:28.0,,,91-78,1,Z. LaVine makes free throw 2 of 2
4:08.0,Shooting foul by Z. LaVine (drawn by E. Gordon),,91-78,,
4:08.0,E. Gordon makes free throw 1 of 2,1,92-78,,
4:08.0,E. Gordon misses free throw 2 of 2,,92-78,,
4:07.0,,,92-78,,Defensive rebound by A. Onuaku
3:47.0,,,92-78,,Z. LaVine misses 3-pt shot from 25 ft
3:45.0,,,92-78,,Offensive rebound by A. Wiggins
3:41.0,,,92-78,,A. Wiggins misses 2-pt shot from 3 ft
3:39.0,,,92-78,,Offensive rebound by A. Wiggins
3:39.0,,,92-80,2,A. Wiggins makes 2-pt shot at rim
3:21.0,A. Davis misses 2-pt shot from 8 ft,,92-80,,
3:20.0,,,92-80,,Defensive rebound by A. Onuaku
3:09.0,,,92-83,3,R. Hummel makes 3-pt shot from 25 ft (assist by L. Brown)
2:47.0,O. Asik makes 2-pt shot at rim (assist by A. Davis),2,94-83,,
2:39.0,,,94-83,,Minnesota full timeout
2:32.0,,,94-83,,Z. LaVine misses 2-pt shot from 8 ft
2:31.0,,,94-83,,Offensive rebound by A. Onuaku
2:30.0,,,94-83,,Shooting foul by A. Davis (drawn by A. Onuaku)
2:30.0,,,94-83,,A. Onuaku misses free throw 1 of 2
