time,New York,pts.away,score,pts.home,Charlotte
8:42.0,,,4-0,,Offensive rebound by Team
8:29.0,,,4-0,,Offensive charge foul by G. Henderson
8:29.0,,,4-0,,Turnover by G. Henderson (offensive foul)
8:19.0,T. Hardaway makes 3-pt shot from 26 ft (assist by L. Thomas),3,7-0,,
7:57.0,,,7-0,,G. Henderson misses 2-pt shot from 1 ft
7:53.0,,,7-0,,Offensive rebound by B. Biyombo
7:53.0,,,7-0,,B. Biyombo misses 2-pt shot from 5 ft
7:50.0,Defensive rebound by T. Hardaway,,7-0,,
7:44.0,L. Amundson makes 2-pt shot from 17 ft (assist by T. Hardaway),2,9-0,,
7:39.0,,,9-0,,Charlotte full timeout
7:32.0,,,9-2,2,C. Zeller makes 2-pt shot from 19 ft (assist by G. Henderson)
7:20.0,Shooting foul by B. Biyombo (drawn by L. Amundson),,9-2,,
7:20.0,L. Amundson misses free throw 1 of 2,,9-2,,
7:20.0,Offensive rebound by Team,,9-2,,
7:20.0,L. Amundson makes free throw 2 of 2,1,10-2,,
6:57.0,,,10-4,2,G. Henderson makes 2-pt shot from 11 ft
6:38.0,L. Thomas makes 2-pt shot from 9 ft (assist by T. Hardaway),2,12-4,,
6:26.0,,,12-4,,G. Henderson misses 3-pt shot from 25 ft
6:24.0,Defensive rebound by L. Thomas,,12-4,,
6:12.0,T. Hardaway misses 3-pt shot from 25 ft,,12-4,,
6:11.0,,,12-4,,Defensive rebound by C. Zeller
6:03.0,,,12-6,2,B. Roberts makes 2-pt shot from 19 ft
5:44.0,J. Smith misses 2-pt shot from 2 ft (block by B. Biyombo),,12-6,,
5:42.0,,,12-6,,Defensive rebound by M. Kidd-Gilchrist
5:39.0,,,12-6,,Shooting foul by J. Smith (drawn by C. Zeller)
5:39.0,,,12-7,1,C. Zeller makes free throw 1 of 2
5:39.0,,,12-7,,A. Jefferson enters the game for B. Biyombo
5:39.0,S. Larkin enters the game for L. Galloway,,12-7,,
5:39.0,,,12-8,1,C. Zeller makes free throw 2 of 2
5:21.0,J. Smith misses 2-pt shot from 4 ft,,12-8,,
5:19.0,,,12-8,,Defensive rebound by A. Jefferson
5:12.0,Personal foul by T. Hardaway (drawn by G. Henderson),,12-8,,
5:07.0,,,12-8,,Shooting foul by L. Amundson (drawn by C. Zeller)
5:07.0,,,12-9,1,C. Zeller makes free throw 1 of 2
5:07.0,,,12-9,,L. Stephenson enters the game for M. Kidd-Gilchrist
5:07.0,A. Stoudemire enters the game for L. Amundson,,12-9,,
5:07.0,,,12-10,1,C. Zeller makes free throw 2 of 2
4:44.0,L. Thomas makes 2-pt shot from 5 ft,2,14-10,,
4:29.0,,,14-10,,Shooting foul by J. Smith (drawn by G. Henderson)
4:29.0,,,14-11,1,G. Henderson makes free throw 1 of 2
4:29.0,,,14-11,,M. Williams enters the game for C. Zeller
4:29.0,Q. Acy enters the game for J. Smith,,14-11,,
4:29.0,,,14-12,1,G. Henderson makes free throw 2 of 2
4:12.0,A. Stoudemire misses 2-pt shot from 7 ft (block by A. Jefferson),,14-12,,
4:11.0,,,14-12,,Defensive rebound by B. Roberts
4:02.0,,,14-12,,A. Jefferson misses 2-pt shot from 6 ft
4:00.0,Defensive rebound by A. Stoudemire,,14-12,,
3:46.0,L. Thomas misses 2-pt shot from 16 ft,,14-12,,
3:44.0,,,14-12,,Defensive rebound by M. Williams
3:28.0,,,14-12,,A. Jefferson misses 2-pt shot from 6 ft
3:27.0,Defensive rebound by L. Thomas,,14-12,,
3:08.0,T. Hardaway makes 2-pt shot from 7 ft (assist by Q. Acy),2,16-12,,
2:52.0,,,16-12,,A. Jefferson misses 2-pt shot from 6 ft
2:50.0,Defensive rebound by Q. Acy,,16-12,,
2:45.0,New York full timeout,,16-12,,
2:45.0,C. Aldrich enters the game for A. Stoudemire,,16-12,,
2:45.0,,,16-12,,G. Neal enters the game for B. Roberts
2:35.0,T. Hardaway misses 2-pt shot from 16 ft,,16-12,,
2:34.0,,,16-12,,Defensive rebound by M. Williams
2:13.0,,,16-12,,G. Neal misses 2-pt shot from 21 ft
2:12.0,Defensive rebound by Q. Acy,,16-12,,
2:04.0,T. Hardaway makes 2-pt shot from 16 ft,2,18-12,,
1:44.0,,,18-14,2,L. Stephenson makes 2-pt shot from 1 ft
1:37.0,T. Hardaway makes 3-pt shot from 25 ft (assist by S. Larkin),3,21-14,,
1:17.0,,,21-14,,M. Williams misses 2-pt shot from 2 ft
1:15.0,,,21-14,,Offensive rebound by M. Williams
1:15.0,,,21-16,2,M. Williams makes 2-pt shot at rim
0:54.0,L. Thomas makes 2-pt shot from 15 ft (assist by T. Hardaway),2,23-16,,
0:38.0,,,23-16,,A. Jefferson misses 2-pt shot from 18 ft
0:37.0,Defensive rebound by Q. Acy,,23-16,,
0:19.0,C. Aldrich misses 2-pt shot from 7 ft (block by A. Jefferson),,23-16,,
0:16.0,Offensive rebound by C. Aldrich,,23-16,,
0:16.0,C. Aldrich misses 2-pt shot from 1 ft,,23-16,,
0:16.0,,,23-16,,Defensive rebound by Team
0:03.0,,,23-16,,L. Stephenson misses 2-pt shot from 10 ft
0:02.0,Defensive rebound by Q. Acy,,23-16,,
0:00.0,S. Larkin misses 3-pt shot from 38 ft,,23-16,,
0:00.0,Offensive rebound by Team,,23-16,,
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:43.0,,,23-16,,Shooting foul by T. Wear (drawn by M. Williams)
11:43.0,,,23-16,,M. Williams misses free throw 1 of 2
11:43.0,,,23-16,,Offensive rebound by Team
11:43.0,,,23-16,,M. Williams misses free throw 2 of 2
11:42.0,,,23-16,,Offensive rebound by M. Williams
11:42.0,,,23-16,,Shooting foul by C. Aldrich (drawn by M. Williams)
11:42.0,,,23-17,1,M. Williams makes free throw 1 of 2
11:42.0,,,23-17,,M. Williams misses free throw 2 of 2
11:40.0,Defensive rebound by C. Aldrich,,23-17,,
11:24.0,P. Prigioni misses 3-pt shot from 25 ft,,23-17,,
11:23.0,,,23-17,,Defensive rebound by M. Williams
11:04.0,,,23-17,,M. Kidd-Gilchrist misses 2-pt shot from 1 ft
11:03.0,Defensive rebound by C. Aldrich,,23-17,,
10:43.0,Q. Acy misses 3-pt shot from 23 ft,,23-17,,
10:41.0,,,23-17,,Defensive rebound by M. Williams
10:21.0,,,23-17,,Turnover by A. Jefferson (lost ball; steal by C. Aldrich)
10:08.0,T. Wear makes 2-pt shot from 16 ft (assist by C. Aldrich),2,25-17,,
9:48.0,,,25-17,,G. Neal misses 3-pt shot from 26 ft
9:47.0,Defensive rebound by C. Aldrich,,25-17,,
9:30.0,S. Larkin misses 3-pt shot from 24 ft,,25-17,,
9:29.0,,,25-17,,Defensive rebound by M. Williams
9:18.0,,,25-17,,G. Neal misses 3-pt shot from 24 ft
9:18.0,Defensive rebound by Team,,25-17,,
9:18.0,,,25-17,,C. Zeller enters the game for M. Williams
9:02.0,S. Larkin makes 2-pt shot from 17 ft,2,27-17,,
8:45.0,,,27-17,,M. Kidd-Gilchrist misses 2-pt shot from 17 ft
8:44.0,Defensive rebound by C. Aldrich,,27-17,,
8:32.0,,,27-17,,Personal foul by L. Stephenson (drawn by S. Larkin)
8:32.0,Official timeout,,27-17,,
8:21.0,T. Wear misses 2-pt shot from 19 ft,,27-17,,
8:18.0,,,27-17,,Defensive rebound by L. Stephenson
8:11.0,,,27-17,,A. Jefferson misses 2-pt shot from 17 ft
8:08.0,Defensive rebound by P. Prigioni,,27-17,,
8:04.0,,,27-17,,Personal foul by L. Stephenson (drawn by P. Prigioni)
7:47.0,Turnover by S. Larkin (lost ball; steal by C. Zeller),,27-17,,
7:30.0,,,27-17,,Shooting foul by Q. Acy (drawn by M. Kidd-Gilchrist)
7:30.0,,,27-17,,M. Kidd-Gilchrist misses free throw 1 of 2
7:30.0,,,27-17,,Offensive rebound by Team
7:30.0,L. Galloway enters the game for S. Larkin,,27-17,,
7:30.0,J. Smith enters the game for Q. Acy,,27-17,,
7:30.0,L. Thomas enters the game for T. Wear,,27-17,,
7:30.0,,,27-18,1,M. Kidd-Gilchrist makes free throw 2 of 2
7:14.0,J. Smith misses 2-pt shot from 15 ft,,27-18,,
7:13.0,,,27-18,,Defensive rebound by M. Kidd-Gilchrist
6:52.0,,,27-18,,C. Zeller misses 2-pt shot from 18 ft
6:50.0,Defensive rebound by L. Galloway,,27-18,,
6:39.0,C. Aldrich makes 2-pt shot from 5 ft (assist by P. Prigioni),2,29-18,,
6:22.0,,,29-18,,L. Stephenson misses 2-pt shot from 17 ft
6:21.0,Defensive rebound by P. Prigioni,,29-18,,
6:08.0,L. Thomas misses 2-pt shot from 19 ft,,29-18,,
6:06.0,,,29-18,,Defensive rebound by A. Jefferson
5:59.0,,,29-18,,L. Stephenson misses 2-pt shot from 19 ft
5:58.0,Defensive rebound by C. Aldrich,,29-18,,
5:48.0,Turnover by L. Thomas (bad pass),,29-18,,
5:48.0,,,29-18,,Charlotte full timeout
5:48.0,,,29-18,,B. Roberts enters the game for A. Jefferson
5:48.0,,,29-18,,G. Henderson enters the game for L. Stephenson
5:48.0,,,29-18,,B. Biyombo enters the game for G. Neal
5:48.0,L. Amundson enters the game for C. Aldrich,,29-18,,
5:48.0,T. Hardaway enters the game for P. Prigioni,,29-18,,
5:36.0,,,29-20,2,C. Zeller makes 2-pt shot from 2 ft (assist by B. Roberts)
5:36.0,,,29-20,,Shooting foul by L. Amundson (drawn by C. Zeller)
5:36.0,,,29-20,,C. Zeller misses free throw 1 of 1
5:35.0,Defensive rebound by L. Amundson,,29-20,,
5:15.0,Shooting foul by B. Biyombo (drawn by L. Amundson),,29-20,,
5:15.0,L. Amundson makes free throw 1 of 2,1,30-20,,
5:15.0,L. Amundson misses free throw 2 of 2,,30-20,,
5:13.0,Offensive rebound by J. Smith,,30-20,,
4:57.0,L. Galloway misses 2-pt shot from 20 ft,,30-20,,
4:57.0,Offensive rebound by Team,,30-20,,
4:57.0,,,30-20,,Loose ball foul by G. Henderson (drawn by L. Thomas)
4:57.0,,,30-20,,M. Williams enters the game for B. Biyombo
4:49.0,L. Galloway misses 2-pt shot from 2 ft,,30-20,,
4:46.0,,,30-20,,Defensive rebound by C. Zeller
4:38.0,,,30-22,2,G. Henderson makes 2-pt shot from 16 ft
4:22.0,L. Galloway misses 2-pt shot from 1 ft,,30-22,,
4:21.0,,,30-22,,Defensive rebound by M. Kidd-Gilchrist
4:19.0,,,30-22,,Shooting foul by T. Hardaway (drawn by M. Kidd-Gilchrist)
4:19.0,,,30-23,1,M. Kidd-Gilchrist makes free throw 1 of 2
4:19.0,,,30-24,1,M. Kidd-Gilchrist makes free throw 2 of 2
4:08.0,L. Galloway makes 2-pt shot at rim (assist by L. Amundson),2,32-24,,
3:58.0,,,32-24,,Shooting foul by L. Amundson (drawn by M. Kidd-Gilchrist)
3:58.0,,,32-24,,M. Kidd-Gilchrist misses free throw 1 of 2
3:58.0,,,32-24,,Offensive rebound by Team
3:58.0,C. Aldrich enters the game for L. Amundson,,32-24,,
3:58.0,,,32-25,1,M. Kidd-Gilchrist makes free throw 2 of 2
3:41.0,T. Hardaway misses 2-pt shot from 19 ft,,32-25,,
3:39.0,,,32-25,,Defensive rebound by Team
3:39.0,,,32-25,,P. Hairston enters the game for M. Kidd-Gilchrist
3:19.0,,,32-28,3,B. Roberts makes 3-pt shot from 27 ft
3:07.0,Turnover by C. Aldrich (bad pass; steal by C. Zeller),,32-28,,
2:59.0,,,32-28,,C. Zeller misses 2-pt shot from 19 ft
2:58.0,Defensive rebound by T. Hardaway,,32-28,,
2:53.0,Turnover by T. Hardaway (palming),,32-28,,
2:53.0,New York full timeout,,32-28,,
2:53.0,A. Stoudemire enters the game for C. Aldrich,,32-28,,
2:39.0,,,32-30,2,G. Henderson makes 2-pt shot from 18 ft (assist by B. Roberts)
2:13.0,A. Stoudemire misses 2-pt shot from 6 ft (block by C. Zeller),,32-30,,
2:09.0,Offensive rebound by J. Smith,,32-30,,
2:05.0,J. Smith makes 2-pt shot at rim,2,34-30,,
1:52.0,,,34-30,,Shooting foul by L. Galloway (drawn by B. Roberts)
1:52.0,,,34-31,1,B. Roberts makes free throw 1 of 2
1:52.0,,,34-31,,A. Jefferson enters the game for C. Zeller
1:52.0,S. Larkin enters the game for L. Galloway,,34-31,,
1:52.0,,,34-32,1,B. Roberts makes free throw 2 of 2
1:37.0,A. Stoudemire misses 2-pt shot from 4 ft (block by A. Jefferson),,34-32,,
1:35.0,,,34-32,,Defensive rebound by G. Henderson
1:29.0,,,34-32,,G. Henderson misses 2-pt shot from 2 ft
1:29.0,Defensive rebound by A. Stoudemire,,34-32,,
1:29.0,,,34-32,,Personal foul by G. Henderson (drawn by A. Stoudemire)
1:29.0,A. Stoudemire misses free throw 1 of 2,,34-32,,
1:29.0,Offensive rebound by Team,,34-32,,
1:29.0,,,34-32,,M. Kidd-Gilchrist enters the game for G. Henderson
1:29.0,A. Stoudemire makes free throw 2 of 2,1,35-32,,
1:15.0,,,35-32,,P. Hairston misses 2-pt shot from 1 ft (block by J. Smith)
1:13.0,Defensive rebound by L. Thomas,,35-32,,
1:05.0,A. Stoudemire misses 2-pt shot from 3 ft (block by A. Jefferson),,35-32,,
1:03.0,,,35-32,,Defensive rebound by B. Roberts
0:54.0,,,35-34,2,A. Jefferson makes 2-pt shot from 1 ft (assist by B. Roberts)
0:40.0,L. Thomas makes 2-pt shot from 1 ft (assist by T. Hardaway),2,37-34,,
0:27.0,,,37-34,,B. Roberts misses 2-pt shot from 20 ft
0:26.0,Defensive rebound by J. Smith,,37-34,,
0:23.0,Offensive foul by J. Smith,,37-34,,
0:23.0,Turnover by J. Smith (offensive foul),,37-34,,
0:23.0,,,37-34,,Charlotte full timeout
0:23.0,C. Aldrich enters the game for J. Smith,,37-34,,
0:23.0,,,37-34,,C. Zeller enters the game for M. Kidd-Gilchrist
0:23.0,,,37-34,,G. Neal enters the game for M. Williams
0:01.0,,,37-34,,Shooting foul by S. Larkin (drawn by B. Roberts)
0:01.0,,,37-35,1,B. Roberts makes free throw 1 of 2
0:01.0,,,37-36,1,B. Roberts makes free throw 2 of 2
0:00.0,End of 2nd quarter,,,,End of 2nd quarter
12:00.0,Start of 3rd quarter,,,,Start of 3rd quarter
11:40.0,,,37-36,,M. Kidd-Gilchrist misses 2-pt shot from 18 ft
11:38.0,,,37-36,,Offensive rebound by A. Jefferson
11:29.0,,,37-36,,A. Jefferson misses 2-pt shot from 1 ft
11:28.0,Defensive rebound by L. Galloway,,37-36,,
11:12.0,L. Galloway makes 2-pt shot from 18 ft (assist by L. Amundson),2,39-36,,
10:57.0,,,39-36,,C. Zeller misses 2-pt shot from 18 ft
10:56.0,Defensive rebound by L. Thomas,,39-36,,
10:43.0,J. Smith misses 2-pt shot from 10 ft,,39-36,,
10:40.0,Offensive rebound by L. Amundson,,39-36,,
10:37.0,T. Hardaway makes 2-pt shot from 16 ft (assist by L. Amundson),2,41-36,,
10:25.0,Personal foul by L. Thomas (drawn by G. Henderson),,41-36,,
10:16.0,,,41-36,,A. Jefferson misses 2-pt shot from 1 ft
10:15.0,Defensive rebound by L. Thomas,,41-36,,
10:05.0,Turnover by L. Galloway (bad pass; steal by M. Kidd-Gilchrist),,41-36,,
9:59.0,,,41-38,2,G. Henderson makes 2-pt shot at rim
9:37.0,Shooting foul by A. Jefferson (drawn by J. Smith),,41-38,,
9:37.0,J. Smith misses free throw 1 of 2,,41-38,,
9:37.0,Offensive rebound by Team,,41-38,,
9:37.0,J. Smith makes free throw 2 of 2,1,42-38,,
9:22.0,,,42-38,,Shooting foul by T. Hardaway (drawn by M. Kidd-Gilchrist)
9:22.0,,,42-38,,M. Kidd-Gilchrist misses free throw 1 of 2
9:22.0,,,42-38,,Offensive rebound by Team
9:22.0,,,42-39,1,M. Kidd-Gilchrist makes free throw 2 of 2
9:04.0,T. Hardaway misses 2-pt shot from 15 ft (block by A. Jefferson),,42-39,,
9:04.0,Offensive rebound by T. Hardaway,,42-39,,
9:03.0,T. Hardaway misses 2-pt shot from 15 ft,,42-39,,
9:02.0,,,42-39,,Defensive rebound by M. Kidd-Gilchrist
8:48.0,,,42-39,,A. Jefferson misses 2-pt shot from 5 ft
8:47.0,Defensive rebound by L. Amundson,,42-39,,
8:32.0,T. Hardaway makes 3-pt shot from 25 ft (assist by J. Smith),3,45-39,,
8:17.0,,,45-39,,Shooting foul by L. Galloway (drawn by B. Roberts)
8:17.0,,,45-40,1,B. Roberts makes free throw 1 of 2
8:17.0,,,45-41,1,B. Roberts makes free throw 2 of 2
7:57.0,J. Smith makes 2-pt shot from 1 ft,2,47-41,,
7:41.0,,,47-43,2,B. Roberts makes 2-pt shot from 16 ft (assist by C. Zeller)
7:26.0,,,47-43,,Personal foul by C. Zeller (drawn by J. Smith)
7:19.0,Offensive foul by L. Thomas,,47-43,,
7:19.0,Turnover by L. Thomas (offensive foul),,47-43,,
7:05.0,,,47-45,2,G. Henderson makes 2-pt shot from 14 ft
6:52.0,L. Amundson misses 2-pt shot from 7 ft (block by A. Jefferson),,47-45,,
6:50.0,,,47-45,,Defensive rebound by C. Zeller
6:35.0,,,47-47,2,A. Jefferson makes 2-pt shot from 2 ft
6:19.0,L. Thomas makes 2-pt shot from 4 ft (assist by T. Hardaway),2,49-47,,
6:08.0,,,49-47,,Turnover by B. Roberts (bad pass; steal by L. Thomas)
6:01.0,L. Thomas misses 2-pt shot at rim,,49-47,,
6:00.0,Offensive rebound by L. Galloway,,49-47,,
6:00.0,L. Galloway makes 2-pt shot from 1 ft,2,51-47,,
5:43.0,,,51-47,,A. Jefferson misses 2-pt shot from 10 ft
5:42.0,Defensive rebound by T. Hardaway,,51-47,,
5:35.0,,,51-47,,Charlotte full timeout
5:35.0,,,51-47,,L. Stephenson enters the game for C. Zeller
5:35.0,,,51-47,,J. Maxiell enters the game for G. Henderson
5:32.0,Jump ball: T. Hardaway vs. M. Kidd-Gilchrist (L. Thomas gains possession),,,,Jump ball: T. Hardaway vs. M. Kidd-Gilchrist (L. Thomas gains possession)
5:27.0,T. Hardaway makes 3-pt shot from 25 ft (assist by L. Thomas),3,54-47,,
5:06.0,,,54-49,2,B. Roberts makes 2-pt shot from 18 ft
4:45.0,J. Smith misses 2-pt shot from 12 ft,,54-49,,
4:44.0,,,54-49,,Defensive rebound by B. Roberts
4:38.0,,,54-49,,Turnover by L. Stephenson (bad pass; steal by L. Amundson)
4:29.0,T. Hardaway misses 2-pt shot at rim,,54-49,,
4:29.0,Offensive rebound by L. Amundson,,54-49,,
4:29.0,L. Amundson misses 2-pt shot at rim,,54-49,,
4:29.0,,,54-49,,Defensive rebound by M. Kidd-Gilchrist
4:29.0,Personal foul by L. Amundson (drawn by M. Kidd-Gilchrist),,54-49,,
4:29.0,C. Aldrich enters the game for L. Amundson,,54-49,,
4:11.0,,,54-51,2,M. Kidd-Gilchrist makes 2-pt shot from 2 ft
4:11.0,Shooting block foul by T. Hardaway (drawn by M. Kidd-Gilchrist),,54-51,,
4:11.0,P. Prigioni enters the game for T. Hardaway,,54-51,,
4:11.0,,,54-52,1,M. Kidd-Gilchrist makes free throw 1 of 1
3:59.0,L. Galloway misses 3-pt shot from 26 ft,,54-52,,
3:57.0,,,54-52,,Defensive rebound by L. Stephenson
3:52.0,Personal foul by J. Smith (drawn by J. Maxiell),,54-52,,
3:52.0,,,54-52,,J. Maxiell misses free throw 1 of 2
3:52.0,,,54-52,,Offensive rebound by Team
3:52.0,S. Larkin enters the game for L. Galloway,,54-52,,
3:52.0,A. Stoudemire enters the game for J. Smith,,54-52,,
3:52.0,,,54-53,1,J. Maxiell makes free throw 2 of 2
3:36.0,,,54-53,,Personal foul by A. Jefferson (drawn by L. Thomas)
3:21.0,S. Larkin misses 2-pt shot from 1 ft (block by B. Roberts),,54-53,,
3:21.0,Offensive rebound by C. Aldrich,,54-53,,
3:21.0,Turnover by Team (shot clock),,54-53,,
3:09.0,,,54-55,2,J. Maxiell makes 2-pt shot from 12 ft (assist by L. Stephenson)
2:55.0,L. Thomas misses 2-pt shot from 11 ft,,54-55,,
2:54.0,,,54-55,,Defensive rebound by A. Jefferson
2:48.0,,,54-55,,M. Kidd-Gilchrist misses 2-pt shot from 1 ft
2:45.0,Defensive rebound by C. Aldrich,,54-55,,
2:22.0,Turnover by L. Thomas (bad pass; steal by M. Kidd-Gilchrist),,54-55,,
2:20.0,,,54-55,,L. Stephenson misses 2-pt shot from 2 ft (block by S. Larkin)
2:20.0,,,54-55,,Offensive rebound by Team
2:20.0,New York full timeout,,54-55,,
2:20.0,,,54-55,,G. Neal enters the game for B. Roberts
2:06.0,,,54-55,,M. Kidd-Gilchrist misses 2-pt shot from 19 ft
2:05.0,Defensive rebound by Team,,54-55,,
2:05.0,,,54-55,,Loose ball foul by J. Maxiell (drawn by C. Aldrich)
2:05.0,T. Wear enters the game for L. Thomas,,54-55,,
2:05.0,,,54-55,,C. Zeller enters the game for M. Kidd-Gilchrist
2:05.0,,,54-55,,P. Hairston enters the game for A. Jefferson
1:46.0,S. Larkin misses 2-pt shot from 1 ft,,54-55,,
1:45.0,,,54-55,,Defensive rebound by C. Zeller
1:30.0,,,54-55,,G. Neal misses 2-pt shot from 12 ft
1:29.0,Defensive rebound by C. Aldrich,,54-55,,
1:14.0,A. Stoudemire misses 2-pt shot from 2 ft (block by J. Maxiell),,54-55,,
1:14.0,Offensive rebound by Team,,54-55,,
1:08.0,T. Wear misses 2-pt shot from 16 ft,,54-55,,
1:05.0,,,54-55,,Defensive rebound by G. Neal
0:43.0,,,54-55,,G. Neal misses 2-pt shot from 17 ft
0:41.0,,,54-55,,Offensive rebound by C. Zeller
0:34.0,,,54-57,2,L. Stephenson makes 2-pt shot from 2 ft
0:34.0,,,54-57,,Shooting foul by A. Stoudemire (drawn by L. Stephenson)
0:34.0,,,54-57,,L. Stephenson misses free throw 1 of 1
0:33.0,Defensive rebound by C. Aldrich,,54-57,,
0:11.0,C. Aldrich misses 2-pt shot from 1 ft,,54-57,,
0:10.0,Offensive rebound by Team,,54-57,,
0:10.0,Turnover by Team (shot clock),,54-57,,
0:02.0,,,54-57,,Offensive foul by L. Stephenson
0:02.0,,,54-57,,Turnover by L. Stephenson (offensive foul)
0:00.0,P. Prigioni misses 3-pt shot from 60 ft,,54-57,,
0:00.0,Offensive rebound by Team,,54-57,,
0:00.0,End of 3rd quarter,,,,End of 3rd quarter
12:00.0,Start of 4th quarter,,,,Start of 4th quarter
11:40.0,,,54-57,,M. Kidd-Gilchrist enters the game for C. Zeller
11:34.0,L. Thomas makes 2-pt shot from 2 ft (assist by T. Wear),2,56-57,,
11:19.0,,,56-57,,J. Maxiell misses 2-pt shot from 1 ft
11:17.0,Defensive rebound by A. Stoudemire,,56-57,,
11:01.0,Shooting foul by J. Maxiell (drawn by L. Thomas),,56-57,,
11:01.0,L. Thomas misses free throw 1 of 2,,56-57,,
11:01.0,Offensive rebound by Team,,56-57,,
11:01.0,L. Thomas misses free throw 2 of 2,,56-57,,
11:00.0,,,56-57,,Defensive rebound by P. Hairston
10:36.0,,,56-57,,L. Stephenson misses 2-pt shot from 15 ft
10:35.0,Defensive rebound by L. Thomas,,56-57,,
10:20.0,T. Wear misses 2-pt shot from 16 ft,,56-57,,
10:16.0,,,56-57,,Defensive rebound by L. Stephenson
10:12.0,,,56-57,,L. Stephenson misses 2-pt shot from 2 ft
10:12.0,,,56-57,,Offensive rebound by J. Maxiell
10:12.0,,,56-57,,Shooting foul by T. Wear (drawn by J. Maxiell)
10:12.0,,,56-58,1,J. Maxiell makes free throw 1 of 2
10:12.0,,,56-58,,J. Maxiell misses free throw 2 of 2
10:07.0,Defensive rebound by A. Stoudemire,,56-58,,
9:51.0,Turnover by S. Larkin (traveling),,56-58,,
9:31.0,,,56-61,3,P. Hairston makes 3-pt shot from 29 ft (assist by L. Stephenson)
9:16.0,Turnover by L. Thomas (bad pass; steal by L. Stephenson),,56-61,,
9:09.0,,,56-63,2,M. Kidd-Gilchrist makes 2-pt shot at rim (assist by L. Stephenson)
9:07.0,New York full timeout,,56-63,,
9:07.0,J. Smith enters the game for S. Larkin,,56-63,,
9:07.0,T. Hardaway enters the game for A. Stoudemire,,56-63,,
9:07.0,L. Amundson enters the game for T. Wear,,56-63,,
8:51.0,T. Hardaway makes 2-pt shot from 16 ft,2,58-63,,
8:37.0,,,58-63,,G. Neal misses 3-pt shot from 26 ft
8:35.0,Defensive rebound by T. Hardaway,,58-63,,
8:16.0,L. Galloway misses 2-pt shot from 20 ft,,58-63,,
8:16.0,Offensive rebound by L. Amundson,,58-63,,
8:16.0,Shooting foul by J. Maxiell (drawn by L. Amundson),,58-63,,
8:16.0,L. Amundson misses free throw 1 of 2,,58-63,,
8:16.0,Offensive rebound by Team,,58-63,,
8:16.0,,,58-63,,C. Zeller enters the game for M. Kidd-Gilchrist
8:16.0,,,58-63,,B. Roberts enters the game for G. Neal
8:16.0,L. Amundson misses free throw 2 of 2,,58-63,,
8:13.0,,,58-63,,Defensive rebound by C. Zeller
7:58.0,,,58-65,2,P. Hairston makes 2-pt shot from 1 ft (assist by L. Stephenson)
7:46.0,Offensive foul by L. Amundson,,58-65,,
7:46.0,Turnover by L. Amundson (offensive foul),,58-65,,
7:35.0,,,58-65,,Offensive foul by J. Maxiell
7:35.0,,,58-65,,Turnover by J. Maxiell (offensive foul)
7:17.0,L. Galloway makes 3-pt shot from 25 ft,3,61-65,,
7:01.0,,,61-65,,L. Stephenson misses 2-pt shot from 16 ft
7:01.0,,,61-65,,Offensive rebound by J. Maxiell
6:58.0,,,61-65,,J. Maxiell misses 2-pt shot at rim
6:55.0,,,61-65,,Offensive rebound by C. Zeller
