time,Phoenix,pts.away,score,pts.home,Portland
6:52.0,G. Dragic misses 2-pt shot at rim (block by D. Lillard),,5-4,,
6:50.0,,,5-4,,Defensive rebound by L. Aldridge
6:33.0,,,5-4,,Shooting foul by A. Len (drawn by L. Aldridge)
6:33.0,,,5-5,1,L. Aldridge makes free throw 1 of 2
6:33.0,B. Wright enters the game for A. Len,,5-5,,
6:33.0,,,5-6,1,L. Aldridge makes free throw 2 of 2
6:15.0,Turnover by E. Bledsoe (step out of bounds),,5-6,,
6:15.0,,,5-6,,Portland full timeout
6:03.0,,,5-6,,N. Batum misses 2-pt shot from 18 ft
6:02.0,,,5-6,,Offensive rebound by R. Lopez
5:53.0,,,5-8,2,L. Aldridge makes 2-pt shot from 9 ft
5:32.0,P. Tucker misses 2-pt shot from 4 ft,,5-8,,
5:31.0,,,5-8,,Defensive rebound by D. Lillard
5:22.0,,,5-8,,N. Batum misses 2-pt shot from 18 ft
5:21.0,Defensive rebound by B. Wright,,5-8,,
5:10.0,M. Morris makes 2-pt shot from 15 ft,2,7-8,,
4:52.0,,,7-10,2,W. Matthews makes 2-pt shot from 3 ft (assist by N. Batum)
4:36.0,Turnover by M. Morris (lost ball; steal by N. Batum),,7-10,,
4:32.0,,,7-12,2,N. Batum makes 2-pt shot at rim
4:25.0,G. Dragic misses 2-pt shot from 14 ft,,7-12,,
4:24.0,,,7-12,,Defensive rebound by R. Lopez
4:20.0,,,7-12,,Shooting foul by G. Dragic (drawn by N. Batum)
4:20.0,,,7-13,1,N. Batum makes free throw 1 of 2
4:20.0,,,7-13,,M. Leonard enters the game for R. Lopez
4:20.0,I. Thomas enters the game for G. Dragic,,7-13,,
4:20.0,,,7-13,,S. Blake enters the game for W. Matthews
4:20.0,,,7-14,1,N. Batum makes free throw 2 of 2
4:09.0,E. Bledsoe makes 2-pt shot from 16 ft,2,9-14,,
4:09.0,Shooting foul by S. Blake (drawn by E. Bledsoe),,9-14,,
4:09.0,E. Bledsoe misses free throw 1 of 1,,9-14,,
4:07.0,,,9-14,,Defensive rebound by N. Batum
4:01.0,,,9-16,2,D. Lillard makes 2-pt shot at rim (assist by N. Batum)
3:54.0,Turnover by E. Bledsoe (lost ball),,9-16,,
3:38.0,,,9-16,,L. Aldridge misses 2-pt shot from 9 ft
3:37.0,Defensive rebound by E. Bledsoe,,9-16,,
3:26.0,I. Thomas misses 2-pt shot from 13 ft,,9-16,,
3:25.0,,,9-16,,Defensive rebound by S. Blake
3:15.0,,,9-18,2,L. Aldridge makes 2-pt shot from 1 ft (assist by N. Batum)
3:09.0,Phoenix full timeout,,9-18,,
3:09.0,G. Green enters the game for P. Tucker,,9-18,,
3:03.0,Turnover by I. Thomas (lost ball),,9-18,,
2:48.0,,,9-20,2,D. Lillard makes 2-pt shot from 1 ft (assist by L. Aldridge)
2:47.0,,,9-20,,Violation by Team (delay of game)
2:33.0,M. Morris makes 2-pt shot from 1 ft,2,11-20,,
2:14.0,,,11-20,,N. Batum misses 3-pt shot from 25 ft
2:14.0,Defensive rebound by I. Thomas,,11-20,,
2:11.0,G. Green makes 2-pt shot at rim (assist by I. Thomas),2,13-20,,
1:48.0,,,13-20,,L. Aldridge misses 2-pt shot from 18 ft
1:47.0,Defensive rebound by B. Wright,,13-20,,
1:41.0,G. Green misses 3-pt shot from 24 ft,,13-20,,
1:39.0,Offensive rebound by M. Morris,,13-20,,
1:39.0,M. Morris misses 2-pt shot at rim,,13-20,,
1:38.0,,,13-20,,Defensive rebound by L. Aldridge
1:33.0,,,13-22,2,M. Leonard makes 2-pt shot at rim (assist by S. Blake)
1:23.0,Turnover by I. Thomas (dbl dribble),,13-22,,
1:23.0,M. Morris enters the game for M. Morris,,13-22,,
1:23.0,,,13-22,,C. McCollum enters the game for D. Lillard
1:23.0,,,13-22,,W. Matthews enters the game for N. Batum
1:10.0,,,13-25,3,W. Matthews makes 3-pt shot from 24 ft (assist by C. McCollum)
0:58.0,G. Green makes 2-pt shot from 8 ft,2,15-25,,
0:44.0,,,15-25,,S. Blake misses 2-pt shot from 13 ft
0:43.0,Defensive rebound by E. Bledsoe,,15-25,,
0:31.0,E. Bledsoe misses 2-pt shot from 20 ft,,15-25,,
0:30.0,,,15-25,,Defensive rebound by C. McCollum
0:18.0,Personal foul by B. Wright (drawn by L. Aldridge),,15-25,,
0:07.0,,,15-25,,C. McCollum misses 3-pt shot from 26 ft
0:06.0,,,15-25,,Offensive rebound by Team
0:06.0,Loose ball foul by B. Wright (drawn by M. Leonard),,15-25,,
0:06.0,,,15-26,1,M. Leonard makes free throw 1 of 2
0:06.0,G. Dragic enters the game for E. Bledsoe,,15-26,,
0:06.0,,,15-27,1,M. Leonard makes free throw 2 of 2
0:00.0,I. Thomas misses 3-pt shot from 24 ft,,15-27,,
0:00.0,,,15-27,,Defensive rebound by W. Matthews
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:41.0,,,15-30,3,C. McCollum makes 3-pt shot from 24 ft (assist by W. Matthews)
11:20.0,G. Dragic misses 3-pt shot from 24 ft,,15-30,,
11:20.0,,,15-30,,Defensive rebound by R. Lopez
11:13.0,,,15-30,,W. Matthews misses 3-pt shot from 25 ft
11:12.0,Defensive rebound by G. Dragic,,15-30,,
10:58.0,M. Morris misses 2-pt shot from 8 ft,,15-30,,
10:57.0,Offensive rebound by G. Dragic,,15-30,,
10:47.0,G. Green misses 3-pt shot from 23 ft,,15-30,,
10:47.0,,,15-30,,Defensive rebound by W. Matthews
10:41.0,,,15-30,,Offensive foul by R. Lopez
10:41.0,,,15-30,,Turnover by R. Lopez (offensive foul)
10:24.0,I. Thomas misses 2-pt shot from 17 ft,,15-30,,
10:23.0,,,15-30,,Defensive rebound by W. Matthews
10:13.0,,,15-32,2,R. Lopez makes 2-pt shot from 7 ft (assist by S. Blake)
10:00.0,M. Morris misses 3-pt shot from 24 ft,,15-32,,
9:59.0,,,15-32,,Defensive rebound by C. McCollum
9:56.0,Personal foul by M. Morris (drawn by M. Leonard),,15-32,,
9:41.0,,,15-34,2,C. McCollum makes 2-pt shot from 2 ft
9:30.0,I. Thomas misses 2-pt shot from 2 ft,,15-34,,
9:29.0,,,15-34,,Defensive rebound by R. Lopez
9:11.0,,,15-34,,W. Matthews misses 2-pt shot from 10 ft
9:10.0,,,15-34,,Offensive rebound by M. Leonard
9:08.0,,,15-34,,Turnover by M. Leonard (lost ball; steal by I. Thomas)
9:03.0,B. Wright makes 2-pt shot at rim (assist by I. Thomas),2,17-34,,
8:44.0,,,17-34,,W. Matthews misses 3-pt shot from 22 ft
8:42.0,,,17-34,,Offensive rebound by R. Lopez
8:42.0,,,17-34,,R. Lopez misses 2-pt shot at rim
8:41.0,Defensive rebound by G. Green,,17-34,,
8:36.0,M. Morris makes 2-pt shot from 1 ft (assist by G. Green),2,19-34,,
8:35.0,,,19-34,,Portland full timeout
8:35.0,M. Plumlee enters the game for B. Wright,,19-34,,
8:17.0,,,19-36,2,C. McCollum makes 2-pt shot from 2 ft
8:05.0,G. Green misses 2-pt shot from 1 ft,,19-36,,
8:02.0,Offensive rebound by M. Plumlee,,19-36,,
7:59.0,G. Green misses 3-pt shot from 23 ft,,19-36,,
7:57.0,,,19-36,,Defensive rebound by W. Matthews
7:44.0,,,19-36,,C. McCollum misses 3-pt shot from 23 ft
7:43.0,Defensive rebound by I. Thomas,,19-36,,
7:31.0,G. Dragic makes 2-pt shot from 1 ft (assist by I. Thomas),2,21-36,,
7:22.0,,,21-36,,S. Blake misses 3-pt shot from 24 ft
7:21.0,Defensive rebound by M. Morris,,21-36,,
7:13.0,G. Green makes 3-pt shot from 24 ft (assist by M. Morris),3,24-36,,
7:05.0,,,24-36,,D. Lillard enters the game for W. Matthews
7:05.0,,,24-36,,N. Batum enters the game for S. Blake
7:05.0,E. Bledsoe enters the game for I. Thomas,,24-36,,
7:05.0,M. Morris enters the game for M. Morris,,24-36,,
6:51.0,,,24-36,,D. Lillard misses 2-pt shot from 19 ft
6:50.0,Defensive rebound by M. Plumlee,,24-36,,
6:44.0,M. Morris misses 2-pt shot at rim,,24-36,,
6:42.0,,,24-36,,Defensive rebound by C. McCollum
6:40.0,,,24-36,,Turnover by D. Lillard (lost ball)
6:32.0,G. Green misses 3-pt shot from 24 ft,,24-36,,
6:30.0,Offensive rebound by M. Morris,,24-36,,
6:27.0,G. Green misses 2-pt shot from 3 ft (block by R. Lopez),,24-36,,
6:26.0,,,24-36,,Defensive rebound by M. Leonard
6:16.0,,,24-36,,M. Leonard misses 2-pt shot from 6 ft
6:16.0,Defensive rebound by G. Green,,24-36,,
6:01.0,M. Morris misses 2-pt shot from 6 ft,,24-36,,
5:59.0,,,24-36,,Defensive rebound by D. Lillard
5:57.0,,,24-38,2,C. McCollum makes 2-pt shot from 1 ft (assist by D. Lillard)
5:57.0,,,24-38,,Shooting foul by G. Green (drawn by C. McCollum)
5:57.0,Official timeout,,24-38,,
5:57.0,,,24-38,,L. Aldridge enters the game for M. Leonard
5:57.0,,,24-39,1,C. McCollum makes free throw 1 of 1
5:50.0,Shooting foul by R. Lopez (drawn by E. Bledsoe),,24-39,,
5:50.0,E. Bledsoe makes free throw 1 of 2,1,25-39,,
5:50.0,P. Tucker enters the game for G. Green,,25-39,,
5:50.0,E. Bledsoe makes free throw 2 of 2,1,26-39,,
5:28.0,,,26-39,,D. Lillard misses 3-pt shot from 26 ft
5:27.0,Defensive rebound by E. Bledsoe,,26-39,,
5:24.0,Turnover by E. Bledsoe (lost ball),,26-39,,
5:07.0,,,26-39,,L. Aldridge misses 2-pt shot from 6 ft
5:06.0,Defensive rebound by M. Morris,,26-39,,
4:57.0,M. Morris misses 2-pt shot from 4 ft (block by L. Aldridge),,26-39,,
4:55.0,,,26-39,,Defensive rebound by L. Aldridge
4:51.0,,,26-41,2,N. Batum makes 2-pt shot from 1 ft (assist by D. Lillard)
4:24.0,P. Tucker makes 3-pt shot from 22 ft,3,29-41,,
3:57.0,,,29-41,,C. McCollum misses 3-pt shot from 24 ft
3:56.0,Defensive rebound by M. Plumlee,,29-41,,
3:43.0,M. Plumlee misses 2-pt shot from 8 ft,,29-41,,
3:42.0,,,29-41,,Defensive rebound by C. McCollum
3:32.0,,,29-41,,Turnover by C. McCollum (lost ball; steal by M. Plumlee)
3:29.0,M. Morris makes 2-pt shot at rim (assist by G. Dragic),2,31-41,,
3:04.0,,,31-43,2,L. Aldridge makes 2-pt shot from 10 ft
2:43.0,E. Bledsoe misses 2-pt shot from 18 ft,,31-43,,
2:42.0,,,31-43,,Defensive rebound by L. Aldridge
2:28.0,Phoenix full timeout,,31-43,,
2:28.0,,,31-43,,W. Matthews enters the game for C. McCollum
2:28.0,,,31-43,,M. Leonard enters the game for R. Lopez
2:23.0,,,31-43,,Turnover by L. Aldridge (bad pass; steal by P. Tucker)
2:16.0,E. Bledsoe makes 2-pt shot from 2 ft (assist by G. Dragic),2,33-43,,
1:59.0,,,33-43,,N. Batum misses 3-pt shot from 22 ft
1:58.0,,,33-43,,Offensive rebound by M. Leonard
1:55.0,,,33-43,,Turnover by M. Leonard (back court)
1:39.0,M. Plumlee misses 2-pt shot at rim,,33-43,,
1:38.0,,,33-43,,Defensive rebound by L. Aldridge
1:29.0,,,33-43,,Shooting foul by M. Plumlee (drawn by D. Lillard)
1:29.0,,,33-43,,D. Lillard misses free throw 1 of 2
1:29.0,,,33-43,,Offensive rebound by Team
1:29.0,I. Thomas enters the game for M. Plumlee,,33-43,,
1:29.0,,,33-44,1,D. Lillard makes free throw 2 of 2
1:17.0,Turnover by G. Dragic (bad pass; steal by D. Lillard),,33-44,,
1:06.0,Personal foul by P. Tucker (drawn by L. Aldridge),,33-44,,
1:06.0,,,33-45,1,L. Aldridge makes free throw 1 of 2
1:06.0,,,33-46,1,L. Aldridge makes free throw 2 of 2
1:06.0,Phoenix full timeout,,33-46,,
0:51.0,I. Thomas makes 2-pt shot from 2 ft (assist by P. Tucker),2,35-46,,
0:51.0,Violation by Team (delay of game),,35-46,,
0:33.0,,,35-46,,N. Batum misses 3-pt shot from 23 ft
0:32.0,Defensive rebound by Team,,35-46,,
0:09.0,P. Tucker misses 2-pt shot from 1 ft,,35-46,,
0:08.0,,,35-46,,Defensive rebound by W. Matthews
0:00.0,,,35-46,,D. Lillard misses 2-pt shot from 17 ft
0:00.0,,,35-46,,Offensive rebound by Team
0:00.0,End of 2nd quarter,,,,End of 2nd quarter
12:00.0,Start of 3rd quarter,,,,Start of 3rd quarter
11:50.0,,,35-46,,Shooting foul by P. Tucker (drawn by N. Batum)
11:50.0,,,35-47,1,N. Batum makes free throw 1 of 2
11:50.0,,,35-48,1,N. Batum makes free throw 2 of 2
11:34.0,,,35-48,,Personal foul by W. Matthews (drawn by M. Morris)
11:28.0,G. Dragic misses 2-pt shot from 5 ft,,35-48,,
11:27.0,,,35-48,,Defensive rebound by L. Aldridge
11:09.0,,,35-48,,L. Aldridge misses 3-pt shot from 23 ft
11:08.0,Defensive rebound by A. Len,,35-48,,
10:50.0,Shooting foul by L. Aldridge (drawn by E. Bledsoe),,35-48,,
10:50.0,E. Bledsoe makes free throw 1 of 2,1,36-48,,
10:50.0,E. Bledsoe makes free throw 2 of 2,1,37-48,,
10:30.0,,,37-48,,D. Lillard misses 2-pt shot from 20 ft
10:29.0,,,37-48,,Offensive rebound by R. Lopez
10:28.0,,,37-48,,R. Lopez misses 2-pt shot from 1 ft
10:27.0,Defensive rebound by A. Len,,37-48,,
10:19.0,Turnover by A. Len (bad pass; steal by D. Lillard),,37-48,,
10:15.0,,,37-50,2,D. Lillard makes 2-pt shot at rim
10:04.0,A. Len misses 2-pt shot from 1 ft,,37-50,,
10:03.0,Offensive rebound by A. Len,,37-50,,
10:02.0,Turnover by A. Len (lost ball; steal by L. Aldridge),,37-50,,
9:42.0,,,37-50,,L. Aldridge misses 2-pt shot from 7 ft
9:40.0,Defensive rebound by Team,,37-50,,
9:22.0,P. Tucker makes 3-pt shot from 22 ft (assist by M. Morris),3,40-50,,
9:07.0,,,40-50,,Turnover by W. Matthews (bad pass; steal by A. Len)
9:03.0,G. Dragic makes 2-pt shot from 1 ft (assist by A. Len),2,42-50,,
8:48.0,Personal foul by P. Tucker (drawn by L. Aldridge),,42-50,,
8:36.0,,,42-50,,Turnover by L. Aldridge (bad pass; steal by A. Len)
8:32.0,M. Morris makes 2-pt shot from 1 ft (assist by E. Bledsoe),2,44-50,,
8:10.0,,,44-52,2,D. Lillard makes 2-pt shot from 3 ft
8:05.0,A. Len makes 2-pt shot at rim (assist by E. Bledsoe),2,46-52,,
8:05.0,Shooting foul by R. Lopez (drawn by A. Len),,46-52,,
8:05.0,Phoenix full timeout,,46-52,,
8:05.0,A. Len makes free throw 1 of 1,1,47-52,,
8:04.0,Personal take foul by E. Bledsoe (drawn by D. Lillard),,47-52,,
8:04.0,M. Plumlee enters the game for A. Len,,47-52,,
7:52.0,,,47-54,2,W. Matthews makes 2-pt shot from 1 ft (assist by N. Batum)
7:37.0,M. Morris makes 2-pt shot from 17 ft,2,49-54,,
7:13.0,,,49-54,,D. Lillard misses 3-pt shot from 24 ft
7:12.0,Defensive rebound by P. Tucker,,49-54,,
6:50.0,E. Bledsoe misses 2-pt shot from 2 ft,,49-54,,
6:48.0,Offensive rebound by E. Bledsoe,,49-54,,
6:43.0,M. Morris makes 3-pt shot from 24 ft (assist by E. Bledsoe),3,52-54,,
6:26.0,Personal foul by E. Bledsoe (drawn by W. Matthews),,52-54,,
6:20.0,,,52-54,,D. Lillard misses 3-pt shot from 25 ft
6:19.0,Defensive rebound by P. Tucker,,52-54,,
6:15.0,Shooting foul by L. Aldridge (drawn by M. Plumlee),,52-54,,
6:15.0,M. Plumlee misses free throw 1 of 2,,52-54,,
6:15.0,Offensive rebound by Team,,52-54,,
6:15.0,M. Plumlee makes free throw 2 of 2,1,53-54,,
5:57.0,,,53-54,,L. Aldridge misses 2-pt shot from 2 ft (block by M. Plumlee)
5:57.0,Jump ball: L. Aldridge vs. M. Plumlee (D. Lillard gains possession),,,,Jump ball: L. Aldridge vs. M. Plumlee (D. Lillard gains possession)
5:57.0,,,53-54,,Offensive rebound by Team
5:50.0,,,53-54,,W. Matthews misses 3-pt shot from 24 ft
5:48.0,Defensive rebound by M. Morris,,53-54,,
5:27.0,P. Tucker misses 2-pt shot from 4 ft,,53-54,,
5:27.0,Offensive rebound by M. Plumlee,,53-54,,
5:25.0,M. Plumlee misses 2-pt shot from 1 ft (block by L. Aldridge),,53-54,,
5:23.0,,,53-54,,Defensive rebound by N. Batum
5:19.0,,,53-56,2,W. Matthews makes 2-pt shot from 3 ft (assist by N. Batum)
5:01.0,G. Dragic misses 2-pt shot from 13 ft,,53-56,,
5:00.0,,,53-56,,Defensive rebound by R. Lopez
4:47.0,,,53-56,,D. Lillard misses 3-pt shot from 25 ft
4:45.0,,,53-56,,Offensive rebound by R. Lopez
4:45.0,,,53-58,2,R. Lopez makes 2-pt shot at rim
4:21.0,E. Bledsoe makes 3-pt shot from 24 ft,3,56-58,,
3:57.0,,,56-60,2,L. Aldridge makes 2-pt shot from 11 ft
3:34.0,M. Morris misses 3-pt shot from 24 ft,,56-60,,
3:34.0,Offensive rebound by E. Bledsoe,,56-60,,
3:29.0,Shooting foul by L. Aldridge (drawn by M. Morris),,56-60,,
3:29.0,M. Morris makes free throw 1 of 2,1,57-60,,
3:29.0,,,57-60,,M. Leonard enters the game for R. Lopez
3:29.0,,,57-60,,S. Blake enters the game for W. Matthews
3:29.0,I. Thomas enters the game for G. Dragic,,57-60,,
3:29.0,M. Morris misses free throw 2 of 2,,57-60,,
3:28.0,,,57-60,,Defensive rebound by S. Blake
3:10.0,,,57-60,,Turnover by L. Aldridge (lost ball; steal by P. Tucker)
3:07.0,Shooting foul by M. Leonard (drawn by E. Bledsoe),,57-60,,
3:07.0,E. Bledsoe makes free throw 1 of 2,1,58-60,,
3:07.0,M. Morris enters the game for M. Morris,,58-60,,
3:07.0,,,58-60,,C. McCollum enters the game for D. Lillard
3:07.0,,,58-60,,Portland full timeout
3:07.0,E. Bledsoe makes free throw 2 of 2,1,59-60,,
2:56.0,,,59-60,,Turnover by N. Batum (bad pass; steal by M. Plumlee)
2:50.0,I. Thomas misses 2-pt shot from 8 ft,,59-60,,
2:48.0,,,59-60,,Defensive rebound by M. Leonard
2:33.0,,,59-60,,L. Aldridge misses 2-pt shot from 16 ft
2:32.0,Defensive rebound by M. Morris,,59-60,,
2:17.0,M. Plumlee misses 2-pt shot from 5 ft,,59-60,,
2:17.0,,,59-60,,Defensive rebound by M. Leonard
2:07.0,,,59-62,2,N. Batum makes 2-pt shot from 1 ft
1:50.0,I. Thomas makes 2-pt shot at rim,2,61-62,,
1:24.0,,,61-62,,Turnover by N. Batum (bad pass; steal by P. Tucker)
1:20.0,E. Bledsoe makes 2-pt shot from 1 ft (assist by I. Thomas),2,63-62,,
0:58.0,,,63-65,3,N. Batum makes 3-pt shot from 22 ft (assist by C. McCollum)
0:35.0,I. Thomas misses 3-pt shot from 24 ft,,63-65,,
0:34.0,,,63-65,,Defensive rebound by N. Batum
0:27.0,,,63-65,,M. Leonard misses 3-pt shot from 25 ft
0:26.0,,,63-65,,Offensive rebound by L. Aldridge
0:23.0,,,63-65,,Shooting foul by M. Morris (drawn by L. Aldridge)
0:23.0,,,63-65,,L. Aldridge misses free throw 1 of 2
0:23.0,,,63-65,,Offensive rebound by Team
0:23.0,G. Green enters the game for E. Bledsoe,,63-65,,
0:23.0,,,63-66,1,L. Aldridge makes free throw 2 of 2
0:02.0,M. Morris makes 2-pt shot from 12 ft,2,65-66,,
0:00.0,,,65-66,,S. Blake misses 3-pt shot from 48 ft
0:00.0,,,65-66,,Offensive rebound by Team
0:00.0,End of 3rd quarter,,,,End of 3rd quarter
12:00.0,Start of 4th quarter,,,,Start of 4th quarter
11:46.0,B. Wright misses 2-pt shot from 6 ft (block by R. Lopez),,65-66,,
11:44.0,,,65-66,,Defensive rebound by M. Leonard
11:32.0,,,65-66,,W. Matthews misses 2-pt shot from 6 ft
11:31.0,Defensive rebound by M. Morris,,65-66,,
11:28.0,Turnover by M. Morris (bad pass; steal by S. Blake),,65-66,,
11:18.0,,,65-69,3,S. Blake makes 3-pt shot from 24 ft (assist by W. Matthews)
10:55.0,M. Morris misses 2-pt shot from 18 ft,,65-69,,
10:54.0,,,65-69,,Defensive rebound by S. Blake
10:50.0,,,65-71,2,M. Leonard makes 2-pt shot at rim (assist by S. Blake)
10:37.0,I. Thomas misses 2-pt shot from 1 ft (block by R. Lopez),,65-71,,
10:36.0,,,65-71,,Defensive rebound by R. Lopez
10:26.0,,,65-71,,Shooting foul by M. Morris (drawn by R. Lopez)
10:26.0,,,65-72,1,R. Lopez makes free throw 1 of 2
10:26.0,,,65-72,,R. Lopez misses free throw 2 of 2
10:25.0,Defensive rebound by G. Green,,65-72,,
10:15.0,,,65-72,,Personal foul by C. McCollum (drawn by G. Green)
10:08.0,B. Wright misses 2-pt shot from 2 ft,,65-72,,
10:06.0,Offensive rebound by M. Morris,,65-72,,
10:06.0,M. Morris makes 2-pt shot at rim,2,67-72,,
9:55.0,,,67-75,3,W. Matthews makes 3-pt shot from 24 ft (assist by S. Blake)
9:39.0,M. Morris makes 2-pt shot from 18 ft,2,69-75,,
9:21.0,Personal foul by I. Thomas (drawn by S. Blake),,69-75,,
9:07.0,,,69-75,,W. Matthews misses 3-pt shot from 22 ft
9:06.0,Defensive rebound by B. Wright,,69-75,,
8:58.0,M. Morris misses 2-pt shot from 9 ft,,69-75,,
8:57.0,,,69-75,,Defensive rebound by M. Leonard
8:41.0,,,69-75,,W. Matthews misses 2-pt shot from 16 ft
8:41.0,Defensive rebound by G. Green,,69-75,,
8:34.0,G. Green misses 3-pt shot from 25 ft,,69-75,,
8:33.0,Offensive rebound by M. Morris,,69-75,,
8:29.0,G. Green makes 2-pt shot from 2 ft (assist by M. Morris),2,71-75,,
8:08.0,,,71-77,2,S. Blake makes 2-pt shot from 2 ft
7:54.0,,,71-77,,Shooting block foul by S. Blake (drawn by I. Thomas)
7:54.0,Official timeout,,71-77,,
7:54.0,,,71-77,,D. Lillard enters the game for W. Matthews
7:54.0,,,71-77,,N. Batum enters the game for C. McCollum
7:54.0,I. Thomas makes free throw 1 of 2,1,72-77,,
7:54.0,I. Thomas makes free throw 2 of 2,1,73-77,,
7:38.0,,,73-77,,R. Lopez misses 2-pt shot at rim
7:37.0,,,73-77,,Offensive rebound by R. Lopez
7:37.0,,,73-79,2,R. Lopez makes 2-pt shot at rim
7:20.0,M. Morris misses 3-pt shot from 22 ft,,73-79,,
7:19.0,,,73-79,,Defensive rebound by R. Lopez
7:04.0,,,73-81,2,R. Lopez makes 2-pt shot from 1 ft (assist by D. Lillard)
6:49.0,M. Morris misses 3-pt shot from 23 ft,,73-81,,
6:48.0,,,73-81,,Defensive rebound by M. Leonard
6:45.0,,,73-81,,Shooting foul by M. Morris (drawn by N. Batum)
6:45.0,,,73-82,1,N. Batum makes free throw 1 of 2
6:45.0,,,73-82,,L. Aldridge enters the game for R. Lopez
6:45.0,G. Dragic enters the game for I. Thomas,,73-82,,
6:45.0,P. Tucker enters the game for G. Green,,73-82,,
6:45.0,E. Bledsoe enters the game for M. Morris,,73-82,,
6:45.0,,,73-83,1,N. Batum makes free throw 2 of 2
6:27.0,M. Morris makes 2-pt shot from 10 ft,2,75-83,,
6:11.0,Violation by P. Tucker (kicked ball),,75-83,,
6:03.0,,,75-86,3,N. Batum makes 3-pt shot from 25 ft
5:41.0,Turnover by E. Bledsoe (lost ball; steal by S. Blake),,75-86,,
5:36.0,,,75-88,2,M. Leonard makes 2-pt shot from 2 ft (assist by N. Batum)
5:34.0,Phoenix full timeout,,75-88,,
5:34.0,I. Thomas enters the game for B. Wright,,75-88,,
5:10.0,M. Morris misses 2-pt shot from 7 ft,,75-88,,
5:09.0,,,75-88,,Defensive rebound by D. Lillard
5:00.0,,,75-88,,Turnover by D. Lillard (lost ball; steal by P. Tucker)
4:56.0,G. Dragic makes 2-pt shot at rim (assist by P. Tucker),2,77-88,,
4:32.0,Personal foul by I. Thomas (drawn by D. Lillard),,77-88,,
4:32.0,,,77-88,,W. Matthews enters the game for M. Leonard
4:29.0,,,77-90,2,D. Lillard makes 2-pt shot from 1 ft (assist by N. Batum)
4:20.0,Offensive charge foul by P. Tucker,,77-90,,
4:20.0,Turnover by P. Tucker (offensive foul),,77-90,,
4:08.0,,,77-92,2,D. Lillard makes 2-pt shot from 2 ft
3:55.0,P. Tucker misses 3-pt shot from 24 ft,,77-92,,
3:55.0,,,77-92,,Defensive rebound by L. Aldridge
3:39.0,,,77-92,,D. Lillard misses 2-pt shot from 1 ft
