time,Sacramento,pts.away,score,pts.home,New York
0:23.0,,,65-38,,C. Aldrich enters the game for J. Smith
0:23.0,,,65-39,1,L. Thomas makes free throw 1 of 1
0:03.0,B. McLemore misses 3-pt shot from 25 ft,,65-39,,
0:02.0,,,65-39,,Defensive rebound by L. Thomas
0:00.0,End of 2nd quarter,,,,End of 2nd quarter
12:00.0,Start of 3rd quarter,,,,Start of 3rd quarter
11:46.0,,,65-39,,Turnover by A. Bargnani (bad pass; steal by R. Gay)
11:40.0,R. McCallum makes 2-pt shot at rim (assist by R. Gay),2,67-39,,
11:15.0,,,67-39,,T. Hardaway misses 3-pt shot from 26 ft
11:14.0,Defensive rebound by J. Thompson,,67-39,,
11:06.0,R. Gay makes 3-pt shot from 23 ft (assist by B. McLemore),3,70-39,,
11:05.0,,,70-39,,New York full timeout
10:50.0,,,70-39,,A. Bargnani misses 2-pt shot from 17 ft
10:49.0,Defensive rebound by R. Gay,,70-39,,
10:36.0,R. McCallum misses 2-pt shot from 2 ft,,70-39,,
10:35.0,,,70-39,,Defensive rebound by L. Amundson
10:29.0,,,70-42,3,T. Hardaway makes 3-pt shot from 25 ft (assist by L. Galloway)
10:16.0,R. Gay makes 2-pt shot from 1 ft,2,72-42,,
10:02.0,,,72-44,2,L. Galloway makes 2-pt shot from 20 ft
9:46.0,Shooting foul by L. Amundson (drawn by D. Cousins),,72-44,,
9:46.0,D. Cousins makes free throw 1 of 2,1,73-44,,
9:46.0,D. Cousins makes free throw 2 of 2,1,74-44,,
9:32.0,Personal foul by J. Thompson (drawn by A. Bargnani),,74-44,,
9:20.0,,,74-44,,T. Hardaway misses 2-pt shot from 19 ft
9:19.0,Defensive rebound by R. Gay,,74-44,,
9:12.0,R. Gay misses 2-pt shot from 7 ft,,74-44,,
9:11.0,Offensive rebound by Team,,74-44,,
9:04.0,B. McLemore makes 3-pt shot from 25 ft (assist by R. Gay),3,77-44,,
8:53.0,,,77-44,,Offensive foul by L. Amundson
8:53.0,,,77-44,,Turnover by L. Amundson (offensive foul)
8:53.0,,,77-44,,C. Aldrich enters the game for L. Amundson
8:37.0,D. Cousins misses 2-pt shot from 10 ft,,77-44,,
8:36.0,,,77-44,,Defensive rebound by L. Galloway
8:28.0,,,77-44,,L. Galloway misses 2-pt shot from 3 ft
8:27.0,Defensive rebound by J. Thompson,,77-44,,
8:22.0,B. McLemore makes 2-pt shot at rim (assist by R. Gay),2,79-44,,
8:15.0,,,79-44,,Turnover by C. Early (lost ball)
8:08.0,Jump ball: A. Bargnani vs. D. Cousins (R. Gay gains possession),,,,Jump ball: A. Bargnani vs. D. Cousins (R. Gay gains possession)
8:01.0,R. Gay makes 2-pt shot from 19 ft,2,81-44,,
7:51.0,,,81-44,,Shooting foul by D. Cousins (drawn by T. Hardaway)
7:51.0,,,81-44,,T. Hardaway misses free throw 1 of 2
7:51.0,,,81-44,,Offensive rebound by Team
7:51.0,,,81-44,,L. Thomas enters the game for C. Early
7:51.0,,,81-44,,S. Larkin enters the game for L. Galloway
7:51.0,,,81-45,1,T. Hardaway makes free throw 2 of 2
7:38.0,Shooting foul by C. Aldrich (drawn by D. Cousins),,81-45,,
7:38.0,D. Cousins makes free throw 1 of 2,1,82-45,,
7:38.0,D. Cousins makes free throw 2 of 2,1,83-45,,
7:23.0,,,83-48,3,T. Hardaway makes 3-pt shot from 27 ft (assist by S. Larkin)
7:08.0,J. Thompson makes 2-pt shot at rim (assist by B. McLemore),2,85-48,,
6:54.0,,,85-48,,L. Thomas misses 2-pt shot from 12 ft
6:53.0,Defensive rebound by D. Cousins,,85-48,,
6:45.0,D. Cousins makes 2-pt shot from 1 ft,2,87-48,,
6:33.0,,,87-48,,Turnover by T. Hardaway (bad pass; steal by D. Cousins)
6:28.0,D. Cousins makes 2-pt shot from 1 ft,2,89-48,,
6:11.0,,,89-48,,T. Hardaway misses 2-pt shot from 22 ft
6:10.0,Defensive rebound by R. McCallum,,89-48,,
6:03.0,R. Gay makes 3-pt shot from 25 ft (assist by B. McLemore),3,92-48,,
6:02.0,,,92-48,,New York full timeout
6:02.0,,,92-48,,A. Shved enters the game for A. Bargnani
6:02.0,,,92-48,,J. Smith enters the game for T. Hardaway
5:51.0,,,92-50,2,S. Larkin makes 2-pt shot from 14 ft
5:31.0,R. Gay misses 3-pt shot from 26 ft,,92-50,,
5:30.0,,,92-50,,Defensive rebound by C. Aldrich
5:20.0,,,92-52,2,C. Aldrich makes 2-pt shot from 4 ft (assist by S. Larkin)
5:03.0,D. Cousins misses 2-pt shot from 17 ft,,92-52,,
5:02.0,Offensive rebound by Team,,92-52,,
5:02.0,,,92-52,,Loose ball foul by J. Smith (drawn by R. McCallum)
4:53.0,R. McCallum misses 2-pt shot from 16 ft,,92-52,,
4:52.0,,,92-52,,Defensive rebound by A. Shved
4:46.0,,,92-52,,Shooting foul by J. Thompson (drawn by A. Shved)
4:46.0,,,92-53,1,A. Shved makes free throw 1 of 2
4:46.0,D. Williams enters the game for J. Thompson,,92-53,,
4:46.0,,,92-54,1,A. Shved makes free throw 2 of 2
4:32.0,B. McLemore misses 2-pt shot from 4 ft (block by J. Smith),,92-54,,
4:31.0,,,92-54,,Defensive rebound by L. Thomas
4:20.0,,,92-56,2,J. Smith makes 2-pt shot from 1 ft (assist by S. Larkin)
4:05.0,D. Williams misses 3-pt shot from 24 ft,,92-56,,
4:04.0,Offensive rebound by R. Gay,,92-56,,
3:55.0,D. Cousins misses 2-pt shot at rim,,92-56,,
3:54.0,Offensive rebound by R. Gay,,92-56,,
3:53.0,R. Gay misses 2-pt shot from 2 ft (block by C. Aldrich),,92-56,,
3:49.0,Offensive rebound by Team,,92-56,,
3:49.0,N. Stauskas enters the game for B. McLemore,,92-56,,
3:49.0,Jump ball: R. Gay vs. L. Thomas (D. Williams gains possession),,,,Jump ball: R. Gay vs. L. Thomas (D. Williams gains possession)
3:48.0,Turnover by D. Williams (traveling),,92-56,,
3:38.0,,,92-58,2,S. Larkin makes 2-pt shot from 19 ft
3:23.0,A. Miller enters the game for R. McCallum,,92-58,,
3:13.0,R. Gay misses 2-pt shot from 3 ft,,92-58,,
3:12.0,,,92-58,,Defensive rebound by S. Larkin
3:07.0,,,92-60,2,S. Larkin makes 2-pt shot from 1 ft
2:48.0,Shooting foul by C. Aldrich (drawn by D. Cousins),,92-60,,
2:48.0,Sacramento full timeout,,92-60,,
2:48.0,D. Cousins makes free throw 1 of 2,1,93-60,,
2:48.0,D. Cousins makes free throw 2 of 2,1,94-60,,
2:28.0,,,94-62,2,C. Aldrich makes 2-pt shot from 2 ft (assist by A. Shved)
2:04.0,D. Williams makes 3-pt shot from 25 ft (assist by D. Cousins),3,97-62,,
1:46.0,,,97-62,,L. Thomas misses 2-pt shot from 20 ft
1:45.0,,,97-62,,Offensive rebound by C. Aldrich
1:45.0,,,97-64,2,C. Aldrich makes 2-pt shot at rim
1:34.0,N. Stauskas misses 2-pt shot from 2 ft (block by J. Smith),,97-64,,
1:33.0,,,97-64,,Defensive rebound by C. Aldrich
1:27.0,,,97-66,2,A. Shved makes 2-pt shot from 1 ft (assist by S. Larkin)
1:11.0,D. Cousins misses 2-pt shot from 17 ft,,97-66,,
1:10.0,,,97-66,,Defensive rebound by S. Larkin
1:04.0,,,97-66,,Turnover by S. Larkin (bad pass; steal by A. Miller)
1:00.0,Shooting foul by S. Larkin (drawn by R. Gay),,97-66,,
1:00.0,R. Gay makes free throw 1 of 2,1,98-66,,
1:00.0,J. Thompson enters the game for D. Cousins,,98-66,,
1:00.0,,,98-66,,Q. Acy enters the game for C. Aldrich
1:00.0,R. Gay misses free throw 2 of 2,,98-66,,
0:59.0,,,98-66,,Defensive rebound by Q. Acy
0:45.0,,,98-66,,J. Smith misses 2-pt shot from 14 ft
0:43.0,Defensive rebound by D. Williams,,98-66,,
0:34.0,J. Thompson misses 2-pt shot from 17 ft,,98-66,,
0:33.0,,,98-66,,Defensive rebound by A. Shved
0:22.0,,,98-68,2,J. Smith makes 2-pt shot from 3 ft (assist by A. Shved)
0:03.0,Shooting foul by L. Thomas (drawn by R. Gay),,98-68,,
0:03.0,R. Gay makes free throw 1 of 2,1,99-68,,
0:03.0,R. Gay makes free throw 2 of 2,1,100-68,,
0:01.0,,,100-68,,A. Shved misses 3-pt shot from 43 ft
0:00.0,,,100-68,,Offensive rebound by Team
0:00.0,End of 3rd quarter,,,,End of 3rd quarter
12:00.0,Start of 4th quarter,,,,Start of 4th quarter
11:46.0,D. Williams misses 2-pt shot from 7 ft,,100-68,,
11:45.0,,,100-68,,Defensive rebound by Team
11:25.0,,,100-68,,Shooting foul by D. Williams (drawn by Q. Acy)
11:25.0,,,100-69,1,Q. Acy makes free throw 1 of 2
11:25.0,,,100-70,1,Q. Acy makes free throw 2 of 2
11:01.0,D. Williams misses 3-pt shot from 23 ft,,100-70,,
11:00.0,,,100-70,,Defensive rebound by J. Smith
10:48.0,,,100-72,2,J. Smith makes 2-pt shot from 20 ft (assist by T. Hardaway)
10:26.0,N. Stauskas misses 2-pt shot from 3 ft (block by J. Smith),,100-72,,
10:25.0,Offensive rebound by Team,,100-72,,
10:25.0,,,100-72,,Loose ball foul by Q. Acy (drawn by J. Thompson)
10:14.0,O. Casspi makes 2-pt shot from 5 ft,2,102-72,,
10:03.0,,,102-72,,Turnover by J. Smith (traveling)
9:47.0,N. Stauskas makes 2-pt shot from 2 ft (assist by A. Miller),2,104-72,,
9:31.0,,,104-72,,Q. Acy misses 2-pt shot from 18 ft
9:30.0,Defensive rebound by A. Miller,,104-72,,
9:25.0,O. Casspi makes 2-pt shot at rim (assist by D. Williams),2,106-72,,
9:24.0,,,106-72,,New York full timeout
9:24.0,,,106-72,,T. Wear enters the game for L. Galloway
9:24.0,,,106-72,,S. Larkin enters the game for T. Hardaway
9:24.0,,,106-72,,C. Early enters the game for J. Smith
9:04.0,,,106-75,3,S. Larkin makes 3-pt shot from 25 ft (assist by A. Shved)
8:47.0,Turnover by J. Thompson (lost ball; steal by Q. Acy),,106-75,,
8:37.0,,,106-75,,T. Wear misses 2-pt shot from 1 ft
8:36.0,Defensive rebound by O. Casspi,,106-75,,
8:26.0,J. Thompson misses 2-pt shot from 2 ft (block by Q. Acy),,106-75,,
8:25.0,,,106-75,,Defensive rebound by A. Shved
8:16.0,,,106-77,2,A. Shved makes 2-pt shot from 2 ft
8:01.0,O. Casspi makes 2-pt shot from 4 ft,2,108-77,,
7:51.0,,,108-77,,C. Early misses 2-pt shot from 22 ft
7:50.0,Defensive rebound by D. Williams,,108-77,,
7:36.0,N. Stauskas makes 2-pt shot from 1 ft,2,110-77,,
7:29.0,,,110-77,,S. Larkin misses 3-pt shot from 25 ft
7:28.0,Defensive rebound by O. Casspi,,110-77,,
7:24.0,Turnover by O. Casspi (bad pass; steal by S. Larkin),,110-77,,
7:10.0,,,110-77,,C. Early misses 2-pt shot from 15 ft
7:09.0,Defensive rebound by J. Thompson,,110-77,,
7:03.0,Turnover by A. Miller (bad pass; steal by C. Early),,110-77,,
6:46.0,,,110-77,,T. Wear misses 2-pt shot from 20 ft
