time,Sacramento,pts.away,score,pts.home,Atlanta
4:28.0,,,15-20,,J. Teague misses 2-pt shot from 12 ft
4:26.0,Defensive rebound by O. Casspi,,15-20,,
4:20.0,R. Gay makes 3-pt shot from 23 ft (assist by A. Miller),3,18-20,,
3:59.0,,,18-23,3,D. Carroll makes 3-pt shot from 24 ft (assist by J. Teague)
3:34.0,Turnover by A. Miller (traveling),,18-23,,
3:34.0,D. Williams enters the game for R. Gay,,18-23,,
3:34.0,,,18-23,,Atlanta full timeout
3:34.0,,,18-23,,D. Schroder enters the game for J. Teague
3:34.0,R. Gay enters the game for C. Landry,,18-23,,
3:13.0,,,18-23,,Turnover by P. Millsap (lost ball; steal by A. Miller)
3:09.0,Turnover by O. Casspi (traveling),,18-23,,
2:49.0,,,18-26,3,P. Millsap makes 3-pt shot from 24 ft (assist by D. Schroder)
2:30.0,O. Casspi misses 3-pt shot from 23 ft,,18-26,,
2:29.0,,,18-26,,Defensive rebound by D. Carroll
2:18.0,,,18-28,2,P. Millsap makes 2-pt shot from 2 ft (assist by D. Schroder)
2:04.0,D. Cousins misses 2-pt shot at rim (block by E. Brand),,18-28,,
2:02.0,,,18-28,,Defensive rebound by E. Brand
1:57.0,,,18-31,3,D. Carroll makes 3-pt shot from 23 ft (assist by D. Schroder)
1:40.0,Turnover by O. Casspi (lost ball; steal by P. Millsap),,18-31,,
1:35.0,,,18-31,,Offensive charge foul by P. Millsap
1:35.0,,,18-31,,Turnover by P. Millsap (offensive foul)
1:35.0,J. Thompson enters the game for D. Cousins,,18-31,,
1:35.0,,,18-31,,M. Scott enters the game for D. Carroll
1:35.0,,,18-31,,A. Horford enters the game for P. Millsap
1:35.0,,,18-31,,K. Korver enters the game for E. Brand
1:20.0,J. Thompson misses 2-pt shot from 9 ft,,18-31,,
1:18.0,,,18-31,,Defensive rebound by M. Scott
1:08.0,Personal foul by O. Casspi (drawn by A. Horford),,18-31,,
0:55.0,,,18-31,,D. Schroder misses 2-pt shot from 1 ft
0:51.0,Defensive rebound by D. Williams,,18-31,,
0:43.0,Shooting foul by D. Schroder (drawn by A. Miller),,18-31,,
0:43.0,A. Miller makes free throw 1 of 2,1,19-31,,
0:43.0,A. Miller makes free throw 2 of 2,1,20-31,,
0:30.0,,,20-33,2,K. Bazemore makes 2-pt shot from 2 ft (assist by M. Scott)
0:23.0,Offensive foul by J. Thompson,,20-33,,
0:23.0,Turnover by J. Thompson (offensive foul),,20-33,,
0:03.0,,,20-33,,K. Bazemore misses 3-pt shot from 24 ft
0:01.0,Defensive rebound by D. Williams,,20-33,,
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:43.0,,,20-33,,K. Bazemore misses 2-pt shot from 5 ft
11:41.0,Defensive rebound by J. Thompson,,20-33,,
11:24.0,O. Casspi makes 2-pt shot from 1 ft (assist by B. McLemore),2,22-33,,
11:10.0,,,22-35,2,A. Horford makes 2-pt shot from 18 ft (assist by D. Schroder)
10:57.0,J. Thompson makes 2-pt shot at rim (assist by B. McLemore),2,24-35,,
10:36.0,,,24-38,3,D. Schroder makes 3-pt shot from 24 ft (assist by A. Horford)
10:20.0,,,24-38,,Personal foul by D. Schroder (drawn by A. Miller)
10:20.0,R. McCallum enters the game for O. Casspi,,24-38,,
10:13.0,B. McLemore misses 3-pt shot from 24 ft,,24-38,,
10:11.0,Offensive rebound by J. Thompson,,24-38,,
10:11.0,J. Thompson makes 2-pt shot at rim,2,26-38,,
9:50.0,,,26-40,2,M. Scott makes 2-pt shot at rim (assist by A. Horford)
9:39.0,B. McLemore misses 2-pt shot from 1 ft,,26-40,,
9:38.0,Offensive rebound by J. Thompson,,26-40,,
9:38.0,J. Thompson misses 2-pt shot at rim,,26-40,,
9:38.0,Offensive rebound by J. Thompson,,26-40,,
9:38.0,Shooting foul by K. Korver (drawn by J. Thompson),,26-40,,
9:38.0,J. Thompson misses free throw 1 of 2,,26-40,,
9:38.0,Offensive rebound by Team,,26-40,,
9:38.0,J. Thompson makes free throw 2 of 2,1,27-40,,
9:27.0,Violation by R. McCallum (kicked ball),,27-40,,
9:19.0,,,27-42,2,K. Bazemore makes 2-pt shot at rim (assist by M. Scott)
9:02.0,Turnover by B. McLemore (lost ball; steal by M. Scott),,27-42,,
8:57.0,,,27-44,2,M. Scott makes 2-pt shot at rim (assist by D. Schroder)
8:57.0,Sacramento full timeout,,27-44,,
8:35.0,R. McCallum misses 2-pt shot from 18 ft,,27-44,,
8:34.0,,,27-44,,Defensive rebound by Team
8:34.0,Loose ball foul by J. Thompson (drawn by M. Scott),,27-44,,
8:34.0,D. Cousins enters the game for J. Thompson,,27-44,,
8:34.0,,,27-44,,J. Teague enters the game for K. Bazemore
8:11.0,,,27-44,,A. Horford misses 2-pt shot from 19 ft
8:09.0,Defensive rebound by D. Cousins,,27-44,,
8:00.0,B. McLemore misses 2-pt shot from 19 ft,,27-44,,
7:59.0,,,27-44,,Defensive rebound by J. Teague
7:50.0,,,27-44,,M. Scott misses 3-pt shot from 23 ft
7:48.0,Defensive rebound by A. Miller,,27-44,,
7:46.0,Shooting foul by K. Korver (drawn by D. Williams),,27-44,,
7:46.0,D. Williams makes free throw 1 of 2,1,28-44,,
7:46.0,N. Stauskas enters the game for B. McLemore,,28-44,,
7:46.0,D. Williams makes free throw 2 of 2,1,29-44,,
7:31.0,,,29-46,2,A. Horford makes 2-pt shot at rim (assist by D. Schroder)
7:25.0,,,29-46,,Personal foul by M. Scott (drawn by D. Cousins)
7:25.0,,,29-46,,D. Carroll enters the game for K. Korver
7:07.0,R. McCallum misses 3-pt shot from 24 ft,,29-46,,
7:05.0,,,29-46,,Defensive rebound by M. Scott
6:56.0,,,29-46,,A. Horford misses 2-pt shot from 15 ft
6:54.0,Defensive rebound by N. Stauskas,,29-46,,
6:47.0,D. Williams makes 2-pt shot from 1 ft (assist by N. Stauskas),2,31-46,,
6:32.0,Def 3 sec tech foul by A. Miller,,31-46,,
6:32.0,,,31-47,1,J. Teague makes technical free throw
6:32.0,,,31-47,,P. Millsap enters the game for A. Horford
6:32.0,,,31-47,,E. Brand enters the game for M. Scott
6:32.0,R. Gay enters the game for A. Miller,,31-47,,
6:25.0,,,31-50,3,J. Teague makes 3-pt shot from 23 ft (assist by D. Schroder)
6:04.0,D. Williams misses 3-pt shot from 24 ft,,31-50,,
6:03.0,,,31-50,,Defensive rebound by J. Teague
5:57.0,,,31-50,,D. Schroder misses 2-pt shot from 3 ft
5:54.0,Defensive rebound by D. Cousins,,31-50,,
5:50.0,D. Williams makes 2-pt shot at rim (assist by R. McCallum),2,33-50,,
5:29.0,,,33-50,,Shooting foul by N. Stauskas (drawn by D. Schroder)
5:29.0,Official timeout,,33-50,,
5:29.0,,,33-51,1,D. Schroder makes free throw 1 of 2
5:29.0,,,33-52,1,D. Schroder makes free throw 2 of 2
5:20.0,,,33-52,,Personal foul by E. Brand (drawn by D. Cousins)
5:20.0,D. Cousins makes free throw 1 of 2,1,34-52,,
5:20.0,D. Cousins makes free throw 2 of 2,1,35-52,,
5:08.0,,,35-52,,D. Carroll misses 3-pt shot from 24 ft
5:06.0,,,35-52,,Offensive rebound by D. Schroder
5:01.0,,,35-52,,Turnover by J. Teague (lost ball; steal by N. Stauskas)
4:54.0,R. Gay makes 2-pt shot from 1 ft,2,37-52,,
4:29.0,,,37-52,,D. Carroll misses 2-pt shot from 2 ft
4:26.0,,,37-52,,Offensive rebound by E. Brand
4:21.0,,,37-55,3,D. Schroder makes 3-pt shot from 24 ft (assist by E. Brand)
4:02.0,N. Stauskas misses 2-pt shot from 4 ft,,37-55,,
3:59.0,,,37-55,,Defensive rebound by E. Brand
3:57.0,,,37-55,,Turnover by J. Teague (lost ball; steal by R. McCallum)
3:57.0,,,37-55,,Personal foul by J. Teague (drawn by D. Cousins)
3:57.0,D. Cousins makes free throw 1 of 2,1,38-55,,
3:57.0,,,38-55,,K. Korver enters the game for D. Schroder
3:57.0,O. Casspi enters the game for D. Williams,,38-55,,
3:57.0,D. Cousins makes free throw 2 of 2,1,39-55,,
3:43.0,,,39-57,2,J. Teague makes 2-pt shot from 5 ft
3:43.0,,,39-57,,Shooting foul by R. McCallum (drawn by J. Teague)
3:43.0,,,39-58,1,J. Teague makes free throw 1 of 1
3:30.0,D. Cousins misses 2-pt shot from 2 ft,,39-58,,
3:30.0,Offensive rebound by D. Cousins,,39-58,,
3:30.0,Shooting foul by E. Brand (drawn by D. Cousins),,39-58,,
3:30.0,D. Cousins makes free throw 1 of 2,1,40-58,,
3:30.0,,,40-58,,A. Horford enters the game for E. Brand
3:30.0,D. Cousins makes free throw 2 of 2,1,41-58,,
3:18.0,,,41-60,2,P. Millsap makes 2-pt shot from 5 ft
3:03.0,R. McCallum makes 2-pt shot at rim (assist by D. Cousins),2,43-60,,
2:53.0,,,43-60,,Atlanta full timeout
2:41.0,,,43-60,,P. Millsap misses 2-pt shot from 8 ft (block by R. Gay)
2:39.0,Defensive rebound by R. Gay,,43-60,,
2:29.0,N. Stauskas makes 3-pt shot from 24 ft (assist by D. Cousins),3,46-60,,
2:13.0,,,46-62,2,J. Teague makes 2-pt shot from 20 ft
1:55.0,R. Gay makes 2-pt shot from 15 ft,2,48-62,,
1:34.0,,,48-64,2,D. Carroll makes 2-pt shot from 4 ft (assist by J. Teague)
1:34.0,,,48-64,,Shooting foul by D. Cousins (drawn by D. Carroll)
1:34.0,,,48-64,,D. Carroll misses free throw 1 of 1
1:30.0,,,48-64,,Offensive rebound by Team
1:30.0,,,48-66,2,D. Carroll makes 2-pt shot from 1 ft (assist by K. Korver)
1:21.0,Technical foul by D. Cousins,,48-66,,
1:21.0,,,48-66,,K. Korver misses technical free throw
1:21.0,Offensive rebound by Team,,48-66,,
1:07.0,R. McCallum makes 2-pt shot from 20 ft (assist by D. Cousins),2,50-66,,
0:56.0,,,50-69,3,K. Korver makes 3-pt shot from 24 ft (assist by J. Teague)
0:49.0,D. Cousins makes 2-pt shot from 1 ft (assist by R. McCallum),2,52-69,,
0:42.0,,,52-71,2,A. Horford makes 2-pt shot at rim (assist by J. Teague)
0:37.0,,,52-71,,Personal foul by P. Millsap (drawn by R. McCallum)
0:37.0,R. McCallum makes free throw 1 of 2,1,53-71,,
0:37.0,R. McCallum makes free throw 2 of 2,1,54-71,,
0:32.0,,,54-71,,Turnover by J. Teague (lost ball; steal by R. McCallum)
0:29.0,Turnover by R. McCallum (lost ball; steal by J. Teague),,54-71,,
0:20.0,,,54-74,3,D. Carroll makes 3-pt shot from 23 ft (assist by J. Teague)
0:06.0,Turnover by R. Gay (bad pass; steal by J. Teague),,54-74,,
0:03.0,,,54-76,2,J. Teague makes 2-pt shot from 5 ft
0:03.0,,,54-76,,Shooting foul by R. McCallum (drawn by J. Teague)
0:03.0,,,54-76,,E. Brand enters the game for P. Millsap
0:03.0,,,54-76,,K. Bazemore enters the game for K. Korver
0:03.0,,,54-76,,J. Teague misses free throw 1 of 1
0:01.0,Defensive rebound by Team,,54-76,,
0:00.0,End of 2nd quarter,,,,End of 2nd quarter
12:00.0,Start of 3rd quarter,,,,Start of 3rd quarter
11:44.0,Violation by R. Gay (kicked ball),,54-76,,
11:36.0,,,54-76,,Turnover by P. Millsap (lost ball; steal by C. Landry)
11:11.0,R. McCallum misses 2-pt shot at rim,,54-76,,
11:10.0,Offensive rebound by R. McCallum,,54-76,,
11:10.0,R. McCallum makes 2-pt shot at rim,2,56-76,,
10:58.0,,,56-78,2,J. Teague makes 2-pt shot from 6 ft
10:43.0,B. McLemore misses 2-pt shot from 19 ft,,56-78,,
10:41.0,Offensive rebound by C. Landry,,56-78,,
10:40.0,C. Landry makes 2-pt shot at rim,2,58-78,,
10:16.0,,,58-78,,D. Carroll misses 3-pt shot from 22 ft
10:14.0,Defensive rebound by D. Cousins,,58-78,,
10:14.0,,,58-78,,Personal foul by P. Millsap (drawn by D. Cousins)
9:53.0,R. Gay makes 3-pt shot from 23 ft (assist by D. Cousins),3,61-78,,
9:41.0,,,61-80,2,A. Horford makes 2-pt shot at rim (assist by D. Carroll)
9:30.0,D. Cousins misses 2-pt shot from 6 ft,,61-80,,
9:29.0,,,61-80,,Defensive rebound by K. Korver
9:20.0,,,61-80,,A. Horford misses 2-pt shot from 17 ft
9:18.0,,,61-80,,Offensive rebound by J. Teague
9:15.0,,,61-82,2,A. Horford makes 2-pt shot at rim (assist by J. Teague)
8:57.0,,,61-82,,Violation by K. Korver (kicked ball)
8:48.0,C. Landry misses 2-pt shot from 2 ft,,61-82,,
8:46.0,Offensive rebound by D. Cousins,,61-82,,
8:46.0,D. Cousins makes 2-pt shot at rim,2,63-82,,
8:34.0,,,63-84,2,J. Teague makes 2-pt shot from 5 ft
8:18.0,D. Cousins makes 2-pt shot at rim (assist by R. McCallum),2,65-84,,
7:57.0,Personal foul by C. Landry (drawn by A. Horford),,65-84,,
7:51.0,,,65-86,2,K. Korver makes 2-pt shot from 16 ft (assist by J. Teague)
7:36.0,R. Gay misses 3-pt shot from 24 ft,,65-86,,
7:35.0,,,65-86,,Defensive rebound by A. Horford
7:28.0,,,65-86,,Turnover by A. Horford (lost ball; steal by D. Cousins)
7:24.0,R. McCallum makes 2-pt shot at rim,2,67-86,,
7:01.0,,,67-86,,D. Carroll misses 2-pt shot from 1 ft
7:00.0,Defensive rebound by D. Cousins,,67-86,,
6:58.0,Turnover by D. Cousins (bad pass),,67-86,,
6:47.0,,,67-86,,A. Horford misses 2-pt shot from 17 ft
6:40.0,,,67-86,,Offensive rebound by P. Millsap
6:31.0,,,67-89,3,P. Millsap makes 3-pt shot from 25 ft (assist by J. Teague)
6:10.0,Turnover by R. McCallum (lost ball),,67-89,,
5:59.0,,,67-89,,Atlanta full timeout
5:53.0,Personal foul by C. Landry (drawn by P. Millsap),,67-89,,
5:40.0,,,67-89,,D. Carroll misses 3-pt shot from 23 ft
5:39.0,Defensive rebound by D. Cousins,,67-89,,
5:25.0,R. Gay misses 2-pt shot from 16 ft,,67-89,,
5:25.0,,,67-89,,Defensive rebound by D. Carroll
5:25.0,Personal foul by D. Cousins (drawn by D. Carroll),,67-89,,
5:10.0,,,67-91,2,A. Horford makes 2-pt shot from 4 ft (assist by D. Carroll)
4:51.0,Shooting foul by K. Korver (drawn by B. McLemore),,67-91,,
4:51.0,B. McLemore makes free throw 1 of 2,1,68-91,,
4:51.0,,,68-91,,E. Brand enters the game for A. Horford
4:51.0,,,68-91,,K. Bazemore enters the game for K. Korver
4:51.0,A. Miller enters the game for C. Landry,,68-91,,
4:51.0,D. Williams enters the game for R. McCallum,,68-91,,
4:51.0,B. McLemore makes free throw 2 of 2,1,69-91,,
4:31.0,,,69-94,3,P. Millsap makes 3-pt shot from 23 ft (assist by J. Teague)
4:21.0,B. McLemore makes 3-pt shot from 25 ft (assist by A. Miller),3,72-94,,
4:08.0,,,72-94,,K. Bazemore misses 2-pt shot from 11 ft
4:06.0,Defensive rebound by D. Cousins,,72-94,,
4:00.0,B. McLemore misses 2-pt shot from 2 ft,,72-94,,
3:59.0,,,72-94,,Defensive rebound by D. Carroll
3:47.0,,,72-97,3,K. Bazemore makes 3-pt shot from 23 ft (assist by D. Carroll)
3:27.0,R. Gay misses 2-pt shot from 5 ft,,72-97,,
3:25.0,Offensive rebound by R. Gay,,72-97,,
3:24.0,R. Gay makes 2-pt shot at rim,2,74-97,,
3:03.0,,,74-100,3,J. Teague makes 3-pt shot from 26 ft (assist by P. Millsap)
2:48.0,R. Gay makes 2-pt shot from 6 ft,2,76-100,,
2:35.0,,,76-100,,D. Carroll misses 3-pt shot from 23 ft
2:34.0,Defensive rebound by D. Cousins,,76-100,,
2:22.0,Sacramento full timeout,,76-100,,
2:22.0,,,76-100,,D. Schroder enters the game for J. Teague
2:22.0,J. Thompson enters the game for D. Cousins,,76-100,,
2:13.0,A. Miller makes 2-pt shot from 10 ft,2,78-100,,
1:56.0,,,78-100,,D. Schroder misses 3-pt shot from 25 ft
1:55.0,,,78-100,,Offensive rebound by D. Carroll
1:39.0,,,78-100,,P. Millsap misses 3-pt shot from 25 ft
1:36.0,,,78-100,,Offensive rebound by D. Carroll
1:22.0,,,78-102,2,D. Schroder makes 2-pt shot from 1 ft
1:00.0,D. Williams misses 3-pt shot from 25 ft,,78-102,,
0:59.0,Offensive rebound by Team,,78-102,,
0:59.0,N. Stauskas enters the game for B. McLemore,,78-102,,
0:59.0,,,78-102,,K. Korver enters the game for D. Carroll
0:59.0,,,78-102,,A. Horford enters the game for P. Millsap
0:59.0,,,78-102,,M. Scott enters the game for E. Brand
0:46.0,N. Stauskas makes 2-pt shot from 2 ft,2,80-102,,
0:29.0,,,80-105,3,K. Korver makes 3-pt shot from 22 ft (assist by M. Scott)
0:11.0,J. Thompson misses 2-pt shot from 14 ft,,80-105,,
0:07.0,Offensive rebound by A. Miller,,80-105,,
0:07.0,A. Miller makes 2-pt shot at rim,2,82-105,,
0:01.0,,,82-105,,K. Bazemore misses 2-pt shot from 1 ft
0:00.0,,,82-105,,Offensive rebound by D. Schroder
0:00.0,,,82-105,,D. Schroder misses 2-pt shot from 1 ft (block by J. Thompson)
0:00.0,,,82-105,,Offensive rebound by Team
0:00.0,End of 3rd quarter,,,,End of 3rd quarter
12:00.0,Start of 4th quarter,,,,Start of 4th quarter
11:45.0,O. Casspi makes 2-pt shot from 6 ft,2,84-105,,
11:16.0,,,84-107,2,M. Scott makes 2-pt shot from 16 ft (assist by K. Bazemore)
11:10.0,O. Casspi misses 2-pt shot from 3 ft,,84-107,,
11:09.0,,,84-107,,Defensive rebound by A. Horford
10:49.0,,,84-107,,Turnover by D. Schroder (lost ball; steal by J. Thompson)
10:40.0,J. Thompson makes 2-pt shot at rim (assist by O. Casspi),2,86-107,,
10:26.0,,,86-107,,Turnover by K. Korver (bad pass; steal by D. Williams)
10:21.0,O. Casspi makes 2-pt shot at rim (assist by A. Miller),2,88-107,,
10:01.0,,,88-107,,Turnover by K. Bazemore (bad pass; steal by J. Thompson)
9:51.0,J. Thompson misses 2-pt shot from 5 ft,,88-107,,
9:50.0,,,88-107,,Defensive rebound by K. Bazemore
9:42.0,Violation by O. Casspi (kicked ball),,88-107,,
9:42.0,D. Cousins enters the game for J. Thompson,,88-107,,
9:34.0,,,88-109,2,K. Bazemore makes 2-pt shot from 4 ft (assist by D. Schroder)
9:18.0,,,88-109,,Personal foul by K. Bazemore (drawn by O. Casspi)
9:18.0,,,88-109,,S. Mack enters the game for K. Bazemore
9:18.0,R. Gay enters the game for D. Williams,,88-109,,
9:03.0,N. Stauskas makes 3-pt shot from 23 ft (assist by D. Cousins),3,91-109,,
8:44.0,,,91-109,,Turnover by D. Schroder (bad pass; steal by A. Miller)
8:40.0,Turnover by A. Miller (bad pass; steal by D. Schroder),,91-109,,
8:21.0,,,91-109,,D. Schroder misses 2-pt shot from 2 ft
8:20.0,Defensive rebound by O. Casspi,,91-109,,
8:14.0,Official timeout,,91-109,,
8:14.0,,,91-109,,J. Teague enters the game for D. Schroder
8:08.0,R. Gay misses 2-pt shot from 5 ft,,91-109,,
8:06.0,,,91-109,,Defensive rebound by K. Korver
7:57.0,,,91-112,3,K. Korver makes 3-pt shot from 27 ft (assist by J. Teague)
7:31.0,O. Casspi misses 2-pt shot from 19 ft,,91-112,,
7:30.0,Offensive rebound by D. Cousins,,91-112,,
7:29.0,D. Cousins misses 2-pt shot at rim,,91-112,,
7:27.0,,,91-112,,Defensive rebound by M. Scott
7:11.0,,,91-112,,M. Scott misses 3-pt shot from 22 ft
7:10.0,Defensive rebound by N. Stauskas,,91-112,,
6:55.0,N. Stauskas makes 2-pt shot from 7 ft,2,93-112,,
6:42.0,,,93-114,2,A. Horford makes 2-pt shot from 1 ft (assist by M. Scott)
6:25.0,A. Miller misses 3-pt shot from 24 ft,,93-114,,
6:24.0,,,93-114,,Defensive rebound by M. Scott
6:18.0,,,93-116,2,S. Mack makes 2-pt shot from 18 ft
6:04.0,R. Gay makes 2-pt shot from 9 ft (assist by D. Cousins),2,95-116,,
5:56.0,,,95-116,,Atlanta full timeout
5:56.0,J. Thompson enters the game for D. Cousins,,95-116,,
5:56.0,,,95-116,,K. Bazemore enters the game for A. Horford
5:56.0,,,95-116,,D. Schroder enters the game for K. Korver
5:56.0,,,95-116,,E. Brand enters the game for J. Teague
5:50.0,,,95-116,,M. Scott misses 2-pt shot from 17 ft
5:47.0,,,95-116,,Offensive rebound by K. Bazemore
5:45.0,,,95-116,,K. Bazemore misses 3-pt shot from 23 ft
5:43.0,Defensive rebound by J. Thompson,,95-116,,
5:31.0,Turnover by R. Gay (bad pass; steal by D. Schroder),,95-116,,
5:27.0,,,95-118,2,D. Schroder makes 2-pt shot at rim
5:10.0,,,95-118,,Personal foul by K. Bazemore (drawn by J. Thompson)
5:10.0,B. McLemore enters the game for R. Gay,,95-118,,
5:10.0,R. McCallum enters the game for A. Miller,,95-118,,
5:10.0,,,95-118,,J. Jenkins enters the game for D. Schroder
5:04.0,,,95-118,,Personal foul by K. Bazemore (drawn by B. McLemore)
4:56.0,Turnover by N. Stauskas (lost ball),,95-118,,
4:36.0,,,95-120,2,E. Brand makes 2-pt shot from 10 ft (assist by S. Mack)
4:24.0,B. McLemore misses 2-pt shot from 7 ft (block by E. Brand),,95-120,,
4:23.0,,,95-120,,Defensive rebound by E. Brand
4:08.0,,,95-120,,Turnover by M. Scott (lost ball)
4:08.0,,,95-120,,M. Muscala enters the game for M. Scott
3:50.0,J. Thompson misses 2-pt shot from 3 ft,,95-120,,
3:48.0,,,95-120,,Defensive rebound by Team
3:48.0,,,95-120,,M. Scott enters the game for K. Bazemore
3:35.0,,,95-123,3,S. Mack makes 3-pt shot from 25 ft (assist by E. Brand)
3:18.0,B. McLemore misses 2-pt shot from 18 ft,,95-123,,
3:16.0,,,95-123,,Defensive rebound by M. Muscala
3:05.0,,,95-123,,Turnover by E. Brand (bad pass)
2:49.0,Shooting foul by E. Brand (drawn by J. Thompson),,95-123,,
2:49.0,Sacramento full timeout,,95-123,,
2:49.0,J. Thompson makes free throw 1 of 2,1,96-123,,
2:49.0,J. Thompson makes free throw 2 of 2,1,97-123,,
2:34.0,,,97-125,2,M. Muscala makes 2-pt shot from 13 ft (assist by M. Scott)
2:18.0,B. McLemore makes 2-pt shot at rim (assist by R. McCallum),2,99-125,,
2:00.0,,,99-125,,M. Scott misses 3-pt shot from 23 ft
1:59.0,Defensive rebound by O. Casspi,,99-125,,
1:53.0,R. McCallum makes 3-pt shot from 24 ft (assist by O. Casspi),3,102-125,,
1:35.0,,,102-127,2,J. Jenkins makes 2-pt shot from 16 ft (assist by E. Brand)
1:22.0,B. McLemore misses 3-pt shot from 26 ft,,102-127,,
1:20.0,,,102-127,,Defensive rebound by J. Jenkins
1:08.0,,,102-127,,J. Jenkins misses 3-pt shot from 24 ft
1:06.0,Defensive rebound by R. McCallum,,102-127,,
0:51.0,Offensive charge foul by B. McLemore,,102-127,,
0:51.0,Turnover by B. McLemore (offensive foul),,102-127,,
0:35.0,,,102-130,3,S. Mack makes 3-pt shot from 24 ft
0:19.0,R. McCallum misses 2-pt shot from 19 ft,,102-130,,
0:18.0,Offensive rebound by J. Thompson,,102-130,,
0:17.0,J. Thompson misses 2-pt shot from 1 ft (block by M. Scott),,102-130,,
0:14.0,Offensive rebound by B. McLemore,,102-130,,
0:13.0,B. McLemore makes 3-pt shot from 23 ft,3,105-130,,
0:00.0,End of 4th quarter,,,,End of 4th quarter
