time,Detroit,pts.away,score,pts.home,Milwaukee
5:07.0,K. Caldwell-Pope misses 2-pt shot at rim,,10-13,,
5:05.0,Offensive rebound by A. Drummond,,10-13,,
5:05.0,A. Drummond makes 2-pt shot at rim,2,12-13,,
4:59.0,Personal block foul by G. Monroe (drawn by B. Knight),,12-13,,
4:53.0,,,12-13,,E. Ilyasova misses 2-pt shot from 18 ft
4:52.0,Defensive rebound by A. Drummond,,12-13,,
4:38.0,B. Jennings makes 3-pt shot from 24 ft (assist by K. Singler),3,15-13,,
4:24.0,,,15-13,,B. Knight misses 2-pt shot from 11 ft
4:23.0,Defensive rebound by G. Monroe,,15-13,,
4:16.0,B. Jennings misses 3-pt shot from 25 ft,,15-13,,
4:15.0,,,15-13,,Defensive rebound by E. Ilyasova
4:15.0,Loose ball foul by A. Drummond (drawn by E. Ilyasova),,15-13,,
4:15.0,,,15-13,,J. Dudley enters the game for E. Ilyasova
4:15.0,,,15-13,,J. Henson enters the game for Z. Pachulia
4:15.0,A. Tolliver enters the game for A. Drummond,,15-13,,
4:02.0,,,15-15,2,K. Middleton makes 2-pt shot from 18 ft (assist by B. Knight)
3:41.0,K. Caldwell-Pope misses 2-pt shot from 18 ft,,15-15,,
3:40.0,,,15-15,,Defensive rebound by G. Antetokounmpo
3:30.0,,,15-17,2,J. Henson makes 2-pt shot from 9 ft
3:12.0,K. Caldwell-Pope misses 2-pt shot from 16 ft,,15-17,,
3:11.0,Offensive rebound by G. Monroe,,15-17,,
3:10.0,G. Monroe makes 2-pt shot from 1 ft,2,17-17,,
2:58.0,,,17-17,,K. Middleton misses 2-pt shot from 7 ft
2:57.0,,,17-17,,Offensive rebound by J. Henson
2:55.0,,,17-17,,J. Henson misses 2-pt shot from 10 ft
2:54.0,Defensive rebound by A. Tolliver,,17-17,,
2:47.0,B. Jennings makes 2-pt shot at rim,2,19-17,,
2:40.0,Personal foul by B. Jennings (drawn by B. Knight),,19-17,,
2:40.0,Detroit full timeout,,19-17,,
2:40.0,,,19-17,,O. Mayo enters the game for K. Middleton
2:40.0,J. Meeks enters the game for K. Singler,,19-17,,
2:40.0,C. Butler enters the game for K. Caldwell-Pope,,19-17,,
2:30.0,,,19-17,,G. Antetokounmpo misses 2-pt shot from 3 ft
2:28.0,Defensive rebound by G. Monroe,,19-17,,
2:13.0,A. Tolliver makes 2-pt shot from 21 ft (assist by G. Monroe),2,21-17,,
1:58.0,,,21-19,2,J. Dudley makes 2-pt shot from 14 ft (assist by O. Mayo)
1:41.0,B. Jennings misses 3-pt shot from 26 ft,,21-19,,
1:40.0,,,21-19,,Defensive rebound by J. Dudley
1:34.0,,,21-19,,Offensive foul by G. Antetokounmpo
1:34.0,,,21-19,,Turnover by G. Antetokounmpo (offensive foul)
1:16.0,Shooting foul by J. Dudley (drawn by A. Tolliver),,21-19,,
1:16.0,A. Tolliver makes free throw 1 of 2,1,22-19,,
1:16.0,D. Augustin enters the game for B. Jennings,,22-19,,
1:16.0,A. Tolliver makes free throw 2 of 2,1,23-19,,
1:06.0,,,23-19,,B. Knight misses 2-pt shot from 2 ft
1:05.0,Defensive rebound by G. Monroe,,23-19,,
0:49.0,A. Tolliver makes 2-pt shot from 16 ft (assist by C. Butler),2,25-19,,
0:37.0,,,25-21,2,O. Mayo makes 2-pt shot at rim
0:24.0,C. Butler makes 3-pt shot from 25 ft (assist by A. Tolliver),3,28-21,,
0:02.0,,,28-23,2,B. Knight makes 2-pt shot at rim
0:00.0,D. Augustin misses 3-pt shot from 38 ft,,28-23,,
0:00.0,Offensive rebound by Team,,28-23,,
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:48.0,,,28-23,,Turnover by O. Mayo (lost ball; steal by J. Meeks)
11:44.0,J. Meeks makes 2-pt shot at rim,2,30-23,,
11:39.0,Technical foul by B. Jennings,,30-23,,
11:39.0,,,30-24,1,J. Bayless makes technical free throw
11:32.0,,,30-26,2,J. Henson makes 2-pt shot at rim (assist by J. Bayless)
11:10.0,Shooting foul by J. Dudley (drawn by A. Tolliver),,30-26,,
11:10.0,A. Tolliver makes free throw 1 of 2,1,31-26,,
11:10.0,A. Tolliver makes free throw 2 of 2,1,32-26,,
10:58.0,,,32-26,,O. Mayo misses 3-pt shot from 23 ft
10:57.0,,,32-26,,Offensive rebound by J. Henson
10:47.0,,,32-28,2,K. Middleton makes 2-pt shot at rim (assist by O. Mayo)
10:32.0,C. Butler misses 2-pt shot at rim (block by J. Henson),,32-28,,
10:29.0,,,32-28,,Defensive rebound by K. Middleton
10:25.0,,,32-28,,Turnover by J. Bayless (bad pass; steal by D. Augustin)
10:21.0,,,32-28,,Shooting block foul by K. Middleton (drawn by A. Drummond)
10:21.0,A. Drummond misses free throw 1 of 2,,32-28,,
10:21.0,Offensive rebound by Team,,32-28,,
10:21.0,A. Drummond misses free throw 2 of 2,,32-28,,
10:21.0,,,32-28,,Defensive rebound by K. Middleton
10:10.0,,,32-31,3,O. Mayo makes 3-pt shot from 24 ft (assist by J. Bayless)
9:56.0,J. Meeks makes 2-pt shot from 10 ft,2,34-31,,
9:41.0,,,34-31,,J. Bayless misses 2-pt shot from 22 ft
9:40.0,Defensive rebound by A. Drummond,,34-31,,
9:32.0,D. Augustin misses 2-pt shot at rim,,34-31,,
9:31.0,,,34-31,,Defensive rebound by J. Henson
9:25.0,,,34-34,3,J. Dudley makes 3-pt shot from 25 ft (assist by J. Bayless)
9:04.0,Shooting foul by J. Bayless (drawn by C. Butler),,34-34,,
9:04.0,C. Butler makes free throw 1 of 2,1,35-34,,
9:04.0,C. Butler makes free throw 2 of 2,1,36-34,,
8:55.0,,,36-36,2,J. Henson makes 2-pt shot at rim (assist by O. Mayo)
8:33.0,,,36-36,,Personal foul by K. Middleton (drawn by A. Drummond)
8:33.0,Official timeout,,36-36,,
8:16.0,A. Drummond makes 2-pt shot from 5 ft (assist by A. Tolliver),2,38-36,,
7:53.0,,,38-38,2,J. Dudley makes 2-pt shot from 14 ft (assist by K. Middleton)
7:41.0,Turnover by D. Augustin (bad pass; steal by J. Bayless),,38-38,,
7:38.0,,,38-38,,Shooting foul by J. Meeks (drawn by J. Bayless)
7:38.0,,,38-39,1,J. Bayless makes free throw 1 of 2
7:38.0,,,38-40,1,J. Bayless makes free throw 2 of 2
7:21.0,Shooting foul by J. Henson (drawn by A. Drummond),,38-40,,
7:21.0,A. Drummond misses free throw 1 of 2,,38-40,,
7:21.0,Offensive rebound by Team,,38-40,,
7:21.0,,,38-40,,Z. Pachulia enters the game for J. Henson
7:21.0,A. Drummond misses free throw 2 of 2,,38-40,,
7:20.0,,,38-40,,Defensive rebound by J. Dudley
7:09.0,,,38-43,3,K. Middleton makes 3-pt shot from 24 ft (assist by J. Bayless)
6:55.0,D. Augustin makes 2-pt shot at rim,2,40-43,,
6:39.0,,,40-45,2,Z. Pachulia makes 2-pt shot from 13 ft (assist by J. Bayless)
6:17.0,C. Butler misses 3-pt shot from 23 ft,,40-45,,
6:14.0,,,40-45,,Defensive rebound by O. Mayo
6:10.0,,,40-45,,O. Mayo misses 2-pt shot at rim
6:07.0,,,40-45,,Offensive rebound by Z. Pachulia
6:02.0,,,40-45,,Z. Pachulia misses 2-pt shot from 1 ft
5:58.0,Defensive rebound by J. Meeks,,40-45,,
5:50.0,A. Drummond misses 2-pt shot from 8 ft,,40-45,,
5:50.0,,,40-45,,Defensive rebound by Z. Pachulia
5:50.0,Loose ball foul by A. Drummond (drawn by Z. Pachulia),,40-45,,
5:50.0,,,40-45,,Milwaukee full timeout
5:50.0,G. Monroe enters the game for A. Drummond,,40-45,,
5:50.0,K. Caldwell-Pope enters the game for C. Butler,,40-45,,
5:50.0,,,40-45,,G. Antetokounmpo enters the game for J. Dudley
5:36.0,,,40-45,,O. Mayo misses 2-pt shot from 14 ft
5:34.0,,,40-45,,Offensive rebound by O. Mayo
5:20.0,,,40-48,3,O. Mayo makes 3-pt shot from 25 ft (assist by J. Bayless)
5:05.0,D. Augustin misses 2-pt shot at rim (block by J. Bayless),,40-48,,
5:05.0,Offensive rebound by Team,,40-48,,
4:57.0,D. Augustin misses 2-pt shot at rim,,40-48,,
4:56.0,,,40-48,,Defensive rebound by G. Antetokounmpo
4:42.0,,,40-51,3,O. Mayo makes 3-pt shot from 23 ft (assist by J. Bayless)
4:40.0,Turnover by A. Tolliver (inbound),,40-51,,
4:33.0,,,40-54,3,O. Mayo makes 3-pt shot from 23 ft (assist by G. Antetokounmpo)
4:27.0,Detroit full timeout,,40-54,,
4:27.0,B. Jennings enters the game for A. Tolliver,,40-54,,
4:27.0,J. Jerebko enters the game for J. Meeks,,40-54,,
4:27.0,K. Singler enters the game for D. Augustin,,40-54,,
4:18.0,Shooting foul by J. Bayless (drawn by B. Jennings),,40-54,,
4:18.0,B. Jennings misses free throw 1 of 3,,40-54,,
4:18.0,Offensive rebound by Team,,40-54,,
4:18.0,B. Jennings makes free throw 2 of 3,1,41-54,,
4:18.0,B. Jennings makes free throw 3 of 3,1,42-54,,
4:06.0,,,42-54,,J. Bayless misses 2-pt shot from 3 ft
4:05.0,Defensive rebound by G. Monroe,,42-54,,
3:59.0,K. Singler misses 3-pt shot from 25 ft,,42-54,,
3:57.0,,,42-54,,Defensive rebound by Z. Pachulia
3:41.0,,,42-54,,O. Mayo misses 2-pt shot from 17 ft
3:40.0,Defensive rebound by B. Jennings,,42-54,,
3:30.0,,,42-54,,Violation by Z. Pachulia (kicked ball)
3:30.0,,,42-54,,B. Knight enters the game for O. Mayo
3:22.0,K. Singler makes 3-pt shot from 23 ft (assist by B. Jennings),3,45-54,,
3:01.0,,,45-56,2,K. Middleton makes 2-pt shot from 18 ft (assist by Z. Pachulia)
2:42.0,K. Caldwell-Pope misses 2-pt shot from 7 ft,,45-56,,
2:41.0,Offensive rebound by G. Monroe,,45-56,,
2:41.0,G. Monroe misses 2-pt shot at rim,,45-56,,
2:40.0,,,45-56,,Defensive rebound by Team
2:21.0,,,45-56,,G. Antetokounmpo misses 2-pt shot from 7 ft
2:20.0,,,45-56,,Offensive rebound by J. Bayless
2:18.0,,,45-56,,Turnover by J. Bayless (lost ball; steal by B. Jennings)
2:14.0,B. Jennings misses 2-pt shot from 2 ft,,45-56,,
2:12.0,Offensive rebound by K. Caldwell-Pope,,45-56,,
2:12.0,K. Caldwell-Pope makes 2-pt shot at rim,2,47-56,,
1:55.0,,,47-58,2,Z. Pachulia makes 2-pt shot from 3 ft
1:30.0,J. Jerebko misses 2-pt shot from 7 ft,,47-58,,
1:29.0,,,47-58,,Defensive rebound by K. Middleton
1:22.0,,,47-60,2,B. Knight makes 2-pt shot at rim (assist by Z. Pachulia)
1:03.0,K. Singler misses 3-pt shot from 24 ft,,47-60,,
1:02.0,Offensive rebound by G. Monroe,,47-60,,
0:58.0,J. Jerebko misses 2-pt shot from 18 ft,,47-60,,
0:57.0,,,47-60,,Defensive rebound by Z. Pachulia
0:44.0,Shooting block foul by J. Jerebko (drawn by B. Knight),,47-60,,
0:44.0,,,47-61,1,B. Knight makes free throw 1 of 2
0:44.0,,,47-62,1,B. Knight makes free throw 2 of 2
0:24.0,K. Caldwell-Pope misses 2-pt shot from 10 ft,,47-62,,
0:23.0,Offensive rebound by G. Monroe,,47-62,,
0:22.0,G. Monroe makes 2-pt shot at rim,2,49-62,,
0:22.0,Technical foul by K. Caldwell-Pope,,49-62,,
0:22.0,,,49-63,1,J. Bayless makes technical free throw
0:02.0,,,49-63,,Turnover by J. Bayless (bad pass; steal by K. Singler)
0:00.0,K. Singler misses 3-pt shot from 37 ft,,49-63,,
0:00.0,Offensive rebound by Team,,49-63,,
0:00.0,End of 2nd quarter,,,,End of 2nd quarter
12:00.0,Start of 3rd quarter,,,,Start of 3rd quarter
11:41.0,,,49-63,,G. Antetokounmpo misses 2-pt shot at rim
11:40.0,Defensive rebound by A. Drummond,,49-63,,
11:23.0,K. Singler misses 3-pt shot from 24 ft,,49-63,,
11:22.0,,,49-63,,Defensive rebound by B. Knight
11:08.0,,,49-65,2,G. Antetokounmpo makes 2-pt shot at rim (assist by B. Knight)
10:39.0,B. Jennings misses 3-pt shot from 25 ft,,49-65,,
10:37.0,,,49-65,,Defensive rebound by B. Knight
10:25.0,Personal block foul by B. Jennings (drawn by B. Knight),,49-65,,
10:25.0,,,49-65,,J. Dudley enters the game for G. Antetokounmpo
10:17.0,,,49-65,,Z. Pachulia misses 2-pt shot at rim (block by G. Monroe)
10:15.0,Defensive rebound by K. Singler,,49-65,,
10:02.0,K. Singler misses 3-pt shot from 24 ft,,49-65,,
10:01.0,,,49-65,,Defensive rebound by K. Middleton
9:55.0,,,49-68,3,K. Middleton makes 3-pt shot from 25 ft (assist by B. Knight)
9:40.0,Turnover by B. Jennings (bad pass; steal by K. Middleton),,49-68,,
9:33.0,,,49-71,3,B. Knight makes 3-pt shot from 23 ft (assist by J. Dudley)
9:33.0,Detroit full timeout,,49-71,,
9:18.0,,,49-71,,Personal foul by E. Ilyasova (drawn by B. Jennings)
9:05.0,K. Caldwell-Pope misses 2-pt shot from 3 ft,,49-71,,
9:03.0,,,49-71,,Defensive rebound by E. Ilyasova
8:49.0,,,49-73,2,Z. Pachulia makes 2-pt shot from 17 ft (assist by K. Middleton)
8:41.0,,,49-73,,Violation by B. Knight (kicked ball)
8:33.0,B. Jennings makes 2-pt shot from 1 ft,2,51-73,,
8:17.0,,,51-76,3,E. Ilyasova makes 3-pt shot from 26 ft (assist by Z. Pachulia)
8:01.0,K. Caldwell-Pope misses 3-pt shot from 25 ft,,51-76,,
8:00.0,,,51-76,,Defensive rebound by E. Ilyasova
7:50.0,,,51-76,,Z. Pachulia misses 2-pt shot from 13 ft
7:49.0,Defensive rebound by K. Caldwell-Pope,,51-76,,
7:43.0,Turnover by B. Jennings (step out of bounds),,51-76,,
7:30.0,,,51-78,2,K. Middleton makes 2-pt shot from 6 ft (assist by B. Knight)
7:09.0,G. Monroe misses 2-pt shot from 4 ft,,51-78,,
7:07.0,,,51-78,,Defensive rebound by B. Knight
6:58.0,,,51-78,,B. Knight misses 2-pt shot from 17 ft
6:57.0,Defensive rebound by A. Drummond,,51-78,,
6:39.0,A. Drummond misses 2-pt shot from 8 ft,,51-78,,
6:38.0,,,51-78,,Defensive rebound by E. Ilyasova
6:23.0,,,51-80,2,E. Ilyasova makes 2-pt shot from 21 ft (assist by K. Middleton)
6:23.0,Detroit full timeout,,51-80,,
6:23.0,A. Tolliver enters the game for G. Monroe,,51-80,,
6:04.0,Turnover by K. Singler (bad pass),,51-80,,
5:54.0,,,51-80,,E. Ilyasova misses 3-pt shot from 25 ft
5:52.0,Defensive rebound by K. Singler,,51-80,,
5:45.0,K. Singler makes 2-pt shot from 1 ft,2,53-80,,
5:28.0,,,53-80,,Turnover by E. Ilyasova (traveling)
5:14.0,K. Caldwell-Pope misses 2-pt shot at rim,,53-80,,
5:12.0,,,53-80,,Defensive rebound by K. Middleton
5:04.0,,,53-83,3,J. Dudley makes 3-pt shot from 22 ft (assist by Z. Pachulia)
4:52.0,Turnover by B. Jennings (lost ball),,53-83,,
4:52.0,,,53-83,,G. Antetokounmpo enters the game for K. Middleton
4:52.0,,,53-83,,O. Mayo enters the game for J. Dudley
4:52.0,J. Anthony enters the game for A. Drummond,,53-83,,
4:37.0,,,53-83,,Offensive foul by E. Ilyasova
4:37.0,,,53-83,,Turnover by E. Ilyasova (offensive foul)
4:23.0,K. Caldwell-Pope makes 2-pt shot at rim (assist by A. Tolliver),2,55-83,,
4:09.0,,,55-85,2,O. Mayo makes 2-pt shot from 17 ft (assist by B. Knight)
4:00.0,B. Jennings makes 2-pt shot from 1 ft,2,57-85,,
3:42.0,,,57-85,,Z. Pachulia misses 2-pt shot from 5 ft
3:42.0,,,57-85,,Offensive rebound by Team
3:42.0,Loose ball foul by K. Singler (drawn by E. Ilyasova),,57-85,,
3:42.0,,,57-85,,J. Henson enters the game for Z. Pachulia
3:28.0,,,57-87,2,E. Ilyasova makes 2-pt shot at rim (assist by G. Antetokounmpo)
3:12.0,A. Tolliver makes 3-pt shot from 25 ft (assist by B. Jennings),3,60-87,,
2:49.0,,,60-87,,E. Ilyasova misses 3-pt shot from 24 ft
2:48.0,Defensive rebound by K. Caldwell-Pope,,60-87,,
2:42.0,Turnover by A. Tolliver (bad pass),,60-87,,
2:42.0,,,60-87,,Milwaukee full timeout
2:42.0,C. Butler enters the game for K. Singler,,60-87,,
2:42.0,J. Meeks enters the game for K. Caldwell-Pope,,60-87,,
2:42.0,,,60-87,,J. Dudley enters the game for E. Ilyasova
2:30.0,,,60-87,,Turnover by G. Antetokounmpo (bad pass; steal by J. Anthony)
2:27.0,B. Jennings makes 2-pt shot from 1 ft,2,62-87,,
2:27.0,Shooting foul by G. Antetokounmpo (drawn by B. Jennings),,62-87,,
2:27.0,B. Jennings makes free throw 1 of 1,1,63-87,,
2:16.0,Shooting block foul by C. Butler (drawn by J. Henson),,63-87,,
2:16.0,,,63-88,1,J. Henson makes free throw 1 of 2
2:16.0,,,63-89,1,J. Henson makes free throw 2 of 2
1:59.0,B. Jennings misses 3-pt shot from 26 ft,,63-89,,
1:57.0,Offensive rebound by B. Jennings,,63-89,,
1:57.0,,,63-89,,Personal foul by G. Antetokounmpo (drawn by B. Jennings)
1:46.0,B. Jennings makes 2-pt shot from 5 ft,2,65-89,,
1:20.0,,,65-89,,Turnover by J. Henson (kicked ball)
1:20.0,Turnover by B. Jennings (step out of bounds),,65-89,,
1:10.0,,,65-89,,J. Dudley misses 3-pt shot from 23 ft
1:08.0,,,65-89,,Offensive rebound by J. Henson
1:06.0,,,65-91,2,J. Henson makes 2-pt shot at rim (assist by J. Dudley)
1:03.0,Detroit full timeout,,65-91,,
1:03.0,D. Augustin enters the game for B. Jennings,,65-91,,
0:55.0,Offensive foul by J. Anthony,,65-91,,
0:55.0,Turnover by J. Anthony (offensive foul),,65-91,,
0:34.0,,,65-91,,G. Antetokounmpo misses 2-pt shot from 7 ft
0:33.0,Defensive rebound by A. Tolliver,,65-91,,
0:28.0,C. Butler misses 3-pt shot from 26 ft,,65-91,,
0:27.0,,,65-91,,Defensive rebound by B. Knight
0:08.0,,,65-91,,B. Knight misses 2-pt shot from 4 ft
0:08.0,Defensive rebound by Team,,65-91,,
0:08.0,,,65-91,,Loose ball foul by J. Dudley (drawn by C. Butler)
0:08.0,C. Butler makes free throw 1 of 2,1,66-91,,
0:08.0,C. Butler makes free throw 2 of 2,1,67-91,,
0:00.0,End of 3rd quarter,,,,End of 3rd quarter
12:00.0,Start of 4th quarter,,,,Start of 4th quarter
11:51.0,Offensive foul by J. Meeks,,67-91,,
11:51.0,Turnover by J. Meeks (offensive foul),,67-91,,
11:29.0,,,67-93,2,J. Henson makes 2-pt shot at rim (assist by G. Antetokounmpo)
11:16.0,J. Meeks misses 2-pt shot at rim (block by J. Dudley),,67-93,,
11:16.0,Offensive rebound by Team,,67-93,,
11:08.0,Turnover by A. Tolliver (bad pass),,67-93,,
10:49.0,,,67-93,,G. Antetokounmpo misses 2-pt shot from 7 ft
10:47.0,Defensive rebound by G. Monroe,,67-93,,
10:38.0,Turnover by J. Meeks (bad pass; steal by J. Dudley),,67-93,,
10:22.0,,,67-95,2,J. Dudley makes 2-pt shot from 15 ft (assist by G. Antetokounmpo)
9:59.0,C. Butler misses 2-pt shot from 11 ft,,67-95,,
9:58.0,Offensive rebound by G. Monroe,,67-95,,
9:58.0,Shooting foul by J. Bayless (drawn by A. Tolliver),,67-95,,
9:58.0,A. Tolliver misses free throw 1 of 2,,67-95,,
9:58.0,Offensive rebound by Team,,67-95,,
9:58.0,A. Tolliver makes free throw 2 of 2,1,68-95,,
9:48.0,,,68-95,,O. Mayo misses 2-pt shot from 14 ft
9:47.0,Defensive rebound by C. Butler,,68-95,,
9:36.0,,,68-95,,Personal foul by J. Henson (drawn by G. Monroe)
9:36.0,J. Jerebko enters the game for A. Tolliver,,68-95,,
9:36.0,C. Martin enters the game for J. Meeks,,68-95,,
9:22.0,Turnover by Team (shot clock),,68-95,,
9:09.0,,,68-97,2,O. Mayo makes 2-pt shot at rim (assist by J. Henson)
8:58.0,Turnover by D. Augustin (bad pass),,68-97,,
8:58.0,Personal foul by J. Jerebko (drawn by J. Dudley),,68-97,,
8:58.0,Official timeout,,68-97,,
8:58.0,,,68-97,,J. O'Bryant enters the game for J. Henson
8:40.0,,,68-97,,Turnover by G. Antetokounmpo (lost ball; steal by D. Augustin)
8:40.0,,,68-97,,Personal foul by G. Antetokounmpo (drawn by C. Butler)
8:24.0,D. Augustin misses 2-pt shot from 19 ft,,68-97,,
8:23.0,,,68-97,,Defensive rebound by G. Antetokounmpo
8:14.0,,,68-97,,Turnover by J. O'Bryant (3 sec)
7:54.0,D. Augustin misses 2-pt shot from 1 ft (block by G. Antetokounmpo),,68-97,,
7:51.0,Offensive rebound by J. Jerebko,,68-97,,
7:49.0,J. Jerebko makes 2-pt shot at rim,2,70-97,,
7:33.0,,,70-97,,J. O'Bryant misses 2-pt shot at rim
7:31.0,Defensive rebound by G. Monroe,,70-97,,
7:18.0,C. Martin misses 3-pt shot from 22 ft,,70-97,,
7:16.0,Offensive rebound by G. Monroe,,70-97,,
7:10.0,C. Butler misses 2-pt shot from 17 ft,,70-97,,
7:08.0,Offensive rebound by J. Jerebko,,70-97,,
7:04.0,C. Butler misses 2-pt shot from 7 ft,,70-97,,
7:02.0,Offensive rebound by G. Monroe,,70-97,,
7:02.0,G. Monroe misses 2-pt shot at rim,,70-97,,
7:02.0,Offensive rebound by G. Monroe,,70-97,,
7:02.0,Shooting foul by J. O'Bryant (drawn by G. Monroe),,70-97,,
7:02.0,G. Monroe makes free throw 1 of 2,1,71-97,,
7:02.0,,,71-97,,K. Martin enters the game for J. Dudley
7:02.0,S. Dinwiddie enters the game for D. Augustin,,71-97,,
7:02.0,G. Monroe makes free throw 2 of 2,1,72-97,,
6:43.0,,,72-97,,Shooting foul by C. Butler (drawn by G. Antetokounmpo)
6:43.0,,,72-97,,G. Antetokounmpo misses free throw 1 of 2
6:43.0,,,72-97,,Offensive rebound by Team
6:43.0,J. Anthony enters the game for G. Monroe,,72-97,,
6:43.0,,,72-97,,G. Antetokounmpo misses free throw 2 of 2
6:42.0,Defensive rebound by C. Butler,,72-97,,
6:25.0,J. Jerebko misses 2-pt shot from 17 ft,,72-97,,
6:24.0,,,72-97,,Defensive rebound by G. Antetokounmpo
6:17.0,,,72-99,2,G. Antetokounmpo makes 2-pt shot from 17 ft
6:03.0,C. Martin misses 2-pt shot from 4 ft,,72-99,,
6:02.0,,,72-99,,Defensive rebound by K. Martin
5:38.0,,,72-99,,J. Bayless misses 2-pt shot from 7 ft
5:37.0,Defensive rebound by S. Dinwiddie,,72-99,,
5:29.0,C. Butler misses 3-pt shot from 24 ft,,72-99,,
5:28.0,,,72-99,,Defensive rebound by K. Martin
5:11.0,,,72-99,,J. O'Bryant misses 2-pt shot from 18 ft
5:10.0,Defensive rebound by J. Anthony,,72-99,,
5:01.0,S. Dinwiddie misses 3-pt shot from 25 ft,,72-99,,
5:00.0,,,72-99,,Defensive rebound by O. Mayo
4:45.0,,,72-99,,O. Mayo misses 2-pt shot from 18 ft
4:43.0,Defensive rebound by C. Butler,,72-99,,
4:31.0,Turnover by J. Jerebko (bad pass; steal by O. Mayo),,72-99,,
